// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 俺はひさ子の言葉を思い出した。
<0000> 俺はひさ子の言葉を思い出した。
//<0469> ？？
<0469> ？？

//<0470> 「誰か連れてくんのかな…」
<0470> 「誰か連れてくんのかな…」

//<0471> 音無
<0471> 音無

//<0472> クソ坊主
<0472> クソ坊主

//<0473> 代理人
<0473> 代理人

//<0474> 微妙すぎるイケメン
<0474> 微妙すぎるイケメン

//<0475> ロリコン
<0475> ロリコン

//<0476> メガネ仲間
<0476> メガネ仲間

//<0477> 暗算日本記録保持者
<0477> 暗算日本記録保持者

//<0478> 通り魔
<0478> 通り魔

//<0479> 記憶ナシ男
<0479> 記憶ナシ男

//<0480> 音速
<0480> 音速

//<0481> 無限
<0481> 無限

//<0482> エロ侍
<0482> エロ侍

//<0483> エロエロ団ナンバー１
<0483> エロエロ団ナンバー１

//<0484> ただのエロ少年
<0484> ただのエロ少年

//<0485> ユリブサイク
<0485> ユリブサイク

//<0486> ドピュッシー
<0486> ドピュッシー

//<0487> アメリカンエロドッグ
<0487> アメリカンエロドッグ

//<0488> ゼウス
<0488> ゼウス

//<0489> 日向markⅡ
<0489> 日向markⅡ

//<0490> 糞虫
<0490> 糞虫

//<0491> 量産型日向
<0491> 量産型日向

//<0492> ？？
<0492> ？？

//<0493> 「いっそ、あんたがフロントマンやったらいいんじゃないのか？」
<0493> 「いっそ、あんたがフロントマンやったらいいんじゃないのか？」

//<0494> ひさ子
<0494> ひさ子

//<0495> 「悪いがあたしの歌は聴かせられねーな」
<0495> 「悪いがあたしの歌は聴かせられねーな」

//<0496> 音無
<0496> 音無

//<0497> クソ坊主
<0497> クソ坊主

//<0498> 代理人
<0498> 代理人

//<0499> 微妙すぎるイケメン
<0499> 微妙すぎるイケメン

//<0500> ロリコン
<0500> ロリコン

//<0501> メガネ仲間
<0501> メガネ仲間

//<0502> 暗算日本記録保持者
<0502> 暗算日本記録保持者

//<0503> 通り魔
<0503> 通り魔

//<0504> 記憶ナシ男
<0504> 記憶ナシ男

//<0505> 音速
<0505> 音速

//<0506> 無限
<0506> 無限

//<0507> エロ侍
<0507> エロ侍

//<0508> エロエロ団ナンバー１
<0508> エロエロ団ナンバー１

//<0509> ただのエロ少年
<0509> ただのエロ少年

//<0510> ユリブサイク
<0510> ユリブサイク

//<0511> ドピュッシー
<0511> ドピュッシー

//<0512> アメリカンエロドッグ
<0512> アメリカンエロドッグ

//<0513> ゼウス
<0513> ゼウス

//<0514> 日向markⅡ
<0514> 日向markⅡ

//<0515> 糞虫
<0515> 糞虫

//<0516> 量産型日向
<0516> 量産型日向

//<0517> ？？
<0517> ？？

//<0518> 「どうして」
<0518> 「どうして」

//<0519> ひさ子
<0519> ひさ子

//<0520> 「単純な話さ。オンチなんだよ」
<0520> 「単純な話さ。オンチなんだよ」

//<0521> 音無
<0521> 音無

//<0522> クソ坊主
<0522> クソ坊主

//<0523> 代理人
<0523> 代理人

//<0524> 微妙すぎるイケメン
<0524> 微妙すぎるイケメン

//<0525> ロリコン
<0525> ロリコン

//<0526> メガネ仲間
<0526> メガネ仲間

//<0527> 暗算日本記録保持者
<0527> 暗算日本記録保持者

//<0528> 通り魔
<0528> 通り魔

//<0529> 記憶ナシ男
<0529> 記憶ナシ男

//<0530> 音速
<0530> 音速

//<0531> 無限
<0531> 無限

//<0532> エロ侍
<0532> エロ侍

//<0533> エロエロ団ナンバー１
<0533> エロエロ団ナンバー１

//<0534> ただのエロ少年
<0534> ただのエロ少年

//<0535> ユリブサイク
<0535> ユリブサイク

//<0536> ドピュッシー
<0536> ドピュッシー

//<0537> アメリカンエロドッグ
<0537> アメリカンエロドッグ

//<0538> ゼウス
<0538> ゼウス

//<0539> 日向markⅡ
<0539> 日向markⅡ

//<0540> 糞虫
<0540> 糞虫

//<0541> 量産型日向
<0541> 量産型日向

//<0542> ？？
<0542> ？？

//<0543> 「見えないな」
<0543> 「見えないな」

//<0544> ひさ子
<0544> ひさ子

//<0545> 「見た目で言うなよ。そりゃイギリス人全員歌が上手そうに見えるのと同じだ。偏見だ」
<0545> 「見た目で言うなよ。そりゃイギリス人全員歌が上手そうに見えるのと同じだ。偏見だ」

//<0546> ひさ子
<0546> ひさ子

//<0547> 「それにあたしにキャッチーなメロを書くセンスもねーし」
<0547> 「それにあたしにキャッチーなメロを書くセンスもねーし」

//<0548> 音無
<0548> 音無

//<0549> クソ坊主
<0549> クソ坊主

//<0550> 代理人
<0550> 代理人

//<0551> 微妙すぎるイケメン
<0551> 微妙すぎるイケメン

//<0552> ロリコン
<0552> ロリコン

//<0553> メガネ仲間
<0553> メガネ仲間

//<0554> 暗算日本記録保持者
<0554> 暗算日本記録保持者

//<0555> 通り魔
<0555> 通り魔

//<0556> 記憶ナシ男
<0556> 記憶ナシ男

//<0557> 音速
<0557> 音速

//<0558> 無限
<0558> 無限

//<0559> エロ侍
<0559> エロ侍

//<0560> エロエロ団ナンバー１
<0560> エロエロ団ナンバー１

//<0561> ただのエロ少年
<0561> ただのエロ少年

//<0562> ユリブサイク
<0562> ユリブサイク

//<0563> ドピュッシー
<0563> ドピュッシー

//<0564> アメリカンエロドッグ
<0564> アメリカンエロドッグ

//<0565> ゼウス
<0565> ゼウス

//<0566> 日向markⅡ
<0566> 日向markⅡ

//<0567> 糞虫
<0567> 糞虫

//<0568> 量産型日向
<0568> 量産型日向

//<0569> ？？
<0569> ？？

//<0570> 「それも書いてみたらいいじゃないか」
<0570> 「それも書いてみたらいいじゃないか」

//<0571> ひさ子
<0571> ひさ子

//<0572> 「なんでもかんでも押しつけんなよ。案外、ガルデモのリードギターって大変なんだぜ？」
<0572> 「なんでもかんでも押しつけんなよ。案外、ガルデモのリードギターって大変なんだぜ？」

//<0573> 音無
<0573> 音無

//<0574> クソ坊主
<0574> クソ坊主

//<0575> 代理人
<0575> 代理人

//<0576> 微妙すぎるイケメン
<0576> 微妙すぎるイケメン

//<0577> ロリコン
<0577> ロリコン

//<0578> メガネ仲間
<0578> メガネ仲間

//<0579> 暗算日本記録保持者
<0579> 暗算日本記録保持者

//<0580> 通り魔
<0580> 通り魔

//<0581> 記憶ナシ男
<0581> 記憶ナシ男

//<0582> 音速
<0582> 音速

//<0583> 無限
<0583> 無限

//<0584> エロ侍
<0584> エロ侍

//<0585> エロエロ団ナンバー１
<0585> エロエロ団ナンバー１

//<0586> ただのエロ少年
<0586> ただのエロ少年

//<0587> ユリブサイク
<0587> ユリブサイク

//<0588> ドピュッシー
<0588> ドピュッシー

//<0589> アメリカンエロドッグ
<0589> アメリカンエロドッグ

//<0590> ゼウス
<0590> ゼウス

//<0591> 日向markⅡ
<0591> 日向markⅡ

//<0592> 糞虫
<0592> 糞虫

//<0593> 量産型日向
<0593> 量産型日向

//<0594> ？？
<0594> ？？

//<0595> 「そういうのはわからないけどさ。可能性を片っ端から自分で潰してるように見えてさ」
<0595> 「そういうのはわからないけどさ。可能性を片っ端から自分で潰してるように見えてさ」

//<0596> ひさ子
<0596> ひさ子

//<0597> 「柄じゃないんだよ、そーいうのはさ」
<0597> 「柄じゃないんだよ、そーいうのはさ」

//<0598> 音無
<0598> 音無

//<0599> クソ坊主
<0599> クソ坊主

//<0600> 代理人
<0600> 代理人

//<0601> 微妙すぎるイケメン
<0601> 微妙すぎるイケメン

//<0602> ロリコン
<0602> ロリコン

//<0603> メガネ仲間
<0603> メガネ仲間

//<0604> 暗算日本記録保持者
<0604> 暗算日本記録保持者

//<0605> 通り魔
<0605> 通り魔

//<0606> 記憶ナシ男
<0606> 記憶ナシ男

//<0607> 音速
<0607> 音速

//<0608> 無限
<0608> 無限

//<0609> エロ侍
<0609> エロ侍

//<0610> エロエロ団ナンバー１
<0610> エロエロ団ナンバー１

//<0611> ただのエロ少年
<0611> ただのエロ少年

//<0612> ユリブサイク
<0612> ユリブサイク

//<0613> ドピュッシー
<0613> ドピュッシー

//<0614> アメリカンエロドッグ
<0614> アメリカンエロドッグ

//<0615> ゼウス
<0615> ゼウス

//<0616> 日向markⅡ
<0616> 日向markⅡ

//<0617> 糞虫
<0617> 糞虫

//<0618> 量産型日向
<0618> 量産型日向

//<0619> ？？
<0619> ？？

//<0620> 「じゃあ、後何が引っかかってるんだ？」
<0620> 「じゃあ、後何が引っかかってるんだ？」

//<0621> ひさ子
<0621> ひさ子

//<0622> 「あん？」
<0622> 「あん？」

//<0623> 俺も今訊くべきじゃないと言ってしまってから気づいた。
<0623> 俺も今訊くべきじゃないと言ってしまってから気づいた。

//<0624> ひさ子
<0624> ひさ子

//<0625> 「今のどういう意味さ」
<0625> 「今のどういう意味さ」

//<0626> でも、訊いてしまったからには、はぐらかせたくなかった。
<0626> でも、訊いてしまったからには、はぐらかせたくなかった。

//<0627> 音無
<0627> 音無

//<0628> クソ坊主
<0628> クソ坊主

//<0629> 代理人
<0629> 代理人

//<0630> 微妙すぎるイケメン
<0630> 微妙すぎるイケメン

//<0631> ロリコン
<0631> ロリコン

//<0632> メガネ仲間
<0632> メガネ仲間

//<0633> 暗算日本記録保持者
<0633> 暗算日本記録保持者

//<0634> 通り魔
<0634> 通り魔

//<0635> 記憶ナシ男
<0635> 記憶ナシ男

//<0636> 音速
<0636> 音速

//<0637> 無限
<0637> 無限

//<0638> エロ侍
<0638> エロ侍

//<0639> エロエロ団ナンバー１
<0639> エロエロ団ナンバー１

//<0640> ただのエロ少年
<0640> ただのエロ少年

//<0641> ユリブサイク
<0641> ユリブサイク

//<0642> ドピュッシー
<0642> ドピュッシー

//<0643> アメリカンエロドッグ
<0643> アメリカンエロドッグ

//<0644> ゼウス
<0644> ゼウス

//<0645> 日向markⅡ
<0645> 日向markⅡ

//<0646> 糞虫
<0646> 糞虫

//<0647> 量産型日向
<0647> 量産型日向

//<0648> ？？
<0648> ？？

//<0649> 「ゆりに教えられたんだ。心が満たされれば消えるって」
<0649> 「ゆりに教えられたんだ。心が満たされれば消えるって」

//<0650> 音無
<0650> 音無

//<0651> クソ坊主
<0651> クソ坊主

//<0652> 代理人
<0652> 代理人

//<0653> 微妙すぎるイケメン
<0653> 微妙すぎるイケメン

//<0654> ロリコン
<0654> ロリコン

//<0655> メガネ仲間
<0655> メガネ仲間

//<0656> 暗算日本記録保持者
<0656> 暗算日本記録保持者

//<0657> 通り魔
<0657> 通り魔

//<0658> 記憶ナシ男
<0658> 記憶ナシ男

//<0659> 音速
<0659> 音速

//<0660> 無限
<0660> 無限

//<0661> エロ侍
<0661> エロ侍

//<0662> エロエロ団ナンバー１
<0662> エロエロ団ナンバー１

//<0663> ただのエロ少年
<0663> ただのエロ少年

//<0664> ユリブサイク
<0664> ユリブサイク

//<0665> ドピュッシー
<0665> ドピュッシー

//<0666> アメリカンエロドッグ
<0666> アメリカンエロドッグ

//<0667> ゼウス
<0667> ゼウス

//<0668> 日向markⅡ
<0668> 日向markⅡ

//<0669> 糞虫
<0669> 糞虫

//<0670> 量産型日向
<0670> 量産型日向

//<0671> ？？
<0671> ？？

//<0672> 「お前は岩沢という理想的なボーカリストが居たのに消えなかった。つまり、まだ何かが引っかかってんだ」
<0672> 「お前は岩沢という理想的なボーカリストが居たのに消えなかった。つまり、まだ何かが引っかかってんだ」

//<0673> 音無
<0673> 音無

//<0674> クソ坊主
<0674> クソ坊主

//<0675> 代理人
<0675> 代理人

//<0676> 微妙すぎるイケメン
<0676> 微妙すぎるイケメン

//<0677> ロリコン
<0677> ロリコン

//<0678> メガネ仲間
<0678> メガネ仲間

//<0679> 暗算日本記録保持者
<0679> 暗算日本記録保持者

//<0680> 通り魔
<0680> 通り魔

//<0681> 記憶ナシ男
<0681> 記憶ナシ男

//<0682> 音速
<0682> 音速

//<0683> 無限
<0683> 無限

//<0684> エロ侍
<0684> エロ侍

//<0685> エロエロ団ナンバー１
<0685> エロエロ団ナンバー１

//<0686> ただのエロ少年
<0686> ただのエロ少年

//<0687> ユリブサイク
<0687> ユリブサイク

//<0688> ドピュッシー
<0688> ドピュッシー

//<0689> アメリカンエロドッグ
<0689> アメリカンエロドッグ

//<0690> ゼウス
<0690> ゼウス

//<0691> 日向markⅡ
<0691> 日向markⅡ

//<0692> 糞虫
<0692> 糞虫

//<0693> 量産型日向
<0693> 量産型日向

//<0694> ？？
<0694> ？？

//<0695> 「それがなんだか自覚してるか…？」
<0695> 「それがなんだか自覚してるか…？」

//<0696> ひさ子
<0696> ひさ子

//<0697> 「はっ…」
<0697> 「はっ…」

//<0698> ひさ子
<0698> ひさ子

//<0699> 「そんなのしてるさっ」
<0699> 「そんなのしてるさっ」

//<0700> 意外だった。
<0700> 意外だった。

//<0701> ひさ子
<0701> ひさ子

//<0702> 「今も斬崎の自殺シーンが脳裏に焼き付いていて、あたしを苛むからさっ」
<0702> 「今も斬崎の自殺シーンが脳裏に焼き付いていて、あたしを苛むからさっ」

//<0703> 自嘲して告げた。
<0703> 自嘲して告げた。

//<0704> 最悪だ…。
<0704> 最悪だ…。

//<0705> こんなところで、一番思い出させたくないものを掘り返してしまった…。
<0705> こんなところで、一番思い出させたくないものを掘り返してしまった…。

//<0706> 音無
<0706> 音無

//<0707> クソ坊主
<0707> クソ坊主

//<0708> 代理人
<0708> 代理人

//<0709> 微妙すぎるイケメン
<0709> 微妙すぎるイケメン

//<0710> ロリコン
<0710> ロリコン

//<0711> メガネ仲間
<0711> メガネ仲間

//<0712> 暗算日本記録保持者
<0712> 暗算日本記録保持者

//<0713> 通り魔
<0713> 通り魔

//<0714> 記憶ナシ男
<0714> 記憶ナシ男

//<0715> 音速
<0715> 音速

//<0716> 無限
<0716> 無限

//<0717> エロ侍
<0717> エロ侍

//<0718> エロエロ団ナンバー１
<0718> エロエロ団ナンバー１

//<0719> ただのエロ少年
<0719> ただのエロ少年

//<0720> ユリブサイク
<0720> ユリブサイク

//<0721> ドピュッシー
<0721> ドピュッシー

//<0722> アメリカンエロドッグ
<0722> アメリカンエロドッグ

//<0723> ゼウス
<0723> ゼウス

//<0724> 日向markⅡ
<0724> 日向markⅡ

//<0725> 糞虫
<0725> 糞虫

//<0726> 量産型日向
<0726> 量産型日向

//<0727> ？？
<0727> ？？

//<0728> 「でも、人が死ぬところなんて、この世界だったら、何度も見てきたんじゃないのか？」
<0728> 「でも、人が死ぬところなんて、この世界だったら、何度も見てきたんじゃないのか？」

//<0729> ひさ子
<0729> ひさ子

//<0730> 「悪いが見てないね」
<0730> 「悪いが見てないね」

//<0731> ひさ子
<0731> ひさ子

//<0732> 「あれほど強烈な死なんて見たことない」
<0732> 「あれほど強烈な死なんて見たことない」

//<0733> ひさ子
<0733> ひさ子

//<0734> 「なあ、あんた。あたしがあいつのことを忘れてるとでも思ってたのかい」
<0734> 「なあ、あんた。あたしがあいつのことを忘れてるとでも思ってたのかい」

//<0735> ひさ子
<0735> ひさ子

//<0736> 「いつだって、岩沢の後ろにはあいつが亡霊のように立ってるんだよ」
<0736> 「いつだって、岩沢の後ろにはあいつが亡霊のように立ってるんだよ」

//<0737> ひさ子
<0737> ひさ子

//<0738> 「本来そこで歌ってるのは俺だってふうにね」
<0738> 「本来そこで歌ってるのは俺だってふうにね」

//<0739> まさか、そんな苦悩を背負って、ステージに立ち続けていたなんて…。
<0739> まさか、そんな苦悩を背負って、ステージに立ち続けていたなんて…。

//<0740> ひさ子
<0740> ひさ子

//<0741> 「なあ、あいつの亡霊はどうしたら消えてくれるんだい」
<0741> 「なあ、あいつの亡霊はどうしたら消えてくれるんだい」

//<0742> ひさ子
<0742> ひさ子

//<0743> 「いつになったら、あたしの犯した罪は許されるんだい」
<0743> 「いつになったら、あたしの犯した罪は許されるんだい」

//<0744> ひさ子
<0744> ひさ子

//<0745> 「神って奴が居るのなら、どうして、こんな世界であたしを責め立て続けるんだい」
<0745> 「神って奴が居るのなら、どうして、こんな世界であたしを責め立て続けるんだい」

//<0746> ひさ子
<0746> ひさ子

//<0747> 「どうして許されないんだいっ！　教えてくれよっ！」
<0747> 「どうして許されないんだいっ！　教えてくれよっ！」

//<0748> それこそ神に聞かなくちゃわからない…。
<0748> それこそ神に聞かなくちゃわからない…。

//<0749> ひさ子
<0749> ひさ子

//<0750> 「音無、あんた、あたしが正常だと思うなよ…」
<0750> 「音無、あんた、あたしが正常だと思うなよ…」

//<0751> 音無
<0751> 音無

//<0752> クソ坊主
<0752> クソ坊主

//<0753> 代理人
<0753> 代理人

//<0754> 微妙すぎるイケメン
<0754> 微妙すぎるイケメン

//<0755> ロリコン
<0755> ロリコン

//<0756> メガネ仲間
<0756> メガネ仲間

//<0757> 暗算日本記録保持者
<0757> 暗算日本記録保持者

//<0758> 通り魔
<0758> 通り魔

//<0759> 記憶ナシ男
<0759> 記憶ナシ男

//<0760> 音速
<0760> 音速

//<0761> 無限
<0761> 無限

//<0762> エロ侍
<0762> エロ侍

//<0763> エロエロ団ナンバー１
<0763> エロエロ団ナンバー１

//<0764> ただのエロ少年
<0764> ただのエロ少年

//<0765> ユリブサイク
<0765> ユリブサイク

//<0766> ドピュッシー
<0766> ドピュッシー

//<0767> アメリカンエロドッグ
<0767> アメリカンエロドッグ

//<0768> ゼウス
<0768> ゼウス

//<0769> 日向markⅡ
<0769> 日向markⅡ

//<0770> 糞虫
<0770> 糞虫

//<0771> 量産型日向
<0771> 量産型日向

//<0772> ？？
<0772> ？？

//<0773> 「え…」
<0773> 「え…」

//<0774> ひさ子
<0774> ひさ子

//<0775> 「言ったろ。生前あたしは精神を病んでいたんだ…それも重度に…病室から自由に出れないほどに…」
<0775> 「言ったろ。生前あたしは精神を病んでいたんだ…それも重度に…病室から自由に出れないほどに…」

//<0776> ひさ子
<0776> ひさ子

//<0777> 「それを繋ぎ止めていてくれたのは、岩沢だ…」
<0777> 「それを繋ぎ止めていてくれたのは、岩沢だ…」

//<0778> 音無
<0778> 音無

//<0779> クソ坊主
<0779> クソ坊主

//<0780> 代理人
<0780> 代理人

//<0781> 微妙すぎるイケメン
<0781> 微妙すぎるイケメン

//<0782> ロリコン
<0782> ロリコン

//<0783> メガネ仲間
<0783> メガネ仲間

//<0784> 暗算日本記録保持者
<0784> 暗算日本記録保持者

//<0785> 通り魔
<0785> 通り魔

//<0786> 記憶ナシ男
<0786> 記憶ナシ男

//<0787> 音速
<0787> 音速

//<0788> 無限
<0788> 無限

//<0789> エロ侍
<0789> エロ侍

//<0790> エロエロ団ナンバー１
<0790> エロエロ団ナンバー１

//<0791> ただのエロ少年
<0791> ただのエロ少年

//<0792> ユリブサイク
<0792> ユリブサイク

//<0793> ドピュッシー
<0793> ドピュッシー

//<0794> アメリカンエロドッグ
<0794> アメリカンエロドッグ

//<0795> ゼウス
<0795> ゼウス

//<0796> 日向markⅡ
<0796> 日向markⅡ

//<0797> 糞虫
<0797> 糞虫

//<0798> 量産型日向
<0798> 量産型日向

//<0799> ？？
<0799> ？？

//<0800> 「ああ、わかっている…だから駆けつけたんだ」
<0800> 「ああ、わかっている…だから駆けつけたんだ」

//<0801> ひさ子
<0801> ひさ子

//<0802> 「あんたじゃ代わりにならない。ユイもだ」
<0802> 「あんたじゃ代わりにならない。ユイもだ」

//<0803> ひさ子
<0803> ひさ子

//<0804> 「あんたじゃ代わりにならない」
<0804> 「あんたじゃ代わりにならない」

//<0805> ひさ子
<0805> ひさ子

//<0806> 「明日からもあたしは平然と毅然と暮らしていくよ」
<0806> 「明日からもあたしは平然と毅然と暮らしていくよ」

//<0807> ひさ子
<0807> ひさ子

//<0808> 「誰もあたしがおかしくなったなんて気づかないだろうな」
<0808> 「誰もあたしがおかしくなったなんて気づかないだろうな」

//<0809> ひさ子
<0809> ひさ子

//<0810> 「でも、精神はイカれてる。何をしでかすか、自分でもわからない」
<0810> 「でも、精神はイカれてる。何をしでかすか、自分でもわからない」

//<0811> ひさ子
<0811> ひさ子

//<0812> 「まさに、神のみぞ知る、だ」
<0812> 「まさに、神のみぞ知る、だ」

//<0813> 音無
<0813> 音無

//<0814> クソ坊主
<0814> クソ坊主

//<0815> 代理人
<0815> 代理人

//<0816> 微妙すぎるイケメン
<0816> 微妙すぎるイケメン

//<0817> ロリコン
<0817> ロリコン

//<0818> メガネ仲間
<0818> メガネ仲間

//<0819> 暗算日本記録保持者
<0819> 暗算日本記録保持者

//<0820> 通り魔
<0820> 通り魔

//<0821> 記憶ナシ男
<0821> 記憶ナシ男

//<0822> 音速
<0822> 音速

//<0823> 無限
<0823> 無限

//<0824> エロ侍
<0824> エロ侍

//<0825> エロエロ団ナンバー１
<0825> エロエロ団ナンバー１

//<0826> ただのエロ少年
<0826> ただのエロ少年

//<0827> ユリブサイク
<0827> ユリブサイク

//<0828> ドピュッシー
<0828> ドピュッシー

//<0829> アメリカンエロドッグ
<0829> アメリカンエロドッグ

//<0830> ゼウス
<0830> ゼウス

//<0831> 日向markⅡ
<0831> 日向markⅡ

//<0832> 糞虫
<0832> 糞虫

//<0833> 量産型日向
<0833> 量産型日向

//<0834> ？？
<0834> ？？

//<0835> 「でもこの世界では、精神が病んでも、すぐ治るんだよな？」
<0835> 「でもこの世界では、精神が病んでも、すぐ治るんだよな？」

//<0836> ひさ子
<0836> ひさ子

//<0837> 「知らねーよ…」
<0837> 「知らねーよ…」

//<0838> ひさ子
<0838> ひさ子

//<0839> 「じゃ、メンバーの元に戻る」
<0839> 「じゃ、メンバーの元に戻る」

//<0840> 立ち上がり、去っていく。
<0840> 立ち上がり、去っていく。

//<0841> かつて岩沢と出会い、繋ぎ止められたこの場所を離れて。
<0841> かつて岩沢と出会い、繋ぎ止められたこの場所を離れて。

//<0842> 彼女はどこに行くというのだろう。
<0842> 彼女はどこに行くというのだろう。

//<0843> dummy
<0843> dummy

//<0844> bg_siro
<0844> bg_siro
{012b} 0a // 0844

//<0845> ep88_bg002
<0845> ep88_bg002

//<0846> hs0105_01
<0846> hs0105_01

//<0847> bg_siro
<0847> bg_siro
{07f4} 0a // 0847

//<0848> m215
<0848> m215

//<0849> hn0107
<0849> hn0107

//<0850> bg_kuro
<0850> bg_kuro

//<0851> ep88_bg042
<0851> ep88_bg042

//<0852> sk0109
<0852> sk0109

//<0853> ir0106
<0853> ir0106

//<0854> sk0206
<0854> sk0206

//<0855> ir0104
<0855> ir0104

//<0856> ir0103
<0856> ir0103

//<0857> sk0309_06
<0857> sk0309_06

//<0858> sk0309
<0858> sk0309

//<0859> sk0106
<0859> sk0106

//<0860> bg_kuro
<0860> bg_kuro

//<0861> ep01_bg028
<0861> ep01_bg028

//<0862> ep01_bg002
<0862> ep01_bg002

//<0863> evhs_0101
<0863> evhs_0101

//<0864> evhs_0101
<0864> evhs_0101

//<0865> m202
<0865> m202

//<0866> evhs_0102
<0866> evhs_0102

//<0867> evhs_0103
<0867> evhs_0103

//<0868> sys_bk_selline00
<0868> sys_bk_selline00

//<0869> bg_kuro
<0869> bg_kuro

//<0870> evhs_0101
<0870> evhs_0101

//<0871> evhs_0102
<0871> evhs_0102

//<0872> evhs_0104
<0872> evhs_0104

//<0873> evhs_0105
<0873> evhs_0105

//<0874> ep01_bg028
<0874> ep01_bg028

//<0875> evhs_0101
<0875> evhs_0101

//<0876> evhs_0103
<0876> evhs_0103

//<0877> evhs_0102
<0877> evhs_0102

//<0878> evhs_0103
<0878> evhs_0103

//<0879> evhs_0102
<0879> evhs_0102

//<0880> evhs_0103
<0880> evhs_0103

//<0881> evhs_0102
<0881> evhs_0102

//<0882> evhs_0101
<0882> evhs_0101

//<0883> evhs_0102
<0883> evhs_0102

//<0884> evhs_0103
<0884> evhs_0103

//<0885> evhs_0101
<0885> evhs_0101

//<0886> bg_kuro
<0886> bg_kuro

//<0887> ep01_bg028
<0887> ep01_bg028

//<0888> bg_kuro
<0888> bg_kuro

