// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_wooddoor_open2
<0000> se_wooddoor_open2
<0545> ユリブサイク

//<0546> ドピュッシー
<0546> ドピュッシー

//<0547> アメリカンエロドッグ
<0547> アメリカンエロドッグ

//<0548> ゼウス
<0548> ゼウス

//<0549> 日向markⅡ
<0549> 日向markⅡ

//<0550> 糞虫
<0550> 糞虫

//<0551> 量産型日向
<0551> 量産型日向

//<0552> ？？
<0552> ？？

//<0553> 「いや、今のは忘れてくれっ」
<0553> 「いや、今のは忘れてくれっ」

//<0554> nothing
<0554> nothing

//<0555> nothing
<0555> nothing

//<0556> nothing
<0556> nothing

//<0557> nothing
<0557> nothing

//<0558> nothing
<0558> nothing

//<0559> 岩沢
<0559> 岩沢

//<0560> 「ん？　嘘だったってことか？」
<0560> 「ん？　嘘だったってことか？」

//<0561> 音無
<0561> 音無

//<0562> クソ坊主
<0562> クソ坊主

//<0563> 代理人
<0563> 代理人

//<0564> 微妙すぎるイケメン
<0564> 微妙すぎるイケメン

//<0565> ロリコン
<0565> ロリコン

//<0566> メガネ仲間
<0566> メガネ仲間

//<0567> 暗算日本記録保持者
<0567> 暗算日本記録保持者

//<0568> 通り魔
<0568> 通り魔

//<0569> 記憶ナシ男
<0569> 記憶ナシ男

//<0570> 音速
<0570> 音速

//<0571> 無限
<0571> 無限

//<0572> エロ侍
<0572> エロ侍

//<0573> エロエロ団ナンバー１
<0573> エロエロ団ナンバー１

//<0574> ただのエロ少年
<0574> ただのエロ少年

//<0575> ユリブサイク
<0575> ユリブサイク

//<0576> ドピュッシー
<0576> ドピュッシー

//<0577> アメリカンエロドッグ
<0577> アメリカンエロドッグ

//<0578> ゼウス
<0578> ゼウス

//<0579> 日向markⅡ
<0579> 日向markⅡ

//<0580> 糞虫
<0580> 糞虫

//<0581> 量産型日向
<0581> 量産型日向

//<0582> ？？
<0582> ？？

//<0583> 「いや、本当だ！　でも、お前がそこまで気にするなら、今の問答は忘れてくれ！」
<0583> 「いや、本当だ！　でも、お前がそこまで気にするなら、今の問答は忘れてくれ！」

//<0584> nothing
<0584> nothing

//<0585> nothing
<0585> nothing

//<0586> nothing
<0586> nothing

//<0587> nothing
<0587> nothing

//<0588> nothing
<0588> nothing

//<0589> 岩沢
<0589> 岩沢

//<0590> 「うーーーーん…」
<0590> 「うーーーーん…」

//<0591> 音無
<0591> 音無

//<0592> クソ坊主
<0592> クソ坊主

//<0593> 代理人
<0593> 代理人

//<0594> 微妙すぎるイケメン
<0594> 微妙すぎるイケメン

//<0595> ロリコン
<0595> ロリコン

//<0596> メガネ仲間
<0596> メガネ仲間

//<0597> 暗算日本記録保持者
<0597> 暗算日本記録保持者

//<0598> 通り魔
<0598> 通り魔

//<0599> 記憶ナシ男
<0599> 記憶ナシ男

//<0600> 音速
<0600> 音速

//<0601> 無限
<0601> 無限

//<0602> エロ侍
<0602> エロ侍

//<0603> エロエロ団ナンバー１
<0603> エロエロ団ナンバー１

//<0604> ただのエロ少年
<0604> ただのエロ少年

//<0605> ユリブサイク
<0605> ユリブサイク

//<0606> ドピュッシー
<0606> ドピュッシー

//<0607> アメリカンエロドッグ
<0607> アメリカンエロドッグ

//<0608> ゼウス
<0608> ゼウス

//<0609> 日向markⅡ
<0609> 日向markⅡ

//<0610> 糞虫
<0610> 糞虫

//<0611> 量産型日向
<0611> 量産型日向

//<0612> ？？
<0612> ？？

//<0613> 「頼む！」
<0613> 「頼む！」

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> nothing
<0616> nothing

//<0617> nothing
<0617> nothing

//<0618> nothing
<0618> nothing

//<0619> 岩沢
<0619> 岩沢

//<0620> 「オッケ。忘れるよ」
<0620> 「オッケ。忘れるよ」

//<0621> 良かった…。
<0621> 良かった…。

//<0622> 音無
<0622> 音無

//<0623> クソ坊主
<0623> クソ坊主

//<0624> 代理人
<0624> 代理人

//<0625> 微妙すぎるイケメン
<0625> 微妙すぎるイケメン

//<0626> ロリコン
<0626> ロリコン

//<0627> メガネ仲間
<0627> メガネ仲間

//<0628> 暗算日本記録保持者
<0628> 暗算日本記録保持者

//<0629> 通り魔
<0629> 通り魔

//<0630> 記憶ナシ男
<0630> 記憶ナシ男

//<0631> 音速
<0631> 音速

//<0632> 無限
<0632> 無限

//<0633> エロ侍
<0633> エロ侍

//<0634> エロエロ団ナンバー１
<0634> エロエロ団ナンバー１

//<0635> ただのエロ少年
<0635> ただのエロ少年

//<0636> ユリブサイク
<0636> ユリブサイク

//<0637> ドピュッシー
<0637> ドピュッシー

//<0638> アメリカンエロドッグ
<0638> アメリカンエロドッグ

//<0639> ゼウス
<0639> ゼウス

//<0640> 日向markⅡ
<0640> 日向markⅡ

//<0641> 糞虫
<0641> 糞虫

//<0642> 量産型日向
<0642> 量産型日向

//<0643> ？？
<0643> ？？

//<0644> 「いやいや、中身も興味あるっ！」
<0644> 「いやいや、中身も興味あるっ！」

//<0645> 苦しいフォローだったと思うが…。
<0645> 苦しいフォローだったと思うが…。

//<0646> nothing
<0646> nothing

//<0647> nothing
<0647> nothing

//<0648> nothing
<0648> nothing

//<0649> nothing
<0649> nothing

//<0650> nothing
<0650> nothing

//<0651> 岩沢
<0651> 岩沢

//<0652> 「今のはわりぃ、あたしの質問が意地悪だったな…」
<0652> 「今のはわりぃ、あたしの質問が意地悪だったな…」

//<0653> nothing
<0653> nothing

//<0654> nothing
<0654> nothing

//<0655> nothing
<0655> nothing

//<0656> nothing
<0656> nothing

//<0657> nothing
<0657> nothing

//<0658> 岩沢
<0658> 岩沢

//<0659> 「へぇー…」
<0659> 「へぇー…」

//<0660> 特に気のない返事だった。
<0660> 特に気のない返事だった。

//<0661> どうやら、俺に言われても特別な感情は湧かないようだ。
<0661> どうやら、俺に言われても特別な感情は湧かないようだ。

//<0662> 音無
<0662> 音無

//<0663> クソ坊主
<0663> クソ坊主

//<0664> 代理人
<0664> 代理人

//<0665> 微妙すぎるイケメン
<0665> 微妙すぎるイケメン

//<0666> ロリコン
<0666> ロリコン

//<0667> メガネ仲間
<0667> メガネ仲間

//<0668> 暗算日本記録保持者
<0668> 暗算日本記録保持者

//<0669> 通り魔
<0669> 通り魔

//<0670> 記憶ナシ男
<0670> 記憶ナシ男

//<0671> 音速
<0671> 音速

//<0672> 無限
<0672> 無限

//<0673> エロ侍
<0673> エロ侍

//<0674> エロエロ団ナンバー１
<0674> エロエロ団ナンバー１

//<0675> ただのエロ少年
<0675> ただのエロ少年

//<0676> ユリブサイク
<0676> ユリブサイク

//<0677> ドピュッシー
<0677> ドピュッシー

//<0678> アメリカンエロドッグ
<0678> アメリカンエロドッグ

//<0679> ゼウス
<0679> ゼウス

//<0680> 日向markⅡ
<0680> 日向markⅡ

//<0681> 糞虫
<0681> 糞虫

//<0682> 量産型日向
<0682> 量産型日向

//<0683> ？？
<0683> ？？

//<0684> 「えっと、俺はそろそろ出ていった方がいいか？」
<0684> 「えっと、俺はそろそろ出ていった方がいいか？」

//<0685> nothing
<0685> nothing

//<0686> nothing
<0686> nothing

//<0687> nothing
<0687> nothing

//<0688> nothing
<0688> nothing

//<0689> nothing
<0689> nothing

//<0690> 岩沢
<0690> 岩沢

//<0691> 「いいや、興味深い話をしてくれるなら是非聞きたい」
<0691> 「いいや、興味深い話をしてくれるなら是非聞きたい」

//<0692> 音無
<0692> 音無

//<0693> クソ坊主
<0693> クソ坊主

//<0694> 代理人
<0694> 代理人

//<0695> 微妙すぎるイケメン
<0695> 微妙すぎるイケメン

//<0696> ロリコン
<0696> ロリコン

//<0697> メガネ仲間
<0697> メガネ仲間

//<0698> 暗算日本記録保持者
<0698> 暗算日本記録保持者

//<0699> 通り魔
<0699> 通り魔

//<0700> 記憶ナシ男
<0700> 記憶ナシ男

//<0701> 音速
<0701> 音速

//<0702> 無限
<0702> 無限

//<0703> エロ侍
<0703> エロ侍

//<0704> エロエロ団ナンバー１
<0704> エロエロ団ナンバー１

//<0705> ただのエロ少年
<0705> ただのエロ少年

//<0706> ユリブサイク
<0706> ユリブサイク

//<0707> ドピュッシー
<0707> ドピュッシー

//<0708> アメリカンエロドッグ
<0708> アメリカンエロドッグ

//<0709> ゼウス
<0709> ゼウス

//<0710> 日向markⅡ
<0710> 日向markⅡ

//<0711> 糞虫
<0711> 糞虫

//<0712> 量産型日向
<0712> 量産型日向

//<0713> ？？
<0713> ？？

//<0714> 「そうか？　なら…」
<0714> 「そうか？　なら…」

//<0715> 04_岩沢の興味のある話題探し
<0715> 04_岩沢の興味のある話題探し

//<0716> 音無
<0716> 音無

//<0717> クソ坊主
<0717> クソ坊主

//<0718> 代理人
<0718> 代理人

//<0719> 微妙すぎるイケメン
<0719> 微妙すぎるイケメン

//<0720> ロリコン
<0720> ロリコン

//<0721> メガネ仲間
<0721> メガネ仲間

//<0722> 暗算日本記録保持者
<0722> 暗算日本記録保持者

//<0723> 通り魔
<0723> 通り魔

//<0724> 記憶ナシ男
<0724> 記憶ナシ男

//<0725> 音速
<0725> 音速

//<0726> 無限
<0726> 無限

//<0727> エロ侍
<0727> エロ侍

//<0728> エロエロ団ナンバー１
<0728> エロエロ団ナンバー１

//<0729> ただのエロ少年
<0729> ただのエロ少年

//<0730> ユリブサイク
<0730> ユリブサイク

//<0731> ドピュッシー
<0731> ドピュッシー

//<0732> アメリカンエロドッグ
<0732> アメリカンエロドッグ

//<0733> ゼウス
<0733> ゼウス

//<0734> 日向markⅡ
<0734> 日向markⅡ

//<0735> 糞虫
<0735> 糞虫

//<0736> 量産型日向
<0736> 量産型日向

//<0737> ？？
<0737> ？？

//<0738> 「自己練がきついから暇つぶしさ」
<0738> 「自己練がきついから暇つぶしさ」

//<0739> nothing
<0739> nothing

//<0740> nothing
<0740> nothing

//<0741> nothing
<0741> nothing

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> 岩沢
<0744> 岩沢

//<0745> 「へー、それで作曲中のあたしを邪魔するんだ」
<0745> 「へー、それで作曲中のあたしを邪魔するんだ」

//<0746> 音無
<0746> 音無

//<0747> クソ坊主
<0747> クソ坊主

//<0748> 代理人
<0748> 代理人

//<0749> 微妙すぎるイケメン
<0749> 微妙すぎるイケメン

//<0750> ロリコン
<0750> ロリコン

//<0751> メガネ仲間
<0751> メガネ仲間

//<0752> 暗算日本記録保持者
<0752> 暗算日本記録保持者

//<0753> 通り魔
<0753> 通り魔

//<0754> 記憶ナシ男
<0754> 記憶ナシ男

//<0755> 音速
<0755> 音速

//<0756> 無限
<0756> 無限

//<0757> エロ侍
<0757> エロ侍

//<0758> エロエロ団ナンバー１
<0758> エロエロ団ナンバー１

//<0759> ただのエロ少年
<0759> ただのエロ少年

//<0760> ユリブサイク
<0760> ユリブサイク

//<0761> ドピュッシー
<0761> ドピュッシー

//<0762> アメリカンエロドッグ
<0762> アメリカンエロドッグ

//<0763> ゼウス
<0763> ゼウス

//<0764> 日向markⅡ
<0764> 日向markⅡ

//<0765> 糞虫
<0765> 糞虫

//<0766> 量産型日向
<0766> 量産型日向

//<0767> ？？
<0767> ？？

//<0768> 「邪魔なのか？」
<0768> 「邪魔なのか？」

//<0769> nothing
<0769> nothing

//<0770> nothing
<0770> nothing

//<0771> nothing
<0771> nothing

//<0772> nothing
<0772> nothing

//<0773> nothing
<0773> nothing

//<0774> 岩沢
<0774> 岩沢

//<0775> 「ああ、邪魔だ」
<0775> 「ああ、邪魔だ」

//<0776> その言葉は俺にとって決定的だった。
<0776> その言葉は俺にとって決定的だった。

//<0777> もう、岩沢と俺は別の道を歩いていくんだってこと。
<0777> もう、岩沢と俺は別の道を歩いていくんだってこと。

//<0778> nothing
<0778> nothing

//<0779> nothing
<0779> nothing

//<0780> nothing
<0780> nothing

//<0781> nothing
<0781> nothing

//<0782> nothing
<0782> nothing

//<0783> 岩沢
<0783> 岩沢

//<0784> 「いや、ためになる話をしてくれるんなら、ぜんぜんオッケーだ」
<0784> 「いや、ためになる話をしてくれるんなら、ぜんぜんオッケーだ」

//<0785> 音無
<0785> 音無

//<0786> クソ坊主
<0786> クソ坊主

//<0787> 代理人
<0787> 代理人

//<0788> 微妙すぎるイケメン
<0788> 微妙すぎるイケメン

//<0789> ロリコン
<0789> ロリコン

//<0790> メガネ仲間
<0790> メガネ仲間

//<0791> 暗算日本記録保持者
<0791> 暗算日本記録保持者

//<0792> 通り魔
<0792> 通り魔

//<0793> 記憶ナシ男
<0793> 記憶ナシ男

//<0794> 音速
<0794> 音速

//<0795> 無限
<0795> 無限

//<0796> エロ侍
<0796> エロ侍

//<0797> エロエロ団ナンバー１
<0797> エロエロ団ナンバー１

//<0798> ただのエロ少年
<0798> ただのエロ少年

//<0799> ユリブサイク
<0799> ユリブサイク

//<0800> ドピュッシー
<0800> ドピュッシー

//<0801> アメリカンエロドッグ
<0801> アメリカンエロドッグ

//<0802> ゼウス
<0802> ゼウス

//<0803> 日向markⅡ
<0803> 日向markⅡ

//<0804> 糞虫
<0804> 糞虫

//<0805> 量産型日向
<0805> 量産型日向

//<0806> ？？
<0806> ？？

//<0807> 「わかったよ…また話をするよ」
<0807> 「わかったよ…また話をするよ」

//<0808> 04_岩沢の興味のある話題探し
<0808> 04_岩沢の興味のある話題探し

//<0809> 音無
<0809> 音無

//<0810> クソ坊主
<0810> クソ坊主

//<0811> 代理人
<0811> 代理人

//<0812> 微妙すぎるイケメン
<0812> 微妙すぎるイケメン

//<0813> ロリコン
<0813> ロリコン

//<0814> メガネ仲間
<0814> メガネ仲間

//<0815> 暗算日本記録保持者
<0815> 暗算日本記録保持者

//<0816> 通り魔
<0816> 通り魔

//<0817> 記憶ナシ男
<0817> 記憶ナシ男

//<0818> 音速
<0818> 音速

//<0819> 無限
<0819> 無限

//<0820> エロ侍
<0820> エロ侍

//<0821> エロエロ団ナンバー１
<0821> エロエロ団ナンバー１

//<0822> ただのエロ少年
<0822> ただのエロ少年

//<0823> ユリブサイク
<0823> ユリブサイク

//<0824> ドピュッシー
<0824> ドピュッシー

//<0825> アメリカンエロドッグ
<0825> アメリカンエロドッグ

//<0826> ゼウス
<0826> ゼウス

//<0827> 日向markⅡ
<0827> 日向markⅡ

//<0828> 糞虫
<0828> 糞虫

//<0829> 量産型日向
<0829> 量産型日向

//<0830> ？？
<0830> ？？

//<0831> 「お前と話すためにな」
<0831> 「お前と話すためにな」

//<0832> nothing
<0832> nothing

//<0833> nothing
<0833> nothing

//<0834> nothing
<0834> nothing

//<0835> nothing
<0835> nothing

//<0836> nothing
<0836> nothing

//<0837> 岩沢
<0837> 岩沢

//<0838> 「それなんだが…聞いてる時間が無駄に思えてきたんだ。作曲や作詞の時間も奪われるし」
<0838> 「それなんだが…聞いてる時間が無駄に思えてきたんだ。作曲や作詞の時間も奪われるし」

//<0839> 音無
<0839> 音無

//<0840> クソ坊主
<0840> クソ坊主

//<0841> 代理人
<0841> 代理人

//<0842> 微妙すぎるイケメン
<0842> 微妙すぎるイケメン

//<0843> ロリコン
<0843> ロリコン

//<0844> メガネ仲間
<0844> メガネ仲間

//<0845> 暗算日本記録保持者
<0845> 暗算日本記録保持者

//<0846> 通り魔
<0846> 通り魔

//<0847> 記憶ナシ男
<0847> 記憶ナシ男

//<0848> 音速
<0848> 音速

//<0849> 無限
<0849> 無限

//<0850> エロ侍
<0850> エロ侍

//<0851> エロエロ団ナンバー１
<0851> エロエロ団ナンバー１

//<0852> ただのエロ少年
<0852> ただのエロ少年

//<0853> ユリブサイク
<0853> ユリブサイク

//<0854> ドピュッシー
<0854> ドピュッシー

//<0855> アメリカンエロドッグ
<0855> アメリカンエロドッグ

//<0856> ゼウス
<0856> ゼウス

//<0857> 日向markⅡ
<0857> 日向markⅡ

//<0858> 糞虫
<0858> 糞虫

//<0859> 量産型日向
<0859> 量産型日向

//<0860> ？？
<0860> ？？

//<0861> 「ええぇ！？」
<0861> 「ええぇ！？」

//<0862> 音無
<0862> 音無

//<0863> クソ坊主
<0863> クソ坊主

//<0864> 代理人
<0864> 代理人

//<0865> 微妙すぎるイケメン
<0865> 微妙すぎるイケメン

//<0866> ロリコン
<0866> ロリコン

//<0867> メガネ仲間
<0867> メガネ仲間

//<0868> 暗算日本記録保持者
<0868> 暗算日本記録保持者

//<0869> 通り魔
<0869> 通り魔

//<0870> 記憶ナシ男
<0870> 記憶ナシ男

//<0871> 音速
<0871> 音速

//<0872> 無限
<0872> 無限

//<0873> エロ侍
<0873> エロ侍

//<0874> エロエロ団ナンバー１
<0874> エロエロ団ナンバー１

//<0875> ただのエロ少年
<0875> ただのエロ少年

//<0876> ユリブサイク
<0876> ユリブサイク

//<0877> ドピュッシー
<0877> ドピュッシー

//<0878> アメリカンエロドッグ
<0878> アメリカンエロドッグ

//<0879> ゼウス
<0879> ゼウス

//<0880> 日向markⅡ
<0880> 日向markⅡ

//<0881> 糞虫
<0881> 糞虫

//<0882> 量産型日向
<0882> 量産型日向

//<0883> ？？
<0883> ？？

//<0884> 「それは、もうここに来るなって、ことなのか…」
<0884> 「それは、もうここに来るなって、ことなのか…」

//<0885> nothing
<0885> nothing

//<0886> nothing
<0886> nothing

//<0887> nothing
<0887> nothing

//<0888> nothing
<0888> nothing

//<0889> nothing
<0889> nothing

//<0890> 岩沢
<0890> 岩沢

//<0891> 「ぶっちゃけ、そうだよ」
<0891> 「ぶっちゃけ、そうだよ」

//<0892> なんと、ここまで邪魔扱いされていたなんて…。
<0892> なんと、ここまで邪魔扱いされていたなんて…。

//<0893> 岩沢のオブラートに包みもしない言葉が、胸に突き刺さる。
<0893> 岩沢のオブラートに包みもしない言葉が、胸に突き刺さる。

//<0894> 二度とこの時間にここに訪れてはいけない、ということだ…。
<0894> 二度とこの時間にここに訪れてはいけない、ということだ…。

//<0895> nothing
<0895> nothing

//<0896> nothing
<0896> nothing

//<0897> nothing
<0897> nothing

//<0898> nothing
<0898> nothing

//<0899> nothing
<0899> nothing

//<0900> 岩沢
<0900> 岩沢

//<0901> 「なんか顔が真っ青だぜ？」
<0901> 「なんか顔が真っ青だぜ？」

//<0902> 音無
<0902> 音無

//<0903> クソ坊主
<0903> クソ坊主

//<0904> 代理人
<0904> 代理人

//<0905> 微妙すぎるイケメン
<0905> 微妙すぎるイケメン

//<0906> ロリコン
<0906> ロリコン

//<0907> メガネ仲間
<0907> メガネ仲間

//<0908> 暗算日本記録保持者
<0908> 暗算日本記録保持者

//<0909> 通り魔
<0909> 通り魔

//<0910> 記憶ナシ男
<0910> 記憶ナシ男

//<0911> 音速
<0911> 音速

//<0912> 無限
<0912> 無限

//<0913> エロ侍
<0913> エロ侍

//<0914> エロエロ団ナンバー１
<0914> エロエロ団ナンバー１

//<0915> ただのエロ少年
<0915> ただのエロ少年

//<0916> ユリブサイク
<0916> ユリブサイク

//<0917> ドピュッシー
<0917> ドピュッシー

//<0918> アメリカンエロドッグ
<0918> アメリカンエロドッグ

//<0919> ゼウス
<0919> ゼウス

//<0920> 日向markⅡ
<0920> 日向markⅡ

//<0921> 糞虫
<0921> 糞虫

//<0922> 量産型日向
<0922> 量産型日向

//<0923> ？？
<0923> ？？

//<0924> 「自覚してる…」
<0924> 「自覚してる…」

//<0925> 音無
<0925> 音無

//<0926> クソ坊主
<0926> クソ坊主

//<0927> 代理人
<0927> 代理人

//<0928> 微妙すぎるイケメン
<0928> 微妙すぎるイケメン

//<0929> ロリコン
<0929> ロリコン

//<0930> メガネ仲間
<0930> メガネ仲間

//<0931> 暗算日本記録保持者
<0931> 暗算日本記録保持者

//<0932> 通り魔
<0932> 通り魔

//<0933> 記憶ナシ男
<0933> 記憶ナシ男

//<0934> 音速
<0934> 音速

//<0935> 無限
<0935> 無限

//<0936> エロ侍
<0936> エロ侍

//<0937> エロエロ団ナンバー１
<0937> エロエロ団ナンバー１

//<0938> ただのエロ少年
<0938> ただのエロ少年

//<0939> ユリブサイク
<0939> ユリブサイク

//<0940> ドピュッシー
<0940> ドピュッシー

//<0941> アメリカンエロドッグ
<0941> アメリカンエロドッグ

//<0942> ゼウス
<0942> ゼウス

//<0943> 日向markⅡ
<0943> 日向markⅡ

//<0944> 糞虫
<0944> 糞虫

//<0945> 量産型日向
<0945> 量産型日向

//<0946> ？？
<0946> ？？

//<0947> 「わかった、邪魔になるならもう来ない…」
<0947> 「わかった、邪魔になるならもう来ない…」

//<0948> nothing
<0948> nothing

//<0949> nothing
<0949> nothing

//<0950> nothing
<0950> nothing

//<0951> nothing
<0951> nothing

//<0952> nothing
<0952> nothing

//<0953> 岩沢
<0953> 岩沢

//<0954> 「ああ。そうしてくれると助かる」
<0954> 「ああ。そうしてくれると助かる」

//<0955> dummy
<0955> dummy

//<0956> ep03_bg015
<0956> ep03_bg015

//<0957> iw0108
<0957> iw0108

//<0958> iw0207_01
<0958> iw0207_01

//<0959> iw0209_07
<0959> iw0209_07

//<0960> sys_bk_selline00
<0960> sys_bk_selline00

//<0961> iw0101
<0961> iw0101

//<0962> iw0309_01
<0962> iw0309_01

//<0963> sys_bk_selline00
<0963> sys_bk_selline00

//<0964> iw0307_02
<0964> iw0307_02

//<0965> iw0309_08
<0965> iw0309_08

//<0966> iw0307_01
<0966> iw0307_01

//<0967> iw0101
<0967> iw0101

//<0968> sys_bk_selline00
<0968> sys_bk_selline00

//<0969> iw0207_02
<0969> iw0207_02

//<0970> iw0201_08
<0970> iw0201_08

//<0971> iw0209_01
<0971> iw0209_01

//<0972> iw0206_08
<0972> iw0206_08

//<0973> iw0107_09
<0973> iw0107_09

//<0974> iw0101_08
<0974> iw0101_08

//<0975> iw0107_08
<0975> iw0107_08

//<0976> iw0109_08
<0976> iw0109_08

//<0977> iw0107
<0977> iw0107

//<0978> iw0108
<0978> iw0108

//<0979> iw0209
<0979> iw0209

//<0980> iw0101
<0980> iw0101

//<0981> iw0107_01
<0981> iw0107_01

//<0982> iw0108
<0982> iw0108

//<0983> iw0109_01
<0983> iw0109_01

//<0984> iw0208
<0984> iw0208

//<0985> iw0209
<0985> iw0209

//<0986> iw0109_01
<0986> iw0109_01

//<0987> iw0108
<0987> iw0108

//<0988> iw0109
<0988> iw0109

//<0989> iw0101_08
<0989> iw0101_08

//<0990> iw0109_08
<0990> iw0109_08

//<0991> bg_kuro
<0991> bg_kuro

