// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 一旦寮に戻り、ジャージに着替える。
<0000> 一旦寮に戻り、ジャージに着替える。

//<1017> 通り魔
<1017> 通り魔

//<1018> 記憶ナシ男
<1018> 記憶ナシ男

//<1019> 音速
<1019> 音速

//<1020> 無限
<1020> 無限

//<1021> エロ侍
<1021> エロ侍

//<1022> エロエロ団ナンバー１
<1022> エロエロ団ナンバー１

//<1023> ただのエロ少年
<1023> ただのエロ少年

//<1024> ユリブサイク
<1024> ユリブサイク

//<1025> ドピュッシー
<1025> ドピュッシー

//<1026> アメリカンエロドッグ
<1026> アメリカンエロドッグ

//<1027> ゼウス
<1027> ゼウス

//<1028> 日向markⅡ
<1028> 日向markⅡ

//<1029> 糞虫
<1029> 糞虫

//<1030> 量産型日向
<1030> 量産型日向

//<1031> ？？
<1031> ？？

//<1032> （日向を前に、なんてざまだ！！）
<1032> （日向を前に、なんてざまだ！！）

//<1033> nothing
<1033> nothing

//<1034> nothing
<1034> nothing

//<1035> nothing
<1035> nothing

//<1036> nothing
<1036> nothing

//<1037> nothing
<1037> nothing

//<1038> 日向
<1038> 日向

//<1039> 男Ｂ
<1039> 男Ｂ

//<1040> エロエロ団総帥
<1040> エロエロ団総帥

//<1041> イケチン
<1041> イケチン

//<1042> ホモ太
<1042> ホモ太

//<1043> ひなチン
<1043> ひなチン

//<1044> 秀樹
<1044> 秀樹

//<1045> 男子生徒
<1045> 男子生徒

//<1046> ？？
<1046> ？？

//<1047> 「次は背筋だ。また押さえてくれ」
<1047> 「次は背筋だ。また押さえてくれ」

//<1048> nothing
<1048> nothing

//<1049> nothing
<1049> nothing

//<1050> nothing
<1050> nothing

//<1051> nothing
<1051> nothing

//<1052> nothing
<1052> nothing

//<1053> nothing
<1053> nothing

//<1054> 地味な筋トレが続くも、俺は幹部としてまだまだなんだと痛感させられた…。
<1054> 地味な筋トレが続くも、俺は幹部としてまだまだなんだと痛感させられた…。

//<1055> トレーニングを切り上げて、ジャージから制服に着替える。
<1055> トレーニングを切り上げて、ジャージから制服に着替える。

//<1056> 腹もいい具合に減ってきたので、日向と一緒に学食に向かった。
<1056> 腹もいい具合に減ってきたので、日向と一緒に学食に向かった。

//<1057> nothing
<1057> nothing

//<1058> nothing
<1058> nothing

//<1059> nothing
<1059> nothing

//<1060> nothing
<1060> nothing

//<1061> nothing
<1061> nothing

//<1062> 日向
<1062> 日向

//<1063> 男Ｂ
<1063> 男Ｂ

//<1064> エロエロ団総帥
<1064> エロエロ団総帥

//<1065> イケチン
<1065> イケチン

//<1066> ホモ太
<1066> ホモ太

//<1067> ひなチン
<1067> ひなチン

//<1068> 秀樹
<1068> 秀樹

//<1069> 男子生徒
<1069> 男子生徒

//<1070> ？？
<1070> ？？

//<1071> 「さて、昼飯のお時間だ。美味しいご飯を食べて元気になってくれ」
<1071> 「さて、昼飯のお時間だ。美味しいご飯を食べて元気になってくれ」

//<1072> 音無
<1072> 音無

//<1073> クソ坊主
<1073> クソ坊主

//<1074> 代理人
<1074> 代理人

//<1075> 微妙すぎるイケメン
<1075> 微妙すぎるイケメン

//<1076> ロリコン
<1076> ロリコン

//<1077> メガネ仲間
<1077> メガネ仲間

//<1078> 暗算日本記録保持者
<1078> 暗算日本記録保持者

//<1079> 通り魔
<1079> 通り魔

//<1080> 記憶ナシ男
<1080> 記憶ナシ男

//<1081> 音速
<1081> 音速

//<1082> 無限
<1082> 無限

//<1083> エロ侍
<1083> エロ侍

//<1084> エロエロ団ナンバー１
<1084> エロエロ団ナンバー１

//<1085> ただのエロ少年
<1085> ただのエロ少年

//<1086> ユリブサイク
<1086> ユリブサイク

//<1087> ドピュッシー
<1087> ドピュッシー

//<1088> アメリカンエロドッグ
<1088> アメリカンエロドッグ

//<1089> ゼウス
<1089> ゼウス

//<1090> 日向markⅡ
<1090> 日向markⅡ

//<1091> 糞虫
<1091> 糞虫

//<1092> 量産型日向
<1092> 量産型日向

//<1093> ？？
<1093> ？？

//<1094> 「俺、金も食券もないんだが…」
<1094> 「俺、金も食券もないんだが…」

//<1095> nothing
<1095> nothing

//<1096> nothing
<1096> nothing

//<1097> nothing
<1097> nothing

//<1098> nothing
<1098> nothing

//<1099> nothing
<1099> nothing

//<1100> 日向
<1100> 日向

//<1101> 男Ｂ
<1101> 男Ｂ

//<1102> エロエロ団総帥
<1102> エロエロ団総帥

//<1103> イケチン
<1103> イケチン

//<1104> ホモ太
<1104> ホモ太

//<1105> ひなチン
<1105> ひなチン

//<1106> 秀樹
<1106> 秀樹

//<1107> 男子生徒
<1107> 男子生徒

//<1108> ？？
<1108> ？？

//<1109> 「ああ、そうだったな」
<1109> 「ああ、そうだったな」

//<1110> 音無
<1110> 音無

//<1111> クソ坊主
<1111> クソ坊主

//<1112> 代理人
<1112> 代理人

//<1113> 微妙すぎるイケメン
<1113> 微妙すぎるイケメン

//<1114> ロリコン
<1114> ロリコン

//<1115> メガネ仲間
<1115> メガネ仲間

//<1116> 暗算日本記録保持者
<1116> 暗算日本記録保持者

//<1117> 通り魔
<1117> 通り魔

//<1118> 記憶ナシ男
<1118> 記憶ナシ男

//<1119> 音速
<1119> 音速

//<1120> 無限
<1120> 無限

//<1121> エロ侍
<1121> エロ侍

//<1122> エロエロ団ナンバー１
<1122> エロエロ団ナンバー１

//<1123> ただのエロ少年
<1123> ただのエロ少年

//<1124> ユリブサイク
<1124> ユリブサイク

//<1125> ドピュッシー
<1125> ドピュッシー

//<1126> アメリカンエロドッグ
<1126> アメリカンエロドッグ

//<1127> ゼウス
<1127> ゼウス

//<1128> 日向markⅡ
<1128> 日向markⅡ

//<1129> 糞虫
<1129> 糞虫

//<1130> 量産型日向
<1130> 量産型日向

//<1131> ？？
<1131> ？？

//<1132> 「悪いな、奢ってもらって」
<1132> 「悪いな、奢ってもらって」

//<1133> 昼食は日向がごちそうしてくれることになった。
<1133> 昼食は日向がごちそうしてくれることになった。

//<1134> トレーニングを手伝ってくれたお礼らしいので、遠慮なく厚意を受け取ることにする。
<1134> トレーニングを手伝ってくれたお礼らしいので、遠慮なく厚意を受け取ることにする。

//<1135> nothing
<1135> nothing

//<1136> nothing
<1136> nothing

//<1137> nothing
<1137> nothing

//<1138> nothing
<1138> nothing

//<1139> nothing
<1139> nothing

//<1140> 日向
<1140> 日向

//<1141> 男Ｂ
<1141> 男Ｂ

//<1142> エロエロ団総帥
<1142> エロエロ団総帥

//<1143> イケチン
<1143> イケチン

//<1144> ホモ太
<1144> ホモ太

//<1145> ひなチン
<1145> ひなチン

//<1146> 秀樹
<1146> 秀樹

//<1147> 男子生徒
<1147> 男子生徒

//<1148> ？？
<1148> ？？

//<1149> 「問題ない。ついてこいよ」
<1149> 「問題ない。ついてこいよ」

//<1150> se_gaya
<1150> se_gaya

//<1151> nothing
<1151> nothing

//<1152> nothing
<1152> nothing

//<1153> nothing
<1153> nothing

//<1154> nothing
<1154> nothing

//<1155> nothing
<1155> nothing

//<1156> 日向
<1156> 日向

//<1157> 男Ｂ
<1157> 男Ｂ

//<1158> エロエロ団総帥
<1158> エロエロ団総帥

//<1159> イケチン
<1159> イケチン

//<1160> ホモ太
<1160> ホモ太

//<1161> ひなチン
<1161> ひなチン

//<1162> 秀樹
<1162> 秀樹

//<1163> 男子生徒
<1163> 男子生徒

//<1164> ？？
<1164> ？？

//<1165> 「食券はランダムで決めるぜ？」
<1165> 「食券はランダムで決めるぜ？」

//<1166> nothing
<1166> nothing

//<1167> nothing
<1167> nothing

//<1168> nothing
<1168> nothing

//<1169> nothing
<1169> nothing

//<1170> nothing
<1170> nothing

//<1171> 日向がポケットを探る。
<1171> 日向がポケットを探る。

//<1172> nothing
<1172> nothing

//<1173> nothing
<1173> nothing

//<1174> nothing
<1174> nothing

//<1175> nothing
<1175> nothing

//<1176> nothing
<1176> nothing

//<1177> 日向
<1177> 日向

//<1178> 男Ｂ
<1178> 男Ｂ

//<1179> エロエロ団総帥
<1179> エロエロ団総帥

//<1180> イケチン
<1180> イケチン

//<1181> ホモ太
<1181> ホモ太

//<1182> ひなチン
<1182> ひなチン

//<1183> 秀樹
<1183> 秀樹

//<1184> 男子生徒
<1184> 男子生徒

//<1185> ？？
<1185> ？？

//<1186> 「まず、俺はこれだぁ！」
<1186> 「まず、俺はこれだぁ！」

//<1187> nothing
<1187> nothing

//<1188> nothing
<1188> nothing

//<1189> nothing
<1189> nothing

//<1190> nothing
<1190> nothing

//<1191> nothing
<1191> nothing

//<1192> 食券を摘まみ上げた。
<1192> 食券を摘まみ上げた。

//<1193> nothing
<1193> nothing

//<1194> nothing
<1194> nothing

//<1195> nothing
<1195> nothing

//<1196> nothing
<1196> nothing

//<1197> nothing
<1197> nothing

//<1198> 日向
<1198> 日向

//<1199> 男Ｂ
<1199> 男Ｂ

//<1200> エロエロ団総帥
<1200> エロエロ団総帥

//<1201> イケチン
<1201> イケチン

//<1202> ホモ太
<1202> ホモ太

//<1203> ひなチン
<1203> ひなチン

//<1204> 秀樹
<1204> 秀樹

//<1205> 男子生徒
<1205> 男子生徒

//<1206> ？？
<1206> ？？

//<1207> 「おろしチキンカツ定食、よっしゃあぁぁーー！！」
<1207> 「おろしチキンカツ定食、よっしゃあぁぁーー！！」

//<1208> nothing
<1208> nothing

//<1209> nothing
<1209> nothing

//<1210> nothing
<1210> nothing

//<1211> nothing
<1211> nothing

//<1212> nothing
<1212> nothing

//<1213> 日向
<1213> 日向

//<1214> 男Ｂ
<1214> 男Ｂ

//<1215> エロエロ団総帥
<1215> エロエロ団総帥

//<1216> イケチン
<1216> イケチン

//<1217> ホモ太
<1217> ホモ太

//<1218> ひなチン
<1218> ひなチン

//<1219> 秀樹
<1219> 秀樹

//<1220> 男子生徒
<1220> 男子生徒

//<1221> ？？
<1221> ？？

//<1222> 「次はただのエロ少年、お前の食券だぜ。いくぞ…」
<1222> 「次はただのエロ少年、お前の食券だぜ。いくぞ…」

//<1223> 日向
<1223> 日向

//<1224> 男Ｂ
<1224> 男Ｂ

//<1225> エロエロ団総帥
<1225> エロエロ団総帥

//<1226> イケチン
<1226> イケチン

//<1227> ホモ太
<1227> ホモ太

//<1228> ひなチン
<1228> ひなチン

//<1229> 秀樹
<1229> 秀樹

//<1230> 男子生徒
<1230> 男子生徒

//<1231> ？？
<1231> ？？

//<1232> 「次は音無、お前の食券だぜ。いくぞ…」
<1232> 「次は音無、お前の食券だぜ。いくぞ…」

//<1233> 音無
<1233> 音無

//<1234> クソ坊主
<1234> クソ坊主

//<1235> 代理人
<1235> 代理人

//<1236> 微妙すぎるイケメン
<1236> 微妙すぎるイケメン

//<1237> ロリコン
<1237> ロリコン

//<1238> メガネ仲間
<1238> メガネ仲間

//<1239> 暗算日本記録保持者
<1239> 暗算日本記録保持者

//<1240> 通り魔
<1240> 通り魔

//<1241> 記憶ナシ男
<1241> 記憶ナシ男

//<1242> 音速
<1242> 音速

//<1243> 無限
<1243> 無限

//<1244> エロ侍
<1244> エロ侍

//<1245> エロエロ団ナンバー１
<1245> エロエロ団ナンバー１

//<1246> ただのエロ少年
<1246> ただのエロ少年

//<1247> ユリブサイク
<1247> ユリブサイク

//<1248> ドピュッシー
<1248> ドピュッシー

//<1249> アメリカンエロドッグ
<1249> アメリカンエロドッグ

//<1250> ゼウス
<1250> ゼウス

//<1251> 日向markⅡ
<1251> 日向markⅡ

//<1252> 糞虫
<1252> 糞虫

//<1253> 量産型日向
<1253> 量産型日向

//<1254> ？？
<1254> ？？

//<1255> 「ああ」
<1255> 「ああ」

//<1256> nothing
<1256> nothing

//<1257> nothing
<1257> nothing

//<1258> nothing
<1258> nothing

//<1259> nothing
<1259> nothing

//<1260> nothing
<1260> nothing

//<1261> 再びポケットを探る。
<1261> 再びポケットを探る。

//<1262> nothing
<1262> nothing

//<1263> nothing
<1263> nothing

//<1264> nothing
<1264> nothing

//<1265> nothing
<1265> nothing

//<1266> nothing
<1266> nothing

//<1267> 日向
<1267> 日向

//<1268> 男Ｂ
<1268> 男Ｂ

//<1269> エロエロ団総帥
<1269> エロエロ団総帥

//<1270> イケチン
<1270> イケチン

//<1271> ホモ太
<1271> ホモ太

//<1272> ひなチン
<1272> ひなチン

//<1273> 秀樹
<1273> 秀樹

//<1274> 男子生徒
<1274> 男子生徒

//<1275> ？？
<1275> ？？

//<1276> 「お前はこれだぁ！」
<1276> 「お前はこれだぁ！」

//<1277> 音無
<1277> 音無

//<1278> クソ坊主
<1278> クソ坊主

//<1279> 代理人
<1279> 代理人

//<1280> 微妙すぎるイケメン
<1280> 微妙すぎるイケメン

//<1281> ロリコン
<1281> ロリコン

//<1282> メガネ仲間
<1282> メガネ仲間

//<1283> 暗算日本記録保持者
<1283> 暗算日本記録保持者

//<1284> 通り魔
<1284> 通り魔

//<1285> 記憶ナシ男
<1285> 記憶ナシ男

//<1286> 音速
<1286> 音速

//<1287> 無限
<1287> 無限

//<1288> エロ侍
<1288> エロ侍

//<1289> エロエロ団ナンバー１
<1289> エロエロ団ナンバー１

//<1290> ただのエロ少年
<1290> ただのエロ少年

//<1291> ユリブサイク
<1291> ユリブサイク

//<1292> ドピュッシー
<1292> ドピュッシー

//<1293> アメリカンエロドッグ
<1293> アメリカンエロドッグ

//<1294> ゼウス
<1294> ゼウス

//<1295> 日向markⅡ
<1295> 日向markⅡ

//<1296> 糞虫
<1296> 糞虫

//<1297> 量産型日向
<1297> 量産型日向

//<1298> ？？
<1298> ？？

//<1299> 「なんだ？」
<1299> 「なんだ？」

//<1300> nothing
<1300> nothing

//<1301> nothing
<1301> nothing

//<1302> nothing
<1302> nothing

//<1303> nothing
<1303> nothing

//<1304> nothing
<1304> nothing

//<1305> 日向
<1305> 日向

//<1306> 男Ｂ
<1306> 男Ｂ

//<1307> エロエロ団総帥
<1307> エロエロ団総帥

//<1308> イケチン
<1308> イケチン

//<1309> ホモ太
<1309> ホモ太

//<1310> ひなチン
<1310> ひなチン

//<1311> 秀樹
<1311> 秀樹

//<1312> 男子生徒
<1312> 男子生徒

//<1313> ？？
<1313> ？？
{24d9f} 33 // 1313

//<1314> 「えーと、ゴーヤチャンプルー定食ーー！！」
<1314> 「えーと、ゴーヤチャンプルー定食ーー！！」

//<1315> nothing
<1315> nothing

//<1316> nothing
<1316> nothing

//<1317> nothing
<1317> nothing

//<1318> nothing
<1318> nothing

//<1319> nothing
<1319> nothing

//<1320> 音無
<1320> 音無

//<1321> クソ坊主
<1321> クソ坊主

//<1322> 代理人
<1322> 代理人

//<1323> 微妙すぎるイケメン
<1323> 微妙すぎるイケメン

//<1324> ロリコン
<1324> ロリコン

//<1325> メガネ仲間
<1325> メガネ仲間

//<1326> 暗算日本記録保持者
<1326> 暗算日本記録保持者

//<1327> 通り魔
<1327> 通り魔

//<1328> 記憶ナシ男
<1328> 記憶ナシ男

//<1329> 音速
<1329> 音速

//<1330> 無限
<1330> 無限

//<1331> エロ侍
<1331> エロ侍

//<1332> エロエロ団ナンバー１
<1332> エロエロ団ナンバー１

//<1333> ただのエロ少年
<1333> ただのエロ少年

//<1334> ユリブサイク
<1334> ユリブサイク

//<1335> ドピュッシー
<1335> ドピュッシー

//<1336> アメリカンエロドッグ
<1336> アメリカンエロドッグ

//<1337> ゼウス
<1337> ゼウス

//<1338> 日向markⅡ
<1338> 日向markⅡ

//<1339> 糞虫
<1339> 糞虫

//<1340> 量産型日向
<1340> 量産型日向

//<1341> ？？
<1341> ？？

//<1342> 「すげーメニューがあるんだな…」
<1342> 「すげーメニューがあるんだな…」

//<1343> nothing
<1343> nothing

//<1344> nothing
<1344> nothing

//<1345> nothing
<1345> nothing

//<1346> nothing
<1346> nothing

//<1347> nothing
<1347> nothing

//<1348> nothing
<1348> nothing

//<1349> カウンターに食券を差し出し、受け渡し口に並ぶ。
<1349> カウンターに食券を差し出し、受け渡し口に並ぶ。

//<1350> 食堂のおばさん
<1350> 食堂のおばさん

//<1351> 「はいよー、ゴーヤチャンプルー定食とおろしチキンカツ定食ー」
<1351> 「はいよー、ゴーヤチャンプルー定食とおろしチキンカツ定食ー」

//<1352> 出てきた盆を持って、テーブルに向かい合って座る。
<1352> 出てきた盆を持って、テーブルに向かい合って座る。

//<1353> nothing
<1353> nothing

//<1354> nothing
<1354> nothing

//<1355> nothing
<1355> nothing

//<1356> nothing
<1356> nothing

//<1357> nothing
<1357> nothing

//<1358> 目の前のおろしチキンカツ定食がすごく美味そうに思える…。
<1358> 目の前のおろしチキンカツ定食がすごく美味そうに思える…。

//<1359> nothing
<1359> nothing

//<1360> nothing
<1360> nothing

//<1361> nothing
<1361> nothing

//<1362> nothing
<1362> nothing

//<1363> nothing
<1363> nothing

//<1364> 日向
<1364> 日向

//<1365> 男Ｂ
<1365> 男Ｂ

//<1366> エロエロ団総帥
<1366> エロエロ団総帥

//<1367> イケチン
<1367> イケチン

//<1368> ホモ太
<1368> ホモ太

//<1369> ひなチン
<1369> ひなチン

//<1370> 秀樹
<1370> 秀樹

//<1371> 男子生徒
<1371> 男子生徒

//<1372> ？？
<1372> ？？

//<1373> 「どうした？　ゴーヤが苦手だったり？」
<1373> 「どうした？　ゴーヤが苦手だったり？」

//<1374> 音無
<1374> 音無

//<1375> クソ坊主
<1375> クソ坊主

//<1376> 代理人
<1376> 代理人

//<1377> 微妙すぎるイケメン
<1377> 微妙すぎるイケメン

//<1378> ロリコン
<1378> ロリコン

//<1379> メガネ仲間
<1379> メガネ仲間

//<1380> 暗算日本記録保持者
<1380> 暗算日本記録保持者

//<1381> 通り魔
<1381> 通り魔

//<1382> 記憶ナシ男
<1382> 記憶ナシ男

//<1383> 音速
<1383> 音速

//<1384> 無限
<1384> 無限

//<1385> エロ侍
<1385> エロ侍

//<1386> エロエロ団ナンバー１
<1386> エロエロ団ナンバー１

//<1387> ただのエロ少年
<1387> ただのエロ少年

//<1388> ユリブサイク
<1388> ユリブサイク

//<1389> ドピュッシー
<1389> ドピュッシー

//<1390> アメリカンエロドッグ
<1390> アメリカンエロドッグ

//<1391> ゼウス
<1391> ゼウス

//<1392> 日向markⅡ
<1392> 日向markⅡ

//<1393> 糞虫
<1393> 糞虫

//<1394> 量産型日向
<1394> 量産型日向

//<1395> ？？
<1395> ？？

//<1396> 「記憶喪失だし、食べてみないことにはわからない…」
<1396> 「記憶喪失だし、食べてみないことにはわからない…」

//<1397> nothing
<1397> nothing

//<1398> nothing
<1398> nothing

//<1399> nothing
<1399> nothing

//<1400> nothing
<1400> nothing

//<1401> nothing
<1401> nothing

//<1402> 日向
<1402> 日向

//<1403> 男Ｂ
<1403> 男Ｂ

//<1404> エロエロ団総帥
<1404> エロエロ団総帥

//<1405> イケチン
<1405> イケチン

//<1406> ホモ太
<1406> ホモ太

//<1407> ひなチン
<1407> ひなチン

//<1408> 秀樹
<1408> 秀樹

//<1409> 男子生徒
<1409> 男子生徒

//<1410> ？？
<1410> ？？

//<1411> 「だろーな。では頂きます」
<1411> 「だろーな。では頂きます」

//<1412> 音無
<1412> 音無

//<1413> クソ坊主
<1413> クソ坊主

//<1414> 代理人
<1414> 代理人

//<1415> 微妙すぎるイケメン
<1415> 微妙すぎるイケメン

//<1416> ロリコン
<1416> ロリコン

//<1417> メガネ仲間
<1417> メガネ仲間

//<1418> 暗算日本記録保持者
<1418> 暗算日本記録保持者

//<1419> 通り魔
<1419> 通り魔

//<1420> 記憶ナシ男
<1420> 記憶ナシ男

//<1421> 音速
<1421> 音速

//<1422> 無限
<1422> 無限

//<1423> エロ侍
<1423> エロ侍

//<1424> エロエロ団ナンバー１
<1424> エロエロ団ナンバー１

//<1425> ただのエロ少年
<1425> ただのエロ少年

//<1426> ユリブサイク
<1426> ユリブサイク

//<1427> ドピュッシー
<1427> ドピュッシー

//<1428> アメリカンエロドッグ
<1428> アメリカンエロドッグ

//<1429> ゼウス
<1429> ゼウス

//<1430> 日向markⅡ
<1430> 日向markⅡ

//<1431> 糞虫
<1431> 糞虫

//<1432> 量産型日向
<1432> 量産型日向

//<1433> ？？
<1433> ？？

//<1434> 「頂きます」
<1434> 「頂きます」

//<1435> nothing
<1435> nothing

//<1436> nothing
<1436> nothing

//<1437> nothing
<1437> nothing

//<1438> nothing
<1438> nothing

//<1439> nothing
<1439> nothing

//<1440> nothing
<1440> nothing

//<1441> まずゴーヤだけを食べてみる。
<1441> まずゴーヤだけを食べてみる。

//<1442> この味は…。
<1442> この味は…。

//<1443> 音無
<1443> 音無

//<1444> クソ坊主
<1444> クソ坊主

//<1445> 代理人
<1445> 代理人

//<1446> 微妙すぎるイケメン
<1446> 微妙すぎるイケメン

//<1447> ロリコン
<1447> ロリコン

//<1448> メガネ仲間
<1448> メガネ仲間

//<1449> 暗算日本記録保持者
<1449> 暗算日本記録保持者

//<1450> 通り魔
<1450> 通り魔

//<1451> 記憶ナシ男
<1451> 記憶ナシ男

//<1452> 音速
<1452> 音速

//<1453> 無限
<1453> 無限

//<1454> エロ侍
<1454> エロ侍

//<1455> エロエロ団ナンバー１
<1455> エロエロ団ナンバー１

//<1456> ただのエロ少年
<1456> ただのエロ少年

//<1457> ユリブサイク
<1457> ユリブサイク

//<1458> ドピュッシー
<1458> ドピュッシー

//<1459> アメリカンエロドッグ
<1459> アメリカンエロドッグ

//<1460> ゼウス
<1460> ゼウス

//<1461> 日向markⅡ
<1461> 日向markⅡ

//<1462> 糞虫
<1462> 糞虫

//<1463> 量産型日向
<1463> 量産型日向

//<1464> ？？
<1464> ？？

//<1465> 「苦っ！」
<1465> 「苦っ！」

//<1466> nothing
<1466> nothing

//<1467> nothing
<1467> nothing

//<1468> nothing
<1468> nothing

//<1469> nothing
<1469> nothing

//<1470> nothing
<1470> nothing

//<1471> 日向
<1471> 日向

//<1472> 男Ｂ
<1472> 男Ｂ

//<1473> エロエロ団総帥
<1473> エロエロ団総帥

//<1474> イケチン
<1474> イケチン

//<1475> ホモ太
<1475> ホモ太

//<1476> ひなチン
<1476> ひなチン

//<1477> 秀樹
<1477> 秀樹

//<1478> 男子生徒
<1478> 男子生徒

//<1479> ？？
<1479> ？？

//<1480> 「え？　苦手か？」
<1480> 「え？　苦手か？」

//<1481> 音無
<1481> 音無

//<1482> クソ坊主
<1482> クソ坊主

//<1483> 代理人
<1483> 代理人

//<1484> 微妙すぎるイケメン
<1484> 微妙すぎるイケメン

//<1485> ロリコン
<1485> ロリコン

//<1486> メガネ仲間
<1486> メガネ仲間

//<1487> 暗算日本記録保持者
<1487> 暗算日本記録保持者

//<1488> 通り魔
<1488> 通り魔

//<1489> 記憶ナシ男
<1489> 記憶ナシ男

//<1490> 音速
<1490> 音速

//<1491> 無限
<1491> 無限

//<1492> エロ侍
<1492> エロ侍

//<1493> エロエロ団ナンバー１
<1493> エロエロ団ナンバー１

//<1494> ただのエロ少年
<1494> ただのエロ少年

//<1495> ユリブサイク
<1495> ユリブサイク

//<1496> ドピュッシー
<1496> ドピュッシー

//<1497> アメリカンエロドッグ
<1497> アメリカンエロドッグ

//<1498> ゼウス
<1498> ゼウス

//<1499> 日向markⅡ
<1499> 日向markⅡ

//<1500> 糞虫
<1500> 糞虫

//<1501> 量産型日向
<1501> 量産型日向

//<1502> ？？
<1502> ？？

//<1503> 「いや、これぐらいなら大丈夫だ…」
<1503> 「いや、これぐらいなら大丈夫だ…」

//<1504> nothing
<1504> nothing

//<1505> nothing
<1505> nothing

//<1506> nothing
<1506> nothing

//<1507> nothing
<1507> nothing

//<1508> nothing
<1508> nothing

//<1509> nothing
<1509> nothing

//<1510> 記憶にない味だったが、黙々と食べる。
<1510> 記憶にない味だったが、黙々と食べる。

//<1511> nothing
<1511> nothing

//<1512> nothing
<1512> nothing

//<1513> nothing
<1513> nothing

//<1514> nothing
<1514> nothing

//<1515> nothing
<1515> nothing

//<1516> 日向
<1516> 日向

//<1517> 男Ｂ
<1517> 男Ｂ

//<1518> エロエロ団総帥
<1518> エロエロ団総帥

//<1519> イケチン
<1519> イケチン

//<1520> ホモ太
<1520> ホモ太

//<1521> ひなチン
<1521> ひなチン

//<1522> 秀樹
<1522> 秀樹

//<1523> 男子生徒
<1523> 男子生徒

//<1524> ？？
<1524> ？？

//<1525> 「お前、昨日のトルネードで拾った食券、一枚だけだろ」
<1525> 「お前、昨日のトルネードで拾った食券、一枚だけだろ」

//<1526> 音無
<1526> 音無

//<1527> クソ坊主
<1527> クソ坊主

//<1528> 代理人
<1528> 代理人

//<1529> 微妙すぎるイケメン
<1529> 微妙すぎるイケメン

//<1530> ロリコン
<1530> ロリコン

//<1531> メガネ仲間
<1531> メガネ仲間

//<1532> 暗算日本記録保持者
<1532> 暗算日本記録保持者

//<1533> 通り魔
<1533> 通り魔

//<1534> 記憶ナシ男
<1534> 記憶ナシ男

//<1535> 音速
<1535> 音速

//<1536> 無限
<1536> 無限

//<1537> エロ侍
<1537> エロ侍

//<1538> エロエロ団ナンバー１
<1538> エロエロ団ナンバー１

//<1539> ただのエロ少年
<1539> ただのエロ少年

//<1540> ユリブサイク
<1540> ユリブサイク

//<1541> ドピュッシー
<1541> ドピュッシー

//<1542> アメリカンエロドッグ
<1542> アメリカンエロドッグ

//<1543> ゼウス
<1543> ゼウス

//<1544> 日向markⅡ
<1544> 日向markⅡ

//<1545> 糞虫
<1545> 糞虫

//<1546> 量産型日向
<1546> 量産型日向

//<1547> ？？
<1547> ？？

//<1548> 「ああ」
<1548> 「ああ」

//<1549> nothing
<1549> nothing

//<1550> nothing
<1550> nothing

//<1551> nothing
<1551> nothing

//<1552> nothing
<1552> nothing

//<1553> nothing
<1553> nothing

//<1554> 日向
<1554> 日向

//<1555> 男Ｂ
<1555> 男Ｂ

//<1556> エロエロ団総帥
<1556> エロエロ団総帥

//<1557> イケチン
<1557> イケチン

//<1558> ホモ太
<1558> ホモ太

//<1559> ひなチン
<1559> ひなチン

//<1560> 秀樹
<1560> 秀樹

//<1561> 男子生徒
<1561> 男子生徒

//<1562> ？？
<1562> ？？

//<1563> 「いつでも好きに食えるように、ほら、やるよ」
<1563> 「いつでも好きに食えるように、ほら、やるよ」

//<1564> nothing
<1564> nothing

//<1565> nothing
<1565> nothing

//<1566> nothing
<1566> nothing

//<1567> nothing
<1567> nothing

//<1568> nothing
<1568> nothing

//<1569> nothing
<1569> nothing

//<1570> ポケットから適当に食券を俺の手のひらにばらばらと載せてくれる。
<1570> ポケットから適当に食券を俺の手のひらにばらばらと載せてくれる。

//<1571> 音無
<1571> 音無

//<1572> クソ坊主
<1572> クソ坊主

//<1573> 代理人
<1573> 代理人

//<1574> 微妙すぎるイケメン
<1574> 微妙すぎるイケメン

//<1575> ロリコン
<1575> ロリコン

//<1576> メガネ仲間
