// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 食欲も湧かないけど、とりあえず食堂に向かう。
<0000> 食欲も湧かないけど、とりあえず食堂に向かう。
//<0537> 考えてみれば…この世界に来てから、日向以外とふたりきりで食事をするのは初めてな気がする。
<0537> 考えてみれば…この世界に来てから、日向以外とふたりきりで食事をするのは初めてな気がする。

//<0538> 藤巻がどんなメニューを奢ってくれるのか、楽しみだ。
<0538> 藤巻がどんなメニューを奢ってくれるのか、楽しみだ。

//<0539> nothing
<0539> nothing

//<0540> nothing
<0540> nothing

//<0541> nothing
<0541> nothing

//<0542> nothing
<0542> nothing

//<0543> nothing
<0543> nothing

//<0544> 藤巻
<0544> 藤巻

//<0545> 「こいつはかなりレアな食券だぜ」
<0545> 「こいつはかなりレアな食券だぜ」

//<0546> nothing
<0546> nothing

//<0547> nothing
<0547> nothing

//<0548> nothing
<0548> nothing

//<0549> nothing
<0549> nothing

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> 食券を受け取り、メニューを見ると。
<0552> 食券を受け取り、メニューを見ると。

//<0553> 音無
<0553> 音無

//<0554> クソ坊主
<0554> クソ坊主

//<0555> 代理人
<0555> 代理人

//<0556> 微妙すぎるイケメン
<0556> 微妙すぎるイケメン

//<0557> ロリコン
<0557> ロリコン

//<0558> メガネ仲間
<0558> メガネ仲間

//<0559> 暗算日本記録保持者
<0559> 暗算日本記録保持者

//<0560> 通り魔
<0560> 通り魔

//<0561> 記憶ナシ男
<0561> 記憶ナシ男

//<0562> 音速
<0562> 音速

//<0563> 無限
<0563> 無限

//<0564> エロ侍
<0564> エロ侍

//<0565> エロエロ団ナンバー１
<0565> エロエロ団ナンバー１

//<0566> ただのエロ少年
<0566> ただのエロ少年

//<0567> ユリブサイク
<0567> ユリブサイク

//<0568> ドピュッシー
<0568> ドピュッシー

//<0569> アメリカンエロドッグ
<0569> アメリカンエロドッグ

//<0570> ゼウス
<0570> ゼウス

//<0571> 日向markⅡ
<0571> 日向markⅡ

//<0572> 糞虫
<0572> 糞虫

//<0573> 量産型日向
<0573> 量産型日向

//<0574> ？？
<0574> ？？

//<0575> 「またもトムヤムカレーーーーーーー！！」
<0575> 「またもトムヤムカレーーーーーーー！！」

//<0576> nothing
<0576> nothing

//<0577> nothing
<0577> nothing

//<0578> nothing
<0578> nothing

//<0579> nothing
<0579> nothing

//<0580> nothing
<0580> nothing

//<0581> 藤巻
<0581> 藤巻

//<0582> 「え？　どうしてショック受けたみたいになってんだよ」
<0582> 「え？　どうしてショック受けたみたいになってんだよ」

//<0583> 音無
<0583> 音無

//<0584> クソ坊主
<0584> クソ坊主

//<0585> 代理人
<0585> 代理人

//<0586> 微妙すぎるイケメン
<0586> 微妙すぎるイケメン

//<0587> ロリコン
<0587> ロリコン

//<0588> メガネ仲間
<0588> メガネ仲間

//<0589> 暗算日本記録保持者
<0589> 暗算日本記録保持者

//<0590> 通り魔
<0590> 通り魔

//<0591> 記憶ナシ男
<0591> 記憶ナシ男

//<0592> 音速
<0592> 音速

//<0593> 無限
<0593> 無限

//<0594> エロ侍
<0594> エロ侍

//<0595> エロエロ団ナンバー１
<0595> エロエロ団ナンバー１

//<0596> ただのエロ少年
<0596> ただのエロ少年

//<0597> ユリブサイク
<0597> ユリブサイク

//<0598> ドピュッシー
<0598> ドピュッシー

//<0599> アメリカンエロドッグ
<0599> アメリカンエロドッグ

//<0600> ゼウス
<0600> ゼウス

//<0601> 日向markⅡ
<0601> 日向markⅡ

//<0602> 糞虫
<0602> 糞虫

//<0603> 量産型日向
<0603> 量産型日向

//<0604> ？？
<0604> ？？

//<0605> 「お前、これ食ったことあるのかよ！？」
<0605> 「お前、これ食ったことあるのかよ！？」

//<0606> nothing
<0606> nothing

//<0607> nothing
<0607> nothing

//<0608> nothing
<0608> nothing

//<0609> nothing
<0609> nothing

//<0610> nothing
<0610> nothing

//<0611> 藤巻
<0611> 藤巻

//<0612> 「ああ、もちろん。絶品だったぜ？」
<0612> 「ああ、もちろん。絶品だったぜ？」

//<0613> 音無
<0613> 音無

//<0614> クソ坊主
<0614> クソ坊主

//<0615> 代理人
<0615> 代理人

//<0616> 微妙すぎるイケメン
<0616> 微妙すぎるイケメン

//<0617> ロリコン
<0617> ロリコン

//<0618> メガネ仲間
<0618> メガネ仲間

//<0619> 暗算日本記録保持者
<0619> 暗算日本記録保持者

//<0620> 通り魔
<0620> 通り魔

//<0621> 記憶ナシ男
<0621> 記憶ナシ男

//<0622> 音速
<0622> 音速

//<0623> 無限
<0623> 無限

//<0624> エロ侍
<0624> エロ侍

//<0625> エロエロ団ナンバー１
<0625> エロエロ団ナンバー１

//<0626> ただのエロ少年
<0626> ただのエロ少年

//<0627> ユリブサイク
<0627> ユリブサイク

//<0628> ドピュッシー
<0628> ドピュッシー

//<0629> アメリカンエロドッグ
<0629> アメリカンエロドッグ

//<0630> ゼウス
<0630> ゼウス

//<0631> 日向markⅡ
<0631> 日向markⅡ

//<0632> 糞虫
<0632> 糞虫

//<0633> 量産型日向
<0633> 量産型日向

//<0634> ？？
<0634> ？？

//<0635> （あれを美味しいと感じる日本人が居たのかあぁぁーー！！）
<0635> （あれを美味しいと感じる日本人が居たのかあぁぁーー！！）

//<0636> nothing
<0636> nothing

//<0637> nothing
<0637> nothing

//<0638> nothing
<0638> nothing

//<0639> nothing
<0639> nothing

//<0640> nothing
<0640> nothing

//<0641> 藤巻
<0641> 藤巻

//<0642> 「まあ、騙されたと思って、食ってみろよ」
<0642> 「まあ、騙されたと思って、食ってみろよ」

//<0643> 音無
<0643> 音無

//<0644> クソ坊主
<0644> クソ坊主

//<0645> 代理人
<0645> 代理人

//<0646> 微妙すぎるイケメン
<0646> 微妙すぎるイケメン

//<0647> ロリコン
<0647> ロリコン

//<0648> メガネ仲間
<0648> メガネ仲間

//<0649> 暗算日本記録保持者
<0649> 暗算日本記録保持者

//<0650> 通り魔
<0650> 通り魔

//<0651> 記憶ナシ男
<0651> 記憶ナシ男

//<0652> 音速
<0652> 音速

//<0653> 無限
<0653> 無限

//<0654> エロ侍
<0654> エロ侍

//<0655> エロエロ団ナンバー１
<0655> エロエロ団ナンバー１

//<0656> ただのエロ少年
<0656> ただのエロ少年

//<0657> ユリブサイク
<0657> ユリブサイク

//<0658> ドピュッシー
<0658> ドピュッシー

//<0659> アメリカンエロドッグ
<0659> アメリカンエロドッグ

//<0660> ゼウス
<0660> ゼウス

//<0661> 日向markⅡ
<0661> 日向markⅡ

//<0662> 糞虫
<0662> 糞虫

//<0663> 量産型日向
<0663> 量産型日向

//<0664> ？？
<0664> ？？

//<0665> （すでに日向により、騙されてるんだよぉぉーー！！）
<0665> （すでに日向により、騙されてるんだよぉぉーー！！）

//<0666> 音無
<0666> 音無

//<0667> クソ坊主
<0667> クソ坊主

//<0668> 代理人
<0668> 代理人

//<0669> 微妙すぎるイケメン
<0669> 微妙すぎるイケメン

//<0670> ロリコン
<0670> ロリコン

//<0671> メガネ仲間
<0671> メガネ仲間

//<0672> 暗算日本記録保持者
<0672> 暗算日本記録保持者

//<0673> 通り魔
<0673> 通り魔

//<0674> 記憶ナシ男
<0674> 記憶ナシ男

//<0675> 音速
<0675> 音速

//<0676> 無限
<0676> 無限

//<0677> エロ侍
<0677> エロ侍

//<0678> エロエロ団ナンバー１
<0678> エロエロ団ナンバー１

//<0679> ただのエロ少年
<0679> ただのエロ少年

//<0680> ユリブサイク
<0680> ユリブサイク

//<0681> ドピュッシー
<0681> ドピュッシー

//<0682> アメリカンエロドッグ
<0682> アメリカンエロドッグ

//<0683> ゼウス
<0683> ゼウス

//<0684> 日向markⅡ
<0684> 日向markⅡ

//<0685> 糞虫
<0685> 糞虫

//<0686> 量産型日向
<0686> 量産型日向

//<0687> ？？
<0687> ？？

//<0688> 「ええと…その…他に別の食券はないのか…？」
<0688> 「ええと…その…他に別の食券はないのか…？」

//<0689> nothing
<0689> nothing

//<0690> nothing
<0690> nothing

//<0691> nothing
<0691> nothing

//<0692> nothing
<0692> nothing

//<0693> nothing
<0693> nothing

//<0694> 藤巻
<0694> 藤巻

//<0695> 「えぇ？　他はふつーのメニューばっかだぜ？」
<0695> 「えぇ？　他はふつーのメニューばっかだぜ？」

//<0696> 音無
<0696> 音無

//<0697> クソ坊主
<0697> クソ坊主

//<0698> 代理人
<0698> 代理人

//<0699> 微妙すぎるイケメン
<0699> 微妙すぎるイケメン

//<0700> ロリコン
<0700> ロリコン

//<0701> メガネ仲間
<0701> メガネ仲間

//<0702> 暗算日本記録保持者
<0702> 暗算日本記録保持者

//<0703> 通り魔
<0703> 通り魔

//<0704> 記憶ナシ男
<0704> 記憶ナシ男

//<0705> 音速
<0705> 音速

//<0706> 無限
<0706> 無限

//<0707> エロ侍
<0707> エロ侍

//<0708> エロエロ団ナンバー１
<0708> エロエロ団ナンバー１

//<0709> ただのエロ少年
<0709> ただのエロ少年

//<0710> ユリブサイク
<0710> ユリブサイク

//<0711> ドピュッシー
<0711> ドピュッシー

//<0712> アメリカンエロドッグ
<0712> アメリカンエロドッグ

//<0713> ゼウス
<0713> ゼウス

//<0714> 日向markⅡ
<0714> 日向markⅡ

//<0715> 糞虫
<0715> 糞虫

//<0716> 量産型日向
<0716> 量産型日向

//<0717> ？？
<0717> ？？

//<0718> 「普通でいいよ。トムヤムカレーはお前が食べてくれ」
<0718> 「普通でいいよ。トムヤムカレーはお前が食べてくれ」

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> nothing
<0721> nothing

//<0722> nothing
<0722> nothing

//<0723> nothing
<0723> nothing

//<0724> 藤巻
<0724> 藤巻
{140bd} 33 // 0724

//<0725> 「いや、俺が奢るからには、お前には特別なメニューを食べてもらわないと気がすまねえんだよ…他に何かあったっけ…」
<0725> 「いや、俺が奢るからには、お前には特別なメニューを食べてもらわないと気がすまねえんだよ…他に何かあったっけ…」

//<0726> nothing
<0726> nothing

//<0727> nothing
<0727> nothing

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> nothing
<0730> nothing

//<0731> 藤巻はポケットを探る。
<0731> 藤巻はポケットを探る。

//<0732> nothing
<0732> nothing

//<0733> nothing
<0733> nothing

//<0734> nothing
<0734> nothing

//<0735> nothing
<0735> nothing

//<0736> nothing
<0736> nothing

//<0737> 藤巻
<0737> 藤巻

//<0738> 「お、こいつはさらにレアだぜ。券売機でも買えない、スペシャルだ」
<0738> 「お、こいつはさらにレアだぜ。券売機でも買えない、スペシャルだ」

//<0739> nothing
<0739> nothing

//<0740> nothing
<0740> nothing

//<0741> nothing
<0741> nothing

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> 渡された食券には、本当にスペシャル定食と書かれている。
<0744> 渡された食券には、本当にスペシャル定食と書かれている。

//<0745> nothing
<0745> nothing

//<0746> nothing
<0746> nothing

//<0747> nothing
<0747> nothing

//<0748> nothing
<0748> nothing

//<0749> nothing
<0749> nothing

//<0750> 藤巻
<0750> 藤巻

//<0751> 「時期によって変わるが、これこそ最強のレア食券だぜ」
<0751> 「時期によって変わるが、これこそ最強のレア食券だぜ」

//<0752> トムヤムカレーから逃れることができて、ほっとする。
<0752> トムヤムカレーから逃れることができて、ほっとする。

//<0753> nothing
<0753> nothing

//<0754> nothing
<0754> nothing

//<0755> nothing
<0755> nothing

//<0756> nothing
<0756> nothing

//<0757> nothing
<0757> nothing

//<0758> nothing
<0758> nothing

//<0759> 藤巻から受け取った食券をカウンターのおばさんに渡す。
<0759> 藤巻から受け取った食券をカウンターのおばさんに渡す。

//<0760> 音無
<0760> 音無

//<0761> クソ坊主
<0761> クソ坊主

//<0762> 代理人
<0762> 代理人

//<0763> 微妙すぎるイケメン
<0763> 微妙すぎるイケメン

//<0764> ロリコン
<0764> ロリコン

//<0765> メガネ仲間
<0765> メガネ仲間

//<0766> 暗算日本記録保持者
<0766> 暗算日本記録保持者

//<0767> 通り魔
<0767> 通り魔

//<0768> 記憶ナシ男
<0768> 記憶ナシ男

//<0769> 音速
<0769> 音速

//<0770> 無限
<0770> 無限

//<0771> エロ侍
<0771> エロ侍

//<0772> エロエロ団ナンバー１
<0772> エロエロ団ナンバー１

//<0773> ただのエロ少年
<0773> ただのエロ少年

//<0774> ユリブサイク
<0774> ユリブサイク

//<0775> ドピュッシー
<0775> ドピュッシー

//<0776> アメリカンエロドッグ
<0776> アメリカンエロドッグ

//<0777> ゼウス
<0777> ゼウス

//<0778> 日向markⅡ
<0778> 日向markⅡ

//<0779> 糞虫
<0779> 糞虫

//<0780> 量産型日向
<0780> 量産型日向

//<0781> ？？
<0781> ？？

//<0782> （牡蠣フライ定食とかだと、嬉しいな…）
<0782> （牡蠣フライ定食とかだと、嬉しいな…）

//<0783> 受け取り口に並んで期待して待っていると、異様な臭いが学食内に立ちこめ始める。
<0783> 受け取り口に並んで期待して待っていると、異様な臭いが学食内に立ちこめ始める。

//<0784> 音無
<0784> 音無

//<0785> クソ坊主
<0785> クソ坊主

//<0786> 代理人
<0786> 代理人

//<0787> 微妙すぎるイケメン
<0787> 微妙すぎるイケメン

//<0788> ロリコン
<0788> ロリコン

//<0789> メガネ仲間
<0789> メガネ仲間

//<0790> 暗算日本記録保持者
<0790> 暗算日本記録保持者

//<0791> 通り魔
<0791> 通り魔

//<0792> 記憶ナシ男
<0792> 記憶ナシ男

//<0793> 音速
<0793> 音速

//<0794> 無限
<0794> 無限

//<0795> エロ侍
<0795> エロ侍

//<0796> エロエロ団ナンバー１
<0796> エロエロ団ナンバー１

//<0797> ただのエロ少年
<0797> ただのエロ少年

//<0798> ユリブサイク
<0798> ユリブサイク

//<0799> ドピュッシー
<0799> ドピュッシー

//<0800> アメリカンエロドッグ
<0800> アメリカンエロドッグ

//<0801> ゼウス
<0801> ゼウス

//<0802> 日向markⅡ
<0802> 日向markⅡ

//<0803> 糞虫
<0803> 糞虫

//<0804> 量産型日向
<0804> 量産型日向

//<0805> ？？
<0805> ？？

//<0806> 「くっさっ！！」
<0806> 「くっさっ！！」

//<0807> まるで汚臭…。
<0807> まるで汚臭…。

//<0808> トムヤムカレーの遙か上を行く臭いだ…。
<0808> トムヤムカレーの遙か上を行く臭いだ…。

//<0809> se_gaya2
<0809> se_gaya2

//<0810> 食事中の一般生徒たちも、どよめきをあげている…。
<0810> 食事中の一般生徒たちも、どよめきをあげている…。

//<0811> nothing
<0811> nothing

//<0812> nothing
<0812> nothing

//<0813> nothing
<0813> nothing

//<0814> nothing
<0814> nothing

//<0815> nothing
<0815> nothing

//<0816> 音無
<0816> 音無

//<0817> クソ坊主
<0817> クソ坊主

//<0818> 代理人
<0818> 代理人

//<0819> 微妙すぎるイケメン
<0819> 微妙すぎるイケメン

//<0820> ロリコン
<0820> ロリコン

//<0821> メガネ仲間
<0821> メガネ仲間

//<0822> 暗算日本記録保持者
<0822> 暗算日本記録保持者

//<0823> 通り魔
<0823> 通り魔

//<0824> 記憶ナシ男
<0824> 記憶ナシ男

//<0825> 音速
<0825> 音速

//<0826> 無限
<0826> 無限

//<0827> エロ侍
<0827> エロ侍

//<0828> エロエロ団ナンバー１
<0828> エロエロ団ナンバー１

//<0829> ただのエロ少年
<0829> ただのエロ少年

//<0830> ユリブサイク
<0830> ユリブサイク

//<0831> ドピュッシー
<0831> ドピュッシー

//<0832> アメリカンエロドッグ
<0832> アメリカンエロドッグ

//<0833> ゼウス
<0833> ゼウス

//<0834> 日向markⅡ
<0834> 日向markⅡ

//<0835> 糞虫
<0835> 糞虫

//<0836> 量産型日向
<0836> 量産型日向

//<0837> ？？
<0837> ？？

//<0838> 「なあ…まさか、それが俺が今から食べるメニューだと言うのか…？」
<0838> 「なあ…まさか、それが俺が今から食べるメニューだと言うのか…？」

//<0839> すぐ後ろに並んでいた藤巻に訊く。
<0839> すぐ後ろに並んでいた藤巻に訊く。

//<0840> nothing
<0840> nothing

//<0841> nothing
<0841> nothing

//<0842> nothing
<0842> nothing

//<0843> nothing
<0843> nothing

//<0844> nothing
<0844> nothing

//<0845> 藤巻
<0845> 藤巻

//<0846> 「ああ…間違いねぇ…」
<0846> 「ああ…間違いねぇ…」

//<0847> 音無
<0847> 音無

//<0848> クソ坊主
<0848> クソ坊主

//<0849> 代理人
<0849> 代理人

//<0850> 微妙すぎるイケメン
<0850> 微妙すぎるイケメン

//<0851> ロリコン
<0851> ロリコン

//<0852> メガネ仲間
<0852> メガネ仲間

//<0853> 暗算日本記録保持者
<0853> 暗算日本記録保持者

//<0854> 通り魔
<0854> 通り魔

//<0855> 記憶ナシ男
<0855> 記憶ナシ男

//<0856> 音速
<0856> 音速

//<0857> 無限
<0857> 無限

//<0858> エロ侍
<0858> エロ侍

//<0859> エロエロ団ナンバー１
<0859> エロエロ団ナンバー１

//<0860> ただのエロ少年
<0860> ただのエロ少年

//<0861> ユリブサイク
<0861> ユリブサイク

//<0862> ドピュッシー
<0862> ドピュッシー

//<0863> アメリカンエロドッグ
<0863> アメリカンエロドッグ

//<0864> ゼウス
<0864> ゼウス

//<0865> 日向markⅡ
<0865> 日向markⅡ

//<0866> 糞虫
<0866> 糞虫

//<0867> 量産型日向
<0867> 量産型日向

//<0868> ？？
<0868> ？？

//<0869> 「こんな臭い食べ物、食いたくないんだが…」
<0869> 「こんな臭い食べ物、食いたくないんだが…」

//<0870> nothing
<0870> nothing

//<0871> nothing
<0871> nothing

//<0872> nothing
<0872> nothing

//<0873> nothing
<0873> nothing

//<0874> nothing
<0874> nothing

//<0875> 藤巻
<0875> 藤巻

//<0876> 「さすが、スペシャルだぜ…」
<0876> 「さすが、スペシャルだぜ…」

//<0877> 音無
<0877> 音無

//<0878> クソ坊主
<0878> クソ坊主

//<0879> 代理人
<0879> 代理人

//<0880> 微妙すぎるイケメン
<0880> 微妙すぎるイケメン

//<0881> ロリコン
<0881> ロリコン

//<0882> メガネ仲間
<0882> メガネ仲間

//<0883> 暗算日本記録保持者
<0883> 暗算日本記録保持者

//<0884> 通り魔
<0884> 通り魔

//<0885> 記憶ナシ男
<0885> 記憶ナシ男

//<0886> 音速
<0886> 音速

//<0887> 無限
<0887> 無限

//<0888> エロ侍
<0888> エロ侍

//<0889> エロエロ団ナンバー１
<0889> エロエロ団ナンバー１

//<0890> ただのエロ少年
<0890> ただのエロ少年

//<0891> ユリブサイク
<0891> ユリブサイク

//<0892> ドピュッシー
<0892> ドピュッシー

//<0893> アメリカンエロドッグ
<0893> アメリカンエロドッグ

//<0894> ゼウス
<0894> ゼウス

//<0895> 日向markⅡ
<0895> 日向markⅡ

//<0896> 糞虫
<0896> 糞虫

//<0897> 量産型日向
<0897> 量産型日向

//<0898> ？？
<0898> ？？

//<0899> 「いやいや、お前のメニューと交換してくれ…」
<0899> 「いやいや、お前のメニューと交換してくれ…」

//<0900> nothing
<0900> nothing

//<0901> nothing
<0901> nothing

//<0902> nothing
<0902> nothing

//<0903> nothing
<0903> nothing

//<0904> nothing
<0904> nothing

//<0905> 藤巻
<0905> 藤巻

//<0906> 「マジで滅茶苦茶レアな食券だから、お前が食ってくれ！」
<0906> 「マジで滅茶苦茶レアな食券だから、お前が食ってくれ！」

//<0907> nothing
<0907> nothing

//<0908> nothing
<0908> nothing

//<0909> nothing
<0909> nothing

//<0910> nothing
<0910> nothing

//<0911> nothing
<0911> nothing

//<0912> nothing
<0912> nothing

//<0913> 食堂のおばさん
<0913> 食堂のおばさん

//<0914> 「ほいよ」
<0914> 「ほいよ」

//<0915> 盆を差し出すおばさんも、マスクを付けていた…。
<0915> 盆を差し出すおばさんも、マスクを付けていた…。

//<0916> 音無
<0916> 音無

//<0917> クソ坊主
<0917> クソ坊主

//<0918> 代理人
<0918> 代理人

//<0919> 微妙すぎるイケメン
<0919> 微妙すぎるイケメン

//<0920> ロリコン
<0920> ロリコン

//<0921> メガネ仲間
<0921> メガネ仲間

//<0922> 暗算日本記録保持者
<0922> 暗算日本記録保持者

//<0923> 通り魔
<0923> 通り魔

//<0924> 記憶ナシ男
<0924> 記憶ナシ男

//<0925> 音速
<0925> 音速

//<0926> 無限
<0926> 無限

//<0927> エロ侍
<0927> エロ侍

//<0928> エロエロ団ナンバー１
<0928> エロエロ団ナンバー１

//<0929> ただのエロ少年
<0929> ただのエロ少年

//<0930> ユリブサイク
<0930> ユリブサイク

//<0931> ドピュッシー
<0931> ドピュッシー

//<0932> アメリカンエロドッグ
<0932> アメリカンエロドッグ

//<0933> ゼウス
<0933> ゼウス

//<0934> 日向markⅡ
<0934> 日向markⅡ

//<0935> 糞虫
<0935> 糞虫

//<0936> 量産型日向
<0936> 量産型日向

//<0937> ？？
<0937> ？？

//<0938> 「これは、なんなんですか…？」
<0938> 「これは、なんなんですか…？」

//<0939> 食堂のおばさん
<0939> 食堂のおばさん

//<0940> 「揚げ臭豆腐定食だよ」
<0940> 「揚げ臭豆腐定食だよ」

//<0941> 臭豆腐…！？　それは台湾の、おぞましい臭いを放つ名物…。
<0941> 臭豆腐…！？　それは台湾の、おぞましい臭いを放つ名物…。

//<0942> 音無
<0942> 音無

//<0943> クソ坊主
<0943> クソ坊主

//<0944> 代理人
<0944> 代理人

//<0945> 微妙すぎるイケメン
<0945> 微妙すぎるイケメン

//<0946> ロリコン
<0946> ロリコン

//<0947> メガネ仲間
<0947> メガネ仲間

//<0948> 暗算日本記録保持者
<0948> 暗算日本記録保持者

//<0949> 通り魔
<0949> 通り魔

//<0950> 記憶ナシ男
<0950> 記憶ナシ男

//<0951> 音速
<0951> 音速

//<0952> 無限
<0952> 無限

//<0953> エロ侍
<0953> エロ侍

//<0954> エロエロ団ナンバー１
<0954> エロエロ団ナンバー１

//<0955> ただのエロ少年
<0955> ただのエロ少年

//<0956> ユリブサイク
<0956> ユリブサイク

//<0957> ドピュッシー
<0957> ドピュッシー

//<0958> アメリカンエロドッグ
<0958> アメリカンエロドッグ

//<0959> ゼウス
<0959> ゼウス

//<0960> 日向markⅡ
<0960> 日向markⅡ

//<0961> 糞虫
<0961> 糞虫

//<0962> 量産型日向
<0962> 量産型日向

//<0963> ？？
<0963> ？？

//<0964> 「むりむりむりぃーー！！」
<0964> 「むりむりむりぃーー！！」

//<0965> nothing
<0965> nothing

//<0966> nothing
<0966> nothing

//<0967> nothing
<0967> nothing

//<0968> nothing
<0968> nothing

//<0969> nothing
<0969> nothing

//<0970> 藤巻
<0970> 藤巻

//<0971> 「臭いだけで諦めるな！　食ったら美味しいかもしれないだろ！」
<0971> 「臭いだけで諦めるな！　食ったら美味しいかもしれないだろ！」

//<0972> 音無
<0972> 音無

//<0973> クソ坊主
<0973> クソ坊主

//<0974> 代理人
<0974> 代理人

//<0975> 微妙すぎるイケメン
<0975> 微妙すぎるイケメン

//<0976> ロリコン
<0976> ロリコン

//<0977> メガネ仲間
<0977> メガネ仲間

//<0978> 暗算日本記録保持者
<0978> 暗算日本記録保持者

//<0979> 通り魔
<0979> 通り魔

//<0980> 記憶ナシ男
<0980> 記憶ナシ男

//<0981> 音速
<0981> 音速

//<0982> 無限
<0982> 無限

//<0983> エロ侍
<0983> エロ侍

//<0984> エロエロ団ナンバー１
<0984> エロエロ団ナンバー１

//<0985> ただのエロ少年
<0985> ただのエロ少年

//<0986> ユリブサイク
<0986> ユリブサイク

//<0987> ドピュッシー
<0987> ドピュッシー

//<0988> アメリカンエロドッグ
<0988> アメリカンエロドッグ

//<0989> ゼウス
<0989> ゼウス

//<0990> 日向markⅡ
<0990> 日向markⅡ

//<0991> 糞虫
<0991> 糞虫

//<0992> 量産型日向
<0992> 量産型日向

//<0993> ？？
<0993> ？？

//<0994> 「いや、この臭いはぜってーむりむりむりぃーー！！」
<0994> 「いや、この臭いはぜってーむりむりむりぃーー！！」

//<0995> 音無
<0995> 音無

//<0996> クソ坊主
<0996> クソ坊主

//<0997> 代理人
<0997> 代理人

//<0998> 微妙すぎるイケメン
<0998> 微妙すぎるイケメン

//<0999> ロリコン
<0999> ロリコン

//<1000> メガネ仲間
<1000> メガネ仲間

//<1001> 暗算日本記録保持者
<1001> 暗算日本記録保持者

//<1002> 通り魔
<1002> 通り魔

//<1003> 記憶ナシ男
<1003> 記憶ナシ男

//<1004> 音速
<1004> 音速

//<1005> 無限
<1005> 無限

//<1006> エロ侍
<1006> エロ侍

//<1007> エロエロ団ナンバー１
<1007> エロエロ団ナンバー１

//<1008> ただのエロ少年
<1008> ただのエロ少年

//<1009> ユリブサイク
<1009> ユリブサイク

//<1010> ドピュッシー
<1010> ドピュッシー

//<1011> アメリカンエロドッグ
<1011> アメリカンエロドッグ

//<1012> ゼウス
<1012> ゼウス

//<1013> 日向markⅡ
<1013> 日向markⅡ

//<1014> 糞虫
<1014> 糞虫

//<1015> 量産型日向
<1015> 量産型日向

//<1016> ？？
<1016> ？？

//<1017> 「つか、この食堂、どれだけメニューがワールドワイドなんだよっ！！」
<1017> 「つか、この食堂、どれだけメニューがワールドワイドなんだよっ！！」

//<1018> nothing
<1018> nothing

//<1019> nothing
<1019> nothing

//<1020> nothing
<1020> nothing

//<1021> nothing
<1021> nothing

//<1022> nothing
<1022> nothing

//<1023> nothing
<1023> nothing

//<1024> ＮＰＣたちが、強烈な臭いに食欲を無くしたのか、どんどんと学食を後にしていく。
<1024> ＮＰＣたちが、強烈な臭いに食欲を無くしたのか、どんどんと学食を後にしていく。

//<1025> 結果、貸し切り状態となる。
<1025> 結果、貸し切り状態となる。

//<1026> とりあえずは、テーブルまで盆を運ぶが…。
<1026> とりあえずは、テーブルまで盆を運ぶが…。

//<1027> 音無
<1027> 音無

//<1028> クソ坊主
<1028> クソ坊主

//<1029> 代理人
<1029> 代理人

//<1030> 微妙すぎるイケメン
<1030> 微妙すぎるイケメン

//<1031> ロリコン
<1031> ロリコン

//<1032> メガネ仲間
<1032> メガネ仲間

//<1033> 暗算日本記録保持者
<1033> 暗算日本記録保持者

//<1034> 通り魔
<1034> 通り魔

//<1035> 記憶ナシ男
<1035> 記憶ナシ男

//<1036> 音速
<1036> 音速

//<1037> 無限
<1037> 無限

//<1038> エロ侍
<1038> エロ侍

//<1039> エロエロ団ナンバー１
<1039> エロエロ団ナンバー１

//<1040> ただのエロ少年
<1040> ただのエロ少年

//<1041> ユリブサイク
<1041> ユリブサイク

//<1042> ドピュッシー
<1042> ドピュッシー

//<1043> アメリカンエロドッグ
<1043> アメリカンエロドッグ

//<1044> ゼウス
<1044> ゼウス

//<1045> 日向markⅡ
<1045> 日向markⅡ

//<1046> 糞虫
<1046> 糞虫

//<1047> 量産型日向
<1047> 量産型日向

//<1048> ？？
<1048> ？？

//<1049> 「………」
<1049> 「………」

//<1050> まったく食欲が湧かない…。
<1050> まったく食欲が湧かない…。

//<1051> nothing
<1051> nothing

//<1052> nothing
