// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりか…。
<0000> ゆりか…。
<0528> nothing

//<0529> nothing
<0529> nothing

//<0530> nothing
<0530> nothing

//<0531> nothing
<0531> nothing

//<0532> ゆり
<0532> ゆり

//<0533> 女生徒
<0533> 女生徒

//<0534> ？？
<0534> ？？

//<0535> 「ふーーん、音無くんはそんな簡単なオペレーションだと思っているんだぁー」
<0535> 「ふーーん、音無くんはそんな簡単なオペレーションだと思っているんだぁー」

//<0536> なんだ、その他人事のようなトーンは…。
<0536> なんだ、その他人事のようなトーンは…。

//<0537> 音無
<0537> 音無

//<0538> クソ坊主
<0538> クソ坊主

//<0539> 代理人
<0539> 代理人

//<0540> 微妙すぎるイケメン
<0540> 微妙すぎるイケメン

//<0541> ロリコン
<0541> ロリコン

//<0542> メガネ仲間
<0542> メガネ仲間

//<0543> 暗算日本記録保持者
<0543> 暗算日本記録保持者

//<0544> 通り魔
<0544> 通り魔

//<0545> 記憶ナシ男
<0545> 記憶ナシ男

//<0546> 音速
<0546> 音速

//<0547> 無限
<0547> 無限

//<0548> エロ侍
<0548> エロ侍

//<0549> エロエロ団ナンバー１
<0549> エロエロ団ナンバー１

//<0550> ただのエロ少年
<0550> ただのエロ少年

//<0551> ユリブサイク
<0551> ユリブサイク

//<0552> ドピュッシー
<0552> ドピュッシー

//<0553> アメリカンエロドッグ
<0553> アメリカンエロドッグ

//<0554> ゼウス
<0554> ゼウス

//<0555> 日向markⅡ
<0555> 日向markⅡ

//<0556> 糞虫
<0556> 糞虫

//<0557> 量産型日向
<0557> 量産型日向

//<0558> ？？
<0558> ？？

//<0559> 「でも、日向や高松が心配していた通り、ユイの貼ったフライヤーは、天使に剥がされていた…」
<0559> 「でも、日向や高松が心配していた通り、ユイの貼ったフライヤーは、天使に剥がされていた…」

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> nothing
<0562> nothing

//<0563> nothing
<0563> nothing

//<0564> nothing
<0564> nothing

//<0565> ゆり
<0565> ゆり

//<0566> 女生徒
<0566> 女生徒

//<0567> ？？
<0567> ？？

//<0568> 「へぇ、じゃあ、失敗に終わるかもね」
<0568> 「へぇ、じゃあ、失敗に終わるかもね」

//<0569> 音無
<0569> 音無

//<0570> クソ坊主
<0570> クソ坊主

//<0571> 代理人
<0571> 代理人

//<0572> 微妙すぎるイケメン
<0572> 微妙すぎるイケメン

//<0573> ロリコン
<0573> ロリコン

//<0574> メガネ仲間
<0574> メガネ仲間

//<0575> 暗算日本記録保持者
<0575> 暗算日本記録保持者

//<0576> 通り魔
<0576> 通り魔

//<0577> 記憶ナシ男
<0577> 記憶ナシ男

//<0578> 音速
<0578> 音速

//<0579> 無限
<0579> 無限

//<0580> エロ侍
<0580> エロ侍

//<0581> エロエロ団ナンバー１
<0581> エロエロ団ナンバー１

//<0582> ただのエロ少年
<0582> ただのエロ少年

//<0583> ユリブサイク
<0583> ユリブサイク

//<0584> ドピュッシー
<0584> ドピュッシー

//<0585> アメリカンエロドッグ
<0585> アメリカンエロドッグ

//<0586> ゼウス
<0586> ゼウス

//<0587> 日向markⅡ
<0587> 日向markⅡ

//<0588> 糞虫
<0588> 糞虫

//<0589> 量産型日向
<0589> 量産型日向

//<0590> ？？
<0590> ？？

//<0591> 「いや、それでもだ。それを一瞬でも見たＮＰＣから口コミで他のＮＰＣに伝わり、結果的には成功すると思う」
<0591> 「いや、それでもだ。それを一瞬でも見たＮＰＣから口コミで他のＮＰＣに伝わり、結果的には成功すると思う」

//<0592> nothing
<0592> nothing

//<0593> nothing
<0593> nothing

//<0594> nothing
<0594> nothing

//<0595> nothing
<0595> nothing

//<0596> nothing
<0596> nothing

//<0597> 音無
<0597> 音無

//<0598> クソ坊主
<0598> クソ坊主

//<0599> 代理人
<0599> 代理人

//<0600> 微妙すぎるイケメン
<0600> 微妙すぎるイケメン

//<0601> ロリコン
<0601> ロリコン

//<0602> メガネ仲間
<0602> メガネ仲間

//<0603> 暗算日本記録保持者
<0603> 暗算日本記録保持者

//<0604> 通り魔
<0604> 通り魔

//<0605> 記憶ナシ男
<0605> 記憶ナシ男

//<0606> 音速
<0606> 音速

//<0607> 無限
<0607> 無限

//<0608> エロ侍
<0608> エロ侍

//<0609> エロエロ団ナンバー１
<0609> エロエロ団ナンバー１

//<0610> ただのエロ少年
<0610> ただのエロ少年

//<0611> ユリブサイク
<0611> ユリブサイク

//<0612> ドピュッシー
<0612> ドピュッシー

//<0613> アメリカンエロドッグ
<0613> アメリカンエロドッグ

//<0614> ゼウス
<0614> ゼウス

//<0615> 日向markⅡ
<0615> 日向markⅡ

//<0616> 糞虫
<0616> 糞虫

//<0617> 量産型日向
<0617> 量産型日向

//<0618> ？？
<0618> ？？

//<0619> 「それぐらいガルデモは実力も持ち合わせている」
<0619> 「それぐらいガルデモは実力も持ち合わせている」

//<0620> nothing
<0620> nothing

//<0621> nothing
<0621> nothing

//<0622> nothing
<0622> nothing

//<0623> nothing
<0623> nothing

//<0624> nothing
<0624> nothing

//<0625> ゆり
<0625> ゆり

//<0626> 女生徒
<0626> 女生徒

//<0627> ？？
<0627> ？？

//<0628> 「あら。ちょっと見直したわ」
<0628> 「あら。ちょっと見直したわ」

//<0629> 音無
<0629> 音無

//<0630> クソ坊主
<0630> クソ坊主

//<0631> 代理人
<0631> 代理人

//<0632> 微妙すぎるイケメン
<0632> 微妙すぎるイケメン

//<0633> ロリコン
<0633> ロリコン

//<0634> メガネ仲間
<0634> メガネ仲間

//<0635> 暗算日本記録保持者
<0635> 暗算日本記録保持者

//<0636> 通り魔
<0636> 通り魔

//<0637> 記憶ナシ男
<0637> 記憶ナシ男

//<0638> 音速
<0638> 音速

//<0639> 無限
<0639> 無限

//<0640> エロ侍
<0640> エロ侍

//<0641> エロエロ団ナンバー１
<0641> エロエロ団ナンバー１

//<0642> ただのエロ少年
<0642> ただのエロ少年

//<0643> ユリブサイク
<0643> ユリブサイク

//<0644> ドピュッシー
<0644> ドピュッシー

//<0645> アメリカンエロドッグ
<0645> アメリカンエロドッグ

//<0646> ゼウス
<0646> ゼウス

//<0647> 日向markⅡ
<0647> 日向markⅡ

//<0648> 糞虫
<0648> 糞虫

//<0649> 量産型日向
<0649> 量産型日向

//<0650> ？？
<0650> ？？

//<0651> 「え…マジ…？」
<0651> 「え…マジ…？」

//<0652> 音無
<0652> 音無

//<0653> クソ坊主
<0653> クソ坊主

//<0654> 代理人
<0654> 代理人

//<0655> 微妙すぎるイケメン
<0655> 微妙すぎるイケメン

//<0656> ロリコン
<0656> ロリコン

//<0657> メガネ仲間
<0657> メガネ仲間

//<0658> 暗算日本記録保持者
<0658> 暗算日本記録保持者

//<0659> 通り魔
<0659> 通り魔

//<0660> 記憶ナシ男
<0660> 記憶ナシ男

//<0661> 音速
<0661> 音速

//<0662> 無限
<0662> 無限

//<0663> エロ侍
<0663> エロ侍

//<0664> エロエロ団ナンバー１
<0664> エロエロ団ナンバー１

//<0665> ただのエロ少年
<0665> ただのエロ少年

//<0666> ユリブサイク
<0666> ユリブサイク

//<0667> ドピュッシー
<0667> ドピュッシー

//<0668> アメリカンエロドッグ
<0668> アメリカンエロドッグ

//<0669> ゼウス
<0669> ゼウス

//<0670> 日向markⅡ
<0670> 日向markⅡ

//<0671> 糞虫
<0671> 糞虫

//<0672> 量産型日向
<0672> 量産型日向

//<0673> ？？
<0673> ？？

//<0674> （お前のパンツで興奮しまくった、エロ侍なのに…）
<0674> （お前のパンツで興奮しまくった、エロ侍なのに…）

//<0675> nothing
<0675> nothing

//<0676> nothing
<0676> nothing

//<0677> nothing
<0677> nothing

//<0678> nothing
<0678> nothing

//<0679> nothing
<0679> nothing

//<0680> ゆり
<0680> ゆり

//<0681> 女生徒
<0681> 女生徒

//<0682> ？？
<0682> ？？

//<0683> 「でも、そんな上手くいくもんじゃないわ」
<0683> 「でも、そんな上手くいくもんじゃないわ」

//<0684> nothing
<0684> nothing

//<0685> nothing
<0685> nothing

//<0686> nothing
<0686> nothing

//<0687> nothing
<0687> nothing

//<0688> nothing
<0688> nothing

//<0689> ゆり
<0689> ゆり

//<0690> 女生徒
<0690> 女生徒

//<0691> ？？
<0691> ？？

//<0692> 「どれだけの数、この日までオペレーションを行ってきたことか…失敗だらけよ…」
<0692> 「どれだけの数、この日までオペレーションを行ってきたことか…失敗だらけよ…」

//<0693> 何十年という月日。それは途方もない数なのだろう…。
<0693> 何十年という月日。それは途方もない数なのだろう…。

//<0694> nothing
<0694> nothing

//<0695> nothing
<0695> nothing

//<0696> nothing
<0696> nothing

//<0697> nothing
<0697> nothing

//<0698> nothing
<0698> nothing

//<0699> ゆり
<0699> ゆり

//<0700> 女生徒
<0700> 女生徒

//<0701> ？？
<0701> ？？

//<0702> 「あなたも実働部隊。ビギナーズラックでもいいから、活躍してみなさい」
<0702> 「あなたも実働部隊。ビギナーズラックでもいいから、活躍してみなさい」

//<0703> なんてプレッシャーだ…。
<0703> なんてプレッシャーだ…。

//<0704> 音無
<0704> 音無

//<0705> クソ坊主
<0705> クソ坊主

//<0706> 代理人
<0706> 代理人

//<0707> 微妙すぎるイケメン
<0707> 微妙すぎるイケメン

//<0708> ロリコン
<0708> ロリコン

//<0709> メガネ仲間
<0709> メガネ仲間

//<0710> 暗算日本記録保持者
<0710> 暗算日本記録保持者

//<0711> 通り魔
<0711> 通り魔

//<0712> 記憶ナシ男
<0712> 記憶ナシ男

//<0713> 音速
<0713> 音速

//<0714> 無限
<0714> 無限

//<0715> エロ侍
<0715> エロ侍

//<0716> エロエロ団ナンバー１
<0716> エロエロ団ナンバー１

//<0717> ただのエロ少年
<0717> ただのエロ少年

//<0718> ユリブサイク
<0718> ユリブサイク

//<0719> ドピュッシー
<0719> ドピュッシー

//<0720> アメリカンエロドッグ
<0720> アメリカンエロドッグ

//<0721> ゼウス
<0721> ゼウス

//<0722> 日向markⅡ
<0722> 日向markⅡ

//<0723> 糞虫
<0723> 糞虫

//<0724> 量産型日向
<0724> 量産型日向

//<0725> ？？
<0725> ？？

//<0726> 「ああ…やってやるさ、エロ侍の名にかけて！」
<0726> 「ああ…やってやるさ、エロ侍の名にかけて！」

//<0727> nothing
<0727> nothing

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> nothing
<0730> nothing

//<0731> nothing
<0731> nothing

//<0732> ゆり
<0732> ゆり

//<0733> 女生徒
<0733> 女生徒

//<0734> ？？
<0734> ？？
{1337e} 33 // 0734

//<0735> 「え？　えろざむらい…？　なにそれ？」
<0735> 「え？　えろざむらい…？　なにそれ？」

//<0736> nothing
<0736> nothing

//<0737> nothing
<0737> nothing

//<0738> nothing
<0738> nothing

//<0739> nothing
<0739> nothing

//<0740> nothing
<0740> nothing

//<0741> 音無
<0741> 音無

//<0742> クソ坊主
<0742> クソ坊主

//<0743> 代理人
<0743> 代理人

//<0744> 微妙すぎるイケメン
<0744> 微妙すぎるイケメン

//<0745> ロリコン
<0745> ロリコン

//<0746> メガネ仲間
<0746> メガネ仲間

//<0747> 暗算日本記録保持者
<0747> 暗算日本記録保持者

//<0748> 通り魔
<0748> 通り魔

//<0749> 記憶ナシ男
<0749> 記憶ナシ男

//<0750> 音速
<0750> 音速

//<0751> 無限
<0751> 無限

//<0752> エロ侍
<0752> エロ侍

//<0753> エロエロ団ナンバー１
<0753> エロエロ団ナンバー１

//<0754> ただのエロ少年
<0754> ただのエロ少年

//<0755> ユリブサイク
<0755> ユリブサイク

//<0756> ドピュッシー
<0756> ドピュッシー

//<0757> アメリカンエロドッグ
<0757> アメリカンエロドッグ

//<0758> ゼウス
<0758> ゼウス

//<0759> 日向markⅡ
<0759> 日向markⅡ

//<0760> 糞虫
<0760> 糞虫

//<0761> 量産型日向
<0761> 量産型日向

//<0762> ？？
<0762> ？？

//<0763> 「いや、ゆりは気にしなくていい。自分の中で、汚名返上を課したまでさ」
<0763> 「いや、ゆりは気にしなくていい。自分の中で、汚名返上を課したまでさ」

//<0764> nothing
<0764> nothing

//<0765> nothing
<0765> nothing

//<0766> nothing
<0766> nothing

//<0767> nothing
<0767> nothing

//<0768> nothing
<0768> nothing

//<0769> ゆり
<0769> ゆり

//<0770> 女生徒
<0770> 女生徒

//<0771> ？？
<0771> ？？

//<0772> 「そ、じゃ、よろしくー、エロ侍」
<0772> 「そ、じゃ、よろしくー、エロ侍」

//<0773> 適当にあしらわれ、退室する。
<0773> 適当にあしらわれ、退室する。

//<0774> 音無
<0774> 音無

//<0775> クソ坊主
<0775> クソ坊主

//<0776> 代理人
<0776> 代理人

//<0777> 微妙すぎるイケメン
<0777> 微妙すぎるイケメン

//<0778> ロリコン
<0778> ロリコン

//<0779> メガネ仲間
<0779> メガネ仲間

//<0780> 暗算日本記録保持者
<0780> 暗算日本記録保持者

//<0781> 通り魔
<0781> 通り魔

//<0782> 記憶ナシ男
<0782> 記憶ナシ男

//<0783> 音速
<0783> 音速

//<0784> 無限
<0784> 無限

//<0785> エロ侍
<0785> エロ侍

//<0786> エロエロ団ナンバー１
<0786> エロエロ団ナンバー１

//<0787> ただのエロ少年
<0787> ただのエロ少年

//<0788> ユリブサイク
<0788> ユリブサイク

//<0789> ドピュッシー
<0789> ドピュッシー

//<0790> アメリカンエロドッグ
<0790> アメリカンエロドッグ

//<0791> ゼウス
<0791> ゼウス

//<0792> 日向markⅡ
<0792> 日向markⅡ

//<0793> 糞虫
<0793> 糞虫

//<0794> 量産型日向
<0794> 量産型日向

//<0795> ？？
<0795> ？？

//<0796> 「ふぅ…」
<0796> 「ふぅ…」

//<0797> よく耐えた俺…。
<0797> よく耐えた俺…。

//<0798> 音無
<0798> 音無

//<0799> クソ坊主
<0799> クソ坊主

//<0800> 代理人
<0800> 代理人

//<0801> 微妙すぎるイケメン
<0801> 微妙すぎるイケメン

//<0802> ロリコン
<0802> ロリコン

//<0803> メガネ仲間
<0803> メガネ仲間

//<0804> 暗算日本記録保持者
<0804> 暗算日本記録保持者

//<0805> 通り魔
<0805> 通り魔

//<0806> 記憶ナシ男
<0806> 記憶ナシ男

//<0807> 音速
<0807> 音速

//<0808> 無限
<0808> 無限

//<0809> エロ侍
<0809> エロ侍

//<0810> エロエロ団ナンバー１
<0810> エロエロ団ナンバー１

//<0811> ただのエロ少年
<0811> ただのエロ少年

//<0812> ユリブサイク
<0812> ユリブサイク

//<0813> ドピュッシー
<0813> ドピュッシー

//<0814> アメリカンエロドッグ
<0814> アメリカンエロドッグ

//<0815> ゼウス
<0815> ゼウス

//<0816> 日向markⅡ
<0816> 日向markⅡ

//<0817> 糞虫
<0817> 糞虫

//<0818> 量産型日向
<0818> 量産型日向

//<0819> ？？
<0819> ？？

//<0820> 「ああ…やってやるさ」
<0820> 「ああ…やってやるさ」

//<0821> そう答えるしかなかった。
<0821> そう答えるしかなかった。

//<0822> 音無
<0822> 音無

//<0823> クソ坊主
<0823> クソ坊主

//<0824> 代理人
<0824> 代理人

//<0825> 微妙すぎるイケメン
<0825> 微妙すぎるイケメン

//<0826> ロリコン
<0826> ロリコン

//<0827> メガネ仲間
<0827> メガネ仲間

//<0828> 暗算日本記録保持者
<0828> 暗算日本記録保持者

//<0829> 通り魔
<0829> 通り魔

//<0830> 記憶ナシ男
<0830> 記憶ナシ男

//<0831> 音速
<0831> 音速

//<0832> 無限
<0832> 無限

//<0833> エロ侍
<0833> エロ侍

//<0834> エロエロ団ナンバー１
<0834> エロエロ団ナンバー１

//<0835> ただのエロ少年
<0835> ただのエロ少年

//<0836> ユリブサイク
<0836> ユリブサイク

//<0837> ドピュッシー
<0837> ドピュッシー

//<0838> アメリカンエロドッグ
<0838> アメリカンエロドッグ

//<0839> ゼウス
<0839> ゼウス

//<0840> 日向markⅡ
<0840> 日向markⅡ

//<0841> 糞虫
<0841> 糞虫

//<0842> 量産型日向
<0842> 量産型日向

//<0843> ？？
<0843> ？？

//<0844> 「不安だ…」
<0844> 「不安だ…」

//<0845> nothing
<0845> nothing

//<0846> nothing
<0846> nothing

//<0847> nothing
<0847> nothing

//<0848> nothing
<0848> nothing

//<0849> nothing
<0849> nothing

//<0850> ゆり
<0850> ゆり

//<0851> 女生徒
<0851> 女生徒

//<0852> ？？
<0852> ？？

//<0853> 「へー、どうして？」
<0853> 「へー、どうして？」

//<0854> 音無
<0854> 音無

//<0855> クソ坊主
<0855> クソ坊主

//<0856> 代理人
<0856> 代理人

//<0857> 微妙すぎるイケメン
<0857> 微妙すぎるイケメン

//<0858> ロリコン
<0858> ロリコン

//<0859> メガネ仲間
<0859> メガネ仲間

//<0860> 暗算日本記録保持者
<0860> 暗算日本記録保持者

//<0861> 通り魔
<0861> 通り魔

//<0862> 記憶ナシ男
<0862> 記憶ナシ男

//<0863> 音速
<0863> 音速

//<0864> 無限
<0864> 無限

//<0865> エロ侍
<0865> エロ侍

//<0866> エロエロ団ナンバー１
<0866> エロエロ団ナンバー１

//<0867> ただのエロ少年
<0867> ただのエロ少年

//<0868> ユリブサイク
<0868> ユリブサイク

//<0869> ドピュッシー
<0869> ドピュッシー

//<0870> アメリカンエロドッグ
<0870> アメリカンエロドッグ

//<0871> ゼウス
<0871> ゼウス

//<0872> 日向markⅡ
<0872> 日向markⅡ

//<0873> 糞虫
<0873> 糞虫

//<0874> 量産型日向
<0874> 量産型日向

//<0875> ？？
<0875> ？？

//<0876> 「日向や高松が心配していた通り、ユイの貼ったフライヤーは、天使に剥がされていたのを見たからさ…」
<0876> 「日向や高松が心配していた通り、ユイの貼ったフライヤーは、天使に剥がされていたのを見たからさ…」

//<0877> nothing
<0877> nothing

//<0878> nothing
<0878> nothing

//<0879> nothing
<0879> nothing

//<0880> nothing
<0880> nothing

//<0881> nothing
<0881> nothing

//<0882> ゆり
<0882> ゆり

//<0883> 女生徒
<0883> 女生徒

//<0884> ？？
<0884> ？？

//<0885> 「あら、感心ね。それに気づいていたなんて」
<0885> 「あら、感心ね。それに気づいていたなんて」

//<0886> 音無
<0886> 音無

//<0887> クソ坊主
<0887> クソ坊主

//<0888> 代理人
<0888> 代理人

//<0889> 微妙すぎるイケメン
<0889> 微妙すぎるイケメン

//<0890> ロリコン
<0890> ロリコン

//<0891> メガネ仲間
<0891> メガネ仲間

//<0892> 暗算日本記録保持者
<0892> 暗算日本記録保持者

//<0893> 通り魔
<0893> 通り魔

//<0894> 記憶ナシ男
<0894> 記憶ナシ男

//<0895> 音速
<0895> 音速

//<0896> 無限
<0896> 無限

//<0897> エロ侍
<0897> エロ侍

//<0898> エロエロ団ナンバー１
<0898> エロエロ団ナンバー１

//<0899> ただのエロ少年
<0899> ただのエロ少年

//<0900> ユリブサイク
<0900> ユリブサイク

//<0901> ドピュッシー
<0901> ドピュッシー

//<0902> アメリカンエロドッグ
<0902> アメリカンエロドッグ

//<0903> ゼウス
<0903> ゼウス

//<0904> 日向markⅡ
<0904> 日向markⅡ

//<0905> 糞虫
<0905> 糞虫

//<0906> 量産型日向
<0906> 量産型日向

//<0907> ？？
<0907> ？？

//<0908> 「いや、たまたま通りがかっただけさ…」
<0908> 「いや、たまたま通りがかっただけさ…」

//<0909> nothing
<0909> nothing

//<0910> nothing
<0910> nothing

//<0911> nothing
<0911> nothing

//<0912> nothing
<0912> nothing

//<0913> nothing
<0913> nothing

//<0914> ゆり
<0914> ゆり

//<0915> 女生徒
<0915> 女生徒

//<0916> ？？
<0916> ？？

//<0917> 「それでもよ」
<0917> 「それでもよ」

//<0918> 褒められているようで嬉しい。
<0918> 褒められているようで嬉しい。

//<0919> nothing
<0919> nothing

//<0920> nothing
<0920> nothing

//<0921> nothing
<0921> nothing

//<0922> nothing
<0922> nothing

//<0923> nothing
<0923> nothing

//<0924> ゆり
<0924> ゆり

//<0925> 女生徒
<0925> 女生徒

//<0926> ？？
<0926> ？？

//<0927> 「確かに危険なオペレーションよ。それだけに実働部隊も慎重を期する」
<0927> 「確かに危険なオペレーションよ。それだけに実働部隊も慎重を期する」

//<0928> nothing
<0928> nothing

//<0929> nothing
<0929> nothing

//<0930> nothing
<0930> nothing

//<0931> nothing
<0931> nothing

//<0932> nothing
<0932> nothing

//<0933> ゆり
<0933> ゆり

//<0934> 女生徒
<0934> 女生徒

//<0935> ？？
<0935> ？？

//<0936> 「もちろん、あなたもよ。決して規律を乱さないで」
<0936> 「もちろん、あなたもよ。決して規律を乱さないで」

//<0937> パンツで興奮しまくっていることは、規律違反ではないはずだ。
<0937> パンツで興奮しまくっていることは、規律違反ではないはずだ。

//<0938> 音無
<0938> 音無

//<0939> クソ坊主
<0939> クソ坊主

//<0940> 代理人
<0940> 代理人

//<0941> 微妙すぎるイケメン
<0941> 微妙すぎるイケメン

//<0942> ロリコン
<0942> ロリコン

//<0943> メガネ仲間
<0943> メガネ仲間

//<0944> 暗算日本記録保持者
<0944> 暗算日本記録保持者

//<0945> 通り魔
<0945> 通り魔

//<0946> 記憶ナシ男
<0946> 記憶ナシ男

//<0947> 音速
<0947> 音速

//<0948> 無限
<0948> 無限

//<0949> エロ侍
<0949> エロ侍

//<0950> エロエロ団ナンバー１
<0950> エロエロ団ナンバー１

//<0951> ただのエロ少年
<0951> ただのエロ少年

//<0952> ユリブサイク
<0952> ユリブサイク

//<0953> ドピュッシー
<0953> ドピュッシー

//<0954> アメリカンエロドッグ
<0954> アメリカンエロドッグ

//<0955> ゼウス
<0955> ゼウス

//<0956> 日向markⅡ
<0956> 日向markⅡ

//<0957> 糞虫
<0957> 糞虫

//<0958> 量産型日向
<0958> 量産型日向

//<0959> ？？
<0959> ？？

//<0960> 「わかってるとも」
<0960> 「わかってるとも」

//<0961> nothing
<0961> nothing

//<0962> nothing
<0962> nothing

//<0963> nothing
<0963> nothing

//<0964> nothing
<0964> nothing

//<0965> nothing
<0965> nothing

//<0966> ゆり
<0966> ゆり

//<0967> 女生徒
<0967> 女生徒

//<0968> ？？
<0968> ？？

//<0969> 「期待してるわ」
<0969> 「期待してるわ」

//<0970> 音無
<0970> 音無

//<0971> クソ坊主
<0971> クソ坊主

//<0972> 代理人
<0972> 代理人

//<0973> 微妙すぎるイケメン
<0973> 微妙すぎるイケメン

//<0974> ロリコン
<0974> ロリコン

//<0975> メガネ仲間
<0975> メガネ仲間

//<0976> 暗算日本記録保持者
<0976> 暗算日本記録保持者

//<0977> 通り魔
<0977> 通り魔

//<0978> 記憶ナシ男
<0978> 記憶ナシ男

//<0979> 音速
<0979> 音速

//<0980> 無限
<0980> 無限

//<0981> エロ侍
<0981> エロ侍

//<0982> エロエロ団ナンバー１
<0982> エロエロ団ナンバー１

//<0983> ただのエロ少年
<0983> ただのエロ少年

//<0984> ユリブサイク
<0984> ユリブサイク

//<0985> ドピュッシー
<0985> ドピュッシー

//<0986> アメリカンエロドッグ
<0986> アメリカンエロドッグ

//<0987> ゼウス
<0987> ゼウス

//<0988> 日向markⅡ
<0988> 日向markⅡ

//<0989> 糞虫
<0989> 糞虫

//<0990> 量産型日向
<0990> 量産型日向

//<0991> ？？
<0991> ？？

//<0992> 「………」
<0992> 「………」

//<0993> nothing
<0993> nothing

//<0994> nothing
<0994> nothing

//<0995> nothing
<0995> nothing

//<0996> nothing
<0996> nothing

//<0997> nothing
<0997> nothing

//<0998> ゆり
<0998> ゆり

//<0999> 女生徒
<0999> 女生徒

//<1000> ？？
<1000> ？？

//<1001> 「もう用は終わったんじゃないの？」
<1001> 「もう用は終わったんじゃないの？」

//<1002> 音無
<1002> 音無

//<1003> クソ坊主
<1003> クソ坊主

//<1004> 代理人
<1004> 代理人

//<1005> 微妙すぎるイケメン
<1005> 微妙すぎるイケメン

//<1006> ロリコン
<1006> ロリコン

//<1007> メガネ仲間
<1007> メガネ仲間

//<1008> 暗算日本記録保持者
<1008> 暗算日本記録保持者

//<1009> 通り魔
<1009> 通り魔

//<1010> 記憶ナシ男
<1010> 記憶ナシ男

//<1011> 音速
<1011> 音速

//<1012> 無限
<1012> 無限

//<1013> エロ侍
<1013> エロ侍

//<1014> エロエロ団ナンバー１
<1014> エロエロ団ナンバー１

//<1015> ただのエロ少年
<1015> ただのエロ少年

//<1016> ユリブサイク
<1016> ユリブサイク

//<1017> ドピュッシー
<1017> ドピュッシー

//<1018> アメリカンエロドッグ
<1018> アメリカンエロドッグ

//<1019> ゼウス
<1019> ゼウス

//<1020> 日向markⅡ
<1020> 日向markⅡ

//<1021> 糞虫
<1021> 糞虫

//<1022> 量産型日向
<1022> 量産型日向

//<1023> ？？
<1023> ？？

//<1024> 「あ、ああ…頑張る」
<1024> 「あ、ああ…頑張る」

//<1025> 出来るだけふたりで居たかったが、そう言われれば、仕方ない…。
<1025> 出来るだけふたりで居たかったが、そう言われれば、仕方ない…。

//<1026> 音無
<1026> 音無

//<1027> クソ坊主
<1027> クソ坊主

//<1028> 代理人
<1028> 代理人

//<1029> 微妙すぎるイケメン
<1029> 微妙すぎるイケメン

//<1030> ロリコン
<1030> ロリコン

//<1031> メガネ仲間
<1031> メガネ仲間

//<1032> 暗算日本記録保持者
<1032> 暗算日本記録保持者

//<1033> 通り魔
<1033> 通り魔

//<1034> 記憶ナシ男
<1034> 記憶ナシ男

//<1035> 音速
<1035> 音速

//<1036> 無限
<1036> 無限

//<1037> エロ侍
<1037> エロ侍

//<1038> エロエロ団ナンバー１
<1038> エロエロ団ナンバー１

//<1039> ただのエロ少年
<1039> ただのエロ少年

//<1040> ユリブサイク
<1040> ユリブサイク

//<1041> ドピュッシー
<1041> ドピュッシー

//<1042> アメリカンエロドッグ
<1042> アメリカンエロドッグ

//<1043> ゼウス
<1043> ゼウス

//<1044> 日向markⅡ
<1044> 日向markⅡ

//<1045> 糞虫
<1045> 糞虫

//<1046> 量産型日向
<1046> 量産型日向

//<1047> ？？
<1047> ？？

//<1048> 「じゃあな」
<1048> 「じゃあな」

//<1049> nothing
<1049> nothing

//<1050> nothing
<1050> nothing

//<1051> nothing
<1051> nothing

//<1052> nothing
<1052> nothing

//<1053> nothing
<1053> nothing

//<1054> ゆり
<1054> ゆり

//<1055> 女生徒
<1055> 女生徒

//<1056> ？？
<1056> ？？

//<1057> 「はい、がんばれー」
<1057> 「はい、がんばれー」

//<1058> 適当に送られた。
<1058> 適当に送られた。

//<1059> 音無
<1059> 音無

//<1060> クソ坊主
<1060> クソ坊主

//<1061> 代理人
<1061> 代理人

//<1062> 微妙すぎるイケメン
<1062> 微妙すぎるイケメン

//<1063> ロリコン
<1063> ロリコン

//<1064> メガネ仲間
<1064> メガネ仲間

//<1065> 暗算日本記録保持者
<1065> 暗算日本記録保持者

//<1066> 通り魔
<1066> 通り魔

//<1067> 記憶ナシ男
<1067> 記憶ナシ男

//<1068> 音速
<1068> 音速

//<1069> 無限
