// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。
<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。
<1038> 微妙すぎるイケメン

//<1039> ロリコン
<1039> ロリコン

//<1040> メガネ仲間
<1040> メガネ仲間

//<1041> 暗算日本記録保持者
<1041> 暗算日本記録保持者

//<1042> 通り魔
<1042> 通り魔

//<1043> 記憶ナシ男
<1043> 記憶ナシ男

//<1044> 音速
<1044> 音速

//<1045> 無限
<1045> 無限

//<1046> エロ侍
<1046> エロ侍

//<1047> エロエロ団ナンバー１
<1047> エロエロ団ナンバー１

//<1048> ただのエロ少年
<1048> ただのエロ少年

//<1049> ユリブサイク
<1049> ユリブサイク

//<1050> ドピュッシー
<1050> ドピュッシー

//<1051> アメリカンエロドッグ
<1051> アメリカンエロドッグ

//<1052> ゼウス
<1052> ゼウス

//<1053> 日向markⅡ
<1053> 日向markⅡ

//<1054> 糞虫
<1054> 糞虫

//<1055> 量産型日向
<1055> 量産型日向

//<1056> ？？
<1056> ？？

//<1057> （ってことは、山倉はＮＰＣではなく、俺たちと同じ人間ってことじゃないか…）
<1057> （ってことは、山倉はＮＰＣではなく、俺たちと同じ人間ってことじゃないか…）

//<1058> 白
<1058> 白

//<1059> 山倉
<1059> 山倉

//<1060> 「マネージャーの子が大好きでした。いつか、レギュラーになり活躍して試合に勝った時、告白するつもりでした」
<1060> 「マネージャーの子が大好きでした。いつか、レギュラーになり活躍して試合に勝った時、告白するつもりでした」

//<1061> 山倉
<1061> 山倉

//<1062> 「でも、それも叶わないまま、僕の人生は唐突に終わってしまいました…」
<1062> 「でも、それも叶わないまま、僕の人生は唐突に終わってしまいました…」

//<1063> 山倉
<1063> 山倉

//<1064> 「だから、断られることが前提でも、試合に出て、勝って、そして告白したかったんです…」
<1064> 「だから、断られることが前提でも、試合に出て、勝って、そして告白したかったんです…」

//<1065> nothing
<1065> nothing

//<1066> 
<1066> 

//<1067> 
<1067> 

//<1068> nothing
<1068> nothing

//<1069> 山倉
<1069> 山倉

//<1070> 「わかりますか、僕の気持ち…」
<1070> 「わかりますか、僕の気持ち…」

//<1071> nothing
<1071> nothing

//<1072> nothing
<1072> nothing

//<1073> nothing
<1073> nothing

//<1074> nothing
<1074> nothing

//<1075> nothing
<1075> nothing

//<1076> 岩沢
<1076> 岩沢

//<1077> 「いや、正直、ぜんぜんわからない…」
<1077> 「いや、正直、ぜんぜんわからない…」

//<1078> nothing
<1078> nothing

//<1079> nothing
<1079> nothing

//<1080> nothing
<1080> nothing

//<1081> nothing
<1081> nothing

//<1082> nothing
<1082> nothing

//<1083> 山倉
<1083> 山倉

//<1084> 「ですよね。僕、何言ってんだろ…」
<1084> 「ですよね。僕、何言ってんだろ…」

//<1085> 山倉
<1085> 山倉

//<1086> 「でも、勝って、告白できた…それだけで僕にとっては十分なんです」
<1086> 「でも、勝って、告白できた…それだけで僕にとっては十分なんです」

//<1087> nothing
<1087> nothing

//<1088> nothing
<1088> nothing

//<1089> nothing
<1089> nothing

//<1090> nothing
<1090> nothing

//<1091> nothing
<1091> nothing

//<1092> nothing
<1092> nothing

//<1093> 山倉
<1093> 山倉

//<1094> 「みなさんも、ありがとうございました！」
<1094> 「みなさんも、ありがとうございました！」

//<1095> その場に居た全員に頭を下げる。
<1095> その場に居た全員に頭を下げる。

//<1096> 山倉
<1096> 山倉

//<1097> 「次は準決勝ですね。後二回勝って、優勝しましょう！」
<1097> 「次は準決勝ですね。後二回勝って、優勝しましょう！」

//<1098> そう拳を突き上げてみせた。
<1098> そう拳を突き上げてみせた。

//<1099> それが山倉の最後の言葉となった。
<1099> それが山倉の最後の言葉となった。

//<1100> 休憩中、いつの間にか、居なくなっていた。
<1100> 休憩中、いつの間にか、居なくなっていた。

//<1101> 残る野球経験者のメンバーが、校内を必死に探し回った。
<1101> 残る野球経験者のメンバーが、校内を必死に探し回った。

//<1102> だが、結局見つからず仕舞いだった。
<1102> だが、結局見つからず仕舞いだった。

//<1103> 白
<1103> 白

//<1104> nothing
<1104> nothing

//<1105> nothing
<1105> nothing

//<1106> nothing
<1106> nothing

//<1107> nothing
<1107> nothing

//<1108> nothing
<1108> nothing

//<1109> ゆり
<1109> ゆり

//<1110> 女生徒
<1110> 女生徒

//<1111> ？？
<1111> ？？

//<1112> 「この世界から消える条件は天使のいいなりになって、正しい学生生活を送る…それだけじゃないの」
<1112> 「この世界から消える条件は天使のいいなりになって、正しい学生生活を送る…それだけじゃないの」

//<1113> nothing
<1113> nothing

//<1114> nothing
<1114> nothing

//<1115> nothing
<1115> nothing

//<1116> nothing
<1116> nothing

//<1117> nothing
<1117> nothing

//<1118> ゆり
<1118> ゆり

//<1119> 女生徒
<1119> 女生徒

//<1120> ？？
<1120> ？？

//<1121> 「生前の悔いを晴らすほどの満足をこの世界で得られれば、次の人生のスタートを切れる」
<1121> 「生前の悔いを晴らすほどの満足をこの世界で得られれば、次の人生のスタートを切れる」

//<1122> 音無
<1122> 音無

//<1123> クソ坊主
<1123> クソ坊主

//<1124> 代理人
<1124> 代理人

//<1125> 微妙すぎるイケメン
<1125> 微妙すぎるイケメン

//<1126> ロリコン
<1126> ロリコン

//<1127> メガネ仲間
<1127> メガネ仲間

//<1128> 暗算日本記録保持者
<1128> 暗算日本記録保持者

//<1129> 通り魔
<1129> 通り魔

//<1130> 記憶ナシ男
<1130> 記憶ナシ男

//<1131> 音速
<1131> 音速

//<1132> 無限
<1132> 無限

//<1133> エロ侍
<1133> エロ侍

//<1134> エロエロ団ナンバー１
<1134> エロエロ団ナンバー１

//<1135> ただのエロ少年
<1135> ただのエロ少年

//<1136> ユリブサイク
<1136> ユリブサイク

//<1137> ドピュッシー
<1137> ドピュッシー

//<1138> アメリカンエロドッグ
<1138> アメリカンエロドッグ

//<1139> ゼウス
<1139> ゼウス

//<1140> 日向markⅡ
<1140> 日向markⅡ

//<1141> 糞虫
<1141> 糞虫

//<1142> 量産型日向
<1142> 量産型日向

//<1143> ？？
<1143> ？？

//<1144> 「そういうことか…」
<1144> 「そういうことか…」

//<1145> 音無
<1145> 音無

//<1146> クソ坊主
<1146> クソ坊主

//<1147> 代理人
<1147> 代理人

//<1148> 微妙すぎるイケメン
<1148> 微妙すぎるイケメン

//<1149> ロリコン
<1149> ロリコン

//<1150> メガネ仲間
<1150> メガネ仲間

//<1151> 暗算日本記録保持者
<1151> 暗算日本記録保持者

//<1152> 通り魔
<1152> 通り魔

//<1153> 記憶ナシ男
<1153> 記憶ナシ男

//<1154> 音速
<1154> 音速

//<1155> 無限
<1155> 無限

//<1156> エロ侍
<1156> エロ侍

//<1157> エロエロ団ナンバー１
<1157> エロエロ団ナンバー１

//<1158> ただのエロ少年
<1158> ただのエロ少年

//<1159> ユリブサイク
<1159> ユリブサイク

//<1160> ドピュッシー
<1160> ドピュッシー

//<1161> アメリカンエロドッグ
<1161> アメリカンエロドッグ

//<1162> ゼウス
<1162> ゼウス

//<1163> 日向markⅡ
<1163> 日向markⅡ

//<1164> 糞虫
<1164> 糞虫

//<1165> 量産型日向
<1165> 量産型日向

//<1166> ？？
<1166> ？？

//<1167> （この世界から消えてしまう条件は、天使の言いなりになるってだけじゃないんじゃないのか…？）
<1167> （この世界から消えてしまう条件は、天使の言いなりになるってだけじゃないんじゃないのか…？）

//<1168> 俺たちが最後に見た、山倉の満足そうな笑顔。
<1168> 俺たちが最後に見た、山倉の満足そうな笑顔。

//<1169> 清々しい、満たされた笑顔が強く印象に残っている。
<1169> 清々しい、満たされた笑顔が強く印象に残っている。

//<1170> 音無
<1170> 音無

//<1171> クソ坊主
<1171> クソ坊主

//<1172> 代理人
<1172> 代理人

//<1173> 微妙すぎるイケメン
<1173> 微妙すぎるイケメン

//<1174> ロリコン
<1174> ロリコン

//<1175> メガネ仲間
<1175> メガネ仲間

//<1176> 暗算日本記録保持者
<1176> 暗算日本記録保持者

//<1177> 通り魔
<1177> 通り魔

//<1178> 記憶ナシ男
<1178> 記憶ナシ男

//<1179> 音速
<1179> 音速

//<1180> 無限
<1180> 無限

//<1181> エロ侍
<1181> エロ侍

//<1182> エロエロ団ナンバー１
<1182> エロエロ団ナンバー１

//<1183> ただのエロ少年
<1183> ただのエロ少年

//<1184> ユリブサイク
<1184> ユリブサイク

//<1185> ドピュッシー
<1185> ドピュッシー

//<1186> アメリカンエロドッグ
<1186> アメリカンエロドッグ

//<1187> ゼウス
<1187> ゼウス

//<1188> 日向markⅡ
<1188> 日向markⅡ

//<1189> 糞虫
<1189> 糞虫

//<1190> 量産型日向
<1190> 量産型日向

//<1191> ？？
<1191> ？？

//<1192> 「ちなみに、お前ら」
<1192> 「ちなみに、お前ら」

//<1193> 残る鈴木、川相、村田の三人を見据える。
<1193> 残る鈴木、川相、村田の三人を見据える。

//<1194> 音無
<1194> 音無

//<1195> クソ坊主
<1195> クソ坊主

//<1196> 代理人
<1196> 代理人

//<1197> 微妙すぎるイケメン
<1197> 微妙すぎるイケメン

//<1198> ロリコン
<1198> ロリコン

//<1199> メガネ仲間
<1199> メガネ仲間

//<1200> 暗算日本記録保持者
<1200> 暗算日本記録保持者

//<1201> 通り魔
<1201> 通り魔

//<1202> 記憶ナシ男
<1202> 記憶ナシ男

//<1203> 音速
<1203> 音速

//<1204> 無限
<1204> 無限

//<1205> エロ侍
<1205> エロ侍

//<1206> エロエロ団ナンバー１
<1206> エロエロ団ナンバー１

//<1207> ただのエロ少年
<1207> ただのエロ少年

//<1208> ユリブサイク
<1208> ユリブサイク

//<1209> ドピュッシー
<1209> ドピュッシー

//<1210> アメリカンエロドッグ
<1210> アメリカンエロドッグ

//<1211> ゼウス
<1211> ゼウス

//<1212> 日向markⅡ
<1212> 日向markⅡ

//<1213> 糞虫
<1213> 糞虫

//<1214> 量産型日向
<1214> 量産型日向

//<1215> ？？
<1215> ？？

//<1216> 「死んだ記憶はあるか？」
<1216> 「死んだ記憶はあるか？」

//<1217> 三人ともが突拍子もない質問に、しばし困惑した後、いいえ、と揃って答えた。
<1217> 三人ともが突拍子もない質問に、しばし困惑した後、いいえ、と揃って答えた。

//<1218> この三人は、ＮＰＣと信じていいようだ。
<1218> この三人は、ＮＰＣと信じていいようだ。

//<1219> 鈴木
<1219> 鈴木

//<1220> 「で、次の準決勝、どうしますか？」
<1220> 「で、次の準決勝、どうしますか？」

//<1221> 鈴木が皆に訊いた。
<1221> 鈴木が皆に訊いた。

//<1222> nothing
<1222> nothing

//<1223> nothing
<1223> nothing

//<1224> nothing
<1224> nothing

//<1225> nothing
<1225> nothing

//<1226> nothing
<1226> nothing

//<1227> ひさ子
<1227> ひさ子

//<1228> 「人数足んねーし、ちゃんと一回勝って、罰ゲームは回避できたんだから、準決勝は棄権でいいだろ」
<1228> 「人数足んねーし、ちゃんと一回勝って、罰ゲームは回避できたんだから、準決勝は棄権でいいだろ」

//<1229> nothing
<1229> nothing

//<1230> nothing
<1230> nothing

//<1231> nothing
<1231> nothing

//<1232> nothing
<1232> nothing

//<1233> nothing
<1233> nothing

//<1234> ひさ子が俺に向けてそう言ってくれる。
<1234> ひさ子が俺に向けてそう言ってくれる。

//<1235> 頷いて、後の判断は任せることにした。
<1235> 頷いて、後の判断は任せることにした。

//<1236> nothing
<1236> nothing

//<1237> nothing
<1237> nothing

//<1238> nothing
<1238> nothing

//<1239> nothing
<1239> nothing

//<1240> nothing
<1240> nothing

//<1241> ひさ子
<1241> ひさ子

//<1242> 「岩沢は？」
<1242> 「岩沢は？」

//<1243> nothing
<1243> nothing

//<1244> nothing
<1244> nothing

//<1245> nothing
<1245> nothing

//<1246> nothing
<1246> nothing

//<1247> 岩沢
<1247> 岩沢

//<1248> 「お前が言うなら、それでいいよ」
<1248> 「お前が言うなら、それでいいよ」

//<1249> こうして、今年のガルデモチームの球技大会は終わったのだった。
<1249> こうして、今年のガルデモチームの球技大会は終わったのだった。

//<1250> nothing
<1250> nothing

//<1251> nothing
<1251> nothing

//<1252> nothing
<1252> nothing

//<1253> nothing
<1253> nothing

//<1254> nothing
<1254> nothing

//<1255> nothing
<1255> nothing

//<1256> 音無
<1256> 音無

//<1257> クソ坊主
<1257> クソ坊主

//<1258> 代理人
<1258> 代理人

//<1259> 微妙すぎるイケメン
<1259> 微妙すぎるイケメン

//<1260> ロリコン
<1260> ロリコン

//<1261> メガネ仲間
<1261> メガネ仲間

//<1262> 暗算日本記録保持者
<1262> 暗算日本記録保持者

//<1263> 通り魔
<1263> 通り魔

//<1264> 記憶ナシ男
<1264> 記憶ナシ男

//<1265> 音速
<1265> 音速

//<1266> 無限
<1266> 無限

//<1267> エロ侍
<1267> エロ侍

//<1268> エロエロ団ナンバー１
<1268> エロエロ団ナンバー１

//<1269> ただのエロ少年
<1269> ただのエロ少年

//<1270> ユリブサイク
<1270> ユリブサイク

//<1271> ドピュッシー
<1271> ドピュッシー

//<1272> アメリカンエロドッグ
<1272> アメリカンエロドッグ

//<1273> ゼウス
<1273> ゼウス

//<1274> 日向markⅡ
<1274> 日向markⅡ

//<1275> 糞虫
<1275> 糞虫

//<1276> 量産型日向
<1276> 量産型日向

//<1277> ？？
<1277> ？？

//<1278> 「投げる」
<1278> 「投げる」

//<1279> 山倉
<1279> 山倉

//<1280> 「なぜ！？」
<1280> 「なぜ！？」

//<1281> 音無
<1281> 音無

//<1282> クソ坊主
<1282> クソ坊主

//<1283> 代理人
<1283> 代理人

//<1284> 微妙すぎるイケメン
<1284> 微妙すぎるイケメン

//<1285> ロリコン
<1285> ロリコン

//<1286> メガネ仲間
<1286> メガネ仲間

//<1287> 暗算日本記録保持者
<1287> 暗算日本記録保持者

//<1288> 通り魔
<1288> 通り魔

//<1289> 記憶ナシ男
<1289> 記憶ナシ男

//<1290> 音速
<1290> 音速

//<1291> 無限
<1291> 無限

//<1292> エロ侍
<1292> エロ侍

//<1293> エロエロ団ナンバー１
<1293> エロエロ団ナンバー１

//<1294> ただのエロ少年
<1294> ただのエロ少年

//<1295> ユリブサイク
<1295> ユリブサイク

//<1296> ドピュッシー
<1296> ドピュッシー

//<1297> アメリカンエロドッグ
<1297> アメリカンエロドッグ

//<1298> ゼウス
<1298> ゼウス

//<1299> 日向markⅡ
<1299> 日向markⅡ

//<1300> 糞虫
<1300> 糞虫

//<1301> 量産型日向
<1301> 量産型日向

//<1302> ？？
<1302> ？？

//<1303> 「特に意味はねーよ。でもそうしたほうがいいかなって」
<1303> 「特に意味はねーよ。でもそうしたほうがいいかなって」

//<1304> 山倉
<1304> 山倉

//<1305> 「ここで無理したら、準決勝で投げられなくなりますよ！？」
<1305> 「ここで無理したら、準決勝で投げられなくなりますよ！？」

//<1306> 音無
<1306> 音無

//<1307> クソ坊主
<1307> クソ坊主

//<1308> 代理人
<1308> 代理人

//<1309> 微妙すぎるイケメン
<1309> 微妙すぎるイケメン

//<1310> ロリコン
<1310> ロリコン

//<1311> メガネ仲間
<1311> メガネ仲間

//<1312> 暗算日本記録保持者
<1312> 暗算日本記録保持者

//<1313> 通り魔
<1313> 通り魔

//<1314> 記憶ナシ男
<1314> 記憶ナシ男

//<1315> 音速
<1315> 音速

//<1316> 無限
<1316> 無限

//<1317> エロ侍
<1317> エロ侍

//<1318> エロエロ団ナンバー１
<1318> エロエロ団ナンバー１

//<1319> ただのエロ少年
<1319> ただのエロ少年

//<1320> ユリブサイク
<1320> ユリブサイク

//<1321> ドピュッシー
<1321> ドピュッシー

//<1322> アメリカンエロドッグ
<1322> アメリカンエロドッグ

//<1323> ゼウス
<1323> ゼウス

//<1324> 日向markⅡ
<1324> 日向markⅡ

//<1325> 糞虫
<1325> 糞虫

//<1326> 量産型日向
<1326> 量産型日向

//<1327> ？？
<1327> ？？

//<1328> 「なんつーか…ここが俺の見せ所な気がするんだよ…」
<1328> 「なんつーか…ここが俺の見せ所な気がするんだよ…」

//<1329> 音無
<1329> 音無

//<1330> クソ坊主
<1330> クソ坊主

//<1331> 代理人
<1331> 代理人

//<1332> 微妙すぎるイケメン
<1332> 微妙すぎるイケメン

//<1333> ロリコン
<1333> ロリコン

//<1334> メガネ仲間
<1334> メガネ仲間

//<1335> 暗算日本記録保持者
<1335> 暗算日本記録保持者

//<1336> 通り魔
<1336> 通り魔

//<1337> 記憶ナシ男
<1337> 記憶ナシ男

//<1338> 音速
<1338> 音速

//<1339> 無限
<1339> 無限

//<1340> エロ侍
<1340> エロ侍

//<1341> エロエロ団ナンバー１
<1341> エロエロ団ナンバー１

//<1342> ただのエロ少年
<1342> ただのエロ少年

//<1343> ユリブサイク
<1343> ユリブサイク

//<1344> ドピュッシー
<1344> ドピュッシー

//<1345> アメリカンエロドッグ
<1345> アメリカンエロドッグ

//<1346> ゼウス
<1346> ゼウス

//<1347> 日向markⅡ
<1347> 日向markⅡ

//<1348> 糞虫
<1348> 糞虫

//<1349> 量産型日向
<1349> 量産型日向

//<1350> ？？
<1350> ？？

//<1351> 「今、諦めたら、この長い学園生活、悔いを残したままになりそうだから…」
<1351> 「今、諦めたら、この長い学園生活、悔いを残したままになりそうだから…」

//<1352> 山倉
<1352> 山倉

//<1353> 「チームワークも必要ですよ！？」
<1353> 「チームワークも必要ですよ！？」

//<1354> 岩沢に訊く
<1354> 岩沢に訊く

//<1355> やっぱ投げる
<1355> やっぱ投げる

//<1356> selbtn : 
<1356> selbtn : 

//<1357> 音無
<1357> 音無

//<1358> クソ坊主
<1358> クソ坊主

//<1359> 代理人
<1359> 代理人

//<1360> 微妙すぎるイケメン
<1360> 微妙すぎるイケメン

//<1361> ロリコン
<1361> ロリコン

//<1362> メガネ仲間
<1362> メガネ仲間

//<1363> 暗算日本記録保持者
<1363> 暗算日本記録保持者

//<1364> 通り魔
<1364> 通り魔

//<1365> 記憶ナシ男
<1365> 記憶ナシ男

//<1366> 音速
<1366> 音速

//<1367> 無限
<1367> 無限

//<1368> エロ侍
<1368> エロ侍

//<1369> エロエロ団ナンバー１
<1369> エロエロ団ナンバー１

//<1370> ただのエロ少年
<1370> ただのエロ少年

//<1371> ユリブサイク
<1371> ユリブサイク

//<1372> ドピュッシー
<1372> ドピュッシー

//<1373> アメリカンエロドッグ
<1373> アメリカンエロドッグ

//<1374> ゼウス
<1374> ゼウス

//<1375> 日向markⅡ
<1375> 日向markⅡ

//<1376> 糞虫
<1376> 糞虫

//<1377> 量産型日向
<1377> 量産型日向

//<1378> ？？
<1378> ？？

//<1379> 「岩沢は、どう思う？」
<1379> 「岩沢は、どう思う？」

//<1380> nothing
<1380> nothing

//<1381> nothing
<1381> nothing

//<1382> nothing
<1382> nothing

//<1383> nothing
<1383> nothing

//<1384> nothing
<1384> nothing

//<1385> 俺は混乱していた。だから、考えもなしにいきなり岩沢に振ってしまう。
<1385> 俺は混乱していた。だから、考えもなしにいきなり岩沢に振ってしまう。

//<1386> nothing
<1386> nothing

//<1387> nothing
<1387> nothing

//<1388> nothing
<1388> nothing

//<1389> nothing
<1389> nothing

//<1390> nothing
<1390> nothing

//<1391> 岩沢
<1391> 岩沢

//<1392> 「野球のことは素人だからよくわかんねーけど、０点に抑えきったら、なんかあるんだろ？」
<1392> 「野球のことは素人だからよくわかんねーけど、０点に抑えきったら、なんかあるんだろ？」

//<1393> 山倉
<1393> 山倉

//<1394> 「はい。完封です」
<1394> 「はい。完封です」

//<1395> nothing
<1395> nothing

//<1396> nothing
<1396> nothing

//<1397> nothing
<1397> nothing

//<1398> nothing
<1398> nothing

//<1399> nothing
<1399> nothing

//<1400> 岩沢
<1400> 岩沢

//<1401> 「それだ、それ。音無、かんぷーしてくれ」
<1401> 「それだ、それ。音無、かんぷーしてくれ」

//<1402> 簡単に言うな…。
<1402> 簡単に言うな…。

//<1403> 音無
<1403> 音無

//<1404> クソ坊主
<1404> クソ坊主

//<1405> 代理人
<1405> 代理人

//<1406> 微妙すぎるイケメン
<1406> 微妙すぎるイケメン

//<1407> ロリコン
<1407> ロリコン

//<1408> メガネ仲間
<1408> メガネ仲間

//<1409> 暗算日本記録保持者
<1409> 暗算日本記録保持者

//<1410> 通り魔
<1410> 通り魔

//<1411> 記憶ナシ男
<1411> 記憶ナシ男

//<1412> 音速
<1412> 音速

//<1413> 無限
<1413> 無限

//<1414> エロ侍
<1414> エロ侍

//<1415> エロエロ団ナンバー１
<1415> エロエロ団ナンバー１

//<1416> ただのエロ少年
<1416> ただのエロ少年

//<1417> ユリブサイク
<1417> ユリブサイク

//<1418> ドピュッシー
<1418> ドピュッシー

//<1419> アメリカンエロドッグ
<1419> アメリカンエロドッグ

//<1420> ゼウス
<1420> ゼウス

//<1421> 日向markⅡ
<1421> 日向markⅡ

//<1422> 糞虫
<1422> 糞虫

//<1423> 量産型日向
<1423> 量産型日向

//<1424> ？？
<1424> ？？

//<1425> 「完封か…」
<1425> 「完封か…」

//<1426> 関根
<1426> 関根

//<1427> 「残り三人です！　行けると思います！」
<1427> 「残り三人です！　行けると思います！」

//<1428> 入江
<1428> 入江

//<1429> 「うんうん！」
<1429> 「うんうん！」

//<1430> わかったと頷くしかなかった…。
<1430> わかったと頷くしかなかった…。

//<1431> nothing
<1431> nothing

//<1432> nothing
<1432> nothing

//<1433> nothing
<1433> nothing

//<1434> nothing
<1434> nothing

//<1435> nothing
<1435> nothing

//<1436> nothing
<1436> nothing

//<1437> 俺以外は士気を保ったまま、守備に散る。
<1437> 俺以外は士気を保ったまま、守備に散る。

//<1438> 音無
<1438> 音無

//<1439> クソ坊主
<1439> クソ坊主

//<1440> 代理人
<1440> 代理人

//<1441> 微妙すぎるイケメン
<1441> 微妙すぎるイケメン

//<1442> ロリコン
<1442> ロリコン

//<1443> メガネ仲間
<1443> メガネ仲間

//<1444> 暗算日本記録保持者
<1444> 暗算日本記録保持者

//<1445> 通り魔
<1445> 通り魔

//<1446> 記憶ナシ男
<1446> 記憶ナシ男

//<1447> 音速
<1447> 音速

//<1448> 無限
<1448> 無限

//<1449> エロ侍
<1449> エロ侍

//<1450> エロエロ団ナンバー１
<1450> エロエロ団ナンバー１

//<1451> ただのエロ少年
<1451> ただのエロ少年

//<1452> ユリブサイク
<1452> ユリブサイク

//<1453> ドピュッシー
<1453> ドピュッシー

//<1454> アメリカンエロドッグ
<1454> アメリカンエロドッグ

//<1455> ゼウス
<1455> ゼウス

//<1456> 日向markⅡ
<1456> 日向markⅡ

//<1457> 糞虫
<1457> 糞虫

//<1458> 量産型日向
<1458> 量産型日向

//<1459> ？？
<1459> ？？

//<1460> （いや、この俺も士気をあげなくちゃ、抑えきれねーぜ…）
<1460> （いや、この俺も士気をあげなくちゃ、抑えきれねーぜ…）

//<1461> 音無
<1461> 音無

//<1462> クソ坊主
<1462> クソ坊主

//<1463> 代理人
<1463> 代理人

//<1464> 微妙すぎるイケメン
<1464> 微妙すぎるイケメン

//<1465> ロリコン
<1465> ロリコン

//<1466> メガネ仲間
<1466> メガネ仲間

//<1467> 暗算日本記録保持者
<1467> 暗算日本記録保持者

//<1468> 通り魔
<1468> 通り魔

//<1469> 記憶ナシ男
<1469> 記憶ナシ男

//<1470> 音速
<1470> 音速

//<1471> 無限
<1471> 無限

//<1472> エロ侍
<1472> エロ侍

//<1473> エロエロ団ナンバー１
<1473> エロエロ団ナンバー１

//<1474> ただのエロ少年
<1474> ただのエロ少年

//<1475> ユリブサイク
<1475> ユリブサイク

//<1476> ドピュッシー
<1476> ドピュッシー

//<1477> アメリカンエロドッグ
<1477> アメリカンエロドッグ

//<1478> ゼウス
<1478> ゼウス

//<1479> 日向markⅡ
<1479> 日向markⅡ

//<1480> 糞虫
<1480> 糞虫

//<1481> 量産型日向
<1481> 量産型日向

//<1482> ？？
<1482> ？？

//<1483> 「やっぱ投げる」
<1483> 「やっぱ投げる」

//<1484> 山倉
<1484> 山倉

//<1485> 「えぇぇー！？」
<1485> 「えぇぇー！？」

//<1486> 音無
<1486> 音無

//<1487> クソ坊主
<1487> クソ坊主

//<1488> 代理人
<1488> 代理人

//<1489> 微妙すぎるイケメン
<1489> 微妙すぎるイケメン

//<1490> ロリコン
<1490> ロリコン

//<1491> メガネ仲間
<1491> メガネ仲間

//<1492> 暗算日本記録保持者
<1492> 暗算日本記録保持者

//<1493> 通り魔
<1493> 通り魔

//<1494> 記憶ナシ男
<1494> 記憶ナシ男

//<1495> 音速
<1495> 音速

//<1496> 無限
<1496> 無限

//<1497> エロ侍
<1497> エロ侍

//<1498> エロエロ団ナンバー１
<1498> エロエロ団ナンバー１

//<1499> ただのエロ少年
<1499> ただのエロ少年

//<1500> ユリブサイク
<1500> ユリブサイク

//<1501> ドピュッシー
<1501> ドピュッシー

//<1502> アメリカンエロドッグ
<1502> アメリカンエロドッグ

//<1503> ゼウス
<1503> ゼウス

//<1504> 日向markⅡ
<1504> 日向markⅡ

//<1505> 糞虫
<1505> 糞虫

//<1506> 量産型日向
<1506> 量産型日向

//<1507> ？？
<1507> ？？

//<1508> 「俺の闘争心は、マックスだぜ？」
<1508> 「俺の闘争心は、マックスだぜ？」

//<1509> 山倉
<1509> 山倉

//<1510> 「すごい自信だ！！　そう言われたら、何も言い返せない！！」
<1510> 「すごい自信だ！！　そう言われたら、何も言い返せない！！」

//<1511> 山倉
<1511> 山倉

//<1512> 「なら、代えるわけにはいかない！」
<1512> 「なら、代えるわけにはいかない！」

//<1513> 山倉
<1513> 山倉

//<1514> 「音無さん、よろしくお願いします！」
<1514> 「音無さん、よろしくお願いします！」

//<1515> 音無
<1515> 音無

//<1516> クソ坊主
<1516> クソ坊主

//<1517> 代理人
<1517> 代理人

//<1518> 微妙すぎるイケメン
<1518> 微妙すぎるイケメン

//<1519> ロリコン
<1519> ロリコン

//<1520> メガネ仲間
<1520> メガネ仲間

//<1521> 暗算日本記録保持者
<1521> 暗算日本記録保持者

//<1522> 通り魔
<1522> 通り魔

//<1523> 記憶ナシ男
<1523> 記憶ナシ男

//<1524> 音速
<1524> 音速

//<1525> 無限
<1525> 無限

//<1526> エロ侍
<1526> エロ侍

//<1527> エロエロ団ナンバー１
<1527> エロエロ団ナンバー１

//<1528> ただのエロ少年
<1528> ただのエロ少年

//<1529> ユリブサイク
<1529> ユリブサイク

//<1530> ドピュッシー
<1530> ドピュッシー

//<1531> アメリカンエロドッグ
<1531> アメリカンエロドッグ

//<1532> ゼウス
<1532> ゼウス

//<1533> 日向markⅡ
<1533> 日向markⅡ

//<1534> 糞虫
<1534> 糞虫

//<1535> 量産型日向
<1535> 量産型日向

//<1536> ？？
<1536> ？？

//<1537> 「ああ、頑張るよ」
<1537> 「ああ、頑張るよ」

//<1538> 皆が守備に散る。
<1538> 皆が守備に散る。

//<1539> 音無
<1539> 音無

//<1540> クソ坊主
<1540> クソ坊主

//<1541> 代理人
<1541> 代理人

