// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 日向

//<2045> 微妙すぎるイケメン
<2045> 微妙すぎるイケメン

//<2046> ロリコン
<2046> ロリコン

//<2047> メガネ仲間
<2047> メガネ仲間

//<2048> 暗算日本記録保持者
<2048> 暗算日本記録保持者

//<2049> 通り魔
<2049> 通り魔

//<2050> 記憶ナシ男
<2050> 記憶ナシ男

//<2051> 音速
<2051> 音速

//<2052> 無限
<2052> 無限

//<2053> エロ侍
<2053> エロ侍

//<2054> エロエロ団ナンバー１
<2054> エロエロ団ナンバー１

//<2055> ただのエロ少年
<2055> ただのエロ少年

//<2056> ユリブサイク
<2056> ユリブサイク

//<2057> ドピュッシー
<2057> ドピュッシー

//<2058> アメリカンエロドッグ
<2058> アメリカンエロドッグ

//<2059> ゼウス
<2059> ゼウス

//<2060> 日向markⅡ
<2060> 日向markⅡ

//<2061> 糞虫
<2061> 糞虫

//<2062> 量産型日向
<2062> 量産型日向

//<2063> ？？
<2063> ？？

//<2064> 「いや、さっきの嫌な気持ちになる、というのは、俺だけしか知らなかったお前がイケチンである事実をみんなに教えてしまっていることに気づいたからだ…」
<2064> 「いや、さっきの嫌な気持ちになる、というのは、俺だけしか知らなかったお前がイケチンである事実をみんなに教えてしまっていることに気づいたからだ…」

//<2065> nothing
<2065> nothing

//<2066> nothing
<2066> nothing

//<2067> nothing
<2067> nothing

//<2068> nothing
<2068> nothing

//<2069> nothing
<2069> nothing

//<2070> 日向
<2070> 日向

//<2071> 男Ｂ
<2071> 男Ｂ

//<2072> エロエロ団総帥
<2072> エロエロ団総帥

//<2073> イケチン
<2073> イケチン

//<2074> ホモ太
<2074> ホモ太

//<2075> ひなチン
<2075> ひなチン

//<2076> 秀樹
<2076> 秀樹

//<2077> 男子生徒
<2077> 男子生徒

//<2078> ？？
<2078> ？？

//<2079> 「は？　何言ってんだ、お前…」
<2079> 「は？　何言ってんだ、お前…」

//<2080> 音無
<2080> 音無

//<2081> クソ坊主
<2081> クソ坊主

//<2082> 代理人
<2082> 代理人

//<2083> 微妙すぎるイケメン
<2083> 微妙すぎるイケメン

//<2084> ロリコン
<2084> ロリコン

//<2085> メガネ仲間
<2085> メガネ仲間

//<2086> 暗算日本記録保持者
<2086> 暗算日本記録保持者

//<2087> 通り魔
<2087> 通り魔

//<2088> 記憶ナシ男
<2088> 記憶ナシ男

//<2089> 音速
<2089> 音速

//<2090> 無限
<2090> 無限

//<2091> エロ侍
<2091> エロ侍

//<2092> エロエロ団ナンバー１
<2092> エロエロ団ナンバー１

//<2093> ただのエロ少年
<2093> ただのエロ少年

//<2094> ユリブサイク
<2094> ユリブサイク

//<2095> ドピュッシー
<2095> ドピュッシー

//<2096> アメリカンエロドッグ
<2096> アメリカンエロドッグ

//<2097> ゼウス
<2097> ゼウス

//<2098> 日向markⅡ
<2098> 日向markⅡ

//<2099> 糞虫
<2099> 糞虫

//<2100> 量産型日向
<2100> 量産型日向

//<2101> ？？
<2101> ？？

//<2102> 「だって、イケチンならお前はモテモテになるじゃないか…」
<2102> 「だって、イケチンならお前はモテモテになるじゃないか…」

//<2103> 音無
<2103> 音無

//<2104> クソ坊主
<2104> クソ坊主

//<2105> 代理人
<2105> 代理人

//<2106> 微妙すぎるイケメン
<2106> 微妙すぎるイケメン

//<2107> ロリコン
<2107> ロリコン

//<2108> メガネ仲間
<2108> メガネ仲間

//<2109> 暗算日本記録保持者
<2109> 暗算日本記録保持者

//<2110> 通り魔
<2110> 通り魔

//<2111> 記憶ナシ男
<2111> 記憶ナシ男

//<2112> 音速
<2112> 音速

//<2113> 無限
<2113> 無限

//<2114> エロ侍
<2114> エロ侍

//<2115> エロエロ団ナンバー１
<2115> エロエロ団ナンバー１

//<2116> ただのエロ少年
<2116> ただのエロ少年

//<2117> ユリブサイク
<2117> ユリブサイク

//<2118> ドピュッシー
<2118> ドピュッシー

//<2119> アメリカンエロドッグ
<2119> アメリカンエロドッグ

//<2120> ゼウス
<2120> ゼウス

//<2121> 日向markⅡ
<2121> 日向markⅡ

//<2122> 糞虫
<2122> 糞虫

//<2123> 量産型日向
<2123> 量産型日向

//<2124> ？？
<2124> ？？

//<2125> 「そうすると、俺と過ごす時間が少なくなる…」
<2125> 「そうすると、俺と過ごす時間が少なくなる…」

//<2126> 音無
<2126> 音無

//<2127> クソ坊主
<2127> クソ坊主

//<2128> 代理人
<2128> 代理人

//<2129> 微妙すぎるイケメン
<2129> 微妙すぎるイケメン

//<2130> ロリコン
<2130> ロリコン

//<2131> メガネ仲間
<2131> メガネ仲間

//<2132> 暗算日本記録保持者
<2132> 暗算日本記録保持者

//<2133> 通り魔
<2133> 通り魔

//<2134> 記憶ナシ男
<2134> 記憶ナシ男

//<2135> 音速
<2135> 音速

//<2136> 無限
<2136> 無限

//<2137> エロ侍
<2137> エロ侍

//<2138> エロエロ団ナンバー１
<2138> エロエロ団ナンバー１

//<2139> ただのエロ少年
<2139> ただのエロ少年

//<2140> ユリブサイク
<2140> ユリブサイク

//<2141> ドピュッシー
<2141> ドピュッシー

//<2142> アメリカンエロドッグ
<2142> アメリカンエロドッグ

//<2143> ゼウス
<2143> ゼウス

//<2144> 日向markⅡ
<2144> 日向markⅡ

//<2145> 糞虫
<2145> 糞虫

//<2146> 量産型日向
<2146> 量産型日向

//<2147> ？？
<2147> ？？

//<2148> 「そういうのは嫌だな、という意味で言ったんだ」
<2148> 「そういうのは嫌だな、という意味で言ったんだ」

//<2149> nothing
<2149> nothing

//<2150> nothing
<2150> nothing

//<2151> nothing
<2151> nothing

//<2152> nothing
<2152> nothing

//<2153> nothing
<2153> nothing

//<2154> 日向
<2154> 日向

//<2155> 男Ｂ
<2155> 男Ｂ

//<2156> エロエロ団総帥
<2156> エロエロ団総帥

//<2157> イケチン
<2157> イケチン

//<2158> ホモ太
<2158> ホモ太

//<2159> ひなチン
<2159> ひなチン

//<2160> 秀樹
<2160> 秀樹

//<2161> 男子生徒
<2161> 男子生徒

//<2162> ？？
<2162> ？？

//<2163> 「はあぁぁー！？　わけがわからなすぎるぜっ！？」
<2163> 「はあぁぁー！？　わけがわからなすぎるぜっ！？」

//<2164> nothing
<2164> nothing

//<2165> nothing
<2165> nothing

//<2166> nothing
<2166> nothing

//<2167> nothing
<2167> nothing

//<2168> nothing
<2168> nothing

//<2169> 日向
<2169> 日向

//<2170> 男Ｂ
<2170> 男Ｂ

//<2171> エロエロ団総帥
<2171> エロエロ団総帥

//<2172> イケチン
<2172> イケチン

//<2173> ホモ太
<2173> ホモ太

//<2174> ひなチン
<2174> ひなチン

//<2175> 秀樹
<2175> 秀樹

//<2176> 男子生徒
<2176> 男子生徒

//<2177> ？？
<2177> ？？

//<2178> 「なんだこの、説教側が翻弄されている感は！？」
<2178> 「なんだこの、説教側が翻弄されている感は！？」

//<2179> 音無
<2179> 音無

//<2180> クソ坊主
<2180> クソ坊主

//<2181> 代理人
<2181> 代理人

//<2182> 微妙すぎるイケメン
<2182> 微妙すぎるイケメン

//<2183> ロリコン
<2183> ロリコン

//<2184> メガネ仲間
<2184> メガネ仲間

//<2185> 暗算日本記録保持者
<2185> 暗算日本記録保持者

//<2186> 通り魔
<2186> 通り魔

//<2187> 記憶ナシ男
<2187> 記憶ナシ男

//<2188> 音速
<2188> 音速

//<2189> 無限
<2189> 無限

//<2190> エロ侍
<2190> エロ侍

//<2191> エロエロ団ナンバー１
<2191> エロエロ団ナンバー１

//<2192> ただのエロ少年
<2192> ただのエロ少年

//<2193> ユリブサイク
<2193> ユリブサイク

//<2194> ドピュッシー
<2194> ドピュッシー

//<2195> アメリカンエロドッグ
<2195> アメリカンエロドッグ

//<2196> ゼウス
<2196> ゼウス

//<2197> 日向markⅡ
<2197> 日向markⅡ

//<2198> 糞虫
<2198> 糞虫

//<2199> 量産型日向
<2199> 量産型日向

//<2200> ？？
<2200> ？？

//<2201> 「そう思ってるのは日向だけなんじゃないのか？」
<2201> 「そう思ってるのは日向だけなんじゃないのか？」

//<2202> nothing
<2202> nothing

//<2203> nothing
<2203> nothing

//<2204> nothing
<2204> nothing

//<2205> nothing
<2205> nothing

//<2206> nothing
<2206> nothing

//<2207> 日向
<2207> 日向

//<2208> 男Ｂ
<2208> 男Ｂ

//<2209> エロエロ団総帥
<2209> エロエロ団総帥

//<2210> イケチン
<2210> イケチン

//<2211> ホモ太
<2211> ホモ太

//<2212> ひなチン
<2212> ひなチン

//<2213> 秀樹
<2213> 秀樹

//<2214> 男子生徒
<2214> 男子生徒

//<2215> ？？
<2215> ？？

//<2216> 「音無…」
<2216> 「音無…」

//<2217> 日向
<2217> 日向

//<2218> 男Ｂ
<2218> 男Ｂ

//<2219> エロエロ団総帥
<2219> エロエロ団総帥

//<2220> イケチン
<2220> イケチン

//<2221> ホモ太
<2221> ホモ太

//<2222> ひなチン
<2222> ひなチン

//<2223> 秀樹
<2223> 秀樹

//<2224> 男子生徒
<2224> 男子生徒

//<2225> ？？
<2225> ？？

//<2226> 「エロ侍…」
<2226> 「エロ侍…」

//<2227> 日向
<2227> 日向

//<2228> 男Ｂ
<2228> 男Ｂ

//<2229> エロエロ団総帥
<2229> エロエロ団総帥

//<2230> イケチン
<2230> イケチン

//<2231> ホモ太
<2231> ホモ太

//<2232> ひなチン
<2232> ひなチン

//<2233> 秀樹
<2233> 秀樹

//<2234> 男子生徒
<2234> 男子生徒

//<2235> ？？
<2235> ？？

//<2236> 「エロエロ団ナンバー１…」
<2236> 「エロエロ団ナンバー１…」

//<2237> 日向
<2237> 日向

//<2238> 男Ｂ
<2238> 男Ｂ

//<2239> エロエロ団総帥
<2239> エロエロ団総帥

//<2240> イケチン
<2240> イケチン

//<2241> ホモ太
<2241> ホモ太

//<2242> ひなチン
<2242> ひなチン

//<2243> 秀樹
<2243> 秀樹

//<2244> 男子生徒
<2244> 男子生徒

//<2245> ？？
<2245> ？？

//<2246> 「アメリカンエロドッグ…」
<2246> 「アメリカンエロドッグ…」

//<2247> 日向
<2247> 日向

//<2248> 男Ｂ
<2248> 男Ｂ

//<2249> エロエロ団総帥
<2249> エロエロ団総帥

//<2250> イケチン
<2250> イケチン

//<2251> ホモ太
<2251> ホモ太

//<2252> ひなチン
<2252> ひなチン

//<2253> 秀樹
<2253> 秀樹

//<2254> 男子生徒
<2254> 男子生徒

//<2255> ？？
<2255> ？？

//<2256> 「ただのエロ少年…」
<2256> 「ただのエロ少年…」

//<2257> 一呼吸置いた後、俺を睨み付ける。
<2257> 一呼吸置いた後、俺を睨み付ける。

//<2258> nothing
<2258> nothing

//<2259> nothing
<2259> nothing

//<2260> nothing
<2260> nothing

//<2261> nothing
<2261> nothing

//<2262> nothing
<2262> nothing

//<2263> 日向
<2263> 日向

//<2264> 男Ｂ
<2264> 男Ｂ

//<2265> エロエロ団総帥
<2265> エロエロ団総帥

//<2266> イケチン
<2266> イケチン

//<2267> ホモ太
<2267> ホモ太

//<2268> ひなチン
<2268> ひなチン

//<2269> 秀樹
<2269> 秀樹

//<2270> 男子生徒
<2270> 男子生徒

//<2271> ？？
<2271> ？？

//<2272> 「また言ったら、そろそろ罰ゲーム的なものを課すぞ。いいな…」
<2272> 「また言ったら、そろそろ罰ゲーム的なものを課すぞ。いいな…」

//<2273> 音無
<2273> 音無

//<2274> クソ坊主
<2274> クソ坊主

//<2275> 代理人
<2275> 代理人

//<2276> 微妙すぎるイケメン
<2276> 微妙すぎるイケメン

//<2277> ロリコン
<2277> ロリコン

//<2278> メガネ仲間
<2278> メガネ仲間

//<2279> 暗算日本記録保持者
<2279> 暗算日本記録保持者

//<2280> 通り魔
<2280> 通り魔

//<2281> 記憶ナシ男
<2281> 記憶ナシ男

//<2282> 音速
<2282> 音速

//<2283> 無限
<2283> 無限

//<2284> エロ侍
<2284> エロ侍

//<2285> エロエロ団ナンバー１
<2285> エロエロ団ナンバー１

//<2286> ただのエロ少年
<2286> ただのエロ少年

//<2287> ユリブサイク
<2287> ユリブサイク

//<2288> ドピュッシー
<2288> ドピュッシー

//<2289> アメリカンエロドッグ
<2289> アメリカンエロドッグ

//<2290> ゼウス
<2290> ゼウス

//<2291> 日向markⅡ
<2291> 日向markⅡ

//<2292> 糞虫
<2292> 糞虫

//<2293> 量産型日向
<2293> 量産型日向

//<2294> ？？
<2294> ？？

//<2295> 「あ、ああ…」
<2295> 「あ、ああ…」

//<2296> nothing
<2296> nothing

//<2297> nothing
<2297> nothing

//<2298> nothing
<2298> nothing

//<2299> nothing
<2299> nothing

//<2300> nothing
<2300> nothing

//<2301> nothing
<2301> nothing

//<2302> なんとなくだけど、俺もルールを思い出し始めていた。
<2302> なんとなくだけど、俺もルールを思い出し始めていた。

//<2303> 日向
<2303> 日向

//<2304> 男Ｂ
<2304> 男Ｂ

//<2305> エロエロ団総帥
<2305> エロエロ団総帥

//<2306> イケチン
<2306> イケチン

//<2307> ホモ太
<2307> ホモ太

//<2308> ひなチン
<2308> ひなチン

//<2309> 秀樹
<2309> 秀樹

//<2310> 男子生徒
<2310> 男子生徒

//<2311> ？？
<2311> ？？

//<2312> 「よし、試合終了。行くぜ」
<2312> 「よし、試合終了。行くぜ」

//<2313> nothing
<2313> nothing

//<2314> nothing
<2314> nothing

//<2315> nothing
<2315> nothing

//<2316> nothing
<2316> nothing

//<2317> nothing
<2317> nothing

//<2318> 遊佐
<2318> 遊佐

//<2319> 「ゆりっぺさんからの伝言です」
<2319> 「ゆりっぺさんからの伝言です」

//<2320> 音無
<2320> 音無

//<2321> クソ坊主
<2321> クソ坊主

//<2322> 代理人
<2322> 代理人

//<2323> 微妙すぎるイケメン
<2323> 微妙すぎるイケメン

//<2324> ロリコン
<2324> ロリコン

//<2325> メガネ仲間
<2325> メガネ仲間

//<2326> 暗算日本記録保持者
<2326> 暗算日本記録保持者

//<2327> 通り魔
<2327> 通り魔

//<2328> 記憶ナシ男
<2328> 記憶ナシ男

//<2329> 音速
<2329> 音速

//<2330> 無限
<2330> 無限

//<2331> エロ侍
<2331> エロ侍

//<2332> エロエロ団ナンバー１
<2332> エロエロ団ナンバー１

//<2333> ただのエロ少年
<2333> ただのエロ少年

//<2334> ユリブサイク
<2334> ユリブサイク

//<2335> ドピュッシー
<2335> ドピュッシー

//<2336> アメリカンエロドッグ
<2336> アメリカンエロドッグ

//<2337> ゼウス
<2337> ゼウス

//<2338> 日向markⅡ
<2338> 日向markⅡ

//<2339> 糞虫
<2339> 糞虫

//<2340> 量産型日向
<2340> 量産型日向

//<2341> ？？
<2341> ？？

//<2342> 「うわっ、またいきなり現れた！」
<2342> 「うわっ、またいきなり現れた！」

//<2343> 日向
<2343> 日向

//<2344> 男Ｂ
<2344> 男Ｂ

//<2345> エロエロ団総帥
<2345> エロエロ団総帥

//<2346> イケチン
<2346> イケチン

//<2347> ホモ太
<2347> ホモ太

//<2348> ひなチン
<2348> ひなチン

//<2349> 秀樹
<2349> 秀樹

//<2350> 男子生徒
<2350> 男子生徒

//<2351> ？？
<2351> ？？

//<2352> 「なんだよ…」
<2352> 「なんだよ…」

//<2353> nothing
<2353> nothing

//<2354> nothing
<2354> nothing

//<2355> nothing
<2355> nothing

//<2356> nothing
<2356> nothing

//<2357> nothing
<2357> nothing

//<2358> 遊佐
<2358> 遊佐

//<2359> 「負けたら、罰ゲーム。死んでも勝ちなさい！」
<2359> 「負けたら、罰ゲーム。死んでも勝ちなさい！」

//<2360> nothing
<2360> nothing

//<2361> nothing
<2361> nothing

//<2362> nothing
<2362> nothing

//<2363> nothing
<2363> nothing

//<2364> nothing
<2364> nothing

//<2365> 遊佐
<2365> 遊佐

//<2366> 「あら、すでに死んでたわねぇ、そりゃ滑稽ね、あーっはっはっはっは！」
<2366> 「あら、すでに死んでたわねぇ、そりゃ滑稽ね、あーっはっはっはっは！」

//<2367> nothing
<2367> nothing

//<2368> nothing
<2368> nothing

//<2369> nothing
<2369> nothing

//<2370> nothing
<2370> nothing

//<2371> nothing
<2371> nothing

//<2372> 遊佐
<2372> 遊佐

//<2373> 「とのことです」
<2373> 「とのことです」

//<2374> 日向
<2374> 日向

//<2375> 男Ｂ
<2375> 男Ｂ

//<2376> エロエロ団総帥
<2376> エロエロ団総帥

//<2377> イケチン
<2377> イケチン

//<2378> ホモ太
<2378> ホモ太

//<2379> ひなチン
<2379> ひなチン

//<2380> 秀樹
<2380> 秀樹

//<2381> 男子生徒
<2381> 男子生徒

//<2382> ？？
<2382> ？？

//<2383> 「なんのこっちゃ…」
<2383> 「なんのこっちゃ…」

//<2384> nothing
<2384> nothing

//<2385> nothing
<2385> nothing

//<2386> nothing
<2386> nothing

//<2387> nothing
<2387> nothing

//<2388> nothing
<2388> nothing

//<2389> nothing
<2389> nothing

//<2390> 試合を開始しようとしていた向かい合う２チームの中に、日向が強引に割り込んでいく。
<2390> 試合を開始しようとしていた向かい合う２チームの中に、日向が強引に割り込んでいく。

//<2391> nothing
<2391> nothing

//<2392> nothing
<2392> nothing

//<2393> nothing
<2393> nothing

//<2394> nothing
<2394> nothing

//<2395> nothing
<2395> nothing

//<2396> 日向
<2396> 日向

//<2397> 男Ｂ
<2397> 男Ｂ

//<2398> エロエロ団総帥
<2398> エロエロ団総帥

//<2399> イケチン
<2399> イケチン

//<2400> ホモ太
<2400> ホモ太

//<2401> ひなチン
<2401> ひなチン

//<2402> 秀樹
<2402> 秀樹

//<2403> 男子生徒
<2403> 男子生徒

//<2404> ？？
<2404> ？？

//<2405> 「はい、ごめんねー、この次に進めるのは、俺たちのチームに勝ったほう。どっちがやるか、じゃんけんで決めてくんない？」
<2405> 「はい、ごめんねー、この次に進めるのは、俺たちのチームに勝ったほう。どっちがやるか、じゃんけんで決めてくんない？」

//<2406> 審判
<2406> 審判

//<2407> 「そんな勝手許すものか」
<2407> 「そんな勝手許すものか」

//<2408> 審判役の体育会系の男子生徒がそれを制した。
<2408> 審判役の体育会系の男子生徒がそれを制した。

//<2409> nothing
<2409> nothing

//<2410> nothing
<2410> nothing

//<2411> nothing
<2411> nothing

//<2412> nothing
<2412> nothing

//<2413> nothing
<2413> nothing

//<2414> 日向
<2414> 日向

//<2415> 男Ｂ
<2415> 男Ｂ

//<2416> エロエロ団総帥
<2416> エロエロ団総帥

//<2417> イケチン
<2417> イケチン

//<2418> ホモ太
<2418> ホモ太

//<2419> ひなチン
<2419> ひなチン

//<2420> 秀樹
<2420> 秀樹

//<2421> 男子生徒
<2421> 男子生徒

//<2422> ？？
<2422> ？？

//<2423> 「だって、俺たちもこの学校の生徒ですよ？　はぶにするほうがいけないことだと思うんですけどー」
<2423> 「だって、俺たちもこの学校の生徒ですよ？　はぶにするほうがいけないことだと思うんですけどー」

//<2424> 審判
<2424> 審判

//<2425> 「だとしてもだな…」
<2425> 「だとしてもだな…」

//<2426> nothing
<2426> nothing

//<2427> nothing
<2427> nothing

//<2428> nothing
<2428> nothing

//<2429> nothing
<2429> nothing

//<2430> nothing
<2430> nothing

//<2431> nothing
<2431> nothing

//<2432> 高橋
<2432> 高橋

//<2433> 「あたしたち、真剣なんです！　どうか、はぶにしないでください！！」
<2433> 「あたしたち、真剣なんです！　どうか、はぶにしないでください！！」

//<2434> ＮＰＣの高橋が、さらに畳みかける。
<2434> ＮＰＣの高橋が、さらに畳みかける。

//<2435> 審判
<2435> 審判

//<2436> 「うぅっ…」
<2436> 「うぅっ…」

//<2437> その訴えが効いたようだ。
<2437> その訴えが効いたようだ。

//<2438> 審判
<2438> 審判

//<2439> 「わかった…じゃ、三チームのキャプテンのじゃんけんで決めよう」
<2439> 「わかった…じゃ、三チームのキャプテンのじゃんけんで決めよう」

//<2440> nothing
<2440> nothing

//<2441> nothing
<2441> nothing

//<2442> nothing
<2442> nothing

//<2443> nothing
<2443> nothing

//<2444> nothing
<2444> nothing

//<2445> 日向
<2445> 日向

//<2446> 男Ｂ
<2446> 男Ｂ

//<2447> エロエロ団総帥
<2447> エロエロ団総帥

//<2448> イケチン
<2448> イケチン

//<2449> ホモ太
<2449> ホモ太

//<2450> ひなチン
<2450> ひなチン

//<2451> 秀樹
<2451> 秀樹

//<2452> 男子生徒
<2452> 男子生徒

//<2453> ？？
<2453> ？？

//<2454> 「いいぜ」
<2454> 「いいぜ」

//<2455> それぞれのキャプテンが拳を付き合わせる。
<2455> それぞれのキャプテンが拳を付き合わせる。

//<2456> nothing
<2456> nothing

//<2457> nothing
<2457> nothing

//<2458> nothing
<2458> nothing

//<2459> nothing
<2459> nothing

//<2460> nothing
<2460> nothing

//<2461> nothing
<2461> nothing

//<2462> 審判
<2462> 審判

//<2463> 「最初はグー、じゃんけんぽんっ！」
<2463> 「最初はグー、じゃんけんぽんっ！」

//<2464> ふたりがパー、日向はチョキ。
<2464> ふたりがパー、日向はチョキ。

//<2465> nothing
<2465> nothing

//<2466> nothing
<2466> nothing

//<2467> nothing
<2467> nothing

//<2468> nothing
<2468> nothing

//<2469> nothing
<2469> nothing

//<2470> 日向
<2470> 日向

//<2471> 男Ｂ
<2471> 男Ｂ

//<2472> エロエロ団総帥
<2472> エロエロ団総帥

//<2473> イケチン
<2473> イケチン

//<2474> ホモ太
<2474> ホモ太

//<2475> ひなチン
<2475> ひなチン

//<2476> 秀樹
<2476> 秀樹

//<2477> 男子生徒
<2477> 男子生徒

//<2478> ？？
<2478> ？？

//<2479> 「よし、一抜け！」
<2479> 「よし、一抜け！」

//<2480> 音無
<2480> 音無

//<2481> クソ坊主
<2481> クソ坊主

//<2482> 代理人
<2482> 代理人

//<2483> 微妙すぎるイケメン
<2483> 微妙すぎるイケメン

//<2484> ロリコン
<2484> ロリコン

//<2485> メガネ仲間
<2485> メガネ仲間

//<2486> 暗算日本記録保持者
<2486> 暗算日本記録保持者

//<2487> 通り魔
<2487> 通り魔

//<2488> 記憶ナシ男
<2488> 記憶ナシ男

//<2489> 音速
<2489> 音速

//<2490> 無限
<2490> 無限

//<2491> エロ侍
<2491> エロ侍

//<2492> エロエロ団ナンバー１
<2492> エロエロ団ナンバー１

//<2493> ただのエロ少年
<2493> ただのエロ少年

//<2494> ユリブサイク
<2494> ユリブサイク

//<2495> ドピュッシー
<2495> ドピュッシー

//<2496> アメリカンエロドッグ
<2496> アメリカンエロドッグ

//<2497> ゼウス
<2497> ゼウス

//<2498> 日向markⅡ
<2498> 日向markⅡ

//<2499> 糞虫
<2499> 糞虫

//<2500> 量産型日向
<2500> 量産型日向

//<2501> ？？
<2501> ？？

//<2502> 「さすが、イケチン！」
<2502> 「さすが、イケチン！」

//<2503> nothing
<2503> nothing

//<2504> nothing
<2504> nothing

//<2505> nothing
<2505> nothing

//<2506> nothing
<2506> nothing

//<2507> nothing
<2507> nothing

//<2508> ハイタッチでもするのだろうか。俺の元に早足に近づいてきたので、俺は手を上げる。
<2508> ハイタッチでもするのだろうか。俺の元に早足に近づいてきたので、俺は手を上げる。

//<2509> nothing
<2509> nothing

//<2510> nothing
<2510> nothing

//<2511> nothing
<2511> nothing

//<2512> nothing
<2512> nothing

//<2513> nothing
<2513> nothing

//<2514> nothing
<2514> nothing

//<2515> se_punch
<2515> se_punch

//<2516> が、その勢いのまま握り拳で頬を殴られた。
<2516> が、その勢いのまま握り拳で頬を殴られた。

//<2517> 音無
<2517> 音無

//<2518> クソ坊主
<2518> クソ坊主

//<2519> 代理人
<2519> 代理人

//<2520> 微妙すぎるイケメン
<2520> 微妙すぎるイケメン

//<2521> ロリコン
<2521> ロリコン

//<2522> メガネ仲間
<2522> メガネ仲間

//<2523> 暗算日本記録保持者
<2523> 暗算日本記録保持者

//<2524> 通り魔
<2524> 通り魔

//<2525> 記憶ナシ男
<2525> 記憶ナシ男

//<2526> 音速
<2526> 音速

//<2527> 無限
<2527> 無限

//<2528> エロ侍
<2528> エロ侍

//<2529> エロエロ団ナンバー１
<2529> エロエロ団ナンバー１

//<2530> ただのエロ少年
<2530> ただのエロ少年

//<2531> ユリブサイク
<2531> ユリブサイク

//<2532> ドピュッシー
<2532> ドピュッシー

//<2533> アメリカンエロドッグ
<2533> アメリカンエロドッグ

//<2534> ゼウス
<2534> ゼウス

//<2535> 日向markⅡ
<2535> 日向markⅡ

//<2536> 糞虫
<2536> 糞虫

//<2537> 量産型日向
<2537> 量産型日向

//<2538> ？？
<2538> ？？

//<2539> 「ぶっ！」
<2539> 「ぶっ！」

//<2540> さらに歯が飛ぶ…。
<2540> さらに歯が飛ぶ…。

//<2541> nothing
<2541> nothing

//<2542> nothing
<2542> nothing

//<2543> nothing
<2543> nothing

//<2544> nothing
<2544> nothing

//<2545> nothing
<2545> nothing

//<2546> え？　という顔で日向を見る。
<2546> え？　という顔で日向を見る。

//<2547> nothing
<2547> nothing

//<2548> nothing
<2548> nothing

//<2549> nothing
<2549> nothing

//<2550> nothing
<2550> nothing

//<2551> nothing
<2551> nothing

//<2552> 日向
<2552> 日向

//<2553> 男Ｂ
<2553> 男Ｂ

//<2554> エロエロ団総帥
<2554> エロエロ団総帥

//<2555> イケチン
<2555> イケチン

//<2556> ホモ太
<2556> ホモ太

//<2557> ひなチン
<2557> ひなチン

//<2558> 秀樹
<2558> 秀樹

//<2559> 男子生徒
<2559> 男子生徒

//<2560> ？？
<2560> ？？

//<2561> 「言ったら、殴るって言ってあったろ」
<2561> 「言ったら、殴るって言ってあったろ」

//<2562> 音無
<2562> 音無

//<2563> クソ坊主
<2563> クソ坊主

//<2564> 代理人
<2564> 代理人

//<2565> 微妙すぎるイケメン
<2565> 微妙すぎるイケメン

//<2566> ロリコン
<2566> ロリコン

//<2567> メガネ仲間
<2567> メガネ仲間

//<2568> 暗算日本記録保持者
<2568> 暗算日本記録保持者

//<2569> 通り魔
<2569> 通り魔

//<2570> 記憶ナシ男
<2570> 記憶ナシ男

//<2571> 音速
<2571> 音速

//<2572> 無限
<2572> 無限

//<2573> エロ侍
<2573> エロ侍

//<2574> エロエロ団ナンバー１
<2574> エロエロ団ナンバー１

//<2575> ただのエロ少年
<2575> ただのエロ少年

//<2576> ユリブサイク
<2576> ユリブサイク

//<2577> ドピュッシー
<2577> ドピュッシー

//<2578> アメリカンエロドッグ
<2578> アメリカンエロドッグ

//<2579> ゼウス
<2579> ゼウス

//<2580> 日向markⅡ
<2580> 日向markⅡ

//<2581> 糞虫
<2581> 糞虫

//<2582> 量産型日向
<2582> 量産型日向

//<2583> ？？
<2583> ？？

//<2584> 「まはは…」
<2584> 「まはは…」

//<2585> まさか、と言いたかったが前歯が全滅しているので、まともに言葉が紡げない。
<2585> まさか、と言いたかったが前歯が全滅しているので、まともに言葉が紡げない。

//<2586> 音無
<2586> 音無

//<2587> クソ坊主
<2587> クソ坊主

//<2588> 代理人
<2588> 代理人

//<2589> 微妙すぎるイケメン
