// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_knock
<0000> se_knock
<0540> ？？

//<0541> 「しかも、相手がゆりっぺ！？」
<0541> 「しかも、相手がゆりっぺ！？」

//<0542> 音無
<0542> 音無

//<0543> クソ坊主
<0543> クソ坊主

//<0544> 代理人
<0544> 代理人

//<0545> 微妙すぎるイケメン
<0545> 微妙すぎるイケメン

//<0546> ロリコン
<0546> ロリコン

//<0547> メガネ仲間
<0547> メガネ仲間

//<0548> 暗算日本記録保持者
<0548> 暗算日本記録保持者

//<0549> 通り魔
<0549> 通り魔

//<0550> 記憶ナシ男
<0550> 記憶ナシ男

//<0551> 音速
<0551> 音速

//<0552> 無限
<0552> 無限

//<0553> エロ侍
<0553> エロ侍

//<0554> エロエロ団ナンバー１
<0554> エロエロ団ナンバー１

//<0555> ただのエロ少年
<0555> ただのエロ少年

//<0556> ユリブサイク
<0556> ユリブサイク

//<0557> ドピュッシー
<0557> ドピュッシー

//<0558> アメリカンエロドッグ
<0558> アメリカンエロドッグ

//<0559> ゼウス
<0559> ゼウス

//<0560> 日向markⅡ
<0560> 日向markⅡ

//<0561> 糞虫
<0561> 糞虫

//<0562> 量産型日向
<0562> 量産型日向

//<0563> ？？
<0563> ？？

//<0564> 「え？　駄目なのか？　美人で戦線のリーダー。完璧じゃないか」
<0564> 「え？　駄目なのか？　美人で戦線のリーダー。完璧じゃないか」

//<0565> 振り返り訴える。
<0565> 振り返り訴える。

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> nothing
<0569> nothing

//<0570> nothing
<0570> nothing

//<0571> 日向
<0571> 日向

//<0572> 男Ｂ
<0572> 男Ｂ

//<0573> エロエロ団総帥
<0573> エロエロ団総帥

//<0574> イケチン
<0574> イケチン

//<0575> ホモ太
<0575> ホモ太

//<0576> ひなチン
<0576> ひなチン

//<0577> 秀樹
<0577> 秀樹

//<0578> 男子生徒
<0578> 男子生徒

//<0579> ？？
<0579> ？？

//<0580> 「考え直せ…ゆりっぺはない…」
<0580> 「考え直せ…ゆりっぺはない…」

//<0581> ゆり
<0581> ゆり

//<0582> 女生徒
<0582> 女生徒

//<0583> ？？
<0583> ？？

//<0584> 「ない？　それはどういう意味かしら、日向くん？」
<0584> 「ない？　それはどういう意味かしら、日向くん？」

//<0585> nothing
<0585> nothing

//<0586> nothing
<0586> nothing

//<0587> nothing
<0587> nothing

//<0588> nothing
<0588> nothing

//<0589> nothing
<0589> nothing

//<0590> 日向
<0590> 日向

//<0591> 男Ｂ
<0591> 男Ｂ

//<0592> エロエロ団総帥
<0592> エロエロ団総帥

//<0593> イケチン
<0593> イケチン

//<0594> ホモ太
<0594> ホモ太

//<0595> ひなチン
<0595> ひなチン

//<0596> 秀樹
<0596> 秀樹

//<0597> 男子生徒
<0597> 男子生徒

//<0598> ？？
<0598> ？？

//<0599> 「ええっ！？　俺！？」
<0599> 「ええっ！？　俺！？」

//<0600> nothing
<0600> nothing

//<0601> nothing
<0601> nothing

//<0602> nothing
<0602> nothing

//<0603> nothing
<0603> nothing

//<0604> nothing
<0604> nothing

//<0605> 日向
<0605> 日向

//<0606> 男Ｂ
<0606> 男Ｂ

//<0607> エロエロ団総帥
<0607> エロエロ団総帥

//<0608> イケチン
<0608> イケチン

//<0609> ホモ太
<0609> ホモ太

//<0610> ひなチン
<0610> ひなチン

//<0611> 秀樹
<0611> 秀樹

//<0612> 男子生徒
<0612> 男子生徒

//<0613> ？？
<0613> ？？

//<0614> 「だって、お前が誰かを好きになることもないし、長年付き合ってきた俺たちからは、女として見られねーしさ…」
<0614> 「だって、お前が誰かを好きになることもないし、長年付き合ってきた俺たちからは、女として見られねーしさ…」

//<0615> nothing
<0615> nothing

//<0616> nothing
<0616> nothing

//<0617> nothing
<0617> nothing

//<0618> nothing
<0618> nothing

//<0619> nothing
<0619> nothing

//<0620> ゆり
<0620> ゆり

//<0621> 女生徒
<0621> 女生徒

//<0622> ？？
<0622> ？？

//<0623> 「ごちゃごちゃうっさいなぁーー！！」
<0623> 「ごちゃごちゃうっさいなぁーー！！」

//<0624> nothing
<0624> nothing

//<0625> nothing
<0625> nothing

//<0626> nothing
<0626> nothing

//<0627> nothing
<0627> nothing

//<0628> nothing
<0628> nothing

//<0629> ゆり
<0629> ゆり

//<0630> 女生徒
<0630> 女生徒

//<0631> ？？
<0631> ？？

//<0632> 「ようやくあたしの魅力に気づいてくれたメンバーが現れたのよ？」
<0632> 「ようやくあたしの魅力に気づいてくれたメンバーが現れたのよ？」

//<0633> 日向
<0633> 日向

//<0634> 男Ｂ
<0634> 男Ｂ

//<0635> エロエロ団総帥
<0635> エロエロ団総帥

//<0636> イケチン
<0636> イケチン

//<0637> ホモ太
<0637> ホモ太

//<0638> ひなチン
<0638> ひなチン

//<0639> 秀樹
<0639> 秀樹

//<0640> 男子生徒
<0640> 男子生徒

//<0641> ？？
<0641> ？？

//<0642> 「でもすぐ、そんな気はなくなるだろーがな」
<0642> 「でもすぐ、そんな気はなくなるだろーがな」

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> nothing
<0646> nothing

//<0647> nothing
<0647> nothing

//<0648> ゆり
<0648> ゆり

//<0649> 女生徒
<0649> 女生徒

//<0650> ？？
<0650> ？？

//<0651> 「なくならないかもしれないだろぉーーー！！」
<0651> 「なくならないかもしれないだろぉーーー！！」

//<0652> 日向
<0652> 日向

//<0653> 男Ｂ
<0653> 男Ｂ

//<0654> エロエロ団総帥
<0654> エロエロ団総帥

//<0655> イケチン
<0655> イケチン

//<0656> ホモ太
<0656> ホモ太

//<0657> ひなチン
<0657> ひなチン

//<0658> 秀樹
<0658> 秀樹

//<0659> 男子生徒
<0659> 男子生徒

//<0660> ？？
<0660> ？？

//<0661> 「じゃあ、ゆりっぺも、こいつにその気が…？」
<0661> 「じゃあ、ゆりっぺも、こいつにその気が…？」

//<0662> nothing
<0662> nothing

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> nothing
<0665> nothing

//<0666> nothing
<0666> nothing

//<0667> ゆり
<0667> ゆり

//<0668> 女生徒
<0668> 女生徒

//<0669> ？？
<0669> ？？

//<0670> 「ないわ」
<0670> 「ないわ」

//<0671> nothing
<0671> nothing

//<0672> nothing
<0672> nothing

//<0673> nothing
<0673> nothing

//<0674> nothing
<0674> nothing

//<0675> nothing
<0675> nothing

//<0676> nothing
<0676> nothing

//<0677> se_shock
<0677> se_shock

//<0678> 音無
<0678> 音無

//<0679> クソ坊主
<0679> クソ坊主

//<0680> 代理人
<0680> 代理人

//<0681> 微妙すぎるイケメン
<0681> 微妙すぎるイケメン

//<0682> ロリコン
<0682> ロリコン

//<0683> メガネ仲間
<0683> メガネ仲間

//<0684> 暗算日本記録保持者
<0684> 暗算日本記録保持者

//<0685> 通り魔
<0685> 通り魔

//<0686> 記憶ナシ男
<0686> 記憶ナシ男

//<0687> 音速
<0687> 音速

//<0688> 無限
<0688> 無限

//<0689> エロ侍
<0689> エロ侍

//<0690> エロエロ団ナンバー１
<0690> エロエロ団ナンバー１

//<0691> ただのエロ少年
<0691> ただのエロ少年

//<0692> ユリブサイク
<0692> ユリブサイク

//<0693> ドピュッシー
<0693> ドピュッシー

//<0694> アメリカンエロドッグ
<0694> アメリカンエロドッグ

//<0695> ゼウス
<0695> ゼウス

//<0696> 日向markⅡ
<0696> 日向markⅡ

//<0697> 糞虫
<0697> 糞虫

//<0698> 量産型日向
<0698> 量産型日向

//<0699> ？？
<0699> ？？

//<0700> 「振られたあぁぁーー！！」
<0700> 「振られたあぁぁーー！！」

//<0701> 俺は肩を落とす。
<0701> 俺は肩を落とす。

//<0702> nothing
<0702> nothing

//<0703> nothing
<0703> nothing

//<0704> nothing
<0704> nothing

//<0705> nothing
<0705> nothing

//<0706> nothing
<0706> nothing

//<0707> 日向
<0707> 日向

//<0708> 男Ｂ
<0708> 男Ｂ

//<0709> エロエロ団総帥
<0709> エロエロ団総帥

//<0710> イケチン
<0710> イケチン

//<0711> ホモ太
<0711> ホモ太

//<0712> ひなチン
<0712> ひなチン

//<0713> 秀樹
<0713> 秀樹

//<0714> 男子生徒
<0714> 男子生徒

//<0715> ？？
<0715> ？？

//<0716> 「新米をもてあそんでやるなよっ！　落ち込んじまったじゃねーか！！」
<0716> 「新米をもてあそんでやるなよっ！　落ち込んじまったじゃねーか！！」

//<0717> 音無
<0717> 音無

//<0718> クソ坊主
<0718> クソ坊主

//<0719> 代理人
<0719> 代理人

//<0720> 微妙すぎるイケメン
<0720> 微妙すぎるイケメン

//<0721> ロリコン
<0721> ロリコン

//<0722> メガネ仲間
<0722> メガネ仲間

//<0723> 暗算日本記録保持者
<0723> 暗算日本記録保持者

//<0724> 通り魔
<0724> 通り魔

//<0725> 記憶ナシ男
<0725> 記憶ナシ男

//<0726> 音速
<0726> 音速

//<0727> 無限
<0727> 無限

//<0728> エロ侍
<0728> エロ侍

//<0729> エロエロ団ナンバー１
<0729> エロエロ団ナンバー１

//<0730> ただのエロ少年
<0730> ただのエロ少年

//<0731> ユリブサイク
<0731> ユリブサイク

//<0732> ドピュッシー
<0732> ドピュッシー

//<0733> アメリカンエロドッグ
<0733> アメリカンエロドッグ

//<0734> ゼウス
<0734> ゼウス

//<0735> 日向markⅡ
<0735> 日向markⅡ

//<0736> 糞虫
<0736> 糞虫

//<0737> 量産型日向
<0737> 量産型日向

//<0738> ？？
<0738> ？？

//<0739> 「いや、フォローとかもういいから、出よう…」
<0739> 「いや、フォローとかもういいから、出よう…」

//<0740> nothing
<0740> nothing

//<0741> nothing
<0741> nothing

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> 日向
<0745> 日向

//<0746> 男Ｂ
<0746> 男Ｂ

//<0747> エロエロ団総帥
<0747> エロエロ団総帥

//<0748> イケチン
<0748> イケチン

//<0749> ホモ太
<0749> ホモ太

//<0750> ひなチン
<0750> ひなチン

//<0751> 秀樹
<0751> 秀樹

//<0752> 男子生徒
<0752> 男子生徒

//<0753> ？？
<0753> ？？

//<0754> 「だな…」
<0754> 「だな…」

//<0755> nothing
<0755> nothing

//<0756> nothing
<0756> nothing

//<0757> nothing
<0757> nothing

//<0758> nothing
<0758> nothing

//<0759> nothing
<0759> nothing

//<0760> ゆり
<0760> ゆり

//<0761> 女生徒
<0761> 女生徒

//<0762> ？？
<0762> ？？

//<0763> 「よくもまあ、そんなことをこの世界に来てすぐ、まったく知らない相手に言い切れるものね」
<0763> 「よくもまあ、そんなことをこの世界に来てすぐ、まったく知らない相手に言い切れるものね」

//<0764> nothing
<0764> nothing

//<0765> nothing
<0765> nothing

//<0766> nothing
<0766> nothing

//<0767> nothing
<0767> nothing

//<0768> nothing
<0768> nothing

//<0769> ゆり
<0769> ゆり

//<0770> 女生徒
<0770> 女生徒

//<0771> ？？
<0771> ？？

//<0772> 「一体、あたしのどこに惹かれたのかしら」
<0772> 「一体、あたしのどこに惹かれたのかしら」

//<0773> ルックス
<0773> ルックス

//<0774> リーダーシップ性
<0774> リーダーシップ性

//<0775> よくわからない
<0775> よくわからない

//<0776> selbtn : 
<0776> selbtn : 

//<0777> 音無
<0777> 音無

//<0778> クソ坊主
<0778> クソ坊主

//<0779> 代理人
<0779> 代理人

//<0780> 微妙すぎるイケメン
<0780> 微妙すぎるイケメン

//<0781> ロリコン
<0781> ロリコン

//<0782> メガネ仲間
<0782> メガネ仲間

//<0783> 暗算日本記録保持者
<0783> 暗算日本記録保持者

//<0784> 通り魔
<0784> 通り魔

//<0785> 記憶ナシ男
<0785> 記憶ナシ男

//<0786> 音速
<0786> 音速

//<0787> 無限
<0787> 無限

//<0788> エロ侍
<0788> エロ侍

//<0789> エロエロ団ナンバー１
<0789> エロエロ団ナンバー１

//<0790> ただのエロ少年
<0790> ただのエロ少年

//<0791> ユリブサイク
<0791> ユリブサイク

//<0792> ドピュッシー
<0792> ドピュッシー

//<0793> アメリカンエロドッグ
<0793> アメリカンエロドッグ

//<0794> ゼウス
<0794> ゼウス

//<0795> 日向markⅡ
<0795> 日向markⅡ

//<0796> 糞虫
<0796> 糞虫

//<0797> 量産型日向
<0797> 量産型日向

//<0798> ？？
<0798> ？？

//<0799> 「だって、お前、美人じゃん？」
<0799> 「だって、お前、美人じゃん？」

//<0800> nothing
<0800> nothing

//<0801> nothing
<0801> nothing

//<0802> nothing
<0802> nothing

//<0803> nothing
<0803> nothing

//<0804> nothing
<0804> nothing

//<0805> ゆり
<0805> ゆり

//<0806> 女生徒
<0806> 女生徒

//<0807> ？？
<0807> ？？

//<0808> 「ルックスがあなた好みだと、そういうこと？」
<0808> 「ルックスがあなた好みだと、そういうこと？」

//<0809> 音無
<0809> 音無

//<0810> クソ坊主
<0810> クソ坊主

//<0811> 代理人
<0811> 代理人

//<0812> 微妙すぎるイケメン
<0812> 微妙すぎるイケメン

//<0813> ロリコン
<0813> ロリコン

//<0814> メガネ仲間
<0814> メガネ仲間

//<0815> 暗算日本記録保持者
<0815> 暗算日本記録保持者

//<0816> 通り魔
<0816> 通り魔

//<0817> 記憶ナシ男
<0817> 記憶ナシ男

//<0818> 音速
<0818> 音速

//<0819> 無限
<0819> 無限

//<0820> エロ侍
<0820> エロ侍

//<0821> エロエロ団ナンバー１
<0821> エロエロ団ナンバー１

//<0822> ただのエロ少年
<0822> ただのエロ少年

//<0823> ユリブサイク
<0823> ユリブサイク

//<0824> ドピュッシー
<0824> ドピュッシー

//<0825> アメリカンエロドッグ
<0825> アメリカンエロドッグ

//<0826> ゼウス
<0826> ゼウス

//<0827> 日向markⅡ
<0827> 日向markⅡ

//<0828> 糞虫
<0828> 糞虫

//<0829> 量産型日向
<0829> 量産型日向

//<0830> ？？
<0830> ？？

//<0831> 「まあ…そういうことになる…かな…」
<0831> 「まあ…そういうことになる…かな…」

//<0832> 本人から直接訊かれると、さすがに気恥ずかしい…。
<0832> 本人から直接訊かれると、さすがに気恥ずかしい…。

//<0833> nothing
<0833> nothing

//<0834> nothing
<0834> nothing

//<0835> nothing
<0835> nothing

//<0836> nothing
<0836> nothing

//<0837> nothing
<0837> nothing

//<0838> ゆり
<0838> ゆり

//<0839> 女生徒
<0839> 女生徒

//<0840> ？？
<0840> ？？

//<0841> 「あなたねぇ…」
<0841> 「あなたねぇ…」

//<0842> 冷静だった顔が憤怒の色に変わる。
<0842> 冷静だった顔が憤怒の色に変わる。

//<0843> 音無
<0843> 音無

//<0844> クソ坊主
<0844> クソ坊主

//<0845> 代理人
<0845> 代理人

//<0846> 微妙すぎるイケメン
<0846> 微妙すぎるイケメン

//<0847> ロリコン
<0847> ロリコン

//<0848> メガネ仲間
<0848> メガネ仲間

//<0849> 暗算日本記録保持者
<0849> 暗算日本記録保持者

//<0850> 通り魔
<0850> 通り魔

//<0851> 記憶ナシ男
<0851> 記憶ナシ男

//<0852> 音速
<0852> 音速

//<0853> 無限
<0853> 無限

//<0854> エロ侍
<0854> エロ侍

//<0855> エロエロ団ナンバー１
<0855> エロエロ団ナンバー１

//<0856> ただのエロ少年
<0856> ただのエロ少年

//<0857> ユリブサイク
<0857> ユリブサイク

//<0858> ドピュッシー
<0858> ドピュッシー

//<0859> アメリカンエロドッグ
<0859> アメリカンエロドッグ

//<0860> ゼウス
<0860> ゼウス

//<0861> 日向markⅡ
<0861> 日向markⅡ

//<0862> 糞虫
<0862> 糞虫

//<0863> 量産型日向
<0863> 量産型日向

//<0864> ？？
<0864> ？？

//<0865> 「えぇ！？」
<0865> 「えぇ！？」

//<0866> nothing
<0866> nothing

//<0867> nothing
<0867> nothing

//<0868> nothing
<0868> nothing

//<0869> nothing
<0869> nothing

//<0870> nothing
<0870> nothing

//<0871> ゆり
<0871> ゆり

//<0872> 女生徒
<0872> 女生徒

//<0873> ？？
<0873> ？？

//<0874> 「ギャルゲーでもプレイしている、そんな軽い気持ちでいるんじゃないの！？」
<0874> 「ギャルゲーでもプレイしている、そんな軽い気持ちでいるんじゃないの！？」

//<0875> 音無
<0875> 音無

//<0876> クソ坊主
<0876> クソ坊主

//<0877> 代理人
<0877> 代理人

//<0878> 微妙すぎるイケメン
<0878> 微妙すぎるイケメン

//<0879> ロリコン
<0879> ロリコン

//<0880> メガネ仲間
<0880> メガネ仲間

//<0881> 暗算日本記録保持者
<0881> 暗算日本記録保持者

//<0882> 通り魔
<0882> 通り魔

//<0883> 記憶ナシ男
<0883> 記憶ナシ男

//<0884> 音速
<0884> 音速

//<0885> 無限
<0885> 無限

//<0886> エロ侍
<0886> エロ侍

//<0887> エロエロ団ナンバー１
<0887> エロエロ団ナンバー１

//<0888> ただのエロ少年
<0888> ただのエロ少年

//<0889> ユリブサイク
<0889> ユリブサイク

//<0890> ドピュッシー
<0890> ドピュッシー

//<0891> アメリカンエロドッグ
<0891> アメリカンエロドッグ

//<0892> ゼウス
<0892> ゼウス

//<0893> 日向markⅡ
<0893> 日向markⅡ

//<0894> 糞虫
<0894> 糞虫

//<0895> 量産型日向
<0895> 量産型日向

//<0896> ？？
<0896> ？？

//<0897> 「いや、天使に刺されたり、野田に切り刻まれたり、死ぬ痛みも覚えたから、それなりに覚悟はあるぜ？」
<0897> 「いや、天使に刺されたり、野田に切り刻まれたり、死ぬ痛みも覚えたから、それなりに覚悟はあるぜ？」

//<0898> nothing
<0898> nothing

//<0899> nothing
<0899> nothing

//<0900> nothing
<0900> nothing

//<0901> nothing
<0901> nothing

//<0902> nothing
<0902> nothing

//<0903> ゆり
<0903> ゆり

//<0904> 女生徒
<0904> 女生徒

//<0905> ？？
<0905> ？？

//<0906> 「あなた、生前の記憶は？」
<0906> 「あなた、生前の記憶は？」

//<0907> 音無
<0907> 音無

//<0908> クソ坊主
<0908> クソ坊主

//<0909> 代理人
<0909> 代理人

//<0910> 微妙すぎるイケメン
<0910> 微妙すぎるイケメン

//<0911> ロリコン
<0911> ロリコン

//<0912> メガネ仲間
<0912> メガネ仲間

//<0913> 暗算日本記録保持者
<0913> 暗算日本記録保持者

//<0914> 通り魔
<0914> 通り魔

//<0915> 記憶ナシ男
<0915> 記憶ナシ男

//<0916> 音速
<0916> 音速

//<0917> 無限
<0917> 無限

//<0918> エロ侍
<0918> エロ侍

//<0919> エロエロ団ナンバー１
<0919> エロエロ団ナンバー１

//<0920> ただのエロ少年
<0920> ただのエロ少年

//<0921> ユリブサイク
<0921> ユリブサイク

//<0922> ドピュッシー
<0922> ドピュッシー

//<0923> アメリカンエロドッグ
<0923> アメリカンエロドッグ

//<0924> ゼウス
<0924> ゼウス

//<0925> 日向markⅡ
<0925> 日向markⅡ

//<0926> 糞虫
<0926> 糞虫

//<0927> 量産型日向
<0927> 量産型日向

//<0928> ？？
<0928> ？？

//<0929> 「それは…まだ思い出せないでいる…」
<0929> 「それは…まだ思い出せないでいる…」

//<0930> nothing
<0930> nothing

//<0931> nothing
<0931> nothing

//<0932> nothing
<0932> nothing

//<0933> nothing
<0933> nothing

//<0934> nothing
<0934> nothing

//<0935> ゆり
<0935> ゆり

//<0936> 女生徒
<0936> 女生徒

//<0937> ？？
<0937> ？？

//<0938> 「だったら、せめて、思い出してからにして」
<0938> 「だったら、せめて、思い出してからにして」

//<0939> 音無
<0939> 音無

//<0940> クソ坊主
<0940> クソ坊主

//<0941> 代理人
<0941> 代理人

//<0942> 微妙すぎるイケメン
<0942> 微妙すぎるイケメン

//<0943> ロリコン
<0943> ロリコン

//<0944> メガネ仲間
<0944> メガネ仲間

//<0945> 暗算日本記録保持者
<0945> 暗算日本記録保持者

//<0946> 通り魔
<0946> 通り魔

//<0947> 記憶ナシ男
<0947> 記憶ナシ男

//<0948> 音速
<0948> 音速

//<0949> 無限
<0949> 無限

//<0950> エロ侍
<0950> エロ侍

//<0951> エロエロ団ナンバー１
<0951> エロエロ団ナンバー１

//<0952> ただのエロ少年
<0952> ただのエロ少年

//<0953> ユリブサイク
<0953> ユリブサイク

//<0954> ドピュッシー
<0954> ドピュッシー

//<0955> アメリカンエロドッグ
<0955> アメリカンエロドッグ

//<0956> ゼウス
<0956> ゼウス

//<0957> 日向markⅡ
<0957> 日向markⅡ

//<0958> 糞虫
<0958> 糞虫

//<0959> 量産型日向
<0959> 量産型日向

//<0960> ？？
<0960> ？？

//<0961> 「思い出したら、お前も真剣に考えてくれるのか？」
<0961> 「思い出したら、お前も真剣に考えてくれるのか？」

//<0962> nothing
<0962> nothing

//<0963> nothing
<0963> nothing

//<0964> nothing
<0964> nothing

//<0965> nothing
<0965> nothing

//<0966> nothing
<0966> nothing

//<0967> ゆり
<0967> ゆり

//<0968> 女生徒
<0968> 女生徒

//<0969> ？？
<0969> ？？

//<0970> 「さあね」
<0970> 「さあね」

//<0971> nothing
<0971> nothing

//<0972> nothing
<0972> nothing

//<0973> nothing
<0973> nothing

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> 机に肘をついて、そっぽを向く。
<0977> 机に肘をついて、そっぽを向く。

//<0978> なんとも冷たい。
<0978> なんとも冷たい。

//<0979> 音無
<0979> 音無

//<0980> クソ坊主
<0980> クソ坊主

//<0981> 代理人
<0981> 代理人

//<0982> 微妙すぎるイケメン
<0982> 微妙すぎるイケメン

//<0983> ロリコン
<0983> ロリコン

//<0984> メガネ仲間
<0984> メガネ仲間

//<0985> 暗算日本記録保持者
<0985> 暗算日本記録保持者

//<0986> 通り魔
<0986> 通り魔

//<0987> 記憶ナシ男
<0987> 記憶ナシ男

//<0988> 音速
<0988> 音速

//<0989> 無限
<0989> 無限

//<0990> エロ侍
<0990> エロ侍

//<0991> エロエロ団ナンバー１
<0991> エロエロ団ナンバー１

//<0992> ただのエロ少年
<0992> ただのエロ少年

//<0993> ユリブサイク
<0993> ユリブサイク

//<0994> ドピュッシー
<0994> ドピュッシー

//<0995> アメリカンエロドッグ
<0995> アメリカンエロドッグ

//<0996> ゼウス
<0996> ゼウス

//<0997> 日向markⅡ
<0997> 日向markⅡ

//<0998> 糞虫
<0998> 糞虫

//<0999> 量産型日向
<0999> 量産型日向

//<1000> ？？
<1000> ？？

//<1001> 「わかったよ」
<1001> 「わかったよ」

//<1002> 本部を後にした。
<1002> 本部を後にした。

//<1003> 音無
<1003> 音無

//<1004> クソ坊主
<1004> クソ坊主

//<1005> 代理人
<1005> 代理人

//<1006> 微妙すぎるイケメン
<1006> 微妙すぎるイケメン

//<1007> ロリコン
<1007> ロリコン

//<1008> メガネ仲間
<1008> メガネ仲間

//<1009> 暗算日本記録保持者
<1009> 暗算日本記録保持者

//<1010> 通り魔
<1010> 通り魔

//<1011> 記憶ナシ男
<1011> 記憶ナシ男

//<1012> 音速
<1012> 音速

//<1013> 無限
<1013> 無限

//<1014> エロ侍
<1014> エロ侍

//<1015> エロエロ団ナンバー１
<1015> エロエロ団ナンバー１

//<1016> ただのエロ少年
<1016> ただのエロ少年

//<1017> ユリブサイク
<1017> ユリブサイク

//<1018> ドピュッシー
<1018> ドピュッシー

//<1019> アメリカンエロドッグ
<1019> アメリカンエロドッグ

//<1020> ゼウス
<1020> ゼウス

//<1021> 日向markⅡ
<1021> 日向markⅡ

//<1022> 糞虫
<1022> 糞虫

//<1023> 量産型日向
<1023> 量産型日向

//<1024> ？？
<1024> ？？

//<1025> 「リーダーシップ性」
<1025> 「リーダーシップ性」

//<1026> nothing
<1026> nothing

//<1027> nothing
<1027> nothing

//<1028> nothing
<1028> nothing

//<1029> nothing
<1029> nothing

//<1030> nothing
<1030> nothing

//<1031> ゆり
<1031> ゆり

//<1032> 女生徒
<1032> 女生徒

//<1033> ？？
<1033> ？？

//<1034> 「それはまだあなたの前では発揮していない気がするのだけど」
<1034> 「それはまだあなたの前では発揮していない気がするのだけど」

//<1035> 音無
<1035> 音無

//<1036> クソ坊主
<1036> クソ坊主

//<1037> 代理人
<1037> 代理人

//<1038> 微妙すぎるイケメン
<1038> 微妙すぎるイケメン

//<1039> ロリコン
<1039> ロリコン

//<1040> メガネ仲間
<1040> メガネ仲間

//<1041> 暗算日本記録保持者
<1041> 暗算日本記録保持者

//<1042> 通り魔
<1042> 通り魔

//<1043> 記憶ナシ男
<1043> 記憶ナシ男

//<1044> 音速
<1044> 音速

//<1045> 無限
<1045> 無限

//<1046> エロ侍
<1046> エロ侍

//<1047> エロエロ団ナンバー１
<1047> エロエロ団ナンバー１

//<1048> ただのエロ少年
<1048> ただのエロ少年

//<1049> ユリブサイク
<1049> ユリブサイク

//<1050> ドピュッシー
<1050> ドピュッシー

//<1051> アメリカンエロドッグ
<1051> アメリカンエロドッグ

//<1052> ゼウス
<1052> ゼウス

//<1053> 日向markⅡ
<1053> 日向markⅡ

//<1054> 糞虫
<1054> 糞虫

//<1055> 量産型日向
<1055> 量産型日向

//<1056> ？？
<1056> ？？

//<1057> 「何言ってんだよ。ギルド降下作戦の最中も、オールドギルドで指示出してるゆりも、紛れもないリーダーの姿だったぜ」
<1057> 「何言ってんだよ。ギルド降下作戦の最中も、オールドギルドで指示出してるゆりも、紛れもないリーダーの姿だったぜ」

//<1058> 音無
<1058> 音無

//<1059> クソ坊主
<1059> クソ坊主

//<1060> 代理人
<1060> 代理人

//<1061> 微妙すぎるイケメン
<1061> 微妙すぎるイケメン

//<1062> ロリコン
<1062> ロリコン

//<1063> メガネ仲間
<1063> メガネ仲間

//<1064> 暗算日本記録保持者
<1064> 暗算日本記録保持者

//<1065> 通り魔
<1065> 通り魔

//<1066> 記憶ナシ男
<1066> 記憶ナシ男

//<1067> 音速
<1067> 音速

//<1068> 無限
<1068> 無限

//<1069> エロ侍
<1069> エロ侍

//<1070> エロエロ団ナンバー１
<1070> エロエロ団ナンバー１

//<1071> ただのエロ少年
<1071> ただのエロ少年

//<1072> ユリブサイク
<1072> ユリブサイク

//<1073> ドピュッシー
<1073> ドピュッシー

//<1074> アメリカンエロドッグ
<1074> アメリカンエロドッグ

//<1075> ゼウス
<1075> ゼウス

//<1076> 日向markⅡ
<1076> 日向markⅡ

//<1077> 糞虫
<1077> 糞虫

//<1078> 量産型日向
<1078> 量産型日向

//<1079> ？？
<1079> ？？

//<1080> 「いや、ギルド降下作戦で先陣切って進む姿は、リーダーシップに溢れてたぞ」
<1080> 「いや、ギルド降下作戦で先陣切って進む姿は、リーダーシップに溢れてたぞ」

//<1081> 音無
<1081> 音無

//<1082> クソ坊主
<1082> クソ坊主

//<1083> 代理人
<1083> 代理人

//<1084> 微妙すぎるイケメン
<1084> 微妙すぎるイケメン

//<1085> ロリコン
<1085> ロリコン

//<1086> メガネ仲間
<1086> メガネ仲間

