// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<0500> 日向markⅡ

//<0501> 糞虫
<0501> 糞虫

//<0502> 量産型日向
<0502> 量産型日向

//<0503> ？？
<0503> ？？

//<0504> 「後…なんて言ってたかな…」
<0504> 「後…なんて言ってたかな…」

//<0505> 音無
<0505> 音無

//<0506> クソ坊主
<0506> クソ坊主

//<0507> 代理人
<0507> 代理人

//<0508> 微妙すぎるイケメン
<0508> 微妙すぎるイケメン

//<0509> ロリコン
<0509> ロリコン

//<0510> メガネ仲間
<0510> メガネ仲間

//<0511> 暗算日本記録保持者
<0511> 暗算日本記録保持者

//<0512> 通り魔
<0512> 通り魔

//<0513> 記憶ナシ男
<0513> 記憶ナシ男

//<0514> 音速
<0514> 音速

//<0515> 無限
<0515> 無限

//<0516> エロ侍
<0516> エロ侍

//<0517> エロエロ団ナンバー１
<0517> エロエロ団ナンバー１

//<0518> ただのエロ少年
<0518> ただのエロ少年

//<0519> ユリブサイク
<0519> ユリブサイク

//<0520> ドピュッシー
<0520> ドピュッシー

//<0521> アメリカンエロドッグ
<0521> アメリカンエロドッグ

//<0522> ゼウス
<0522> ゼウス

//<0523> 日向markⅡ
<0523> 日向markⅡ

//<0524> 糞虫
<0524> 糞虫

//<0525> 量産型日向
<0525> 量産型日向

//<0526> ？？
<0526> ？？

//<0527> 「岩沢の歌う
<0527> 「岩沢の歌う

//<0528> Crow Song
<0528> Crow Song

//<0529> は、岩沢の
<0529> は、岩沢の

//<0530> Crow Song
<0530> Crow Song

//<0531> 。ユイが歌えば、それはユイの
<0531> 。ユイが歌えば、それはユイの

//<0532> Crow Song
<0532> Crow Song

//<0533> 」
<0533> 」

//<0534> 音無
<0534> 音無

//<0535> クソ坊主
<0535> クソ坊主

//<0536> 代理人
<0536> 代理人

//<0537> 微妙すぎるイケメン
<0537> 微妙すぎるイケメン

//<0538> ロリコン
<0538> ロリコン

//<0539> メガネ仲間
<0539> メガネ仲間

//<0540> 暗算日本記録保持者
<0540> 暗算日本記録保持者

//<0541> 通り魔
<0541> 通り魔

//<0542> 記憶ナシ男
<0542> 記憶ナシ男

//<0543> 音速
<0543> 音速

//<0544> 無限
<0544> 無限

//<0545> エロ侍
<0545> エロ侍

//<0546> エロエロ団ナンバー１
<0546> エロエロ団ナンバー１

//<0547> ただのエロ少年
<0547> ただのエロ少年

//<0548> ユリブサイク
<0548> ユリブサイク

//<0549> ドピュッシー
<0549> ドピュッシー

//<0550> アメリカンエロドッグ
<0550> アメリカンエロドッグ

//<0551> ゼウス
<0551> ゼウス

//<0552> 日向markⅡ
<0552> 日向markⅡ

//<0553> 糞虫
<0553> 糞虫

//<0554> 量産型日向
<0554> 量産型日向

//<0555> ？？
<0555> ？？

//<0556> 「
<0556> 「

//<0557> うた
<0557> うた

//<0558> 自由
<0558> 自由
{10115} 3d // 0558

//<0559> を邪魔する権利なんて誰にもないんだ…って」
<0559> を邪魔する権利なんて誰にもないんだ…って」

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> nothing
<0562> nothing

//<0563> nothing
<0563> nothing

//<0564> nothing
<0564> nothing

//<0565> ユイ
<0565> ユイ

//<0566> 「…そう、ですか…」
<0566> 「…そう、ですか…」

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> nothing
<0569> nothing

//<0570> nothing
<0570> nothing

//<0571> nothing
<0571> nothing

//<0572> ユイ
<0572> ユイ

//<0573> 「岩沢さんがそんなこと言ってくれてたんですか…」
<0573> 「岩沢さんがそんなこと言ってくれてたんですか…」

//<0574> nothing
<0574> nothing

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> nothing
<0577> nothing

//<0578> nothing
<0578> nothing

//<0579> ユイ
<0579> ユイ

//<0580> 「………」
<0580> 「………」

//<0581> nothing
<0581> nothing

//<0582> nothing
<0582> nothing

//<0583> nothing
<0583> nothing

//<0584> nothing
<0584> nothing

//<0585> nothing
<0585> nothing

//<0586> ユイ
<0586> ユイ

//<0587> 「よしっ！」
<0587> 「よしっ！」

//<0588> se_binta
<0588> se_binta
{115b0} 0a // 0588

//<0589> none
<0589> none

//<0590> nothing
<0590> nothing

//<0591> 
<0591> 

//<0592> 
<0592> 

//<0593> nothing
<0593> nothing

//<0594> bs
<0594> bs

//<0595> _
<0595> _

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> nothing
<0599> nothing

//<0600> nothing
<0600> nothing

//<0601> パンとユイは両手で自分の頬を叩くと、ギターを構える。
<0601> パンとユイは両手で自分の頬を叩くと、ギターを構える。

//<0602> nothing
<0602> nothing

//<0603> nothing
<0603> nothing

//<0604> nothing
<0604> nothing

//<0605> nothing
<0605> nothing

//<0606> nothing
<0606> nothing

//<0607> ユイ
<0607> ユイ

//<0608> 「
<0608> 「

//<0609> Crow Song
<0609> Crow Song

//<0610> ！　作詞・作曲、岩沢雅美！　唄、あたし！」
<0610> ！　作詞・作曲、岩沢雅美！　唄、あたし！」

//<0611> se_yui_Crowsong_Gt
<0611> se_yui_Crowsong_Gt

//<0612> そう力強く叫ぶと、ギターの弦をピックではじく。
<0612> そう力強く叫ぶと、ギターの弦をピックではじく。

//<0613> 笑顔で。
<0613> 笑顔で。

//<0614> 聞き覚えのある歌が、周囲に響き渡った。
<0614> 聞き覚えのある歌が、周囲に響き渡った。

//<0615> ひたむきで、まっすぐで、歌が好きだって気持ちがめいっぱい詰まった音楽。
<0615> ひたむきで、まっすぐで、歌が好きだって気持ちがめいっぱい詰まった音楽。

//<0616> いつかこの歌が、次の誰かに受け継がれる日が来るのだろうか。
<0616> いつかこの歌が、次の誰かに受け継がれる日が来るのだろうか。

//<0617> 岩沢がこの世界に残した、確かな証を。
<0617> 岩沢がこの世界に残した、確かな証を。

//<0618> none
<0618> none

//<0619> nothing
<0619> nothing

//<0620> 
<0620> 

//<0621> 
<0621> 

//<0622> nothing
<0622> nothing

//<0623> bs
<0623> bs

//<0624> _
<0624> _

//<0625> nothing
<0625> nothing

//<0626> nothing
<0626> nothing

//<0627> nothing
<0627> nothing

//<0628> nothing
<0628> nothing

//<0629> nothing
<0629> nothing

//<0630> ユイはそこまで言って、俯いて息を吐く。
<0630> ユイはそこまで言って、俯いて息を吐く。

//<0631> nothing
<0631> nothing

//<0632> nothing
<0632> nothing

//<0633> nothing
<0633> nothing

//<0634> nothing
<0634> nothing

//<0635> nothing
<0635> nothing

//<0636> ユイ
<0636> ユイ

//<0637> 「…でも、歌は続けないとダメですね」
<0637> 「…でも、歌は続けないとダメですね」

//<0638> 音無
<0638> 音無

//<0639> クソ坊主
<0639> クソ坊主

//<0640> 代理人
<0640> 代理人

//<0641> 微妙すぎるイケメン
<0641> 微妙すぎるイケメン

//<0642> ロリコン
<0642> ロリコン

//<0643> メガネ仲間
<0643> メガネ仲間

//<0644> 暗算日本記録保持者
<0644> 暗算日本記録保持者

//<0645> 通り魔
<0645> 通り魔

//<0646> 記憶ナシ男
<0646> 記憶ナシ男

//<0647> 音速
<0647> 音速

//<0648> 無限
<0648> 無限

//<0649> エロ侍
<0649> エロ侍

//<0650> エロエロ団ナンバー１
<0650> エロエロ団ナンバー１

//<0651> ただのエロ少年
<0651> ただのエロ少年

//<0652> ユリブサイク
<0652> ユリブサイク

//<0653> ドピュッシー
<0653> ドピュッシー

//<0654> アメリカンエロドッグ
<0654> アメリカンエロドッグ

//<0655> ゼウス
<0655> ゼウス

//<0656> 日向markⅡ
<0656> 日向markⅡ

//<0657> 糞虫
<0657> 糞虫

//<0658> 量産型日向
<0658> 量産型日向

//<0659> ？？
<0659> ？？

//<0660> 「え？」
<0660> 「え？」

//<0661> nothing
<0661> nothing

//<0662> nothing
<0662> nothing

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> nothing
<0665> nothing

//<0666> ユイ
<0666> ユイ

//<0667> 「せっかく岩沢さんが作った歌なんですから、誰かが歌い続けないと」
<0667> 「せっかく岩沢さんが作った歌なんですから、誰かが歌い続けないと」

//<0668> 音無
<0668> 音無

//<0669> クソ坊主
<0669> クソ坊主

//<0670> 代理人
<0670> 代理人

//<0671> 微妙すぎるイケメン
<0671> 微妙すぎるイケメン

//<0672> ロリコン
<0672> ロリコン

//<0673> メガネ仲間
<0673> メガネ仲間

//<0674> 暗算日本記録保持者
<0674> 暗算日本記録保持者

//<0675> 通り魔
<0675> 通り魔

//<0676> 記憶ナシ男
<0676> 記憶ナシ男

//<0677> 音速
<0677> 音速

//<0678> 無限
<0678> 無限

//<0679> エロ侍
<0679> エロ侍

//<0680> エロエロ団ナンバー１
<0680> エロエロ団ナンバー１

//<0681> ただのエロ少年
<0681> ただのエロ少年

//<0682> ユリブサイク
<0682> ユリブサイク

//<0683> ドピュッシー
<0683> ドピュッシー

//<0684> アメリカンエロドッグ
<0684> アメリカンエロドッグ

//<0685> ゼウス
<0685> ゼウス

//<0686> 日向markⅡ
<0686> 日向markⅡ

//<0687> 糞虫
<0687> 糞虫

//<0688> 量産型日向
<0688> 量産型日向

//<0689> ？？
<0689> ？？

//<0690> 「そうだな」
<0690> 「そうだな」

//<0691> 岩沢がこの世界に残した、確かな証なんだから。
<0691> 岩沢がこの世界に残した、確かな証なんだから。

//<0692> ユイ
<0692> ユイ

//<0693> 「あたしも自分の歌を作るぞー」
<0693> 「あたしも自分の歌を作るぞー」

//<0694> そして、その意志は受け継がれていく。
<0694> そして、その意志は受け継がれていく。

//<0695> 駐車場の植え込みの近くにユイが座り込んでいた。
<0695> 駐車場の植え込みの近くにユイが座り込んでいた。

//<0696> アコースティックギターを抱えながら、俯いてジッとしている。
<0696> アコースティックギターを抱えながら、俯いてジッとしている。

//<0697> 音無
<0697> 音無

//<0698> クソ坊主
<0698> クソ坊主

//<0699> 代理人
<0699> 代理人

//<0700> 微妙すぎるイケメン
<0700> 微妙すぎるイケメン

//<0701> ロリコン
<0701> ロリコン

//<0702> メガネ仲間
<0702> メガネ仲間

//<0703> 暗算日本記録保持者
<0703> 暗算日本記録保持者

//<0704> 通り魔
<0704> 通り魔

//<0705> 記憶ナシ男
<0705> 記憶ナシ男

//<0706> 音速
<0706> 音速

//<0707> 無限
<0707> 無限

//<0708> エロ侍
<0708> エロ侍

//<0709> エロエロ団ナンバー１
<0709> エロエロ団ナンバー１

//<0710> ただのエロ少年
<0710> ただのエロ少年

//<0711> ユリブサイク
<0711> ユリブサイク

//<0712> ドピュッシー
<0712> ドピュッシー

//<0713> アメリカンエロドッグ
<0713> アメリカンエロドッグ

//<0714> ゼウス
<0714> ゼウス

//<0715> 日向markⅡ
<0715> 日向markⅡ

//<0716> 糞虫
<0716> 糞虫

//<0717> 量産型日向
<0717> 量産型日向

//<0718> ？？
<0718> ？？

//<0719> 「ユイ…？」
<0719> 「ユイ…？」

//<0720> ユイ
<0720> ユイ

//<0721> 「あ…先輩」
<0721> 「あ…先輩」

//<0722> 音無
<0722> 音無

//<0723> クソ坊主
<0723> クソ坊主

//<0724> 代理人
<0724> 代理人

//<0725> 微妙すぎるイケメン
<0725> 微妙すぎるイケメン

//<0726> ロリコン
<0726> ロリコン

//<0727> メガネ仲間
<0727> メガネ仲間

//<0728> 暗算日本記録保持者
<0728> 暗算日本記録保持者

//<0729> 通り魔
<0729> 通り魔

//<0730> 記憶ナシ男
<0730> 記憶ナシ男

//<0731> 音速
<0731> 音速

//<0732> 無限
<0732> 無限

//<0733> エロ侍
<0733> エロ侍

//<0734> エロエロ団ナンバー１
<0734> エロエロ団ナンバー１

//<0735> ただのエロ少年
<0735> ただのエロ少年

//<0736> ユリブサイク
<0736> ユリブサイク

//<0737> ドピュッシー
<0737> ドピュッシー

//<0738> アメリカンエロドッグ
<0738> アメリカンエロドッグ

//<0739> ゼウス
<0739> ゼウス

//<0740> 日向markⅡ
<0740> 日向markⅡ

//<0741> 糞虫
<0741> 糞虫

//<0742> 量産型日向
<0742> 量産型日向

//<0743> ？？
<0743> ？？

//<0744> 「こんなところで何してるんだ？」
<0744> 「こんなところで何してるんだ？」

//<0745> ユイ
<0745> ユイ

//<0746> 「歌の練習をしようかなって思ったんですけど…なんか上手に歌えなくって」
<0746> 「歌の練習をしようかなって思ったんですけど…なんか上手に歌えなくって」

//<0747> 音無
<0747> 音無

//<0748> クソ坊主
<0748> クソ坊主

//<0749> 代理人
<0749> 代理人

//<0750> 微妙すぎるイケメン
<0750> 微妙すぎるイケメン

//<0751> ロリコン
<0751> ロリコン

//<0752> メガネ仲間
<0752> メガネ仲間

//<0753> 暗算日本記録保持者
<0753> 暗算日本記録保持者

//<0754> 通り魔
<0754> 通り魔

//<0755> 記憶ナシ男
<0755> 記憶ナシ男

//<0756> 音速
<0756> 音速

//<0757> 無限
<0757> 無限

//<0758> エロ侍
<0758> エロ侍

//<0759> エロエロ団ナンバー１
<0759> エロエロ団ナンバー１

//<0760> ただのエロ少年
<0760> ただのエロ少年

//<0761> ユリブサイク
<0761> ユリブサイク

//<0762> ドピュッシー
<0762> ドピュッシー

//<0763> アメリカンエロドッグ
<0763> アメリカンエロドッグ

//<0764> ゼウス
<0764> ゼウス

//<0765> 日向markⅡ
<0765> 日向markⅡ

//<0766> 糞虫
<0766> 糞虫

//<0767> 量産型日向
<0767> 量産型日向

//<0768> ？？
<0768> ？？

//<0769> 「お前そんなことしてたのか」
<0769> 「お前そんなことしてたのか」

//<0770> ユイ
<0770> ユイ

//<0771> 「少しでも岩沢さんみたいになれたらなって、見様見真似だったんですけどね」
<0771> 「少しでも岩沢さんみたいになれたらなって、見様見真似だったんですけどね」

//<0772> 一番太い弦を、音が鳴らない程度につつきながらユイは呟く。
<0772> 一番太い弦を、音が鳴らない程度につつきながらユイは呟く。

//<0773> ユイ
<0773> ユイ

//<0774> 「…岩沢さん、どうしていなくなってしまったんでしょうか…」
<0774> 「…岩沢さん、どうしていなくなってしまったんでしょうか…」

//<0775> 音無
<0775> 音無

//<0776> クソ坊主
<0776> クソ坊主

//<0777> 代理人
<0777> 代理人

//<0778> 微妙すぎるイケメン
<0778> 微妙すぎるイケメン

//<0779> ロリコン
<0779> ロリコン

//<0780> メガネ仲間
<0780> メガネ仲間

//<0781> 暗算日本記録保持者
<0781> 暗算日本記録保持者

//<0782> 通り魔
<0782> 通り魔

//<0783> 記憶ナシ男
<0783> 記憶ナシ男

//<0784> 音速
<0784> 音速

//<0785> 無限
<0785> 無限

//<0786> エロ侍
<0786> エロ侍

//<0787> エロエロ団ナンバー１
<0787> エロエロ団ナンバー１

//<0788> ただのエロ少年
<0788> ただのエロ少年

//<0789> ユリブサイク
<0789> ユリブサイク

//<0790> ドピュッシー
<0790> ドピュッシー

//<0791> アメリカンエロドッグ
<0791> アメリカンエロドッグ

//<0792> ゼウス
<0792> ゼウス

//<0793> 日向markⅡ
<0793> 日向markⅡ

//<0794> 糞虫
<0794> 糞虫

//<0795> 量産型日向
<0795> 量産型日向

//<0796> ？？
<0796> ？？

//<0797> 「どうしてだろうな…」
<0797> 「どうしてだろうな…」

//<0798> ゆりは、岩沢が納得しちゃったって言ってたけど、正直意味がよくわからなかった。
<0798> ゆりは、岩沢が納得しちゃったって言ってたけど、正直意味がよくわからなかった。

//<0799> nothing
<0799> nothing

//<0800> nothing
<0800> nothing

//<0801> nothing
<0801> nothing

//<0802> nothing
<0802> nothing

//<0803> nothing
<0803> nothing

//<0804> nothing
<0804> nothing

//<0805> 
<0805> 

//<0806> 
<0806> 

//<0807> nothing
<0807> nothing

//<0808> 音無
<0808> 音無

//<0809> クソ坊主
<0809> クソ坊主

//<0810> 代理人
<0810> 代理人

//<0811> 微妙すぎるイケメン
<0811> 微妙すぎるイケメン

//<0812> ロリコン
<0812> ロリコン

//<0813> メガネ仲間
<0813> メガネ仲間

//<0814> 暗算日本記録保持者
<0814> 暗算日本記録保持者

//<0815> 通り魔
<0815> 通り魔

//<0816> 記憶ナシ男
<0816> 記憶ナシ男

//<0817> 音速
<0817> 音速

//<0818> 無限
<0818> 無限

//<0819> エロ侍
<0819> エロ侍

//<0820> エロエロ団ナンバー１
<0820> エロエロ団ナンバー１

//<0821> ただのエロ少年
<0821> ただのエロ少年

//<0822> ユリブサイク
<0822> ユリブサイク

//<0823> ドピュッシー
<0823> ドピュッシー

//<0824> アメリカンエロドッグ
<0824> アメリカンエロドッグ

//<0825> ゼウス
<0825> ゼウス

//<0826> 日向markⅡ
<0826> 日向markⅡ

//<0827> 糞虫
<0827> 糞虫

//<0828> 量産型日向
<0828> 量産型日向

//<0829> ？？
<0829> ？？

//<0830> 「ユイはガルデモの歌、歌えるのか？」
<0830> 「ユイはガルデモの歌、歌えるのか？」

//<0831> nothing
<0831> nothing

//<0832> nothing
<0832> nothing

//<0833> nothing
<0833> nothing

//<0834> nothing
<0834> nothing

//<0835> nothing
<0835> nothing

//<0836> ユイ
<0836> ユイ

//<0837> 「はい、それだけは自信あります」
<0837> 「はい、それだけは自信あります」

//<0838> 音無
<0838> 音無

//<0839> クソ坊主
<0839> クソ坊主

//<0840> 代理人
<0840> 代理人

//<0841> 微妙すぎるイケメン
<0841> 微妙すぎるイケメン

//<0842> ロリコン
<0842> ロリコン

//<0843> メガネ仲間
<0843> メガネ仲間

//<0844> 暗算日本記録保持者
<0844> 暗算日本記録保持者

//<0845> 通り魔
<0845> 通り魔

//<0846> 記憶ナシ男
<0846> 記憶ナシ男

//<0847> 音速
<0847> 音速

//<0848> 無限
<0848> 無限

//<0849> エロ侍
<0849> エロ侍

//<0850> エロエロ団ナンバー１
<0850> エロエロ団ナンバー１

//<0851> ただのエロ少年
<0851> ただのエロ少年

//<0852> ユリブサイク
<0852> ユリブサイク

//<0853> ドピュッシー
<0853> ドピュッシー

//<0854> アメリカンエロドッグ
<0854> アメリカンエロドッグ

//<0855> ゼウス
<0855> ゼウス

//<0856> 日向markⅡ
<0856> 日向markⅡ

//<0857> 糞虫
<0857> 糞虫

//<0858> 量産型日向
<0858> 量産型日向

//<0859> ？？
<0859> ？？

//<0860> 「じゃあ、聴かせてくれないか」
<0860> 「じゃあ、聴かせてくれないか」

//<0861> nothing
<0861> nothing

//<0862> nothing
<0862> nothing

//<0863> nothing
<0863> nothing

//<0864> nothing
<0864> nothing

//<0865> nothing
<0865> nothing

//<0866> ユイ
<0866> ユイ

//<0867> 「そんな気分じゃないですよ。っていうか、歌いながら泣いちゃいそうで…」
<0867> 「そんな気分じゃないですよ。っていうか、歌いながら泣いちゃいそうで…」

//<0868> 音無
<0868> 音無

//<0869> クソ坊主
<0869> クソ坊主

//<0870> 代理人
<0870> 代理人

//<0871> 微妙すぎるイケメン
<0871> 微妙すぎるイケメン

//<0872> ロリコン
<0872> ロリコン

//<0873> メガネ仲間
<0873> メガネ仲間

//<0874> 暗算日本記録保持者
<0874> 暗算日本記録保持者

//<0875> 通り魔
<0875> 通り魔

//<0876> 記憶ナシ男
<0876> 記憶ナシ男

//<0877> 音速
<0877> 音速

//<0878> 無限
<0878> 無限

//<0879> エロ侍
<0879> エロ侍

//<0880> エロエロ団ナンバー１
<0880> エロエロ団ナンバー１

//<0881> ただのエロ少年
<0881> ただのエロ少年

//<0882> ユリブサイク
<0882> ユリブサイク

//<0883> ドピュッシー
<0883> ドピュッシー

//<0884> アメリカンエロドッグ
<0884> アメリカンエロドッグ

//<0885> ゼウス
<0885> ゼウス

//<0886> 日向markⅡ
<0886> 日向markⅡ

//<0887> 糞虫
<0887> 糞虫

//<0888> 量産型日向
<0888> 量産型日向

//<0889> ？？
<0889> ？？

//<0890> 「じゃあ、泣きながらでいいから歌ってくれ」
<0890> 「じゃあ、泣きながらでいいから歌ってくれ」

//<0891> nothing
<0891> nothing

//<0892> nothing
<0892> nothing

//<0893> nothing
<0893> nothing

//<0894> nothing
<0894> nothing

//<0895> nothing
<0895> nothing

//<0896> ユイ
<0896> ユイ

//<0897> 「あんまり冗談に付き合える気分じゃないんですけど…」
<0897> 「あんまり冗談に付き合える気分じゃないんですけど…」

//<0898> 音無
<0898> 音無

//<0899> クソ坊主
<0899> クソ坊主

//<0900> 代理人
<0900> 代理人

//<0901> 微妙すぎるイケメン
<0901> 微妙すぎるイケメン

//<0902> ロリコン
<0902> ロリコン

//<0903> メガネ仲間
<0903> メガネ仲間

//<0904> 暗算日本記録保持者
<0904> 暗算日本記録保持者

//<0905> 通り魔
<0905> 通り魔

//<0906> 記憶ナシ男
<0906> 記憶ナシ男

//<0907> 音速
<0907> 音速

//<0908> 無限
<0908> 無限

//<0909> エロ侍
<0909> エロ侍

//<0910> エロエロ団ナンバー１
<0910> エロエロ団ナンバー１

//<0911> ただのエロ少年
<0911> ただのエロ少年

//<0912> ユリブサイク
<0912> ユリブサイク

//<0913> ドピュッシー
<0913> ドピュッシー

//<0914> アメリカンエロドッグ
<0914> アメリカンエロドッグ

//<0915> ゼウス
<0915> ゼウス

//<0916> 日向markⅡ
<0916> 日向markⅡ

//<0917> 糞虫
<0917> 糞虫

//<0918> 量産型日向
<0918> 量産型日向

//<0919> ？？
<0919> ？？

//<0920> 「俺、ガルデモの歌ってちゃんと聴いたことないんだよ」
<0920> 「俺、ガルデモの歌ってちゃんと聴いたことないんだよ」

//<0921> 音無
<0921> 音無

//<0922> クソ坊主
<0922> クソ坊主

//<0923> 代理人
<0923> 代理人

//<0924> 微妙すぎるイケメン
<0924> 微妙すぎるイケメン

//<0925> ロリコン
<0925> ロリコン

//<0926> メガネ仲間
<0926> メガネ仲間

//<0927> 暗算日本記録保持者
<0927> 暗算日本記録保持者

//<0928> 通り魔
<0928> 通り魔

//<0929> 記憶ナシ男
<0929> 記憶ナシ男

//<0930> 音速
<0930> 音速

//<0931> 無限
<0931> 無限

//<0932> エロ侍
<0932> エロ侍

//<0933> エロエロ団ナンバー１
<0933> エロエロ団ナンバー１

//<0934> ただのエロ少年
<0934> ただのエロ少年

//<0935> ユリブサイク
<0935> ユリブサイク

//<0936> ドピュッシー
<0936> ドピュッシー

//<0937> アメリカンエロドッグ
<0937> アメリカンエロドッグ

//<0938> ゼウス
<0938> ゼウス

//<0939> 日向markⅡ
<0939> 日向markⅡ

//<0940> 糞虫
<0940> 糞虫

//<0941> 量産型日向
<0941> 量産型日向

//<0942> ？？
<0942> ？？

//<0943> 「だから、聴いてみたいんだ」
<0943> 「だから、聴いてみたいんだ」

//<0944> 音無
<0944> 音無

//<0945> クソ坊主
<0945> クソ坊主

//<0946> 代理人
<0946> 代理人

//<0947> 微妙すぎるイケメン
<0947> 微妙すぎるイケメン

//<0948> ロリコン
<0948> ロリコン

//<0949> メガネ仲間
<0949> メガネ仲間

//<0950> 暗算日本記録保持者
<0950> 暗算日本記録保持者

//<0951> 通り魔
<0951> 通り魔

//<0952> 記憶ナシ男
<0952> 記憶ナシ男

//<0953> 音速
<0953> 音速

//<0954> 無限
<0954> 無限

//<0955> エロ侍
<0955> エロ侍

//<0956> エロエロ団ナンバー１
<0956> エロエロ団ナンバー１

//<0957> ただのエロ少年
<0957> ただのエロ少年

//<0958> ユリブサイク
<0958> ユリブサイク

//<0959> ドピュッシー
<0959> ドピュッシー

//<0960> アメリカンエロドッグ
<0960> アメリカンエロドッグ

//<0961> ゼウス
<0961> ゼウス

//<0962> 日向markⅡ
<0962> 日向markⅡ

//<0963> 糞虫
<0963> 糞虫

//<0964> 量産型日向
<0964> 量産型日向

//<0965> ？？
<0965> ？？

//<0966> 「それに、泣きたいなら無理せずに泣けばいいんじゃないか？」
<0966> 「それに、泣きたいなら無理せずに泣けばいいんじゃないか？」

//<0967> 音無
<0967> 音無

//<0968> クソ坊主
<0968> クソ坊主

//<0969> 代理人
<0969> 代理人

//<0970> 微妙すぎるイケメン
<0970> 微妙すぎるイケメン

//<0971> ロリコン
<0971> ロリコン

//<0972> メガネ仲間
<0972> メガネ仲間

//<0973> 暗算日本記録保持者
<0973> 暗算日本記録保持者

//<0974> 通り魔
<0974> 通り魔

//<0975> 記憶ナシ男
<0975> 記憶ナシ男

//<0976> 音速
<0976> 音速

//<0977> 無限
<0977> 無限

//<0978> エロ侍
<0978> エロ侍

//<0979> エロエロ団ナンバー１
<0979> エロエロ団ナンバー１

//<0980> ただのエロ少年
<0980> ただのエロ少年

//<0981> ユリブサイク
<0981> ユリブサイク

//<0982> ドピュッシー
<0982> ドピュッシー

//<0983> アメリカンエロドッグ
<0983> アメリカンエロドッグ

//<0984> ゼウス
<0984> ゼウス

//<0985> 日向markⅡ
<0985> 日向markⅡ

//<0986> 糞虫
<0986> 糞虫

//<0987> 量産型日向
<0987> 量産型日向

//<0988> ？？
<0988> ？？

//<0989> 「憧れてた人がいなくなったんだから、寂しいのは当然だろ」
<0989> 「憧れてた人がいなくなったんだから、寂しいのは当然だろ」

//<0990> nothing
<0990> nothing

//<0991> nothing
<0991> nothing

//<0992> nothing
<0992> nothing

//<0993> nothing
<0993> nothing

//<0994> nothing
<0994> nothing

//<0995> ユイ
<0995> ユイ

//<0996> 「…はぁー…知りませんからね。誰かに見られたら、先輩に無理矢理やらされて泣かされたって言いますから」
<0996> 「…はぁー…知りませんからね。誰かに見られたら、先輩に無理矢理やらされて泣かされたって言いますから」

//<0997> 音無
<0997> 音無

//<0998> クソ坊主
<0998> クソ坊主

//<0999> 代理人
<0999> 代理人

//<1000> 微妙すぎるイケメン
<1000> 微妙すぎるイケメン

//<1001> ロリコン
<1001> ロリコン

//<1002> メガネ仲間
<1002> メガネ仲間

//<1003> 暗算日本記録保持者
<1003> 暗算日本記録保持者

//<1004> 通り魔
<1004> 通り魔

//<1005> 記憶ナシ男
<1005> 記憶ナシ男

//<1006> 音速
<1006> 音速

//<1007> 無限
<1007> 無限

//<1008> エロ侍
<1008> エロ侍

//<1009> エロエロ団ナンバー１
<1009> エロエロ団ナンバー１

//<1010> ただのエロ少年
<1010> ただのエロ少年

//<1011> ユリブサイク
<1011> ユリブサイク

//<1012> ドピュッシー
<1012> ドピュッシー

//<1013> アメリカンエロドッグ
<1013> アメリカンエロドッグ

//<1014> ゼウス
<1014> ゼウス

//<1015> 日向markⅡ
<1015> 日向markⅡ

//<1016> 糞虫
<1016> 糞虫

//<1017> 量産型日向
<1017> 量産型日向

//<1018> ？？
<1018> ？？

//<1019> 「嫌なぼかし方しないで、ちゃんと歌をってつけといてくれ」
<1019> 「嫌なぼかし方しないで、ちゃんと歌をってつけといてくれ」

//<1020> nothing
<1020> nothing

//<1021> nothing
<1021> nothing

//<1022> nothing
<1022> nothing

//<1023> nothing
<1023> nothing

//<1024> nothing
<1024> nothing

//<1025> ユイ
<1025> ユイ

//<1026> 「じゃ、やります」
<1026> 「じゃ、やります」

//<1027> none
<1027> none

//<1028> nothing
