// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 岩沢に気がある
<0000> 岩沢に気がある
<0554> 量産型日向

//<0555> ？？
<0555> ？？

//<0556> 「わからない…」
<0556> 「わからない…」

//<0557> nothing
<0557> nothing

//<0558> nothing
<0558> nothing

//<0559> nothing
<0559> nothing

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> 日向
<0562> 日向

//<0563> 男Ｂ
<0563> 男Ｂ

//<0564> エロエロ団総帥
<0564> エロエロ団総帥

//<0565> イケチン
<0565> イケチン

//<0566> ホモ太
<0566> ホモ太

//<0567> ひなチン
<0567> ひなチン

//<0568> 秀樹
<0568> 秀樹

//<0569> 男子生徒
<0569> 男子生徒

//<0570> ？？
<0570> ？？

//<0571> 「まあ、あいつはあいつで、カリスマ性があるからなー。わからなくもない」
<0571> 「まあ、あいつはあいつで、カリスマ性があるからなー。わからなくもない」

//<0572> 音無
<0572> 音無

//<0573> クソ坊主
<0573> クソ坊主

//<0574> 代理人
<0574> 代理人

//<0575> 微妙すぎるイケメン
<0575> 微妙すぎるイケメン

//<0576> ロリコン
<0576> ロリコン

//<0577> メガネ仲間
<0577> メガネ仲間

//<0578> 暗算日本記録保持者
<0578> 暗算日本記録保持者

//<0579> 通り魔
<0579> 通り魔

//<0580> 記憶ナシ男
<0580> 記憶ナシ男

//<0581> 音速
<0581> 音速

//<0582> 無限
<0582> 無限

//<0583> エロ侍
<0583> エロ侍

//<0584> エロエロ団ナンバー１
<0584> エロエロ団ナンバー１

//<0585> ただのエロ少年
<0585> ただのエロ少年

//<0586> ユリブサイク
<0586> ユリブサイク

//<0587> ドピュッシー
<0587> ドピュッシー

//<0588> アメリカンエロドッグ
<0588> アメリカンエロドッグ

//<0589> ゼウス
<0589> ゼウス

//<0590> 日向markⅡ
<0590> 日向markⅡ

//<0591> 糞虫
<0591> 糞虫

//<0592> 量産型日向
<0592> 量産型日向

//<0593> ？？
<0593> ？？

//<0594> 「ああ」
<0594> 「ああ」

//<0595> nothing
<0595> nothing

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> nothing
<0599> nothing

//<0600> 日向
<0600> 日向

//<0601> 男Ｂ
<0601> 男Ｂ

//<0602> エロエロ団総帥
<0602> エロエロ団総帥

//<0603> イケチン
<0603> イケチン

//<0604> ホモ太
<0604> ホモ太

//<0605> ひなチン
<0605> ひなチン

//<0606> 秀樹
<0606> 秀樹

//<0607> 男子生徒
<0607> 男子生徒

//<0608> ？？
<0608> ？？

//<0609> 「あいつはあいつでヘヴィーな生前だったからな…その気持ちはわかるよ」
<0609> 「あいつはあいつでヘヴィーな生前だったからな…その気持ちはわかるよ」

//<0610> nothing
<0610> nothing

//<0611> nothing
<0611> nothing

//<0612> nothing
<0612> nothing

//<0613> nothing
<0613> nothing

//<0614> nothing
<0614> nothing

//<0615> 日向
<0615> 日向

//<0616> 男Ｂ
<0616> 男Ｂ

//<0617> エロエロ団総帥
<0617> エロエロ団総帥

//<0618> イケチン
<0618> イケチン

//<0619> ホモ太
<0619> ホモ太

//<0620> ひなチン
<0620> ひなチン

//<0621> 秀樹
<0621> 秀樹

//<0622> 男子生徒
<0622> 男子生徒

//<0623> ？？
<0623> ？？

//<0624> 「音無、これはあくまでも俺の意見だ…」
<0624> 「音無、これはあくまでも俺の意見だ…」

//<0625> 日向の目つきが鋭く変わる。
<0625> 日向の目つきが鋭く変わる。

//<0626> 何を言う気だ…。身構えてしまう…。
<0626> 何を言う気だ…。身構えてしまう…。

//<0627> nothing
<0627> nothing

//<0628> nothing
<0628> nothing

//<0629> nothing
<0629> nothing

//<0630> nothing
<0630> nothing

//<0631> nothing
<0631> nothing

//<0632> 日向
<0632> 日向

//<0633> 男Ｂ
<0633> 男Ｂ

//<0634> エロエロ団総帥
<0634> エロエロ団総帥

//<0635> イケチン
<0635> イケチン

//<0636> ホモ太
<0636> ホモ太

//<0637> ひなチン
<0637> ひなチン

//<0638> 秀樹
<0638> 秀樹

//<0639> 男子生徒
<0639> 男子生徒

//<0640> ？？
<0640> ？？

//<0641> 「きっと、お前が行動を起こしていなければ、岩沢はこの世界から消えていたかもしれない」
<0641> 「きっと、お前が行動を起こしていなければ、岩沢はこの世界から消えていたかもしれない」

//<0642> nothing
<0642> nothing

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> nothing
<0646> nothing

//<0647> 日向
<0647> 日向

//<0648> 男Ｂ
<0648> 男Ｂ

//<0649> エロエロ団総帥
<0649> エロエロ団総帥

//<0650> イケチン
<0650> イケチン

//<0651> ホモ太
<0651> ホモ太

//<0652> ひなチン
<0652> ひなチン

//<0653> 秀樹
<0653> 秀樹

//<0654> 男子生徒
<0654> 男子生徒

//<0655> ？？
<0655> ？？

//<0656> 「岩沢がこの世界から消えていれば、ひさ子は精神的に壊れてるはずだった」
<0656> 「岩沢がこの世界から消えていれば、ひさ子は精神的に壊れてるはずだった」

//<0657> nothing
<0657> nothing

//<0658> nothing
<0658> nothing

//<0659> nothing
<0659> nothing

//<0660> nothing
<0660> nothing

//<0661> nothing
<0661> nothing

//<0662> 日向
<0662> 日向

//<0663> 男Ｂ
<0663> 男Ｂ

//<0664> エロエロ団総帥
<0664> エロエロ団総帥

//<0665> イケチン
<0665> イケチン

//<0666> ホモ太
<0666> ホモ太

//<0667> ひなチン
<0667> ひなチン

//<0668> 秀樹
<0668> 秀樹

//<0669> 男子生徒
<0669> 男子生徒

//<0670> ？？
<0670> ？？

//<0671> 「過去を知っている俺からすれば、岩沢がこの世界から消えていれば、ひさ子は精神的に壊れてるはずだった」
<0671> 「過去を知っている俺からすれば、岩沢がこの世界から消えていれば、ひさ子は精神的に壊れてるはずだった」

//<0672> 音無
<0672> 音無

//<0673> クソ坊主
<0673> クソ坊主

//<0674> 代理人
<0674> 代理人

//<0675> 微妙すぎるイケメン
<0675> 微妙すぎるイケメン

//<0676> ロリコン
<0676> ロリコン

//<0677> メガネ仲間
<0677> メガネ仲間

//<0678> 暗算日本記録保持者
<0678> 暗算日本記録保持者

//<0679> 通り魔
<0679> 通り魔

//<0680> 記憶ナシ男
<0680> 記憶ナシ男

//<0681> 音速
<0681> 音速

//<0682> 無限
<0682> 無限

//<0683> エロ侍
<0683> エロ侍

//<0684> エロエロ団ナンバー１
<0684> エロエロ団ナンバー１

//<0685> ただのエロ少年
<0685> ただのエロ少年

//<0686> ユリブサイク
<0686> ユリブサイク

//<0687> ドピュッシー
<0687> ドピュッシー

//<0688> アメリカンエロドッグ
<0688> アメリカンエロドッグ

//<0689> ゼウス
<0689> ゼウス

//<0690> 日向markⅡ
<0690> 日向markⅡ

//<0691> 糞虫
<0691> 糞虫

//<0692> 量産型日向
<0692> 量産型日向

//<0693> ？？
<0693> ？？

//<0694> 「でもそんなの一晩で癒える世界だろ？」
<0694> 「でもそんなの一晩で癒える世界だろ？」

//<0695> nothing
<0695> nothing

//<0696> nothing
<0696> nothing

//<0697> nothing
<0697> nothing

//<0698> nothing
<0698> nothing

//<0699> nothing
<0699> nothing

//<0700> 日向
<0700> 日向

//<0701> 男Ｂ
<0701> 男Ｂ

//<0702> エロエロ団総帥
<0702> エロエロ団総帥

//<0703> イケチン
<0703> イケチン

//<0704> ホモ太
<0704> ホモ太

//<0705> ひなチン
<0705> ひなチン

//<0706> 秀樹
<0706> 秀樹

//<0707> 男子生徒
<0707> 男子生徒

//<0708> ？？
<0708> ？？

//<0709> 「まあ、怪我とかはな」
<0709> 「まあ、怪我とかはな」

//<0710> つんつんと日向は自分の頭を人差し指で小突く。
<0710> つんつんと日向は自分の頭を人差し指で小突く。

//<0711> nothing
<0711> nothing

//<0712> nothing
<0712> nothing

//<0713> nothing
<0713> nothing

//<0714> nothing
<0714> nothing

//<0715> nothing
<0715> nothing

//<0716> 日向
<0716> 日向

//<0717> 男Ｂ
<0717> 男Ｂ

//<0718> エロエロ団総帥
<0718> エロエロ団総帥

//<0719> イケチン
<0719> イケチン

//<0720> ホモ太
<0720> ホモ太

//<0721> ひなチン
<0721> ひなチン

//<0722> 秀樹
<0722> 秀樹

//<0723> 男子生徒
<0723> 男子生徒

//<0724> ？？
<0724> ？？

//<0725> 「でも頭のほうは違う。絆を深めた相手が消えれば、すぐには受け入れられない」
<0725> 「でも頭のほうは違う。絆を深めた相手が消えれば、すぐには受け入れられない」

//<0726> nothing
<0726> nothing

//<0727> nothing
<0727> nothing

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> nothing
<0730> nothing

//<0731> 日向
<0731> 日向

//<0732> 男Ｂ
<0732> 男Ｂ

//<0733> エロエロ団総帥
<0733> エロエロ団総帥

//<0734> イケチン
<0734> イケチン

//<0735> ホモ太
<0735> ホモ太

//<0736> ひなチン
<0736> ひなチン

//<0737> 秀樹
<0737> 秀樹

//<0738> 男子生徒
<0738> 男子生徒

//<0739> ？？
<0739> ？？

//<0740> 「だから、俺は正しかったと思うよ」
<0740> 「だから、俺は正しかったと思うよ」

//<0741> 音無
<0741> 音無

//<0742> クソ坊主
<0742> クソ坊主

//<0743> 代理人
<0743> 代理人

//<0744> 微妙すぎるイケメン
<0744> 微妙すぎるイケメン

//<0745> ロリコン
<0745> ロリコン

//<0746> メガネ仲間
<0746> メガネ仲間

//<0747> 暗算日本記録保持者
<0747> 暗算日本記録保持者

//<0748> 通り魔
<0748> 通り魔

//<0749> 記憶ナシ男
<0749> 記憶ナシ男

//<0750> 音速
<0750> 音速

//<0751> 無限
<0751> 無限

//<0752> エロ侍
<0752> エロ侍

//<0753> エロエロ団ナンバー１
<0753> エロエロ団ナンバー１

//<0754> ただのエロ少年
<0754> ただのエロ少年

//<0755> ユリブサイク
<0755> ユリブサイク

//<0756> ドピュッシー
<0756> ドピュッシー

//<0757> アメリカンエロドッグ
<0757> アメリカンエロドッグ

//<0758> ゼウス
<0758> ゼウス

//<0759> 日向markⅡ
<0759> 日向markⅡ

//<0760> 糞虫
<0760> 糞虫

//<0761> 量産型日向
<0761> 量産型日向

//<0762> ？？
<0762> ？？

//<0763> （俺と同じ思いだ…）
<0763> （俺と同じ思いだ…）

//<0764> nothing
<0764> nothing

//<0765> nothing
<0765> nothing

//<0766> nothing
<0766> nothing

//<0767> nothing
<0767> nothing

//<0768> nothing
<0768> nothing

//<0769> 日向
<0769> 日向

//<0770> 男Ｂ
<0770> 男Ｂ

//<0771> エロエロ団総帥
<0771> エロエロ団総帥

//<0772> イケチン
<0772> イケチン

//<0773> ホモ太
<0773> ホモ太

//<0774> ひなチン
<0774> ひなチン

//<0775> 秀樹
<0775> 秀樹

//<0776> 男子生徒
<0776> 男子生徒

//<0777> ？？
<0777> ？？

//<0778> 「今話したこと、ゆりっぺには言うなよ？」
<0778> 「今話したこと、ゆりっぺには言うなよ？」

//<0779> 音無
<0779> 音無

//<0780> クソ坊主
<0780> クソ坊主

//<0781> 代理人
<0781> 代理人

//<0782> 微妙すぎるイケメン
<0782> 微妙すぎるイケメン

//<0783> ロリコン
<0783> ロリコン

//<0784> メガネ仲間
<0784> メガネ仲間

//<0785> 暗算日本記録保持者
<0785> 暗算日本記録保持者

//<0786> 通り魔
<0786> 通り魔

//<0787> 記憶ナシ男
<0787> 記憶ナシ男

//<0788> 音速
<0788> 音速

//<0789> 無限
<0789> 無限

//<0790> エロ侍
<0790> エロ侍

//<0791> エロエロ団ナンバー１
<0791> エロエロ団ナンバー１

//<0792> ただのエロ少年
<0792> ただのエロ少年

//<0793> ユリブサイク
<0793> ユリブサイク

//<0794> ドピュッシー
<0794> ドピュッシー

//<0795> アメリカンエロドッグ
<0795> アメリカンエロドッグ

//<0796> ゼウス
<0796> ゼウス

//<0797> 日向markⅡ
<0797> 日向markⅡ

//<0798> 糞虫
<0798> 糞虫

//<0799> 量産型日向
<0799> 量産型日向

//<0800> ？？
<0800> ？？

//<0801> 「ああ…」
<0801> 「ああ…」

//<0802> 音無
<0802> 音無

//<0803> クソ坊主
<0803> クソ坊主

//<0804> 代理人
<0804> 代理人

//<0805> 微妙すぎるイケメン
<0805> 微妙すぎるイケメン

//<0806> ロリコン
<0806> ロリコン

//<0807> メガネ仲間
<0807> メガネ仲間

//<0808> 暗算日本記録保持者
<0808> 暗算日本記録保持者

//<0809> 通り魔
<0809> 通り魔

//<0810> 記憶ナシ男
<0810> 記憶ナシ男

//<0811> 音速
<0811> 音速

//<0812> 無限
<0812> 無限

//<0813> エロ侍
<0813> エロ侍

//<0814> エロエロ団ナンバー１
<0814> エロエロ団ナンバー１

//<0815> ただのエロ少年
<0815> ただのエロ少年

//<0816> ユリブサイク
<0816> ユリブサイク

//<0817> ドピュッシー
<0817> ドピュッシー

//<0818> アメリカンエロドッグ
<0818> アメリカンエロドッグ

//<0819> ゼウス
<0819> ゼウス

//<0820> 日向markⅡ
<0820> 日向markⅡ

//<0821> 糞虫
<0821> 糞虫

//<0822> 量産型日向
<0822> 量産型日向

//<0823> ？？
<0823> ？？

//<0824> 「本気だ…」
<0824> 「本気だ…」

//<0825> nothing
<0825> nothing

//<0826> nothing
<0826> nothing

//<0827> nothing
<0827> nothing

//<0828> nothing
<0828> nothing

//<0829> nothing
<0829> nothing

//<0830> 日向
<0830> 日向

//<0831> 男Ｂ
<0831> 男Ｂ

//<0832> エロエロ団総帥
<0832> エロエロ団総帥

//<0833> イケチン
<0833> イケチン

//<0834> ホモ太
<0834> ホモ太

//<0835> ひなチン
<0835> ひなチン

//<0836> 秀樹
<0836> 秀樹

//<0837> 男子生徒
<0837> 男子生徒

//<0838> ？？
<0838> ？？

//<0839> 「じゃあ、あいつのどこに惹かれたってんだよ」
<0839> 「じゃあ、あいつのどこに惹かれたってんだよ」

//<0840> 音無
<0840> 音無

//<0841> クソ坊主
<0841> クソ坊主

//<0842> 代理人
<0842> 代理人

//<0843> 微妙すぎるイケメン
<0843> 微妙すぎるイケメン

//<0844> ロリコン
<0844> ロリコン

//<0845> メガネ仲間
<0845> メガネ仲間

//<0846> 暗算日本記録保持者
<0846> 暗算日本記録保持者

//<0847> 通り魔
<0847> 通り魔

//<0848> 記憶ナシ男
<0848> 記憶ナシ男

//<0849> 音速
<0849> 音速

//<0850> 無限
<0850> 無限

//<0851> エロ侍
<0851> エロ侍

//<0852> エロエロ団ナンバー１
<0852> エロエロ団ナンバー１

//<0853> ただのエロ少年
<0853> ただのエロ少年

//<0854> ユリブサイク
<0854> ユリブサイク

//<0855> ドピュッシー
<0855> ドピュッシー

//<0856> アメリカンエロドッグ
<0856> アメリカンエロドッグ

//<0857> ゼウス
<0857> ゼウス

//<0858> 日向markⅡ
<0858> 日向markⅡ

//<0859> 糞虫
<0859> 糞虫

//<0860> 量産型日向
<0860> 量産型日向

//<0861> ？？
<0861> ？？

//<0862> 「それは…」
<0862> 「それは…」

//<0863> ルックス
<0863> ルックス

//<0864> ベースのプレイ姿
<0864> ベースのプレイ姿

//<0865> selbtn : 
<0865> selbtn : 

//<0866> 音無
<0866> 音無

//<0867> クソ坊主
<0867> クソ坊主

//<0868> 代理人
<0868> 代理人

//<0869> 微妙すぎるイケメン
<0869> 微妙すぎるイケメン

//<0870> ロリコン
<0870> ロリコン

//<0871> メガネ仲間
<0871> メガネ仲間

//<0872> 暗算日本記録保持者
<0872> 暗算日本記録保持者

//<0873> 通り魔
<0873> 通り魔

//<0874> 記憶ナシ男
<0874> 記憶ナシ男

//<0875> 音速
<0875> 音速

//<0876> 無限
<0876> 無限

//<0877> エロ侍
<0877> エロ侍

//<0878> エロエロ団ナンバー１
<0878> エロエロ団ナンバー１

//<0879> ただのエロ少年
<0879> ただのエロ少年

//<0880> ユリブサイク
<0880> ユリブサイク

//<0881> ドピュッシー
<0881> ドピュッシー

//<0882> アメリカンエロドッグ
<0882> アメリカンエロドッグ

//<0883> ゼウス
<0883> ゼウス

//<0884> 日向markⅡ
<0884> 日向markⅡ

//<0885> 糞虫
<0885> 糞虫

//<0886> 量産型日向
<0886> 量産型日向

//<0887> ？？
<0887> ？？

//<0888> 「単純にルックス」
<0888> 「単純にルックス」

//<0889> nothing
<0889> nothing

//<0890> nothing
<0890> nothing

//<0891> nothing
<0891> nothing

//<0892> nothing
<0892> nothing

//<0893> nothing
<0893> nothing

//<0894> 日向
<0894> 日向

//<0895> 男Ｂ
<0895> 男Ｂ

//<0896> エロエロ団総帥
<0896> エロエロ団総帥

//<0897> イケチン
<0897> イケチン

//<0898> ホモ太
<0898> ホモ太

//<0899> ひなチン
<0899> ひなチン

//<0900> 秀樹
<0900> 秀樹

//<0901> 男子生徒
<0901> 男子生徒

//<0902> ？？
<0902> ？？

//<0903> 「それ、本気で言ってるのか？」
<0903> 「それ、本気で言ってるのか？」

//<0904> 音無
<0904> 音無

//<0905> クソ坊主
<0905> クソ坊主

//<0906> 代理人
<0906> 代理人

//<0907> 微妙すぎるイケメン
<0907> 微妙すぎるイケメン

//<0908> ロリコン
<0908> ロリコン

//<0909> メガネ仲間
<0909> メガネ仲間

//<0910> 暗算日本記録保持者
<0910> 暗算日本記録保持者

//<0911> 通り魔
<0911> 通り魔

//<0912> 記憶ナシ男
<0912> 記憶ナシ男

//<0913> 音速
<0913> 音速

//<0914> 無限
<0914> 無限

//<0915> エロ侍
<0915> エロ侍

//<0916> エロエロ団ナンバー１
<0916> エロエロ団ナンバー１

//<0917> ただのエロ少年
<0917> ただのエロ少年

//<0918> ユリブサイク
<0918> ユリブサイク

//<0919> ドピュッシー
<0919> ドピュッシー

//<0920> アメリカンエロドッグ
<0920> アメリカンエロドッグ

//<0921> ゼウス
<0921> ゼウス

//<0922> 日向markⅡ
<0922> 日向markⅡ

//<0923> 糞虫
<0923> 糞虫

//<0924> 量産型日向
<0924> 量産型日向

//<0925> ？？
<0925> ？？

//<0926> 「ああ」
<0926> 「ああ」

//<0927> nothing
<0927> nothing

//<0928> nothing
<0928> nothing

//<0929> nothing
<0929> nothing

//<0930> nothing
<0930> nothing

//<0931> nothing
<0931> nothing

//<0932> 日向
<0932> 日向

//<0933> 男Ｂ
<0933> 男Ｂ

//<0934> エロエロ団総帥
<0934> エロエロ団総帥

//<0935> イケチン
<0935> イケチン

//<0936> ホモ太
<0936> ホモ太

//<0937> ひなチン
<0937> ひなチン

//<0938> 秀樹
<0938> 秀樹

//<0939> 男子生徒
<0939> 男子生徒

//<0940> ？？
<0940> ？？

//<0941> 「そこまで言い切るのか…」
<0941> 「そこまで言い切るのか…」

//<0942> nothing
<0942> nothing

//<0943> nothing
<0943> nothing

//<0944> nothing
<0944> nothing

//<0945> nothing
<0945> nothing

//<0946> nothing
<0946> nothing

//<0947> 日向
<0947> 日向

//<0948> 男Ｂ
<0948> 男Ｂ

//<0949> エロエロ団総帥
<0949> エロエロ団総帥

//<0950> イケチン
<0950> イケチン

//<0951> ホモ太
<0951> ホモ太

//<0952> ひなチン
<0952> ひなチン

//<0953> 秀樹
<0953> 秀樹

//<0954> 男子生徒
<0954> 男子生徒

//<0955> ？？
<0955> ？？

//<0956> 「わかったよ。とりあえず信じてやるよ」
<0956> 「わかったよ。とりあえず信じてやるよ」

//<0957> 音無
<0957> 音無

//<0958> クソ坊主
<0958> クソ坊主

//<0959> 代理人
<0959> 代理人

//<0960> 微妙すぎるイケメン
<0960> 微妙すぎるイケメン

//<0961> ロリコン
<0961> ロリコン

//<0962> メガネ仲間
<0962> メガネ仲間

//<0963> 暗算日本記録保持者
<0963> 暗算日本記録保持者

//<0964> 通り魔
<0964> 通り魔

//<0965> 記憶ナシ男
<0965> 記憶ナシ男

//<0966> 音速
<0966> 音速

//<0967> 無限
<0967> 無限

//<0968> エロ侍
<0968> エロ侍

//<0969> エロエロ団ナンバー１
<0969> エロエロ団ナンバー１

//<0970> ただのエロ少年
<0970> ただのエロ少年

//<0971> ユリブサイク
<0971> ユリブサイク

//<0972> ドピュッシー
<0972> ドピュッシー

//<0973> アメリカンエロドッグ
<0973> アメリカンエロドッグ

//<0974> ゼウス
<0974> ゼウス

//<0975> 日向markⅡ
<0975> 日向markⅡ

//<0976> 糞虫
<0976> 糞虫

//<0977> 量産型日向
<0977> 量産型日向

//<0978> ？？
<0978> ？？

//<0979> 「ベースのプレイ姿」
<0979> 「ベースのプレイ姿」

//<0980> nothing
<0980> nothing

//<0981> nothing
<0981> nothing

//<0982> nothing
<0982> nothing

//<0983> nothing
<0983> nothing

//<0984> nothing
<0984> nothing

//<0985> 日向
<0985> 日向

//<0986> 男Ｂ
<0986> 男Ｂ

//<0987> エロエロ団総帥
<0987> エロエロ団総帥

//<0988> イケチン
<0988> イケチン

//<0989> ホモ太
<0989> ホモ太

//<0990> ひなチン
<0990> ひなチン

//<0991> 秀樹
<0991> 秀樹

//<0992> 男子生徒
<0992> 男子生徒

//<0993> ？？
<0993> ？？

//<0994> 「へー」
<0994> 「へー」

//<0995> 音無
<0995> 音無

//<0996> クソ坊主
<0996> クソ坊主

//<0997> 代理人
<0997> 代理人

//<0998> 微妙すぎるイケメン
<0998> 微妙すぎるイケメン

//<0999> ロリコン
<0999> ロリコン

//<1000> メガネ仲間
<1000> メガネ仲間

//<1001> 暗算日本記録保持者
<1001> 暗算日本記録保持者

//<1002> 通り魔
<1002> 通り魔

//<1003> 記憶ナシ男
<1003> 記憶ナシ男

//<1004> 音速
<1004> 音速

//<1005> 無限
<1005> 無限

//<1006> エロ侍
<1006> エロ侍

//<1007> エロエロ団ナンバー１
<1007> エロエロ団ナンバー１

//<1008> ただのエロ少年
<1008> ただのエロ少年

//<1009> ユリブサイク
<1009> ユリブサイク

//<1010> ドピュッシー
<1010> ドピュッシー

//<1011> アメリカンエロドッグ
<1011> アメリカンエロドッグ

//<1012> ゼウス
<1012> ゼウス

//<1013> 日向markⅡ
<1013> 日向markⅡ

//<1014> 糞虫
<1014> 糞虫

//<1015> 量産型日向
<1015> 量産型日向

//<1016> ？？
<1016> ？？

//<1017> 「おかしいか？」
<1017> 「おかしいか？」

//<1018> nothing
<1018> nothing

//<1019> nothing
<1019> nothing

//<1020> nothing
<1020> nothing

//<1021> nothing
<1021> nothing

//<1022> nothing
<1022> nothing

//<1023> 日向
<1023> 日向

//<1024> 男Ｂ
<1024> 男Ｂ

//<1025> エロエロ団総帥
<1025> エロエロ団総帥

//<1026> イケチン
<1026> イケチン

//<1027> ホモ太
<1027> ホモ太

//<1028> ひなチン
<1028> ひなチン

//<1029> 秀樹
<1029> 秀樹

//<1030> 男子生徒
<1030> 男子生徒

//<1031> ？？
<1031> ？？

//<1032> 「いや、特には。あーそうなんだー、という感想」
<1032> 「いや、特には。あーそうなんだー、という感想」

//<1033> 音無
<1033> 音無

//<1034> クソ坊主
<1034> クソ坊主

//<1035> 代理人
<1035> 代理人

//<1036> 微妙すぎるイケメン
<1036> 微妙すぎるイケメン

//<1037> ロリコン
<1037> ロリコン

//<1038> メガネ仲間
<1038> メガネ仲間

//<1039> 暗算日本記録保持者
<1039> 暗算日本記録保持者

//<1040> 通り魔
<1040> 通り魔

//<1041> 記憶ナシ男
<1041> 記憶ナシ男

//<1042> 音速
<1042> 音速

//<1043> 無限
<1043> 無限

//<1044> エロ侍
<1044> エロ侍

//<1045> エロエロ団ナンバー１
<1045> エロエロ団ナンバー１

//<1046> ただのエロ少年
<1046> ただのエロ少年

//<1047> ユリブサイク
<1047> ユリブサイク

//<1048> ドピュッシー
<1048> ドピュッシー

//<1049> アメリカンエロドッグ
<1049> アメリカンエロドッグ

//<1050> ゼウス
<1050> ゼウス

//<1051> 日向markⅡ
<1051> 日向markⅡ

//<1052> 糞虫
<1052> 糞虫

//<1053> 量産型日向
<1053> 量産型日向

//<1054> ？？
<1054> ？？

//<1055> 「そう言われると、俺、軽いな…」
<1055> 「そう言われると、俺、軽いな…」

//<1056> nothing
<1056> nothing

//<1057> nothing
<1057> nothing

//<1058> nothing
<1058> nothing

//<1059> nothing
<1059> nothing

//<1060> nothing
<1060> nothing

//<1061> 日向
<1061> 日向

//<1062> 男Ｂ
<1062> 男Ｂ

//<1063> エロエロ団総帥
<1063> エロエロ団総帥

//<1064> イケチン
<1064> イケチン

//<1065> ホモ太
<1065> ホモ太

//<1066> ひなチン
<1066> ひなチン

//<1067> 秀樹
<1067> 秀樹

//<1068> 男子生徒
<1068> 男子生徒

//<1069> ？？
<1069> ？？

//<1070> 「いやいや、趣味は人それぞれだから、いいと思うぜ？」
<1070> 「いやいや、趣味は人それぞれだから、いいと思うぜ？」

//<1071> 音無
<1071> 音無

//<1072> クソ坊主
<1072> クソ坊主

//<1073> 代理人
<1073> 代理人

//<1074> 微妙すぎるイケメン
<1074> 微妙すぎるイケメン

//<1075> ロリコン
<1075> ロリコン

//<1076> メガネ仲間
<1076> メガネ仲間

//<1077> 暗算日本記録保持者
<1077> 暗算日本記録保持者

//<1078> 通り魔
<1078> 通り魔

//<1079> 記憶ナシ男
<1079> 記憶ナシ男

//<1080> 音速
<1080> 音速

//<1081> 無限
<1081> 無限

//<1082> エロ侍
<1082> エロ侍

//<1083> エロエロ団ナンバー１
<1083> エロエロ団ナンバー１

//<1084> ただのエロ少年
<1084> ただのエロ少年

//<1085> ユリブサイク
<1085> ユリブサイク

//<1086> ドピュッシー
<1086> ドピュッシー

//<1087> アメリカンエロドッグ
<1087> アメリカンエロドッグ

//<1088> ゼウス
<1088> ゼウス

//<1089> 日向markⅡ
<1089> 日向markⅡ

//<1090> 糞虫
<1090> 糞虫

//<1091> 量産型日向
<1091> 量産型日向

//<1092> ？？
<1092> ？？

//<1093> 「なら、いいんだが…」
<1093> 「なら、いいんだが…」

//<1094> 音無
<1094> 音無

//<1095> クソ坊主
<1095> クソ坊主

//<1096> 代理人
<1096> 代理人

//<1097> 微妙すぎるイケメン
<1097> 微妙すぎるイケメン

//<1098> ロリコン
<1098> ロリコン

//<1099> メガネ仲間
<1099> メガネ仲間

//<1100> 暗算日本記録保持者
<1100> 暗算日本記録保持者

//<1101> 通り魔
<1101> 通り魔

//<1102> 記憶ナシ男
<1102> 記憶ナシ男

//<1103> 音速
<1103> 音速

//<1104> 無限
<1104> 無限

//<1105> エロ侍
<1105> エロ侍

//<1106> エロエロ団ナンバー１
<1106> エロエロ団ナンバー１

//<1107> ただのエロ少年
<1107> ただのエロ少年

//<1108> ユリブサイク
<1108> ユリブサイク

//<1109> ドピュッシー
<1109> ドピュッシー

//<1110> アメリカンエロドッグ
<1110> アメリカンエロドッグ

//<1111> ゼウス
<1111> ゼウス

//<1112> 日向markⅡ
<1112> 日向markⅡ

//<1113> 糞虫
<1113> 糞虫

//<1114> 量産型日向
<1114> 量産型日向

