// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> いつもの訓練場所、川の岸にまでやってくる。
<0000> いつもの訓練場所、川の岸にまでやってくる。
<0561> nothing

//<0562> nothing
<0562> nothing

//<0563> nothing
<0563> nothing

//<0564> nothing
<0564> nothing

//<0565> 野田
<0565> 野田

//<0566> 男Ｆ
<0566> 男Ｆ

//<0567> イケパイ
<0567> イケパイ

//<0568> 男
<0568> 男

//<0569> ？？
<0569> ？？

//<0570> 「じはふなしかっ！」
<0570> 「じはふなしかっ！」

//<0571> 音無
<0571> 音無

//<0572> クソ坊主
<0572> クソ坊主

//<0573> 代理人
<0573> 代理人

//<0574> 微妙すぎるイケメン
<0574> 微妙すぎるイケメン

//<0575> ロリコン
<0575> ロリコン

//<0576> メガネ仲間
<0576> メガネ仲間

//<0577> 暗算日本記録保持者
<0577> 暗算日本記録保持者

//<0578> 通り魔
<0578> 通り魔

//<0579> 記憶ナシ男
<0579> 記憶ナシ男

//<0580> 音速
<0580> 音速

//<0581> 無限
<0581> 無限

//<0582> エロ侍
<0582> エロ侍

//<0583> エロエロ団ナンバー１
<0583> エロエロ団ナンバー１

//<0584> ただのエロ少年
<0584> ただのエロ少年

//<0585> ユリブサイク
<0585> ユリブサイク

//<0586> ドピュッシー
<0586> ドピュッシー

//<0587> アメリカンエロドッグ
<0587> アメリカンエロドッグ

//<0588> ゼウス
<0588> ゼウス

//<0589> 日向markⅡ
<0589> 日向markⅡ

//<0590> 糞虫
<0590> 糞虫

//<0591> 量産型日向
<0591> 量産型日向

//<0592> ？？
<0592> ？？

//<0593> 「え？」
<0593> 「え？」

//<0594> nothing
<0594> nothing

//<0595> nothing
<0595> nothing

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> 野田
<0599> 野田

//<0600> 男Ｆ
<0600> 男Ｆ

//<0601> イケパイ
<0601> イケパイ

//<0602> 男
<0602> 男

//<0603> ？？
<0603> ？？

//<0604> 「…わるいは、ほれいひょうはおまえとのふんれんにはつひあえない…」
<0604> 「…わるいは、ほれいひょうはおまえとのふんれんにはつひあえない…」

//<0605> 音無
<0605> 音無

//<0606> クソ坊主
<0606> クソ坊主

//<0607> 代理人
<0607> 代理人

//<0608> 微妙すぎるイケメン
<0608> 微妙すぎるイケメン

//<0609> ロリコン
<0609> ロリコン

//<0610> メガネ仲間
<0610> メガネ仲間

//<0611> 暗算日本記録保持者
<0611> 暗算日本記録保持者

//<0612> 通り魔
<0612> 通り魔

//<0613> 記憶ナシ男
<0613> 記憶ナシ男

//<0614> 音速
<0614> 音速

//<0615> 無限
<0615> 無限

//<0616> エロ侍
<0616> エロ侍

//<0617> エロエロ団ナンバー１
<0617> エロエロ団ナンバー１

//<0618> ただのエロ少年
<0618> ただのエロ少年

//<0619> ユリブサイク
<0619> ユリブサイク

//<0620> ドピュッシー
<0620> ドピュッシー

//<0621> アメリカンエロドッグ
<0621> アメリカンエロドッグ

//<0622> ゼウス
<0622> ゼウス

//<0623> 日向markⅡ
<0623> 日向markⅡ

//<0624> 糞虫
<0624> 糞虫

//<0625> 量産型日向
<0625> 量産型日向

//<0626> ？？
<0626> ？？

//<0627> 「ええっ！？　いひなりなんでだよっ！　わへわはらないへ！？」
<0627> 「ええっ！？　いひなりなんでだよっ！　わへわはらないへ！？」

//<0628> nothing
<0628> nothing

//<0629> nothing
<0629> nothing

//<0630> nothing
<0630> nothing

//<0631> nothing
<0631> nothing

//<0632> nothing
<0632> nothing

//<0633> 野田
<0633> 野田

//<0634> 男Ｆ
<0634> 男Ｆ

//<0635> イケパイ
<0635> イケパイ

//<0636> 男
<0636> 男

//<0637> ？？
<0637> ？？

//<0638> 「わへわはらないのはおまえのひゅみのほうなんだは…」
<0638> 「わへわはらないのはおまえのひゅみのほうなんだは…」

//<0639> 音無
<0639> 音無

//<0640> クソ坊主
<0640> クソ坊主

//<0641> 代理人
<0641> 代理人

//<0642> 微妙すぎるイケメン
<0642> 微妙すぎるイケメン

//<0643> ロリコン
<0643> ロリコン

//<0644> メガネ仲間
<0644> メガネ仲間

//<0645> 暗算日本記録保持者
<0645> 暗算日本記録保持者

//<0646> 通り魔
<0646> 通り魔

//<0647> 記憶ナシ男
<0647> 記憶ナシ男

//<0648> 音速
<0648> 音速

//<0649> 無限
<0649> 無限

//<0650> エロ侍
<0650> エロ侍

//<0651> エロエロ団ナンバー１
<0651> エロエロ団ナンバー１

//<0652> ただのエロ少年
<0652> ただのエロ少年

//<0653> ユリブサイク
<0653> ユリブサイク

//<0654> ドピュッシー
<0654> ドピュッシー

//<0655> アメリカンエロドッグ
<0655> アメリカンエロドッグ

//<0656> ゼウス
<0656> ゼウス

//<0657> 日向markⅡ
<0657> 日向markⅡ

//<0658> 糞虫
<0658> 糞虫

//<0659> 量産型日向
<0659> 量産型日向

//<0660> ？？
<0660> ？？

//<0661> 「はぁ！？」
<0661> 「はぁ！？」

//<0662> nothing
<0662> nothing

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> nothing
<0665> nothing

//<0666> nothing
<0666> nothing

//<0667> 野田
<0667> 野田

//<0668> 男Ｆ
<0668> 男Ｆ

//<0669> イケパイ
<0669> イケパイ

//<0670> 男
<0670> 男

//<0671> ？？
<0671> ？？

//<0672> 「ふまないは、たちはってくれ…そしてほほにはもうほないでふれ…」
<0672> 「ふまないは、たちはってくれ…そしてほほにはもうほないでふれ…」

//<0673> 音無
<0673> 音無

//<0674> クソ坊主
<0674> クソ坊主

//<0675> 代理人
<0675> 代理人

//<0676> 微妙すぎるイケメン
<0676> 微妙すぎるイケメン

//<0677> ロリコン
<0677> ロリコン

//<0678> メガネ仲間
<0678> メガネ仲間

//<0679> 暗算日本記録保持者
<0679> 暗算日本記録保持者

//<0680> 通り魔
<0680> 通り魔

//<0681> 記憶ナシ男
<0681> 記憶ナシ男

//<0682> 音速
<0682> 音速

//<0683> 無限
<0683> 無限

//<0684> エロ侍
<0684> エロ侍

//<0685> エロエロ団ナンバー１
<0685> エロエロ団ナンバー１

//<0686> ただのエロ少年
<0686> ただのエロ少年

//<0687> ユリブサイク
<0687> ユリブサイク

//<0688> ドピュッシー
<0688> ドピュッシー

//<0689> アメリカンエロドッグ
<0689> アメリカンエロドッグ

//<0690> ゼウス
<0690> ゼウス

//<0691> 日向markⅡ
<0691> 日向markⅡ

//<0692> 糞虫
<0692> 糞虫

//<0693> 量産型日向
<0693> 量産型日向

//<0694> ？？
<0694> ？？

//<0695> 「えぇぇーーー！！」
<0695> 「えぇぇーーー！！」

//<0696> nothing
<0696> nothing

//<0697> nothing
<0697> nothing

//<0698> nothing
<0698> nothing

//<0699> nothing
<0699> nothing

//<0700> nothing
<0700> nothing

//<0701> 野田
<0701> 野田

//<0702> 男Ｆ
<0702> 男Ｆ

//<0703> イケパイ
<0703> イケパイ

//<0704> 男
<0704> 男

//<0705> ？？
<0705> ？？

//<0706> 「おれはゆりっぺひとふひだはらな…。おまえとひゃれあっているひまなんてないんだ…」
<0706> 「おれはゆりっぺひとふひだはらな…。おまえとひゃれあっているひまなんてないんだ…」

//<0707> 頭が真っ白になる。
<0707> 頭が真っ白になる。

//<0708> nothing
<0708> nothing

//<0709> nothing
<0709> nothing

//<0710> nothing
<0710> nothing

//<0711> nothing
<0711> nothing

//<0712> nothing
<0712> nothing

//<0713> 野田
<0713> 野田

//<0714> 男Ｆ
<0714> 男Ｆ

//<0715> イケパイ
<0715> イケパイ

//<0716> 男
<0716> 男

//<0717> ？？
<0717> ？？

//<0718> 「おれはほれまでどおり、ひとりひりでたんれんをつづへる」
<0718> 「おれはほれまでどおり、ひとりひりでたんれんをつづへる」

//<0719> 音無
<0719> 音無

//<0720> クソ坊主
<0720> クソ坊主

//<0721> 代理人
<0721> 代理人

//<0722> 微妙すぎるイケメン
<0722> 微妙すぎるイケメン

//<0723> ロリコン
<0723> ロリコン

//<0724> メガネ仲間
<0724> メガネ仲間

//<0725> 暗算日本記録保持者
<0725> 暗算日本記録保持者

//<0726> 通り魔
<0726> 通り魔

//<0727> 記憶ナシ男
<0727> 記憶ナシ男

//<0728> 音速
<0728> 音速

//<0729> 無限
<0729> 無限

//<0730> エロ侍
<0730> エロ侍

//<0731> エロエロ団ナンバー１
<0731> エロエロ団ナンバー１

//<0732> ただのエロ少年
<0732> ただのエロ少年

//<0733> ユリブサイク
<0733> ユリブサイク

//<0734> ドピュッシー
<0734> ドピュッシー

//<0735> アメリカンエロドッグ
<0735> アメリカンエロドッグ

//<0736> ゼウス
<0736> ゼウス

//<0737> 日向markⅡ
<0737> 日向markⅡ

//<0738> 糞虫
<0738> 糞虫

//<0739> 量産型日向
<0739> 量産型日向

//<0740> ？？
<0740> ？？

//<0741> 「そんな…」
<0741> 「そんな…」

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> nothing
<0745> nothing

//<0746> nothing
<0746> nothing

//<0747> 野田
<0747> 野田

//<0748> 男Ｆ
<0748> 男Ｆ

//<0749> イケパイ
<0749> イケパイ

//<0750> 男
<0750> 男

//<0751> ？？
<0751> ？？

//<0752> 「どほまでもつづふじはん…いっひゅんまははひただへは…」
<0752> 「どほまでもつづふじはん…いっひゅんまははひただへは…」

//<0753> nothing
<0753> nothing

//<0754> nothing
<0754> nothing

//<0755> nothing
<0755> nothing

//<0756> nothing
<0756> nothing

//<0757> nothing
<0757> nothing

//<0758> 野田
<0758> 野田

//<0759> 男Ｆ
<0759> 男Ｆ

//<0760> イケパイ
<0760> イケパイ

//<0761> 男
<0761> 男

//<0762> ？？
<0762> ？？

//<0763> 「ほほはおれのへいいひだ…でていってふれないは」
<0763> 「ほほはおれのへいいひだ…でていってふれないは」

//<0764> 音無
<0764> 音無

//<0765> クソ坊主
<0765> クソ坊主

//<0766> 代理人
<0766> 代理人

//<0767> 微妙すぎるイケメン
<0767> 微妙すぎるイケメン

//<0768> ロリコン
<0768> ロリコン

//<0769> メガネ仲間
<0769> メガネ仲間

//<0770> 暗算日本記録保持者
<0770> 暗算日本記録保持者

//<0771> 通り魔
<0771> 通り魔

//<0772> 記憶ナシ男
<0772> 記憶ナシ男

//<0773> 音速
<0773> 音速

//<0774> 無限
<0774> 無限

//<0775> エロ侍
<0775> エロ侍

//<0776> エロエロ団ナンバー１
<0776> エロエロ団ナンバー１

//<0777> ただのエロ少年
<0777> ただのエロ少年

//<0778> ユリブサイク
<0778> ユリブサイク

//<0779> ドピュッシー
<0779> ドピュッシー

//<0780> アメリカンエロドッグ
<0780> アメリカンエロドッグ

//<0781> ゼウス
<0781> ゼウス

//<0782> 日向markⅡ
<0782> 日向markⅡ

//<0783> 糞虫
<0783> 糞虫

//<0784> 量産型日向
<0784> 量産型日向

//<0785> ？？
<0785> ？？

//<0786> 「うっ…」
<0786> 「うっ…」

//<0787> なんだか、胸にすっぽり穴が空いた気分だ…。
<0787> なんだか、胸にすっぽり穴が空いた気分だ…。

//<0788> 音無
<0788> 音無

//<0789> クソ坊主
<0789> クソ坊主

//<0790> 代理人
<0790> 代理人

//<0791> 微妙すぎるイケメン
<0791> 微妙すぎるイケメン

//<0792> ロリコン
<0792> ロリコン

//<0793> メガネ仲間
<0793> メガネ仲間

//<0794> 暗算日本記録保持者
<0794> 暗算日本記録保持者

//<0795> 通り魔
<0795> 通り魔

//<0796> 記憶ナシ男
<0796> 記憶ナシ男

//<0797> 音速
<0797> 音速

//<0798> 無限
<0798> 無限

//<0799> エロ侍
<0799> エロ侍

//<0800> エロエロ団ナンバー１
<0800> エロエロ団ナンバー１

//<0801> ただのエロ少年
<0801> ただのエロ少年

//<0802> ユリブサイク
<0802> ユリブサイク

//<0803> ドピュッシー
<0803> ドピュッシー

//<0804> アメリカンエロドッグ
<0804> アメリカンエロドッグ

//<0805> ゼウス
<0805> ゼウス

//<0806> 日向markⅡ
<0806> 日向markⅡ

//<0807> 糞虫
<0807> 糞虫

//<0808> 量産型日向
<0808> 量産型日向

//<0809> ？？
<0809> ？？

//<0810> 「わはったよ…。にどとほない…」
<0810> 「わはったよ…。にどとほない…」

//<0811> いろんな思いを捨て、その場を立ち去った。
<0811> いろんな思いを捨て、その場を立ち去った。

//<0812> 音無
<0812> 音無

//<0813> クソ坊主
<0813> クソ坊主

//<0814> 代理人
<0814> 代理人

//<0815> 微妙すぎるイケメン
<0815> 微妙すぎるイケメン

//<0816> ロリコン
<0816> ロリコン

//<0817> メガネ仲間
<0817> メガネ仲間

//<0818> 暗算日本記録保持者
<0818> 暗算日本記録保持者

//<0819> 通り魔
<0819> 通り魔

//<0820> 記憶ナシ男
<0820> 記憶ナシ男

//<0821> 音速
<0821> 音速

//<0822> 無限
<0822> 無限

//<0823> エロ侍
<0823> エロ侍

//<0824> エロエロ団ナンバー１
<0824> エロエロ団ナンバー１

//<0825> ただのエロ少年
<0825> ただのエロ少年

//<0826> ユリブサイク
<0826> ユリブサイク

//<0827> ドピュッシー
<0827> ドピュッシー

//<0828> アメリカンエロドッグ
<0828> アメリカンエロドッグ

//<0829> ゼウス
<0829> ゼウス

//<0830> 日向markⅡ
<0830> 日向markⅡ

//<0831> 糞虫
<0831> 糞虫

//<0832> 量産型日向
<0832> 量産型日向

//<0833> ？？
<0833> ？？

//<0834> 「ただのひまふれだよ」
<0834> 「ただのひまふれだよ」

//<0835> nothing
<0835> nothing

//<0836> nothing
<0836> nothing

//<0837> nothing
<0837> nothing

//<0838> nothing
<0838> nothing

//<0839> nothing
<0839> nothing

//<0840> 野田
<0840> 野田

//<0841> 男Ｆ
<0841> 男Ｆ

//<0842> イケパイ
<0842> イケパイ

//<0843> 男
<0843> 男

//<0844> ？？
<0844> ？？

//<0845> 「ただのひまふれ…」
<0845> 「ただのひまふれ…」

//<0846> 反芻するように、野田は同じ言葉を発した。
<0846> 反芻するように、野田は同じ言葉を発した。

//<0847> nothing
<0847> nothing

//<0848> nothing
<0848> nothing

//<0849> nothing
<0849> nothing

//<0850> nothing
<0850> nothing

//<0851> nothing
<0851> nothing

//<0852> 野田
<0852> 野田

//<0853> 男Ｆ
<0853> 男Ｆ

//<0854> イケパイ
<0854> イケパイ

//<0855> 男
<0855> 男

//<0856> ？？
<0856> ？？

//<0857> 「………」
<0857> 「………」

//<0858> 野田が考え込む。
<0858> 野田が考え込む。

//<0859> どれだけ時間が経っただろうか、ようやく野田が口を開く。
<0859> どれだけ時間が経っただろうか、ようやく野田が口を開く。

//<0860> nothing
<0860> nothing

//<0861> nothing
<0861> nothing

//<0862> nothing
<0862> nothing

//<0863> nothing
<0863> nothing

//<0864> nothing
<0864> nothing

//<0865> 野田
<0865> 野田

//<0866> 男Ｆ
<0866> 男Ｆ

//<0867> イケパイ
<0867> イケパイ

//<0868> 男
<0868> 男

//<0869> ？？
<0869> ？？

//<0870> 「にどとほほにはふるな…」
<0870> 「にどとほほにはふるな…」

//<0871> 音無
<0871> 音無

//<0872> クソ坊主
<0872> クソ坊主

//<0873> 代理人
<0873> 代理人

//<0874> 微妙すぎるイケメン
<0874> 微妙すぎるイケメン

//<0875> ロリコン
<0875> ロリコン

//<0876> メガネ仲間
<0876> メガネ仲間

//<0877> 暗算日本記録保持者
<0877> 暗算日本記録保持者

//<0878> 通り魔
<0878> 通り魔

//<0879> 記憶ナシ男
<0879> 記憶ナシ男

//<0880> 音速
<0880> 音速

//<0881> 無限
<0881> 無限

//<0882> エロ侍
<0882> エロ侍

//<0883> エロエロ団ナンバー１
<0883> エロエロ団ナンバー１

//<0884> ただのエロ少年
<0884> ただのエロ少年

//<0885> ユリブサイク
<0885> ユリブサイク

//<0886> ドピュッシー
<0886> ドピュッシー

//<0887> アメリカンエロドッグ
<0887> アメリカンエロドッグ

//<0888> ゼウス
<0888> ゼウス

//<0889> 日向markⅡ
<0889> 日向markⅡ

//<0890> 糞虫
<0890> 糞虫

//<0891> 量産型日向
<0891> 量産型日向

//<0892> ？？
<0892> ？？

//<0893> 「…え？　ほれはどういういみでだ？」
<0893> 「…え？　ほれはどういういみでだ？」

//<0894> nothing
<0894> nothing

//<0895> nothing
<0895> nothing

//<0896> nothing
<0896> nothing

//<0897> nothing
<0897> nothing

//<0898> nothing
<0898> nothing

//<0899> 野田
<0899> 野田

//<0900> 男Ｆ
<0900> 男Ｆ

//<0901> イケパイ
<0901> イケパイ

//<0902> 男
<0902> 男

//<0903> ？？
<0903> ？？

//<0904> 「おまえのひまふれにつきあいひれないはらだ」
<0904> 「おまえのひまふれにつきあいひれないはらだ」

//<0905> 音無
<0905> 音無

//<0906> クソ坊主
<0906> クソ坊主

//<0907> 代理人
<0907> 代理人

//<0908> 微妙すぎるイケメン
<0908> 微妙すぎるイケメン

//<0909> ロリコン
<0909> ロリコン

//<0910> メガネ仲間
<0910> メガネ仲間

//<0911> 暗算日本記録保持者
<0911> 暗算日本記録保持者

//<0912> 通り魔
<0912> 通り魔

//<0913> 記憶ナシ男
<0913> 記憶ナシ男

//<0914> 音速
<0914> 音速

//<0915> 無限
<0915> 無限

//<0916> エロ侍
<0916> エロ侍

//<0917> エロエロ団ナンバー１
<0917> エロエロ団ナンバー１

//<0918> ただのエロ少年
<0918> ただのエロ少年

//<0919> ユリブサイク
<0919> ユリブサイク

//<0920> ドピュッシー
<0920> ドピュッシー

//<0921> アメリカンエロドッグ
<0921> アメリカンエロドッグ

//<0922> ゼウス
<0922> ゼウス

//<0923> 日向markⅡ
<0923> 日向markⅡ

//<0924> 糞虫
<0924> 糞虫

//<0925> 量産型日向
<0925> 量産型日向

//<0926> ？？
<0926> ？？

//<0927> 「どうひて！？」
<0927> 「どうひて！？」

//<0928> nothing
<0928> nothing

//<0929> nothing
<0929> nothing

//<0930> nothing
<0930> nothing

//<0931> nothing
<0931> nothing

//<0932> nothing
<0932> nothing

//<0933> 野田
<0933> 野田

//<0934> 男Ｆ
<0934> 男Ｆ

//<0935> イケパイ
<0935> イケパイ

//<0936> 男
<0936> 男

//<0937> ？？
<0937> ？？

//<0938> 「ほほはいつまでもつづふせはいなんだよ。だはらひりひでたんれんをははねろ」
<0938> 「ほほはいつまでもつづふせはいなんだよ。だはらひりひでたんれんをははねろ」

//<0939> 音無
<0939> 音無

//<0940> クソ坊主
<0940> クソ坊主

//<0941> 代理人
<0941> 代理人

//<0942> 微妙すぎるイケメン
<0942> 微妙すぎるイケメン

//<0943> ロリコン
<0943> ロリコン

//<0944> メガネ仲間
<0944> メガネ仲間

//<0945> 暗算日本記録保持者
<0945> 暗算日本記録保持者

//<0946> 通り魔
<0946> 通り魔

//<0947> 記憶ナシ男
<0947> 記憶ナシ男

//<0948> 音速
<0948> 音速

//<0949> 無限
<0949> 無限

//<0950> エロ侍
<0950> エロ侍

//<0951> エロエロ団ナンバー１
<0951> エロエロ団ナンバー１

//<0952> ただのエロ少年
<0952> ただのエロ少年

//<0953> ユリブサイク
<0953> ユリブサイク

//<0954> ドピュッシー
<0954> ドピュッシー

//<0955> アメリカンエロドッグ
<0955> アメリカンエロドッグ

//<0956> ゼウス
<0956> ゼウス

//<0957> 日向markⅡ
<0957> 日向markⅡ

//<0958> 糞虫
<0958> 糞虫

//<0959> 量産型日向
<0959> 量産型日向

//<0960> ？？
<0960> ？？

//<0961> 「まひはよ…」
<0961> 「まひはよ…」

//<0962> nothing
<0962> nothing

//<0963> nothing
<0963> nothing

//<0964> nothing
<0964> nothing

//<0965> nothing
<0965> nothing

//<0966> nothing
<0966> nothing

//<0967> 野田
<0967> 野田

//<0968> 男Ｆ
<0968> 男Ｆ

//<0969> イケパイ
<0969> イケパイ

//<0970> 男
<0970> 男

//<0971> ？？
<0971> ？？

//<0972> 「ああ。おれのたんれんのひゃまはにどとひないでふれ」
<0972> 「ああ。おれのたんれんのひゃまはにどとひないでふれ」

//<0973> nothing
<0973> nothing

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> nothing
<0977> nothing

//<0978> その間、ずっと無言だった野田が俺を振り返る。その表情は実にシリアスだ。
<0978> その間、ずっと無言だった野田が俺を振り返る。その表情は実にシリアスだ。

//<0979> nothing
<0979> nothing

//<0980> nothing
<0980> nothing

//<0981> nothing
<0981> nothing

//<0982> nothing
<0982> nothing

//<0983> nothing
<0983> nothing

//<0984> 野田
<0984> 野田

//<0985> 男Ｆ
<0985> 男Ｆ

//<0986> イケパイ
<0986> イケパイ

//<0987> 男
<0987> 男

//<0988> ？？
<0988> ？？

//<0989> 「誘っておいて、なんだが、ひとつ質問をしていいか」
<0989> 「誘っておいて、なんだが、ひとつ質問をしていいか」

//<0990> 音無
<0990> 音無

//<0991> クソ坊主
<0991> クソ坊主

//<0992> 代理人
<0992> 代理人

//<0993> 微妙すぎるイケメン
<0993> 微妙すぎるイケメン

//<0994> ロリコン
<0994> ロリコン

//<0995> メガネ仲間
<0995> メガネ仲間

//<0996> 暗算日本記録保持者
<0996> 暗算日本記録保持者

//<0997> 通り魔
<0997> 通り魔

//<0998> 記憶ナシ男
<0998> 記憶ナシ男

//<0999> 音速
<0999> 音速

//<1000> 無限
<1000> 無限

//<1001> エロ侍
<1001> エロ侍

//<1002> エロエロ団ナンバー１
<1002> エロエロ団ナンバー１

//<1003> ただのエロ少年
<1003> ただのエロ少年

//<1004> ユリブサイク
<1004> ユリブサイク

//<1005> ドピュッシー
<1005> ドピュッシー

//<1006> アメリカンエロドッグ
<1006> アメリカンエロドッグ

//<1007> ゼウス
<1007> ゼウス

//<1008> 日向markⅡ
<1008> 日向markⅡ

//<1009> 糞虫
<1009> 糞虫

//<1010> 量産型日向
<1010> 量産型日向

//<1011> ？？
<1011> ？？

//<1012> 「もちろん」
<1012> 「もちろん」

//<1013> nothing
<1013> nothing

//<1014> nothing
<1014> nothing

//<1015> nothing
<1015> nothing

//<1016> nothing
<1016> nothing

//<1017> nothing
<1017> nothing

//<1018> 野田
<1018> 野田

//<1019> 男Ｆ
<1019> 男Ｆ

//<1020> イケパイ
<1020> イケパイ

//<1021> 男
<1021> 男

//<1022> ？？
<1022> ？？

//<1023> 「なら問わせてもらおう…」
<1023> 「なら問わせてもらおう…」

//<1024> nothing
<1024> nothing

//<1025> nothing
<1025> nothing

//<1026> nothing
<1026> nothing

//<1027> nothing
<1027> nothing

//<1028> nothing
<1028> nothing

//<1029> 野田
<1029> 野田

//<1030> 男Ｆ
<1030> 男Ｆ

//<1031> イケパイ
<1031> イケパイ

//<1032> 男
<1032> 男

//<1033> ？？
<1033> ？？

//<1034> 「どうして、そこまで俺に付き合えるんだ…」
<1034> 「どうして、そこまで俺に付き合えるんだ…」

//<1035> 好きだから
<1035> 好きだから

//<1036> 気まぐれ
<1036> 気まぐれ

//<1037> selbtn : 
<1037> selbtn : 

//<1038> 音無
<1038> 音無

//<1039> クソ坊主
<1039> クソ坊主

//<1040> 代理人
<1040> 代理人

//<1041> 微妙すぎるイケメン
<1041> 微妙すぎるイケメン

//<1042> ロリコン
<1042> ロリコン

//<1043> メガネ仲間
<1043> メガネ仲間

//<1044> 暗算日本記録保持者
<1044> 暗算日本記録保持者

//<1045> 通り魔
<1045> 通り魔

//<1046> 記憶ナシ男
<1046> 記憶ナシ男

//<1047> 音速
<1047> 音速

//<1048> 無限
<1048> 無限

//<1049> エロ侍
<1049> エロ侍

//<1050> エロエロ団ナンバー１
<1050> エロエロ団ナンバー１

//<1051> ただのエロ少年
<1051> ただのエロ少年

//<1052> ユリブサイク
<1052> ユリブサイク

//<1053> ドピュッシー
<1053> ドピュッシー

//<1054> アメリカンエロドッグ
<1054> アメリカンエロドッグ

//<1055> ゼウス
<1055> ゼウス

//<1056> 日向markⅡ
<1056> 日向markⅡ

//<1057> 糞虫
<1057> 糞虫

//<1058> 量産型日向
<1058> 量産型日向

//<1059> ？？
<1059> ？？

//<1060> 「そんなの決まってるじゃねーか。好きだからだよ。はっ、んなこと言わせんなよっ」
<1060> 「そんなの決まってるじゃねーか。好きだからだよ。はっ、んなこと言わせんなよっ」

//<1061> nothing
<1061> nothing

//<1062> nothing
<1062> nothing

//<1063> nothing
<1063> nothing

//<1064> nothing
<1064> nothing

//<1065> nothing
<1065> nothing

//<1066> 野田
<1066> 野田

//<1067> 男Ｆ
<1067> 男Ｆ

//<1068> イケパイ
<1068> イケパイ

//<1069> 男
<1069> 男

//<1070> ？？
<1070> ？？

//<1071> 「…！？」
<1071> 「…！？」

//<1072> nothing
<1072> nothing

//<1073> nothing
<1073> nothing

//<1074> nothing
<1074> nothing

//<1075> nothing
<1075> nothing

//<1076> nothing
<1076> nothing

//<1077> 野田
<1077> 野田

//<1078> 男Ｆ
<1078> 男Ｆ

//<1079> イケパイ
<1079> イケパイ

//<1080> 男
<1080> 男

//<1081> ？？
<1081> ？？

//<1082> 「それは…もしかして…友達って意味か…？」
<1082> 「それは…もしかして…友達って意味か…？」

//<1083> ああ
<1083> ああ

//<1084> 違う
<1084> 違う

//<1085> selbtn : 
<1085> selbtn : 

//<1086> 音無
<1086> 音無

//<1087> クソ坊主
<1087> クソ坊主

//<1088> 代理人
<1088> 代理人

//<1089> 微妙すぎるイケメン
<1089> 微妙すぎるイケメン

//<1090> ロリコン
<1090> ロリコン

//<1091> メガネ仲間
<1091> メガネ仲間

//<1092> 暗算日本記録保持者
<1092> 暗算日本記録保持者

//<1093> 通り魔
<1093> 通り魔

//<1094> 記憶ナシ男
<1094> 記憶ナシ男

//<1095> 音速
<1095> 音速

//<1096> 無限
<1096> 無限

//<1097> エロ侍
<1097> エロ侍

//<1098> エロエロ団ナンバー１
<1098> エロエロ団ナンバー１

//<1099> ただのエロ少年
<1099> ただのエロ少年

//<1100> ユリブサイク
<1100> ユリブサイク

//<1101> ドピュッシー
<1101> ドピュッシー

//<1102> アメリカンエロドッグ
<1102> アメリカンエロドッグ

//<1103> ゼウス
<1103> ゼウス

//<1104> 日向markⅡ
<1104> 日向markⅡ

//<1105> 糞虫
<1105> 糞虫

//<1106> 量産型日向
<1106> 量産型日向

//<1107> ？？
<1107> ？？

//<1108> 「ああ、もちろん友達さ」
<1108> 「ああ、もちろん友達さ」

//<1109> nothing
<1109> nothing

//<1110> nothing
<1110> nothing

//<1111> nothing
<1111> nothing

//<1112> nothing
<1112> nothing

//<1113> nothing
<1113> nothing

//<1114> 野田
<1114> 野田

//<1115> 男Ｆ
<1115> 男Ｆ

//<1116> イケパイ
<1116> イケパイ

//<1117> 男
<1117> 男

//<1118> ？？
<1118> ？？

//<1119> 「そっか…」
<1119> 「そっか…」

//<1120> nothing
<1120> nothing

//<1121> nothing
<1121> nothing

//<1122> nothing
<1122> nothing

