// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_kazekiri3
<0000> se_kazekiri3
//<0537> ユリブサイク
<0537> ユリブサイク

//<0538> ドピュッシー
<0538> ドピュッシー

//<0539> アメリカンエロドッグ
<0539> アメリカンエロドッグ

//<0540> ゼウス
<0540> ゼウス

//<0541> 日向markⅡ
<0541> 日向markⅡ

//<0542> 糞虫
<0542> 糞虫

//<0543> 量産型日向
<0543> 量産型日向

//<0544> ？？
<0544> ？？

//<0545> 「ああ、そうさせてもらうよ」
<0545> 「ああ、そうさせてもらうよ」

//<0546> se_kazekiri3
<0546> se_kazekiri3

//<0547> しばらくハルバートを振るい続ける野田を見る。
<0547> しばらくハルバートを振るい続ける野田を見る。

//<0548> nothing
<0548> nothing

//<0549> nothing
<0549> nothing

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> nothing
<0552> nothing

//<0553> nothing
<0553> nothing

//<0554> nothing
<0554> nothing

//<0555> nothing
<0555> nothing

//<0556> nothing
<0556> nothing

//<0557> nothing
<0557> nothing

//<0558> 野田
<0558> 野田

//<0559> 男Ｆ
<0559> 男Ｆ

//<0560> イケパイ
<0560> イケパイ

//<0561> 男
<0561> 男

//<0562> ？？
<0562> ？？

//<0563> 「ふぅ…」
<0563> 「ふぅ…」

//<0564> nothing
<0564> nothing

//<0565> nothing
<0565> nothing

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> 野田
<0569> 野田

//<0570> 男Ｆ
<0570> 男Ｆ

//<0571> イケパイ
<0571> イケパイ

//<0572> 男
<0572> 男

//<0573> ？？
<0573> ？？

//<0574> 「今日はここらでお仕舞いだ」
<0574> 「今日はここらでお仕舞いだ」

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> nothing
<0577> nothing

//<0578> nothing
<0578> nothing

//<0579> nothing
<0579> nothing

//<0580> 野田
<0580> 野田

//<0581> 男Ｆ
<0581> 男Ｆ

//<0582> イケパイ
<0582> イケパイ

//<0583> 男
<0583> 男

//<0584> ？？
<0584> ？？

//<0585> 「どうした、まだ居たのか」
<0585> 「どうした、まだ居たのか」

//<0586> 感心する
<0586> 感心する

//<0587> 甘いと感じる
<0587> 甘いと感じる

//<0588> 勝負を挑む
<0588> 勝負を挑む

//<0589> selbtn : 
<0589> selbtn : 

//<0590> 音無
<0590> 音無

//<0591> クソ坊主
<0591> クソ坊主

//<0592> 代理人
<0592> 代理人

//<0593> 微妙すぎるイケメン
<0593> 微妙すぎるイケメン

//<0594> ロリコン
<0594> ロリコン

//<0595> メガネ仲間
<0595> メガネ仲間

//<0596> 暗算日本記録保持者
<0596> 暗算日本記録保持者

//<0597> 通り魔
<0597> 通り魔

//<0598> 記憶ナシ男
<0598> 記憶ナシ男

//<0599> 音速
<0599> 音速

//<0600> 無限
<0600> 無限

//<0601> エロ侍
<0601> エロ侍

//<0602> エロエロ団ナンバー１
<0602> エロエロ団ナンバー１

//<0603> ただのエロ少年
<0603> ただのエロ少年

//<0604> ユリブサイク
<0604> ユリブサイク

//<0605> ドピュッシー
<0605> ドピュッシー

//<0606> アメリカンエロドッグ
<0606> アメリカンエロドッグ

//<0607> ゼウス
<0607> ゼウス

//<0608> 日向markⅡ
<0608> 日向markⅡ

//<0609> 糞虫
<0609> 糞虫

//<0610> 量産型日向
<0610> 量産型日向

//<0611> ？？
<0611> ？？

//<0612> 「ここまで自分を追い込むのか…さすがだな」
<0612> 「ここまで自分を追い込むのか…さすがだな」

//<0613> nothing
<0613> nothing

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> nothing
<0616> nothing

//<0617> nothing
<0617> nothing

//<0618> 野田
<0618> 野田

//<0619> 男Ｆ
<0619> 男Ｆ

//<0620> イケパイ
<0620> イケパイ

//<0621> 男
<0621> 男

//<0622> ？？
<0622> ？？

//<0623> 「ああ。お前のようにひょろい体のままの奴が幹部入りなんて、ゆりっぺが何を考えてるかまったくわからない…」
<0623> 「ああ。お前のようにひょろい体のままの奴が幹部入りなんて、ゆりっぺが何を考えてるかまったくわからない…」

//<0624> ゆりの言葉を思い出す。
<0624> ゆりの言葉を思い出す。

//<0625> 白
<0625> 白

//<0626> nothing
<0626> nothing

//<0627> nothing
<0627> nothing

//<0628> nothing
<0628> nothing

//<0629> nothing
<0629> nothing

//<0630> nothing
<0630> nothing

//<0631> 音無
<0631> 音無

//<0632> クソ坊主
<0632> クソ坊主

//<0633> 代理人
<0633> 代理人

//<0634> 微妙すぎるイケメン
<0634> 微妙すぎるイケメン

//<0635> ロリコン
<0635> ロリコン

//<0636> メガネ仲間
<0636> メガネ仲間

//<0637> 暗算日本記録保持者
<0637> 暗算日本記録保持者

//<0638> 通り魔
<0638> 通り魔

//<0639> 記憶ナシ男
<0639> 記憶ナシ男

//<0640> 音速
<0640> 音速

//<0641> 無限
<0641> 無限

//<0642> エロ侍
<0642> エロ侍

//<0643> エロエロ団ナンバー１
<0643> エロエロ団ナンバー１

//<0644> ただのエロ少年
<0644> ただのエロ少年

//<0645> ユリブサイク
<0645> ユリブサイク

//<0646> ドピュッシー
<0646> ドピュッシー

//<0647> アメリカンエロドッグ
<0647> アメリカンエロドッグ

//<0648> ゼウス
<0648> ゼウス

//<0649> 日向markⅡ
<0649> 日向markⅡ

//<0650> 糞虫
<0650> 糞虫

//<0651> 量産型日向
<0651> 量産型日向

//<0652> ？？
<0652> ？？

//<0653> 「どうしていきなり記憶もない俺が幹部に配属されたんだ？」
<0653> 「どうしていきなり記憶もない俺が幹部に配属されたんだ？」

//<0654> nothing
<0654> nothing

//<0655> nothing
<0655> nothing

//<0656> nothing
<0656> nothing

//<0657> nothing
<0657> nothing

//<0658> nothing
<0658> nothing

//<0659> ゆり
<0659> ゆり

//<0660> 女生徒
<0660> 女生徒

//<0661> ？？
<0661> ？？

//<0662> 「勘よ」
<0662> 「勘よ」

//<0663> 音無
<0663> 音無

//<0664> クソ坊主
<0664> クソ坊主

//<0665> 代理人
<0665> 代理人

//<0666> 微妙すぎるイケメン
<0666> 微妙すぎるイケメン

//<0667> ロリコン
<0667> ロリコン

//<0668> メガネ仲間
<0668> メガネ仲間

//<0669> 暗算日本記録保持者
<0669> 暗算日本記録保持者

//<0670> 通り魔
<0670> 通り魔

//<0671> 記憶ナシ男
<0671> 記憶ナシ男

//<0672> 音速
<0672> 音速

//<0673> 無限
<0673> 無限

//<0674> エロ侍
<0674> エロ侍

//<0675> エロエロ団ナンバー１
<0675> エロエロ団ナンバー１

//<0676> ただのエロ少年
<0676> ただのエロ少年

//<0677> ユリブサイク
<0677> ユリブサイク

//<0678> ドピュッシー
<0678> ドピュッシー

//<0679> アメリカンエロドッグ
<0679> アメリカンエロドッグ

//<0680> ゼウス
<0680> ゼウス

//<0681> 日向markⅡ
<0681> 日向markⅡ

//<0682> 糞虫
<0682> 糞虫

//<0683> 量産型日向
<0683> 量産型日向

//<0684> ？？
<0684> ？？

//<0685> 「たったそれだけ？」
<0685> 「たったそれだけ？」

//<0686> nothing
<0686> nothing

//<0687> nothing
<0687> nothing

//<0688> nothing
<0688> nothing

//<0689> nothing
<0689> nothing

//<0690> nothing
<0690> nothing

//<0691> ゆり
<0691> ゆり

//<0692> 女生徒
<0692> 女生徒

//<0693> ？？
<0693> ？？

//<0694> 「それだけよ。何か文句ある？」
<0694> 「それだけよ。何か文句ある？」

//<0695> 音無
<0695> 音無

//<0696> クソ坊主
<0696> クソ坊主

//<0697> 代理人
<0697> 代理人

//<0698> 微妙すぎるイケメン
<0698> 微妙すぎるイケメン

//<0699> ロリコン
<0699> ロリコン

//<0700> メガネ仲間
<0700> メガネ仲間

//<0701> 暗算日本記録保持者
<0701> 暗算日本記録保持者

//<0702> 通り魔
<0702> 通り魔

//<0703> 記憶ナシ男
<0703> 記憶ナシ男

//<0704> 音速
<0704> 音速

//<0705> 無限
<0705> 無限

//<0706> エロ侍
<0706> エロ侍

//<0707> エロエロ団ナンバー１
<0707> エロエロ団ナンバー１

//<0708> ただのエロ少年
<0708> ただのエロ少年

//<0709> ユリブサイク
<0709> ユリブサイク

//<0710> ドピュッシー
<0710> ドピュッシー

//<0711> アメリカンエロドッグ
<0711> アメリカンエロドッグ

//<0712> ゼウス
<0712> ゼウス

//<0713> 日向markⅡ
<0713> 日向markⅡ

//<0714> 糞虫
<0714> 糞虫

//<0715> 量産型日向
<0715> 量産型日向

//<0716> ？？
<0716> ？？

//<0717> 「いや、ないけど…」
<0717> 「いや、ないけど…」

//<0718> nothing
<0718> nothing

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> nothing
<0721> nothing

//<0722> nothing
<0722> nothing

//<0723> ゆり
<0723> ゆり

//<0724> 女生徒
<0724> 女生徒

//<0725> ？？
<0725> ？？

//<0726> 「それだけで、あたしはこの戦線をここまで巨大な組織にして、天使と神に抗っている」
<0726> 「それだけで、あたしはこの戦線をここまで巨大な組織にして、天使と神に抗っている」

//<0727> nothing
<0727> nothing

//<0728> 
<0728> 

//<0729> 
<0729> 

//<0730> nothing
<0730> nothing

//<0731> 音無
<0731> 音無

//<0732> クソ坊主
<0732> クソ坊主

//<0733> 代理人
<0733> 代理人

//<0734> 微妙すぎるイケメン
<0734> 微妙すぎるイケメン

//<0735> ロリコン
<0735> ロリコン

//<0736> メガネ仲間
<0736> メガネ仲間

//<0737> 暗算日本記録保持者
<0737> 暗算日本記録保持者

//<0738> 通り魔
<0738> 通り魔

//<0739> 記憶ナシ男
<0739> 記憶ナシ男

//<0740> 音速
<0740> 音速

//<0741> 無限
<0741> 無限

//<0742> エロ侍
<0742> エロ侍

//<0743> エロエロ団ナンバー１
<0743> エロエロ団ナンバー１

//<0744> ただのエロ少年
<0744> ただのエロ少年

//<0745> ユリブサイク
<0745> ユリブサイク

//<0746> ドピュッシー
<0746> ドピュッシー

//<0747> アメリカンエロドッグ
<0747> アメリカンエロドッグ

//<0748> ゼウス
<0748> ゼウス

//<0749> 日向markⅡ
<0749> 日向markⅡ

//<0750> 糞虫
<0750> 糞虫

//<0751> 量産型日向
<0751> 量産型日向

//<0752> ？？
<0752> ？？

//<0753> 「ゆりの勘だってよ」
<0753> 「ゆりの勘だってよ」

//<0754> nothing
<0754> nothing

//<0755> nothing
<0755> nothing

//<0756> nothing
<0756> nothing

//<0757> nothing
<0757> nothing

//<0758> nothing
<0758> nothing

//<0759> 野田
<0759> 野田

//<0760> 男Ｆ
<0760> 男Ｆ

//<0761> イケパイ
<0761> イケパイ

//<0762> 男
<0762> 男

//<0763> ？？
<0763> ？？

//<0764> 「ゆりっぺの勘か…」
<0764> 「ゆりっぺの勘か…」

//<0765> 音無
<0765> 音無

//<0766> クソ坊主
<0766> クソ坊主

//<0767> 代理人
<0767> 代理人

//<0768> 微妙すぎるイケメン
<0768> 微妙すぎるイケメン

//<0769> ロリコン
<0769> ロリコン

//<0770> メガネ仲間
<0770> メガネ仲間

//<0771> 暗算日本記録保持者
<0771> 暗算日本記録保持者

//<0772> 通り魔
<0772> 通り魔

//<0773> 記憶ナシ男
<0773> 記憶ナシ男

//<0774> 音速
<0774> 音速

//<0775> 無限
<0775> 無限

//<0776> エロ侍
<0776> エロ侍

//<0777> エロエロ団ナンバー１
<0777> エロエロ団ナンバー１

//<0778> ただのエロ少年
<0778> ただのエロ少年

//<0779> ユリブサイク
<0779> ユリブサイク

//<0780> ドピュッシー
<0780> ドピュッシー

//<0781> アメリカンエロドッグ
<0781> アメリカンエロドッグ

//<0782> ゼウス
<0782> ゼウス

//<0783> 日向markⅡ
<0783> 日向markⅡ

//<0784> 糞虫
<0784> 糞虫

//<0785> 量産型日向
<0785> 量産型日向

//<0786> ？？
<0786> ？？

//<0787> 「俺だってわからないよ」
<0787> 「俺だってわからないよ」

//<0788> nothing
<0788> nothing

//<0789> nothing
<0789> nothing

//<0790> nothing
<0790> nothing

//<0791> nothing
<0791> nothing

//<0792> nothing
<0792> nothing

//<0793> 野田は値踏みするかのように俺を見つめる。
<0793> 野田は値踏みするかのように俺を見つめる。

//<0794> nothing
<0794> nothing

//<0795> nothing
<0795> nothing

//<0796> nothing
<0796> nothing

//<0797> nothing
<0797> nothing

//<0798> nothing
<0798> nothing

//<0799> 野田
<0799> 野田

//<0800> 男Ｆ
<0800> 男Ｆ

//<0801> イケパイ
<0801> イケパイ

//<0802> 男
<0802> 男

//<0803> ？？
<0803> ？？

//<0804> 「そうか…」
<0804> 「そうか…」

//<0805> nothing
<0805> nothing

//<0806> nothing
<0806> nothing

//<0807> nothing
<0807> nothing

//<0808> nothing
<0808> nothing

//<0809> nothing
<0809> nothing

//<0810> 野田
<0810> 野田

//<0811> 男Ｆ
<0811> 男Ｆ

//<0812> イケパイ
<0812> イケパイ

//<0813> 男
<0813> 男

//<0814> ？？
<0814> ？？

//<0815> 「だったら…」
<0815> 「だったら…」

//<0816> nothing
<0816> nothing

//<0817> nothing
<0817> nothing

//<0818> nothing
<0818> nothing

//<0819> nothing
<0819> nothing

//<0820> nothing
<0820> nothing

//<0821> 苦渋の表情。
<0821> 苦渋の表情。

//<0822> nothing
<0822> nothing

//<0823> nothing
<0823> nothing

//<0824> nothing
<0824> nothing

//<0825> nothing
<0825> nothing

//<0826> nothing
<0826> nothing

//<0827> 野田
<0827> 野田

//<0828> 男Ｆ
<0828> 男Ｆ

//<0829> イケパイ
<0829> イケパイ

//<0830> 男
<0830> 男

//<0831> ？？
<0831> ？？

//<0832> 「仕方あるまい…」
<0832> 「仕方あるまい…」

//<0833> ゆりの判断にはさすがに納得せざるを得なかったようだ。
<0833> ゆりの判断にはさすがに納得せざるを得なかったようだ。

//<0834> 俺は考え込んでいる野田を尻目に、この場を立ち去った。
<0834> 俺は考え込んでいる野田を尻目に、この場を立ち去った。

//<0835> 音無
<0835> 音無

//<0836> クソ坊主
<0836> クソ坊主

//<0837> 代理人
<0837> 代理人

//<0838> 微妙すぎるイケメン
<0838> 微妙すぎるイケメン

//<0839> ロリコン
<0839> ロリコン

//<0840> メガネ仲間
<0840> メガネ仲間

//<0841> 暗算日本記録保持者
<0841> 暗算日本記録保持者

//<0842> 通り魔
<0842> 通り魔

//<0843> 記憶ナシ男
<0843> 記憶ナシ男

//<0844> 音速
<0844> 音速

//<0845> 無限
<0845> 無限

//<0846> エロ侍
<0846> エロ侍

//<0847> エロエロ団ナンバー１
<0847> エロエロ団ナンバー１

//<0848> ただのエロ少年
<0848> ただのエロ少年

//<0849> ユリブサイク
<0849> ユリブサイク

//<0850> ドピュッシー
<0850> ドピュッシー

//<0851> アメリカンエロドッグ
<0851> アメリカンエロドッグ

//<0852> ゼウス
<0852> ゼウス

//<0853> 日向markⅡ
<0853> 日向markⅡ

//<0854> 糞虫
<0854> 糞虫

//<0855> 量産型日向
<0855> 量産型日向

//<0856> ？？
<0856> ？？

//<0857> 「それで訓練は終わりか？」
<0857> 「それで訓練は終わりか？」

//<0858> nothing
<0858> nothing

//<0859> nothing
<0859> nothing

//<0860> nothing
<0860> nothing

//<0861> nothing
<0861> nothing

//<0862> nothing
<0862> nothing

//<0863> 野田
<0863> 野田

//<0864> 男Ｆ
<0864> 男Ｆ

//<0865> イケパイ
<0865> イケパイ

//<0866> 男
<0866> 男

//<0867> ？？
<0867> ？？

//<0868> 「なんだよ、何が言いたい」
<0868> 「なんだよ、何が言いたい」

//<0869> 音無
<0869> 音無

//<0870> クソ坊主
<0870> クソ坊主

//<0871> 代理人
<0871> 代理人

//<0872> 微妙すぎるイケメン
<0872> 微妙すぎるイケメン

//<0873> ロリコン
<0873> ロリコン

//<0874> メガネ仲間
<0874> メガネ仲間

//<0875> 暗算日本記録保持者
<0875> 暗算日本記録保持者

//<0876> 通り魔
<0876> 通り魔

//<0877> 記憶ナシ男
<0877> 記憶ナシ男

//<0878> 音速
<0878> 音速

//<0879> 無限
<0879> 無限

//<0880> エロ侍
<0880> エロ侍

//<0881> エロエロ団ナンバー１
<0881> エロエロ団ナンバー１

//<0882> ただのエロ少年
<0882> ただのエロ少年

//<0883> ユリブサイク
<0883> ユリブサイク

//<0884> ドピュッシー
<0884> ドピュッシー

//<0885> アメリカンエロドッグ
<0885> アメリカンエロドッグ

//<0886> ゼウス
<0886> ゼウス

//<0887> 日向markⅡ
<0887> 日向markⅡ

//<0888> 糞虫
<0888> 糞虫

//<0889> 量産型日向
<0889> 量産型日向

//<0890> ？？
<0890> ？？

//<0891> 「死なない世界なんだったら、もっと追い込んでいくものかって思って」
<0891> 「死なない世界なんだったら、もっと追い込んでいくものかって思って」

//<0892> nothing
<0892> nothing

//<0893> nothing
<0893> nothing

//<0894> nothing
<0894> nothing

//<0895> nothing
<0895> nothing

//<0896> nothing
<0896> nothing

//<0897> 野田
<0897> 野田

//<0898> 男Ｆ
<0898> 男Ｆ

//<0899> イケパイ
<0899> イケパイ

//<0900> 男
<0900> 男

//<0901> ？？
<0901> ？？

//<0902> 「…！？」
<0902> 「…！？」

//<0903> 音無
<0903> 音無

//<0904> クソ坊主
<0904> クソ坊主

//<0905> 代理人
<0905> 代理人

//<0906> 微妙すぎるイケメン
<0906> 微妙すぎるイケメン

//<0907> ロリコン
<0907> ロリコン

//<0908> メガネ仲間
<0908> メガネ仲間

//<0909> 暗算日本記録保持者
<0909> 暗算日本記録保持者

//<0910> 通り魔
<0910> 通り魔

//<0911> 記憶ナシ男
<0911> 記憶ナシ男

//<0912> 音速
<0912> 音速

//<0913> 無限
<0913> 無限

//<0914> エロ侍
<0914> エロ侍

//<0915> エロエロ団ナンバー１
<0915> エロエロ団ナンバー１

//<0916> ただのエロ少年
<0916> ただのエロ少年

//<0917> ユリブサイク
<0917> ユリブサイク

//<0918> ドピュッシー
<0918> ドピュッシー

//<0919> アメリカンエロドッグ
<0919> アメリカンエロドッグ

//<0920> ゼウス
<0920> ゼウス

//<0921> 日向markⅡ
<0921> 日向markⅡ

//<0922> 糞虫
<0922> 糞虫

//<0923> 量産型日向
<0923> 量産型日向

//<0924> ？？
<0924> ？？

//<0925> 「意外に甘いなって思って」
<0925> 「意外に甘いなって思って」

//<0926> nothing
<0926> nothing

//<0927> nothing
<0927> nothing

//<0928> nothing
<0928> nothing

//<0929> nothing
<0929> nothing

//<0930> nothing
<0930> nothing

//<0931> 野田
<0931> 野田

//<0932> 男Ｆ
<0932> 男Ｆ

//<0933> イケパイ
<0933> イケパイ

//<0934> 男
<0934> 男

//<0935> ？？
<0935> ？？

//<0936> 「必要以上のことはしない。さらに追い込んでいくと食事の量も多くなり、松下五段のような体になる…」
<0936> 「必要以上のことはしない。さらに追い込んでいくと食事の量も多くなり、松下五段のような体になる…」

//<0937> 音無
<0937> 音無

//<0938> クソ坊主
<0938> クソ坊主

//<0939> 代理人
<0939> 代理人

//<0940> 微妙すぎるイケメン
<0940> 微妙すぎるイケメン

//<0941> ロリコン
<0941> ロリコン

//<0942> メガネ仲間
<0942> メガネ仲間

//<0943> 暗算日本記録保持者
<0943> 暗算日本記録保持者

//<0944> 通り魔
<0944> 通り魔

//<0945> 記憶ナシ男
<0945> 記憶ナシ男

//<0946> 音速
<0946> 音速

//<0947> 無限
<0947> 無限

//<0948> エロ侍
<0948> エロ侍

//<0949> エロエロ団ナンバー１
<0949> エロエロ団ナンバー１

//<0950> ただのエロ少年
<0950> ただのエロ少年

//<0951> ユリブサイク
<0951> ユリブサイク

//<0952> ドピュッシー
<0952> ドピュッシー

//<0953> アメリカンエロドッグ
<0953> アメリカンエロドッグ

//<0954> ゼウス
<0954> ゼウス

//<0955> 日向markⅡ
<0955> 日向markⅡ

//<0956> 糞虫
<0956> 糞虫

//<0957> 量産型日向
<0957> 量産型日向

//<0958> ？？
<0958> ？？

//<0959> 「なるほどな」
<0959> 「なるほどな」

//<0960> こんな世界でも、バランスが大切ということか。
<0960> こんな世界でも、バランスが大切ということか。

//<0961> ただ、気のせいか野田は少し落ち込んでいるように見える。
<0961> ただ、気のせいか野田は少し落ち込んでいるように見える。

//<0962> 声をかけられそうな雰囲気じゃなくなったので、そのまま立ち去ることにした。
<0962> 声をかけられそうな雰囲気じゃなくなったので、そのまま立ち去ることにした。

//<0963> 音無
<0963> 音無

//<0964> クソ坊主
<0964> クソ坊主

//<0965> 代理人
<0965> 代理人

//<0966> 微妙すぎるイケメン
<0966> 微妙すぎるイケメン

//<0967> ロリコン
<0967> ロリコン

//<0968> メガネ仲間
<0968> メガネ仲間

//<0969> 暗算日本記録保持者
<0969> 暗算日本記録保持者

//<0970> 通り魔
<0970> 通り魔

//<0971> 記憶ナシ男
<0971> 記憶ナシ男

//<0972> 音速
<0972> 音速

//<0973> 無限
<0973> 無限

//<0974> エロ侍
<0974> エロ侍

//<0975> エロエロ団ナンバー１
<0975> エロエロ団ナンバー１

//<0976> ただのエロ少年
<0976> ただのエロ少年

//<0977> ユリブサイク
<0977> ユリブサイク

//<0978> ドピュッシー
<0978> ドピュッシー

//<0979> アメリカンエロドッグ
<0979> アメリカンエロドッグ

//<0980> ゼウス
<0980> ゼウス

//<0981> 日向markⅡ
<0981> 日向markⅡ

//<0982> 糞虫
<0982> 糞虫

//<0983> 量産型日向
<0983> 量産型日向

//<0984> ？？
<0984> ？？

//<0985> 「ちょっと手合わせをしてくれないか？」
<0985> 「ちょっと手合わせをしてくれないか？」

//<0986> nothing
<0986> nothing

//<0987> nothing
<0987> nothing

//<0988> nothing
<0988> nothing

//<0989> nothing
<0989> nothing

//<0990> nothing
<0990> nothing

//<0991> 野田
<0991> 野田

//<0992> 男Ｆ
<0992> 男Ｆ

//<0993> イケパイ
<0993> イケパイ

//<0994> 男
<0994> 男

//<0995> ？？
<0995> ？？

//<0996> 「ほう」
<0996> 「ほう」

//<0997> 音無
<0997> 音無

//<0998> クソ坊主
<0998> クソ坊主

//<0999> 代理人
<0999> 代理人

//<1000> 微妙すぎるイケメン
<1000> 微妙すぎるイケメン

//<1001> ロリコン
<1001> ロリコン

//<1002> メガネ仲間
<1002> メガネ仲間

//<1003> 暗算日本記録保持者
<1003> 暗算日本記録保持者

//<1004> 通り魔
<1004> 通り魔

//<1005> 記憶ナシ男
<1005> 記憶ナシ男

//<1006> 音速
<1006> 音速

//<1007> 無限
<1007> 無限

//<1008> エロ侍
<1008> エロ侍

//<1009> エロエロ団ナンバー１
<1009> エロエロ団ナンバー１

//<1010> ただのエロ少年
<1010> ただのエロ少年

//<1011> ユリブサイク
<1011> ユリブサイク

//<1012> ドピュッシー
<1012> ドピュッシー

//<1013> アメリカンエロドッグ
<1013> アメリカンエロドッグ

//<1014> ゼウス
<1014> ゼウス

//<1015> 日向markⅡ
<1015> 日向markⅡ

//<1016> 糞虫
<1016> 糞虫

//<1017> 量産型日向
<1017> 量産型日向

//<1018> ？？
<1018> ？？

//<1019> 「この世界でやっていくのに、自分がどれくらい力があるのか確かめたい」
<1019> 「この世界でやっていくのに、自分がどれくらい力があるのか確かめたい」

//<1020> nothing
<1020> nothing

//<1021> nothing
<1021> nothing

//<1022> nothing
<1022> nothing

//<1023> nothing
<1023> nothing

//<1024> nothing
<1024> nothing

//<1025> 野田
<1025> 野田

//<1026> 男Ｆ
<1026> 男Ｆ

//<1027> イケパイ
<1027> イケパイ

//<1028> 男
<1028> 男

//<1029> ？？
<1029> ？？

//<1030> 「そうか…なら準備をしよう」
<1030> 「そうか…なら準備をしよう」

//<1031> nothing
<1031> nothing

//<1032> nothing
<1032> nothing

//<1033> nothing
<1033> nothing

//<1034> nothing
<1034> nothing

//<1035> nothing
<1035> nothing

//<1036> 野田が一度居なくなり、再び戻ってきた。でかい巾着袋を引きずりながら。
<1036> 野田が一度居なくなり、再び戻ってきた。でかい巾着袋を引きずりながら。

//<1037> nothing
<1037> nothing

//<1038> nothing
<1038> nothing

//<1039> nothing
<1039> nothing

//<1040> nothing
<1040> nothing

//<1041> nothing
<1041> nothing

//<1042> 野田
<1042> 野田

//<1043> 男Ｆ
<1043> 男Ｆ

//<1044> イケパイ
<1044> イケパイ

//<1045> 男
<1045> 男

//<1046> ？？
<1046> ？？

//<1047> 「ほらっ、これらから得物を選べ」
<1047> 「ほらっ、これらから得物を選べ」

//<1048> 巾着袋から武器を取り出し、ぼとりぼとりと地面に投げていく。
<1048> 巾着袋から武器を取り出し、ぼとりぼとりと地面に投げていく。

//<1049> nothing
<1049> nothing

//<1050> nothing
<1050> nothing

//<1051> nothing
<1051> nothing

//<1052> nothing
<1052> nothing

//<1053> nothing
<1053> nothing

//<1054> 野田
<1054> 野田

//<1055> 男Ｆ
<1055> 男Ｆ

//<1056> イケパイ
<1056> イケパイ

//<1057> 男
<1057> 男

//<1058> ？？
<1058> ？？

//<1059> 「モーニングスター、スピア、レイピア、日本刀」
<1059> 「モーニングスター、スピア、レイピア、日本刀」

//<1060> nothing
<1060> nothing

//<1061> nothing
<1061> nothing

//<1062> nothing
<1062> nothing

//<1063> nothing
<1063> nothing

//<1064> nothing
<1064> nothing

//<1065> 野田
<1065> 野田

//<1066> 男Ｆ
<1066> 男Ｆ

//<1067> イケパイ
<1067> イケパイ

//<1068> 男
<1068> 男

//<1069> ？？
<1069> ？？

//<1070> 「自信があるなら、二刀流でも構わない」
<1070> 「自信があるなら、二刀流でも構わない」

//<1071> nothing
<1071> nothing

//<1072> nothing
<1072> nothing

//<1073> nothing
<1073> nothing

//<1074> nothing
<1074> nothing

//<1075> nothing
<1075> nothing

//<1076> nothing
<1076> nothing

//<1077> なぜ西洋の武器まで揃っているんだ…。誰かが趣味で作っているのだろうか…。
<1077> なぜ西洋の武器まで揃っているんだ…。誰かが趣味で作っているのだろうか…。

//<1078> この中から選ぶとしたら、日本刀しかなかった。
<1078> この中から選ぶとしたら、日本刀しかなかった。

//<1079> 実際手に持ち、その刃を近くに見ると、なんて受け答えをしてしまったのかと、恐怖を覚える。
<1079> 実際手に持ち、その刃を近くに見ると、なんて受け答えをしてしまったのかと、恐怖を覚える。

//<1080> nothing
<1080> nothing

//<1081> nothing
<1081> nothing

//<1082> nothing
<1082> nothing

//<1083> nothing
<1083> nothing

//<1084> nothing
<1084> nothing

//<1085> 野田
<1085> 野田

//<1086> 男Ｆ
<1086> 男Ｆ

//<1087> イケパイ
<1087> イケパイ

//<1088> 男
<1088> 男

//<1089> ？？
<1089> ？？

//<1090> 「よし、じゃ、手合わせだ、いくぞ！」
<1090> 「よし、じゃ、手合わせだ、いくぞ！」

//<1091> 音無
<1091> 音無

//<1092> クソ坊主
<1092> クソ坊主

//<1093> 代理人
<1093> 代理人

//<1094> 微妙すぎるイケメン
<1094> 微妙すぎるイケメン

//<1095> ロリコン
<1095> ロリコン

