// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- EPISODE.Matsushita
<0000> -1st beat- EPISODE.Matsushita

//<0001> 松下

//<6815> 松下
<6815> 松下

//<6816> 「同級生はからかいの言葉を口にした」
<6816> 「同級生はからかいの言葉を口にした」

//<6817> 松下
<6817> 松下

//<6818> 「…俺は、それに反論せずに、黙っていた」
<6818> 「…俺は、それに反論せずに、黙っていた」

//<6819> 松下
<6819> 松下

//<6820> 「そして、陽菜子さんを置いて、一緒になって遊びに行ってしまったんだ」
<6820> 「そして、陽菜子さんを置いて、一緒になって遊びに行ってしまったんだ」

//<6821> 松下
<6821> 松下

//<6822> 「夕暮れになるまで遊んで、叔母の家に帰ったら、陽菜子さんは先に戻っていた」
<6822> 「夕暮れになるまで遊んで、叔母の家に帰ったら、陽菜子さんは先に戻っていた」

//<6823> 松下
<6823> 松下

//<6824> 「母親には、ひどく叱られた」
<6824> 「母親には、ひどく叱られた」

//<6825> 松下
<6825> 松下

//<6826> 「だが、陽菜子さんは俺をかばってくれた」
<6826> 「だが、陽菜子さんは俺をかばってくれた」

//<6827> 陽菜子
<6827> 陽菜子

//<6828> 「お友達と一緒に、遊びたいよね。ごめんね」
<6828> 「お友達と一緒に、遊びたいよね。ごめんね」

//<6829> 陽菜子
<6829> 陽菜子

//<6830> 「私なら、ひとりでもぜんぜん大丈夫だから」
<6830> 「私なら、ひとりでもぜんぜん大丈夫だから」

//<6831> 陽菜子
<6831> 陽菜子

//<6832> 「私は、強いんだから」
<6832> 「私は、強いんだから」

//<6833> nothing
<6833> nothing

//<6834> nothing
<6834> nothing

//<6835> nothing
<6835> nothing

//<6836> nothing
<6836> nothing

//<6837> nothing
<6837> nothing

//<6838> 松下
<6838> 松下

//<6839> 「…と」
<6839> 「…と」

//<6840> 松下
<6840> 松下

//<6841> 「確かに、その言葉通り、陽菜子さんは視力がほとんど無いとは思えないほど、強い人だった」
<6841> 「確かに、その言葉通り、陽菜子さんは視力がほとんど無いとは思えないほど、強い人だった」

//<6842> 松下
<6842> 松下

//<6843> 「…今思うと、俺は、そんな彼女に甘えていたんだな」
<6843> 「…今思うと、俺は、そんな彼女に甘えていたんだな」

//<6844> そして、病気によって護騨の目が見えなくなってしまう。
<6844> そして、病気によって護騨の目が見えなくなってしまう。

//<6845> 松下
<6845> 松下

//<6846> 「高熱に一週間うなされていた間のことは、ほとんど覚えていない」
<6846> 「高熱に一週間うなされていた間のことは、ほとんど覚えていない」

//<6847> 松下
<6847> 松下

//<6848> 「目が覚めた、という感覚もない。気がついたら、俺の目は光を失っていた」
<6848> 「目が覚めた、という感覚もない。気がついたら、俺の目は光を失っていた」

//<6849> 松下
<6849> 松下

//<6850> 「何が起きたのか、わからなかった…」
<6850> 「何が起きたのか、わからなかった…」

//<6851> 松下
<6851> 松下

//<6852> 「俺の中では、時間が目が見えていた時から、見えなくなった時へと急に飛んだとしか思えなかった」
<6852> 「俺の中では、時間が目が見えていた時から、見えなくなった時へと急に飛んだとしか思えなかった」

//<6853> 俺は想像してみる。
<6853> 俺は想像してみる。

//<6854> 目が開いているのに、何も見えない。
<6854> 目が開いているのに、何も見えない。

//<6855> 真っ暗な世界。
<6855> 真っ暗な世界。

//<6856> 音はする、手を伸ばせば、何かが触れる感触はある。
<6856> 音はする、手を伸ばせば、何かが触れる感触はある。

//<6857> 自分の部屋ならば、それが枕や布団だろうと想像はつくかも知れない。
<6857> 自分の部屋ならば、それが枕や布団だろうと想像はつくかも知れない。

//<6858> それ自体は、寝起きと変わらない。
<6858> それ自体は、寝起きと変わらない。

//<6859> だが、目をしっかりと開けていても何も見えないのだ。
<6859> だが、目をしっかりと開けていても何も見えないのだ。

//<6860> 松下
<6860> 松下

//<6861> 「俺は、まず自分の顔に手をやった」
<6861> 「俺は、まず自分の顔に手をやった」

//<6862> 松下
<6862> 松下

//<6863> 「目、鼻、口、耳がちゃんとあるのを確認して、少しだけホッとした」
<6863> 「目、鼻、口、耳がちゃんとあるのを確認して、少しだけホッとした」

//<6864> 松下
<6864> 松下

//<6865> 「自分が、自分のままだとわかったことに」
<6865> 「自分が、自分のままだとわかったことに」

//<6866> 松下
<6866> 松下

//<6867> 「俺は入院していた。目が覚めたのも、ベッドの上だった」
<6867> 「俺は入院していた。目が覚めたのも、ベッドの上だった」

//<6868> 松下
<6868> 松下

//<6869> 「七日も高熱で意識を失っていたのだから、当然だな」
<6869> 「七日も高熱で意識を失っていたのだから、当然だな」

//<6870> 松下
<6870> 松下

//<6871> 「検査を受けると、やはり視力は失われ、もう戻らないだろうということだった」
<6871> 「検査を受けると、やはり視力は失われ、もう戻らないだろうということだった」

//<6872> …護騨は、あっさりと言う。
<6872> …護騨は、あっさりと言う。

//<6873> 松下
<6873> 松下

//<6874> 「陽菜子さんは、すぐに見舞いに来てくれた」
<6874> 「陽菜子さんは、すぐに見舞いに来てくれた」

//<6875> 陽菜子
<6875> 陽菜子

//<6876> 「騨ちゃん、大丈夫。私がいるからね」
<6876> 「騨ちゃん、大丈夫。私がいるからね」

//<6877> nothing
<6877> nothing

//<6878> nothing
<6878> nothing

//<6879> nothing
<6879> nothing

//<6880> nothing
<6880> nothing

//<6881> nothing
<6881> nothing

//<6882> 松下
<6882> 松下

//<6883> 消去
<6883> 消去

//<6884> 松下
<6884> 松下

//<6885> 「そう陽菜子さんは言ってくれた」
<6885> 「そう陽菜子さんは言ってくれた」

//<6886> 松下
<6886> 松下

//<6887> 「確かに、障害者として先輩に当たる彼女は心強い存在だったはずだ」
<6887> 「確かに、障害者として先輩に当たる彼女は心強い存在だったはずだ」

//<6888> 松下
<6888> 松下

//<6889> 「だが、その時の俺は、そんなことを考える余裕はなかった」
<6889> 「だが、その時の俺は、そんなことを考える余裕はなかった」

//<6890> 松下
<6890> 松下

//<6891> 「いつかの日のことが思い出される」
<6891> 「いつかの日のことが思い出される」

//<6892> 松下
<6892> 松下

//<6893> 「俺は陽菜子さんを見捨てて、友達と遊びに行ってしまった」
<6893> 「俺は陽菜子さんを見捨てて、友達と遊びに行ってしまった」

//<6894> 松下
<6894> 松下

//<6895> 「ならば、今度は俺が見捨てられる番なんじゃないだろうか」
<6895> 「ならば、今度は俺が見捨てられる番なんじゃないだろうか」

//<6896> 松下
<6896> 松下

//<6897> 「楽しかったサッカーもバスケも、もう出来ない」
<6897> 「楽しかったサッカーもバスケも、もう出来ない」

//<6898> 松下
<6898> 松下

//<6899> 「何よりも、暗闇が怖かった」
<6899> 「何よりも、暗闇が怖かった」

//<6900> 松下
<6900> 松下

//<6901> 「それまで、見えていたものが見えない」
<6901> 「それまで、見えていたものが見えない」

//<6902> 松下
<6902> 松下

//<6903> 「生活が不便になるだけじゃない」
<6903> 「生活が不便になるだけじゃない」

//<6904> 松下
<6904> 松下

//<6905> 「人の表情が見えない」
<6905> 「人の表情が見えない」

//<6906> 松下
<6906> 松下

//<6907> 「それは、つまり相手が何を考えているかわからないということだ」
<6907> 「それは、つまり相手が何を考えているかわからないということだ」

//<6908> 松下
<6908> 松下

//<6909> 「同級生も見舞いに来てくれた」
<6909> 「同級生も見舞いに来てくれた」

//<6910> 松下
<6910> 松下

//<6911> 「優しい言葉をかけてくれた」
<6911> 「優しい言葉をかけてくれた」

//<6912> 松下
<6912> 松下

//<6913> 「でも本当は、顔は嘲笑ってるんじゃないか。自分を馬鹿にしてるんじゃないか」
<6913> 「でも本当は、顔は嘲笑ってるんじゃないか。自分を馬鹿にしてるんじゃないか」

//<6914> 松下
<6914> 松下

//<6915> 「言葉だけなら、なんとでも言える…」
<6915> 「言葉だけなら、なんとでも言える…」

//<6916> 松下
<6916> 松下

//<6917> 「…今にして思えば、随分と嫌な子供だな」
<6917> 「…今にして思えば、随分と嫌な子供だな」

//<6918> 松下
<6918> 松下

//<6919> 「だが、その時の俺は本当にそう思っていた」
<6919> 「だが、その時の俺は本当にそう思っていた」

//<6920> 松下
<6920> 松下

//<6921> 「退院してからも、俺は日常生活に復帰するためのリハビリをする気にもなれずに、家に閉じこもっていた」
<6921> 「退院してからも、俺は日常生活に復帰するためのリハビリをする気にもなれずに、家に閉じこもっていた」

//<6922> 松下
<6922> 松下

//<6923> 「両親も腫れ物を触るような扱いで、そっとしていた」
<6923> 「両親も腫れ物を触るような扱いで、そっとしていた」

//<6924> 松下
<6924> 松下

//<6925> 「ひと月ほどが過ぎて、また陽菜子さんが訪ねてきた」
<6925> 「ひと月ほどが過ぎて、また陽菜子さんが訪ねてきた」

//<6926> 松下
<6926> 松下

//<6927> 「…『騨ちゃん』と」
<6927> 「…『騨ちゃん』と」

//<6928> 部屋に入ってきた彼女は、部屋の片隅に座る俺をぎゅっと抱き寄せた。
<6928> 部屋に入ってきた彼女は、部屋の片隅に座る俺をぎゅっと抱き寄せた。

//<6929> 以前ならば嫌がるところだが、その時はされるがままに任せていた。
<6929> 以前ならば嫌がるところだが、その時はされるがままに任せていた。

//<6930> 松下
<6930> 松下

//<6931> 「彼女は何も言わず、ずっと俺を抱きしめていた」
<6931> 「彼女は何も言わず、ずっと俺を抱きしめていた」

//<6932> 松下
<6932> 松下

//<6933> 「俺も、何も言わなかった」
<6933> 「俺も、何も言わなかった」

//<6934> 松下
<6934> 松下

//<6935> 「俺は、ただただ、彼女の胸の中でじっとしていた」
<6935> 「俺は、ただただ、彼女の胸の中でじっとしていた」

//<6936> 松下
<6936> 松下

//<6937> 「ねえ、陽菜姉ちゃん。目が見えないってどんな感じ？」
<6937> 「ねえ、陽菜姉ちゃん。目が見えないってどんな感じ？」

//<6938> ようやく、俺は口を開いた。
<6938> ようやく、俺は口を開いた。

//<6939> 陽菜子
<6939> 陽菜子

//<6940> 「さあ」
<6940> 「さあ」

//<6941> きっと、彼女は首を捻ったのだと思う。
<6941> きっと、彼女は首を捻ったのだと思う。

//<6942> 陽菜子
<6942> 陽菜子

//<6943> 「ごめんね、よくわからないの」
<6943> 「ごめんね、よくわからないの」

//<6944> 陽菜子
<6944> 陽菜子

//<6945> 「だって、私は目が見えていたことがないからね」
<6945> 「だって、私は目が見えていたことがないからね」

//<6946> 陽菜子
<6946> 陽菜子

//<6947> 「だから、騨ちゃんの苦しみはわからないの…」
<6947> 「だから、騨ちゃんの苦しみはわからないの…」

//<6948> 陽菜子
<6948> 陽菜子

//<6949> 「ごめんね、ごめんね、騨ちゃん」
<6949> 「ごめんね、ごめんね、騨ちゃん」

//<6950> 陽菜子
<6950> 陽菜子

//<6951> 「わかってあげられなくて、ごめんね」
<6951> 「わかってあげられなくて、ごめんね」

//<6952> 嗚咽混じりに、彼女が繰り返す。
<6952> 嗚咽混じりに、彼女が繰り返す。

//<6953> どうして、彼女が謝るのだろう。
<6953> どうして、彼女が謝るのだろう。

//<6954> 陽菜子さんの腕の中で、俺も泣きそうになる。
<6954> 陽菜子さんの腕の中で、俺も泣きそうになる。

//<6955> 松下
<6955> 松下

//<6956> 「泣かないで、と俺は絞りだすように告げた」
<6956> 「泣かないで、と俺は絞りだすように告げた」

//<6957> 陽菜子
<6957> 陽菜子

//<6958> 「うひ」
<6958> 「うひ」

//<6959> 松下
<6959> 松下

//<6960> 「それは、しゃっくりと、涙と『うん』が混じった、変な声だった。だから…」
<6960> 「それは、しゃっくりと、涙と『うん』が混じった、変な声だった。だから…」

//<6961> 松下
<6961> 松下

//<6962> 「俺は思わず、ぷっと笑っちまった」
<6962> 「俺は思わず、ぷっと笑っちまった」

//<6963> 松下
<6963> 松下

//<6964> 「泣かないで、と俺は絞りだすように告げた」
<6964> 「泣かないで、と俺は絞りだすように告げた」

//<6965> 陽菜子
<6965> 陽菜子

//<6966> 「うひ」
<6966> 「うひ」

//<6967> 松下
<6967> 松下

//<6968> 「それは、しゃっくりと、涙と『うん』が混じった、変な声だった。だから…」
<6968> 「それは、しゃっくりと、涙と『うん』が混じった、変な声だった。だから…」

//<6969> 松下
<6969> 松下

//<6970> 「俺は思わず、ぷっと笑ってしまった」
<6970> 「俺は思わず、ぷっと笑ってしまった」

//<6971> 陽菜子
<6971> 陽菜子

//<6972> 「もう、笑わないでよ」
<6972> 「もう、笑わないでよ」

//<6973> 陽菜子さんも、笑い声混じりに言う。
<6973> 陽菜子さんも、笑い声混じりに言う。

//<6974> それから、おかしくて、ふたりで笑った。
<6974> それから、おかしくて、ふたりで笑った。

//<6975> 陽菜子さんから、ちょっと外に行こうか、と提案された。
<6975> 陽菜子さんから、ちょっと外に行こうか、と提案された。

//<6976> 不思議と、素直に従う気になった。
<6976> 不思議と、素直に従う気になった。

//<6977> 彼女に手を引かれて、俺は階段を降りる。
<6977> 彼女に手を引かれて、俺は階段を降りる。

//<6978> 陽菜子
<6978> 陽菜子

//<6979> 「大丈夫？　怖くない？」
<6979> 「大丈夫？　怖くない？」

//<6980> 慣れ親しんだ自分の家でさえも、目が見えないと恐ろしい。
<6980> 慣れ親しんだ自分の家でさえも、目が見えないと恐ろしい。

//<6981> 次の一歩を踏み外したら、下まで落ちてしまうんじゃないかと思ってしまう。
<6981> 次の一歩を踏み外したら、下まで落ちてしまうんじゃないかと思ってしまう。

//<6982> だから、滅多に階段を降りることもできなかった。
<6982> だから、滅多に階段を降りることもできなかった。

//<6983> でも、彼女と一緒ならば、大丈夫だった。
<6983> でも、彼女と一緒ならば、大丈夫だった。

//<6984> 陽菜子さんと一緒に出てきた俺を見て、両親も驚いたようだ。
<6984> 陽菜子さんと一緒に出てきた俺を見て、両親も驚いたようだ。

//<6985> 久しぶりに、家の外に出ることになったのだから。
<6985> 久しぶりに、家の外に出ることになったのだから。

//<6986> 陽菜子
<6986> 陽菜子

//<6987> 「ねえ、わかる？」
<6987> 「ねえ、わかる？」

//<6988> 唐突に彼女が訊いてきた。
<6988> 唐突に彼女が訊いてきた。

//<6989> 何が何やらわからず、俺は首を左右に振る。
<6989> 何が何やらわからず、俺は首を左右に振る。

//<6990> 白
<6990> 白

//<6991> 陽菜子
<6991> 陽菜子

//<6992> 「あのね、太陽ってあったかいよね」
<6992> 「あのね、太陽ってあったかいよね」

//<6993> 陽菜子
<6993> 陽菜子

//<6994> 「それに、風って気持ちいいよね」
<6994> 「それに、風って気持ちいいよね」

//<6995> 俺は彼女の言葉には、直接答えない。
<6995> 俺は彼女の言葉には、直接答えない。

//<6996> 松下
<6996> 松下

//<6997> 「…今日って、何日だっけ？」
<6997> 「…今日って、何日だっけ？」

//<6998> そう代わりに、質問した。
<6998> そう代わりに、質問した。

//<6999> 俺は、時間の感覚もわからなくなっていた。
<6999> 俺は、時間の感覚もわからなくなっていた。

//<7000> と言うよりも、そんなことを気にする余裕がなかった。
<7000> と言うよりも、そんなことを気にする余裕がなかった。

//<7001> 陽菜子
<7001> 陽菜子

//<7002> 「今は、五月で連休が明けたばかりよ」
<7002> 「今は、五月で連休が明けたばかりよ」

//<7003> 俺は学年が変わっても、学校にも行かずに、ずっと引きこもっていたんだ。
<7003> 俺は学年が変わっても、学校にも行かずに、ずっと引きこもっていたんだ。

//<7004> 風とともに、ようやく、俺の時間が流れ始めた。
<7004> 風とともに、ようやく、俺の時間が流れ始めた。

//<7005> 感覚が戻ってくる。
<7005> 感覚が戻ってくる。

//<7006> 松下
<7006> 松下

//<7007> 「あたたかいね」
<7007> 「あたたかいね」

//<7008> 頬に太陽の暖かさを、肌に春の風を感じた。
<7008> 頬に太陽の暖かさを、肌に春の風を感じた。

//<7009> それから、木の匂い。
<7009> それから、木の匂い。

//<7010> 陽菜子
<7010> 陽菜子

//<7011> 「うん、鼻の奥をくすぐる甘いみたいな、すっとするみたいな、そんな匂い」
<7011> 「うん、鼻の奥をくすぐる甘いみたいな、すっとするみたいな、そんな匂い」

//<7012> 陽菜子
<7012> 陽菜子

//<7013> 「これが春の匂いよ」
<7013> 「これが春の匂いよ」

//<7014> 松下
<7014> 松下

//<7015> 「よく…わからない…」
<7015> 「よく…わからない…」

//<7016> 陽菜子
<7016> 陽菜子

//<7017> 「今はわからなくても、段々とわかるようになってくるわ」
<7017> 「今はわからなくても、段々とわかるようになってくるわ」

//<7018> 俺はまだ疑心暗鬼だった。本当にそんな日が来るのか。
<7018> 俺はまだ疑心暗鬼だった。本当にそんな日が来るのか。

//<7019> 陽菜子
<7019> 陽菜子

//<7020> 「絶対来る」
<7020> 「絶対来る」

//<7021> 陽菜子
<7021> 陽菜子

//<7022> 「それに、目が見えなくても困ったことはないよ」
<7022> 「それに、目が見えなくても困ったことはないよ」

//<7023> 陽菜子
<7023> 陽菜子

//<7024> 「もし、これから先、例えば私の足が動かなくなったり、耳が聞こえなくなったりしたら…」
<7024> 「もし、これから先、例えば私の足が動かなくなったり、耳が聞こえなくなったりしたら…」

//<7025> 陽菜子
<7025> 陽菜子

//<7026> 「多分、最初はちょっと戸惑う」
<7026> 「多分、最初はちょっと戸惑う」

//<7027> 陽菜子
<7027> 陽菜子

//<7028> 「でも、きっと慣れると思う」
<7028> 「でも、きっと慣れると思う」

//<7029> 松下
<7029> 松下

//<7030> 「…………」
<7030> 「…………」

//<7031> なぜだか、俺はまた泣きそうになる。
<7031> なぜだか、俺はまた泣きそうになる。

//<7032> 彼女の強さが、とても辛かった。
<7032> 彼女の強さが、とても辛かった。

//<7033> 俺が涙を堪えているのを感じて、彼女は勘違いをしたようだ。
<7033> 俺が涙を堪えているのを感じて、彼女は勘違いをしたようだ。

//<7034> 陽菜子
<7034> 陽菜子

//<7035> 「騨ちゃんは、まだちっちゃいもんね、やっぱり辛いよね」
<7035> 「騨ちゃんは、まだちっちゃいもんね、やっぱり辛いよね」

//<7036> そう言って、俺の体を抱き寄せた。
<7036> そう言って、俺の体を抱き寄せた。

//<7037> 松下
<7037> 松下

//<7038> 「陽菜子さんは暖かかった」
<7038> 「陽菜子さんは暖かかった」

//<7039> 松下
<7039> 松下

//<7040> 「陽菜子さんは柔らかかった」
<7040> 「陽菜子さんは柔らかかった」

//<7041> 松下
<7041> 松下

//<7042> 「陽菜子さんは優しかった」
<7042> 「陽菜子さんは優しかった」

//<7043> 松下
<7043> 松下

//<7044> 「そして、陽菜子さんからはいい香りがした」
<7044> 「そして、陽菜子さんからはいい香りがした」

//<7045> 松下
<7045> 松下

//<7046> 「暖かな布団に包まれる時のような、安心できる匂い」
<7046> 「暖かな布団に包まれる時のような、安心できる匂い」

//<7047> 松下
<7047> 松下

//<7048> 「それはお陽様の匂いだと、俺は思った」
<7048> 「それはお陽様の匂いだと、俺は思った」

//<7049> 松下
<7049> 松下

//<7050> 「そして、きっと、これが春の匂いなんだと」
<7050> 「そして、きっと、これが春の匂いなんだと」

//<7051> 松下
<7051> 松下

//<7052> 「陽菜子さんは暖かかった」
<7052> 「陽菜子さんは暖かかった」

//<7053> 松下
<7053> 松下

//<7054> 「陽菜子さんは柔らかかった」
<7054> 「陽菜子さんは柔らかかった」

//<7055> 松下
<7055> 松下

//<7056> 「陽菜子は優しかった」
<7056> 「陽菜子は優しかった」

//<7057> 松下
<7057> 松下

//<7058> 「そして、陽菜子さんからはいい香りがした」
<7058> 「そして、陽菜子さんからはいい香りがした」

//<7059> 松下
<7059> 松下

//<7060> 「暖かな布団に包まれる時のような、安心できる匂い」
<7060> 「暖かな布団に包まれる時のような、安心できる匂い」

//<7061> 松下
<7061> 松下

//<7062> 「それはお陽様の匂いだと、俺は思った」
<7062> 「それはお陽様の匂いだと、俺は思った」

//<7063> 松下
<7063> 松下

//<7064> 「そして、きっと、これが春の匂いなんだと」
<7064> 「そして、きっと、これが春の匂いなんだと」

//<7065> 松下
<7065> 松下

//<7066> 「…陽菜姉ちゃん、いい匂いがする」
<7066> 「…陽菜姉ちゃん、いい匂いがする」

//<7067> ぽつり、と呟くと、陽菜子さんはしばらく静かだった後。
<7067> ぽつり、と呟くと、陽菜子さんはしばらく静かだった後。

//<7068> 陽菜子
<7068> 陽菜子

//<7069> 「それは、きっとお陽様の匂いだよ」
<7069> 「それは、きっとお陽様の匂いだよ」

//<7070> 陽菜子
<7070> 陽菜子

//<7071> 「昨日、制服をお洗濯したからね」
<7071> 「昨日、制服をお洗濯したからね」

//<7072> そう言った。
<7072> そう言った。

//<7073> 松下
<7073> 松下

//<7074> 「本当は、陽菜子さん自身からしていると言いたかったが、それは恥ずかしくて言えなかった」
<7074> 「本当は、陽菜子さん自身からしていると言いたかったが、それは恥ずかしくて言えなかった」

//<7075> 松下
<7075> 松下

//<7076> 「彼女は大きかった」
<7076> 「彼女は大きかった」

//<7077> 松下
<7077> 松下

//<7078> 「同学年に比べれば体が大きい方だと言っても、所詮、俺は小学生だ」
<7078> 「同学年に比べれば体が大きい方だと言っても、所詮、俺は小学生だ」

//<7079> 松下
<7079> 松下

//<7080> 「女子高生の陽菜子さんに比べたら、小さいのは仕方ねぇ」
<7080> 「女子高生の陽菜子さんに比べたら、小さいのは仕方ねぇ」

//<7081> 松下
<7081> 松下

//<7082> 「俺の頭は、彼女の胸の辺りまでしかなく、俺は彼女に包み込まれるようだった」
<7082> 「俺の頭は、彼女の胸の辺りまでしかなく、俺は彼女に包み込まれるようだった」

//<7083> nothing
<7083> nothing

//<7084> nothing
<7084> nothing

//<7085> nothing
<7085> nothing

//<7086> nothing
<7086> nothing

//<7087> nothing
<7087> nothing

//<7088> 松下
<7088> 松下

//<7089> 「…知らなかったんだ」
<7089> 「…知らなかったんだ」

//<7090> 松下
<7090> 松下

//<7091> 「いや、気づかなかったんだ」
<7091> 「いや、気づかなかったんだ」

//<7092> 松下
<7092> 松下

//<7093> 「気づこうとも、しなかった」
<7093> 「気づこうとも、しなかった」

//<7094> 松下
<7094> 松下

//<7095> 「生まれつき視力が弱く、いつものんびりした彼女が、こんなにも大きな存在だったとは」
<7095> 「生まれつき視力が弱く、いつものんびりした彼女が、こんなにも大きな存在だったとは」

//<7096> 松下
<7096> 松下

//<7097> 「…大丈夫。平気だ、と答えたが、そうして甘えている自分が、恥ずかしくなった」
<7097> 「…大丈夫。平気だ、と答えたが、そうして甘えている自分が、恥ずかしくなった」

//<7098> 松下
<7098> 松下

//<7099> 「そして俺は、その空気を変えるため、訊いてみたんだ」
<7099> 「そして俺は、その空気を変えるため、訊いてみたんだ」

//<7100> 松下
<7100> 松下

//<7101> 「ねぇ…俺にもできるスポーツは何かあるかな…て」
<7101> 「ねぇ…俺にもできるスポーツは何かあるかな…て」

//<7102> 松下
<7102> 松下

//<7103> 「彼女は、もちろん、あるよと答えてくれた」
<7103> 「彼女は、もちろん、あるよと答えてくれた」

//<7104> 松下
<7104> 松下

//<7105> 「『騨ちゃんは、体がおっきいんだよね。柔道とか、どうかな』、と」
<7105> 「『騨ちゃんは、体がおっきいんだよね。柔道とか、どうかな』、と」

//<7106> 松下
<7106> 松下

//<7107> 「彼女の声が弾んでいるのが、わかった」
<7107> 「彼女の声が弾んでいるのが、わかった」

//<7108> 松下
<7108> 松下

//<7109> 「本当は、陽菜子さん自身からしていると言いたかったけれど、それは恥ずかしくて言えなかった」
<7109> 「本当は、陽菜子さん自身からしていると言いたかったけれど、それは恥ずかしくて言えなかった」

//<7110> 松下
<7110> 松下

//<7111> 「彼女は大きかった」
<7111> 「彼女は大きかった」

//<7112> 松下
<7112> 松下

//<7113> 「同学年に比べれば体が大きい方だと言っても、所詮、俺は小学生だ」
<7113> 「同学年に比べれば体が大きい方だと言っても、所詮、俺は小学生だ」

//<7114> 松下
<7114> 松下

//<7115> 「女子高生の陽菜子さんに比べたら、小さいのは仕方ない」
<7115> 「女子高生の陽菜子さんに比べたら、小さいのは仕方ない」

//<7116> 松下
<7116> 松下

//<7117> 「俺の頭は、彼女の胸の辺りまでしかなく、俺は彼女に包み込まれるようだった」
<7117> 「俺の頭は、彼女の胸の辺りまでしかなく、俺は彼女に包み込まれるようだった」

//<7118> nothing
<7118> nothing

//<7119> nothing
<7119> nothing

//<7120> nothing
<7120> nothing

//<7121> nothing
<7121> nothing

//<7122> nothing
<7122> nothing

//<7123> 松下
<7123> 松下

//<7124> 「…知らなかったんだ」
<7124> 「…知らなかったんだ」

//<7125> 松下
<7125> 松下

//<7126> 「いや、気づかなかったんだ」
<7126> 「いや、気づかなかったんだ」

//<7127> 松下
<7127> 松下

//<7128> 「気づこうとも、しなかった」
<7128> 「気づこうとも、しなかった」

//<7129> 松下
<7129> 松下

//<7130> 「生まれつき視力が弱く、いつものんびりした彼女が、こんなにも大きな存在だったとは」
<7130> 「生まれつき視力が弱く、いつものんびりした彼女が、こんなにも大きな存在だったとは」

//<7131> 松下
<7131> 松下

//<7132> 「…大丈夫。平気だ、と答えたが、そうして甘えている自分が、恥ずかしくなった」
<7132> 「…大丈夫。平気だ、と答えたが、そうして甘えている自分が、恥ずかしくなった」

//<7133> 松下
<7133> 松下

//<7134> 「そして俺は、その空気を変えるため、訊いてみたんだ」
<7134> 「そして俺は、その空気を変えるため、訊いてみたんだ」

//<7135> 松下
<7135> 松下

//<7136> 「なぁ…俺にもできるスポーツは何かあるかな…と」
<7136> 「なぁ…俺にもできるスポーツは何かあるかな…と」

//<7137> 松下
<7137> 松下

//<7138> 「彼女は、もちろん、あるよと答えてくれた」
<7138> 「彼女は、もちろん、あるよと答えてくれた」

//<7139> 松下
<7139> 松下

//<7140> 「『騨ちゃんは、体がおっきいんだよね。柔道とか、どうかな』、と」
<7140> 「『騨ちゃんは、体がおっきいんだよね。柔道とか、どうかな』、と」

//<7141> 松下
<7141> 松下

//<7142> 「彼女の声が弾んでいるのが、わかった」
<7142> 「彼女の声が弾んでいるのが、わかった」

//<7143> 白
<7143> 白

//<7144> 陽菜子
<7144> 陽菜子

//<7145> 「一度、私の通う盲学校に遊びにおいでよ」
<7145> 「一度、私の通う盲学校に遊びにおいでよ」

//<7146> 陽菜子
<7146> 陽菜子

//<7147> 「きっと、騨ちゃんも楽しいと思うよ」
<7147> 「きっと、騨ちゃんも楽しいと思うよ」

//<7148> 五月のうららかな太陽の下で、きっと彼女は笑っていたと思う。
<7148> 五月のうららかな太陽の下で、きっと彼女は笑っていたと思う。

//<7149> 陽菜子
<7149> 陽菜子

//<7150> 「太陽は、すごいよね」
<7150> 「太陽は、すごいよね」

//<7151> 陽菜子
<7151> 陽菜子

//<7152> 「見えなくても、こんなにもあったかいんだもの」
<7152> 「見えなくても、こんなにもあったかいんだもの」

//<7153> 松下
<7153> 松下

//<7154> 「確かに、その通りだった」
<7154> 「確かに、その通りだった」

//<7155> 松下
<7155> 松下

//<7156> 「目が見えていた時には、当たり前すぎて気づかなかったこと」
<7156> 「目が見えていた時には、当たり前すぎて気づかなかったこと」

//<7157> 松下
<7157> 松下

//<7158> 「もしかしたら、そういうことがたくさんあるのかも知れねぇ」
<7158> 「もしかしたら、そういうことがたくさんあるのかも知れねぇ」

//<7159> 松下
<7159> 松下

//<7160> 「確かに、その通りだった」
<7160> 「確かに、その通りだった」

//<7161> 松下
<7161> 松下

//<7162> 「目が見えていた時には、当たり前すぎて気づかなかったこと」
<7162> 「目が見えていた時には、当たり前すぎて気づかなかったこと」

//<7163> 松下
<7163> 松下

//<7164> 「もしかしたら、そういうことがたくさんあるのかも知れない」
