// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> こんなに受け続けていて、大丈夫なのだろうか…。
<0000> こんなに受け続けていて、大丈夫なのだろうか…。
//<0516> nothing
<0516> nothing

//<0517> nothing
<0517> nothing

//<0518> nothing
<0518> nothing

//<0519> nothing
<0519> nothing

//<0520> nothing
<0520> nothing

//<0521> 天使
<0521> 天使

//<0522> かなで
<0522> かなで

//<0523> 女生徒
<0523> 女生徒

//<0524> ？？
<0524> ？？

//<0525> 「女子寮の一室だけど」
<0525> 「女子寮の一室だけど」

//<0526> 音無
<0526> 音無

//<0527> クソ坊主
<0527> クソ坊主

//<0528> 代理人
<0528> 代理人

//<0529> 微妙すぎるイケメン
<0529> 微妙すぎるイケメン

//<0530> ロリコン
<0530> ロリコン

//<0531> メガネ仲間
<0531> メガネ仲間

//<0532> 暗算日本記録保持者
<0532> 暗算日本記録保持者

//<0533> 通り魔
<0533> 通り魔

//<0534> 記憶ナシ男
<0534> 記憶ナシ男

//<0535> 音速
<0535> 音速

//<0536> 無限
<0536> 無限

//<0537> エロ侍
<0537> エロ侍

//<0538> エロエロ団ナンバー１
<0538> エロエロ団ナンバー１

//<0539> ただのエロ少年
<0539> ただのエロ少年

//<0540> ユリブサイク
<0540> ユリブサイク

//<0541> ドピュッシー
<0541> ドピュッシー

//<0542> アメリカンエロドッグ
<0542> アメリカンエロドッグ

//<0543> ゼウス
<0543> ゼウス

//<0544> 日向markⅡ
<0544> 日向markⅡ

//<0545> 糞虫
<0545> 糞虫

//<0546> 量産型日向
<0546> 量産型日向

//<0547> ？？
<0547> ？？

//<0548> 「えええええぇぇーーー！！」
<0548> 「えええええぇぇーーー！！」

//<0549> nothing
<0549> nothing

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> nothing
<0552> nothing

//<0553> nothing
<0553> nothing

//<0554> 天使
<0554> 天使

//<0555> かなで
<0555> かなで

//<0556> 女生徒
<0556> 女生徒

//<0557> ？？
<0557> ？？

//<0558> 「そんな驚くようなこと？」
<0558> 「そんな驚くようなこと？」

//<0559> nothing
<0559> nothing

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> nothing
<0562> nothing

//<0563> nothing
<0563> nothing

//<0564> 天使
<0564> 天使

//<0565> かなで
<0565> かなで

//<0566> 女生徒
<0566> 女生徒

//<0567> ？？
<0567> ？？

//<0568> 「ま、生徒会長という立場で、特別にひとり部屋だけど」
<0568> 「ま、生徒会長という立場で、特別にひとり部屋だけど」

//<0569> いや、それはカモフラージュかもしれない…。
<0569> いや、それはカモフラージュかもしれない…。

//<0570> 天使エリア、そう呼ばれる場所が他にあるのだ、きっと。
<0570> 天使エリア、そう呼ばれる場所が他にあるのだ、きっと。

//<0571> とにかく俺は伝えた。注意を促した。
<0571> とにかく俺は伝えた。注意を促した。

//<0572> 別に戦線の活動の邪魔をしたいわけでもない。
<0572> 別に戦線の活動の邪魔をしたいわけでもない。

//<0573> ここまでにしておこう。
<0573> ここまでにしておこう。

//<0574> nothing
<0574> nothing

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> nothing
<0577> nothing

//<0578> nothing
<0578> nothing

//<0579> 天使
<0579> 天使

//<0580> かなで
<0580> かなで

//<0581> 女生徒
<0581> 女生徒

//<0582> ？？
<0582> ？？

//<0583> 「そんなに気分が悪いなら、医局まで案内するわ。胃薬ぐらいならすぐ処方してもらえるはず」
<0583> 「そんなに気分が悪いなら、医局まで案内するわ。胃薬ぐらいならすぐ処方してもらえるはず」

//<0584> 音無
<0584> 音無

//<0585> クソ坊主
<0585> クソ坊主

//<0586> 代理人
<0586> 代理人

//<0587> 微妙すぎるイケメン
<0587> 微妙すぎるイケメン

//<0588> ロリコン
<0588> ロリコン

//<0589> メガネ仲間
<0589> メガネ仲間

//<0590> 暗算日本記録保持者
<0590> 暗算日本記録保持者

//<0591> 通り魔
<0591> 通り魔

//<0592> 記憶ナシ男
<0592> 記憶ナシ男

//<0593> 音速
<0593> 音速

//<0594> 無限
<0594> 無限

//<0595> エロ侍
<0595> エロ侍

//<0596> エロエロ団ナンバー１
<0596> エロエロ団ナンバー１

//<0597> ただのエロ少年
<0597> ただのエロ少年

//<0598> ユリブサイク
<0598> ユリブサイク

//<0599> ドピュッシー
<0599> ドピュッシー

//<0600> アメリカンエロドッグ
<0600> アメリカンエロドッグ

//<0601> ゼウス
<0601> ゼウス

//<0602> 日向markⅡ
<0602> 日向markⅡ

//<0603> 糞虫
<0603> 糞虫

//<0604> 量産型日向
<0604> 量産型日向

//<0605> ？？
<0605> ？？

//<0606> 「いやっ、そこまでではないから大丈夫！」
<0606> 「いやっ、そこまでではないから大丈夫！」

//<0607> 今度は元気アピールに切り替える。
<0607> 今度は元気アピールに切り替える。

//<0608> nothing
<0608> nothing

//<0609> nothing
<0609> nothing

//<0610> nothing
<0610> nothing

//<0611> nothing
<0611> nothing

//<0612> nothing
<0612> nothing

//<0613> 天使
<0613> 天使

//<0614> かなで
<0614> かなで

//<0615> 女生徒
<0615> 女生徒

//<0616> ？？
<0616> ？？

//<0617> 「本当？」
<0617> 「本当？」

//<0618> 音無
<0618> 音無

//<0619> クソ坊主
<0619> クソ坊主

//<0620> 代理人
<0620> 代理人

//<0621> 微妙すぎるイケメン
<0621> 微妙すぎるイケメン

//<0622> ロリコン
<0622> ロリコン

//<0623> メガネ仲間
<0623> メガネ仲間

//<0624> 暗算日本記録保持者
<0624> 暗算日本記録保持者

//<0625> 通り魔
<0625> 通り魔

//<0626> 記憶ナシ男
<0626> 記憶ナシ男

//<0627> 音速
<0627> 音速

//<0628> 無限
<0628> 無限

//<0629> エロ侍
<0629> エロ侍

//<0630> エロエロ団ナンバー１
<0630> エロエロ団ナンバー１

//<0631> ただのエロ少年
<0631> ただのエロ少年

//<0632> ユリブサイク
<0632> ユリブサイク

//<0633> ドピュッシー
<0633> ドピュッシー

//<0634> アメリカンエロドッグ
<0634> アメリカンエロドッグ

//<0635> ゼウス
<0635> ゼウス

//<0636> 日向markⅡ
<0636> 日向markⅡ

//<0637> 糞虫
<0637> 糞虫

//<0638> 量産型日向
<0638> 量産型日向

//<0639> ？？
<0639> ？？

//<0640> 「ああ、ほんと。今話してる間でも、だんだん良くなってきてる」
<0640> 「ああ、ほんと。今話してる間でも、だんだん良くなってきてる」

//<0641> nothing
<0641> nothing

//<0642> nothing
<0642> nothing

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> 天使
<0646> 天使

//<0647> かなで
<0647> かなで

//<0648> 女生徒
<0648> 女生徒

//<0649> ？？
<0649> ？？

//<0650> 「なら、いいのだけど。本当に辛い時は言ってね」
<0650> 「なら、いいのだけど。本当に辛い時は言ってね」

//<0651> 音無
<0651> 音無

//<0652> クソ坊主
<0652> クソ坊主

//<0653> 代理人
<0653> 代理人

//<0654> 微妙すぎるイケメン
<0654> 微妙すぎるイケメン

//<0655> ロリコン
<0655> ロリコン

//<0656> メガネ仲間
<0656> メガネ仲間

//<0657> 暗算日本記録保持者
<0657> 暗算日本記録保持者

//<0658> 通り魔
<0658> 通り魔

//<0659> 記憶ナシ男
<0659> 記憶ナシ男

//<0660> 音速
<0660> 音速

//<0661> 無限
<0661> 無限

//<0662> エロ侍
<0662> エロ侍

//<0663> エロエロ団ナンバー１
<0663> エロエロ団ナンバー１

//<0664> ただのエロ少年
<0664> ただのエロ少年

//<0665> ユリブサイク
<0665> ユリブサイク

//<0666> ドピュッシー
<0666> ドピュッシー

//<0667> アメリカンエロドッグ
<0667> アメリカンエロドッグ

//<0668> ゼウス
<0668> ゼウス

//<0669> 日向markⅡ
<0669> 日向markⅡ

//<0670> 糞虫
<0670> 糞虫

//<0671> 量産型日向
<0671> 量産型日向

//<0672> ？？
<0672> ？？

//<0673> 「あ、ああ…ありがと」
<0673> 「あ、ああ…ありがと」

//<0674> nothing
<0674> nothing

//<0675> nothing
<0675> nothing

//<0676> nothing
<0676> nothing

//<0677> nothing
<0677> nothing

//<0678> nothing
<0678> nothing

//<0679> nothing
<0679> nothing

//<0680> 教室を後にした。
<0680> 教室を後にした。

//<0681> se_chime
<0681> se_chime

//<0682> 授業が終わる。
<0682> 授業が終わる。

//<0683> もちろん、授業を受けたのは天使と会話するためだ。
<0683> もちろん、授業を受けたのは天使と会話するためだ。

//<0684> その前に立つ。
<0684> その前に立つ。

//<0685> nothing
<0685> nothing

//<0686> nothing
<0686> nothing

//<0687> nothing
<0687> nothing

//<0688> nothing
<0688> nothing

//<0689> nothing
<0689> nothing

//<0690> 天使
<0690> 天使

//<0691> かなで
<0691> かなで

//<0692> 女生徒
<0692> 女生徒

//<0693> ？？
<0693> ？？

//<0694> 「…？　またお話？」
<0694> 「…？　またお話？」

//<0695> 音無
<0695> 音無

//<0696> クソ坊主
<0696> クソ坊主

//<0697> 代理人
<0697> 代理人

//<0698> 微妙すぎるイケメン
<0698> 微妙すぎるイケメン

//<0699> ロリコン
<0699> ロリコン

//<0700> メガネ仲間
<0700> メガネ仲間

//<0701> 暗算日本記録保持者
<0701> 暗算日本記録保持者

//<0702> 通り魔
<0702> 通り魔

//<0703> 記憶ナシ男
<0703> 記憶ナシ男

//<0704> 音速
<0704> 音速

//<0705> 無限
<0705> 無限

//<0706> エロ侍
<0706> エロ侍

//<0707> エロエロ団ナンバー１
<0707> エロエロ団ナンバー１

//<0708> ただのエロ少年
<0708> ただのエロ少年

//<0709> ユリブサイク
<0709> ユリブサイク

//<0710> ドピュッシー
<0710> ドピュッシー

//<0711> アメリカンエロドッグ
<0711> アメリカンエロドッグ

//<0712> ゼウス
<0712> ゼウス

//<0713> 日向markⅡ
<0713> 日向markⅡ

//<0714> 糞虫
<0714> 糞虫

//<0715> 量産型日向
<0715> 量産型日向

//<0716> ？？
<0716> ？？

//<0717> 「ああ。この学園の外には何がある？」
<0717> 「ああ。この学園の外には何がある？」

//<0718> nothing
<0718> nothing

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> nothing
<0721> nothing

//<0722> nothing
<0722> nothing

//<0723> 天使
<0723> 天使

//<0724> かなで
<0724> かなで

//<0725> 女生徒
<0725> 女生徒

//<0726> ？？
<0726> ？？

//<0727> 「何もないわ」
<0727> 「何もないわ」

//<0728> 音無
<0728> 音無

//<0729> クソ坊主
<0729> クソ坊主

//<0730> 代理人
<0730> 代理人

//<0731> 微妙すぎるイケメン
<0731> 微妙すぎるイケメン

//<0732> ロリコン
<0732> ロリコン

//<0733> メガネ仲間
<0733> メガネ仲間

//<0734> 暗算日本記録保持者
<0734> 暗算日本記録保持者

//<0735> 通り魔
<0735> 通り魔

//<0736> 記憶ナシ男
<0736> 記憶ナシ男

//<0737> 音速
<0737> 音速

//<0738> 無限
<0738> 無限

//<0739> エロ侍
<0739> エロ侍

//<0740> エロエロ団ナンバー１
<0740> エロエロ団ナンバー１

//<0741> ただのエロ少年
<0741> ただのエロ少年

//<0742> ユリブサイク
<0742> ユリブサイク

//<0743> ドピュッシー
<0743> ドピュッシー

//<0744> アメリカンエロドッグ
<0744> アメリカンエロドッグ

//<0745> ゼウス
<0745> ゼウス

//<0746> 日向markⅡ
<0746> 日向markⅡ

//<0747> 糞虫
<0747> 糞虫

//<0748> 量産型日向
<0748> 量産型日向

//<0749> ？？
<0749> ？？

//<0750> 「でも神が居るとしたら、それこそこの学園の外に居るんじゃないか？」
<0750> 「でも神が居るとしたら、それこそこの学園の外に居るんじゃないか？」

//<0751> nothing
<0751> nothing

//<0752> nothing
<0752> nothing

//<0753> nothing
<0753> nothing

//<0754> nothing
<0754> nothing

//<0755> nothing
<0755> nothing

//<0756> 天使
<0756> 天使

//<0757> かなで
<0757> かなで

//<0758> 女生徒
<0758> 女生徒

//<0759> ？？
<0759> ？？

//<0760> 「あなたがそう思うならそうかもしれないわね」
<0760> 「あなたがそう思うならそうかもしれないわね」

//<0761> 音無
<0761> 音無

//<0762> クソ坊主
<0762> クソ坊主

//<0763> 代理人
<0763> 代理人

//<0764> 微妙すぎるイケメン
<0764> 微妙すぎるイケメン

//<0765> ロリコン
<0765> ロリコン

//<0766> メガネ仲間
<0766> メガネ仲間

//<0767> 暗算日本記録保持者
<0767> 暗算日本記録保持者

//<0768> 通り魔
<0768> 通り魔

//<0769> 記憶ナシ男
<0769> 記憶ナシ男

//<0770> 音速
<0770> 音速

//<0771> 無限
<0771> 無限

//<0772> エロ侍
<0772> エロ侍

//<0773> エロエロ団ナンバー１
<0773> エロエロ団ナンバー１

//<0774> ただのエロ少年
<0774> ただのエロ少年

//<0775> ユリブサイク
<0775> ユリブサイク

//<0776> ドピュッシー
<0776> ドピュッシー

//<0777> アメリカンエロドッグ
<0777> アメリカンエロドッグ

//<0778> ゼウス
<0778> ゼウス

//<0779> 日向markⅡ
<0779> 日向markⅡ

//<0780> 糞虫
<0780> 糞虫

//<0781> 量産型日向
<0781> 量産型日向

//<0782> ？？
<0782> ？？

//<0783> 「例えばさ、宇宙の外には何があると思う？」
<0783> 「例えばさ、宇宙の外には何があると思う？」

//<0784> nothing
<0784> nothing

//<0785> nothing
<0785> nothing

//<0786> nothing
<0786> nothing

//<0787> nothing
<0787> nothing

//<0788> nothing
<0788> nothing

//<0789> 天使
<0789> 天使

//<0790> かなで
<0790> かなで

//<0791> 女生徒
<0791> 女生徒

//<0792> ？？
<0792> ？？

//<0793> 「さあ。考えたこともないわ」
<0793> 「さあ。考えたこともないわ」

//<0794> 音無
<0794> 音無

//<0795> クソ坊主
<0795> クソ坊主

//<0796> 代理人
<0796> 代理人

//<0797> 微妙すぎるイケメン
<0797> 微妙すぎるイケメン

//<0798> ロリコン
<0798> ロリコン

//<0799> メガネ仲間
<0799> メガネ仲間

//<0800> 暗算日本記録保持者
<0800> 暗算日本記録保持者

//<0801> 通り魔
<0801> 通り魔

//<0802> 記憶ナシ男
<0802> 記憶ナシ男

//<0803> 音速
<0803> 音速

//<0804> 無限
<0804> 無限

//<0805> エロ侍
<0805> エロ侍

//<0806> エロエロ団ナンバー１
<0806> エロエロ団ナンバー１

//<0807> ただのエロ少年
<0807> ただのエロ少年

//<0808> ユリブサイク
<0808> ユリブサイク

//<0809> ドピュッシー
<0809> ドピュッシー

//<0810> アメリカンエロドッグ
<0810> アメリカンエロドッグ

//<0811> ゼウス
<0811> ゼウス

//<0812> 日向markⅡ
<0812> 日向markⅡ

//<0813> 糞虫
<0813> 糞虫

//<0814> 量産型日向
<0814> 量産型日向

//<0815> ？？
<0815> ？？

//<0816> 「じゃあ、宇宙は膨張し続けてるってのは？」
<0816> 「じゃあ、宇宙は膨張し続けてるってのは？」

//<0817> nothing
<0817> nothing

//<0818> nothing
<0818> nothing

//<0819> nothing
<0819> nothing

//<0820> nothing
<0820> nothing

//<0821> nothing
<0821> nothing

//<0822> 天使
<0822> 天使

//<0823> かなで
<0823> かなで

//<0824> 女生徒
<0824> 女生徒

//<0825> ？？
<0825> ？？

//<0826> 「それは知ってる」
<0826> 「それは知ってる」

//<0827> 音無
<0827> 音無

//<0828> クソ坊主
<0828> クソ坊主

//<0829> 代理人
<0829> 代理人

//<0830> 微妙すぎるイケメン
<0830> 微妙すぎるイケメン

//<0831> ロリコン
<0831> ロリコン

//<0832> メガネ仲間
<0832> メガネ仲間

//<0833> 暗算日本記録保持者
<0833> 暗算日本記録保持者

//<0834> 通り魔
<0834> 通り魔

//<0835> 記憶ナシ男
<0835> 記憶ナシ男

//<0836> 音速
<0836> 音速

//<0837> 無限
<0837> 無限

//<0838> エロ侍
<0838> エロ侍

//<0839> エロエロ団ナンバー１
<0839> エロエロ団ナンバー１

//<0840> ただのエロ少年
<0840> ただのエロ少年

//<0841> ユリブサイク
<0841> ユリブサイク

//<0842> ドピュッシー
<0842> ドピュッシー

//<0843> アメリカンエロドッグ
<0843> アメリカンエロドッグ

//<0844> ゼウス
<0844> ゼウス

//<0845> 日向markⅡ
<0845> 日向markⅡ

//<0846> 糞虫
<0846> 糞虫

//<0847> 量産型日向
<0847> 量産型日向

//<0848> ？？
<0848> ？？

//<0849> 「よし。なら、膨張し続けるために宇宙の外には空間があるってことになるんじゃないか？」
<0849> 「よし。なら、膨張し続けるために宇宙の外には空間があるってことになるんじゃないか？」

//<0850> nothing
<0850> nothing

//<0851> nothing
<0851> nothing

//<0852> nothing
<0852> nothing

//<0853> nothing
<0853> nothing

//<0854> nothing
<0854> nothing

//<0855> 天使
<0855> 天使

//<0856> かなで
<0856> かなで

//<0857> 女生徒
<0857> 女生徒

//<0858> ？？
<0858> ？？

//<0859> 「そうかもしれないわね」
<0859> 「そうかもしれないわね」

//<0860> 音無
<0860> 音無

//<0861> クソ坊主
<0861> クソ坊主

//<0862> 代理人
<0862> 代理人

//<0863> 微妙すぎるイケメン
<0863> 微妙すぎるイケメン

//<0864> ロリコン
<0864> ロリコン

//<0865> メガネ仲間
<0865> メガネ仲間

//<0866> 暗算日本記録保持者
<0866> 暗算日本記録保持者

//<0867> 通り魔
<0867> 通り魔

//<0868> 記憶ナシ男
<0868> 記憶ナシ男

//<0869> 音速
<0869> 音速

//<0870> 無限
<0870> 無限

//<0871> エロ侍
<0871> エロ侍

//<0872> エロエロ団ナンバー１
<0872> エロエロ団ナンバー１

//<0873> ただのエロ少年
<0873> ただのエロ少年

//<0874> ユリブサイク
<0874> ユリブサイク

//<0875> ドピュッシー
<0875> ドピュッシー

//<0876> アメリカンエロドッグ
<0876> アメリカンエロドッグ

//<0877> ゼウス
<0877> ゼウス

//<0878> 日向markⅡ
<0878> 日向markⅡ

//<0879> 糞虫
<0879> 糞虫

//<0880> 量産型日向
<0880> 量産型日向

//<0881> ？？
<0881> ？？

//<0882> 「そこには何もないと言い切れるか？」
<0882> 「そこには何もないと言い切れるか？」

//<0883> nothing
<0883> nothing

//<0884> nothing
<0884> nothing

//<0885> nothing
<0885> nothing

//<0886> nothing
<0886> nothing

//<0887> nothing
<0887> nothing

//<0888> 天使
<0888> 天使

//<0889> かなで
<0889> かなで

//<0890> 女生徒
<0890> 女生徒

//<0891> ？？
<0891> ？？

//<0892> 「言い切れないわね」
<0892> 「言い切れないわね」

//<0893> 音無
<0893> 音無

//<0894> クソ坊主
<0894> クソ坊主

//<0895> 代理人
<0895> 代理人

//<0896> 微妙すぎるイケメン
<0896> 微妙すぎるイケメン

//<0897> ロリコン
<0897> ロリコン

//<0898> メガネ仲間
<0898> メガネ仲間

//<0899> 暗算日本記録保持者
<0899> 暗算日本記録保持者

//<0900> 通り魔
<0900> 通り魔

//<0901> 記憶ナシ男
<0901> 記憶ナシ男

//<0902> 音速
<0902> 音速

//<0903> 無限
<0903> 無限

//<0904> エロ侍
<0904> エロ侍

//<0905> エロエロ団ナンバー１
<0905> エロエロ団ナンバー１

//<0906> ただのエロ少年
<0906> ただのエロ少年

//<0907> ユリブサイク
<0907> ユリブサイク

//<0908> ドピュッシー
<0908> ドピュッシー

//<0909> アメリカンエロドッグ
<0909> アメリカンエロドッグ

//<0910> ゼウス
<0910> ゼウス

//<0911> 日向markⅡ
<0911> 日向markⅡ

//<0912> 糞虫
<0912> 糞虫

//<0913> 量産型日向
<0913> 量産型日向

//<0914> ？？
<0914> ？？

//<0915> 「それと同じ。だから、この学園の外には何もないとは言い切れない」
<0915> 「それと同じ。だから、この学園の外には何もないとは言い切れない」

//<0916> nothing
<0916> nothing

//<0917> nothing
<0917> nothing

//<0918> nothing
<0918> nothing

//<0919> nothing
<0919> nothing

//<0920> nothing
<0920> nothing

//<0921> 天使
<0921> 天使

//<0922> かなで
<0922> かなで

//<0923> 女生徒
<0923> 女生徒

//<0924> ？？
<0924> ？？

//<0925> 「そうね」
<0925> 「そうね」

//<0926> 白
<0926> 白
{18767} 0a // 0926

//<0927> nothing
<0927> nothing

//<0928> nothing
<0928> nothing

//<0929> nothing
<0929> nothing

//<0930> nothing
<0930> nothing

//<0931> nothing
<0931> nothing

//<0932> ゆり
<0932> ゆり

//<0933> 女生徒
<0933> 女生徒

//<0934> ？？
<0934> ？？

//<0935> 「正門も後門もなし。森に囲まれていて、さらに深く進むと壁で高く閉ざされている」
<0935> 「正門も後門もなし。森に囲まれていて、さらに深く進むと壁で高く閉ざされている」

//<0936> 音無
<0936> 音無

//<0937> クソ坊主
<0937> クソ坊主

//<0938> 代理人
<0938> 代理人

//<0939> 微妙すぎるイケメン
<0939> 微妙すぎるイケメン

//<0940> ロリコン
<0940> ロリコン

//<0941> メガネ仲間
<0941> メガネ仲間

//<0942> 暗算日本記録保持者
<0942> 暗算日本記録保持者

//<0943> 通り魔
<0943> 通り魔

//<0944> 記憶ナシ男
<0944> 記憶ナシ男

//<0945> 音速
<0945> 音速

//<0946> 無限
<0946> 無限

//<0947> エロ侍
<0947> エロ侍

//<0948> エロエロ団ナンバー１
<0948> エロエロ団ナンバー１

//<0949> ただのエロ少年
<0949> ただのエロ少年

//<0950> ユリブサイク
<0950> ユリブサイク

//<0951> ドピュッシー
<0951> ドピュッシー

//<0952> アメリカンエロドッグ
<0952> アメリカンエロドッグ

//<0953> ゼウス
<0953> ゼウス

//<0954> 日向markⅡ
<0954> 日向markⅡ

//<0955> 糞虫
<0955> 糞虫

//<0956> 量産型日向
<0956> 量産型日向

//<0957> ？？
<0957> ？？

//<0958> 「出られないってことか？」
<0958> 「出られないってことか？」

//<0959> nothing
<0959> nothing

//<0960> nothing
<0960> nothing

//<0961> nothing
<0961> nothing

//<0962> nothing
<0962> nothing

//<0963> nothing
<0963> nothing

//<0964> ゆり
<0964> ゆり

//<0965> 女生徒
<0965> 女生徒

//<0966> ？？
<0966> ？？

//<0967> 「そうね。壁に対してハンマーを使っても傷つけるのが精一杯。杭も差せないから足場を作って登ることも不可能」
<0967> 「そうね。壁に対してハンマーを使っても傷つけるのが精一杯。杭も差せないから足場を作って登ることも不可能」

//<0968> nothing
<0968> nothing

//<0969> nothing
<0969> nothing

//<0970> nothing
<0970> nothing

//<0971> nothing
<0971> nothing

//<0972> nothing
<0972> nothing

//<0973> 音無
<0973> 音無

//<0974> クソ坊主
<0974> クソ坊主

//<0975> 代理人
<0975> 代理人

//<0976> 微妙すぎるイケメン
<0976> 微妙すぎるイケメン

//<0977> ロリコン
<0977> ロリコン

//<0978> メガネ仲間
<0978> メガネ仲間

//<0979> 暗算日本記録保持者
<0979> 暗算日本記録保持者

//<0980> 通り魔
<0980> 通り魔

//<0981> 記憶ナシ男
<0981> 記憶ナシ男

//<0982> 音速
<0982> 音速

//<0983> 無限
<0983> 無限

//<0984> エロ侍
<0984> エロ侍

//<0985> エロエロ団ナンバー１
<0985> エロエロ団ナンバー１

//<0986> ただのエロ少年
<0986> ただのエロ少年

//<0987> ユリブサイク
<0987> ユリブサイク

//<0988> ドピュッシー
<0988> ドピュッシー

//<0989> アメリカンエロドッグ
<0989> アメリカンエロドッグ

//<0990> ゼウス
<0990> ゼウス

//<0991> 日向markⅡ
<0991> 日向markⅡ

//<0992> 糞虫
<0992> 糞虫

//<0993> 量産型日向
<0993> 量産型日向

//<0994> ？？
<0994> ？？

//<0995> 「あの壁は越えられないって聞いたけど、方法はいくらだってある」
<0995> 「あの壁は越えられないって聞いたけど、方法はいくらだってある」

//<0996> nothing
<0996> nothing

//<0997> nothing
<0997> nothing

//<0998> nothing
<0998> nothing

//<0999> nothing
<0999> nothing

//<1000> nothing
<1000> nothing

//<1001> 天使
<1001> 天使

//<1002> かなで
<1002> かなで

//<1003> 女生徒
<1003> 女生徒

//<1004> ？？
<1004> ？？

//<1005> 「たとえば？」
<1005> 「たとえば？」

//<1006> 音無
<1006> 音無

//<1007> クソ坊主
<1007> クソ坊主

//<1008> 代理人
<1008> 代理人

//<1009> 微妙すぎるイケメン
<1009> 微妙すぎるイケメン

//<1010> ロリコン
<1010> ロリコン

//<1011> メガネ仲間
<1011> メガネ仲間

//<1012> 暗算日本記録保持者
<1012> 暗算日本記録保持者

//<1013> 通り魔
<1013> 通り魔

//<1014> 記憶ナシ男
<1014> 記憶ナシ男

//<1015> 音速
<1015> 音速

//<1016> 無限
<1016> 無限

//<1017> エロ侍
<1017> エロ侍

//<1018> エロエロ団ナンバー１
<1018> エロエロ団ナンバー１

//<1019> ただのエロ少年
<1019> ただのエロ少年

//<1020> ユリブサイク
<1020> ユリブサイク

//<1021> ドピュッシー
<1021> ドピュッシー

//<1022> アメリカンエロドッグ
<1022> アメリカンエロドッグ

//<1023> ゼウス
<1023> ゼウス

//<1024> 日向markⅡ
<1024> 日向markⅡ

//<1025> 糞虫
<1025> 糞虫

//<1026> 量産型日向
<1026> 量産型日向

//<1027> ？？
<1027> ？？

//<1028> 「地道に森の木を切って、組み上げていけばいい」
<1028> 「地道に森の木を切って、組み上げていけばいい」

//<1029> 音無
<1029> 音無

//<1030> クソ坊主
<1030> クソ坊主

//<1031> 代理人
<1031> 代理人

//<1032> 微妙すぎるイケメン
<1032> 微妙すぎるイケメン

//<1033> ロリコン
<1033> ロリコン

//<1034> メガネ仲間
<1034> メガネ仲間

//<1035> 暗算日本記録保持者
<1035> 暗算日本記録保持者

//<1036> 通り魔
<1036> 通り魔

//<1037> 記憶ナシ男
<1037> 記憶ナシ男

//<1038> 音速
<1038> 音速

//<1039> 無限
<1039> 無限

//<1040> エロ侍
<1040> エロ侍

//<1041> エロエロ団ナンバー１
<1041> エロエロ団ナンバー１

//<1042> ただのエロ少年
<1042> ただのエロ少年

//<1043> ユリブサイク
<1043> ユリブサイク

//<1044> ドピュッシー
<1044> ドピュッシー

//<1045> アメリカンエロドッグ
<1045> アメリカンエロドッグ

//<1046> ゼウス
<1046> ゼウス

//<1047> 日向markⅡ
<1047> 日向markⅡ

//<1048> 糞虫
<1048> 糞虫

//<1049> 量産型日向
<1049> 量産型日向

//<1050> ？？
<1050> ？？

//<1051> 「永遠に時間があるなら、いつか壁を越えるに足る高さになる」
<1051> 「永遠に時間があるなら、いつか壁を越えるに足る高さになる」

//<1052> nothing
<1052> nothing

//<1053> nothing
<1053> nothing

//<1054> nothing
<1054> nothing

//<1055> nothing
<1055> nothing

//<1056> nothing
<1056> nothing

//<1057> 天使
<1057> 天使

//<1058> かなで
<1058> かなで

//<1059> 女生徒
<1059> 女生徒

//<1060> ？？
<1060> ？？

//<1061> 「そうね」
<1061> 「そうね」

//<1062> 音無
<1062> 音無

//<1063> クソ坊主
<1063> クソ坊主

//<1064> 代理人
<1064> 代理人

//<1065> 微妙すぎるイケメン
<1065> 微妙すぎるイケメン

//<1066> ロリコン
<1066> ロリコン

//<1067> メガネ仲間
<1067> メガネ仲間

//<1068> 暗算日本記録保持者
<1068> 暗算日本記録保持者

