// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。
<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。
<0532> 暗算日本記録保持者

//<0533> 通り魔
<0533> 通り魔

//<0534> 記憶ナシ男
<0534> 記憶ナシ男

//<0535> 音速
<0535> 音速

//<0536> 無限
<0536> 無限

//<0537> エロ侍
<0537> エロ侍

//<0538> エロエロ団ナンバー１
<0538> エロエロ団ナンバー１

//<0539> ただのエロ少年
<0539> ただのエロ少年

//<0540> ユリブサイク
<0540> ユリブサイク

//<0541> ドピュッシー
<0541> ドピュッシー

//<0542> アメリカンエロドッグ
<0542> アメリカンエロドッグ

//<0543> ゼウス
<0543> ゼウス

//<0544> 日向markⅡ
<0544> 日向markⅡ

//<0545> 糞虫
<0545> 糞虫

//<0546> 量産型日向
<0546> 量産型日向

//<0547> ？？
<0547> ？？

//<0548> 「この世界に干渉できる…」
<0548> 「この世界に干渉できる…」

//<0549> nothing
<0549> nothing

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> nothing
<0552> nothing

//<0553> nothing
<0553> nothing

//<0554> ゆり
<0554> ゆり

//<0555> 女生徒
<0555> 女生徒

//<0556> ？？
<0556> ？？

//<0557> 「ええ。あたしもそう思うわ」
<0557> 「ええ。あたしもそう思うわ」

//<0558> 音無
<0558> 音無

//<0559> クソ坊主
<0559> クソ坊主

//<0560> 代理人
<0560> 代理人

//<0561> 微妙すぎるイケメン
<0561> 微妙すぎるイケメン

//<0562> ロリコン
<0562> ロリコン

//<0563> メガネ仲間
<0563> メガネ仲間

//<0564> 暗算日本記録保持者
<0564> 暗算日本記録保持者

//<0565> 通り魔
<0565> 通り魔

//<0566> 記憶ナシ男
<0566> 記憶ナシ男

//<0567> 音速
<0567> 音速

//<0568> 無限
<0568> 無限

//<0569> エロ侍
<0569> エロ侍

//<0570> エロエロ団ナンバー１
<0570> エロエロ団ナンバー１

//<0571> ただのエロ少年
<0571> ただのエロ少年

//<0572> ユリブサイク
<0572> ユリブサイク

//<0573> ドピュッシー
<0573> ドピュッシー

//<0574> アメリカンエロドッグ
<0574> アメリカンエロドッグ

//<0575> ゼウス
<0575> ゼウス

//<0576> 日向markⅡ
<0576> 日向markⅡ

//<0577> 糞虫
<0577> 糞虫

//<0578> 量産型日向
<0578> 量産型日向

//<0579> ？？
<0579> ？？

//<0580> 「だとしたら、あいつは…」
<0580> 「だとしたら、あいつは…」

//<0581> プログラムにより作られた天使
<0581> プログラムにより作られた天使

//<0582> 神に使わされたＮＰＣ
<0582> 神に使わされたＮＰＣ

//<0583> 人間
<0583> 人間

//<0584> selbtn : 
<0584> selbtn : 

//<0585> 音無
<0585> 音無

//<0586> クソ坊主
<0586> クソ坊主

//<0587> 代理人
<0587> 代理人

//<0588> 微妙すぎるイケメン
<0588> 微妙すぎるイケメン

//<0589> ロリコン
<0589> ロリコン

//<0590> メガネ仲間
<0590> メガネ仲間

//<0591> 暗算日本記録保持者
<0591> 暗算日本記録保持者

//<0592> 通り魔
<0592> 通り魔

//<0593> 記憶ナシ男
<0593> 記憶ナシ男

//<0594> 音速
<0594> 音速

//<0595> 無限
<0595> 無限

//<0596> エロ侍
<0596> エロ侍

//<0597> エロエロ団ナンバー１
<0597> エロエロ団ナンバー１

//<0598> ただのエロ少年
<0598> ただのエロ少年

//<0599> ユリブサイク
<0599> ユリブサイク

//<0600> ドピュッシー
<0600> ドピュッシー

//<0601> アメリカンエロドッグ
<0601> アメリカンエロドッグ

//<0602> ゼウス
<0602> ゼウス

//<0603> 日向markⅡ
<0603> 日向markⅡ

//<0604> 糞虫
<0604> 糞虫

//<0605> 量産型日向
<0605> 量産型日向

//<0606> ？？
<0606> ？？

//<0607> 「プログラムにより作られた天使」
<0607> 「プログラムにより作られた天使」

//<0608> nothing
<0608> nothing

//<0609> nothing
<0609> nothing

//<0610> nothing
<0610> nothing

//<0611> nothing
<0611> nothing

//<0612> nothing
<0612> nothing

//<0613> ゆり
<0613> ゆり

//<0614> 女生徒
<0614> 女生徒

//<0615> ？？
<0615> ？？

//<0616> 「へぇ。誰が？」
<0616> 「へぇ。誰が？」

//<0617> 音無
<0617> 音無

//<0618> クソ坊主
<0618> クソ坊主

//<0619> 代理人
<0619> 代理人

//<0620> 微妙すぎるイケメン
<0620> 微妙すぎるイケメン

//<0621> ロリコン
<0621> ロリコン

//<0622> メガネ仲間
<0622> メガネ仲間

//<0623> 暗算日本記録保持者
<0623> 暗算日本記録保持者

//<0624> 通り魔
<0624> 通り魔

//<0625> 記憶ナシ男
<0625> 記憶ナシ男

//<0626> 音速
<0626> 音速

//<0627> 無限
<0627> 無限

//<0628> エロ侍
<0628> エロ侍

//<0629> エロエロ団ナンバー１
<0629> エロエロ団ナンバー１

//<0630> ただのエロ少年
<0630> ただのエロ少年

//<0631> ユリブサイク
<0631> ユリブサイク

//<0632> ドピュッシー
<0632> ドピュッシー

//<0633> アメリカンエロドッグ
<0633> アメリカンエロドッグ

//<0634> ゼウス
<0634> ゼウス

//<0635> 日向markⅡ
<0635> 日向markⅡ

//<0636> 糞虫
<0636> 糞虫

//<0637> 量産型日向
<0637> 量産型日向

//<0638> ？？
<0638> ？？

//<0639> 「それは、神様だろ…」
<0639> 「それは、神様だろ…」

//<0640> そう答えるしかない。
<0640> そう答えるしかない。

//<0641> nothing
<0641> nothing

//<0642> nothing
<0642> nothing

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> ゆり
<0646> ゆり

//<0647> 女生徒
<0647> 女生徒

//<0648> ？？
<0648> ？？

//<0649> 「ということは、音無くんの思う神様は人間のように、パソコンのキーボードを叩けるような存在ってわけね」
<0649> 「ということは、音無くんの思う神様は人間のように、パソコンのキーボードを叩けるような存在ってわけね」

//<0650> 音無
<0650> 音無

//<0651> クソ坊主
<0651> クソ坊主

//<0652> 代理人
<0652> 代理人

//<0653> 微妙すぎるイケメン
<0653> 微妙すぎるイケメン

//<0654> ロリコン
<0654> ロリコン

//<0655> メガネ仲間
<0655> メガネ仲間

//<0656> 暗算日本記録保持者
<0656> 暗算日本記録保持者

//<0657> 通り魔
<0657> 通り魔

//<0658> 記憶ナシ男
<0658> 記憶ナシ男

//<0659> 音速
<0659> 音速

//<0660> 無限
<0660> 無限

//<0661> エロ侍
<0661> エロ侍

//<0662> エロエロ団ナンバー１
<0662> エロエロ団ナンバー１

//<0663> ただのエロ少年
<0663> ただのエロ少年

//<0664> ユリブサイク
<0664> ユリブサイク

//<0665> ドピュッシー
<0665> ドピュッシー

//<0666> アメリカンエロドッグ
<0666> アメリカンエロドッグ

//<0667> ゼウス
<0667> ゼウス

//<0668> 日向markⅡ
<0668> 日向markⅡ

//<0669> 糞虫
<0669> 糞虫

//<0670> 量産型日向
<0670> 量産型日向

//<0671> ？？
<0671> ？？

//<0672> 「ああ…」
<0672> 「ああ…」

//<0673> 答えておいて、自分でもおかしいと思い始めている。
<0673> 答えておいて、自分でもおかしいと思い始めている。

//<0674> nothing
<0674> nothing

//<0675> nothing
<0675> nothing

//<0676> nothing
<0676> nothing

//<0677> nothing
<0677> nothing

//<0678> nothing
<0678> nothing

//<0679> ゆり
<0679> ゆり

//<0680> 女生徒
<0680> 女生徒

//<0681> ？？
<0681> ？？

//<0682> 「用は以上？」
<0682> 「用は以上？」

//<0683> 音無
<0683> 音無

//<0684> クソ坊主
<0684> クソ坊主

//<0685> 代理人
<0685> 代理人

//<0686> 微妙すぎるイケメン
<0686> 微妙すぎるイケメン

//<0687> ロリコン
<0687> ロリコン

//<0688> メガネ仲間
<0688> メガネ仲間

//<0689> 暗算日本記録保持者
<0689> 暗算日本記録保持者

//<0690> 通り魔
<0690> 通り魔

//<0691> 記憶ナシ男
<0691> 記憶ナシ男

//<0692> 音速
<0692> 音速

//<0693> 無限
<0693> 無限

//<0694> エロ侍
<0694> エロ侍

//<0695> エロエロ団ナンバー１
<0695> エロエロ団ナンバー１

//<0696> ただのエロ少年
<0696> ただのエロ少年

//<0697> ユリブサイク
<0697> ユリブサイク

//<0698> ドピュッシー
<0698> ドピュッシー

//<0699> アメリカンエロドッグ
<0699> アメリカンエロドッグ

//<0700> ゼウス
<0700> ゼウス

//<0701> 日向markⅡ
<0701> 日向markⅡ

//<0702> 糞虫
<0702> 糞虫

//<0703> 量産型日向
<0703> 量産型日向

//<0704> ？？
<0704> ？？

//<0705> 「だな…」
<0705> 「だな…」

//<0706> nothing
<0706> nothing

//<0707> nothing
<0707> nothing

//<0708> nothing
<0708> nothing

//<0709> nothing
<0709> nothing

//<0710> nothing
<0710> nothing

//<0711> ゆり
<0711> ゆり

//<0712> 女生徒
<0712> 女生徒

//<0713> ？？
<0713> ？？

//<0714> 「では、幹部として特訓に勤しみなさい」
<0714> 「では、幹部として特訓に勤しみなさい」

//<0715> なんでこんなことを必死に伝えたんだろう…。自分にもよくわからない…。
<0715> なんでこんなことを必死に伝えたんだろう…。自分にもよくわからない…。

//<0716> とりあえず、俺の考えとゆりの考えは違ったようだ。
<0716> とりあえず、俺の考えとゆりの考えは違ったようだ。

//<0717> nothing
<0717> nothing

//<0718> nothing
<0718> nothing

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> nothing
<0721> nothing

//<0722> ゆり
<0722> ゆり

//<0723> 女生徒
<0723> 女生徒

//<0724> ？？
<0724> ？？

//<0725> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」
<0725> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」

//<0726> それ以上は何も話してくれないようだった。
<0726> それ以上は何も話してくれないようだった。

//<0727> 音無
<0727> 音無

//<0728> クソ坊主
<0728> クソ坊主

//<0729> 代理人
<0729> 代理人

//<0730> 微妙すぎるイケメン
<0730> 微妙すぎるイケメン

//<0731> ロリコン
<0731> ロリコン

//<0732> メガネ仲間
<0732> メガネ仲間

//<0733> 暗算日本記録保持者
<0733> 暗算日本記録保持者

//<0734> 通り魔
<0734> 通り魔

//<0735> 記憶ナシ男
<0735> 記憶ナシ男

//<0736> 音速
<0736> 音速

//<0737> 無限
<0737> 無限

//<0738> エロ侍
<0738> エロ侍

//<0739> エロエロ団ナンバー１
<0739> エロエロ団ナンバー１

//<0740> ただのエロ少年
<0740> ただのエロ少年

//<0741> ユリブサイク
<0741> ユリブサイク

//<0742> ドピュッシー
<0742> ドピュッシー

//<0743> アメリカンエロドッグ
<0743> アメリカンエロドッグ

//<0744> ゼウス
<0744> ゼウス

//<0745> 日向markⅡ
<0745> 日向markⅡ

//<0746> 糞虫
<0746> 糞虫

//<0747> 量産型日向
<0747> 量産型日向

//<0748> ？？
<0748> ？？

//<0749> 「神に使わされたＮＰＣ」
<0749> 「神に使わされたＮＰＣ」

//<0750> nothing
<0750> nothing

//<0751> nothing
<0751> nothing

//<0752> nothing
<0752> nothing

//<0753> nothing
<0753> nothing

//<0754> nothing
<0754> nothing

//<0755> ゆり
<0755> ゆり

//<0756> 女生徒
<0756> 女生徒

//<0757> ？？
<0757> ？？

//<0758> 「だとしたら、まさに神の使い。ようは天使じゃない？」
<0758> 「だとしたら、まさに神の使い。ようは天使じゃない？」

//<0759> ずばり指摘される。
<0759> ずばり指摘される。

//<0760> 音無
<0760> 音無

//<0761> クソ坊主
<0761> クソ坊主

//<0762> 代理人
<0762> 代理人

//<0763> 微妙すぎるイケメン
<0763> 微妙すぎるイケメン

//<0764> ロリコン
<0764> ロリコン

//<0765> メガネ仲間
<0765> メガネ仲間

//<0766> 暗算日本記録保持者
<0766> 暗算日本記録保持者

//<0767> 通り魔
<0767> 通り魔

//<0768> 記憶ナシ男
<0768> 記憶ナシ男

//<0769> 音速
<0769> 音速

//<0770> 無限
<0770> 無限

//<0771> エロ侍
<0771> エロ侍

//<0772> エロエロ団ナンバー１
<0772> エロエロ団ナンバー１

//<0773> ただのエロ少年
<0773> ただのエロ少年

//<0774> ユリブサイク
<0774> ユリブサイク

//<0775> ドピュッシー
<0775> ドピュッシー

//<0776> アメリカンエロドッグ
<0776> アメリカンエロドッグ

//<0777> ゼウス
<0777> ゼウス

//<0778> 日向markⅡ
<0778> 日向markⅡ

//<0779> 糞虫
<0779> 糞虫

//<0780> 量産型日向
<0780> 量産型日向

//<0781> ？？
<0781> ？？

//<0782> 「だな…」
<0782> 「だな…」

//<0783> なんでこんなことを必死に伝えているんだろう…。自分にもよくわからない…。
<0783> なんでこんなことを必死に伝えているんだろう…。自分にもよくわからない…。

//<0784> とりあえず、俺の考えとゆりの考えは違ったようだ。
<0784> とりあえず、俺の考えとゆりの考えは違ったようだ。

//<0785> nothing
<0785> nothing

//<0786> nothing
<0786> nothing

//<0787> nothing
<0787> nothing

//<0788> nothing
<0788> nothing

//<0789> nothing
<0789> nothing

//<0790> ゆり
<0790> ゆり

//<0791> 女生徒
<0791> 女生徒

//<0792> ？？
<0792> ？？

//<0793> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」
<0793> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」

//<0794> それ以上は何も話してくれないようだった。
<0794> それ以上は何も話してくれないようだった。

//<0795> 音無
<0795> 音無

//<0796> クソ坊主
<0796> クソ坊主

//<0797> 代理人
<0797> 代理人

//<0798> 微妙すぎるイケメン
<0798> 微妙すぎるイケメン

//<0799> ロリコン
<0799> ロリコン

//<0800> メガネ仲間
<0800> メガネ仲間

//<0801> 暗算日本記録保持者
<0801> 暗算日本記録保持者

//<0802> 通り魔
<0802> 通り魔

//<0803> 記憶ナシ男
<0803> 記憶ナシ男

//<0804> 音速
<0804> 音速

//<0805> 無限
<0805> 無限

//<0806> エロ侍
<0806> エロ侍

//<0807> エロエロ団ナンバー１
<0807> エロエロ団ナンバー１

//<0808> ただのエロ少年
<0808> ただのエロ少年

//<0809> ユリブサイク
<0809> ユリブサイク

//<0810> ドピュッシー
<0810> ドピュッシー

//<0811> アメリカンエロドッグ
<0811> アメリカンエロドッグ

//<0812> ゼウス
<0812> ゼウス

//<0813> 日向markⅡ
<0813> 日向markⅡ

//<0814> 糞虫
<0814> 糞虫

//<0815> 量産型日向
<0815> 量産型日向

//<0816> ？？
<0816> ？？

//<0817> 「人間」
<0817> 「人間」

//<0818> nothing
<0818> nothing

//<0819> nothing
<0819> nothing

//<0820> nothing
<0820> nothing

//<0821> nothing
<0821> nothing

//<0822> nothing
<0822> nothing

//<0823> ゆり
<0823> ゆり

//<0824> 女生徒
<0824> 女生徒

//<0825> ？？
<0825> ？？

//<0826> 「ふぅ…」
<0826> 「ふぅ…」

//<0827> ゆりはやりきれないような表情を作った。
<0827> ゆりはやりきれないような表情を作った。

//<0828> nothing
<0828> nothing

//<0829> nothing
<0829> nothing

//<0830> nothing
<0830> nothing

//<0831> nothing
<0831> nothing

//<0832> nothing
<0832> nothing

//<0833> ゆり
<0833> ゆり

//<0834> 女生徒
<0834> 女生徒

//<0835> ？？
<0835> ？？

//<0836> 「断定は出来ないけど、昨日のオペレーションでは、あたしもそう思ったわ」
<0836> 「断定は出来ないけど、昨日のオペレーションでは、あたしもそう思ったわ」

//<0837> 音無
<0837> 音無

//<0838> クソ坊主
<0838> クソ坊主

//<0839> 代理人
<0839> 代理人

//<0840> 微妙すぎるイケメン
<0840> 微妙すぎるイケメン

//<0841> ロリコン
<0841> ロリコン

//<0842> メガネ仲間
<0842> メガネ仲間

//<0843> 暗算日本記録保持者
<0843> 暗算日本記録保持者

//<0844> 通り魔
<0844> 通り魔

//<0845> 記憶ナシ男
<0845> 記憶ナシ男

//<0846> 音速
<0846> 音速

//<0847> 無限
<0847> 無限

//<0848> エロ侍
<0848> エロ侍

//<0849> エロエロ団ナンバー１
<0849> エロエロ団ナンバー１

//<0850> ただのエロ少年
<0850> ただのエロ少年

//<0851> ユリブサイク
<0851> ユリブサイク

//<0852> ドピュッシー
<0852> ドピュッシー

//<0853> アメリカンエロドッグ
<0853> アメリカンエロドッグ

//<0854> ゼウス
<0854> ゼウス

//<0855> 日向markⅡ
<0855> 日向markⅡ

//<0856> 糞虫
<0856> 糞虫

//<0857> 量産型日向
<0857> 量産型日向

//<0858> ？？
<0858> ？？

//<0859> 「何十年という時をかけ、
<0859> 「何十年という時をかけ、

//<0860> Angel Player
<0860> Angel Player

//<0861> を駆使できるプログラマーと化したあいつが、人間離れした能力を次々と生み出し、神の使い、天使と呼ばれるようになった」
<0861> を駆使できるプログラマーと化したあいつが、人間離れした能力を次々と生み出し、神の使い、天使と呼ばれるようになった」

//<0862> 音無
<0862> 音無

//<0863> クソ坊主
<0863> クソ坊主

//<0864> 代理人
<0864> 代理人

//<0865> 微妙すぎるイケメン
<0865> 微妙すぎるイケメン

//<0866> ロリコン
<0866> ロリコン

//<0867> メガネ仲間
<0867> メガネ仲間

//<0868> 暗算日本記録保持者
<0868> 暗算日本記録保持者

//<0869> 通り魔
<0869> 通り魔

//<0870> 記憶ナシ男
<0870> 記憶ナシ男

//<0871> 音速
<0871> 音速

//<0872> 無限
<0872> 無限

//<0873> エロ侍
<0873> エロ侍

//<0874> エロエロ団ナンバー１
<0874> エロエロ団ナンバー１

//<0875> ただのエロ少年
<0875> ただのエロ少年

//<0876> ユリブサイク
<0876> ユリブサイク

//<0877> ドピュッシー
<0877> ドピュッシー

//<0878> アメリカンエロドッグ
<0878> アメリカンエロドッグ

//<0879> ゼウス
<0879> ゼウス

//<0880> 日向markⅡ
<0880> 日向markⅡ

//<0881> 糞虫
<0881> 糞虫

//<0882> 量産型日向
<0882> 量産型日向

//<0883> ？？
<0883> ？？

//<0884> 「違うか？」
<0884> 「違うか？」

//<0885> nothing
<0885> nothing

//<0886> nothing
<0886> nothing

//<0887> nothing
<0887> nothing

//<0888> nothing
<0888> nothing

//<0889> nothing
<0889> nothing

//<0890> ゆり
<0890> ゆり

//<0891> 女生徒
<0891> 女生徒

//<0892> ？？
<0892> ？？

//<0893> 「………」
<0893> 「………」

//<0894> ゆりはどう答えていいか、逡巡した。
<0894> ゆりはどう答えていいか、逡巡した。

//<0895> 音無
<0895> 音無

//<0896> クソ坊主
<0896> クソ坊主

//<0897> 代理人
<0897> 代理人

//<0898> 微妙すぎるイケメン
<0898> 微妙すぎるイケメン

//<0899> ロリコン
<0899> ロリコン

//<0900> メガネ仲間
<0900> メガネ仲間

//<0901> 暗算日本記録保持者
<0901> 暗算日本記録保持者

//<0902> 通り魔
<0902> 通り魔

//<0903> 記憶ナシ男
<0903> 記憶ナシ男

//<0904> 音速
<0904> 音速

//<0905> 無限
<0905> 無限

//<0906> エロ侍
<0906> エロ侍

//<0907> エロエロ団ナンバー１
<0907> エロエロ団ナンバー１

//<0908> ただのエロ少年
<0908> ただのエロ少年

//<0909> ユリブサイク
<0909> ユリブサイク

//<0910> ドピュッシー
<0910> ドピュッシー

//<0911> アメリカンエロドッグ
<0911> アメリカンエロドッグ

//<0912> ゼウス
<0912> ゼウス

//<0913> 日向markⅡ
<0913> 日向markⅡ

//<0914> 糞虫
<0914> 糞虫

//<0915> 量産型日向
<0915> 量産型日向

//<0916> ？？
<0916> ？？

//<0917> 「どうなんだ？」
<0917> 「どうなんだ？」

//<0918> そうせっつく。悩んだあげく、ようやく出てきた言葉は…。
<0918> そうせっつく。悩んだあげく、ようやく出てきた言葉は…。

//<0919> nothing
<0919> nothing

//<0920> nothing
<0920> nothing

//<0921> nothing
<0921> nothing

//<0922> nothing
<0922> nothing

//<0923> nothing
<0923> nothing

//<0924> ゆり
<0924> ゆり

//<0925> 女生徒
<0925> 女生徒

//<0926> ？？
<0926> ？？

//<0927> 「思ってた以上ね…。たった数日でそこまで考えが至るなんて…」
<0927> 「思ってた以上ね…。たった数日でそこまで考えが至るなんて…」

//<0928> 音無
<0928> 音無

//<0929> クソ坊主
<0929> クソ坊主

//<0930> 代理人
<0930> 代理人

//<0931> 微妙すぎるイケメン
<0931> 微妙すぎるイケメン

//<0932> ロリコン
<0932> ロリコン

//<0933> メガネ仲間
<0933> メガネ仲間

//<0934> 暗算日本記録保持者
<0934> 暗算日本記録保持者

//<0935> 通り魔
<0935> 通り魔

//<0936> 記憶ナシ男
<0936> 記憶ナシ男

//<0937> 音速
<0937> 音速

//<0938> 無限
<0938> 無限

//<0939> エロ侍
<0939> エロ侍

//<0940> エロエロ団ナンバー１
<0940> エロエロ団ナンバー１

//<0941> ただのエロ少年
<0941> ただのエロ少年

//<0942> ユリブサイク
<0942> ユリブサイク

//<0943> ドピュッシー
<0943> ドピュッシー

//<0944> アメリカンエロドッグ
<0944> アメリカンエロドッグ

//<0945> ゼウス
<0945> ゼウス

//<0946> 日向markⅡ
<0946> 日向markⅡ

//<0947> 糞虫
<0947> 糞虫

//<0948> 量産型日向
<0948> 量産型日向

//<0949> ？？
<0949> ？？

//<0950> 「ということは…」
<0950> 「ということは…」

//<0951> nothing
<0951> nothing

//<0952> nothing
<0952> nothing

//<0953> nothing
<0953> nothing

//<0954> nothing
<0954> nothing

//<0955> nothing
<0955> nothing

//<0956> ゆり
<0956> ゆり

//<0957> 女生徒
<0957> 女生徒

//<0958> ？？
<0958> ？？

//<0959> 「あたしの推測は、あなたと同じよ…」
<0959> 「あたしの推測は、あなたと同じよ…」

//<0960> このゆりの発言は貴重だ。
<0960> このゆりの発言は貴重だ。

//<0961> nothing
<0961> nothing

//<0962> nothing
<0962> nothing

//<0963> nothing
<0963> nothing

//<0964> nothing
<0964> nothing

//<0965> nothing
<0965> nothing

//<0966> ゆり
<0966> ゆり

//<0967> 女生徒
<0967> 女生徒

//<0968> ？？
<0968> ？？

//<0969> 「でも、誰にもそのことを言わないようにね。戦線メンバーとして箝口令を敷く」
<0969> 「でも、誰にもそのことを言わないようにね。戦線メンバーとして箝口令を敷く」

//<0970> 音無
<0970> 音無

//<0971> クソ坊主
<0971> クソ坊主

//<0972> 代理人
<0972> 代理人

//<0973> 微妙すぎるイケメン
<0973> 微妙すぎるイケメン

//<0974> ロリコン
<0974> ロリコン

//<0975> メガネ仲間
<0975> メガネ仲間

//<0976> 暗算日本記録保持者
<0976> 暗算日本記録保持者

//<0977> 通り魔
<0977> 通り魔

//<0978> 記憶ナシ男
<0978> 記憶ナシ男

//<0979> 音速
<0979> 音速

//<0980> 無限
<0980> 無限

//<0981> エロ侍
<0981> エロ侍

//<0982> エロエロ団ナンバー１
<0982> エロエロ団ナンバー１

//<0983> ただのエロ少年
<0983> ただのエロ少年

//<0984> ユリブサイク
<0984> ユリブサイク

//<0985> ドピュッシー
<0985> ドピュッシー

//<0986> アメリカンエロドッグ
<0986> アメリカンエロドッグ

//<0987> ゼウス
<0987> ゼウス

//<0988> 日向markⅡ
<0988> 日向markⅡ

//<0989> 糞虫
<0989> 糞虫

//<0990> 量産型日向
<0990> 量産型日向

//<0991> ？？
<0991> ？？

//<0992> 「どうして？」
<0992> 「どうして？」

//<0993> nothing
<0993> nothing

//<0994> nothing
<0994> nothing

//<0995> nothing
<0995> nothing

//<0996> nothing
<0996> nothing

//<0997> nothing
<0997> nothing

//<0998> ゆり
<0998> ゆり

//<0999> 女生徒
<0999> 女生徒

//<1000> ？？
<1000> ？？

//<1001> 「人間だとわかったら、同情しちゃうメンバーが現れるわ」
<1001> 「人間だとわかったら、同情しちゃうメンバーが現れるわ」

//<1002> nothing
<1002> nothing

//<1003> nothing
<1003> nothing

//<1004> nothing
<1004> nothing

//<1005> nothing
<1005> nothing

//<1006> nothing
<1006> nothing

//<1007> ゆり
<1007> ゆり

//<1008> 女生徒
<1008> 女生徒

//<1009> ？？
<1009> ？？

//<1010> 「だから、天使は天使であり、戦線の宿敵であって欲しいからよ」
<1010> 「だから、天使は天使であり、戦線の宿敵であって欲しいからよ」

//<1011> 納得する
<1011> 納得する

//<1012> 違和感を覚える
<1012> 違和感を覚える

//<1013> selbtn : 
<1013> selbtn : 

//<1014> 音無
<1014> 音無

//<1015> クソ坊主
<1015> クソ坊主

//<1016> 代理人
<1016> 代理人

//<1017> 微妙すぎるイケメン
<1017> 微妙すぎるイケメン

//<1018> ロリコン
<1018> ロリコン

//<1019> メガネ仲間
<1019> メガネ仲間

//<1020> 暗算日本記録保持者
<1020> 暗算日本記録保持者

//<1021> 通り魔
<1021> 通り魔

//<1022> 記憶ナシ男
<1022> 記憶ナシ男

//<1023> 音速
<1023> 音速

//<1024> 無限
<1024> 無限

//<1025> エロ侍
<1025> エロ侍

//<1026> エロエロ団ナンバー１
<1026> エロエロ団ナンバー１

//<1027> ただのエロ少年
<1027> ただのエロ少年

//<1028> ユリブサイク
<1028> ユリブサイク

//<1029> ドピュッシー
<1029> ドピュッシー

//<1030> アメリカンエロドッグ
<1030> アメリカンエロドッグ

//<1031> ゼウス
<1031> ゼウス

//<1032> 日向markⅡ
<1032> 日向markⅡ

//<1033> 糞虫
<1033> 糞虫

//<1034> 量産型日向
<1034> 量産型日向

//<1035> ？？
<1035> ？？

//<1036> 「そうだよな…」
<1036> 「そうだよな…」

//<1037> これまで戦ってきた相手が実は同じ人間だったなんて聞かされたら、みんな混乱するだろう。
<1037> これまで戦ってきた相手が実は同じ人間だったなんて聞かされたら、みんな混乱するだろう。

//<1038> 音無
<1038> 音無

//<1039> クソ坊主
<1039> クソ坊主

//<1040> 代理人
<1040> 代理人

//<1041> 微妙すぎるイケメン
<1041> 微妙すぎるイケメン

//<1042> ロリコン
<1042> ロリコン

//<1043> メガネ仲間
<1043> メガネ仲間

//<1044> 暗算日本記録保持者
<1044> 暗算日本記録保持者

//<1045> 通り魔
<1045> 通り魔

//<1046> 記憶ナシ男
<1046> 記憶ナシ男

//<1047> 音速
<1047> 音速

//<1048> 無限
<1048> 無限

//<1049> エロ侍
<1049> エロ侍

//<1050> エロエロ団ナンバー１
<1050> エロエロ団ナンバー１

//<1051> ただのエロ少年
<1051> ただのエロ少年

//<1052> ユリブサイク
<1052> ユリブサイク

//<1053> ドピュッシー
<1053> ドピュッシー

//<1054> アメリカンエロドッグ
<1054> アメリカンエロドッグ

//<1055> ゼウス
<1055> ゼウス

//<1056> 日向markⅡ
<1056> 日向markⅡ

//<1057> 糞虫
<1057> 糞虫

//<1058> 量産型日向
<1058> 量産型日向

//<1059> ？？
<1059> ？？

//<1060> 「わかった。誰にもこのこと話さないよ」
<1060> 「わかった。誰にもこのこと話さないよ」

//<1061> nothing
<1061> nothing

//<1062> nothing
<1062> nothing

//<1063> nothing
<1063> nothing

//<1064> nothing
<1064> nothing

//<1065> nothing
<1065> nothing

