// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
<0524> nothing

//<0525> nothing
<0525> nothing

//<0526> nothing
<0526> nothing

//<0527> 天使
<0527> 天使

//<0528> かなで
<0528> かなで

//<0529> 女生徒
<0529> 女生徒

//<0530> ？？
<0530> ？？

//<0531> 「ただのえろしょうねん？」
<0531> 「ただのえろしょうねん？」

//<0532> 音無
<0532> 音無

//<0533> クソ坊主
<0533> クソ坊主

//<0534> 代理人
<0534> 代理人

//<0535> 微妙すぎるイケメン
<0535> 微妙すぎるイケメン

//<0536> ロリコン
<0536> ロリコン

//<0537> メガネ仲間
<0537> メガネ仲間

//<0538> 暗算日本記録保持者
<0538> 暗算日本記録保持者

//<0539> 通り魔
<0539> 通り魔

//<0540> 記憶ナシ男
<0540> 記憶ナシ男

//<0541> 音速
<0541> 音速

//<0542> 無限
<0542> 無限

//<0543> エロ侍
<0543> エロ侍

//<0544> エロエロ団ナンバー１
<0544> エロエロ団ナンバー１

//<0545> ただのエロ少年
<0545> ただのエロ少年

//<0546> ユリブサイク
<0546> ユリブサイク

//<0547> ドピュッシー
<0547> ドピュッシー

//<0548> アメリカンエロドッグ
<0548> アメリカンエロドッグ

//<0549> ゼウス
<0549> ゼウス

//<0550> 日向markⅡ
<0550> 日向markⅡ

//<0551> 糞虫
<0551> 糞虫

//<0552> 量産型日向
<0552> 量産型日向

//<0553> ？？
<0553> ？？

//<0554> 「ああ、ただのエロ少年」
<0554> 「ああ、ただのエロ少年」

//<0555> nothing
<0555> nothing

//<0556> nothing
<0556> nothing

//<0557> nothing
<0557> nothing

//<0558> nothing
<0558> nothing

//<0559> nothing
<0559> nothing

//<0560> 天使
<0560> 天使

//<0561> かなで
<0561> かなで

//<0562> 女生徒
<0562> 女生徒

//<0563> ？？
<0563> ？？

//<0564> 「ニックネームかしら？　じゃあ、ただのえろしょうねんくん、授業に出て」
<0564> 「ニックネームかしら？　じゃあ、ただのえろしょうねんくん、授業に出て」

//<0565> また出会ってしまった…！
<0565> また出会ってしまった…！

//<0566> 授業を受ける
<0566> 授業を受ける

//<0567> 逃げる
<0567> 逃げる

//<0568> 戦う
<0568> 戦う

//<0569> selbtn : 
<0569> selbtn : 

//<0570> 天使の言うとおり、授業を受けてみることにする。
<0570> 天使の言うとおり、授業を受けてみることにする。

//<0571> 01_かなで
<0571> 01_かなで

//<0572> _00
<0572> _00

//<0573> 俺は何も言わず、体を反転させ、全力で走る。
<0573> 俺は何も言わず、体を反転させ、全力で走る。

//<0574> 白
<0574> 白
{f661} 0a // 0574

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> nothing
<0577> nothing

//<0578> nothing
<0578> nothing

//<0579> nothing
<0579> nothing

//<0580> ゆり
<0580> ゆり

//<0581> 女生徒
<0581> 女生徒

//<0582> ？？
<0582> ？？

//<0583> 「模範通りに校内活動を行わない生徒に対しては、まず口頭注意。逃げれば追ってくるし、先回りして行く手を阻む」
<0583> 「模範通りに校内活動を行わない生徒に対しては、まず口頭注意。逃げれば追ってくるし、先回りして行く手を阻む」

//<0584> そう言われてるだけに、懸命だ。
<0584> そう言われてるだけに、懸命だ。

//<0585> 逃げ切れるか！？
<0585> 逃げ切れるか！？

//<0586> 階段は一気に踊り場まで跳んだ。
<0586> 階段は一気に踊り場まで跳んだ。

//<0587> さらに階下へと跳ぶ。
<0587> さらに階下へと跳ぶ。

//<0588> そのまま廊下を駆け抜け、表に出る。
<0588> そのまま廊下を駆け抜け、表に出る。

//<0589> se_chime
<0589> se_chime

//<0590> と同時にチャイムが鳴る。
<0590> と同時にチャイムが鳴る。

//<0591> 音無
<0591> 音無

//<0592> クソ坊主
<0592> クソ坊主

//<0593> 代理人
<0593> 代理人

//<0594> 微妙すぎるイケメン
<0594> 微妙すぎるイケメン

//<0595> ロリコン
<0595> ロリコン

//<0596> メガネ仲間
<0596> メガネ仲間

//<0597> 暗算日本記録保持者
<0597> 暗算日本記録保持者

//<0598> 通り魔
<0598> 通り魔

//<0599> 記憶ナシ男
<0599> 記憶ナシ男

//<0600> 音速
<0600> 音速

//<0601> 無限
<0601> 無限

//<0602> エロ侍
<0602> エロ侍

//<0603> エロエロ団ナンバー１
<0603> エロエロ団ナンバー１

//<0604> ただのエロ少年
<0604> ただのエロ少年

//<0605> ユリブサイク
<0605> ユリブサイク

//<0606> ドピュッシー
<0606> ドピュッシー

//<0607> アメリカンエロドッグ
<0607> アメリカンエロドッグ

//<0608> ゼウス
<0608> ゼウス

//<0609> 日向markⅡ
<0609> 日向markⅡ

//<0610> 糞虫
<0610> 糞虫

//<0611> 量産型日向
<0611> 量産型日向

//<0612> ？？
<0612> ？？

//<0613> 「ふぅ…授業が始まったか。逃げ切った…！」
<0613> 「ふぅ…授業が始まったか。逃げ切った…！」

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> nothing
<0616> nothing

//<0617> nothing
<0617> nothing

//<0618> nothing
<0618> nothing

//<0619> 天使
<0619> 天使

//<0620> かなで
<0620> かなで

//<0621> 女生徒
<0621> 女生徒

//<0622> ？？
<0622> ？？

//<0623> 「教室まで案内するわ」
<0623> 「教室まで案内するわ」

//<0624> ええー！！　本当に先回りしてるなんて！！　しかもなんて涼しげな顔だ！
<0624> ええー！！　本当に先回りしてるなんて！！　しかもなんて涼しげな顔だ！

//<0625> そこである矛盾に気づいた。
<0625> そこである矛盾に気づいた。

//<0626> 音無
<0626> 音無

//<0627> クソ坊主
<0627> クソ坊主

//<0628> 代理人
<0628> 代理人

//<0629> 微妙すぎるイケメン
<0629> 微妙すぎるイケメン

//<0630> ロリコン
<0630> ロリコン

//<0631> メガネ仲間
<0631> メガネ仲間

//<0632> 暗算日本記録保持者
<0632> 暗算日本記録保持者

//<0633> 通り魔
<0633> 通り魔

//<0634> 記憶ナシ男
<0634> 記憶ナシ男

//<0635> 音速
<0635> 音速

//<0636> 無限
<0636> 無限

//<0637> エロ侍
<0637> エロ侍

//<0638> エロエロ団ナンバー１
<0638> エロエロ団ナンバー１

//<0639> ただのエロ少年
<0639> ただのエロ少年

//<0640> ユリブサイク
<0640> ユリブサイク

//<0641> ドピュッシー
<0641> ドピュッシー

//<0642> アメリカンエロドッグ
<0642> アメリカンエロドッグ

//<0643> ゼウス
<0643> ゼウス

//<0644> 日向markⅡ
<0644> 日向markⅡ

//<0645> 糞虫
<0645> 糞虫

//<0646> 量産型日向
<0646> 量産型日向

//<0647> ？？
<0647> ？？

//<0648> 「でも、あんた生徒会長なのに、自らサボってることにならないか？」
<0648> 「でも、あんた生徒会長なのに、自らサボってることにならないか？」

//<0649> nothing
<0649> nothing

//<0650> nothing
<0650> nothing

//<0651> nothing
<0651> nothing

//<0652> nothing
<0652> nothing

//<0653> nothing
<0653> nothing

//<0654> 天使
<0654> 天使

//<0655> かなで
<0655> かなで

//<0656> 女生徒
<0656> 女生徒

//<0657> ？？
<0657> ？？

//<0658> 「あたしは、授業をさぼる生徒の指導猶予として１０分だけ遅れても許されることになっているの」
<0658> 「あたしは、授業をさぼる生徒の指導猶予として１０分だけ遅れても許されることになっているの」

//<0659> 音無
<0659> 音無

//<0660> クソ坊主
<0660> クソ坊主

//<0661> 代理人
<0661> 代理人

//<0662> 微妙すぎるイケメン
<0662> 微妙すぎるイケメン

//<0663> ロリコン
<0663> ロリコン

//<0664> メガネ仲間
<0664> メガネ仲間

//<0665> 暗算日本記録保持者
<0665> 暗算日本記録保持者

//<0666> 通り魔
<0666> 通り魔

//<0667> 記憶ナシ男
<0667> 記憶ナシ男

//<0668> 音速
<0668> 音速

//<0669> 無限
<0669> 無限

//<0670> エロ侍
<0670> エロ侍

//<0671> エロエロ団ナンバー１
<0671> エロエロ団ナンバー１

//<0672> ただのエロ少年
<0672> ただのエロ少年

//<0673> ユリブサイク
<0673> ユリブサイク

//<0674> ドピュッシー
<0674> ドピュッシー

//<0675> アメリカンエロドッグ
<0675> アメリカンエロドッグ

//<0676> ゼウス
<0676> ゼウス

//<0677> 日向markⅡ
<0677> 日向markⅡ

//<0678> 糞虫
<0678> 糞虫

//<0679> 量産型日向
<0679> 量産型日向

//<0680> ？？
<0680> ？？

//<0681> （マジかよ…）
<0681> （マジかよ…）

//<0682> 今ので逃げ切れないってことは…。
<0682> 今ので逃げ切れないってことは…。

//<0683> 諦めて授業を受ける
<0683> 諦めて授業を受ける

//<0684> さらに逃げる
<0684> さらに逃げる

//<0685> selbtn : 
<0685> selbtn : 

//<0686> そうだ。１０分だ！　１０分さえ逃げ切ればいいんだ！
<0686> そうだ。１０分だ！　１０分さえ逃げ切ればいいんだ！

//<0687> 移動しよう！
<0687> 移動しよう！

//<0688> 腕時計を見ると、１０分経っていた。
<0688> 腕時計を見ると、１０分経っていた。

//<0689> 音無
<0689> 音無

//<0690> クソ坊主
<0690> クソ坊主

//<0691> 代理人
<0691> 代理人

//<0692> 微妙すぎるイケメン
<0692> 微妙すぎるイケメン

//<0693> ロリコン
<0693> ロリコン

//<0694> メガネ仲間
<0694> メガネ仲間

//<0695> 暗算日本記録保持者
<0695> 暗算日本記録保持者

//<0696> 通り魔
<0696> 通り魔

//<0697> 記憶ナシ男
<0697> 記憶ナシ男

//<0698> 音速
<0698> 音速

//<0699> 無限
<0699> 無限

//<0700> エロ侍
<0700> エロ侍

//<0701> エロエロ団ナンバー１
<0701> エロエロ団ナンバー１

//<0702> ただのエロ少年
<0702> ただのエロ少年

//<0703> ユリブサイク
<0703> ユリブサイク

//<0704> ドピュッシー
<0704> ドピュッシー

//<0705> アメリカンエロドッグ
<0705> アメリカンエロドッグ

//<0706> ゼウス
<0706> ゼウス

//<0707> 日向markⅡ
<0707> 日向markⅡ

//<0708> 糞虫
<0708> 糞虫

//<0709> 量産型日向
<0709> 量産型日向

//<0710> ？？
<0710> ？？

//<0711> 「よし、逃げ切ったぁーー！！」
<0711> 「よし、逃げ切ったぁーー！！」

//<0712> 思わず拳を掲げ、ガッツポーズをしてしまう。
<0712> 思わず拳を掲げ、ガッツポーズをしてしまう。

//<0713> 逃げ切れない…諦めよう。
<0713> 逃げ切れない…諦めよう。

//<0714> 01_かなで
<0714> 01_かなで

//<0715> _00
<0715> _00

//<0716> 戦ったところで、勝てるわけがない。
<0716> 戦ったところで、勝てるわけがない。

//<0717> 逃げる…、為にはまずは隙をつくらないと。
<0717> 逃げる…、為にはまずは隙をつくらないと。

//<0718> 天使に対して有効な嘘は…。
<0718> 天使に対して有効な嘘は…。

//<0719> 音無
<0719> 音無

//<0720> クソ坊主
<0720> クソ坊主

//<0721> 代理人
<0721> 代理人

//<0722> 微妙すぎるイケメン
<0722> 微妙すぎるイケメン

//<0723> ロリコン
<0723> ロリコン

//<0724> メガネ仲間
<0724> メガネ仲間

//<0725> 暗算日本記録保持者
<0725> 暗算日本記録保持者

//<0726> 通り魔
<0726> 通り魔

//<0727> 記憶ナシ男
<0727> 記憶ナシ男

//<0728> 音速
<0728> 音速

//<0729> 無限
<0729> 無限

//<0730> エロ侍
<0730> エロ侍

//<0731> エロエロ団ナンバー１
<0731> エロエロ団ナンバー１

//<0732> ただのエロ少年
<0732> ただのエロ少年

//<0733> ユリブサイク
<0733> ユリブサイク

//<0734> ドピュッシー
<0734> ドピュッシー

//<0735> アメリカンエロドッグ
<0735> アメリカンエロドッグ

//<0736> ゼウス
<0736> ゼウス

//<0737> 日向markⅡ
<0737> 日向markⅡ

//<0738> 糞虫
<0738> 糞虫

//<0739> 量産型日向
<0739> 量産型日向

//<0740> ？？
<0740> ？？

//<0741> 「…わかった、授業を受けるよ」
<0741> 「…わかった、授業を受けるよ」

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> nothing
<0745> nothing

//<0746> nothing
<0746> nothing

//<0747> nothing
<0747> nothing

//<0748> そう言って、天使に背を向ける。
<0748> そう言って、天使に背を向ける。

//<0749> そして全力で走った。
<0749> そして全力で走った。

//<0750> 当然、向かう先は教室じゃない。
<0750> 当然、向かう先は教室じゃない。

//<0751> 俺は息が続く限り走り続け…そして逃げ切った！
<0751> 俺は息が続く限り走り続け…そして逃げ切った！

//<0752> 戦う。ひとりでも。こちとら初日に実質殺されたんだからな…。
<0752> 戦う。ひとりでも。こちとら初日に実質殺されたんだからな…。

//<0753> se_handgun_setup
<0753> se_handgun_setup

//<0754> 銃を抜く。
<0754> 銃を抜く。

//<0755> nothing
<0755> nothing

//<0756> nothing
<0756> nothing

//<0757> nothing
<0757> nothing

//<0758> nothing
<0758> nothing

//<0759> nothing
<0759> nothing

//<0760> 天使
<0760> 天使

//<0761> かなで
<0761> かなで

//<0762> 女生徒
<0762> 女生徒

//<0763> ？？
<0763> ？？

//<0764> 『ガードスキル・ハンドソニック』
<0764> 『ガードスキル・ハンドソニック』

//<0765> nothing
<0765> nothing

//<0766> nothing
<0766> nothing

//<0767> nothing
<0767> nothing

//<0768> nothing
<0768> nothing

//<0769> nothing
<0769> nothing

//<0770> se_handsonic
<0770> se_handsonic

//<0771> nothing
<0771> nothing

//<0772> nothing
<0772> nothing

//<0773> nothing
<0773> nothing

//<0774> nothing
<0774> nothing

//<0775> nothing
<0775> nothing

//<0776> その手に光の刃が生まれる。
<0776> その手に光の刃が生まれる。

//<0777> この至近距離なら、当たるだろ！
<0777> この至近距離なら、当たるだろ！

//<0778> 引き金を引く。
<0778> 引き金を引く。

//<0779> 今度こそ、一矢報いてやる…。
<0779> 今度こそ、一矢報いてやる…。

//<0780> se_handgun_setup
<0780> se_handgun_setup

//<0781> 俺は銃を抜いた。
<0781> 俺は銃を抜いた。

//<0782> nothing
<0782> nothing

//<0783> nothing
<0783> nothing

//<0784> nothing
<0784> nothing

//<0785> nothing
<0785> nothing

//<0786> nothing
<0786> nothing

//<0787> 天使
<0787> 天使

//<0788> かなで
<0788> かなで

//<0789> 女生徒
<0789> 女生徒

//<0790> ？？
<0790> ？？

//<0791> 「蛮勇ね。先に言っておくけど、あなたに勝ち目はないわ」
<0791> 「蛮勇ね。先に言っておくけど、あなたに勝ち目はないわ」

//<0792> nothing
<0792> nothing

//<0793> nothing
<0793> nothing

//<0794> nothing
<0794> nothing

//<0795> nothing
<0795> nothing

//<0796> nothing
<0796> nothing

//<0797> 天使
<0797> 天使

//<0798> かなで
<0798> かなで

//<0799> 女生徒
<0799> 女生徒

//<0800> ？？
<0800> ？？

//<0801> 『ガードスキル・ハンドソニック』
<0801> 『ガードスキル・ハンドソニック』

//<0802> nothing
<0802> nothing

//<0803> nothing
<0803> nothing

//<0804> nothing
<0804> nothing

//<0805> nothing
<0805> nothing

//<0806> nothing
<0806> nothing

//<0807> se_handsonic
<0807> se_handsonic

//<0808> nothing
<0808> nothing

//<0809> nothing
<0809> nothing

//<0810> nothing
<0810> nothing

//<0811> nothing
<0811> nothing

//<0812> nothing
<0812> nothing

//<0813> 音無
<0813> 音無

//<0814> クソ坊主
<0814> クソ坊主

//<0815> 代理人
<0815> 代理人

//<0816> 微妙すぎるイケメン
<0816> 微妙すぎるイケメン

//<0817> ロリコン
<0817> ロリコン

//<0818> メガネ仲間
<0818> メガネ仲間

//<0819> 暗算日本記録保持者
<0819> 暗算日本記録保持者

//<0820> 通り魔
<0820> 通り魔

//<0821> 記憶ナシ男
<0821> 記憶ナシ男

//<0822> 音速
<0822> 音速

//<0823> 無限
<0823> 無限

//<0824> エロ侍
<0824> エロ侍

//<0825> エロエロ団ナンバー１
<0825> エロエロ団ナンバー１

//<0826> ただのエロ少年
<0826> ただのエロ少年

//<0827> ユリブサイク
<0827> ユリブサイク

//<0828> ドピュッシー
<0828> ドピュッシー

//<0829> アメリカンエロドッグ
<0829> アメリカンエロドッグ

//<0830> ゼウス
<0830> ゼウス

//<0831> 日向markⅡ
<0831> 日向markⅡ

//<0832> 糞虫
<0832> 糞虫

//<0833> 量産型日向
<0833> 量産型日向

//<0834> ？？
<0834> ？？

//<0835> 「上等だ！！」
<0835> 「上等だ！！」

//<0836> 俺は引き金を引く。
<0836> 俺は引き金を引く。

//<0837> nothing
<0837> nothing

//<0838> nothing
<0838> nothing

//<0839> nothing
<0839> nothing

//<0840> nothing
<0840> nothing

//<0841> nothing
<0841> nothing

//<0842> nothing
<0842> nothing

//<0843> se_handgun2
<0843> se_handgun2

//<0844> None
<0844> None

//<0845> なんて反動だ！　銃弾は明後日の方向に飛んでいった。
<0845> なんて反動だ！　銃弾は明後日の方向に飛んでいった。

//<0846> nothing
<0846> nothing

//<0847> nothing
<0847> nothing

//<0848> nothing
<0848> nothing

//<0849> nothing
<0849> nothing

//<0850> nothing
<0850> nothing

//<0851> nothing
<0851> nothing

//<0852> se_handgun2
<0852> se_handgun2

//<0853> None
<0853> None

//<0854> 惜しい！　肩の髪の毛にかすった！
<0854> 惜しい！　肩の髪の毛にかすった！

//<0855> se_handgun2
<0855> se_handgun2

//<0856> se_kengeki
<0856> se_kengeki

//<0857> nothing
<0857> nothing

//<0858> nothing
<0858> nothing

//<0859> nothing
<0859> nothing

//<0860> nothing
<0860> nothing

//<0861> nothing
<0861> nothing

//<0862> カーーーン！と音がして、弾かれていた。
<0862> カーーーン！と音がして、弾かれていた。

//<0863> 音無
<0863> 音無

//<0864> クソ坊主
<0864> クソ坊主

//<0865> 代理人
<0865> 代理人

//<0866> 微妙すぎるイケメン
<0866> 微妙すぎるイケメン

//<0867> ロリコン
<0867> ロリコン

//<0868> メガネ仲間
<0868> メガネ仲間

//<0869> 暗算日本記録保持者
<0869> 暗算日本記録保持者

//<0870> 通り魔
<0870> 通り魔

//<0871> 記憶ナシ男
<0871> 記憶ナシ男

//<0872> 音速
<0872> 音速

//<0873> 無限
<0873> 無限

//<0874> エロ侍
<0874> エロ侍

//<0875> エロエロ団ナンバー１
<0875> エロエロ団ナンバー１

//<0876> ただのエロ少年
<0876> ただのエロ少年

//<0877> ユリブサイク
<0877> ユリブサイク

//<0878> ドピュッシー
<0878> ドピュッシー

//<0879> アメリカンエロドッグ
<0879> アメリカンエロドッグ

//<0880> ゼウス
<0880> ゼウス

//<0881> 日向markⅡ
<0881> 日向markⅡ

//<0882> 糞虫
<0882> 糞虫

//<0883> 量産型日向
<0883> 量産型日向

//<0884> ？？
<0884> ？？

//<0885> 「嘘だろ…この近距離でも弾けるなんて…」
<0885> 「嘘だろ…この近距離でも弾けるなんて…」

//<0886> ものすごい反射神経だ…。
<0886> ものすごい反射神経だ…。

//<0887> いや、天使には何もかもがゆっくり見えている。それぐらい人間とはかけ離れた身体能力の持ち主なのだろう。
<0887> いや、天使には何もかもがゆっくり見えている。それぐらい人間とはかけ離れた身体能力の持ち主なのだろう。

//<0888> 天使が不思議そうな顔をして俺を見つめていた。
<0888> 天使が不思議そうな顔をして俺を見つめていた。

//<0889> 音無
<0889> 音無

//<0890> クソ坊主
<0890> クソ坊主

//<0891> 代理人
<0891> 代理人

//<0892> 微妙すぎるイケメン
<0892> 微妙すぎるイケメン

//<0893> ロリコン
<0893> ロリコン

//<0894> メガネ仲間
<0894> メガネ仲間

//<0895> 暗算日本記録保持者
<0895> 暗算日本記録保持者

//<0896> 通り魔
<0896> 通り魔

//<0897> 記憶ナシ男
<0897> 記憶ナシ男

//<0898> 音速
<0898> 音速

//<0899> 無限
<0899> 無限

//<0900> エロ侍
<0900> エロ侍

//<0901> エロエロ団ナンバー１
<0901> エロエロ団ナンバー１

//<0902> ただのエロ少年
<0902> ただのエロ少年

//<0903> ユリブサイク
<0903> ユリブサイク

//<0904> ドピュッシー
<0904> ドピュッシー

//<0905> アメリカンエロドッグ
<0905> アメリカンエロドッグ

//<0906> ゼウス
<0906> ゼウス

//<0907> 日向markⅡ
<0907> 日向markⅡ

//<0908> 糞虫
<0908> 糞虫

//<0909> 量産型日向
<0909> 量産型日向

//<0910> ？？
<0910> ？？

//<0911> 「んだよ…」
<0911> 「んだよ…」

//<0912> nothing
<0912> nothing

//<0913> nothing
<0913> nothing

//<0914> nothing
<0914> nothing

//<0915> nothing
<0915> nothing

//<0916> nothing
<0916> nothing

//<0917> 天使
<0917> 天使

//<0918> かなで
<0918> かなで

//<0919> 女生徒
<0919> 女生徒

//<0920> ？？
<0920> ？？

//<0921> 「…あなた、筋がいいわ」
<0921> 「…あなた、筋がいいわ」

//<0922> 音無
<0922> 音無

//<0923> クソ坊主
<0923> クソ坊主

//<0924> 代理人
<0924> 代理人

//<0925> 微妙すぎるイケメン
<0925> 微妙すぎるイケメン

//<0926> ロリコン
<0926> ロリコン

//<0927> メガネ仲間
<0927> メガネ仲間

//<0928> 暗算日本記録保持者
<0928> 暗算日本記録保持者

//<0929> 通り魔
<0929> 通り魔

//<0930> 記憶ナシ男
<0930> 記憶ナシ男

//<0931> 音速
<0931> 音速

//<0932> 無限
<0932> 無限

//<0933> エロ侍
<0933> エロ侍

//<0934> エロエロ団ナンバー１
<0934> エロエロ団ナンバー１

//<0935> ただのエロ少年
<0935> ただのエロ少年

//<0936> ユリブサイク
<0936> ユリブサイク

//<0937> ドピュッシー
<0937> ドピュッシー

//<0938> アメリカンエロドッグ
<0938> アメリカンエロドッグ

//<0939> ゼウス
<0939> ゼウス

//<0940> 日向markⅡ
<0940> 日向markⅡ

//<0941> 糞虫
<0941> 糞虫

//<0942> 量産型日向
<0942> 量産型日向

//<0943> ？？
<0943> ？？

//<0944> 「なんの話だ？」
<0944> 「なんの話だ？」

//<0945> nothing
<0945> nothing

//<0946> nothing
<0946> nothing

//<0947> nothing
<0947> nothing

//<0948> nothing
<0948> nothing

//<0949> nothing
<0949> nothing

//<0950> 天使
<0950> 天使

//<0951> かなで
<0951> かなで

//<0952> 女生徒
<0952> 女生徒

//<0953> ？？
<0953> ？？

//<0954> 「…いい。忘れて」
<0954> 「…いい。忘れて」

//<0955> 音無
<0955> 音無

//<0956> クソ坊主
<0956> クソ坊主

//<0957> 代理人
<0957> 代理人

//<0958> 微妙すぎるイケメン
<0958> 微妙すぎるイケメン

//<0959> ロリコン
<0959> ロリコン

//<0960> メガネ仲間
<0960> メガネ仲間

//<0961> 暗算日本記録保持者
<0961> 暗算日本記録保持者

//<0962> 通り魔
<0962> 通り魔

//<0963> 記憶ナシ男
<0963> 記憶ナシ男

//<0964> 音速
<0964> 音速

//<0965> 無限
<0965> 無限

//<0966> エロ侍
<0966> エロ侍

//<0967> エロエロ団ナンバー１
<0967> エロエロ団ナンバー１

//<0968> ただのエロ少年
<0968> ただのエロ少年

//<0969> ユリブサイク
<0969> ユリブサイク

//<0970> ドピュッシー
<0970> ドピュッシー

//<0971> アメリカンエロドッグ
<0971> アメリカンエロドッグ

//<0972> ゼウス
<0972> ゼウス

//<0973> 日向markⅡ
<0973> 日向markⅡ

//<0974> 糞虫
<0974> 糞虫

//<0975> 量産型日向
<0975> 量産型日向

//<0976> ？？
<0976> ？？

//<0977> 「そ。じゃあな」
<0977> 「そ。じゃあな」

//<0978> nothing
<0978> nothing

//<0979> nothing
<0979> nothing

//<0980> nothing
<0980> nothing

//<0981> nothing
<0981> nothing

//<0982> nothing
<0982> nothing

//<0983> 天使
<0983> 天使

//<0984> かなで
<0984> かなで

//<0985> 女生徒
<0985> 女生徒

//<0986> ？？
<0986> ？？

//<0987> 「これから授業を受けるのよ」
<0987> 「これから授業を受けるのよ」

//<0988> 話が逸れていたようなので、しれっと立ち去るつもりが、失敗に終わる。
<0988> 話が逸れていたようなので、しれっと立ち去るつもりが、失敗に終わる。

//<0989> nothing
<0989> nothing

//<0990> nothing
<0990> nothing

//<0991> nothing
<0991> nothing

//<0992> nothing
<0992> nothing

//<0993> nothing
<0993> nothing

//<0994> nothing
<0994> nothing

//<0995> nothing
<0995> nothing

//<0996> nothing
<0996> nothing

//<0997> nothing
<0997> nothing

//<0998> nothing
<0998> nothing

//<0999> 天使は一気に距離を詰めてきて、俺は戦慄を覚える。
<0999> 天使は一気に距離を詰めてきて、俺は戦慄を覚える。

//<1000> nothing
<1000> nothing

//<1001> nothing
<1001> nothing

//<1002> nothing
<1002> nothing

//<1003> nothing
<1003> nothing

//<1004> nothing
<1004> nothing

//<1005> se_threaten
<1005> se_threaten

//<1006> 刃を喉元に当てられて、そこで止まった。
<1006> 刃を喉元に当てられて、そこで止まった。

//<1007> nothing
<1007> nothing

//<1008> nothing
<1008> nothing

//<1009> nothing
<1009> nothing

//<1010> nothing
<1010> nothing

//<1011> nothing
<1011> nothing

//<1012> 天使
<1012> 天使

//<1013> かなで
<1013> かなで

//<1014> 女生徒
<1014> 女生徒

//<1015> ？？
<1015> ？？

//<1016> 「授業を受けて」
<1016> 「授業を受けて」

//<1017> また死ぬ痛みを覚えるのは嫌だ…。
<1017> また死ぬ痛みを覚えるのは嫌だ…。

//<1018> 音無
<1018> 音無

//<1019> クソ坊主
<1019> クソ坊主

//<1020> 代理人
<1020> 代理人

//<1021> 微妙すぎるイケメン
<1021> 微妙すぎるイケメン

//<1022> ロリコン
<1022> ロリコン

//<1023> メガネ仲間
<1023> メガネ仲間

//<1024> 暗算日本記録保持者
<1024> 暗算日本記録保持者

//<1025> 通り魔
<1025> 通り魔

//<1026> 記憶ナシ男
<1026> 記憶ナシ男

//<1027> 音速
<1027> 音速

//<1028> 無限
<1028> 無限

//<1029> エロ侍
<1029> エロ侍

//<1030> エロエロ団ナンバー１
<1030> エロエロ団ナンバー１

//<1031> ただのエロ少年
<1031> ただのエロ少年

//<1032> ユリブサイク
<1032> ユリブサイク

//<1033> ドピュッシー
<1033> ドピュッシー

//<1034> アメリカンエロドッグ
<1034> アメリカンエロドッグ

//<1035> ゼウス
<1035> ゼウス

//<1036> 日向markⅡ
<1036> 日向markⅡ

//<1037> 糞虫
<1037> 糞虫

//<1038> 量産型日向
<1038> 量産型日向

//<1039> ？？
<1039> ？？

//<1040> 「わかった…」
<1040> 「わかった…」

//<1041> nothing
<1041> nothing

//<1042> nothing
<1042> nothing

//<1043> nothing
<1043> nothing

//<1044> nothing
<1044> nothing

//<1045> nothing
<1045> nothing

//<1046> se_threaten
<1046> se_threaten

//<1047> またも刃を喉元に向けられる。
<1047> またも刃を喉元に向けられる。

//<1048> nothing
<1048> nothing

//<1049> nothing
<1049> nothing

//<1050> nothing
<1050> nothing

//<1051> nothing
<1051> nothing

//<1052> nothing
<1052> nothing

//<1053> 天使
<1053> 天使

//<1054> かなで
<1054> かなで

//<1055> 女生徒
<1055> 女生徒

//<1056> ？？
<1056> ？？

//<1057> 「授業を受けて」
<1057> 「授業を受けて」

//<1058> 音無
<1058> 音無

//<1059> クソ坊主
<1059> クソ坊主

//<1060> 代理人
<1060> 代理人

//<1061> 微妙すぎるイケメン
<1061> 微妙すぎるイケメン

//<1062> ロリコン
<1062> ロリコン
