// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<0000> 白
//<0503> 量産型日向
<0503> 量産型日向

//<0504> ？？
<0504> ？？

//<0505> 「そう。自立してるお兄ちゃんはちゃんと日銭を稼がなくちゃならないんだ」
<0505> 「そう。自立してるお兄ちゃんはちゃんと日銭を稼がなくちゃならないんだ」

//<0506> 初音
<0506> 初音

//<0507> 「え？　だったらあたしもっ…」
<0507> 「え？　だったらあたしもっ…」

//<0508> 音無
<0508> 音無

//<0509> クソ坊主
<0509> クソ坊主

//<0510> 代理人
<0510> 代理人

//<0511> 微妙すぎるイケメン
<0511> 微妙すぎるイケメン

//<0512> ロリコン
<0512> ロリコン

//<0513> メガネ仲間
<0513> メガネ仲間

//<0514> 暗算日本記録保持者
<0514> 暗算日本記録保持者

//<0515> 通り魔
<0515> 通り魔

//<0516> 記憶ナシ男
<0516> 記憶ナシ男

//<0517> 音速
<0517> 音速

//<0518> 無限
<0518> 無限

//<0519> エロ侍
<0519> エロ侍

//<0520> エロエロ団ナンバー１
<0520> エロエロ団ナンバー１

//<0521> ただのエロ少年
<0521> ただのエロ少年

//<0522> ユリブサイク
<0522> ユリブサイク

//<0523> ドピュッシー
<0523> ドピュッシー

//<0524> アメリカンエロドッグ
<0524> アメリカンエロドッグ

//<0525> ゼウス
<0525> ゼウス

//<0526> 日向markⅡ
<0526> 日向markⅡ

//<0527> 糞虫
<0527> 糞虫

//<0528> 量産型日向
<0528> 量産型日向

//<0529> ？？
<0529> ？？

//<0530> 「馬鹿。病人は、病気を治すのが仕事だ」
<0530> 「馬鹿。病人は、病気を治すのが仕事だ」

//<0531> 俺は立ち上がって、初音の髪をかき分けた。
<0531> 俺は立ち上がって、初音の髪をかき分けた。

//<0532> この額にキスでもすれば甲斐性があるのかな。
<0532> この額にキスでもすれば甲斐性があるのかな。

//<0533> 甲斐性なしの俺にはそんなことすらできず、髪を整え直し、手を離した。
<0533> 甲斐性なしの俺にはそんなことすらできず、髪を整え直し、手を離した。

//<0534> 音無
<0534> 音無

//<0535> クソ坊主
<0535> クソ坊主

//<0536> 代理人
<0536> 代理人

//<0537> 微妙すぎるイケメン
<0537> 微妙すぎるイケメン

//<0538> ロリコン
<0538> ロリコン

//<0539> メガネ仲間
<0539> メガネ仲間

//<0540> 暗算日本記録保持者
<0540> 暗算日本記録保持者

//<0541> 通り魔
<0541> 通り魔

//<0542> 記憶ナシ男
<0542> 記憶ナシ男

//<0543> 音速
<0543> 音速

//<0544> 無限
<0544> 無限

//<0545> エロ侍
<0545> エロ侍

//<0546> エロエロ団ナンバー１
<0546> エロエロ団ナンバー１

//<0547> ただのエロ少年
<0547> ただのエロ少年

//<0548> ユリブサイク
<0548> ユリブサイク

//<0549> ドピュッシー
<0549> ドピュッシー

//<0550> アメリカンエロドッグ
<0550> アメリカンエロドッグ

//<0551> ゼウス
<0551> ゼウス

//<0552> 日向markⅡ
<0552> 日向markⅡ

//<0553> 糞虫
<0553> 糞虫

//<0554> 量産型日向
<0554> 量産型日向

//<0555> ？？
<0555> ？？

//<0556> 「じゃ、ベッド倒すからな」
<0556> 「じゃ、ベッド倒すからな」

//<0557> 初音
<0557> 初音

//<0558> 「えー」
<0558> 「えー」

//<0559> 部屋を出た。
<0559> 部屋を出た。

//<0560> すぐ正面のガラスに映った自分の姿。
<0560> すぐ正面のガラスに映った自分の姿。

//<0561> 人目も気にしないぼさぼさに伸びた髪。
<0561> 人目も気にしないぼさぼさに伸びた髪。

//<0562> 俺はなんのために生きているのだろう？
<0562> 俺はなんのために生きているのだろう？

//<0563> その自分に問うた。
<0563> その自分に問うた。

//<0564> 白
<0564> 白
{d8e2} 0a // 0564

//<0565> 俺は生きている意味がわからない人間だった。
<0565> 俺は生きている意味がわからない人間だった。

//<0566> 生き甲斐を知らない。
<0566> 生き甲斐を知らない。

//<0567> 他の人は何を糧に生きているのだろう。
<0567> 他の人は何を糧に生きているのだろう。

//<0568> 何が楽しくて過ごせているのだろう。
<0568> 何が楽しくて過ごせているのだろう。

//<0569> 人にも興味が持てない。
<0569> 人にも興味が持てない。

//<0570> 友達なんて相手にするのが面倒。
<0570> 友達なんて相手にするのが面倒。

//<0571> 誰かと一緒に遊ぶなんて、気を遣ってストレスが溜まるだけだ。
<0571> 誰かと一緒に遊ぶなんて、気を遣ってストレスが溜まるだけだ。

//<0572> それは相手が男だろうが、女だろうが同じ。
<0572> それは相手が男だろうが、女だろうが同じ。

//<0573> スポーツだって、自らなぜ汗をかいて息を上がらせて不快な思いをしなければならないのか理解できない。
<0573> スポーツだって、自らなぜ汗をかいて息を上がらせて不快な思いをしなければならないのか理解できない。

//<0574> テレビゲームなんて最悪だ。クリアしてお金がもらえるならまだしも、逆に払わなければプレイできないなんて、意味がわからない。
<0574> テレビゲームなんて最悪だ。クリアしてお金がもらえるならまだしも、逆に払わなければプレイできないなんて、意味がわからない。

//<0575> 大食いメニューを時間制限内に食いきって無料になるのは、腹も膨れるし有益だ。ゲーム業界はそこんところを見習ってほしいものだ。
<0575> 大食いメニューを時間制限内に食いきって無料になるのは、腹も膨れるし有益だ。ゲーム業界はそこんところを見習ってほしいものだ。

//<0576> 本も読まないし、映画も観ない。結局そこにあるのは遠い他人の、俺とは関係のないお話だから。
<0576> 本も読まないし、映画も観ない。結局そこにあるのは遠い他人の、俺とは関係のないお話だから。

//<0577> 頭が賢くなったところで叶えたい夢もないから、勉強にも興味は湧かない。
<0577> 頭が賢くなったところで叶えたい夢もないから、勉強にも興味は湧かない。

//<0578> テレビはいつもニュース番組を流しているが、無音が嫌なだけだ。世の中で何が起きていようがどうでもいい。自分に関係なければすべて対岸の火事だ。
<0578> テレビはいつもニュース番組を流しているが、無音が嫌なだけだ。世の中で何が起きていようがどうでもいい。自分に関係なければすべて対岸の火事だ。

//<0579> ただ、新聞紙に挟まれたスーパーのチラシ。
<0579> ただ、新聞紙に挟まれたスーパーのチラシ。

//<0580> それを読むことだけには意義を感じられた。
<0580> それを読むことだけには意義を感じられた。

//<0581> より安いスーパーで、食材を調達する。
<0581> より安いスーパーで、食材を調達する。

//<0582> 俺の稼ぎで生きていくためには必要なことだ。
<0582> 俺の稼ぎで生きていくためには必要なことだ。

//<0583> だからそれぐらいが俺の暇つぶしだ。
<0583> だからそれぐらいが俺の暇つぶしだ。

//<0584> そう考えると、俺の暮らしには、バイトと暇つぶししかなかった。
<0584> そう考えると、俺の暮らしには、バイトと暇つぶししかなかった。

//<0585> 白
<0585> 白

//<0586> 炎天下での交通整理。
<0586> 炎天下での交通整理。

//<0587> この上なく不快だが、最低限食っていくための収入は必要だ。
<0587> この上なく不快だが、最低限食っていくための収入は必要だ。

//<0588> 部屋代と光熱費と食費。
<0588> 部屋代と光熱費と食費。

//<0589> それだけを稼ぐ日々。
<0589> それだけを稼ぐ日々。

//<0590> それでも俺はずっと、妹にだけは会いに行っていた。
<0590> それでも俺はずっと、妹にだけは会いに行っていた。

//<0591> 妹は昔から漫画が好きだった。
<0591> 妹は昔から漫画が好きだった。

//<0592> だから、なけなしの金で、漫画雑誌を買っていく。
<0592> だから、なけなしの金で、漫画雑誌を買っていく。

//<0593> でも、俺は漫画にも興味がなかったので、雑誌の名前すらいつまでもうろ覚え。
<0593> でも、俺は漫画にも興味がなかったので、雑誌の名前すらいつまでもうろ覚え。

//<0594> いつも適当に本屋で平積みになってるのを買ってくるので、同じ雑誌かどうかすら怪しい。
<0594> いつも適当に本屋で平積みになってるのを買ってくるので、同じ雑誌かどうかすら怪しい。

//<0595> もしかしたら、違う雑誌になっていて、話は続いていないかもしれない。
<0595> もしかしたら、違う雑誌になっていて、話は続いていないかもしれない。

//<0596> 初音
<0596> 初音

//<0597> 「ありがとう、おにぃちゃん」
<0597> 「ありがとう、おにぃちゃん」

//<0598> でも決まってそう礼を言って、初音はそれを受け取った。
<0598> でも決まってそう礼を言って、初音はそれを受け取った。

//<0599> 結局、なんでも嬉しいようだった。
<0599> 結局、なんでも嬉しいようだった。

//<0600> 妹は俺とは違う。生きることに希望を持ってるし、生きる意味もきっと見つけられる。
<0600> 妹は俺とは違う。生きることに希望を持ってるし、生きる意味もきっと見つけられる。

//<0601> なのに、なんて皮肉な話なんだろう。
<0601> なのに、なんて皮肉な話なんだろう。

//<0602> そんな奴が、ずっとこの二年、起きられないまま過ごしている。
<0602> そんな奴が、ずっとこの二年、起きられないまま過ごしている。

//<0603> 可哀想に…。
<0603> 可哀想に…。

//<0604> 代わってやれたらいいのに…。
<0604> 代わってやれたらいいのに…。

//<0605> なんの夢も持たない、生きる意味もわからないこの俺と。
<0605> なんの夢も持たない、生きる意味もわからないこの俺と。

//<0606> その憐情の思いが、俺を病院に通わせていた。
<0606> その憐情の思いが、俺を病院に通わせていた。

//<0607> 白
<0607> 白

//<0608> nothing
<0608> nothing

//<0609> 
<0609> 

//<0610> 
<0610> 

//<0611> nothing
<0611> nothing

//<0612> 季節は移ろいゆく。
<0612> 季節は移ろいゆく。

//<0613> 夏休みも知らぬ間に終わり、二学期が始まっていた。
<0613> 夏休みも知らぬ間に終わり、二学期が始まっていた。

//<0614> 俺はと言えば変わらない暮らし。
<0614> 俺はと言えば変わらない暮らし。

//<0615> 惰性で生き続けているだけ。
<0615> 惰性で生き続けているだけ。

//<0616> 死んでみることも時には考える。
<0616> 死んでみることも時には考える。

//<0617> でも、もし。
<0617> でも、もし。

//<0618> 生まれ変わりというものが本当にあったとしたら。
<0618> 生まれ変わりというものが本当にあったとしたら。

//<0619> 今よりもっとひどい人生の人間として生まれてきてしまう可能性がある。
<0619> 今よりもっとひどい人生の人間として生まれてきてしまう可能性がある。

//<0620> 例えば犯罪者。
<0620> 例えば犯罪者。

//<0621> 人には興味はなくとも、最低限他人に迷惑はかけたくない。
<0621> 人には興味はなくとも、最低限他人に迷惑はかけたくない。

//<0622> その最たる存在になってしまうなんて身の毛もよだつ。
<0622> その最たる存在になってしまうなんて身の毛もよだつ。

//<0623> 今の俺のほうが犯罪者よりはマシだ。
<0623> 今の俺のほうが犯罪者よりはマシだ。

//<0624> そう考えると、この人生を終わらせるのはまだまだ先でいい。もっとひどくなった時でいい。そう結論づけてしまう。
<0624> そう考えると、この人生を終わらせるのはまだまだ先でいい。もっとひどくなった時でいい。そう結論づけてしまう。

//<0625> 白
<0625> 白

//<0626> やがて紅葉の季節も過ぎ、冬がやってきた。
<0626> やがて紅葉の季節も過ぎ、冬がやってきた。

//<0627> 夏の炎天下もそうだけど、冬のバイトは一層辛い。
<0627> 夏の炎天下もそうだけど、冬のバイトは一層辛い。

//<0628> 指先がかじかんで、裂けそうだから。
<0628> 指先がかじかんで、裂けそうだから。

//<0629> それでも生きるために、働き続ける。
<0629> それでも生きるために、働き続ける。

//<0630> 生きる…？
<0630> 生きる…？

//<0631> …なんのために？
<0631> …なんのために？

//<0632> 考えたら駄目だ。
<0632> 考えたら駄目だ。

//<0633> 考えたら、バイトすらやめてしまいそうだから。
<0633> 考えたら、バイトすらやめてしまいそうだから。

//<0634> これだけは続けなきゃな。
<0634> これだけは続けなきゃな。

//<0635> 食うために。
<0635> 食うために。

//<0636> そして…あいつに漫画雑誌を買ってやるために。
<0636> そして…あいつに漫画雑誌を買ってやるために。

//<0637> 仕事終わり、スーパーに入ると、ＢＧＭがクリスマスソングだった。
<0637> 仕事終わり、スーパーに入ると、ＢＧＭがクリスマスソングだった。

//<0638> そうか…もうそんな季節か。
<0638> そうか…もうそんな季節か。

//<0639> もやしと即席ラーメンをカゴに詰め込んでいる最中も、途切れることなくクリスマスソングは流れ続けた。
<0639> もやしと即席ラーメンをカゴに詰め込んでいる最中も、途切れることなくクリスマスソングは流れ続けた。

//<0640> 忌々しく思い始めていた時。
<0640> 忌々しく思い始めていた時。

//<0641> そうだ、と俺はひらめいた。
<0641> そうだ、と俺はひらめいた。

//<0642> クリスマスを初音にとって特別な日にしてやろう。
<0642> クリスマスを初音にとって特別な日にしてやろう。

//<0643> 医者に相談して、少しだけでも外に出られるようにしてもらおう。
<0643> 医者に相談して、少しだけでも外に出られるようにしてもらおう。

//<0644> そうなると、車椅子が必要だが雪が積もると使えないのかな…。
<0644> そうなると、車椅子が必要だが雪が積もると使えないのかな…。

//<0645> だったら、おんぶでいいや。
<0645> だったら、おんぶでいいや。

//<0646> あいつひとりぐらいだったら、どれだけだって負ぶって歩ける。
<0646> あいつひとりぐらいだったら、どれだけだって負ぶって歩ける。

//<0647> それで、好きな店で、好きなものを買ってやろう。
<0647> それで、好きな店で、好きなものを買ってやろう。

//<0648> できれば、いいお店でケーキも食べさせてやりたい。
<0648> できれば、いいお店でケーキも食べさせてやりたい。

//<0649> だともっと稼がないとな。
<0649> だともっと稼がないとな。

//<0650> 今の収入じゃ心許なすぎる。
<0650> 今の収入じゃ心許なすぎる。

//<0651> se_hospitaldoor_open
<0651> se_hospitaldoor_open

//<0652> 音無
<0652> 音無

//<0653> クソ坊主
<0653> クソ坊主

//<0654> 代理人
<0654> 代理人

//<0655> 微妙すぎるイケメン
<0655> 微妙すぎるイケメン

//<0656> ロリコン
<0656> ロリコン

//<0657> メガネ仲間
<0657> メガネ仲間

//<0658> 暗算日本記録保持者
<0658> 暗算日本記録保持者

//<0659> 通り魔
<0659> 通り魔

//<0660> 記憶ナシ男
<0660> 記憶ナシ男

//<0661> 音速
<0661> 音速

//<0662> 無限
<0662> 無限

//<0663> エロ侍
<0663> エロ侍

//<0664> エロエロ団ナンバー１
<0664> エロエロ団ナンバー１

//<0665> ただのエロ少年
<0665> ただのエロ少年

//<0666> ユリブサイク
<0666> ユリブサイク

//<0667> ドピュッシー
<0667> ドピュッシー

//<0668> アメリカンエロドッグ
<0668> アメリカンエロドッグ

//<0669> ゼウス
<0669> ゼウス

//<0670> 日向markⅡ
<0670> 日向markⅡ

//<0671> 糞虫
<0671> 糞虫

//<0672> 量産型日向
<0672> 量産型日向

//<0673> ？？
<0673> ？？

//<0674> 「ようっ」
<0674> 「ようっ」

//<0675> 次の日、俺は興奮気味に初音の病室を訪れた。
<0675> 次の日、俺は興奮気味に初音の病室を訪れた。

//<0676> 昨日ひらめいた名案のせいだ。
<0676> 昨日ひらめいた名案のせいだ。

//<0677> 初音は漫画を読んでいるところだった。
<0677> 初音は漫画を読んでいるところだった。

//<0678> 音無
<0678> 音無

//<0679> クソ坊主
<0679> クソ坊主

//<0680> 代理人
<0680> 代理人

//<0681> 微妙すぎるイケメン
<0681> 微妙すぎるイケメン

//<0682> ロリコン
<0682> ロリコン

//<0683> メガネ仲間
<0683> メガネ仲間

//<0684> 暗算日本記録保持者
<0684> 暗算日本記録保持者

//<0685> 通り魔
<0685> 通り魔

//<0686> 記憶ナシ男
<0686> 記憶ナシ男

//<0687> 音速
<0687> 音速

//<0688> 無限
<0688> 無限

//<0689> エロ侍
<0689> エロ侍

//<0690> エロエロ団ナンバー１
<0690> エロエロ団ナンバー１

//<0691> ただのエロ少年
<0691> ただのエロ少年

//<0692> ユリブサイク
<0692> ユリブサイク

//<0693> ドピュッシー
<0693> ドピュッシー

//<0694> アメリカンエロドッグ
<0694> アメリカンエロドッグ

//<0695> ゼウス
<0695> ゼウス

//<0696> 日向markⅡ
<0696> 日向markⅡ

//<0697> 糞虫
<0697> 糞虫

//<0698> 量産型日向
<0698> 量産型日向

//<0699> ？？
<0699> ？？

//<0700> 「元気か？」
<0700> 「元気か？」

//<0701> 初音
<0701> 初音

//<0702> 「何かあったの？　おにいちゃんのほうが元気」
<0702> 「何かあったの？　おにいちゃんのほうが元気」

//<0703> 音無
<0703> 音無

//<0704> クソ坊主
<0704> クソ坊主

//<0705> 代理人
<0705> 代理人

//<0706> 微妙すぎるイケメン
<0706> 微妙すぎるイケメン

//<0707> ロリコン
<0707> ロリコン

//<0708> メガネ仲間
<0708> メガネ仲間

//<0709> 暗算日本記録保持者
<0709> 暗算日本記録保持者

//<0710> 通り魔
<0710> 通り魔

//<0711> 記憶ナシ男
<0711> 記憶ナシ男

//<0712> 音速
<0712> 音速

//<0713> 無限
<0713> 無限

//<0714> エロ侍
<0714> エロ侍

//<0715> エロエロ団ナンバー１
<0715> エロエロ団ナンバー１

//<0716> ただのエロ少年
<0716> ただのエロ少年

//<0717> ユリブサイク
<0717> ユリブサイク

//<0718> ドピュッシー
<0718> ドピュッシー

//<0719> アメリカンエロドッグ
<0719> アメリカンエロドッグ

//<0720> ゼウス
<0720> ゼウス

//<0721> 日向markⅡ
<0721> 日向markⅡ

//<0722> 糞虫
<0722> 糞虫

//<0723> 量産型日向
<0723> 量産型日向

//<0724> ？？
<0724> ？？

//<0725> 「え…そりゃ、俺は別に病気じゃないし…」
<0725> 「え…そりゃ、俺は別に病気じゃないし…」

//<0726> 見透かされたのが、すごく気恥ずかしい…。
<0726> 見透かされたのが、すごく気恥ずかしい…。

//<0727> 椅子を引き寄せて、座った。
<0727> 椅子を引き寄せて、座った。

//<0728> なかなか切り出せない…。
<0728> なかなか切り出せない…。

//<0729> 初音
<0729> 初音

//<0730> 「あれ、みて」
<0730> 「あれ、みて」

//<0731> 初音が前方を指さした。
<0731> 初音が前方を指さした。

//<0732> 壁にサンタクロースとトナカイとおぼしき切り絵が貼り付けてあった。
<0732> 壁にサンタクロースとトナカイとおぼしき切り絵が貼り付けてあった。

//<0733> 初音
<0733> 初音

//<0734> 「浜崎さんちのたかしくんがあたしのために作ってくれたんだよ？」
<0734> 「浜崎さんちのたかしくんがあたしのために作ってくれたんだよ？」

//<0735> 初音
<0735> 初音

//<0736> 「じゅんこさんにきいて、貼ってもらったの」
<0736> 「じゅんこさんにきいて、貼ってもらったの」

//<0737> 会ってはいるのだろうけど、名前を聞かされても誰ひとり顔が思い出せない。
<0737> 会ってはいるのだろうけど、名前を聞かされても誰ひとり顔が思い出せない。

//<0738> でも、これで切り出せる。
<0738> でも、これで切り出せる。

//<0739> 音無
<0739> 音無

//<0740> クソ坊主
<0740> クソ坊主

//<0741> 代理人
<0741> 代理人

//<0742> 微妙すぎるイケメン
<0742> 微妙すぎるイケメン

//<0743> ロリコン
<0743> ロリコン

//<0744> メガネ仲間
<0744> メガネ仲間

//<0745> 暗算日本記録保持者
<0745> 暗算日本記録保持者

//<0746> 通り魔
<0746> 通り魔

//<0747> 記憶ナシ男
<0747> 記憶ナシ男

//<0748> 音速
<0748> 音速

//<0749> 無限
<0749> 無限

//<0750> エロ侍
<0750> エロ侍

//<0751> エロエロ団ナンバー１
<0751> エロエロ団ナンバー１

//<0752> ただのエロ少年
<0752> ただのエロ少年

//<0753> ユリブサイク
<0753> ユリブサイク

//<0754> ドピュッシー
<0754> ドピュッシー

//<0755> アメリカンエロドッグ
<0755> アメリカンエロドッグ

//<0756> ゼウス
<0756> ゼウス

//<0757> 日向markⅡ
<0757> 日向markⅡ

//<0758> 糞虫
<0758> 糞虫

//<0759> 量産型日向
<0759> 量産型日向

//<0760> ？？
<0760> ？？

//<0761> 「そっか…もうすぐクリスマスなんだな」
<0761> 「そっか…もうすぐクリスマスなんだな」

//<0762> 初音
<0762> 初音

//<0763> 「そうだよ。おにいちゃんはきょうみないだろうけどね」
<0763> 「そうだよ。おにいちゃんはきょうみないだろうけどね」

//<0764> 音無
<0764> 音無

//<0765> クソ坊主
<0765> クソ坊主

//<0766> 代理人
<0766> 代理人

//<0767> 微妙すぎるイケメン
<0767> 微妙すぎるイケメン

//<0768> ロリコン
<0768> ロリコン

//<0769> メガネ仲間
<0769> メガネ仲間

//<0770> 暗算日本記録保持者
<0770> 暗算日本記録保持者

//<0771> 通り魔
<0771> 通り魔

//<0772> 記憶ナシ男
<0772> 記憶ナシ男

//<0773> 音速
<0773> 音速

//<0774> 無限
<0774> 無限

//<0775> エロ侍
<0775> エロ侍

//<0776> エロエロ団ナンバー１
<0776> エロエロ団ナンバー１

//<0777> ただのエロ少年
<0777> ただのエロ少年

//<0778> ユリブサイク
<0778> ユリブサイク

//<0779> ドピュッシー
<0779> ドピュッシー

//<0780> アメリカンエロドッグ
<0780> アメリカンエロドッグ

//<0781> ゼウス
<0781> ゼウス

//<0782> 日向markⅡ
<0782> 日向markⅡ

//<0783> 糞虫
<0783> 糞虫

//<0784> 量産型日向
<0784> 量産型日向

//<0785> ？？
<0785> ？？

//<0786> 「なくはないよ」
<0786> 「なくはないよ」

//<0787> 初音
<0787> 初音

//<0788> 「ほんと！？」
<0788> 「ほんと！？」

//<0789> 音無
<0789> 音無

//<0790> クソ坊主
<0790> クソ坊主

//<0791> 代理人
<0791> 代理人

//<0792> 微妙すぎるイケメン
<0792> 微妙すぎるイケメン

//<0793> ロリコン
<0793> ロリコン

//<0794> メガネ仲間
<0794> メガネ仲間

//<0795> 暗算日本記録保持者
<0795> 暗算日本記録保持者

//<0796> 通り魔
<0796> 通り魔

//<0797> 記憶ナシ男
<0797> 記憶ナシ男

//<0798> 音速
<0798> 音速

//<0799> 無限
<0799> 無限

//<0800> エロ侍
<0800> エロ侍

//<0801> エロエロ団ナンバー１
<0801> エロエロ団ナンバー１

//<0802> ただのエロ少年
<0802> ただのエロ少年

//<0803> ユリブサイク
<0803> ユリブサイク

//<0804> ドピュッシー
<0804> ドピュッシー

//<0805> アメリカンエロドッグ
<0805> アメリカンエロドッグ

//<0806> ゼウス
<0806> ゼウス

//<0807> 日向markⅡ
<0807> 日向markⅡ

//<0808> 糞虫
<0808> 糞虫

//<0809> 量産型日向
<0809> 量産型日向

//<0810> ？？
<0810> ？？

//<0811> 「ああ」
<0811> 「ああ」

//<0812> 去年まではなかったが、今年はある。
<0812> 去年まではなかったが、今年はある。

//<0813> 音無
<0813> 音無

//<0814> クソ坊主
<0814> クソ坊主

//<0815> 代理人
<0815> 代理人

//<0816> 微妙すぎるイケメン
<0816> 微妙すぎるイケメン

//<0817> ロリコン
<0817> ロリコン

//<0818> メガネ仲間
<0818> メガネ仲間

//<0819> 暗算日本記録保持者
<0819> 暗算日本記録保持者

//<0820> 通り魔
<0820> 通り魔

//<0821> 記憶ナシ男
<0821> 記憶ナシ男

//<0822> 音速
<0822> 音速

//<0823> 無限
<0823> 無限

//<0824> エロ侍
<0824> エロ侍

//<0825> エロエロ団ナンバー１
<0825> エロエロ団ナンバー１

//<0826> ただのエロ少年
<0826> ただのエロ少年

//<0827> ユリブサイク
<0827> ユリブサイク

//<0828> ドピュッシー
<0828> ドピュッシー

//<0829> アメリカンエロドッグ
<0829> アメリカンエロドッグ

//<0830> ゼウス
<0830> ゼウス

//<0831> 日向markⅡ
<0831> 日向markⅡ

//<0832> 糞虫
<0832> 糞虫

//<0833> 量産型日向
<0833> 量産型日向

//<0834> ？？
<0834> ？？

//<0835> 「なあ、クリスマス、もし出かけられるなら、初音はどんな場所に行きたい？」
<0835> 「なあ、クリスマス、もし出かけられるなら、初音はどんな場所に行きたい？」

//<0836> 初音
<0836> 初音

//<0837> 「街の大通り！」
<0837> 「街の大通り！」

//<0838> 即答だった。
<0838> 即答だった。

//<0839> しかもどーでもいいような場所だ。
<0839> しかもどーでもいいような場所だ。

//<0840> 音無
<0840> 音無

//<0841> クソ坊主
<0841> クソ坊主

//<0842> 代理人
<0842> 代理人

//<0843> 微妙すぎるイケメン
<0843> 微妙すぎるイケメン

//<0844> ロリコン
<0844> ロリコン

//<0845> メガネ仲間
<0845> メガネ仲間

//<0846> 暗算日本記録保持者
<0846> 暗算日本記録保持者

//<0847> 通り魔
<0847> 通り魔

//<0848> 記憶ナシ男
<0848> 記憶ナシ男

//<0849> 音速
<0849> 音速

//<0850> 無限
<0850> 無限

//<0851> エロ侍
<0851> エロ侍

//<0852> エロエロ団ナンバー１
<0852> エロエロ団ナンバー１

//<0853> ただのエロ少年
<0853> ただのエロ少年

//<0854> ユリブサイク
<0854> ユリブサイク

//<0855> ドピュッシー
<0855> ドピュッシー

//<0856> アメリカンエロドッグ
<0856> アメリカンエロドッグ

//<0857> ゼウス
<0857> ゼウス

//<0858> 日向markⅡ
<0858> 日向markⅡ

//<0859> 糞虫
<0859> 糞虫

//<0860> 量産型日向
<0860> 量産型日向

//<0861> ？？
<0861> ？？

//<0862> 「あんなとこでいいのか？」
<0862> 「あんなとこでいいのか？」

//<0863> 初音
<0863> 初音

//<0864> 「だってねぇ、ぜんぶの木に電飾がつくんだよ？　しってる？」
<0864> 「だってねぇ、ぜんぶの木に電飾がつくんだよ？　しってる？」

//<0865> 音無
<0865> 音無

//<0866> クソ坊主
<0866> クソ坊主

//<0867> 代理人
<0867> 代理人

//<0868> 微妙すぎるイケメン
<0868> 微妙すぎるイケメン

//<0869> ロリコン
<0869> ロリコン

//<0870> メガネ仲間
<0870> メガネ仲間

//<0871> 暗算日本記録保持者
<0871> 暗算日本記録保持者

//<0872> 通り魔
<0872> 通り魔

//<0873> 記憶ナシ男
<0873> 記憶ナシ男

//<0874> 音速
<0874> 音速

//<0875> 無限
<0875> 無限

//<0876> エロ侍
<0876> エロ侍

//<0877> エロエロ団ナンバー１
<0877> エロエロ団ナンバー１

//<0878> ただのエロ少年
<0878> ただのエロ少年

//<0879> ユリブサイク
<0879> ユリブサイク

//<0880> ドピュッシー
<0880> ドピュッシー

//<0881> アメリカンエロドッグ
<0881> アメリカンエロドッグ

//<0882> ゼウス
<0882> ゼウス

//<0883> 日向markⅡ
<0883> 日向markⅡ

//<0884> 糞虫
<0884> 糞虫

//<0885> 量産型日向
<0885> 量産型日向

//<0886> ？？
<0886> ？？

//<0887> 「いや、クリスマスにあんなとこいかねぇし…」
<0887> 「いや、クリスマスにあんなとこいかねぇし…」

//<0888> 初音
<0888> 初音

//<0889> 「すっごくきれいなんだって！　去年からそうなったんだって、さとこちゃんがいってた！」
<0889> 「すっごくきれいなんだって！　去年からそうなったんだって、さとこちゃんがいってた！」

//<0890> その子も思い出せない。
<0890> その子も思い出せない。

//<0891> 音無
<0891> 音無

//<0892> クソ坊主
<0892> クソ坊主

//<0893> 代理人
<0893> 代理人

//<0894> 微妙すぎるイケメン
<0894> 微妙すぎるイケメン

//<0895> ロリコン
<0895> ロリコン

//<0896> メガネ仲間
<0896> メガネ仲間

//<0897> 暗算日本記録保持者
<0897> 暗算日本記録保持者

//<0898> 通り魔
<0898> 通り魔

//<0899> 記憶ナシ男
<0899> 記憶ナシ男

//<0900> 音速
<0900> 音速

//<0901> 無限
<0901> 無限

//<0902> エロ侍
<0902> エロ侍

//<0903> エロエロ団ナンバー１
<0903> エロエロ団ナンバー１

//<0904> ただのエロ少年
<0904> ただのエロ少年

//<0905> ユリブサイク
<0905> ユリブサイク

//<0906> ドピュッシー
<0906> ドピュッシー

//<0907> アメリカンエロドッグ
<0907> アメリカンエロドッグ

//<0908> ゼウス
<0908> ゼウス

//<0909> 日向markⅡ
<0909> 日向markⅡ

//<0910> 糞虫
<0910> 糞虫

//<0911> 量産型日向
<0911> 量産型日向

//<0912> ？？
<0912> ？？

//<0913> 「へぇ…じゃ、そこいくか」
<0913> 「へぇ…じゃ、そこいくか」

//<0914> 初音
