// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音がかすかに漏れている。窓越しに覗くと、ひさ子がひとりでギターを練習しているようだ。
<0000> 音がかすかに漏れている。窓越しに覗くと、ひさ子がひとりでギターを練習しているようだ。
<0538> nothing

//<0539> 
<0539> 

//<0540> 
<0540> 

//<0541> nothing
<0541> nothing

//<0542> se_kick
<0542> se_kick

//<0543> どこからか関根が走ってきて、ひさ子の足下にスライディングしていた。
<0543> どこからか関根が走ってきて、ひさ子の足下にスライディングしていた。

//<0544> nothing
<0544> nothing

//<0545> nothing
<0545> nothing

//<0546> nothing
<0546> nothing

//<0547> nothing
<0547> nothing

//<0548> nothing
<0548> nothing

//<0549> nothing
<0549> nothing

//<0550> se_fall_human
<0550> se_fall_human

//<0551> ひさ子が転けて、関根の上に乗っかる。
<0551> ひさ子が転けて、関根の上に乗っかる。

//<0552> 関根
<0552> 関根

//<0553> 「今のうちに逃げてください！」
<0553> 「今のうちに逃げてください！」

//<0554> ひさ子
<0554> ひさ子

//<0555> 「関根、てめぇーーー！！」
<0555> 「関根、てめぇーーー！！」

//<0556> 関根
<0556> 関根

//<0557> 「ぎゃあああーーー！！」
<0557> 「ぎゃあああーーー！！」

//<0558> 悲鳴が聞こえてくるが、関根の犠牲を無駄にするほうが悪い気がしたので、俺はその場から走り去った。
<0558> 悲鳴が聞こえてくるが、関根の犠牲を無駄にするほうが悪い気がしたので、俺はその場から走り去った。

//<0559> 音無
<0559> 音無

//<0560> クソ坊主
<0560> クソ坊主

//<0561> 代理人
<0561> 代理人

//<0562> 微妙すぎるイケメン
<0562> 微妙すぎるイケメン

//<0563> ロリコン
<0563> ロリコン

//<0564> メガネ仲間
<0564> メガネ仲間

//<0565> 暗算日本記録保持者
<0565> 暗算日本記録保持者

//<0566> 通り魔
<0566> 通り魔

//<0567> 記憶ナシ男
<0567> 記憶ナシ男

//<0568> 音速
<0568> 音速

//<0569> 無限
<0569> 無限

//<0570> エロ侍
<0570> エロ侍

//<0571> エロエロ団ナンバー１
<0571> エロエロ団ナンバー１

//<0572> ただのエロ少年
<0572> ただのエロ少年

//<0573> ユリブサイク
<0573> ユリブサイク

//<0574> ドピュッシー
<0574> ドピュッシー

//<0575> アメリカンエロドッグ
<0575> アメリカンエロドッグ

//<0576> ゼウス
<0576> ゼウス

//<0577> 日向markⅡ
<0577> 日向markⅡ

//<0578> 糞虫
<0578> 糞虫

//<0579> 量産型日向
<0579> 量産型日向

//<0580> ？？
<0580> ？？

//<0581> 「わかった。またにするよ」
<0581> 「わかった。またにするよ」

//<0582> nothing
<0582> nothing

//<0583> nothing
<0583> nothing

//<0584> nothing
<0584> nothing

//<0585> nothing
<0585> nothing

//<0586> nothing
<0586> nothing

//<0587> ひさ子
<0587> ひさ子

//<0588> 「ああ」
<0588> 「ああ」

//<0589> nothing
<0589> nothing

//<0590> nothing
<0590> nothing

//<0591> nothing
<0591> nothing

//<0592> nothing
<0592> nothing

//<0593> nothing
<0593> nothing

//<0594> ひさ子
<0594> ひさ子

//<0595> 「そろそろ練習に戻る。じゃあな」
<0595> 「そろそろ練習に戻る。じゃあな」

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> nothing
<0599> nothing

//<0600> nothing
<0600> nothing

//<0601> nothing
<0601> nothing

//<0602> ひさ子は部室に戻っていった。
<0602> ひさ子は部室に戻っていった。

//<0603> dummy
<0603> dummy

//<0604> bg_kuro
<0604> bg_kuro

//<0605> ep88_bg007
<0605> ep88_bg007
{017b} 0a // 0605

//<0606> bs2_hs0102
<0606> bs2_hs0102

//<0607> ep03_bg015
<0607> ep03_bg015

//<0608> ep03_bg015
<0608> ep03_bg015

//<0609> hs0107
<0609> hs0107

//<0610> hs0101
<0610> hs0101

//<0611> hs0106
<0611> hs0106

//<0612> hs0201
<0612> hs0201

//<0613> sys_bk_selline00
<0613> sys_bk_selline00

//<0614> hs0101
<0614> hs0101

//<0615> hs0207
<0615> hs0207

//<0616> hs0205
<0616> hs0205

//<0617> hs0201_06
<0617> hs0201_06

//<0618> hs0101
<0618> hs0101

//<0619> hs0106
<0619> hs0106

//<0620> sys_bk_selline00
<0620> sys_bk_selline00

//<0621> hs0107
<0621> hs0107

//<0622> sys_bk_selline00
<0622> sys_bk_selline00

//<0623> hs0102_06
<0623> hs0102_06

//<0624> sys_bk_selline00
<0624> sys_bk_selline00

//<0625> hs0104
<0625> hs0104

//<0626> hs0102
<0626> hs0102

//<0627> hs0107
<0627> hs0107

//<0628> hs0104
<0628> hs0104

//<0629> bs3_hs010200a0
<0629> bs3_hs010200a0

//<0630> hs0103
<0630> hs0103

//<0631> hs0103
<0631> hs0103

//<0632> hs0103
<0632> hs0103

//<0633> hs0103
<0633> hs0103

//<0634> hs0103
<0634> hs0103

//<0635> hs0103
<0635> hs0103

//<0636> sk010600r3
<0636> sk010600r3

//<0637> sk010600r3
<0637> sk010600r3

//<0638> sk010600r3
<0638> sk010600r3

//<0639> sk010600r3
<0639> sk010600r3

//<0640> sk010600r3
<0640> sk010600r3

//<0641> sk010600r3
<0641> sk010600r3

//<0642> m116
<0642> m116

//<0643> sk0108
<0643> sk0108

//<0644> hs0102
<0644> hs0102

//<0645> sk0107
<0645> sk0107

//<0646> bg_kuro
<0646> bg_kuro

//<0647> hs0101_07
<0647> hs0101_07

//<0648> hs0101
<0648> hs0101

//<0649> bg_kuro
<0649> bg_kuro

