// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 食べ物の話題
<0000> 食べ物の話題
<0528> 「だろうな」

//<0529> 音無
<0529> 音無

//<0530> クソ坊主
<0530> クソ坊主

//<0531> 代理人
<0531> 代理人

//<0532> 微妙すぎるイケメン
<0532> 微妙すぎるイケメン

//<0533> ロリコン
<0533> ロリコン

//<0534> メガネ仲間
<0534> メガネ仲間

//<0535> 暗算日本記録保持者
<0535> 暗算日本記録保持者

//<0536> 通り魔
<0536> 通り魔

//<0537> 記憶ナシ男
<0537> 記憶ナシ男

//<0538> 音速
<0538> 音速

//<0539> 無限
<0539> 無限

//<0540> エロ侍
<0540> エロ侍

//<0541> エロエロ団ナンバー１
<0541> エロエロ団ナンバー１

//<0542> ただのエロ少年
<0542> ただのエロ少年

//<0543> ユリブサイク
<0543> ユリブサイク

//<0544> ドピュッシー
<0544> ドピュッシー

//<0545> アメリカンエロドッグ
<0545> アメリカンエロドッグ

//<0546> ゼウス
<0546> ゼウス

//<0547> 日向markⅡ
<0547> 日向markⅡ

//<0548> 糞虫
<0548> 糞虫

//<0549> 量産型日向
<0549> 量産型日向

//<0550> ？？
<0550> ？？

//<0551> 「肺や体を守るために使われ、そのほとんどは飲み込んでしまうことになる」
<0551> 「肺や体を守るために使われ、そのほとんどは飲み込んでしまうことになる」

//<0552> どうだ？　としたり顔で様子を見る。
<0552> どうだ？　としたり顔で様子を見る。

//<0553> nothing
<0553> nothing

//<0554> nothing
<0554> nothing

//<0555> nothing
<0555> nothing

//<0556> nothing
<0556> nothing

//<0557> nothing
<0557> nothing

//<0558> 岩沢
<0558> 岩沢

//<0559> 「そんな気持ち悪いこと知りたくなかったんだが…」
<0559> 「そんな気持ち悪いこと知りたくなかったんだが…」

//<0560> 音無
<0560> 音無

//<0561> クソ坊主
<0561> クソ坊主

//<0562> 代理人
<0562> 代理人

//<0563> 微妙すぎるイケメン
<0563> 微妙すぎるイケメン

//<0564> ロリコン
<0564> ロリコン

//<0565> メガネ仲間
<0565> メガネ仲間

//<0566> 暗算日本記録保持者
<0566> 暗算日本記録保持者

//<0567> 通り魔
<0567> 通り魔

//<0568> 記憶ナシ男
<0568> 記憶ナシ男

//<0569> 音速
<0569> 音速

//<0570> 無限
<0570> 無限

//<0571> エロ侍
<0571> エロ侍

//<0572> エロエロ団ナンバー１
<0572> エロエロ団ナンバー１

//<0573> ただのエロ少年
<0573> ただのエロ少年

//<0574> ユリブサイク
<0574> ユリブサイク

//<0575> ドピュッシー
<0575> ドピュッシー

//<0576> アメリカンエロドッグ
<0576> アメリカンエロドッグ

//<0577> ゼウス
<0577> ゼウス

//<0578> 日向markⅡ
<0578> 日向markⅡ

//<0579> 糞虫
<0579> 糞虫

//<0580> 量産型日向
<0580> 量産型日向

//<0581> ？？
<0581> ？？

//<0582> （くっ！　話題の選択を間違えたか！）
<0582> （くっ！　話題の選択を間違えたか！）

//<0583> nothing
<0583> nothing

//<0584> nothing
<0584> nothing

//<0585> nothing
<0585> nothing

//<0586> nothing
<0586> nothing

//<0587> nothing
<0587> nothing

//<0588> nothing
<0588> nothing

//<0589> もう岩沢はこっちを見ていない、作曲に戻ってしまった。
<0589> もう岩沢はこっちを見ていない、作曲に戻ってしまった。

//<0590> 今日の所は素直に立ち去ろう。
<0590> 今日の所は素直に立ち去ろう。

//<0591> 音無
<0591> 音無

//<0592> クソ坊主
<0592> クソ坊主

//<0593> 代理人
<0593> 代理人

//<0594> 微妙すぎるイケメン
<0594> 微妙すぎるイケメン

//<0595> ロリコン
<0595> ロリコン

//<0596> メガネ仲間
<0596> メガネ仲間

//<0597> 暗算日本記録保持者
<0597> 暗算日本記録保持者

//<0598> 通り魔
<0598> 通り魔

//<0599> 記憶ナシ男
<0599> 記憶ナシ男

//<0600> 音速
<0600> 音速

//<0601> 無限
<0601> 無限

//<0602> エロ侍
<0602> エロ侍

//<0603> エロエロ団ナンバー１
<0603> エロエロ団ナンバー１

//<0604> ただのエロ少年
<0604> ただのエロ少年

//<0605> ユリブサイク
<0605> ユリブサイク

//<0606> ドピュッシー
<0606> ドピュッシー

//<0607> アメリカンエロドッグ
<0607> アメリカンエロドッグ

//<0608> ゼウス
<0608> ゼウス

//<0609> 日向markⅡ
<0609> 日向markⅡ

//<0610> 糞虫
<0610> 糞虫

//<0611> 量産型日向
<0611> 量産型日向

//<0612> ？？
<0612> ？？

//<0613> 「人間のおっぱいって、なんで膨らんでるか知ってるか？」
<0613> 「人間のおっぱいって、なんで膨らんでるか知ってるか？」

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> nothing
<0616> nothing

//<0617> nothing
<0617> nothing

//<0618> nothing
<0618> nothing

//<0619> 岩沢
<0619> 岩沢

//<0620> 「知らないね」
<0620> 「知らないね」

//<0621> 音無
<0621> 音無

//<0622> クソ坊主
<0622> クソ坊主

//<0623> 代理人
<0623> 代理人

//<0624> 微妙すぎるイケメン
<0624> 微妙すぎるイケメン

//<0625> ロリコン
<0625> ロリコン

//<0626> メガネ仲間
<0626> メガネ仲間

//<0627> 暗算日本記録保持者
<0627> 暗算日本記録保持者

//<0628> 通り魔
<0628> 通り魔

//<0629> 記憶ナシ男
<0629> 記憶ナシ男

//<0630> 音速
<0630> 音速

//<0631> 無限
<0631> 無限

//<0632> エロ侍
<0632> エロ侍

//<0633> エロエロ団ナンバー１
<0633> エロエロ団ナンバー１

//<0634> ただのエロ少年
<0634> ただのエロ少年

//<0635> ユリブサイク
<0635> ユリブサイク

//<0636> ドピュッシー
<0636> ドピュッシー

//<0637> アメリカンエロドッグ
<0637> アメリカンエロドッグ

//<0638> ゼウス
<0638> ゼウス

//<0639> 日向markⅡ
<0639> 日向markⅡ

//<0640> 糞虫
<0640> 糞虫

//<0641> 量産型日向
<0641> 量産型日向

//<0642> ？？
<0642> ？？

//<0643> 「例えば猿だったら、乳首だけで、乳房はないんだ。それでちゃんと子育てできる。不思議だろ？」
<0643> 「例えば猿だったら、乳首だけで、乳房はないんだ。それでちゃんと子育てできる。不思議だろ？」

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> nothing
<0646> nothing

//<0647> nothing
<0647> nothing

//<0648> nothing
<0648> nothing

//<0649> 岩沢
<0649> 岩沢

//<0650> 「そう言われればそうだな…」
<0650> 「そう言われればそうだな…」

//<0651> お、食いついてきたぞ。
<0651> お、食いついてきたぞ。

//<0652> 音無
<0652> 音無

//<0653> クソ坊主
<0653> クソ坊主

//<0654> 代理人
<0654> 代理人

//<0655> 微妙すぎるイケメン
<0655> 微妙すぎるイケメン

//<0656> ロリコン
<0656> ロリコン

//<0657> メガネ仲間
<0657> メガネ仲間

//<0658> 暗算日本記録保持者
<0658> 暗算日本記録保持者

//<0659> 通り魔
<0659> 通り魔

//<0660> 記憶ナシ男
<0660> 記憶ナシ男

//<0661> 音速
<0661> 音速

//<0662> 無限
<0662> 無限

//<0663> エロ侍
<0663> エロ侍

//<0664> エロエロ団ナンバー１
<0664> エロエロ団ナンバー１

//<0665> ただのエロ少年
<0665> ただのエロ少年

//<0666> ユリブサイク
<0666> ユリブサイク

//<0667> ドピュッシー
<0667> ドピュッシー

//<0668> アメリカンエロドッグ
<0668> アメリカンエロドッグ

//<0669> ゼウス
<0669> ゼウス

//<0670> 日向markⅡ
<0670> 日向markⅡ

//<0671> 糞虫
<0671> 糞虫

//<0672> 量産型日向
<0672> 量産型日向

//<0673> ？？
<0673> ？？

//<0674> 「人間のおっぱいは二足歩行になってから膨らむようになったって言われてるんだ」
<0674> 「人間のおっぱいは二足歩行になってから膨らむようになったって言われてるんだ」

//<0675> nothing
<0675> nothing

//<0676> nothing
<0676> nothing

//<0677> nothing
<0677> nothing

//<0678> nothing
<0678> nothing

//<0679> nothing
<0679> nothing

//<0680> 岩沢
<0680> 岩沢

//<0681> 「どうして」
<0681> 「どうして」

//<0682> 音無
<0682> 音無

//<0683> クソ坊主
<0683> クソ坊主

//<0684> 代理人
<0684> 代理人

//<0685> 微妙すぎるイケメン
<0685> 微妙すぎるイケメン

//<0686> ロリコン
<0686> ロリコン

//<0687> メガネ仲間
<0687> メガネ仲間

//<0688> 暗算日本記録保持者
<0688> 暗算日本記録保持者

//<0689> 通り魔
<0689> 通り魔

//<0690> 記憶ナシ男
<0690> 記憶ナシ男

//<0691> 音速
<0691> 音速

//<0692> 無限
<0692> 無限

//<0693> エロ侍
<0693> エロ侍

//<0694> エロエロ団ナンバー１
<0694> エロエロ団ナンバー１

//<0695> ただのエロ少年
<0695> ただのエロ少年

//<0696> ユリブサイク
<0696> ユリブサイク

//<0697> ドピュッシー
<0697> ドピュッシー

//<0698> アメリカンエロドッグ
<0698> アメリカンエロドッグ

//<0699> ゼウス
<0699> ゼウス

//<0700> 日向markⅡ
<0700> 日向markⅡ

//<0701> 糞虫
<0701> 糞虫

//<0702> 量産型日向
<0702> 量産型日向

//<0703> ？？
<0703> ？？

//<0704> 「猿だったら四足歩行だから、オスからすればメスのお尻が丸見えだろ。だから、常に誘っているような状態だったわけだ」
<0704> 「猿だったら四足歩行だから、オスからすればメスのお尻が丸見えだろ。だから、常に誘っているような状態だったわけだ」

//<0705> 音無
<0705> 音無

//<0706> クソ坊主
<0706> クソ坊主

//<0707> 代理人
<0707> 代理人

//<0708> 微妙すぎるイケメン
<0708> 微妙すぎるイケメン

//<0709> ロリコン
<0709> ロリコン

//<0710> メガネ仲間
<0710> メガネ仲間

//<0711> 暗算日本記録保持者
<0711> 暗算日本記録保持者

//<0712> 通り魔
<0712> 通り魔

//<0713> 記憶ナシ男
<0713> 記憶ナシ男

//<0714> 音速
<0714> 音速

//<0715> 無限
<0715> 無限

//<0716> エロ侍
<0716> エロ侍

//<0717> エロエロ団ナンバー１
<0717> エロエロ団ナンバー１

//<0718> ただのエロ少年
<0718> ただのエロ少年

//<0719> ユリブサイク
<0719> ユリブサイク

//<0720> ドピュッシー
<0720> ドピュッシー

//<0721> アメリカンエロドッグ
<0721> アメリカンエロドッグ

//<0722> ゼウス
<0722> ゼウス

//<0723> 日向markⅡ
<0723> 日向markⅡ

//<0724> 糞虫
<0724> 糞虫

//<0725> 量産型日向
<0725> 量産型日向

//<0726> ？？
<0726> ？？

//<0727> 「それが二足歩行になったら、お尻は目線の高さにならなくなった。だからお尻の代わりにおっぱいは膨らんでいったんだ」
<0727> 「それが二足歩行になったら、お尻は目線の高さにならなくなった。だからお尻の代わりにおっぱいは膨らんでいったんだ」

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> nothing
<0730> nothing

//<0731> nothing
<0731> nothing

//<0732> nothing
<0732> nothing

//<0733> 岩沢
<0733> 岩沢

//<0734> 「ええ！？　そうだったのか…知らなかったぜ…」
<0734> 「ええ！？　そうだったのか…知らなかったぜ…」

//<0735> nothing
<0735> nothing

//<0736> nothing
<0736> nothing

//<0737> nothing
<0737> nothing

//<0738> nothing
<0738> nothing

//<0739> nothing
<0739> nothing

//<0740> 岩沢
<0740> 岩沢

//<0741> 「ええと…あたしの胸はどうなのかな…」
<0741> 「ええと…あたしの胸はどうなのかな…」

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> nothing
<0745> nothing

//<0746> nothing
<0746> nothing

//<0747> その双方の膨らみを確かめるように手で押さえる岩沢。
<0747> その双方の膨らみを確かめるように手で押さえる岩沢。

//<0748> ちょうどいい
<0748> ちょうどいい

//<0749> 少しボリュームが足りない
<0749> 少しボリュームが足りない

//<0750> 大きさなんて関係ない
<0750> 大きさなんて関係ない

//<0751> selbtn : 
<0751> selbtn : 

//<0752> 音無
<0752> 音無

//<0753> クソ坊主
<0753> クソ坊主

//<0754> 代理人
<0754> 代理人

//<0755> 微妙すぎるイケメン
<0755> 微妙すぎるイケメン

//<0756> ロリコン
<0756> ロリコン

//<0757> メガネ仲間
<0757> メガネ仲間

//<0758> 暗算日本記録保持者
<0758> 暗算日本記録保持者

//<0759> 通り魔
<0759> 通り魔

//<0760> 記憶ナシ男
<0760> 記憶ナシ男

//<0761> 音速
<0761> 音速

//<0762> 無限
<0762> 無限

//<0763> エロ侍
<0763> エロ侍

//<0764> エロエロ団ナンバー１
<0764> エロエロ団ナンバー１

//<0765> ただのエロ少年
<0765> ただのエロ少年

//<0766> ユリブサイク
<0766> ユリブサイク

//<0767> ドピュッシー
<0767> ドピュッシー

//<0768> アメリカンエロドッグ
<0768> アメリカンエロドッグ

//<0769> ゼウス
<0769> ゼウス

//<0770> 日向markⅡ
<0770> 日向markⅡ

//<0771> 糞虫
<0771> 糞虫

//<0772> 量産型日向
<0772> 量産型日向

//<0773> ？？
<0773> ？？

//<0774> 「ちょうどいいと思うぜ？」
<0774> 「ちょうどいいと思うぜ？」

//<0775> 音無
<0775> 音無

//<0776> クソ坊主
<0776> クソ坊主

//<0777> 代理人
<0777> 代理人

//<0778> 微妙すぎるイケメン
<0778> 微妙すぎるイケメン

//<0779> ロリコン
<0779> ロリコン

//<0780> メガネ仲間
<0780> メガネ仲間

//<0781> 暗算日本記録保持者
<0781> 暗算日本記録保持者

//<0782> 通り魔
<0782> 通り魔

//<0783> 記憶ナシ男
<0783> 記憶ナシ男

//<0784> 音速
<0784> 音速

//<0785> 無限
<0785> 無限

//<0786> エロ侍
<0786> エロ侍

//<0787> エロエロ団ナンバー１
<0787> エロエロ団ナンバー１

//<0788> ただのエロ少年
<0788> ただのエロ少年

//<0789> ユリブサイク
<0789> ユリブサイク

//<0790> ドピュッシー
<0790> ドピュッシー

//<0791> アメリカンエロドッグ
<0791> アメリカンエロドッグ

//<0792> ゼウス
<0792> ゼウス

//<0793> 日向markⅡ
<0793> 日向markⅡ

//<0794> 糞虫
<0794> 糞虫

//<0795> 量産型日向
<0795> 量産型日向

//<0796> ？？
<0796> ？？

//<0797> 「少しボリュームが足りない」
<0797> 「少しボリュームが足りない」

//<0798> nothing
<0798> nothing

//<0799> nothing
<0799> nothing

//<0800> nothing
<0800> nothing

//<0801> nothing
<0801> nothing

//<0802> nothing
<0802> nothing

//<0803> 岩沢
<0803> 岩沢

//<0804> 「なんだってぇ！？」
<0804> 「なんだってぇ！？」

//<0805> nothing
<0805> nothing

//<0806> nothing
<0806> nothing

//<0807> nothing
<0807> nothing

//<0808> nothing
<0808> nothing

//<0809> nothing
<0809> nothing

//<0810> 岩沢
<0810> 岩沢

//<0811> 「と衝撃を受けてみたものの、あたしは音楽にしか興味ないから、全然平気だ」
<0811> 「と衝撃を受けてみたものの、あたしは音楽にしか興味ないから、全然平気だ」

//<0812> さすがのキチ具合で、助かった！
<0812> さすがのキチ具合で、助かった！

//<0813> nothing
<0813> nothing

//<0814> nothing
<0814> nothing

//<0815> nothing
<0815> nothing

//<0816> nothing
<0816> nothing

//<0817> nothing
<0817> nothing

//<0818> nothing
<0818> nothing

//<0819> けど、岩沢の興味をひく話にはならなかったようだ。
<0819> けど、岩沢の興味をひく話にはならなかったようだ。

//<0820> これ以上はやめておいた方がよさそうだ。
<0820> これ以上はやめておいた方がよさそうだ。

//<0821> 俺は立ち去ることにした。
<0821> 俺は立ち去ることにした。

//<0822> 音無
<0822> 音無

//<0823> クソ坊主
<0823> クソ坊主

//<0824> 代理人
<0824> 代理人

//<0825> 微妙すぎるイケメン
<0825> 微妙すぎるイケメン

//<0826> ロリコン
<0826> ロリコン

//<0827> メガネ仲間
<0827> メガネ仲間

//<0828> 暗算日本記録保持者
<0828> 暗算日本記録保持者

//<0829> 通り魔
<0829> 通り魔

//<0830> 記憶ナシ男
<0830> 記憶ナシ男

//<0831> 音速
<0831> 音速

//<0832> 無限
<0832> 無限

//<0833> エロ侍
<0833> エロ侍

//<0834> エロエロ団ナンバー１
<0834> エロエロ団ナンバー１

//<0835> ただのエロ少年
<0835> ただのエロ少年

//<0836> ユリブサイク
<0836> ユリブサイク

//<0837> ドピュッシー
<0837> ドピュッシー

//<0838> アメリカンエロドッグ
<0838> アメリカンエロドッグ

//<0839> ゼウス
<0839> ゼウス

//<0840> 日向markⅡ
<0840> 日向markⅡ

//<0841> 糞虫
<0841> 糞虫

//<0842> 量産型日向
<0842> 量産型日向

//<0843> ？？
<0843> ？？

//<0844> 「大きさなんて関係ない」
<0844> 「大きさなんて関係ない」

//<0845> 制服越しではわからないので、根拠もなくそう答えた。
<0845> 制服越しではわからないので、根拠もなくそう答えた。

//<0846> nothing
<0846> nothing

//<0847> nothing
<0847> nothing

//<0848> nothing
<0848> nothing

//<0849> nothing
<0849> nothing

//<0850> nothing
<0850> nothing

//<0851> 岩沢
<0851> 岩沢

//<0852> 「物知りのお前がそう言うんなら、安心できるな」
<0852> 「物知りのお前がそう言うんなら、安心できるな」

//<0853> 安心してもらえて良かった…。
<0853> 安心してもらえて良かった…。

//<0854> nothing
<0854> nothing

//<0855> nothing
<0855> nothing

//<0856> nothing
<0856> nothing

//<0857> nothing
<0857> nothing

//<0858> nothing
<0858> nothing

//<0859> nothing
<0859> nothing

//<0860> ちょっとどきどきしたけど、興味をひく話が出来たようだ。
<0860> ちょっとどきどきしたけど、興味をひく話が出来たようだ。

//<0861> 今日はこのへんにしておこう。
<0861> 今日はこのへんにしておこう。

//<0862> nothing
<0862> nothing

//<0863> nothing
<0863> nothing

//<0864> nothing
<0864> nothing

//<0865> nothing
<0865> nothing

//<0866> nothing
<0866> nothing

//<0867> 岩沢
<0867> 岩沢

//<0868> 「そうか…」
<0868> 「そうか…」

//<0869> nothing
<0869> nothing

//<0870> nothing
<0870> nothing

//<0871> nothing
<0871> nothing

//<0872> nothing
<0872> nothing

//<0873> nothing
<0873> nothing

//<0874> 岩沢
<0874> 岩沢

//<0875> 「まあ、あたしは音楽にしか興味ないから、どーでもいい話だったな」
<0875> 「まあ、あたしは音楽にしか興味ないから、どーでもいい話だったな」

//<0876> 音無
<0876> 音無

//<0877> クソ坊主
<0877> クソ坊主

//<0878> 代理人
<0878> 代理人

//<0879> 微妙すぎるイケメン
<0879> 微妙すぎるイケメン

//<0880> ロリコン
<0880> ロリコン

//<0881> メガネ仲間
<0881> メガネ仲間

//<0882> 暗算日本記録保持者
<0882> 暗算日本記録保持者

//<0883> 通り魔
<0883> 通り魔

//<0884> 記憶ナシ男
<0884> 記憶ナシ男

//<0885> 音速
<0885> 音速

//<0886> 無限
<0886> 無限

//<0887> エロ侍
<0887> エロ侍

//<0888> エロエロ団ナンバー１
<0888> エロエロ団ナンバー１

//<0889> ただのエロ少年
<0889> ただのエロ少年

//<0890> ユリブサイク
<0890> ユリブサイク

//<0891> ドピュッシー
<0891> ドピュッシー

//<0892> アメリカンエロドッグ
<0892> アメリカンエロドッグ

//<0893> ゼウス
<0893> ゼウス

//<0894> 日向markⅡ
<0894> 日向markⅡ

//<0895> 糞虫
<0895> 糞虫

//<0896> 量産型日向
<0896> 量産型日向

//<0897> ？？
<0897> ？？

//<0898> （ええぇ！？）
<0898> （ええぇ！？）

//<0899> 途中までいい感じで興味を惹けていたのに、こんな幕切れとは…。
<0899> 途中までいい感じで興味を惹けていたのに、こんな幕切れとは…。

//<0900> nothing
<0900> nothing

//<0901> nothing
<0901> nothing

//<0902> nothing
<0902> nothing

//<0903> nothing
<0903> nothing

//<0904> nothing
<0904> nothing

//<0905> nothing
<0905> nothing

//<0906> 岩沢はもう自分の作業に戻ってしまった。
<0906> 岩沢はもう自分の作業に戻ってしまった。

//<0907> これ以上邪魔することはできない。今日のところは立ち去ろう。
<0907> これ以上邪魔することはできない。今日のところは立ち去ろう。

//<0908> 音無
<0908> 音無

//<0909> クソ坊主
<0909> クソ坊主

//<0910> 代理人
<0910> 代理人

//<0911> 微妙すぎるイケメン
<0911> 微妙すぎるイケメン

//<0912> ロリコン
<0912> ロリコン

//<0913> メガネ仲間
<0913> メガネ仲間

//<0914> 暗算日本記録保持者
<0914> 暗算日本記録保持者

//<0915> 通り魔
<0915> 通り魔

//<0916> 記憶ナシ男
<0916> 記憶ナシ男

//<0917> 音速
<0917> 音速

//<0918> 無限
<0918> 無限

//<0919> エロ侍
<0919> エロ侍

//<0920> エロエロ団ナンバー１
<0920> エロエロ団ナンバー１

//<0921> ただのエロ少年
<0921> ただのエロ少年

//<0922> ユリブサイク
<0922> ユリブサイク

//<0923> ドピュッシー
<0923> ドピュッシー

//<0924> アメリカンエロドッグ
<0924> アメリカンエロドッグ

//<0925> ゼウス
<0925> ゼウス

//<0926> 日向markⅡ
<0926> 日向markⅡ

//<0927> 糞虫
<0927> 糞虫

//<0928> 量産型日向
<0928> 量産型日向

//<0929> ？？
<0929> ？？

//<0930> 「首つり自殺は両足が地面についていても死ねるって知ってるか？」
<0930> 「首つり自殺は両足が地面についていても死ねるって知ってるか？」

//<0931> nothing
<0931> nothing

//<0932> nothing
<0932> nothing

//<0933> nothing
<0933> nothing

//<0934> nothing
<0934> nothing

//<0935> nothing
<0935> nothing

//<0936> 岩沢
<0936> 岩沢

//<0937> 「いんや」
<0937> 「いんや」

//<0938> 音無
<0938> 音無

//<0939> クソ坊主
<0939> クソ坊主

//<0940> 代理人
<0940> 代理人

//<0941> 微妙すぎるイケメン
<0941> 微妙すぎるイケメン

//<0942> ロリコン
<0942> ロリコン

//<0943> メガネ仲間
<0943> メガネ仲間

//<0944> 暗算日本記録保持者
<0944> 暗算日本記録保持者

//<0945> 通り魔
<0945> 通り魔

//<0946> 記憶ナシ男
<0946> 記憶ナシ男

//<0947> 音速
<0947> 音速

//<0948> 無限
<0948> 無限

//<0949> エロ侍
<0949> エロ侍

//<0950> エロエロ団ナンバー１
<0950> エロエロ団ナンバー１

//<0951> ただのエロ少年
<0951> ただのエロ少年

//<0952> ユリブサイク
<0952> ユリブサイク

//<0953> ドピュッシー
<0953> ドピュッシー

//<0954> アメリカンエロドッグ
<0954> アメリカンエロドッグ

//<0955> ゼウス
<0955> ゼウス

//<0956> 日向markⅡ
<0956> 日向markⅡ

//<0957> 糞虫
<0957> 糞虫

//<0958> 量産型日向
<0958> 量産型日向

//<0959> ？？
<0959> ？？

//<0960> 「上半身の重さだけで十分なんだ。だから背の低い女性ならロープを吊すのはドアノブ程度の高さでいい」
<0960> 「上半身の重さだけで十分なんだ。だから背の低い女性ならロープを吊すのはドアノブ程度の高さでいい」

//<0961> nothing
<0961> nothing

//<0962> nothing
<0962> nothing

//<0963> nothing
<0963> nothing

//<0964> nothing
<0964> nothing

//<0965> nothing
<0965> nothing

//<0966> 音無
<0966> 音無

//<0967> クソ坊主
<0967> クソ坊主

//<0968> 代理人
<0968> 代理人

//<0969> 微妙すぎるイケメン
<0969> 微妙すぎるイケメン

//<0970> ロリコン
<0970> ロリコン

//<0971> メガネ仲間
<0971> メガネ仲間

//<0972> 暗算日本記録保持者
<0972> 暗算日本記録保持者

//<0973> 通り魔
<0973> 通り魔

//<0974> 記憶ナシ男
<0974> 記憶ナシ男

//<0975> 音速
<0975> 音速

//<0976> 無限
<0976> 無限

//<0977> エロ侍
<0977> エロ侍

//<0978> エロエロ団ナンバー１
<0978> エロエロ団ナンバー１

//<0979> ただのエロ少年
<0979> ただのエロ少年

//<0980> ユリブサイク
<0980> ユリブサイク

//<0981> ドピュッシー
<0981> ドピュッシー

//<0982> アメリカンエロドッグ
<0982> アメリカンエロドッグ

//<0983> ゼウス
<0983> ゼウス

//<0984> 日向markⅡ
<0984> 日向markⅡ

//<0985> 糞虫
<0985> 糞虫

//<0986> 量産型日向
<0986> 量産型日向

//<0987> ？？
<0987> ？？

//<0988> 「苦しみもほとんどなく、椎骨動脈と頸動脈のふたつを一気に絞め、脳が酸欠状態になり、すぐ意識がなくなる」
<0988> 「苦しみもほとんどなく、椎骨動脈と頸動脈のふたつを一気に絞め、脳が酸欠状態になり、すぐ意識がなくなる」

//<0989> 音無
<0989> 音無

//<0990> クソ坊主
<0990> クソ坊主

//<0991> 代理人
<0991> 代理人

//<0992> 微妙すぎるイケメン
<0992> 微妙すぎるイケメン

//<0993> ロリコン
<0993> ロリコン

//<0994> メガネ仲間
<0994> メガネ仲間

//<0995> 暗算日本記録保持者
<0995> 暗算日本記録保持者

//<0996> 通り魔
<0996> 通り魔

//<0997> 記憶ナシ男
<0997> 記憶ナシ男

//<0998> 音速
<0998> 音速

//<0999> 無限
<0999> 無限

//<1000> エロ侍
<1000> エロ侍

//<1001> エロエロ団ナンバー１
<1001> エロエロ団ナンバー１

//<1002> ただのエロ少年
<1002> ただのエロ少年

//<1003> ユリブサイク
<1003> ユリブサイク

//<1004> ドピュッシー
<1004> ドピュッシー

//<1005> アメリカンエロドッグ
<1005> アメリカンエロドッグ

//<1006> ゼウス
<1006> ゼウス

//<1007> 日向markⅡ
<1007> 日向markⅡ

//<1008> 糞虫
<1008> 糞虫

//<1009> 量産型日向
<1009> 量産型日向

//<1010> ？？
<1010> ？？

//<1011> 「実際の死が訪れるのはもう少し時間がかかるけど、昔のように天井からぷら～んというイメージもないから、若い自殺者はこの方法を選ぶ者が多くなってきている」
<1011> 「実際の死が訪れるのはもう少し時間がかかるけど、昔のように天井からぷら～んというイメージもないから、若い自殺者はこの方法を選ぶ者が多くなってきている」

//<1012> 音無
<1012> 音無

//<1013> クソ坊主
<1013> クソ坊主

//<1014> 代理人
<1014> 代理人

//<1015> 微妙すぎるイケメン
<1015> 微妙すぎるイケメン

//<1016> ロリコン
<1016> ロリコン

//<1017> メガネ仲間
<1017> メガネ仲間

//<1018> 暗算日本記録保持者
<1018> 暗算日本記録保持者

//<1019> 通り魔
<1019> 通り魔

//<1020> 記憶ナシ男
<1020> 記憶ナシ男

//<1021> 音速
<1021> 音速

//<1022> 無限
<1022> 無限

//<1023> エロ侍
<1023> エロ侍

//<1024> エロエロ団ナンバー１
<1024> エロエロ団ナンバー１

//<1025> ただのエロ少年
<1025> ただのエロ少年

//<1026> ユリブサイク
<1026> ユリブサイク

//<1027> ドピュッシー
<1027> ドピュッシー

//<1028> アメリカンエロドッグ
<1028> アメリカンエロドッグ

//<1029> ゼウス
<1029> ゼウス

//<1030> 日向markⅡ
<1030> 日向markⅡ

//<1031> 糞虫
<1031> 糞虫

//<1032> 量産型日向
<1032> 量産型日向

//<1033> ？？
<1033> ？？

//<1034> 「死ぬ時はこの方法がお薦めだ」
<1034> 「死ぬ時はこの方法がお薦めだ」

//<1035> nothing
<1035> nothing

//<1036> nothing
<1036> nothing

//<1037> nothing
<1037> nothing

//<1038> nothing
<1038> nothing

//<1039> nothing
<1039> nothing

//<1040> 岩沢
<1040> 岩沢

//<1041> 「すでに死んでるから」
<1041> 「すでに死んでるから」

//<1042> 音無
<1042> 音無

//<1043> クソ坊主
<1043> クソ坊主

//<1044> 代理人
<1044> 代理人

//<1045> 微妙すぎるイケメン
