// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 傾斜がかった、森へ踏み入る。
<0000> 傾斜がかった、森へ踏み入る。
<0558> 「ああ、クソ坊主か。そういやさっきも見かけたな。何か用か」

//<0559> nothing
<0559> nothing

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> nothing
<0562> nothing

//<0563> nothing
<0563> nothing

//<0564> 松下
<0564> 松下

//<0565> 「ああ、代理人か。そういやさっきも見かけたな。何か用か」
<0565> 「ああ、代理人か。そういやさっきも見かけたな。何か用か」

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> nothing
<0569> nothing

//<0570> nothing
<0570> nothing

//<0571> 松下
<0571> 松下

//<0572> 「ああ、微妙すぎるイケメンか。そういやさっきも見かけたな。何か用か」
<0572> 「ああ、微妙すぎるイケメンか。そういやさっきも見かけたな。何か用か」

//<0573> nothing
<0573> nothing

//<0574> nothing
<0574> nothing

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> nothing
<0577> nothing

//<0578> 松下
<0578> 松下

//<0579> 「ああ、ロリコンか。そういやさっきも見かけたな。何か用か」
<0579> 「ああ、ロリコンか。そういやさっきも見かけたな。何か用か」

//<0580> nothing
<0580> nothing

//<0581> nothing
<0581> nothing

//<0582> nothing
<0582> nothing

//<0583> nothing
<0583> nothing

//<0584> nothing
<0584> nothing

//<0585> 松下
<0585> 松下

//<0586> 「ああ、メガネ仲間か。そういやさっきも見かけたな。何か用か」
<0586> 「ああ、メガネ仲間か。そういやさっきも見かけたな。何か用か」

//<0587> nothing
<0587> nothing

//<0588> nothing
<0588> nothing

//<0589> nothing
<0589> nothing

//<0590> nothing
<0590> nothing

//<0591> nothing
<0591> nothing

//<0592> 松下
<0592> 松下

//<0593> 「ああ、あーーーー…」
<0593> 「ああ、あーーーー…」

//<0594> 音無
<0594> 音無

//<0595> クソ坊主
<0595> クソ坊主

//<0596> 代理人
<0596> 代理人

//<0597> 微妙すぎるイケメン
<0597> 微妙すぎるイケメン

//<0598> ロリコン
<0598> ロリコン

//<0599> メガネ仲間
<0599> メガネ仲間

//<0600> 暗算日本記録保持者
<0600> 暗算日本記録保持者

//<0601> 通り魔
<0601> 通り魔

//<0602> 記憶ナシ男
<0602> 記憶ナシ男

//<0603> 音速
<0603> 音速

//<0604> 無限
<0604> 無限

//<0605> エロ侍
<0605> エロ侍

//<0606> エロエロ団ナンバー１
<0606> エロエロ団ナンバー１

//<0607> ただのエロ少年
<0607> ただのエロ少年

//<0608> ユリブサイク
<0608> ユリブサイク

//<0609> ドピュッシー
<0609> ドピュッシー

//<0610> アメリカンエロドッグ
<0610> アメリカンエロドッグ

//<0611> ゼウス
<0611> ゼウス

//<0612> 日向markⅡ
<0612> 日向markⅡ

//<0613> 糞虫
<0613> 糞虫

//<0614> 量産型日向
<0614> 量産型日向

//<0615> ？？
<0615> ？？

//<0616> 「暗算日本記録保持者」
<0616> 「暗算日本記録保持者」

//<0617> nothing
<0617> nothing

//<0618> nothing
<0618> nothing

//<0619> nothing
<0619> nothing

//<0620> nothing
<0620> nothing

//<0621> nothing
<0621> nothing

//<0622> 松下
<0622> 松下

//<0623> 「そう、暗算日本記録保持者か。そういやさっきも見かけたな。何か用か」
<0623> 「そう、暗算日本記録保持者か。そういやさっきも見かけたな。何か用か」

//<0624> nothing
<0624> nothing

//<0625> nothing
<0625> nothing

//<0626> nothing
<0626> nothing

//<0627> nothing
<0627> nothing

//<0628> nothing
<0628> nothing

//<0629> 松下
<0629> 松下

//<0630> 「ああ、通り魔か。そういやさっきも見かけたな。何か用か」
<0630> 「ああ、通り魔か。そういやさっきも見かけたな。何か用か」

//<0631> nothing
<0631> nothing

//<0632> nothing
<0632> nothing

//<0633> nothing
<0633> nothing

//<0634> nothing
<0634> nothing

//<0635> nothing
<0635> nothing

//<0636> 松下
<0636> 松下

//<0637> 「ああ、記憶ナシ男か。そういやさっきも見かけたな。何か用か」
<0637> 「ああ、記憶ナシ男か。そういやさっきも見かけたな。何か用か」

//<0638> nothing
<0638> nothing

//<0639> nothing
<0639> nothing

//<0640> nothing
<0640> nothing

//<0641> nothing
<0641> nothing

//<0642> nothing
<0642> nothing

//<0643> 松下
<0643> 松下

//<0644> 「ああ、音速か。そういやさっきも見かけたな。何か用か」
<0644> 「ああ、音速か。そういやさっきも見かけたな。何か用か」

//<0645> nothing
<0645> nothing

//<0646> nothing
<0646> nothing

//<0647> nothing
<0647> nothing

//<0648> nothing
<0648> nothing

//<0649> nothing
<0649> nothing

//<0650> 松下
<0650> 松下

//<0651> 「ああ、無限か。そういやさっきも見かけたな。何か用か」
<0651> 「ああ、無限か。そういやさっきも見かけたな。何か用か」

//<0652> nothing
<0652> nothing

//<0653> nothing
<0653> nothing

//<0654> nothing
<0654> nothing

//<0655> nothing
<0655> nothing

//<0656> nothing
<0656> nothing

//<0657> 松下
<0657> 松下

//<0658> 「ああ、音無か。そういやさっきも見かけたな。何か用か」
<0658> 「ああ、音無か。そういやさっきも見かけたな。何か用か」

//<0659> 音無
<0659> 音無

//<0660> クソ坊主
<0660> クソ坊主

//<0661> 代理人
<0661> 代理人

//<0662> 微妙すぎるイケメン
<0662> 微妙すぎるイケメン

//<0663> ロリコン
<0663> ロリコン

//<0664> メガネ仲間
<0664> メガネ仲間

//<0665> 暗算日本記録保持者
<0665> 暗算日本記録保持者

//<0666> 通り魔
<0666> 通り魔

//<0667> 記憶ナシ男
<0667> 記憶ナシ男

//<0668> 音速
<0668> 音速

//<0669> 無限
<0669> 無限

//<0670> エロ侍
<0670> エロ侍

//<0671> エロエロ団ナンバー１
<0671> エロエロ団ナンバー１

//<0672> ただのエロ少年
<0672> ただのエロ少年

//<0673> ユリブサイク
<0673> ユリブサイク

//<0674> ドピュッシー
<0674> ドピュッシー

//<0675> アメリカンエロドッグ
<0675> アメリカンエロドッグ

//<0676> ゼウス
<0676> ゼウス

//<0677> 日向markⅡ
<0677> 日向markⅡ

//<0678> 糞虫
<0678> 糞虫

//<0679> 量産型日向
<0679> 量産型日向

//<0680> ？？
<0680> ？？

//<0681> 「だから今の俺はただのエロ少年だ」
<0681> 「だから今の俺はただのエロ少年だ」

//<0682> nothing
<0682> nothing

//<0683> nothing
<0683> nothing

//<0684> nothing
<0684> nothing

//<0685> nothing
<0685> nothing

//<0686> nothing
<0686> nothing

//<0687> 松下
<0687> 松下

//<0688> 「気は確かか…？」
<0688> 「気は確かか…？」

//<0689> …ダメだ、日向は乗ってくれるけど、松下五段相手には通用しそうもない。
<0689> …ダメだ、日向は乗ってくれるけど、松下五段相手には通用しそうもない。

//<0690> 音無
<0690> 音無

//<0691> クソ坊主
<0691> クソ坊主

//<0692> 代理人
<0692> 代理人

//<0693> 微妙すぎるイケメン
<0693> 微妙すぎるイケメン

//<0694> ロリコン
<0694> ロリコン

//<0695> メガネ仲間
<0695> メガネ仲間

//<0696> 暗算日本記録保持者
<0696> 暗算日本記録保持者

//<0697> 通り魔
<0697> 通り魔

//<0698> 記憶ナシ男
<0698> 記憶ナシ男

//<0699> 音速
<0699> 音速

//<0700> 無限
<0700> 無限

//<0701> エロ侍
<0701> エロ侍

//<0702> エロエロ団ナンバー１
<0702> エロエロ団ナンバー１

//<0703> ただのエロ少年
<0703> ただのエロ少年

//<0704> ユリブサイク
<0704> ユリブサイク

//<0705> ドピュッシー
<0705> ドピュッシー

//<0706> アメリカンエロドッグ
<0706> アメリカンエロドッグ

//<0707> ゼウス
<0707> ゼウス

//<0708> 日向markⅡ
<0708> 日向markⅡ

//<0709> 糞虫
<0709> 糞虫

//<0710> 量産型日向
<0710> 量産型日向

//<0711> ？？
<0711> ？？

//<0712> 「すまん、気にしないでくれ。そんな話をしに来たんじゃない」
<0712> 「すまん、気にしないでくれ。そんな話をしに来たんじゃない」

//<0713> nothing
<0713> nothing

//<0714> nothing
<0714> nothing

//<0715> nothing
<0715> nothing

//<0716> nothing
<0716> nothing

//<0717> nothing
<0717> nothing

//<0718> 松下
<0718> 松下

//<0719> 「ほう。ではどんな用だ？」
<0719> 「ほう。ではどんな用だ？」

//<0720> 音無
<0720> 音無

//<0721> クソ坊主
<0721> クソ坊主

//<0722> 代理人
<0722> 代理人

//<0723> 微妙すぎるイケメン
<0723> 微妙すぎるイケメン

//<0724> ロリコン
<0724> ロリコン

//<0725> メガネ仲間
<0725> メガネ仲間

//<0726> 暗算日本記録保持者
<0726> 暗算日本記録保持者

//<0727> 通り魔
<0727> 通り魔

//<0728> 記憶ナシ男
<0728> 記憶ナシ男

//<0729> 音速
<0729> 音速

//<0730> 無限
<0730> 無限

//<0731> エロ侍
<0731> エロ侍

//<0732> エロエロ団ナンバー１
<0732> エロエロ団ナンバー１

//<0733> ただのエロ少年
<0733> ただのエロ少年

//<0734> ユリブサイク
<0734> ユリブサイク

//<0735> ドピュッシー
<0735> ドピュッシー

//<0736> アメリカンエロドッグ
<0736> アメリカンエロドッグ

//<0737> ゼウス
<0737> ゼウス

//<0738> 日向markⅡ
<0738> 日向markⅡ

//<0739> 糞虫
<0739> 糞虫

//<0740> 量産型日向
<0740> 量産型日向

//<0741> ？？
<0741> ？？

//<0742> 「いや、特に用なんてないけど、新入りだし、親睦でも深めようかと…」
<0742> 「いや、特に用なんてないけど、新入りだし、親睦でも深めようかと…」

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> nothing
<0745> nothing

//<0746> nothing
<0746> nothing

//<0747> nothing
<0747> nothing

//<0748> 松下
<0748> 松下

//<0749> 「なるほど。なら、乱取りをしてやろう」
<0749> 「なるほど。なら、乱取りをしてやろう」

//<0750> nothing
<0750> nothing

//<0751> nothing
<0751> nothing

//<0752> nothing
<0752> nothing

//<0753> nothing
<0753> nothing

//<0754> nothing
<0754> nothing

//<0755> なぜそうなる！？
<0755> なぜそうなる！？

//<0756> この巨体とこんな場所で乱取りなんて、怪我するに決まっている！
<0756> この巨体とこんな場所で乱取りなんて、怪我するに決まっている！

//<0757> 音無
<0757> 音無

//<0758> クソ坊主
<0758> クソ坊主

//<0759> 代理人
<0759> 代理人

//<0760> 微妙すぎるイケメン
<0760> 微妙すぎるイケメン

//<0761> ロリコン
<0761> ロリコン

//<0762> メガネ仲間
<0762> メガネ仲間

//<0763> 暗算日本記録保持者
<0763> 暗算日本記録保持者

//<0764> 通り魔
<0764> 通り魔

//<0765> 記憶ナシ男
<0765> 記憶ナシ男

//<0766> 音速
<0766> 音速

//<0767> 無限
<0767> 無限

//<0768> エロ侍
<0768> エロ侍

//<0769> エロエロ団ナンバー１
<0769> エロエロ団ナンバー１

//<0770> ただのエロ少年
<0770> ただのエロ少年

//<0771> ユリブサイク
<0771> ユリブサイク

//<0772> ドピュッシー
<0772> ドピュッシー

//<0773> アメリカンエロドッグ
<0773> アメリカンエロドッグ

//<0774> ゼウス
<0774> ゼウス

//<0775> 日向markⅡ
<0775> 日向markⅡ

//<0776> 糞虫
<0776> 糞虫

//<0777> 量産型日向
<0777> 量産型日向

//<0778> ？？
<0778> ？？

//<0779> 「いや、会話で十分」
<0779> 「いや、会話で十分」

//<0780> nothing
<0780> nothing

//<0781> nothing
<0781> nothing

//<0782> nothing
<0782> nothing

//<0783> nothing
<0783> nothing

//<0784> nothing
<0784> nothing

//<0785> 松下
<0785> 松下

//<0786> 「いやいや、俺も長年ここに居るが、男同士は乱取りするのが一番早くわかり合えるのだ」
<0786> 「いやいや、俺も長年ここに居るが、男同士は乱取りするのが一番早くわかり合えるのだ」

//<0787> nothing
<0787> nothing

//<0788> nothing
<0788> nothing

//<0789> nothing
<0789> nothing

//<0790> nothing
<0790> nothing

//<0791> nothing
<0791> nothing

//<0792> 松下
<0792> 松下

//<0793> 「よっし、こーーーい！！」
<0793> 「よっし、こーーーい！！」

//<0794> 音無
<0794> 音無

//<0795> クソ坊主
<0795> クソ坊主

//<0796> 代理人
<0796> 代理人

//<0797> 微妙すぎるイケメン
<0797> 微妙すぎるイケメン

//<0798> ロリコン
<0798> ロリコン

//<0799> メガネ仲間
<0799> メガネ仲間

//<0800> 暗算日本記録保持者
<0800> 暗算日本記録保持者

//<0801> 通り魔
<0801> 通り魔

//<0802> 記憶ナシ男
<0802> 記憶ナシ男

//<0803> 音速
<0803> 音速

//<0804> 無限
<0804> 無限

//<0805> エロ侍
<0805> エロ侍

//<0806> エロエロ団ナンバー１
<0806> エロエロ団ナンバー１

//<0807> ただのエロ少年
<0807> ただのエロ少年

//<0808> ユリブサイク
<0808> ユリブサイク

//<0809> ドピュッシー
<0809> ドピュッシー

//<0810> アメリカンエロドッグ
<0810> アメリカンエロドッグ

//<0811> ゼウス
<0811> ゼウス

//<0812> 日向markⅡ
<0812> 日向markⅡ

//<0813> 糞虫
<0813> 糞虫

//<0814> 量産型日向
<0814> 量産型日向

//<0815> ？？
<0815> ？？

//<0816> 「俺、胴着じゃないし…」
<0816> 「俺、胴着じゃないし…」

//<0817> nothing
<0817> nothing

//<0818> nothing
<0818> nothing

//<0819> nothing
<0819> nothing

//<0820> nothing
<0820> nothing

//<0821> nothing
<0821> nothing

//<0822> 松下
<0822> 松下

//<0823> 「こーーーーい！！」
<0823> 「こーーーーい！！」

//<0824> 音無
<0824> 音無

//<0825> クソ坊主
<0825> クソ坊主

//<0826> 代理人
<0826> 代理人

//<0827> 微妙すぎるイケメン
<0827> 微妙すぎるイケメン

//<0828> ロリコン
<0828> ロリコン

//<0829> メガネ仲間
<0829> メガネ仲間

//<0830> 暗算日本記録保持者
<0830> 暗算日本記録保持者

//<0831> 通り魔
<0831> 通り魔

//<0832> 記憶ナシ男
<0832> 記憶ナシ男

//<0833> 音速
<0833> 音速

//<0834> 無限
<0834> 無限

//<0835> エロ侍
<0835> エロ侍

//<0836> エロエロ団ナンバー１
<0836> エロエロ団ナンバー１

//<0837> ただのエロ少年
<0837> ただのエロ少年

//<0838> ユリブサイク
<0838> ユリブサイク

//<0839> ドピュッシー
<0839> ドピュッシー

//<0840> アメリカンエロドッグ
<0840> アメリカンエロドッグ

//<0841> ゼウス
<0841> ゼウス

//<0842> 日向markⅡ
<0842> 日向markⅡ

//<0843> 糞虫
<0843> 糞虫

//<0844> 量産型日向
<0844> 量産型日向

//<0845> ？？
<0845> ？？

//<0846> （なんて話が通じない奴なんだ！）
<0846> （なんて話が通じない奴なんだ！）

//<0847> 日向
<0847> 日向

//<0848> 男Ｂ
<0848> 男Ｂ

//<0849> エロエロ団総帥
<0849> エロエロ団総帥

//<0850> イケチン
<0850> イケチン

//<0851> ホモ太
<0851> ホモ太

//<0852> ひなチン
<0852> ひなチン

//<0853> 秀樹
<0853> 秀樹

//<0854> 男子生徒
<0854> 男子生徒

//<0855> ？？
<0855> ？？

//<0856> 「五段は、こういう熱血漢なんだよ」
<0856> 「五段は、こういう熱血漢なんだよ」

//<0857> 音無
<0857> 音無

//<0858> クソ坊主
<0858> クソ坊主

//<0859> 代理人
<0859> 代理人

//<0860> 微妙すぎるイケメン
<0860> 微妙すぎるイケメン

//<0861> ロリコン
<0861> ロリコン

//<0862> メガネ仲間
<0862> メガネ仲間

//<0863> 暗算日本記録保持者
<0863> 暗算日本記録保持者

//<0864> 通り魔
<0864> 通り魔

//<0865> 記憶ナシ男
<0865> 記憶ナシ男

//<0866> 音速
<0866> 音速

//<0867> 無限
<0867> 無限

//<0868> エロ侍
<0868> エロ侍

//<0869> エロエロ団ナンバー１
<0869> エロエロ団ナンバー１

//<0870> ただのエロ少年
<0870> ただのエロ少年

//<0871> ユリブサイク
<0871> ユリブサイク

//<0872> ドピュッシー
<0872> ドピュッシー

//<0873> アメリカンエロドッグ
<0873> アメリカンエロドッグ

//<0874> ゼウス
<0874> ゼウス

//<0875> 日向markⅡ
<0875> 日向markⅡ

//<0876> 糞虫
<0876> 糞虫

//<0877> 量産型日向
<0877> 量産型日向

//<0878> ？？
<0878> ？？

//<0879> 「え？　俺はどうすればいいんだ！？」
<0879> 「え？　俺はどうすればいいんだ！？」

//<0880> 日向
<0880> 日向

//<0881> 男Ｂ
<0881> 男Ｂ

//<0882> エロエロ団総帥
<0882> エロエロ団総帥

//<0883> イケチン
<0883> イケチン

//<0884> ホモ太
<0884> ホモ太

//<0885> ひなチン
<0885> ひなチン

//<0886> 秀樹
<0886> 秀樹

//<0887> 男子生徒
<0887> 男子生徒

//<0888> ？？
<0888> ？？

//<0889> 「お好きにどーぞ」
<0889> 「お好きにどーぞ」

//<0890> 戦う
<0890> 戦う

//<0891> 逃げる
<0891> 逃げる

//<0892> selbtn : 
<0892> selbtn : 

//<0893> 音無
<0893> 音無

//<0894> クソ坊主
<0894> クソ坊主

//<0895> 代理人
<0895> 代理人

//<0896> 微妙すぎるイケメン
<0896> 微妙すぎるイケメン

//<0897> ロリコン
<0897> ロリコン

//<0898> メガネ仲間
<0898> メガネ仲間

//<0899> 暗算日本記録保持者
<0899> 暗算日本記録保持者

//<0900> 通り魔
<0900> 通り魔

//<0901> 記憶ナシ男
<0901> 記憶ナシ男

//<0902> 音速
<0902> 音速

//<0903> 無限
<0903> 無限

//<0904> エロ侍
<0904> エロ侍

//<0905> エロエロ団ナンバー１
<0905> エロエロ団ナンバー１

//<0906> ただのエロ少年
<0906> ただのエロ少年

//<0907> ユリブサイク
<0907> ユリブサイク

//<0908> ドピュッシー
<0908> ドピュッシー

//<0909> アメリカンエロドッグ
<0909> アメリカンエロドッグ

//<0910> ゼウス
<0910> ゼウス

//<0911> 日向markⅡ
<0911> 日向markⅡ

//<0912> 糞虫
<0912> 糞虫

//<0913> 量産型日向
<0913> 量産型日向

//<0914> ？？
<0914> ？？

//<0915> 「くそっ！　やるしかねーのか！」
<0915> 「くそっ！　やるしかねーのか！」

//<0916> nothing
<0916> nothing

//<0917> 
<0917> 

//<0918> 
<0918> 

//<0919> nothing
<0919> nothing

//<0920> se_fling_ground
<0920> se_fling_ground

//<0921> 組みにかかるが、みごとに飛ばされる。
<0921> 組みにかかるが、みごとに飛ばされる。

//<0922> うまく受け身も取れず、肩から地面に叩きつけられて痛い…。
<0922> うまく受け身も取れず、肩から地面に叩きつけられて痛い…。

//<0923> nothing
<0923> nothing

//<0924> nothing
<0924> nothing

//<0925> nothing
<0925> nothing

//<0926> nothing
<0926> nothing

//<0927> nothing
<0927> nothing

//<0928> 松下
<0928> 松下

//<0929> 「こーーーーい！！」
<0929> 「こーーーーい！！」

//<0930> 音無
<0930> 音無

//<0931> クソ坊主
<0931> クソ坊主

//<0932> 代理人
<0932> 代理人

//<0933> 微妙すぎるイケメン
<0933> 微妙すぎるイケメン

//<0934> ロリコン
<0934> ロリコン

//<0935> メガネ仲間
<0935> メガネ仲間

//<0936> 暗算日本記録保持者
<0936> 暗算日本記録保持者

//<0937> 通り魔
<0937> 通り魔

//<0938> 記憶ナシ男
<0938> 記憶ナシ男

//<0939> 音速
<0939> 音速

//<0940> 無限
<0940> 無限

//<0941> エロ侍
<0941> エロ侍

//<0942> エロエロ団ナンバー１
<0942> エロエロ団ナンバー１

//<0943> ただのエロ少年
<0943> ただのエロ少年

//<0944> ユリブサイク
<0944> ユリブサイク

//<0945> ドピュッシー
<0945> ドピュッシー

//<0946> アメリカンエロドッグ
<0946> アメリカンエロドッグ

//<0947> ゼウス
<0947> ゼウス

//<0948> 日向markⅡ
<0948> 日向markⅡ

//<0949> 糞虫
<0949> 糞虫

//<0950> 量産型日向
<0950> 量産型日向

//<0951> ？？
<0951> ？？

//<0952> （え？　一回じゃ済まないの…？）
<0952> （え？　一回じゃ済まないの…？）

//<0953> 戦う
<0953> 戦う

//<0954> 逃げる
<0954> 逃げる

//<0955> selbtn : 
<0955> selbtn : 

//<0956> se_fling_ground
<0956> se_fling_ground

//<0957> また飛ばされる。痛い…。
<0957> また飛ばされる。痛い…。

//<0958> nothing
<0958> nothing

//<0959> nothing
<0959> nothing

//<0960> nothing
<0960> nothing

//<0961> nothing
<0961> nothing

//<0962> nothing
<0962> nothing

//<0963> 松下
<0963> 松下

//<0964> 「こーーーーい！！」
<0964> 「こーーーーい！！」

//<0965> え？　まだ済まないの？
<0965> え？　まだ済まないの？

//<0966> 戦い続ける
<0966> 戦い続ける

//<0967> 逃げる
<0967> 逃げる

//<0968> selbtn : 
<0968> selbtn : 

//<0969> さすがにもう無理だ！
<0969> さすがにもう無理だ！

//<0970> とても付き合いきれない！
<0970> とても付き合いきれない！

//<0971> 柔道の経験があったかもわからないのに、無理だ！
<0971> 柔道の経験があったかもわからないのに、無理だ！

//<0972> nothing
<0972> nothing

//<0973> nothing
<0973> nothing

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> nothing
<0977> nothing

//<0978> 音無
<0978> 音無

//<0979> クソ坊主
<0979> クソ坊主

//<0980> 代理人
<0980> 代理人

//<0981> 微妙すぎるイケメン
<0981> 微妙すぎるイケメン

//<0982> ロリコン
<0982> ロリコン

//<0983> メガネ仲間
<0983> メガネ仲間

//<0984> 暗算日本記録保持者
<0984> 暗算日本記録保持者

//<0985> 通り魔
<0985> 通り魔

//<0986> 記憶ナシ男
<0986> 記憶ナシ男

//<0987> 音速
<0987> 音速

//<0988> 無限
<0988> 無限

//<0989> エロ侍
<0989> エロ侍

//<0990> エロエロ団ナンバー１
<0990> エロエロ団ナンバー１

//<0991> ただのエロ少年
<0991> ただのエロ少年

//<0992> ユリブサイク
<0992> ユリブサイク

//<0993> ドピュッシー
<0993> ドピュッシー

//<0994> アメリカンエロドッグ
<0994> アメリカンエロドッグ

//<0995> ゼウス
<0995> ゼウス

//<0996> 日向markⅡ
<0996> 日向markⅡ

//<0997> 糞虫
<0997> 糞虫

//<0998> 量産型日向
<0998> 量産型日向

//<0999> ？？
<0999> ？？

//<1000> 「すまん、日向、俺は撤退する！」
<1000> 「すまん、日向、俺は撤退する！」

//<1001> nothing
<1001> nothing

//<1002> nothing
<1002> nothing

//<1003> nothing
<1003> nothing

//<1004> nothing
<1004> nothing

//<1005> nothing
<1005> nothing

//<1006> nothing
<1006> nothing

//<1007> 俺は逃げ出した。
<1007> 俺は逃げ出した。

//<1008> 日向
<1008> 日向

//<1009> 男Ｂ
<1009> 男Ｂ

//<1010> エロエロ団総帥
<1010> エロエロ団総帥

//<1011> イケチン
<1011> イケチン

//<1012> ホモ太
<1012> ホモ太

//<1013> ひなチン
<1013> ひなチン

//<1014> 秀樹
<1014> 秀樹

//<1015> 男子生徒
<1015> 男子生徒

//<1016> ？？
<1016> ？？

//<1017> 「とのことなんで、すまないな、松下五段！」
<1017> 「とのことなんで、すまないな、松下五段！」

//<1018> nothing
<1018> nothing

//<1019> nothing
<1019> nothing

//<1020> nothing
<1020> nothing

//<1021> nothing
<1021> nothing

//<1022> nothing
<1022> nothing

//<1023> 松下
<1023> 松下

//<1024> 「むぅ…」
<1024> 「むぅ…」

//<1025> nothing
<1025> nothing

//<1026> nothing
<1026> nothing

//<1027> nothing
<1027> nothing

//<1028> nothing
<1028> nothing

//<1029> nothing
<1029> nothing

//<1030> nothing
<1030> nothing

//<1031> 日向
<1031> 日向

//<1032> 男Ｂ
<1032> 男Ｂ

//<1033> エロエロ団総帥
<1033> エロエロ団総帥

//<1034> イケチン
<1034> イケチン

//<1035> ホモ太
<1035> ホモ太

//<1036> ひなチン
<1036> ひなチン

//<1037> 秀樹
<1037> 秀樹

//<1038> 男子生徒
<1038> 男子生徒

//<1039> ？？
<1039> ？？

//<1040> 「待てよぉーーー！」
<1040> 「待てよぉーーー！」

//<1041> 日向が追ってくるが、それも恐い…。
<1041> 日向が追ってくるが、それも恐い…。

//<1042> 日向も追ってきてくれた。
<1042> 日向も追ってきてくれた。

//<1043> se_fling_ground
<1043> se_fling_ground

//<1044> 何度飛ばされたことだろう。
<1044> 何度飛ばされたことだろう。

//<1045> 全身が痛い…。
<1045> 全身が痛い…。

//<1046> でも戦線の制服は胴着の代わりにもなるように作られてるんじゃないかと思うほど丈夫だった。
<1046> でも戦線の制服は胴着の代わりにもなるように作られてるんじゃないかと思うほど丈夫だった。

//<1047> nothing
<1047> nothing

//<1048> nothing
<1048> nothing

//<1049> nothing
<1049> nothing

//<1050> nothing
<1050> nothing

//<1051> nothing
<1051> nothing

//<1052> 日向
<1052> 日向

//<1053> 男Ｂ
<1053> 男Ｂ

//<1054> エロエロ団総帥
<1054> エロエロ団総帥

//<1055> イケチン
<1055> イケチン

//<1056> ホモ太
<1056> ホモ太

//<1057> ひなチン
<1057> ひなチン

//<1058> 秀樹
<1058> 秀樹

//<1059> 男子生徒
<1059> 男子生徒

//<1060> ？？
<1060> ？？

//<1061> 「どうだ？　分かり合えたか？」
<1061> 「どうだ？　分かり合えたか？」

//<1062> nothing
<1062> nothing

//<1063> nothing
<1063> nothing

//<1064> nothing
<1064> nothing

//<1065> nothing
<1065> nothing

//<1066> nothing
<1066> nothing

//<1067> 松下
<1067> 松下

//<1068> 「どうだ…分かり合えただろう？」
<1068> 「どうだ…分かり合えただろう？」

//<1069> 音無
<1069> 音無

//<1070> クソ坊主
<1070> クソ坊主

//<1071> 代理人
<1071> 代理人

//<1072> 微妙すぎるイケメン
<1072> 微妙すぎるイケメン

//<1073> ロリコン
<1073> ロリコン

//<1074> メガネ仲間
<1074> メガネ仲間

//<1075> 暗算日本記録保持者
<1075> 暗算日本記録保持者

//<1076> 通り魔
<1076> 通り魔

//<1077> 記憶ナシ男
<1077> 記憶ナシ男

//<1078> 音速
<1078> 音速

//<1079> 無限
<1079> 無限

//<1080> エロ侍
<1080> エロ侍

//<1081> エロエロ団ナンバー１
<1081> エロエロ団ナンバー１

//<1082> ただのエロ少年
<1082> ただのエロ少年

//<1083> ユリブサイク
<1083> ユリブサイク

//<1084> ドピュッシー
<1084> ドピュッシー

//<1085> アメリカンエロドッグ
<1085> アメリカンエロドッグ

//<1086> ゼウス
<1086> ゼウス

//<1087> 日向markⅡ
<1087> 日向markⅡ

//<1088> 糞虫
<1088> 糞虫

//<1089> 量産型日向
<1089> 量産型日向

//<1090> ？？
<1090> ？？

//<1091> 「いや、ぜんぜん」
<1091> 「いや、ぜんぜん」

//<1092> nothing
<1092> nothing

//<1093> nothing
<1093> nothing

//<1094> nothing
<1094> nothing

//<1095> nothing
<1095> nothing

//<1096> nothing
<1096> nothing

//<1097> 松下
<1097> 松下

//<1098> 「なんだとぉーーー！？」
<1098> 「なんだとぉーーー！？」

//<1099> 音無
<1099> 音無

//<1100> クソ坊主
<1100> クソ坊主

//<1101> 代理人
<1101> 代理人

//<1102> 微妙すぎるイケメン
<1102> 微妙すぎるイケメン

//<1103> ロリコン
<1103> ロリコン

