// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> そうだ。図書館に行くと決めていたんだった。
<0000> そうだ。図書館に行くと決めていたんだった。
//<0458> （レンタルショップのように敷居はないが、エエエ、エロ漫画はある程度端に偏っている…）
<0458> （レンタルショップのように敷居はないが、エエエ、エロ漫画はある程度端に偏っている…）

//<0459> その図書館の聖域、エロゾーンへと緊張を悟られないようにさりげなく移動する。
<0459> その図書館の聖域、エロゾーンへと緊張を悟られないようにさりげなく移動する。

//<0460> 音無
<0460> 音無

//<0461> クソ坊主
<0461> クソ坊主

//<0462> 代理人
<0462> 代理人

//<0463> 微妙すぎるイケメン
<0463> 微妙すぎるイケメン

//<0464> ロリコン
<0464> ロリコン

//<0465> メガネ仲間
<0465> メガネ仲間

//<0466> 暗算日本記録保持者
<0466> 暗算日本記録保持者

//<0467> 通り魔
<0467> 通り魔

//<0468> 記憶ナシ男
<0468> 記憶ナシ男

//<0469> 音速
<0469> 音速

//<0470> 無限
<0470> 無限

//<0471> エロ侍
<0471> エロ侍

//<0472> エロエロ団ナンバー１
<0472> エロエロ団ナンバー１

//<0473> ただのエロ少年
<0473> ただのエロ少年

//<0474> ユリブサイク
<0474> ユリブサイク

//<0475> ドピュッシー
<0475> ドピュッシー

//<0476> アメリカンエロドッグ
<0476> アメリカンエロドッグ

//<0477> ゼウス
<0477> ゼウス

//<0478> 日向markⅡ
<0478> 日向markⅡ

//<0479> 糞虫
<0479> 糞虫

//<0480> 量産型日向
<0480> 量産型日向

//<0481> ？？
<0481> ？？

//<0482> （焦るな…！　エエエ、エロ漫画は逃げない！！）
<0482> （焦るな…！　エエエ、エロ漫画は逃げない！！）

//<0483> 音無
<0483> 音無

//<0484> クソ坊主
<0484> クソ坊主

//<0485> 代理人
<0485> 代理人

//<0486> 微妙すぎるイケメン
<0486> 微妙すぎるイケメン

//<0487> ロリコン
<0487> ロリコン

//<0488> メガネ仲間
<0488> メガネ仲間

//<0489> 暗算日本記録保持者
<0489> 暗算日本記録保持者

//<0490> 通り魔
<0490> 通り魔

//<0491> 記憶ナシ男
<0491> 記憶ナシ男

//<0492> 音速
<0492> 音速

//<0493> 無限
<0493> 無限

//<0494> エロ侍
<0494> エロ侍

//<0495> エロエロ団ナンバー１
<0495> エロエロ団ナンバー１

//<0496> ただのエロ少年
<0496> ただのエロ少年

//<0497> ユリブサイク
<0497> ユリブサイク

//<0498> ドピュッシー
<0498> ドピュッシー

//<0499> アメリカンエロドッグ
<0499> アメリカンエロドッグ

//<0500> ゼウス
<0500> ゼウス

//<0501> 日向markⅡ
<0501> 日向markⅡ

//<0502> 糞虫
<0502> 糞虫

//<0503> 量産型日向
<0503> 量産型日向

//<0504> ？？
<0504> ？？

//<0505> （今返却した二巻目を借りたいが…）
<0505> （今返却した二巻目を借りたいが…）

//<0506> 白
<0506> 白
{b9e3} 0a // 0506

//<0507> nothing
<0507> nothing

//<0508> nothing
<0508> nothing

//<0509> nothing
<0509> nothing

//<0510> nothing
<0510> nothing

//<0511> nothing
<0511> nothing

//<0512> 日向
<0512> 日向

//<0513> 男Ｂ
<0513> 男Ｂ

//<0514> エロエロ団総帥
<0514> エロエロ団総帥

//<0515> イケチン
<0515> イケチン

//<0516> ホモ太
<0516> ホモ太

//<0517> ひなチン
<0517> ひなチン

//<0518> 秀樹
<0518> 秀樹

//<0519> 男子生徒
<0519> 男子生徒

//<0520> ？？
<0520> ？？

//<0521> 「一気借りとかしないんだな」
<0521> 「一気借りとかしないんだな」

//<0522> 音無
<0522> 音無

//<0523> クソ坊主
<0523> クソ坊主

//<0524> 代理人
<0524> 代理人

//<0525> 微妙すぎるイケメン
<0525> 微妙すぎるイケメン

//<0526> ロリコン
<0526> ロリコン

//<0527> メガネ仲間
<0527> メガネ仲間

//<0528> 暗算日本記録保持者
<0528> 暗算日本記録保持者

//<0529> 通り魔
<0529> 通り魔

//<0530> 記憶ナシ男
<0530> 記憶ナシ男

//<0531> 音速
<0531> 音速

//<0532> 無限
<0532> 無限

//<0533> エロ侍
<0533> エロ侍

//<0534> エロエロ団ナンバー１
<0534> エロエロ団ナンバー１

//<0535> ただのエロ少年
<0535> ただのエロ少年

//<0536> ユリブサイク
<0536> ユリブサイク

//<0537> ドピュッシー
<0537> ドピュッシー

//<0538> アメリカンエロドッグ
<0538> アメリカンエロドッグ

//<0539> ゼウス
<0539> ゼウス

//<0540> 日向markⅡ
<0540> 日向markⅡ

//<0541> 糞虫
<0541> 糞虫

//<0542> 量産型日向
<0542> 量産型日向

//<0543> ？？
<0543> ？？

//<0544> 「一気借り？」
<0544> 「一気借り？」

//<0545> nothing
<0545> nothing

//<0546> nothing
<0546> nothing

//<0547> nothing
<0547> nothing

//<0548> nothing
<0548> nothing

//<0549> nothing
<0549> nothing

//<0550> 日向
<0550> 日向

//<0551> 男Ｂ
<0551> 男Ｂ

//<0552> エロエロ団総帥
<0552> エロエロ団総帥

//<0553> イケチン
<0553> イケチン

//<0554> ホモ太
<0554> ホモ太

//<0555> ひなチン
<0555> ひなチン

//<0556> 秀樹
<0556> 秀樹

//<0557> 男子生徒
<0557> 男子生徒

//<0558> ？？
<0558> ？？

//<0559> 「完結している漫画の１巻から最終巻までを一度に借りることさ」
<0559> 「完結している漫画の１巻から最終巻までを一度に借りることさ」

//<0560> 音無
<0560> 音無

//<0561> クソ坊主
<0561> クソ坊主

//<0562> 代理人
<0562> 代理人

//<0563> 微妙すぎるイケメン
<0563> 微妙すぎるイケメン

//<0564> ロリコン
<0564> ロリコン

//<0565> メガネ仲間
<0565> メガネ仲間

//<0566> 暗算日本記録保持者
<0566> 暗算日本記録保持者

//<0567> 通り魔
<0567> 通り魔

//<0568> 記憶ナシ男
<0568> 記憶ナシ男

//<0569> 音速
<0569> 音速

//<0570> 無限
<0570> 無限

//<0571> エロ侍
<0571> エロ侍

//<0572> エロエロ団ナンバー１
<0572> エロエロ団ナンバー１

//<0573> ただのエロ少年
<0573> ただのエロ少年

//<0574> ユリブサイク
<0574> ユリブサイク

//<0575> ドピュッシー
<0575> ドピュッシー

//<0576> アメリカンエロドッグ
<0576> アメリカンエロドッグ

//<0577> ゼウス
<0577> ゼウス

//<0578> 日向markⅡ
<0578> 日向markⅡ

//<0579> 糞虫
<0579> 糞虫

//<0580> 量産型日向
<0580> 量産型日向

//<0581> ？？
<0581> ？？

//<0582> （なんてシーンがフラッシュバックするんだ…！！）
<0582> （なんてシーンがフラッシュバックするんだ…！！）

//<0583> 音無
<0583> 音無

//<0584> クソ坊主
<0584> クソ坊主

//<0585> 代理人
<0585> 代理人

//<0586> 微妙すぎるイケメン
<0586> 微妙すぎるイケメン

//<0587> ロリコン
<0587> ロリコン

//<0588> メガネ仲間
<0588> メガネ仲間

//<0589> 暗算日本記録保持者
<0589> 暗算日本記録保持者

//<0590> 通り魔
<0590> 通り魔

//<0591> 記憶ナシ男
<0591> 記憶ナシ男

//<0592> 音速
<0592> 音速

//<0593> 無限
<0593> 無限

//<0594> エロ侍
<0594> エロ侍

//<0595> エロエロ団ナンバー１
<0595> エロエロ団ナンバー１

//<0596> ただのエロ少年
<0596> ただのエロ少年

//<0597> ユリブサイク
<0597> ユリブサイク

//<0598> ドピュッシー
<0598> ドピュッシー

//<0599> アメリカンエロドッグ
<0599> アメリカンエロドッグ

//<0600> ゼウス
<0600> ゼウス

//<0601> 日向markⅡ
<0601> 日向markⅡ

//<0602> 糞虫
<0602> 糞虫

//<0603> 量産型日向
<0603> 量産型日向

//<0604> ？？
<0604> ？？

//<0605> （『やるっきゃ内藤さん』を一気借りしようと思えば出来るのか…）
<0605> （『やるっきゃ内藤さん』を一気借りしようと思えば出来るのか…）

//<0606> ごくり、と唾を飲む。
<0606> ごくり、と唾を飲む。

//<0607> その音すら、眼鏡が似合うクールビューティーな司書さんに届いてしまいそうなほど大きく響いて聞こえた…。
<0607> その音すら、眼鏡が似合うクールビューティーな司書さんに届いてしまいそうなほど大きく響いて聞こえた…。

//<0608> 音無
<0608> 音無

//<0609> クソ坊主
<0609> クソ坊主

//<0610> 代理人
<0610> 代理人

//<0611> 微妙すぎるイケメン
<0611> 微妙すぎるイケメン

//<0612> ロリコン
<0612> ロリコン

//<0613> メガネ仲間
<0613> メガネ仲間

//<0614> 暗算日本記録保持者
<0614> 暗算日本記録保持者

//<0615> 通り魔
<0615> 通り魔

//<0616> 記憶ナシ男
<0616> 記憶ナシ男

//<0617> 音速
<0617> 音速

//<0618> 無限
<0618> 無限

//<0619> エロ侍
<0619> エロ侍

//<0620> エロエロ団ナンバー１
<0620> エロエロ団ナンバー１

//<0621> ただのエロ少年
<0621> ただのエロ少年

//<0622> ユリブサイク
<0622> ユリブサイク

//<0623> ドピュッシー
<0623> ドピュッシー

//<0624> アメリカンエロドッグ
<0624> アメリカンエロドッグ

//<0625> ゼウス
<0625> ゼウス

//<0626> 日向markⅡ
<0626> 日向markⅡ

//<0627> 糞虫
<0627> 糞虫

//<0628> 量産型日向
<0628> 量産型日向

//<0629> ？？
<0629> ？？

//<0630> （まずはこのシリーズが全何巻かを確かめよう…）
<0630> （まずはこのシリーズが全何巻かを確かめよう…）

//<0631> 今返したばかりの１巻はない。２巻目から確かめていくと…。
<0631> 今返したばかりの１巻はない。２巻目から確かめていくと…。

//<0632> 音無
<0632> 音無

//<0633> クソ坊主
<0633> クソ坊主

//<0634> 代理人
<0634> 代理人

//<0635> 微妙すぎるイケメン
<0635> 微妙すぎるイケメン

//<0636> ロリコン
<0636> ロリコン

//<0637> メガネ仲間
<0637> メガネ仲間

//<0638> 暗算日本記録保持者
<0638> 暗算日本記録保持者

//<0639> 通り魔
<0639> 通り魔

//<0640> 記憶ナシ男
<0640> 記憶ナシ男

//<0641> 音速
<0641> 音速

//<0642> 無限
<0642> 無限

//<0643> エロ侍
<0643> エロ侍

//<0644> エロエロ団ナンバー１
<0644> エロエロ団ナンバー１

//<0645> ただのエロ少年
<0645> ただのエロ少年

//<0646> ユリブサイク
<0646> ユリブサイク

//<0647> ドピュッシー
<0647> ドピュッシー

//<0648> アメリカンエロドッグ
<0648> アメリカンエロドッグ

//<0649> ゼウス
<0649> ゼウス

//<0650> 日向markⅡ
<0650> 日向markⅡ

//<0651> 糞虫
<0651> 糞虫

//<0652> 量産型日向
<0652> 量産型日向

//<0653> ？？
<0653> ？？

//<0654> （えええ、どこまで続くんだ…）
<0654> （えええ、どこまで続くんだ…）

//<0655> se_cannon_destruction
<0655> se_cannon_destruction

//<0656> 音無
<0656> 音無

//<0657> クソ坊主
<0657> クソ坊主

//<0658> 代理人
<0658> 代理人

//<0659> 微妙すぎるイケメン
<0659> 微妙すぎるイケメン

//<0660> ロリコン
<0660> ロリコン

//<0661> メガネ仲間
<0661> メガネ仲間

//<0662> 暗算日本記録保持者
<0662> 暗算日本記録保持者

//<0663> 通り魔
<0663> 通り魔

//<0664> 記憶ナシ男
<0664> 記憶ナシ男

//<0665> 音速
<0665> 音速

//<0666> 無限
<0666> 無限

//<0667> エロ侍
<0667> エロ侍

//<0668> エロエロ団ナンバー１
<0668> エロエロ団ナンバー１

//<0669> ただのエロ少年
<0669> ただのエロ少年

//<0670> ユリブサイク
<0670> ユリブサイク

//<0671> ドピュッシー
<0671> ドピュッシー

//<0672> アメリカンエロドッグ
<0672> アメリカンエロドッグ

//<0673> ゼウス
<0673> ゼウス

//<0674> 日向markⅡ
<0674> 日向markⅡ

//<0675> 糞虫
<0675> 糞虫

//<0676> 量産型日向
<0676> 量産型日向

//<0677> ？？
<0677> ？？

//<0678> （全３１巻ーーーー！！）
<0678> （全３１巻ーーーー！！）

//<0679> 音無
<0679> 音無

//<0680> クソ坊主
<0680> クソ坊主

//<0681> 代理人
<0681> 代理人

//<0682> 微妙すぎるイケメン
<0682> 微妙すぎるイケメン

//<0683> ロリコン
<0683> ロリコン

//<0684> メガネ仲間
<0684> メガネ仲間

//<0685> 暗算日本記録保持者
<0685> 暗算日本記録保持者

//<0686> 通り魔
<0686> 通り魔

//<0687> 記憶ナシ男
<0687> 記憶ナシ男

//<0688> 音速
<0688> 音速

//<0689> 無限
<0689> 無限

//<0690> エロ侍
<0690> エロ侍

//<0691> エロエロ団ナンバー１
<0691> エロエロ団ナンバー１

//<0692> ただのエロ少年
<0692> ただのエロ少年

//<0693> ユリブサイク
<0693> ユリブサイク

//<0694> ドピュッシー
<0694> ドピュッシー

//<0695> アメリカンエロドッグ
<0695> アメリカンエロドッグ

//<0696> ゼウス
<0696> ゼウス

//<0697> 日向markⅡ
<0697> 日向markⅡ

//<0698> 糞虫
<0698> 糞虫

//<0699> 量産型日向
<0699> 量産型日向

//<0700> ？？
<0700> ？？

//<0701> （どう考えても、これは小分けにするべきだろーー！！）
<0701> （どう考えても、これは小分けにするべきだろーー！！）

//<0702> 白
<0702> 白
{10379} 0a // 0702

//<0703> nothing
<0703> nothing

//<0704> nothing
<0704> nothing

//<0705> nothing
<0705> nothing

//<0706> nothing
<0706> nothing

//<0707> nothing
<0707> nothing

//<0708> 日向
<0708> 日向

//<0709> 男Ｂ
<0709> 男Ｂ

//<0710> エロエロ団総帥
<0710> エロエロ団総帥

//<0711> イケチン
<0711> イケチン

//<0712> ホモ太
<0712> ホモ太

//<0713> ひなチン
<0713> ひなチン

//<0714> 秀樹
<0714> 秀樹

//<0715> 男子生徒
<0715> 男子生徒

//<0716> ？？
<0716> ？？

//<0717> 「生きていた頃はそうかもしれねーけど、１０冊や２０冊以上借りようが何の文句も言われねーよ。実際俺もそうしてるし」
<0717> 「生きていた頃はそうかもしれねーけど、１０冊や２０冊以上借りようが何の文句も言われねーよ。実際俺もそうしてるし」

//<0718> 音無
<0718> 音無

//<0719> クソ坊主
<0719> クソ坊主

//<0720> 代理人
<0720> 代理人

//<0721> 微妙すぎるイケメン
<0721> 微妙すぎるイケメン

//<0722> ロリコン
<0722> ロリコン

//<0723> メガネ仲間
<0723> メガネ仲間

//<0724> 暗算日本記録保持者
<0724> 暗算日本記録保持者

//<0725> 通り魔
<0725> 通り魔

//<0726> 記憶ナシ男
<0726> 記憶ナシ男

//<0727> 音速
<0727> 音速

//<0728> 無限
<0728> 無限

//<0729> エロ侍
<0729> エロ侍

//<0730> エロエロ団ナンバー１
<0730> エロエロ団ナンバー１

//<0731> ただのエロ少年
<0731> ただのエロ少年

//<0732> ユリブサイク
<0732> ユリブサイク

//<0733> ドピュッシー
<0733> ドピュッシー

//<0734> アメリカンエロドッグ
<0734> アメリカンエロドッグ

//<0735> ゼウス
<0735> ゼウス

//<0736> 日向markⅡ
<0736> 日向markⅡ

//<0737> 糞虫
<0737> 糞虫

//<0738> 量産型日向
<0738> 量産型日向

//<0739> ？？
<0739> ？？

//<0740> （またもなんてフラッシュバックが！！）
<0740> （またもなんてフラッシュバックが！！）

//<0741> 音無
<0741> 音無

//<0742> クソ坊主
<0742> クソ坊主

//<0743> 代理人
<0743> 代理人

//<0744> 微妙すぎるイケメン
<0744> 微妙すぎるイケメン

//<0745> ロリコン
<0745> ロリコン

//<0746> メガネ仲間
<0746> メガネ仲間

//<0747> 暗算日本記録保持者
<0747> 暗算日本記録保持者

//<0748> 通り魔
<0748> 通り魔

//<0749> 記憶ナシ男
<0749> 記憶ナシ男

//<0750> 音速
<0750> 音速

//<0751> 無限
<0751> 無限

//<0752> エロ侍
<0752> エロ侍

//<0753> エロエロ団ナンバー１
<0753> エロエロ団ナンバー１

//<0754> ただのエロ少年
<0754> ただのエロ少年

//<0755> ユリブサイク
<0755> ユリブサイク

//<0756> ドピュッシー
<0756> ドピュッシー

//<0757> アメリカンエロドッグ
<0757> アメリカンエロドッグ

//<0758> ゼウス
<0758> ゼウス

//<0759> 日向markⅡ
<0759> 日向markⅡ

//<0760> 糞虫
<0760> 糞虫

//<0761> 量産型日向
<0761> 量産型日向

//<0762> ？？
<0762> ？？

//<0763> （１０冊、２０冊がいけるのなら、３０冊もいけるのかもしれない…）
<0763> （１０冊、２０冊がいけるのなら、３０冊もいけるのかもしれない…）

//<0764> 音無
<0764> 音無

//<0765> クソ坊主
<0765> クソ坊主

//<0766> 代理人
<0766> 代理人

//<0767> 微妙すぎるイケメン
<0767> 微妙すぎるイケメン

//<0768> ロリコン
<0768> ロリコン

//<0769> メガネ仲間
<0769> メガネ仲間

//<0770> 暗算日本記録保持者
<0770> 暗算日本記録保持者

//<0771> 通り魔
<0771> 通り魔

//<0772> 記憶ナシ男
<0772> 記憶ナシ男

//<0773> 音速
<0773> 音速

//<0774> 無限
<0774> 無限

//<0775> エロ侍
<0775> エロ侍

//<0776> エロエロ団ナンバー１
<0776> エロエロ団ナンバー１

//<0777> ただのエロ少年
<0777> ただのエロ少年

//<0778> ユリブサイク
<0778> ユリブサイク

//<0779> ドピュッシー
<0779> ドピュッシー

//<0780> アメリカンエロドッグ
<0780> アメリカンエロドッグ

//<0781> ゼウス
<0781> ゼウス

//<0782> 日向markⅡ
<0782> 日向markⅡ

//<0783> 糞虫
<0783> 糞虫

//<0784> 量産型日向
<0784> 量産型日向

//<0785> ？？
<0785> ？？

//<0786> 「ふーーーーーー…」
<0786> 「ふーーーーーー…」

//<0787> 深く息をついた後、決心する。
<0787> 深く息をついた後、決心する。

//<0788> nothing
<0788> nothing

//<0789> 
<0789> 

//<0790> 
<0790> 

//<0791> nothing
<0791> nothing

//<0792> １巻を除く、残る３０冊の一気借りをしよう。
<0792> １巻を除く、残る３０冊の一気借りをしよう。

//<0793> 音無
<0793> 音無

//<0794> クソ坊主
<0794> クソ坊主

//<0795> 代理人
<0795> 代理人

//<0796> 微妙すぎるイケメン
<0796> 微妙すぎるイケメン

//<0797> ロリコン
<0797> ロリコン

//<0798> メガネ仲間
<0798> メガネ仲間

//<0799> 暗算日本記録保持者
<0799> 暗算日本記録保持者

//<0800> 通り魔
<0800> 通り魔

//<0801> 記憶ナシ男
<0801> 記憶ナシ男

//<0802> 音速
<0802> 音速

//<0803> 無限
<0803> 無限

//<0804> エロ侍
<0804> エロ侍

//<0805> エロエロ団ナンバー１
<0805> エロエロ団ナンバー１

//<0806> ただのエロ少年
<0806> ただのエロ少年

//<0807> ユリブサイク
<0807> ユリブサイク

//<0808> ドピュッシー
<0808> ドピュッシー

//<0809> アメリカンエロドッグ
<0809> アメリカンエロドッグ

//<0810> ゼウス
<0810> ゼウス

//<0811> 日向markⅡ
<0811> 日向markⅡ

//<0812> 糞虫
<0812> 糞虫

//<0813> 量産型日向
<0813> 量産型日向

//<0814> ？？
<0814> ？？

//<0815> （勇者だな、俺…）
<0815> （勇者だな、俺…）

//<0816> でも、一気には運べない。１０冊刻みで司書さんの元へ運んだ。
<0816> でも、一気には運べない。１０冊刻みで司書さんの元へ運んだ。

//<0817> 音無
<0817> 音無

//<0818> クソ坊主
<0818> クソ坊主

//<0819> 代理人
<0819> 代理人

//<0820> 微妙すぎるイケメン
<0820> 微妙すぎるイケメン

//<0821> ロリコン
<0821> ロリコン

//<0822> メガネ仲間
<0822> メガネ仲間

//<0823> 暗算日本記録保持者
<0823> 暗算日本記録保持者

//<0824> 通り魔
<0824> 通り魔

//<0825> 記憶ナシ男
<0825> 記憶ナシ男

//<0826> 音速
<0826> 音速

//<0827> 無限
<0827> 無限

//<0828> エロ侍
<0828> エロ侍

//<0829> エロエロ団ナンバー１
<0829> エロエロ団ナンバー１

//<0830> ただのエロ少年
<0830> ただのエロ少年

//<0831> ユリブサイク
<0831> ユリブサイク

//<0832> ドピュッシー
<0832> ドピュッシー

//<0833> アメリカンエロドッグ
<0833> アメリカンエロドッグ

//<0834> ゼウス
<0834> ゼウス

//<0835> 日向markⅡ
<0835> 日向markⅡ

//<0836> 糞虫
<0836> 糞虫

//<0837> 量産型日向
<0837> 量産型日向

//<0838> ？？
<0838> ？？

//<0839> 「エロしく…いやっ、よろしくお願いしますっ」
<0839> 「エロしく…いやっ、よろしくお願いしますっ」

//<0840> 本当にこの量が通るのか！？
<0840> 本当にこの量が通るのか！？

//<0841> 司書
<0841> 司書

//<0842> 「はい。少々お待ちください」
<0842> 「はい。少々お待ちください」

//<0843> バーコードリーダーで、通し始めた。
<0843> バーコードリーダーで、通し始めた。

//<0844> 音無
<0844> 音無

//<0845> クソ坊主
<0845> クソ坊主

//<0846> 代理人
<0846> 代理人

//<0847> 微妙すぎるイケメン
<0847> 微妙すぎるイケメン

//<0848> ロリコン
<0848> ロリコン

//<0849> メガネ仲間
<0849> メガネ仲間

//<0850> 暗算日本記録保持者
<0850> 暗算日本記録保持者

//<0851> 通り魔
<0851> 通り魔

//<0852> 記憶ナシ男
<0852> 記憶ナシ男

//<0853> 音速
<0853> 音速

//<0854> 無限
<0854> 無限

//<0855> エロ侍
<0855> エロ侍

//<0856> エロエロ団ナンバー１
<0856> エロエロ団ナンバー１

//<0857> ただのエロ少年
<0857> ただのエロ少年

//<0858> ユリブサイク
<0858> ユリブサイク

//<0859> ドピュッシー
<0859> ドピュッシー

//<0860> アメリカンエロドッグ
<0860> アメリカンエロドッグ

//<0861> ゼウス
<0861> ゼウス

//<0862> 日向markⅡ
<0862> 日向markⅡ

//<0863> 糞虫
<0863> 糞虫

//<0864> 量産型日向
<0864> 量産型日向

//<0865> ？？
<0865> ？？

//<0866> （通ったあぁぁぁーーーー！！）
<0866> （通ったあぁぁぁーーーー！！）

//<0867> 心の中でガッツポーズ。
<0867> 心の中でガッツポーズ。

//<0868> 音無
<0868> 音無

//<0869> クソ坊主
<0869> クソ坊主

//<0870> 代理人
<0870> 代理人

//<0871> 微妙すぎるイケメン
<0871> 微妙すぎるイケメン

//<0872> ロリコン
<0872> ロリコン

//<0873> メガネ仲間
<0873> メガネ仲間

//<0874> 暗算日本記録保持者
<0874> 暗算日本記録保持者

//<0875> 通り魔
<0875> 通り魔

//<0876> 記憶ナシ男
<0876> 記憶ナシ男

//<0877> 音速
<0877> 音速

//<0878> 無限
<0878> 無限

//<0879> エロ侍
<0879> エロ侍

//<0880> エロエロ団ナンバー１
<0880> エロエロ団ナンバー１

//<0881> ただのエロ少年
<0881> ただのエロ少年

//<0882> ユリブサイク
<0882> ユリブサイク

//<0883> ドピュッシー
<0883> ドピュッシー

//<0884> アメリカンエロドッグ
<0884> アメリカンエロドッグ

//<0885> ゼウス
<0885> ゼウス

//<0886> 日向markⅡ
<0886> 日向markⅡ

//<0887> 糞虫
<0887> 糞虫

//<0888> 量産型日向
<0888> 量産型日向

//<0889> ？？
<0889> ？？

//<0890> （せめて司書さんが男性だったらここまでのプレッシャーはなかったのに…）
<0890> （せめて司書さんが男性だったらここまでのプレッシャーはなかったのに…）

//<0891> 音無
<0891> 音無

//<0892> クソ坊主
<0892> クソ坊主

//<0893> 代理人
<0893> 代理人

//<0894> 微妙すぎるイケメン
<0894> 微妙すぎるイケメン

//<0895> ロリコン
<0895> ロリコン

//<0896> メガネ仲間
<0896> メガネ仲間

//<0897> 暗算日本記録保持者
<0897> 暗算日本記録保持者

//<0898> 通り魔
<0898> 通り魔

//<0899> 記憶ナシ男
<0899> 記憶ナシ男

//<0900> 音速
<0900> 音速

//<0901> 無限
<0901> 無限

//<0902> エロ侍
<0902> エロ侍

//<0903> エロエロ団ナンバー１
<0903> エロエロ団ナンバー１

//<0904> ただのエロ少年
<0904> ただのエロ少年

//<0905> ユリブサイク
<0905> ユリブサイク

//<0906> ドピュッシー
<0906> ドピュッシー

//<0907> アメリカンエロドッグ
<0907> アメリカンエロドッグ

//<0908> ゼウス
<0908> ゼウス

//<0909> 日向markⅡ
<0909> 日向markⅡ

//<0910> 糞虫
<0910> 糞虫

//<0911> 量産型日向
<0911> 量産型日向

//<0912> ？？
<0912> ？？

//<0913> （あれ…？　今くすりと笑わなかったか？）
<0913> （あれ…？　今くすりと笑わなかったか？）

//<0914> 音無
<0914> 音無

//<0915> クソ坊主
<0915> クソ坊主

//<0916> 代理人
<0916> 代理人

//<0917> 微妙すぎるイケメン
<0917> 微妙すぎるイケメン

//<0918> ロリコン
<0918> ロリコン

//<0919> メガネ仲間
<0919> メガネ仲間

//<0920> 暗算日本記録保持者
<0920> 暗算日本記録保持者

//<0921> 通り魔
<0921> 通り魔

//<0922> 記憶ナシ男
<0922> 記憶ナシ男

//<0923> 音速
<0923> 音速

//<0924> 無限
<0924> 無限

//<0925> エロ侍
<0925> エロ侍

//<0926> エロエロ団ナンバー１
<0926> エロエロ団ナンバー１

//<0927> ただのエロ少年
<0927> ただのエロ少年

//<0928> ユリブサイク
<0928> ユリブサイク

//<0929> ドピュッシー
<0929> ドピュッシー

//<0930> アメリカンエロドッグ
<0930> アメリカンエロドッグ

//<0931> ゼウス
<0931> ゼウス

//<0932> 日向markⅡ
<0932> 日向markⅡ

//<0933> 糞虫
<0933> 糞虫

//<0934> 量産型日向
<0934> 量産型日向

//<0935> ？？
<0935> ？？

//<0936> （ああ、こんなエロい漫画を思春期の男子は性欲丸出しで一気借りしちゃうんだーって思って、笑わなかったか？）
<0936> （ああ、こんなエロい漫画を思春期の男子は性欲丸出しで一気借りしちゃうんだーって思って、笑わなかったか？）

//<0937> 疑心暗鬼になる。
<0937> 疑心暗鬼になる。

//<0938> ３０冊のバーコードを通すのも時間がかかり、後ろに人が並び始めた…。
<0938> ３０冊のバーコードを通すのも時間がかかり、後ろに人が並び始めた…。

//<0939> 音無
<0939> 音無

//<0940> クソ坊主
<0940> クソ坊主

//<0941> 代理人
<0941> 代理人

//<0942> 微妙すぎるイケメン
<0942> 微妙すぎるイケメン

//<0943> ロリコン
<0943> ロリコン

//<0944> メガネ仲間
<0944> メガネ仲間

//<0945> 暗算日本記録保持者
<0945> 暗算日本記録保持者

//<0946> 通り魔
<0946> 通り魔

//<0947> 記憶ナシ男
<0947> 記憶ナシ男

//<0948> 音速
<0948> 音速

//<0949> 無限
<0949> 無限

//<0950> エロ侍
<0950> エロ侍

//<0951> エロエロ団ナンバー１
<0951> エロエロ団ナンバー１

//<0952> ただのエロ少年
<0952> ただのエロ少年

//<0953> ユリブサイク
<0953> ユリブサイク

//<0954> ドピュッシー
<0954> ドピュッシー

//<0955> アメリカンエロドッグ
<0955> アメリカンエロドッグ

//<0956> ゼウス
<0956> ゼウス

//<0957> 日向markⅡ
<0957> 日向markⅡ

//<0958> 糞虫
<0958> 糞虫

//<0959> 量産型日向
<0959> 量産型日向

//<0960> ？？
<0960> ？？

//<0961> （ああ！！　俺がエロ漫画を３０冊も借りようとしていることがバレバレだ！　公開処刑のようじゃないかぁーー！！）
<0961> （ああ！！　俺がエロ漫画を３０冊も借りようとしていることがバレバレだ！　公開処刑のようじゃないかぁーー！！）

//<0962> どばっと冷や汗が出る。
<0962> どばっと冷や汗が出る。

//<0963> ようやく、ぴっ、と最後の一冊が通された。
<0963> ようやく、ぴっ、と最後の一冊が通された。

