// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 99_場所選択マップ
<0000> 99_場所選択マップ
<0920> 「ああ、仲はすっげーいいぜ。これだけ思い切り蹴っても、文句言われねーしな。な、糞虫？」

//<0921> nothing
<0921> nothing

//<0922> nothing
<0922> nothing

//<0923> nothing
<0923> nothing

//<0924> nothing
<0924> nothing

//<0925> nothing
<0925> nothing

//<0926> ゆり
<0926> ゆり

//<0927> 女生徒
<0927> 女生徒

//<0928> ？？
<0928> ？？

//<0929> 「仲がいいのにすげーあだ名で呼ぶんだな…」
<0929> 「仲がいいのにすげーあだ名で呼ぶんだな…」

//<0930> 日向
<0930> 日向

//<0931> 男Ｂ
<0931> 男Ｂ

//<0932> エロエロ団総帥
<0932> エロエロ団総帥

//<0933> イケチン
<0933> イケチン

//<0934> ホモ太
<0934> ホモ太

//<0935> ひなチン
<0935> ひなチン

//<0936> 秀樹
<0936> 秀樹

//<0937> 男子生徒
<0937> 男子生徒

//<0938> ？？
<0938> ？？

//<0939> 「ああ、仲はすっげーいいぜ。これだけ思い切り蹴っても、文句言われねーしな。な、量産型日向？」
<0939> 「ああ、仲はすっげーいいぜ。これだけ思い切り蹴っても、文句言われねーしな。な、量産型日向？」

//<0940> 日向
<0940> 日向

//<0941> 男Ｂ
<0941> 男Ｂ

//<0942> エロエロ団総帥
<0942> エロエロ団総帥

//<0943> イケチン
<0943> イケチン

//<0944> ホモ太
<0944> ホモ太

//<0945> ひなチン
<0945> ひなチン

//<0946> 秀樹
<0946> 秀樹

//<0947> 男子生徒
<0947> 男子生徒

//<0948> ？？
<0948> ？？

//<0949> 「ああ、仲はすっげーいいぜ。これだけ思い切り蹴っても、文句言われねーしな。な、音無？」
<0949> 「ああ、仲はすっげーいいぜ。これだけ思い切り蹴っても、文句言われねーしな。な、音無？」

//<0950> 音無
<0950> 音無

//<0951> クソ坊主
<0951> クソ坊主

//<0952> 代理人
<0952> 代理人

//<0953> 微妙すぎるイケメン
<0953> 微妙すぎるイケメン

//<0954> ロリコン
<0954> ロリコン

//<0955> メガネ仲間
<0955> メガネ仲間

//<0956> 暗算日本記録保持者
<0956> 暗算日本記録保持者

//<0957> 通り魔
<0957> 通り魔

//<0958> 記憶ナシ男
<0958> 記憶ナシ男

//<0959> 音速
<0959> 音速

//<0960> 無限
<0960> 無限

//<0961> エロ侍
<0961> エロ侍

//<0962> エロエロ団ナンバー１
<0962> エロエロ団ナンバー１

//<0963> ただのエロ少年
<0963> ただのエロ少年

//<0964> ユリブサイク
<0964> ユリブサイク

//<0965> ドピュッシー
<0965> ドピュッシー

//<0966> アメリカンエロドッグ
<0966> アメリカンエロドッグ

//<0967> ゼウス
<0967> ゼウス

//<0968> 日向markⅡ
<0968> 日向markⅡ

//<0969> 糞虫
<0969> 糞虫

//<0970> 量産型日向
<0970> 量産型日向

//<0971> ？？
<0971> ？？

//<0972> 「ああ…その通りだ…ゆり…」
<0972> 「ああ…その通りだ…ゆり…」

//<0973> nothing
<0973> nothing

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> 日向
<0977> 日向

//<0978> 男Ｂ
<0978> 男Ｂ

//<0979> エロエロ団総帥
<0979> エロエロ団総帥

//<0980> イケチン
<0980> イケチン

//<0981> ホモ太
<0981> ホモ太

//<0982> ひなチン
<0982> ひなチン

//<0983> 秀樹
<0983> 秀樹

//<0984> 男子生徒
<0984> 男子生徒

//<0985> ？？
<0985> ？？

//<0986> 「だろ？」
<0986> 「だろ？」

//<0987> nothing
<0987> nothing

//<0988> nothing
<0988> nothing

//<0989> nothing
<0989> nothing

//<0990> nothing
<0990> nothing

//<0991> 遊佐
<0991> 遊佐

//<0992> 「性癖に異常性を感じますね」
<0992> 「性癖に異常性を感じますね」

//<0993> nothing
<0993> nothing

//<0994> nothing
<0994> nothing

//<0995> nothing
<0995> nothing

//<0996> nothing
<0996> nothing

//<0997> nothing
<0997> nothing

//<0998> ゆり
<0998> ゆり

//<0999> 女生徒
<0999> 女生徒

//<1000> ？？
<1000> ？？

//<1001> 「この世界では、異常な精神もすぐ治るはず。だとしたら、それは生まれ持っての気質…」
<1001> 「この世界では、異常な精神もすぐ治るはず。だとしたら、それは生まれ持っての気質…」

//<1002> nothing
<1002> nothing

//<1003> nothing
<1003> nothing

//<1004> nothing
<1004> nothing

//<1005> nothing
<1005> nothing

//<1006> nothing
<1006> nothing

//<1007> 遊佐
<1007> 遊佐

//<1008> 「戦線から除名しますか？」
<1008> 「戦線から除名しますか？」

//<1009> nothing
<1009> nothing

//<1010> nothing
<1010> nothing

//<1011> nothing
<1011> nothing

//<1012> nothing
<1012> nothing

//<1013> nothing
<1013> nothing

//<1014> ゆり
<1014> ゆり

//<1015> 女生徒
<1015> 女生徒

//<1016> ？？
<1016> ？？

//<1017> 「いえ。しばらく様子見とするわ」
<1017> 「いえ。しばらく様子見とするわ」

//<1018> nothing
<1018> nothing

//<1019> nothing
<1019> nothing

//<1020> nothing
<1020> nothing

//<1021> 日向
<1021> 日向

//<1022> 男Ｂ
<1022> 男Ｂ

//<1023> エロエロ団総帥
<1023> エロエロ団総帥

//<1024> イケチン
<1024> イケチン

//<1025> ホモ太
<1025> ホモ太

//<1026> ひなチン
<1026> ひなチン

//<1027> 秀樹
<1027> 秀樹

//<1028> 男子生徒
<1028> 男子生徒

//<1029> ？？
<1029> ？？

//<1030> 「おいおい、そんな
<1030> 「おいおい、そんな

//<1031> おおごと
<1031> おおごと

//<1032> 大事
<1032> 大事
{1b5d8} 3d // 1032

//<1033> にすんなよっ！　大丈夫だっての！」
<1033> にすんなよっ！　大丈夫だっての！」

//<1034> nothing
<1034> nothing

//<1035> nothing
<1035> nothing

//<1036> nothing
<1036> nothing

//<1037> nothing
<1037> nothing

//<1038> nothing
<1038> nothing

//<1039> ゆり
<1039> ゆり

//<1040> 女生徒
<1040> 女生徒

//<1041> ？？
<1041> ？？

//<1042> 「はいはい。わかったから、とっとと出てけー」
<1042> 「はいはい。わかったから、とっとと出てけー」

//<1043> nothing
<1043> nothing

//<1044> nothing
<1044> nothing

//<1045> nothing
<1045> nothing

//<1046> nothing
<1046> nothing

//<1047> nothing
<1047> nothing

//<1048> 日向
<1048> 日向

//<1049> 男Ｂ
<1049> 男Ｂ

//<1050> エロエロ団総帥
<1050> エロエロ団総帥

//<1051> イケチン
<1051> イケチン

//<1052> ホモ太
<1052> ホモ太

//<1053> ひなチン
<1053> ひなチン

//<1054> 秀樹
<1054> 秀樹

//<1055> 男子生徒
<1055> 男子生徒

//<1056> ？？
<1056> ？？

//<1057> 「んだよ、くそぅっ！」
<1057> 「んだよ、くそぅっ！」

//<1058> 音無
<1058> 音無

//<1059> クソ坊主
<1059> クソ坊主

//<1060> 代理人
<1060> 代理人

//<1061> 微妙すぎるイケメン
<1061> 微妙すぎるイケメン

//<1062> ロリコン
<1062> ロリコン

//<1063> メガネ仲間
<1063> メガネ仲間

//<1064> 暗算日本記録保持者
<1064> 暗算日本記録保持者

//<1065> 通り魔
<1065> 通り魔

//<1066> 記憶ナシ男
<1066> 記憶ナシ男

//<1067> 音速
<1067> 音速

//<1068> 無限
<1068> 無限

//<1069> エロ侍
<1069> エロ侍

//<1070> エロエロ団ナンバー１
<1070> エロエロ団ナンバー１

//<1071> ただのエロ少年
<1071> ただのエロ少年

//<1072> ユリブサイク
<1072> ユリブサイク

//<1073> ドピュッシー
<1073> ドピュッシー

//<1074> アメリカンエロドッグ
<1074> アメリカンエロドッグ

//<1075> ゼウス
<1075> ゼウス

//<1076> 日向markⅡ
<1076> 日向markⅡ

//<1077> 糞虫
<1077> 糞虫

//<1078> 量産型日向
<1078> 量産型日向

//<1079> ？？
<1079> ？？

//<1080> （これは…もしかして、ゆりが日向に対して嫉妬している…！？）
<1080> （これは…もしかして、ゆりが日向に対して嫉妬している…！？）

//<1081> きっとそうだ、そうに違いない。
<1081> きっとそうだ、そうに違いない。

//<1082> ついに俺のゆりを想う努力が実を結びつつあるということだ…！
<1082> ついに俺のゆりを想う努力が実を結びつつあるということだ…！

//<1083> 音無
<1083> 音無

//<1084> クソ坊主
<1084> クソ坊主

//<1085> 代理人
<1085> 代理人

//<1086> 微妙すぎるイケメン
<1086> 微妙すぎるイケメン

//<1087> ロリコン
<1087> ロリコン

//<1088> メガネ仲間
<1088> メガネ仲間

//<1089> 暗算日本記録保持者
<1089> 暗算日本記録保持者

//<1090> 通り魔
<1090> 通り魔

//<1091> 記憶ナシ男
<1091> 記憶ナシ男

//<1092> 音速
<1092> 音速

//<1093> 無限
<1093> 無限

//<1094> エロ侍
<1094> エロ侍

//<1095> エロエロ団ナンバー１
<1095> エロエロ団ナンバー１

//<1096> ただのエロ少年
<1096> ただのエロ少年

//<1097> ユリブサイク
<1097> ユリブサイク

//<1098> ドピュッシー
<1098> ドピュッシー

//<1099> アメリカンエロドッグ
<1099> アメリカンエロドッグ

//<1100> ゼウス
<1100> ゼウス

//<1101> 日向markⅡ
<1101> 日向markⅡ

//<1102> 糞虫
<1102> 糞虫

//<1103> 量産型日向
<1103> 量産型日向

//<1104> ？？
<1104> ？？

//<1105> 「おし日向、メシ行こうぜ！」
<1105> 「おし日向、メシ行こうぜ！」

//<1106> nothing
<1106> nothing

//<1107> nothing
<1107> nothing

//<1108> nothing
<1108> nothing

//<1109> 日向
<1109> 日向

//<1110> 男Ｂ
<1110> 男Ｂ

//<1111> エロエロ団総帥
<1111> エロエロ団総帥

//<1112> イケチン
<1112> イケチン

//<1113> ホモ太
<1113> ホモ太

//<1114> ひなチン
<1114> ひなチン

//<1115> 秀樹
<1115> 秀樹

//<1116> 男子生徒
<1116> 男子生徒

//<1117> ？？
<1117> ？？

//<1118> 「ああ、いいぜ！」
<1118> 「ああ、いいぜ！」

//<1119> もっと嫉妬心を煽るため、必要以上に日向に近づく。
<1119> もっと嫉妬心を煽るため、必要以上に日向に近づく。

//<1120> nothing
<1120> nothing

//<1121> nothing
<1121> nothing

//<1122> nothing
<1122> nothing

//<1123> nothing
<1123> nothing

//<1124> nothing
<1124> nothing

//<1125> ゆり
<1125> ゆり

//<1126> 女生徒
<1126> 女生徒

//<1127> ？？
<1127> ？？

//<1128> 「………」
<1128> 「………」

//<1129> nothing
<1129> nothing

//<1130> nothing
<1130> nothing

//<1131> nothing
<1131> nothing

//<1132> nothing
<1132> nothing

//<1133> nothing
<1133> nothing

//<1134> 遊佐
<1134> 遊佐

//<1135> 「性癖に異常性を感じますね」
<1135> 「性癖に異常性を感じますね」

//<1136> 日向と肩を並べたまま出口に向かう。
<1136> 日向と肩を並べたまま出口に向かう。

//<1137> ゆり、そうやってもっと俺のことを意識するがいい…！
<1137> ゆり、そうやってもっと俺のことを意識するがいい…！

//<1138> nothing
<1138> nothing

//<1139> nothing
<1139> nothing

//<1140> nothing
<1140> nothing

//<1141> nothing
<1141> nothing

//<1142> nothing
<1142> nothing

//<1143> 日向
<1143> 日向

//<1144> 男Ｂ
<1144> 男Ｂ

//<1145> エロエロ団総帥
<1145> エロエロ団総帥

//<1146> イケチン
<1146> イケチン

//<1147> ホモ太
<1147> ホモ太

//<1148> ひなチン
<1148> ひなチン

//<1149> 秀樹
<1149> 秀樹

//<1150> 男子生徒
<1150> 男子生徒

//<1151> ？？
<1151> ？？

//<1152> 「…お前、頭大丈夫か？」
<1152> 「…お前、頭大丈夫か？」

//<1153> 俺は無言のままステップを踏み続けた。
<1153> 俺は無言のままステップを踏み続けた。

//<1154> nothing
<1154> nothing

//<1155> nothing
<1155> nothing

//<1156> nothing
<1156> nothing

//<1157> nothing
<1157> nothing

//<1158> nothing
<1158> nothing

//<1159> 日向
<1159> 日向

//<1160> 男Ｂ
<1160> 男Ｂ

//<1161> エロエロ団総帥
<1161> エロエロ団総帥

//<1162> イケチン
<1162> イケチン

//<1163> ホモ太
<1163> ホモ太

//<1164> ひなチン
<1164> ひなチン

//<1165> 秀樹
<1165> 秀樹

//<1166> 男子生徒
<1166> 男子生徒

//<1167> ？？
<1167> ？？

//<1168> 「とりあえず、移動しようぜ」
<1168> 「とりあえず、移動しようぜ」

//<1169> 俺は頷き、ようやくステップをやめた。
<1169> 俺は頷き、ようやくステップをやめた。

//<1170> nothing
<1170> nothing

//<1171> nothing
<1171> nothing

//<1172> nothing
<1172> nothing

//<1173> nothing
<1173> nothing

//<1174> nothing
<1174> nothing

//<1175> 日向
<1175> 日向

//<1176> 男Ｂ
<1176> 男Ｂ

//<1177> エロエロ団総帥
<1177> エロエロ団総帥

//<1178> イケチン
<1178> イケチン

//<1179> ホモ太
<1179> ホモ太

//<1180> ひなチン
<1180> ひなチン

//<1181> 秀樹
<1181> 秀樹

//<1182> 男子生徒
<1182> 男子生徒

//<1183> ？？
<1183> ？？

//<1184> 「…お前、頭大丈夫か？」
<1184> 「…お前、頭大丈夫か？」

//<1185> 俺は無言のままステップを踏み続けた。
<1185> 俺は無言のままステップを踏み続けた。

//<1186> nothing
<1186> nothing

//<1187> nothing
<1187> nothing

//<1188> nothing
<1188> nothing

//<1189> nothing
<1189> nothing

//<1190> nothing
<1190> nothing

//<1191> 日向
<1191> 日向

//<1192> 男Ｂ
<1192> 男Ｂ

//<1193> エロエロ団総帥
<1193> エロエロ団総帥

//<1194> イケチン
<1194> イケチン

//<1195> ホモ太
<1195> ホモ太

//<1196> ひなチン
<1196> ひなチン

//<1197> 秀樹
<1197> 秀樹

//<1198> 男子生徒
<1198> 男子生徒

//<1199> ？？
<1199> ？？

//<1200> 「とりあえず、移動しようぜ」
<1200> 「とりあえず、移動しようぜ」

//<1201> 俺は頷き、ようやくステップをやめた。
<1201> 俺は頷き、ようやくステップをやめた。

//<1202> se_hold_human
<1202> se_hold_human

//<1203> 俺はそのまま肩を抱かれる。
<1203> 俺はそのまま肩を抱かれる。

//<1204> nothing
<1204> nothing

//<1205> nothing
<1205> nothing

//<1206> nothing
<1206> nothing

//<1207> nothing
<1207> nothing

//<1208> nothing
<1208> nothing

//<1209> 日向
<1209> 日向

//<1210> 男Ｂ
<1210> 男Ｂ

//<1211> エロエロ団総帥
<1211> エロエロ団総帥

//<1212> イケチン
<1212> イケチン

//<1213> ホモ太
<1213> ホモ太

//<1214> ひなチン
<1214> ひなチン

//<1215> 秀樹
<1215> 秀樹

//<1216> 男子生徒
<1216> 男子生徒

//<1217> ？？
<1217> ？？

//<1218> 「色々あったが、とりあえずはおつかれさん！」
<1218> 「色々あったが、とりあえずはおつかれさん！」

//<1219> 音無
<1219> 音無

//<1220> クソ坊主
<1220> クソ坊主

//<1221> 代理人
<1221> 代理人

//<1222> 微妙すぎるイケメン
<1222> 微妙すぎるイケメン

//<1223> ロリコン
<1223> ロリコン

//<1224> メガネ仲間
<1224> メガネ仲間

//<1225> 暗算日本記録保持者
<1225> 暗算日本記録保持者

//<1226> 通り魔
<1226> 通り魔

//<1227> 記憶ナシ男
<1227> 記憶ナシ男

//<1228> 音速
<1228> 音速

//<1229> 無限
<1229> 無限

//<1230> エロ侍
<1230> エロ侍

//<1231> エロエロ団ナンバー１
<1231> エロエロ団ナンバー１

//<1232> ただのエロ少年
<1232> ただのエロ少年

//<1233> ユリブサイク
<1233> ユリブサイク

//<1234> ドピュッシー
<1234> ドピュッシー

//<1235> アメリカンエロドッグ
<1235> アメリカンエロドッグ

//<1236> ゼウス
<1236> ゼウス

//<1237> 日向markⅡ
<1237> 日向markⅡ

//<1238> 糞虫
<1238> 糞虫

//<1239> 量産型日向
<1239> 量産型日向

//<1240> ？？
<1240> ？？

//<1241> 「俺なんて何もしてねーよ」
<1241> 「俺なんて何もしてねーよ」

//<1242> nothing
<1242> nothing

//<1243> nothing
<1243> nothing

//<1244> nothing
<1244> nothing

//<1245> nothing
<1245> nothing

//<1246> nothing
<1246> nothing

//<1247> 日向
<1247> 日向

//<1248> 男Ｂ
<1248> 男Ｂ

//<1249> エロエロ団総帥
<1249> エロエロ団総帥

//<1250> イケチン
<1250> イケチン

//<1251> ホモ太
<1251> ホモ太

//<1252> ひなチン
<1252> ひなチン

//<1253> 秀樹
<1253> 秀樹

//<1254> 男子生徒
<1254> 男子生徒

//<1255> ？？
<1255> ？？

//<1256> 「いやいや、天使のフォローをしてくれたじゃねーかよっ！」
<1256> 「いやいや、天使のフォローをしてくれたじゃねーかよっ！」

//<1257> 音無
<1257> 音無

//<1258> クソ坊主
<1258> クソ坊主

//<1259> 代理人
<1259> 代理人

//<1260> 微妙すぎるイケメン
<1260> 微妙すぎるイケメン

//<1261> ロリコン
<1261> ロリコン

//<1262> メガネ仲間
<1262> メガネ仲間

//<1263> 暗算日本記録保持者
<1263> 暗算日本記録保持者

//<1264> 通り魔
<1264> 通り魔

//<1265> 記憶ナシ男
<1265> 記憶ナシ男

//<1266> 音速
<1266> 音速

//<1267> 無限
<1267> 無限

//<1268> エロ侍
<1268> エロ侍

//<1269> エロエロ団ナンバー１
<1269> エロエロ団ナンバー１

//<1270> ただのエロ少年
<1270> ただのエロ少年

//<1271> ユリブサイク
<1271> ユリブサイク

//<1272> ドピュッシー
<1272> ドピュッシー

//<1273> アメリカンエロドッグ
<1273> アメリカンエロドッグ

//<1274> ゼウス
<1274> ゼウス

//<1275> 日向markⅡ
<1275> 日向markⅡ

//<1276> 糞虫
<1276> 糞虫

//<1277> 量産型日向
<1277> 量産型日向

//<1278> ？？
<1278> ？？

//<1279> 「それは、そうだけど…俺からはひなチンのほうが体を張って、頑張っていたように思う」
<1279> 「それは、そうだけど…俺からはひなチンのほうが体を張って、頑張っていたように思う」

//<1280> nothing
<1280> nothing

//<1281> nothing
<1281> nothing

//<1282> nothing
<1282> nothing

//<1283> nothing
<1283> nothing

//<1284> nothing
<1284> nothing

//<1285> 日向
<1285> 日向

//<1286> 男Ｂ
<1286> 男Ｂ

//<1287> エロエロ団総帥
<1287> エロエロ団総帥

//<1288> イケチン
<1288> イケチン

//<1289> ホモ太
<1289> ホモ太

//<1290> ひなチン
<1290> ひなチン

//<1291> 秀樹
<1291> 秀樹

//<1292> 男子生徒
<1292> 男子生徒

//<1293> ？？
<1293> ？？

//<1294> 「はーい、ケツだせー」
<1294> 「はーい、ケツだせー」

//<1295> 音無
<1295> 音無

//<1296> クソ坊主
<1296> クソ坊主

//<1297> 代理人
<1297> 代理人

//<1298> 微妙すぎるイケメン
<1298> 微妙すぎるイケメン

//<1299> ロリコン
<1299> ロリコン

//<1300> メガネ仲間
<1300> メガネ仲間

//<1301> 暗算日本記録保持者
<1301> 暗算日本記録保持者

//<1302> 通り魔
<1302> 通り魔

//<1303> 記憶ナシ男
<1303> 記憶ナシ男

//<1304> 音速
<1304> 音速

//<1305> 無限
<1305> 無限

//<1306> エロ侍
<1306> エロ侍

//<1307> エロエロ団ナンバー１
<1307> エロエロ団ナンバー１

//<1308> ただのエロ少年
<1308> ただのエロ少年

//<1309> ユリブサイク
<1309> ユリブサイク

//<1310> ドピュッシー
<1310> ドピュッシー

//<1311> アメリカンエロドッグ
<1311> アメリカンエロドッグ

//<1312> ゼウス
<1312> ゼウス

//<1313> 日向markⅡ
<1313> 日向markⅡ

//<1314> 糞虫
<1314> 糞虫

//<1315> 量産型日向
<1315> 量産型日向

//<1316> ？？
<1316> ？？

//<1317> 「ええっ！？　なぜっ！？」
<1317> 「ええっ！？　なぜっ！？」

//<1318> nothing
<1318> nothing

//<1319> nothing
<1319> nothing

//<1320> nothing
<1320> nothing

//<1321> nothing
<1321> nothing

//<1322> nothing
<1322> nothing

//<1323> 日向
<1323> 日向

//<1324> 男Ｂ
<1324> 男Ｂ

//<1325> エロエロ団総帥
<1325> エロエロ団総帥

//<1326> イケチン
<1326> イケチン

//<1327> ホモ太
<1327> ホモ太

//<1328> ひなチン
<1328> ひなチン

//<1329> 秀樹
<1329> 秀樹

//<1330> 男子生徒
<1330> 男子生徒

//<1331> ？？
<1331> ？？

//<1332> 「ひなチンと言ったからだ。そんなあだ名はイジメだ。だから言ったらケツキック」
<1332> 「ひなチンと言ったからだ。そんなあだ名はイジメだ。だから言ったらケツキック」

//<1333> 音無
<1333> 音無

//<1334> クソ坊主
<1334> クソ坊主

//<1335> 代理人
<1335> 代理人

//<1336> 微妙すぎるイケメン
<1336> 微妙すぎるイケメン

//<1337> ロリコン
<1337> ロリコン

//<1338> メガネ仲間
<1338> メガネ仲間

//<1339> 暗算日本記録保持者
<1339> 暗算日本記録保持者

//<1340> 通り魔
<1340> 通り魔

//<1341> 記憶ナシ男
<1341> 記憶ナシ男

//<1342> 音速
<1342> 音速

//<1343> 無限
<1343> 無限

//<1344> エロ侍
<1344> エロ侍

//<1345> エロエロ団ナンバー１
<1345> エロエロ団ナンバー１

//<1346> ただのエロ少年
<1346> ただのエロ少年

//<1347> ユリブサイク
<1347> ユリブサイク

//<1348> ドピュッシー
<1348> ドピュッシー

//<1349> アメリカンエロドッグ
<1349> アメリカンエロドッグ

//<1350> ゼウス
<1350> ゼウス

//<1351> 日向markⅡ
<1351> 日向markⅡ

//<1352> 糞虫
<1352> 糞虫

//<1353> 量産型日向
<1353> 量産型日向

//<1354> ？？
<1354> ？？

//<1355> 「くっそぅ…！！」
<1355> 「くっそぅ…！！」

//<1356> nothing
<1356> nothing

//<1357> nothing
<1357> nothing

//<1358> nothing
<1358> nothing

//<1359> nothing
<1359> nothing

//<1360> nothing
<1360> nothing

//<1361> 日向
<1361> 日向

//<1362> 男Ｂ
<1362> 男Ｂ

//<1363> エロエロ団総帥
<1363> エロエロ団総帥

//<1364> イケチン
<1364> イケチン

//<1365> ホモ太
<1365> ホモ太

//<1366> ひなチン
<1366> ひなチン

//<1367> 秀樹
<1367> 秀樹

//<1368> 男子生徒
<1368> 男子生徒

//<1369> ？？
<1369> ？？

//<1370> 「ちっ、また説明しなきゃならねーのかよっ！」
<1370> 「ちっ、また説明しなきゃならねーのかよっ！」

//<1371> 音無
<1371> 音無

//<1372> クソ坊主
<1372> クソ坊主

//<1373> 代理人
<1373> 代理人

//<1374> 微妙すぎるイケメン
<1374> 微妙すぎるイケメン

//<1375> ロリコン
<1375> ロリコン

//<1376> メガネ仲間
<1376> メガネ仲間

//<1377> 暗算日本記録保持者
<1377> 暗算日本記録保持者

//<1378> 通り魔
<1378> 通り魔

//<1379> 記憶ナシ男
<1379> 記憶ナシ男

//<1380> 音速
<1380> 音速

//<1381> 無限
<1381> 無限

//<1382> エロ侍
<1382> エロ侍

//<1383> エロエロ団ナンバー１
<1383> エロエロ団ナンバー１

//<1384> ただのエロ少年
<1384> ただのエロ少年

//<1385> ユリブサイク
<1385> ユリブサイク

//<1386> ドピュッシー
<1386> ドピュッシー

//<1387> アメリカンエロドッグ
<1387> アメリカンエロドッグ

//<1388> ゼウス
<1388> ゼウス

//<1389> 日向markⅡ
<1389> 日向markⅡ

//<1390> 糞虫
<1390> 糞虫

//<1391> 量産型日向
<1391> 量産型日向

//<1392> ？？
<1392> ？？

//<1393> 「すまん、頼む…！」
<1393> 「すまん、頼む…！」

//<1394> nothing
<1394> nothing

//<1395> nothing
<1395> nothing

//<1396> nothing
<1396> nothing

//<1397> nothing
<1397> nothing

//<1398> nothing
<1398> nothing

//<1399> 日向
<1399> 日向

//<1400> 男Ｂ
<1400> 男Ｂ

//<1401> エロエロ団総帥
<1401> エロエロ団総帥

//<1402> イケチン
<1402> イケチン

//<1403> ホモ太
<1403> ホモ太

//<1404> ひなチン
<1404> ひなチン

//<1405> 秀樹
<1405> 秀樹

//<1406> 男子生徒
<1406> 男子生徒

//<1407> ？？
<1407> ？？

//<1408> 「ひなチンと言ったからだ。そんなあだ名はイジメだ。だから言ったらケツキック」
<1408> 「ひなチンと言ったからだ。そんなあだ名はイジメだ。だから言ったらケツキック」

//<1409> 音無
<1409> 音無

//<1410> クソ坊主
<1410> クソ坊主

//<1411> 代理人
<1411> 代理人

//<1412> 微妙すぎるイケメン
<1412> 微妙すぎるイケメン

//<1413> ロリコン
<1413> ロリコン

//<1414> メガネ仲間
<1414> メガネ仲間

//<1415> 暗算日本記録保持者
<1415> 暗算日本記録保持者

//<1416> 通り魔
<1416> 通り魔

//<1417> 記憶ナシ男
<1417> 記憶ナシ男

//<1418> 音速
<1418> 音速

//<1419> 無限
<1419> 無限

//<1420> エロ侍
<1420> エロ侍

//<1421> エロエロ団ナンバー１
<1421> エロエロ団ナンバー１

//<1422> ただのエロ少年
<1422> ただのエロ少年

//<1423> ユリブサイク
<1423> ユリブサイク

//<1424> ドピュッシー
<1424> ドピュッシー

//<1425> アメリカンエロドッグ
<1425> アメリカンエロドッグ

//<1426> ゼウス
<1426> ゼウス

//<1427> 日向markⅡ
<1427> 日向markⅡ

//<1428> 糞虫
<1428> 糞虫

//<1429> 量産型日向
<1429> 量産型日向

//<1430> ？？
<1430> ？？

//<1431> 「なんとなく思い出した。じゃ、また頼む」
<1431> 「なんとなく思い出した。じゃ、また頼む」

//<1432> nothing
<1432> nothing

//<1433> nothing
<1433> nothing

//<1434> nothing
<1434> nothing

//<1435> nothing
<1435> nothing

//<1436> nothing
<1436> nothing

//<1437> nothing
<1437> nothing

//<1438> ぷりんとお尻を差し出す。
<1438> ぷりんとお尻を差し出す。

//<1439> 日向
<1439> 日向

//<1440> 男Ｂ
<1440> 男Ｂ

//<1441> エロエロ団総帥
<1441> エロエロ団総帥

//<1442> イケチン
<1442> イケチン

//<1443> ホモ太
<1443> ホモ太

//<1444> ひなチン
<1444> ひなチン

//<1445> 秀樹
<1445> 秀樹

//<1446> 男子生徒
<1446> 男子生徒

//<1447> ？？
<1447> ？？

//<1448> 「とうっ！」
<1448> 「とうっ！」

//<1449> se_hipkick
<1449> se_hipkick

//<1450> 思い切り蹴られる。
<1450> 思い切り蹴られる。

//<1451> 音無
<1451> 音無

//<1452> クソ坊主
<1452> クソ坊主

//<1453> 代理人
<1453> 代理人

//<1454> 微妙すぎるイケメン
<1454> 微妙すぎるイケメン

//<1455> ロリコン
<1455> ロリコン

//<1456> メガネ仲間
<1456> メガネ仲間

//<1457> 暗算日本記録保持者
<1457> 暗算日本記録保持者

//<1458> 通り魔
<1458> 通り魔

//<1459> 記憶ナシ男
<1459> 記憶ナシ男

//<1460> 音速
<1460> 音速

//<1461> 無限
<1461> 無限

//<1462> エロ侍
<1462> エロ侍

//<1463> エロエロ団ナンバー１
<1463> エロエロ団ナンバー１

//<1464> ただのエロ少年
<1464> ただのエロ少年

//<1465> ユリブサイク
<1465> ユリブサイク

//<1466> ドピュッシー
<1466> ドピュッシー

//<1467> アメリカンエロドッグ
<1467> アメリカンエロドッグ

//<1468> ゼウス
<1468> ゼウス

//<1469> 日向markⅡ
<1469> 日向markⅡ

