// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。

//<4755> 微妙すぎるイケメン
<4755> 微妙すぎるイケメン

//<4756> ロリコン
<4756> ロリコン

//<4757> メガネ仲間
<4757> メガネ仲間

//<4758> 暗算日本記録保持者
<4758> 暗算日本記録保持者

//<4759> 通り魔
<4759> 通り魔

//<4760> 記憶ナシ男
<4760> 記憶ナシ男

//<4761> 音速
<4761> 音速

//<4762> 無限
<4762> 無限

//<4763> エロ侍
<4763> エロ侍

//<4764> エロエロ団ナンバー１
<4764> エロエロ団ナンバー１

//<4765> ただのエロ少年
<4765> ただのエロ少年

//<4766> ユリブサイク
<4766> ユリブサイク

//<4767> ドピュッシー
<4767> ドピュッシー

//<4768> アメリカンエロドッグ
<4768> アメリカンエロドッグ

//<4769> ゼウス
<4769> ゼウス

//<4770> 日向markⅡ
<4770> 日向markⅡ

//<4771> 糞虫
<4771> 糞虫

//<4772> 量産型日向
<4772> 量産型日向

//<4773> ？？
<4773> ？？

//<4774> 「あの人は、もう取られてるだろ」
<4774> 「あの人は、もう取られてるだろ」

//<4775> 音無
<4775> 音無

//<4776> クソ坊主
<4776> クソ坊主

//<4777> 代理人
<4777> 代理人

//<4778> 微妙すぎるイケメン
<4778> 微妙すぎるイケメン

//<4779> ロリコン
<4779> ロリコン

//<4780> メガネ仲間
<4780> メガネ仲間

//<4781> 暗算日本記録保持者
<4781> 暗算日本記録保持者

//<4782> 通り魔
<4782> 通り魔

//<4783> 記憶ナシ男
<4783> 記憶ナシ男

//<4784> 音速
<4784> 音速

//<4785> 無限
<4785> 無限

//<4786> エロ侍
<4786> エロ侍

//<4787> エロエロ団ナンバー１
<4787> エロエロ団ナンバー１

//<4788> ただのエロ少年
<4788> ただのエロ少年

//<4789> ユリブサイク
<4789> ユリブサイク

//<4790> ドピュッシー
<4790> ドピュッシー

//<4791> アメリカンエロドッグ
<4791> アメリカンエロドッグ

//<4792> ゼウス
<4792> ゼウス

//<4793> 日向markⅡ
<4793> 日向markⅡ

//<4794> 糞虫
<4794> 糞虫

//<4795> 量産型日向
<4795> 量産型日向

//<4796> ？？
<4796> ？？

//<4797> 「時間勝負になってきたな」
<4797> 「時間勝負になってきたな」

//<4798> nothing
<4798> nothing

//<4799> nothing
<4799> nothing

//<4800> nothing
<4800> nothing

//<4801> nothing
<4801> nothing

//<4802> nothing
<4802> nothing

//<4803> 日向
<4803> 日向

//<4804> 男Ｂ
<4804> 男Ｂ

//<4805> エロエロ団総帥
<4805> エロエロ団総帥

//<4806> イケチン
<4806> イケチン

//<4807> ホモ太
<4807> ホモ太

//<4808> ひなチン
<4808> ひなチン

//<4809> 秀樹
<4809> 秀樹

//<4810> 男子生徒
<4810> 男子生徒

//<4811> ？？
<4811> ？？
{7c928} 33 // 4811

//<4812> 「あいつは待っててくれるよ。なんつーか…マブダチなんだ。照れるな、はは」
<4812> 「あいつは待っててくれるよ。なんつーか…マブダチなんだ。照れるな、はは」

//<4813> nothing
<4813> nothing

//<4814> nothing
<4814> nothing

//<4815> nothing
<4815> nothing

//<4816> nothing
<4816> nothing

//<4817> nothing
<4817> nothing

//<4818> 音無
<4818> 音無

//<4819> クソ坊主
<4819> クソ坊主

//<4820> 代理人
<4820> 代理人

//<4821> 微妙すぎるイケメン
<4821> 微妙すぎるイケメン

//<4822> ロリコン
<4822> ロリコン

//<4823> メガネ仲間
<4823> メガネ仲間

//<4824> 暗算日本記録保持者
<4824> 暗算日本記録保持者

//<4825> 通り魔
<4825> 通り魔

//<4826> 記憶ナシ男
<4826> 記憶ナシ男

//<4827> 音速
<4827> 音速

//<4828> 無限
<4828> 無限

//<4829> エロ侍
<4829> エロ侍

//<4830> エロエロ団ナンバー１
<4830> エロエロ団ナンバー１

//<4831> ただのエロ少年
<4831> ただのエロ少年

//<4832> ユリブサイク
<4832> ユリブサイク

//<4833> ドピュッシー
<4833> ドピュッシー

//<4834> アメリカンエロドッグ
<4834> アメリカンエロドッグ

//<4835> ゼウス
<4835> ゼウス

//<4836> 日向markⅡ
<4836> 日向markⅡ

//<4837> 糞虫
<4837> 糞虫

//<4838> 量産型日向
<4838> 量産型日向

//<4839> ？？
<4839> ？？

//<4840> 「マブダチか…。俺とお前はまだ出会ってから日が浅いし…そうだよな…」
<4840> 「マブダチか…。俺とお前はまだ出会ってから日が浅いし…そうだよな…」

//<4841> nothing
<4841> nothing

//<4842> nothing
<4842> nothing

//<4843> nothing
<4843> nothing

//<4844> nothing
<4844> nothing

//<4845> nothing
<4845> nothing

//<4846> 日向
<4846> 日向

//<4847> 男Ｂ
<4847> 男Ｂ

//<4848> エロエロ団総帥
<4848> エロエロ団総帥

//<4849> イケチン
<4849> イケチン

//<4850> ホモ太
<4850> ホモ太

//<4851> ひなチン
<4851> ひなチン

//<4852> 秀樹
<4852> 秀樹

//<4853> 男子生徒
<4853> 男子生徒

//<4854> ？？
<4854> ？？

//<4855> 「今度はいきなりテンション低くなるし、お前の中で何が起きてんだよ…」
<4855> 「今度はいきなりテンション低くなるし、お前の中で何が起きてんだよ…」

//<4856> 音無
<4856> 音無

//<4857> クソ坊主
<4857> クソ坊主

//<4858> 代理人
<4858> 代理人

//<4859> 微妙すぎるイケメン
<4859> 微妙すぎるイケメン

//<4860> ロリコン
<4860> ロリコン

//<4861> メガネ仲間
<4861> メガネ仲間

//<4862> 暗算日本記録保持者
<4862> 暗算日本記録保持者

//<4863> 通り魔
<4863> 通り魔

//<4864> 記憶ナシ男
<4864> 記憶ナシ男

//<4865> 音速
<4865> 音速

//<4866> 無限
<4866> 無限

//<4867> エロ侍
<4867> エロ侍

//<4868> エロエロ団ナンバー１
<4868> エロエロ団ナンバー１

//<4869> ただのエロ少年
<4869> ただのエロ少年

//<4870> ユリブサイク
<4870> ユリブサイク

//<4871> ドピュッシー
<4871> ドピュッシー

//<4872> アメリカンエロドッグ
<4872> アメリカンエロドッグ

//<4873> ゼウス
<4873> ゼウス

//<4874> 日向markⅡ
<4874> 日向markⅡ

//<4875> 糞虫
<4875> 糞虫

//<4876> 量産型日向
<4876> 量産型日向

//<4877> ？？
<4877> ？？

//<4878> 「いや、気にしないでくれ…」
<4878> 「いや、気にしないでくれ…」

//<4879> 音無
<4879> 音無

//<4880> クソ坊主
<4880> クソ坊主

//<4881> 代理人
<4881> 代理人

//<4882> 微妙すぎるイケメン
<4882> 微妙すぎるイケメン

//<4883> ロリコン
<4883> ロリコン

//<4884> メガネ仲間
<4884> メガネ仲間

//<4885> 暗算日本記録保持者
<4885> 暗算日本記録保持者

//<4886> 通り魔
<4886> 通り魔

//<4887> 記憶ナシ男
<4887> 記憶ナシ男

//<4888> 音速
<4888> 音速

//<4889> 無限
<4889> 無限

//<4890> エロ侍
<4890> エロ侍

//<4891> エロエロ団ナンバー１
<4891> エロエロ団ナンバー１

//<4892> ただのエロ少年
<4892> ただのエロ少年

//<4893> ユリブサイク
<4893> ユリブサイク

//<4894> ドピュッシー
<4894> ドピュッシー

//<4895> アメリカンエロドッグ
<4895> アメリカンエロドッグ

//<4896> ゼウス
<4896> ゼウス

//<4897> 日向markⅡ
<4897> 日向markⅡ

//<4898> 糞虫
<4898> 糞虫

//<4899> 量産型日向
<4899> 量産型日向

//<4900> ？？
<4900> ？？

//<4901> 「そうなのか。それじゃ、行ってみるか」
<4901> 「そうなのか。それじゃ、行ってみるか」

//<4902> バンド練習中だった、ひさ子を廊下まで呼び出した。
<4902> バンド練習中だった、ひさ子を廊下まで呼び出した。

//<4903> nothing
<4903> nothing

//<4904> nothing
<4904> nothing

//<4905> nothing
<4905> nothing

//<4906> nothing
<4906> nothing

//<4907> nothing
<4907> nothing

//<4908> ひさ子
<4908> ひさ子

//<4909> 「今度はあんたか」
<4909> 「今度はあんたか」

//<4910> 日向
<4910> 日向

//<4911> 男Ｂ
<4911> 男Ｂ

//<4912> エロエロ団総帥
<4912> エロエロ団総帥

//<4913> イケチン
<4913> イケチン

//<4914> ホモ太
<4914> ホモ太

//<4915> ひなチン
<4915> ひなチン

//<4916> 秀樹
<4916> 秀樹

//<4917> 男子生徒
<4917> 男子生徒

//<4918> ？？
<4918> ？？

//<4919> 「今度はって？」
<4919> 「今度はって？」

//<4920> nothing
<4920> nothing

//<4921> nothing
<4921> nothing

//<4922> nothing
<4922> nothing

//<4923> nothing
<4923> nothing

//<4924> nothing
<4924> nothing

//<4925> ひさ子
<4925> ひさ子

//<4926> 「さっき高松が来て、チームに入ってくれって」
<4926> 「さっき高松が来て、チームに入ってくれって」

//<4927> 日向
<4927> 日向

//<4928> 男Ｂ
<4928> 男Ｂ

//<4929> エロエロ団総帥
<4929> エロエロ団総帥

//<4930> イケチン
<4930> イケチン

//<4931> ホモ太
<4931> ホモ太

//<4932> ひなチン
<4932> ひなチン

//<4933> 秀樹
<4933> 秀樹

//<4934> 男子生徒
<4934> 男子生徒

//<4935> ？？
<4935> ？？

//<4936> 「それで！？　もちろん断ってくれたよな！？」
<4936> 「それで！？　もちろん断ってくれたよな！？」

//<4937> nothing
<4937> nothing

//<4938> nothing
<4938> nothing

//<4939> nothing
<4939> nothing

//<4940> nothing
<4940> nothing

//<4941> nothing
<4941> nothing

//<4942> ひさ子
<4942> ひさ子

//<4943> 「ああ。あたしはガルデモチーム要員だからな」
<4943> 「ああ。あたしはガルデモチーム要員だからな」

//<4944> nothing
<4944> nothing

//<4945> nothing
<4945> nothing

//<4946> nothing
<4946> nothing

//<4947> nothing
<4947> nothing

//<4948> 日向
<4948> 日向

//<4949> 男Ｂ
<4949> 男Ｂ

//<4950> エロエロ団総帥
<4950> エロエロ団総帥

//<4951> イケチン
<4951> イケチン

//<4952> ホモ太
<4952> ホモ太

//<4953> ひなチン
<4953> ひなチン

//<4954> 秀樹
<4954> 秀樹

//<4955> 男子生徒
<4955> 男子生徒

//<4956> ？？
<4956> ？？

//<4957> 「あのさ、そこをさ、たまには気分転換で、俺のチームに入っちゃわない？」
<4957> 「あのさ、そこをさ、たまには気分転換で、俺のチームに入っちゃわない？」

//<4958> 音無
<4958> 音無

//<4959> クソ坊主
<4959> クソ坊主

//<4960> 代理人
<4960> 代理人

//<4961> 微妙すぎるイケメン
<4961> 微妙すぎるイケメン

//<4962> ロリコン
<4962> ロリコン

//<4963> メガネ仲間
<4963> メガネ仲間

//<4964> 暗算日本記録保持者
<4964> 暗算日本記録保持者

//<4965> 通り魔
<4965> 通り魔

//<4966> 記憶ナシ男
<4966> 記憶ナシ男

//<4967> 音速
<4967> 音速

//<4968> 無限
<4968> 無限

//<4969> エロ侍
<4969> エロ侍

//<4970> エロエロ団ナンバー１
<4970> エロエロ団ナンバー１

//<4971> ただのエロ少年
<4971> ただのエロ少年

//<4972> ユリブサイク
<4972> ユリブサイク

//<4973> ドピュッシー
<4973> ドピュッシー

//<4974> アメリカンエロドッグ
<4974> アメリカンエロドッグ

//<4975> ゼウス
<4975> ゼウス

//<4976> 日向markⅡ
<4976> 日向markⅡ

//<4977> 糞虫
<4977> 糞虫

//<4978> 量産型日向
<4978> 量産型日向

//<4979> ？？
<4979> ？？

//<4980> （頑張れ、日向！）
<4980> （頑張れ、日向！）

//<4981> nothing
<4981> nothing

//<4982> nothing
<4982> nothing

//<4983> nothing
<4983> nothing

//<4984> nothing
<4984> nothing

//<4985> nothing
<4985> nothing

//<4986> ひさ子
<4986> ひさ子

//<4987> 「入っちゃわねーよ」
<4987> 「入っちゃわねーよ」

//<4988> nothing
<4988> nothing

//<4989> nothing
<4989> nothing

//<4990> nothing
<4990> nothing

//<4991> nothing
<4991> nothing

//<4992> nothing
<4992> nothing

//<4993> 日向
<4993> 日向

//<4994> 男Ｂ
<4994> 男Ｂ

//<4995> エロエロ団総帥
<4995> エロエロ団総帥

//<4996> イケチン
<4996> イケチン

//<4997> ホモ太
<4997> ホモ太

//<4998> ひなチン
<4998> ひなチン

//<4999> 秀樹
<4999> 秀樹

//<5000> 男子生徒
<5000> 男子生徒

//<5001> ？？
<5001> ？？

//<5002> 「え！？　なんで！？　いつもガルデモチームは初戦敗退じゃん！？」
<5002> 「え！？　なんで！？　いつもガルデモチームは初戦敗退じゃん！？」

//<5003> 音無
<5003> 音無

//<5004> クソ坊主
<5004> クソ坊主

//<5005> 代理人
<5005> 代理人

//<5006> 微妙すぎるイケメン
<5006> 微妙すぎるイケメン

//<5007> ロリコン
<5007> ロリコン

//<5008> メガネ仲間
<5008> メガネ仲間

//<5009> 暗算日本記録保持者
<5009> 暗算日本記録保持者

//<5010> 通り魔
<5010> 通り魔

//<5011> 記憶ナシ男
<5011> 記憶ナシ男

//<5012> 音速
<5012> 音速

//<5013> 無限
<5013> 無限

//<5014> エロ侍
<5014> エロ侍

//<5015> エロエロ団ナンバー１
<5015> エロエロ団ナンバー１

//<5016> ただのエロ少年
<5016> ただのエロ少年

//<5017> ユリブサイク
<5017> ユリブサイク

//<5018> ドピュッシー
<5018> ドピュッシー

//<5019> アメリカンエロドッグ
<5019> アメリカンエロドッグ

//<5020> ゼウス
<5020> ゼウス

//<5021> 日向markⅡ
<5021> 日向markⅡ

//<5022> 糞虫
<5022> 糞虫

//<5023> 量産型日向
<5023> 量産型日向

//<5024> ？？
<5024> ？？

//<5025> 「よく知らないが、日向の言う通りだぜっ！」
<5025> 「よく知らないが、日向の言う通りだぜっ！」

//<5026> nothing
<5026> nothing

//<5027> nothing
<5027> nothing

//<5028> nothing
<5028> nothing

//<5029> nothing
<5029> nothing

//<5030> nothing
<5030> nothing

//<5031> ひさ子
<5031> ひさ子

//<5032> 「でも、あんたたち実働部隊と違って、あたしらには罰ゲームはないからなー」
<5032> 「でも、あんたたち実働部隊と違って、あたしらには罰ゲームはないからなー」

//<5033> 音無
<5033> 音無

//<5034> クソ坊主
<5034> クソ坊主

//<5035> 代理人
<5035> 代理人

//<5036> 微妙すぎるイケメン
<5036> 微妙すぎるイケメン

//<5037> ロリコン
<5037> ロリコン

//<5038> メガネ仲間
<5038> メガネ仲間

//<5039> 暗算日本記録保持者
<5039> 暗算日本記録保持者

//<5040> 通り魔
<5040> 通り魔

//<5041> 記憶ナシ男
<5041> 記憶ナシ男

//<5042> 音速
<5042> 音速

//<5043> 無限
<5043> 無限

//<5044> エロ侍
<5044> エロ侍

//<5045> エロエロ団ナンバー１
<5045> エロエロ団ナンバー１

//<5046> ただのエロ少年
<5046> ただのエロ少年

//<5047> ユリブサイク
<5047> ユリブサイク

//<5048> ドピュッシー
<5048> ドピュッシー

//<5049> アメリカンエロドッグ
<5049> アメリカンエロドッグ

//<5050> ゼウス
<5050> ゼウス

//<5051> 日向markⅡ
<5051> 日向markⅡ

//<5052> 糞虫
<5052> 糞虫

//<5053> 量産型日向
<5053> 量産型日向

//<5054> ？？
<5054> ？？

//<5055> 「え？　そうなのか…」
<5055> 「え？　そうなのか…」

//<5056> nothing
<5056> nothing

//<5057> nothing
<5057> nothing

//<5058> nothing
<5058> nothing

//<5059> nothing
<5059> nothing

//<5060> nothing
<5060> nothing

//<5061> 日向に訊くと、ああ、と頷かれる。
<5061> 日向に訊くと、ああ、と頷かれる。

//<5062> 音無
<5062> 音無

//<5063> クソ坊主
<5063> クソ坊主

//<5064> 代理人
<5064> 代理人

//<5065> 微妙すぎるイケメン
<5065> 微妙すぎるイケメン

//<5066> ロリコン
<5066> ロリコン

//<5067> メガネ仲間
<5067> メガネ仲間

//<5068> 暗算日本記録保持者
<5068> 暗算日本記録保持者

//<5069> 通り魔
<5069> 通り魔

//<5070> 記憶ナシ男
<5070> 記憶ナシ男

//<5071> 音速
<5071> 音速

//<5072> 無限
<5072> 無限

//<5073> エロ侍
<5073> エロ侍

//<5074> エロエロ団ナンバー１
<5074> エロエロ団ナンバー１

//<5075> ただのエロ少年
<5075> ただのエロ少年

//<5076> ユリブサイク
<5076> ユリブサイク

//<5077> ドピュッシー
<5077> ドピュッシー

//<5078> アメリカンエロドッグ
<5078> アメリカンエロドッグ

//<5079> ゼウス
<5079> ゼウス

//<5080> 日向markⅡ
<5080> 日向markⅡ

//<5081> 糞虫
<5081> 糞虫

//<5082> 量産型日向
<5082> 量産型日向

//<5083> ？？
<5083> ？？

//<5084> （くっそ！　こんなことでめげない！　ここから俺は攻める！！）
<5084> （くっそ！　こんなことでめげない！　ここから俺は攻める！！）

//<5085> 必殺『営業マン頼み』を繰り出す
<5085> 必殺『営業マン頼み』を繰り出す

//<5086> 自重しておく
<5086> 自重しておく

//<5087> selbtn : 
<5087> selbtn : 

//<5088> nothing
<5088> nothing

//<5089> nothing
<5089> nothing

//<5090> nothing
<5090> nothing

//<5091> nothing
<5091> nothing

//<5092> nothing
<5092> nothing

//<5093> nothing
<5093> nothing

//<5094> また俺の必殺技を繰り出す時が来たようだ…。
<5094> また俺の必殺技を繰り出す時が来たようだ…。

//<5095> nothing
<5095> nothing

//<5096> nothing
<5096> nothing

//<5097> nothing
<5097> nothing

//<5098> nothing
<5098> nothing

//<5099> nothing
<5099> nothing

//<5100> すっとひさ子の正面に歩み出て…。
<5100> すっとひさ子の正面に歩み出て…。

//<5101> 音無
<5101> 音無

//<5102> クソ坊主
<5102> クソ坊主

//<5103> 代理人
<5103> 代理人

//<5104> 微妙すぎるイケメン
<5104> 微妙すぎるイケメン

//<5105> ロリコン
<5105> ロリコン

//<5106> メガネ仲間
<5106> メガネ仲間

//<5107> 暗算日本記録保持者
<5107> 暗算日本記録保持者

//<5108> 通り魔
<5108> 通り魔

//<5109> 記憶ナシ男
<5109> 記憶ナシ男

//<5110> 音速
<5110> 音速

//<5111> 無限
<5111> 無限

//<5112> エロ侍
<5112> エロ侍

//<5113> エロエロ団ナンバー１
<5113> エロエロ団ナンバー１

//<5114> ただのエロ少年
<5114> ただのエロ少年

//<5115> ユリブサイク
<5115> ユリブサイク

//<5116> ドピュッシー
<5116> ドピュッシー

//<5117> アメリカンエロドッグ
<5117> アメリカンエロドッグ

//<5118> ゼウス
<5118> ゼウス

//<5119> 日向markⅡ
<5119> 日向markⅡ

//<5120> 糞虫
<5120> 糞虫

//<5121> 量産型日向
<5121> 量産型日向

//<5122> ？？
<5122> ？？

//<5123> 「そこをなんとか！」
<5123> 「そこをなんとか！」

//<5124> 頭を深々と下げた。
<5124> 頭を深々と下げた。

//<5125> nothing
<5125> nothing

//<5126> nothing
<5126> nothing

//<5127> nothing
<5127> nothing

//<5128> nothing
<5128> nothing

//<5129> nothing
<5129> nothing

//<5130> ひさ子
<5130> ひさ子

//<5131> 「なんだよその、契約ノルマを必死で達成しようとしてる営業マンのような粘り方はよっ」
<5131> 「なんだよその、契約ノルマを必死で達成しようとしてる営業マンのような粘り方はよっ」

//<5132> 音無
<5132> 音無

//<5133> クソ坊主
<5133> クソ坊主

//<5134> 代理人
<5134> 代理人

//<5135> 微妙すぎるイケメン
<5135> 微妙すぎるイケメン

//<5136> ロリコン
<5136> ロリコン

//<5137> メガネ仲間
<5137> メガネ仲間

//<5138> 暗算日本記録保持者
<5138> 暗算日本記録保持者

//<5139> 通り魔
<5139> 通り魔

//<5140> 記憶ナシ男
<5140> 記憶ナシ男

//<5141> 音速
<5141> 音速

//<5142> 無限
<5142> 無限

//<5143> エロ侍
<5143> エロ侍

//<5144> エロエロ団ナンバー１
<5144> エロエロ団ナンバー１

//<5145> ただのエロ少年
<5145> ただのエロ少年

//<5146> ユリブサイク
<5146> ユリブサイク

//<5147> ドピュッシー
<5147> ドピュッシー

//<5148> アメリカンエロドッグ
<5148> アメリカンエロドッグ

//<5149> ゼウス
<5149> ゼウス

//<5150> 日向markⅡ
<5150> 日向markⅡ

//<5151> 糞虫
<5151> 糞虫

//<5152> 量産型日向
<5152> 量産型日向

//<5153> ？？
<5153> ？？

//<5154> 「頼みます！」
<5154> 「頼みます！」

//<5155> nothing
<5155> nothing

//<5156> nothing
<5156> nothing

//<5157> nothing
<5157> nothing

//<5158> nothing
<5158> nothing

//<5159> nothing
<5159> nothing

//<5160> ひさ子
<5160> ひさ子

//<5161> 「あんたらのチームに加えられると、その罰ゲームが発生しちまう。そんなのごめんだぜ」
<5161> 「あんたらのチームに加えられると、その罰ゲームが発生しちまう。そんなのごめんだぜ」

//<5162> nothing
<5162> nothing

//<5163> nothing
<5163> nothing

//<5164> nothing
<5164> nothing

//<5165> nothing
<5165> nothing

//<5166> 日向
<5166> 日向

//<5167> 男Ｂ
<5167> 男Ｂ

//<5168> エロエロ団総帥
<5168> エロエロ団総帥

//<5169> イケチン
<5169> イケチン

//<5170> ホモ太
<5170> ホモ太

//<5171> ひなチン
<5171> ひなチン

//<5172> 秀樹
<5172> 秀樹

//<5173> 男子生徒
<5173> 男子生徒

//<5174> ？？
<5174> ？？

//<5175> 「だからお前が入ってくれれば、勝つって！」
<5175> 「だからお前が入ってくれれば、勝つって！」

//<5176> nothing
<5176> nothing

//<5177> nothing
<5177> nothing

//<5178> nothing
<5178> nothing

//<5179> nothing
<5179> nothing

//<5180> nothing
<5180> nothing

//<5181> ひさ子
<5181> ひさ子

//<5182> 「へぇ。他にどんなすごい奴が居るってんだい？」
<5182> 「へぇ。他にどんなすごい奴が居るってんだい？」

//<5183> nothing
<5183> nothing

//<5184> nothing
<5184> nothing

//<5185> nothing
<5185> nothing

//<5186> nothing
<5186> nothing

//<5187> nothing
<5187> nothing

//<5188> 日向
<5188> 日向

//<5189> 男Ｂ
<5189> 男Ｂ

//<5190> エロエロ団総帥
<5190> エロエロ団総帥

//<5191> イケチン
<5191> イケチン

//<5192> ホモ太
<5192> ホモ太

//<5193> ひなチン
<5193> ひなチン

//<5194> 秀樹
<5194> 秀樹

//<5195> 男子生徒
<5195> 男子生徒

//<5196> ？？
<5196> ？？

//<5197> 「そりゃ、まだこれから探すところだけどさ…」
<5197> 「そりゃ、まだこれから探すところだけどさ…」

//<5198> nothing
<5198> nothing

//<5199> nothing
<5199> nothing

//<5200> nothing
<5200> nothing

//<5201> nothing
<5201> nothing

//<5202> nothing
<5202> nothing

//<5203> ひさ子
<5203> ひさ子

//<5204> 「不確定要素が多すぎるな。わりぃが諦めてくれ」
<5204> 「不確定要素が多すぎるな。わりぃが諦めてくれ」

//<5205> nothing
<5205> nothing

//<5206> nothing
<5206> nothing

//<5207> nothing
<5207> nothing

//<5208> nothing
<5208> nothing

//<5209> nothing
<5209> nothing

//<5210> そう言って、ひさ子は部室に戻っていった。
<5210> そう言って、ひさ子は部室に戻っていった。

//<5211> nothing
<5211> nothing

//<5212> nothing
<5212> nothing

//<5213> nothing
<5213> nothing

//<5214> nothing
<5214> nothing

//<5215> nothing
<5215> nothing

//<5216> ひさ子
<5216> ひさ子

//<5217> 「またかよ…」
<5217> 「またかよ…」

//<5218> 日向
<5218> 日向

//<5219> 男Ｂ
<5219> 男Ｂ

//<5220> エロエロ団総帥
<5220> エロエロ団総帥

//<5221> イケチン
<5221> イケチン

//<5222> ホモ太
<5222> ホモ太

//<5223> ひなチン
<5223> ひなチン

//<5224> 秀樹
<5224> 秀樹

//<5225> 男子生徒
<5225> 男子生徒

//<5226> ？？
<5226> ？？

//<5227> 「え…？」
<5227> 「え…？」

//<5228> nothing
<5228> nothing

//<5229> nothing
<5229> nothing

//<5230> nothing
<5230> nothing

//<5231> nothing
<5231> nothing

//<5232> nothing
<5232> nothing

//<5233> ひさ子
<5233> ひさ子

//<5234> 「とっとと居なくなれぇーーー！！」
<5234> 「とっとと居なくなれぇーーー！！」

//<5235> 廊下に怒声が響き渡る。
<5235> 廊下に怒声が響き渡る。

//<5236> 日向
<5236> 日向

//<5237> 男Ｂ
<5237> 男Ｂ

//<5238> エロエロ団総帥
<5238> エロエロ団総帥

//<5239> イケチン
<5239> イケチン

//<5240> ホモ太
<5240> ホモ太

//<5241> ひなチン
<5241> ひなチン

//<5242> 秀樹
<5242> 秀樹

//<5243> 男子生徒
<5243> 男子生徒

//<5244> ？？
<5244> ？？

//<5245> 「は？　音無が頭下げてるのに、どーして！？」
<5245> 「は？　音無が頭下げてるのに、どーして！？」

//<5246> nothing
<5246> nothing

//<5247> nothing
<5247> nothing

//<5248> nothing
<5248> nothing

//<5249> nothing
<5249> nothing

//<5250> nothing
<5250> nothing

//<5251> ひさ子
<5251> ひさ子

//<5252> 「だからだよっ！」
<5252> 「だからだよっ！」

//<5253> nothing
<5253> nothing

//<5254> nothing
<5254> nothing

//<5255> nothing
<5255> nothing

//<5256> nothing
<5256> nothing

//<5257> nothing
<5257> nothing

//<5258> nothing
<5258> nothing

//<5259> 音無
<5259> 音無

//<5260> クソ坊主
<5260> クソ坊主

//<5261> 代理人
<5261> 代理人

//<5262> 微妙すぎるイケメン
<5262> 微妙すぎるイケメン

//<5263> ロリコン
<5263> ロリコン

//<5264> メガネ仲間
<5264> メガネ仲間

//<5265> 暗算日本記録保持者
<5265> 暗算日本記録保持者

//<5266> 通り魔
<5266> 通り魔

//<5267> 記憶ナシ男
<5267> 記憶ナシ男

//<5268> 音速
<5268> 音速

//<5269> 無限
<5269> 無限

//<5270> エロ侍
<5270> エロ侍

//<5271> エロエロ団ナンバー１
<5271> エロエロ団ナンバー１

//<5272> ただのエロ少年
<5272> ただのエロ少年

//<5273> ユリブサイク
<5273> ユリブサイク

//<5274> ドピュッシー
<5274> ドピュッシー

//<5275> アメリカンエロドッグ
<5275> アメリカンエロドッグ

//<5276> ゼウス
<5276> ゼウス

//<5277> 日向markⅡ
<5277> 日向markⅡ

//<5278> 糞虫
<5278> 糞虫

//<5279> 量産型日向
<5279> 量産型日向

//<5280> ？？
<5280> ？？

//<5281> 「すまん、その通り、俺のせいだ。とっとと居なくなろう…！」
<5281> 「すまん、その通り、俺のせいだ。とっとと居なくなろう…！」

//<5282> 日向の手を引いて、その場から立ち去る。
<5282> 日向の手を引いて、その場から立ち去る。

//<5283> nothing
<5283> nothing

//<5284> nothing
<5284> nothing

//<5285> nothing
<5285> nothing

//<5286> nothing
<5286> nothing

//<5287> nothing
<5287> nothing

//<5288> 日向
<5288> 日向

//<5289> 男Ｂ
<5289> 男Ｂ

//<5290> エロエロ団総帥
<5290> エロエロ団総帥

//<5291> イケチン
<5291> イケチン

//<5292> ホモ太
<5292> ホモ太

//<5293> ひなチン
<5293> ひなチン

//<5294> 秀樹
<5294> 秀樹

//<5295> 男子生徒
<5295> 男子生徒

//<5296> ？？
<5296> ？？

//<5297> 「どういうことだ！？」
<5297> 「どういうことだ！？」

//<5298> 音無
<5298> 音無

//<5299> クソ坊主
<5299> クソ坊主

//<5300> 代理人
<5300> 代理人

//<5301> 微妙すぎるイケメン
