// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
<0889> 通り魔

//<0890> 記憶ナシ男
<0890> 記憶ナシ男

//<0891> 音速
<0891> 音速

//<0892> 無限
<0892> 無限

//<0893> エロ侍
<0893> エロ侍

//<0894> エロエロ団ナンバー１
<0894> エロエロ団ナンバー１

//<0895> ただのエロ少年
<0895> ただのエロ少年

//<0896> ユリブサイク
<0896> ユリブサイク

//<0897> ドピュッシー
<0897> ドピュッシー

//<0898> アメリカンエロドッグ
<0898> アメリカンエロドッグ

//<0899> ゼウス
<0899> ゼウス

//<0900> 日向markⅡ
<0900> 日向markⅡ

//<0901> 糞虫
<0901> 糞虫

//<0902> 量産型日向
<0902> 量産型日向

//<0903> ？？
<0903> ？？

//<0904> 「なるほど…ようやく謎が解けたよ」
<0904> 「なるほど…ようやく謎が解けたよ」

//<0905> nothing
<0905> nothing

//<0906> nothing
<0906> nothing

//<0907> nothing
<0907> nothing

//<0908> nothing
<0908> nothing

//<0909> nothing
<0909> nothing

//<0910> 岩沢
<0910> 岩沢

//<0911> 「まあ、そんなところはどうでもいい」
<0911> 「まあ、そんなところはどうでもいい」

//<0912> nothing
<0912> nothing

//<0913> nothing
<0913> nothing

//<0914> nothing
<0914> nothing

//<0915> nothing
<0915> nothing

//<0916> nothing
<0916> nothing

//<0917> 岩沢
<0917> 岩沢

//<0918> 「全体を通すと、タイトル通り、カラスの唄なんだよ」
<0918> 「全体を通すと、タイトル通り、カラスの唄なんだよ」

//<0919> 音無
<0919> 音無

//<0920> クソ坊主
<0920> クソ坊主

//<0921> 代理人
<0921> 代理人

//<0922> 微妙すぎるイケメン
<0922> 微妙すぎるイケメン

//<0923> ロリコン
<0923> ロリコン

//<0924> メガネ仲間
<0924> メガネ仲間

//<0925> 暗算日本記録保持者
<0925> 暗算日本記録保持者

//<0926> 通り魔
<0926> 通り魔

//<0927> 記憶ナシ男
<0927> 記憶ナシ男

//<0928> 音速
<0928> 音速

//<0929> 無限
<0929> 無限

//<0930> エロ侍
<0930> エロ侍

//<0931> エロエロ団ナンバー１
<0931> エロエロ団ナンバー１

//<0932> ただのエロ少年
<0932> ただのエロ少年

//<0933> ユリブサイク
<0933> ユリブサイク

//<0934> ドピュッシー
<0934> ドピュッシー

//<0935> アメリカンエロドッグ
<0935> アメリカンエロドッグ

//<0936> ゼウス
<0936> ゼウス

//<0937> 日向markⅡ
<0937> 日向markⅡ

//<0938> 糞虫
<0938> 糞虫

//<0939> 量産型日向
<0939> 量産型日向

//<0940> ？？
<0940> ？？

//<0941> 「いや…」
<0941> 「いや…」

//<0942> nothing
<0942> nothing

//<0943> nothing
<0943> nothing

//<0944> nothing
<0944> nothing

//<0945> nothing
<0945> nothing

//<0946> nothing
<0946> nothing

//<0947> 岩沢
<0947> 岩沢

//<0948> 「タイトル通り、カラスの唄なんだよ」
<0948> 「タイトル通り、カラスの唄なんだよ」

//<0949> nothing
<0949> nothing

//<0950> nothing
<0950> nothing

//<0951> nothing
<0951> nothing

//<0952> nothing
<0952> nothing

//<0953> nothing
<0953> nothing

//<0954> 岩沢
<0954> 岩沢

//<0955> 「そのカラスがあたし」
<0955> 「そのカラスがあたし」

//<0956> nothing
<0956> nothing

//<0957> nothing
<0957> nothing

//<0958> nothing
<0958> nothing

//<0959> nothing
<0959> nothing

//<0960> nothing
<0960> nothing

//<0961> 岩沢
<0961> 岩沢

//<0962> 「暗闇の中でかーかー鳴いてる」
<0962> 「暗闇の中でかーかー鳴いてる」

//<0963> nothing
<0963> nothing

//<0964> nothing
<0964> nothing

//<0965> nothing
<0965> nothing

//<0966> nothing
<0966> nothing

//<0967> nothing
<0967> nothing

//<0968> 岩沢
<0968> 岩沢

//<0969> 「あたしはここに居るんだって」
<0969> 「あたしはここに居るんだって」

//<0970> nothing
<0970> nothing

//<0971> nothing
<0971> nothing

//<0972> nothing
<0972> nothing

//<0973> nothing
<0973> nothing

//<0974> nothing
<0974> nothing

//<0975> 岩沢
<0975> 岩沢

//<0976> 「うるさいだけ」
<0976> 「うるさいだけ」

//<0977> nothing
<0977> nothing

//<0978> nothing
<0978> nothing

//<0979> nothing
<0979> nothing

//<0980> nothing
<0980> nothing

//<0981> nothing
<0981> nothing

//<0982> 岩沢
<0982> 岩沢

//<0983> 「こいつとは正反対だな」
<0983> 「こいつとは正反対だな」

//<0984> nothing
<0984> nothing

//<0985> nothing
<0985> nothing

//<0986> nothing
<0986> nothing

//<0987> nothing
<0987> nothing

//<0988> nothing
<0988> nothing

//<0989> 花壇の中に逃げていった蝶を名残惜しそうに見て言った。
<0989> 花壇の中に逃げていった蝶を名残惜しそうに見て言った。

//<0990> nothing
<0990> nothing

//<0991> nothing
<0991> nothing

//<0992> nothing
<0992> nothing

//<0993> nothing
<0993> nothing

//<0994> nothing
<0994> nothing

//<0995> 岩沢
<0995> 岩沢

//<0996> 「陽に照らされた花壇の蜜を吸って、静かに泳ぎ続ける」
<0996> 「陽に照らされた花壇の蜜を吸って、静かに泳ぎ続ける」

//<0997> nothing
<0997> nothing

//<0998> nothing
<0998> nothing

//<0999> nothing
<0999> nothing

//<1000> nothing
<1000> nothing

//<1001> nothing
<1001> nothing

//<1002> 岩沢
<1002> 岩沢

//<1003> 「気持ちいいんだろうな…」
<1003> 「気持ちいいんだろうな…」

//<1004> 俺はカラスのほうが好きだ
<1004> 俺はカラスのほうが好きだ

//<1005> お前は蝶だ
<1005> お前は蝶だ

//<1006> お前は夜の蝶だ
<1006> お前は夜の蝶だ

//<1007> selbtn : 
<1007> selbtn : 

//<1008> 音無
<1008> 音無

//<1009> クソ坊主
<1009> クソ坊主

//<1010> 代理人
<1010> 代理人

//<1011> 微妙すぎるイケメン
<1011> 微妙すぎるイケメン

//<1012> ロリコン
<1012> ロリコン

//<1013> メガネ仲間
<1013> メガネ仲間

//<1014> 暗算日本記録保持者
<1014> 暗算日本記録保持者

//<1015> 通り魔
<1015> 通り魔

//<1016> 記憶ナシ男
<1016> 記憶ナシ男

//<1017> 音速
<1017> 音速

//<1018> 無限
<1018> 無限

//<1019> エロ侍
<1019> エロ侍

//<1020> エロエロ団ナンバー１
<1020> エロエロ団ナンバー１

//<1021> ただのエロ少年
<1021> ただのエロ少年

//<1022> ユリブサイク
<1022> ユリブサイク

//<1023> ドピュッシー
<1023> ドピュッシー

//<1024> アメリカンエロドッグ
<1024> アメリカンエロドッグ

//<1025> ゼウス
<1025> ゼウス

//<1026> 日向markⅡ
<1026> 日向markⅡ

//<1027> 糞虫
<1027> 糞虫

//<1028> 量産型日向
<1028> 量産型日向

//<1029> ？？
<1029> ？？

//<1030> 「俺は…カラスのほうが好きだ」
<1030> 「俺は…カラスのほうが好きだ」

//<1031> nothing
<1031> nothing

//<1032> nothing
<1032> nothing

//<1033> nothing
<1033> nothing

//<1034> nothing
<1034> nothing

//<1035> nothing
<1035> nothing

//<1036> 岩沢
<1036> 岩沢
{15b75} 33 // 1036

//<1037> 「え？　本気で言ってんのか？　カラスって実際すげー迷惑な存在なんだぜ？」
<1037> 「え？　本気で言ってんのか？　カラスって実際すげー迷惑な存在なんだぜ？」

//<1038> nothing
<1038> nothing

//<1039> nothing
<1039> nothing

//<1040> nothing
<1040> nothing

//<1041> nothing
<1041> nothing

//<1042> nothing
<1042> nothing

//<1043> 音無
<1043> 音無

//<1044> クソ坊主
<1044> クソ坊主

//<1045> 代理人
<1045> 代理人

//<1046> 微妙すぎるイケメン
<1046> 微妙すぎるイケメン

//<1047> ロリコン
<1047> ロリコン

//<1048> メガネ仲間
<1048> メガネ仲間

//<1049> 暗算日本記録保持者
<1049> 暗算日本記録保持者

//<1050> 通り魔
<1050> 通り魔

//<1051> 記憶ナシ男
<1051> 記憶ナシ男

//<1052> 音速
<1052> 音速

//<1053> 無限
<1053> 無限

//<1054> エロ侍
<1054> エロ侍

//<1055> エロエロ団ナンバー１
<1055> エロエロ団ナンバー１

//<1056> ただのエロ少年
<1056> ただのエロ少年

//<1057> ユリブサイク
<1057> ユリブサイク

//<1058> ドピュッシー
<1058> ドピュッシー

//<1059> アメリカンエロドッグ
<1059> アメリカンエロドッグ

//<1060> ゼウス
<1060> ゼウス

//<1061> 日向markⅡ
<1061> 日向markⅡ

//<1062> 糞虫
<1062> 糞虫

//<1063> 量産型日向
<1063> 量産型日向

//<1064> ？？
<1064> ？？

//<1065> 「知ってるよ」
<1065> 「知ってるよ」

//<1066> nothing
<1066> nothing

//<1067> nothing
<1067> nothing

//<1068> nothing
<1068> nothing

//<1069> nothing
<1069> nothing

//<1070> nothing
<1070> nothing

//<1071> 岩沢
<1071> 岩沢

//<1072> 「なのに？」
<1072> 「なのに？」

//<1073> 音無
<1073> 音無

//<1074> クソ坊主
<1074> クソ坊主

//<1075> 代理人
<1075> 代理人

//<1076> 微妙すぎるイケメン
<1076> 微妙すぎるイケメン

//<1077> ロリコン
<1077> ロリコン

//<1078> メガネ仲間
<1078> メガネ仲間

//<1079> 暗算日本記録保持者
<1079> 暗算日本記録保持者

//<1080> 通り魔
<1080> 通り魔

//<1081> 記憶ナシ男
<1081> 記憶ナシ男

//<1082> 音速
<1082> 音速

//<1083> 無限
<1083> 無限

//<1084> エロ侍
<1084> エロ侍

//<1085> エロエロ団ナンバー１
<1085> エロエロ団ナンバー１

//<1086> ただのエロ少年
<1086> ただのエロ少年

//<1087> ユリブサイク
<1087> ユリブサイク

//<1088> ドピュッシー
<1088> ドピュッシー

//<1089> アメリカンエロドッグ
<1089> アメリカンエロドッグ

//<1090> ゼウス
<1090> ゼウス

//<1091> 日向markⅡ
<1091> 日向markⅡ

//<1092> 糞虫
<1092> 糞虫

//<1093> 量産型日向
<1093> 量産型日向

//<1094> ？？
<1094> ？？

//<1095> 「なのに」
<1095> 「なのに」

//<1096> nothing
<1096> nothing

//<1097> nothing
<1097> nothing

//<1098> nothing
<1098> nothing

//<1099> nothing
<1099> nothing

//<1100> nothing
<1100> nothing

//<1101> 岩沢
<1101> 岩沢

//<1102> 「どこが？」
<1102> 「どこが？」

//<1103> 音無
<1103> 音無

//<1104> クソ坊主
<1104> クソ坊主

//<1105> 代理人
<1105> 代理人

//<1106> 微妙すぎるイケメン
<1106> 微妙すぎるイケメン

//<1107> ロリコン
<1107> ロリコン

//<1108> メガネ仲間
<1108> メガネ仲間

//<1109> 暗算日本記録保持者
<1109> 暗算日本記録保持者

//<1110> 通り魔
<1110> 通り魔

//<1111> 記憶ナシ男
<1111> 記憶ナシ男

//<1112> 音速
<1112> 音速

//<1113> 無限
<1113> 無限

//<1114> エロ侍
<1114> エロ侍

//<1115> エロエロ団ナンバー１
<1115> エロエロ団ナンバー１

//<1116> ただのエロ少年
<1116> ただのエロ少年

//<1117> ユリブサイク
<1117> ユリブサイク

//<1118> ドピュッシー
<1118> ドピュッシー

//<1119> アメリカンエロドッグ
<1119> アメリカンエロドッグ

//<1120> ゼウス
<1120> ゼウス

//<1121> 日向markⅡ
<1121> 日向markⅡ

//<1122> 糞虫
<1122> 糞虫

//<1123> 量産型日向
<1123> 量産型日向

//<1124> ？？
<1124> ？？

//<1125> 「一羽で全部背負って…しかも、誰かを元気づけようとしてる」
<1125> 「一羽で全部背負って…しかも、誰かを元気づけようとしてる」

//<1126> 音無
<1126> 音無

//<1127> クソ坊主
<1127> クソ坊主

//<1128> 代理人
<1128> 代理人

//<1129> 微妙すぎるイケメン
<1129> 微妙すぎるイケメン

//<1130> ロリコン
<1130> ロリコン

//<1131> メガネ仲間
<1131> メガネ仲間

//<1132> 暗算日本記録保持者
<1132> 暗算日本記録保持者

//<1133> 通り魔
<1133> 通り魔

//<1134> 記憶ナシ男
<1134> 記憶ナシ男

//<1135> 音速
<1135> 音速

//<1136> 無限
<1136> 無限

//<1137> エロ侍
<1137> エロ侍

//<1138> エロエロ団ナンバー１
<1138> エロエロ団ナンバー１

//<1139> ただのエロ少年
<1139> ただのエロ少年

//<1140> ユリブサイク
<1140> ユリブサイク

//<1141> ドピュッシー
<1141> ドピュッシー

//<1142> アメリカンエロドッグ
<1142> アメリカンエロドッグ

//<1143> ゼウス
<1143> ゼウス

//<1144> 日向markⅡ
<1144> 日向markⅡ

//<1145> 糞虫
<1145> 糞虫

//<1146> 量産型日向
<1146> 量産型日向

//<1147> ？？
<1147> ？？

//<1148> 「全力で指もすり切れて、ぶっ倒れそうでも、やるんだろ？」
<1148> 「全力で指もすり切れて、ぶっ倒れそうでも、やるんだろ？」

//<1149> nothing
<1149> nothing

//<1150> nothing
<1150> nothing

//<1151> nothing
<1151> nothing

//<1152> nothing
<1152> nothing

//<1153> nothing
<1153> nothing

//<1154> 岩沢
<1154> 岩沢

//<1155> 「今夜も」
<1155> 「今夜も」

//<1156> ビッグなストーリー
<1156> ビッグなストーリー

//<1157> ビッチなストーリー
<1157> ビッチなストーリー

//<1158> ビッグなブルースリー
<1158> ビッグなブルースリー

//<1159> selbtn : 
<1159> selbtn : 

//<1160> nothing
<1160> nothing

//<1161> nothing
<1161> nothing

//<1162> nothing
<1162> nothing

//<1163> nothing
<1163> nothing

//<1164> nothing
<1164> nothing
{18095} 5f // 1164

//<1165> ２人
<1165> ２人

//<1166> 岩沢
<1166> 岩沢

//<1167> 「ビッグなストーリー」
<1167> 「ビッグなストーリー」
{181b5} 0f // 1167

//<1168> 音無
<1168> 音無

//<1169> クソ坊主
<1169> クソ坊主

//<1170> 代理人
<1170> 代理人

//<1171> 微妙すぎるイケメン
<1171> 微妙すぎるイケメン

//<1172> ロリコン
<1172> ロリコン

//<1173> メガネ仲間
<1173> メガネ仲間

//<1174> 暗算日本記録保持者
<1174> 暗算日本記録保持者

//<1175> 通り魔
<1175> 通り魔

//<1176> 記憶ナシ男
<1176> 記憶ナシ男

//<1177> 音速
<1177> 音速

//<1178> 無限
<1178> 無限

//<1179> エロ侍
<1179> エロ侍

//<1180> エロエロ団ナンバー１
<1180> エロエロ団ナンバー１

//<1181> ただのエロ少年
<1181> ただのエロ少年

//<1182> ユリブサイク
<1182> ユリブサイク

//<1183> ドピュッシー
<1183> ドピュッシー

//<1184> アメリカンエロドッグ
<1184> アメリカンエロドッグ

//<1185> ゼウス
<1185> ゼウス

//<1186> 日向markⅡ
<1186> 日向markⅡ

//<1187> 糞虫
<1187> 糞虫

//<1188> 量産型日向
<1188> 量産型日向

//<1189> ？？
<1189> ？？

//<1190> 「ビッチなストーリー」
<1190> 「ビッチなストーリー」

//<1191> nothing
<1191> nothing

//<1192> nothing
<1192> nothing

//<1193> nothing
<1193> nothing

//<1194> nothing
<1194> nothing

//<1195> nothing
<1195> nothing

//<1196> 岩沢
<1196> 岩沢

//<1197> 「ん？　今あんたなんて言った？」
<1197> 「ん？　今あんたなんて言った？」

//<1198> 音無
<1198> 音無

//<1199> クソ坊主
<1199> クソ坊主

//<1200> 代理人
<1200> 代理人

//<1201> 微妙すぎるイケメン
<1201> 微妙すぎるイケメン

//<1202> ロリコン
<1202> ロリコン

//<1203> メガネ仲間
<1203> メガネ仲間

//<1204> 暗算日本記録保持者
<1204> 暗算日本記録保持者

//<1205> 通り魔
<1205> 通り魔

//<1206> 記憶ナシ男
<1206> 記憶ナシ男

//<1207> 音速
<1207> 音速

//<1208> 無限
<1208> 無限

//<1209> エロ侍
<1209> エロ侍

//<1210> エロエロ団ナンバー１
<1210> エロエロ団ナンバー１

//<1211> ただのエロ少年
<1211> ただのエロ少年

//<1212> ユリブサイク
<1212> ユリブサイク

//<1213> ドピュッシー
<1213> ドピュッシー

//<1214> アメリカンエロドッグ
<1214> アメリカンエロドッグ

//<1215> ゼウス
<1215> ゼウス

//<1216> 日向markⅡ
<1216> 日向markⅡ

//<1217> 糞虫
<1217> 糞虫

//<1218> 量産型日向
<1218> 量産型日向

//<1219> ？？
<1219> ？？

//<1220> 「ビッチなストーリー」
<1220> 「ビッチなストーリー」

//<1221> nothing
<1221> nothing

//<1222> nothing
<1222> nothing

//<1223> nothing
<1223> nothing

//<1224> nothing
<1224> nothing

//<1225> nothing
<1225> nothing

//<1226> 岩沢
<1226> 岩沢

//<1227> 「そんなふうに聞こえていたのか…」
<1227> 「そんなふうに聞こえていたのか…」

//<1228> 明らかに落胆している。
<1228> 明らかに落胆している。

//<1229> nothing
<1229> nothing

//<1230> nothing
<1230> nothing

//<1231> nothing
<1231> nothing

//<1232> nothing
<1232> nothing

//<1233> nothing
<1233> nothing

//<1234> 岩沢
<1234> 岩沢

//<1235> 「やっぱあたしの発声悪いんだなー…」
<1235> 「やっぱあたしの発声悪いんだなー…」

//<1236> 俺のせいで傷つけてしまったようだ…。
<1236> 俺のせいで傷つけてしまったようだ…。

//<1237> nothing
<1237> nothing

//<1238> nothing
<1238> nothing

//<1239> nothing
<1239> nothing

//<1240> nothing
<1240> nothing

//<1241> nothing
<1241> nothing

//<1242> 岩沢
<1242> 岩沢

//<1243> 「やっぱ、あたしの本気のメッセージは届いていない…そういうことか…」
<1243> 「やっぱ、あたしの本気のメッセージは届いていない…そういうことか…」

//<1244> 音無
<1244> 音無

//<1245> クソ坊主
<1245> クソ坊主

//<1246> 代理人
<1246> 代理人

//<1247> 微妙すぎるイケメン
<1247> 微妙すぎるイケメン

//<1248> ロリコン
<1248> ロリコン

//<1249> メガネ仲間
<1249> メガネ仲間

//<1250> 暗算日本記録保持者
<1250> 暗算日本記録保持者

//<1251> 通り魔
<1251> 通り魔

//<1252> 記憶ナシ男
<1252> 記憶ナシ男

//<1253> 音速
<1253> 音速

//<1254> 無限
<1254> 無限

//<1255> エロ侍
<1255> エロ侍

//<1256> エロエロ団ナンバー１
<1256> エロエロ団ナンバー１

//<1257> ただのエロ少年
<1257> ただのエロ少年

//<1258> ユリブサイク
<1258> ユリブサイク

//<1259> ドピュッシー
<1259> ドピュッシー

//<1260> アメリカンエロドッグ
<1260> アメリカンエロドッグ

//<1261> ゼウス
<1261> ゼウス

//<1262> 日向markⅡ
<1262> 日向markⅡ

//<1263> 糞虫
<1263> 糞虫

//<1264> 量産型日向
<1264> 量産型日向

//<1265> ？？
<1265> ？？

//<1266> 「いや、にわかファンのひとつの意見として受け取ってくれ」
<1266> 「いや、にわかファンのひとつの意見として受け取ってくれ」

//<1267> nothing
<1267> nothing

//<1268> nothing
<1268> nothing

//<1269> nothing
<1269> nothing

//<1270> nothing
<1270> nothing

//<1271> nothing
<1271> nothing

//<1272> 岩沢
<1272> 岩沢

//<1273> 「うーーーーん…」
<1273> 「うーーーーん…」

//<1274> そうも受け取りがたいようだ。
<1274> そうも受け取りがたいようだ。

//<1275> 音無
<1275> 音無

//<1276> クソ坊主
<1276> クソ坊主

//<1277> 代理人
<1277> 代理人

//<1278> 微妙すぎるイケメン
<1278> 微妙すぎるイケメン

//<1279> ロリコン
<1279> ロリコン

//<1280> メガネ仲間
<1280> メガネ仲間

//<1281> 暗算日本記録保持者
<1281> 暗算日本記録保持者

//<1282> 通り魔
<1282> 通り魔

//<1283> 記憶ナシ男
<1283> 記憶ナシ男

//<1284> 音速
<1284> 音速

//<1285> 無限
<1285> 無限

//<1286> エロ侍
<1286> エロ侍

//<1287> エロエロ団ナンバー１
<1287> エロエロ団ナンバー１

//<1288> ただのエロ少年
<1288> ただのエロ少年

//<1289> ユリブサイク
<1289> ユリブサイク

//<1290> ドピュッシー
<1290> ドピュッシー

//<1291> アメリカンエロドッグ
<1291> アメリカンエロドッグ

//<1292> ゼウス
<1292> ゼウス

//<1293> 日向markⅡ
<1293> 日向markⅡ

//<1294> 糞虫
<1294> 糞虫

//<1295> 量産型日向
<1295> 量産型日向

//<1296> ？？
<1296> ？？

//<1297> 「あれだけ熱狂的なファンが居るんだから、気にすることはないと思うぜ？」
<1297> 「あれだけ熱狂的なファンが居るんだから、気にすることはないと思うぜ？」

//<1298> 
<1298> 

//<1299> nothing
<1299> nothing

//<1300> nothing
<1300> nothing

//<1301> nothing
<1301> nothing

//<1302> nothing
<1302> nothing

//<1303> nothing
<1303> nothing
{1aaa2} 5f // 1303

//<1304> ２人
<1304> ２人

//<1305> 岩沢
<1305> 岩沢

//<1306> 「ビッグなストーリー」
<1306> 「ビッグなストーリー」
{1abc2} 0f // 1306

//<1307> 音無
<1307> 音無

//<1308> クソ坊主
<1308> クソ坊主

//<1309> 代理人
<1309> 代理人

//<1310> 微妙すぎるイケメン
<1310> 微妙すぎるイケメン

//<1311> ロリコン
<1311> ロリコン

//<1312> メガネ仲間
<1312> メガネ仲間

//<1313> 暗算日本記録保持者
<1313> 暗算日本記録保持者

//<1314> 通り魔
<1314> 通り魔

//<1315> 記憶ナシ男
<1315> 記憶ナシ男

//<1316> 音速
<1316> 音速

//<1317> 無限
<1317> 無限

//<1318> エロ侍
<1318> エロ侍

//<1319> エロエロ団ナンバー１
<1319> エロエロ団ナンバー１

//<1320> ただのエロ少年
<1320> ただのエロ少年

//<1321> ユリブサイク
<1321> ユリブサイク

//<1322> ドピュッシー
<1322> ドピュッシー

//<1323> アメリカンエロドッグ
<1323> アメリカンエロドッグ

//<1324> ゼウス
<1324> ゼウス

//<1325> 日向markⅡ
<1325> 日向markⅡ

//<1326> 糞虫
<1326> 糞虫

//<1327> 量産型日向
<1327> 量産型日向

//<1328> ？？
<1328> ？？

//<1329> 「ビッグなブルースリー」
<1329> 「ビッグなブルースリー」

//<1330> nothing
<1330> nothing

//<1331> nothing
<1331> nothing

//<1332> nothing
<1332> nothing

//<1333> nothing
<1333> nothing

//<1334> nothing
<1334> nothing

//<1335> 岩沢
<1335> 岩沢

//<1336> 「ん？　今あんたなんて言った？」
<1336> 「ん？　今あんたなんて言った？」

//<1337> 音無
<1337> 音無

//<1338> クソ坊主
<1338> クソ坊主

//<1339> 代理人
<1339> 代理人

//<1340> 微妙すぎるイケメン
<1340> 微妙すぎるイケメン

//<1341> ロリコン
<1341> ロリコン

//<1342> メガネ仲間
<1342> メガネ仲間

//<1343> 暗算日本記録保持者
<1343> 暗算日本記録保持者

//<1344> 通り魔
<1344> 通り魔

//<1345> 記憶ナシ男
<1345> 記憶ナシ男

//<1346> 音速
<1346> 音速

//<1347> 無限
<1347> 無限

//<1348> エロ侍
<1348> エロ侍

//<1349> エロエロ団ナンバー１
<1349> エロエロ団ナンバー１

//<1350> ただのエロ少年
<1350> ただのエロ少年

//<1351> ユリブサイク
<1351> ユリブサイク

//<1352> ドピュッシー
<1352> ドピュッシー

//<1353> アメリカンエロドッグ
<1353> アメリカンエロドッグ

//<1354> ゼウス
<1354> ゼウス

//<1355> 日向markⅡ
<1355> 日向markⅡ

//<1356> 糞虫
<1356> 糞虫

//<1357> 量産型日向
<1357> 量産型日向

//<1358> ？？
<1358> ？？

//<1359> 「ビッグなブルースリー」
<1359> 「ビッグなブルースリー」

//<1360> nothing
<1360> nothing

//<1361> nothing
<1361> nothing

//<1362> nothing
<1362> nothing

//<1363> nothing
<1363> nothing

//<1364> nothing
<1364> nothing

//<1365> 岩沢
<1365> 岩沢

//<1366> 「なんなんだ、そのブルースリーってのは」
<1366> 「なんなんだ、そのブルースリーってのは」

//<1367> 音無
<1367> 音無

//<1368> クソ坊主
<1368> クソ坊主

//<1369> 代理人
<1369> 代理人

//<1370> 微妙すぎるイケメン
<1370> 微妙すぎるイケメン

//<1371> ロリコン
<1371> ロリコン

//<1372> メガネ仲間
<1372> メガネ仲間

//<1373> 暗算日本記録保持者
<1373> 暗算日本記録保持者

//<1374> 通り魔
<1374> 通り魔

//<1375> 記憶ナシ男
<1375> 記憶ナシ男

//<1376> 音速
<1376> 音速

//<1377> 無限
<1377> 無限

//<1378> エロ侍
<1378> エロ侍

//<1379> エロエロ団ナンバー１
<1379> エロエロ団ナンバー１

//<1380> ただのエロ少年
<1380> ただのエロ少年

//<1381> ユリブサイク
<1381> ユリブサイク

//<1382> ドピュッシー
<1382> ドピュッシー

//<1383> アメリカンエロドッグ
<1383> アメリカンエロドッグ

//<1384> ゼウス
<1384> ゼウス

//<1385> 日向markⅡ
<1385> 日向markⅡ

//<1386> 糞虫
<1386> 糞虫

//<1387> 量産型日向
<1387> 量産型日向

//<1388> ？？
<1388> ？？

//<1389> 「中国の武術家で、俳優でもある有名人。まさにビッグな存在なんだ」
<1389> 「中国の武術家で、俳優でもある有名人。まさにビッグな存在なんだ」

//<1390> nothing
<1390> nothing

//<1391> nothing
<1391> nothing

//<1392> nothing
<1392> nothing

//<1393> nothing
<1393> nothing

//<1394> nothing
<1394> nothing
{1c653} 5f // 1394

//<1395> ２人
<1395> ２人

//<1396> 岩沢
<1396> 岩沢

//<1397> 「ビッグなストーリー」
<1397> 「ビッグなストーリー」
{1c773} 0f // 1397

//<1398> 音無
<1398> 音無

//<1399> クソ坊主
<1399> クソ坊主

//<1400> 代理人
<1400> 代理人

//<1401> 微妙すぎるイケメン
<1401> 微妙すぎるイケメン

//<1402> ロリコン
<1402> ロリコン

//<1403> メガネ仲間
<1403> メガネ仲間

//<1404> 暗算日本記録保持者
<1404> 暗算日本記録保持者

//<1405> 通り魔
<1405> 通り魔

//<1406> 記憶ナシ男
<1406> 記憶ナシ男

//<1407> 音速
<1407> 音速

//<1408> 無限
<1408> 無限

//<1409> エロ侍
<1409> エロ侍

//<1410> エロエロ団ナンバー１
<1410> エロエロ団ナンバー１

//<1411> ただのエロ少年
<1411> ただのエロ少年

//<1412> ユリブサイク
<1412> ユリブサイク

//<1413> ドピュッシー
<1413> ドピュッシー

//<1414> アメリカンエロドッグ
<1414> アメリカンエロドッグ

//<1415> ゼウス
<1415> ゼウス

//<1416> 日向markⅡ
<1416> 日向markⅡ

//<1417> 糞虫
<1417> 糞虫

//<1418> 量産型日向
<1418> 量産型日向

//<1419> ？？
<1419> ？？

//<1420> 「ビッグなストーリー」
<1420> 「ビッグなストーリー」

//<1421> 完全にユニゾンする。
<1421> 完全にユニゾンする。

//<1422> nothing
<1422> nothing

//<1423> nothing
<1423> nothing

//<1424> nothing
<1424> nothing

//<1425> nothing
<1425> nothing

//<1426> nothing
<1426> nothing

//<1427> 岩沢
<1427> 岩沢

//<1428> 「はっ、さすがだなっ」
<1428> 「はっ、さすがだなっ」

//<1429> nothing
<1429> nothing

//<1430> nothing
<1430> nothing

//<1431> nothing
<1431> nothing

//<1432> nothing
<1432> nothing

//<1433> nothing
<1433> nothing

//<1434> 岩沢
<1434> 岩沢

//<1435> 「はっ、なんだ、知ってんじゃん」
<1435> 「はっ、なんだ、知ってんじゃん」

//<1436> 音無
<1436> 音無

//<1437> クソ坊主
<1437> クソ坊主

//<1438> 代理人
<1438> 代理人

