// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
//<0535> 無限
<0535> 無限

//<0536> エロ侍
<0536> エロ侍

//<0537> エロエロ団ナンバー１
<0537> エロエロ団ナンバー１

//<0538> ただのエロ少年
<0538> ただのエロ少年

//<0539> ユリブサイク
<0539> ユリブサイク

//<0540> ドピュッシー
<0540> ドピュッシー

//<0541> アメリカンエロドッグ
<0541> アメリカンエロドッグ

//<0542> ゼウス
<0542> ゼウス

//<0543> 日向markⅡ
<0543> 日向markⅡ

//<0544> 糞虫
<0544> 糞虫

//<0545> 量産型日向
<0545> 量産型日向

//<0546> ？？
<0546> ？？

//<0547> 「こえぇーー！」
<0547> 「こえぇーー！」

//<0548> nothing
<0548> nothing

//<0549> nothing
<0549> nothing

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> nothing
<0552> nothing

//<0553> 松下
<0553> 松下

//<0554> 「でもずっと痛いより、一瞬すごく痛いほうがいいのではないか？」
<0554> 「でもずっと痛いより、一瞬すごく痛いほうがいいのではないか？」

//<0555> 音無
<0555> 音無

//<0556> クソ坊主
<0556> クソ坊主

//<0557> 代理人
<0557> 代理人

//<0558> 微妙すぎるイケメン
<0558> 微妙すぎるイケメン

//<0559> ロリコン
<0559> ロリコン

//<0560> メガネ仲間
<0560> メガネ仲間

//<0561> 暗算日本記録保持者
<0561> 暗算日本記録保持者

//<0562> 通り魔
<0562> 通り魔

//<0563> 記憶ナシ男
<0563> 記憶ナシ男

//<0564> 音速
<0564> 音速

//<0565> 無限
<0565> 無限

//<0566> エロ侍
<0566> エロ侍

//<0567> エロエロ団ナンバー１
<0567> エロエロ団ナンバー１

//<0568> ただのエロ少年
<0568> ただのエロ少年

//<0569> ユリブサイク
<0569> ユリブサイク

//<0570> ドピュッシー
<0570> ドピュッシー

//<0571> アメリカンエロドッグ
<0571> アメリカンエロドッグ

//<0572> ゼウス
<0572> ゼウス

//<0573> 日向markⅡ
<0573> 日向markⅡ

//<0574> 糞虫
<0574> 糞虫

//<0575> 量産型日向
<0575> 量産型日向

//<0576> ？？
<0576> ？？

//<0577> 「そりゃ、そうだけど…すごく痛いを回避して、ずっと痛いを選べば明日には治ってるんだよな？」
<0577> 「そりゃ、そうだけど…すごく痛いを回避して、ずっと痛いを選べば明日には治ってるんだよな？」

//<0578> nothing
<0578> nothing

//<0579> nothing
<0579> nothing

//<0580> nothing
<0580> nothing

//<0581> nothing
<0581> nothing

//<0582> nothing
<0582> nothing

//<0583> 松下
<0583> 松下

//<0584> 「その通りだ。どちらでも好きなほうを選んでくれ」
<0584> 「その通りだ。どちらでも好きなほうを選んでくれ」

//<0585> 治してもらう
<0585> 治してもらう

//<0586> このままでいい
<0586> このままでいい

//<0587> selbtn : 
<0587> selbtn : 

//<0588> 音無
<0588> 音無

//<0589> クソ坊主
<0589> クソ坊主

//<0590> 代理人
<0590> 代理人

//<0591> 微妙すぎるイケメン
<0591> 微妙すぎるイケメン

//<0592> ロリコン
<0592> ロリコン

//<0593> メガネ仲間
<0593> メガネ仲間

//<0594> 暗算日本記録保持者
<0594> 暗算日本記録保持者

//<0595> 通り魔
<0595> 通り魔

//<0596> 記憶ナシ男
<0596> 記憶ナシ男

//<0597> 音速
<0597> 音速

//<0598> 無限
<0598> 無限

//<0599> エロ侍
<0599> エロ侍

//<0600> エロエロ団ナンバー１
<0600> エロエロ団ナンバー１

//<0601> ただのエロ少年
<0601> ただのエロ少年

//<0602> ユリブサイク
<0602> ユリブサイク

//<0603> ドピュッシー
<0603> ドピュッシー

//<0604> アメリカンエロドッグ
<0604> アメリカンエロドッグ

//<0605> ゼウス
<0605> ゼウス

//<0606> 日向markⅡ
<0606> 日向markⅡ

//<0607> 糞虫
<0607> 糞虫

//<0608> 量産型日向
<0608> 量産型日向

//<0609> ？？
<0609> ？？

//<0610> 「治してくれ…」
<0610> 「治してくれ…」

//<0611> nothing
<0611> nothing

//<0612> nothing
<0612> nothing

//<0613> nothing
<0613> nothing

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> 松下
<0616> 松下

//<0617> 「ふむ、わかった」
<0617> 「ふむ、わかった」

//<0618> nothing
<0618> nothing

//<0619> nothing
<0619> nothing

//<0620> nothing
<0620> nothing

//<0621> nothing
<0621> nothing

//<0622> nothing
<0622> nothing

//<0623> 松下五段が俺の二の腕を掴み、もう一方の手で首に近い肩を押さえた。
<0623> 松下五段が俺の二の腕を掴み、もう一方の手で首に近い肩を押さえた。

//<0624> 迷いもなく、一気にその部分に力が加えられる。
<0624> 迷いもなく、一気にその部分に力が加えられる。

//<0625> se_bone_gorigori
<0625> se_bone_gorigori

//<0626> nothing
<0626> nothing

//<0627> nothing
<0627> nothing

//<0628> nothing
<0628> nothing

//<0629> nothing
<0629> nothing

//<0630> nothing
<0630> nothing

//<0631> 音無
<0631> 音無

//<0632> クソ坊主
<0632> クソ坊主

//<0633> 代理人
<0633> 代理人

//<0634> 微妙すぎるイケメン
<0634> 微妙すぎるイケメン

//<0635> ロリコン
<0635> ロリコン

//<0636> メガネ仲間
<0636> メガネ仲間

//<0637> 暗算日本記録保持者
<0637> 暗算日本記録保持者

//<0638> 通り魔
<0638> 通り魔

//<0639> 記憶ナシ男
<0639> 記憶ナシ男

//<0640> 音速
<0640> 音速

//<0641> 無限
<0641> 無限

//<0642> エロ侍
<0642> エロ侍

//<0643> エロエロ団ナンバー１
<0643> エロエロ団ナンバー１

//<0644> ただのエロ少年
<0644> ただのエロ少年

//<0645> ユリブサイク
<0645> ユリブサイク

//<0646> ドピュッシー
<0646> ドピュッシー

//<0647> アメリカンエロドッグ
<0647> アメリカンエロドッグ

//<0648> ゼウス
<0648> ゼウス

//<0649> 日向markⅡ
<0649> 日向markⅡ

//<0650> 糞虫
<0650> 糞虫

//<0651> 量産型日向
<0651> 量産型日向

//<0652> ？？
<0652> ？？

//<0653> 「いてぇーーーーーーーーーーーーーーー！！」
<0653> 「いてぇーーーーーーーーーーーーーーー！！」

//<0654> nothing
<0654> nothing

//<0655> nothing
<0655> nothing

//<0656> nothing
<0656> nothing

//<0657> nothing
<0657> nothing

//<0658> nothing
<0658> nothing

//<0659> 叫ぶしかない激痛。
<0659> 叫ぶしかない激痛。

//<0660> だが、その一瞬だけで、肩の痛みは消え去った。
<0660> だが、その一瞬だけで、肩の痛みは消え去った。

//<0661> nothing
<0661> nothing

//<0662> nothing
<0662> nothing

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> nothing
<0665> nothing

//<0666> 松下
<0666> 松下

//<0667> 「どうだ？」
<0667> 「どうだ？」

//<0668> 肩を回してみても、なんの問題もない。
<0668> 肩を回してみても、なんの問題もない。

//<0669> 音無
<0669> 音無

//<0670> クソ坊主
<0670> クソ坊主

//<0671> 代理人
<0671> 代理人

//<0672> 微妙すぎるイケメン
<0672> 微妙すぎるイケメン

//<0673> ロリコン
<0673> ロリコン

//<0674> メガネ仲間
<0674> メガネ仲間

//<0675> 暗算日本記録保持者
<0675> 暗算日本記録保持者

//<0676> 通り魔
<0676> 通り魔

//<0677> 記憶ナシ男
<0677> 記憶ナシ男

//<0678> 音速
<0678> 音速

//<0679> 無限
<0679> 無限

//<0680> エロ侍
<0680> エロ侍

//<0681> エロエロ団ナンバー１
<0681> エロエロ団ナンバー１

//<0682> ただのエロ少年
<0682> ただのエロ少年

//<0683> ユリブサイク
<0683> ユリブサイク

//<0684> ドピュッシー
<0684> ドピュッシー

//<0685> アメリカンエロドッグ
<0685> アメリカンエロドッグ

//<0686> ゼウス
<0686> ゼウス

//<0687> 日向markⅡ
<0687> 日向markⅡ

//<0688> 糞虫
<0688> 糞虫

//<0689> 量産型日向
<0689> 量産型日向

//<0690> ？？
<0690> ？？

//<0691> 「ああ、治った…。すごいな、お前…」
<0691> 「ああ、治った…。すごいな、お前…」

//<0692> nothing
<0692> nothing

//<0693> nothing
<0693> nothing

//<0694> nothing
<0694> nothing

//<0695> nothing
<0695> nothing

//<0696> nothing
<0696> nothing

//<0697> 松下
<0697> 松下

//<0698> 「俺の技術だけではなく、この世界の持つ、自然治癒能力が加わっていたと思うがな」
<0698> 「俺の技術だけではなく、この世界の持つ、自然治癒能力が加わっていたと思うがな」

//<0699> 音無
<0699> 音無

//<0700> クソ坊主
<0700> クソ坊主

//<0701> 代理人
<0701> 代理人

//<0702> 微妙すぎるイケメン
<0702> 微妙すぎるイケメン

//<0703> ロリコン
<0703> ロリコン

//<0704> メガネ仲間
<0704> メガネ仲間

//<0705> 暗算日本記録保持者
<0705> 暗算日本記録保持者

//<0706> 通り魔
<0706> 通り魔

//<0707> 記憶ナシ男
<0707> 記憶ナシ男

//<0708> 音速
<0708> 音速

//<0709> 無限
<0709> 無限

//<0710> エロ侍
<0710> エロ侍

//<0711> エロエロ団ナンバー１
<0711> エロエロ団ナンバー１

//<0712> ただのエロ少年
<0712> ただのエロ少年

//<0713> ユリブサイク
<0713> ユリブサイク

//<0714> ドピュッシー
<0714> ドピュッシー

//<0715> アメリカンエロドッグ
<0715> アメリカンエロドッグ

//<0716> ゼウス
<0716> ゼウス

//<0717> 日向markⅡ
<0717> 日向markⅡ

//<0718> 糞虫
<0718> 糞虫

//<0719> 量産型日向
<0719> 量産型日向

//<0720> ？？
<0720> ？？

//<0721> 「じゃあ、続きを始めるか」
<0721> 「じゃあ、続きを始めるか」

//<0722> nothing
<0722> nothing

//<0723> nothing
<0723> nothing

//<0724> nothing
<0724> nothing

//<0725> nothing
<0725> nothing

//<0726> nothing
<0726> nothing

//<0727> 松下
<0727> 松下

//<0728> 「いや、脱臼は癖がつくから、今日はここまでにするべきだ」
<0728> 「いや、脱臼は癖がつくから、今日はここまでにするべきだ」

//<0729> 音無
<0729> 音無

//<0730> クソ坊主
<0730> クソ坊主

//<0731> 代理人
<0731> 代理人

//<0732> 微妙すぎるイケメン
<0732> 微妙すぎるイケメン

//<0733> ロリコン
<0733> ロリコン

//<0734> メガネ仲間
<0734> メガネ仲間

//<0735> 暗算日本記録保持者
<0735> 暗算日本記録保持者

//<0736> 通り魔
<0736> 通り魔

//<0737> 記憶ナシ男
<0737> 記憶ナシ男

//<0738> 音速
<0738> 音速

//<0739> 無限
<0739> 無限

//<0740> エロ侍
<0740> エロ侍

//<0741> エロエロ団ナンバー１
<0741> エロエロ団ナンバー１

//<0742> ただのエロ少年
<0742> ただのエロ少年

//<0743> ユリブサイク
<0743> ユリブサイク

//<0744> ドピュッシー
<0744> ドピュッシー

//<0745> アメリカンエロドッグ
<0745> アメリカンエロドッグ

//<0746> ゼウス
<0746> ゼウス

//<0747> 日向markⅡ
<0747> 日向markⅡ

//<0748> 糞虫
<0748> 糞虫

//<0749> 量産型日向
<0749> 量産型日向

//<0750> ？？
<0750> ？？

//<0751> 「そっか…」
<0751> 「そっか…」

//<0752> 音無
<0752> 音無

//<0753> クソ坊主
<0753> クソ坊主

//<0754> 代理人
<0754> 代理人

//<0755> 微妙すぎるイケメン
<0755> 微妙すぎるイケメン

//<0756> ロリコン
<0756> ロリコン

//<0757> メガネ仲間
<0757> メガネ仲間

//<0758> 暗算日本記録保持者
<0758> 暗算日本記録保持者

//<0759> 通り魔
<0759> 通り魔

//<0760> 記憶ナシ男
<0760> 記憶ナシ男

//<0761> 音速
<0761> 音速

//<0762> 無限
<0762> 無限

//<0763> エロ侍
<0763> エロ侍

//<0764> エロエロ団ナンバー１
<0764> エロエロ団ナンバー１

//<0765> ただのエロ少年
<0765> ただのエロ少年

//<0766> ユリブサイク
<0766> ユリブサイク

//<0767> ドピュッシー
<0767> ドピュッシー

//<0768> アメリカンエロドッグ
<0768> アメリカンエロドッグ

//<0769> ゼウス
<0769> ゼウス

//<0770> 日向markⅡ
<0770> 日向markⅡ

//<0771> 糞虫
<0771> 糞虫

//<0772> 量産型日向
<0772> 量産型日向

//<0773> ？？
<0773> ？？

//<0774> 「このままでいい…」
<0774> 「このままでいい…」

//<0775> nothing
<0775> nothing

//<0776> nothing
<0776> nothing

//<0777> nothing
<0777> nothing

//<0778> nothing
<0778> nothing

//<0779> nothing
<0779> nothing

//<0780> 松下
<0780> 松下

//<0781> 「では、今日はここらでお開きということだな」
<0781> 「では、今日はここらでお開きということだな」

//<0782> 音無
<0782> 音無

//<0783> クソ坊主
<0783> クソ坊主

//<0784> 代理人
<0784> 代理人

//<0785> 微妙すぎるイケメン
<0785> 微妙すぎるイケメン

//<0786> ロリコン
<0786> ロリコン

//<0787> メガネ仲間
<0787> メガネ仲間

//<0788> 暗算日本記録保持者
<0788> 暗算日本記録保持者

//<0789> 通り魔
<0789> 通り魔

//<0790> 記憶ナシ男
<0790> 記憶ナシ男

//<0791> 音速
<0791> 音速

//<0792> 無限
<0792> 無限

//<0793> エロ侍
<0793> エロ侍

//<0794> エロエロ団ナンバー１
<0794> エロエロ団ナンバー１

//<0795> ただのエロ少年
<0795> ただのエロ少年

//<0796> ユリブサイク
<0796> ユリブサイク

//<0797> ドピュッシー
<0797> ドピュッシー

//<0798> アメリカンエロドッグ
<0798> アメリカンエロドッグ

//<0799> ゼウス
<0799> ゼウス

//<0800> 日向markⅡ
<0800> 日向markⅡ

//<0801> 糞虫
<0801> 糞虫

//<0802> 量産型日向
<0802> 量産型日向

//<0803> ？？
<0803> ？？

//<0804> 「ああ…」
<0804> 「ああ…」

//<0805> 音無
<0805> 音無

//<0806> クソ坊主
<0806> クソ坊主

//<0807> 代理人
<0807> 代理人

//<0808> 微妙すぎるイケメン
<0808> 微妙すぎるイケメン

//<0809> ロリコン
<0809> ロリコン

//<0810> メガネ仲間
<0810> メガネ仲間

//<0811> 暗算日本記録保持者
<0811> 暗算日本記録保持者

//<0812> 通り魔
<0812> 通り魔

//<0813> 記憶ナシ男
<0813> 記憶ナシ男

//<0814> 音速
<0814> 音速

//<0815> 無限
<0815> 無限

//<0816> エロ侍
<0816> エロ侍

//<0817> エロエロ団ナンバー１
<0817> エロエロ団ナンバー１

//<0818> ただのエロ少年
<0818> ただのエロ少年

//<0819> ユリブサイク
<0819> ユリブサイク

//<0820> ドピュッシー
<0820> ドピュッシー

//<0821> アメリカンエロドッグ
<0821> アメリカンエロドッグ

//<0822> ゼウス
<0822> ゼウス

//<0823> 日向markⅡ
<0823> 日向markⅡ

//<0824> 糞虫
<0824> 糞虫

//<0825> 量産型日向
<0825> 量産型日向

//<0826> ？？
<0826> ？？

//<0827> 「断るが、幹部の連中もこんな繰り返しで、柔道を学んでいったのかよ！？」
<0827> 「断るが、幹部の連中もこんな繰り返しで、柔道を学んでいったのかよ！？」

//<0828> nothing
<0828> nothing

//<0829> nothing
<0829> nothing

//<0830> nothing
<0830> nothing

//<0831> nothing
<0831> nothing

//<0832> nothing
<0832> nothing

//<0833> 松下
<0833> 松下

//<0834> 「それは…」
<0834> 「それは…」

//<0835> 言葉に窮する様子。
<0835> 言葉に窮する様子。

//<0836> 音無
<0836> 音無

//<0837> クソ坊主
<0837> クソ坊主

//<0838> 代理人
<0838> 代理人

//<0839> 微妙すぎるイケメン
<0839> 微妙すぎるイケメン

//<0840> ロリコン
<0840> ロリコン

//<0841> メガネ仲間
<0841> メガネ仲間

//<0842> 暗算日本記録保持者
<0842> 暗算日本記録保持者

//<0843> 通り魔
<0843> 通り魔

//<0844> 記憶ナシ男
<0844> 記憶ナシ男

//<0845> 音速
<0845> 音速

//<0846> 無限
<0846> 無限

//<0847> エロ侍
<0847> エロ侍

//<0848> エロエロ団ナンバー１
<0848> エロエロ団ナンバー１

//<0849> ただのエロ少年
<0849> ただのエロ少年

//<0850> ユリブサイク
<0850> ユリブサイク

//<0851> ドピュッシー
<0851> ドピュッシー

//<0852> アメリカンエロドッグ
<0852> アメリカンエロドッグ

//<0853> ゼウス
<0853> ゼウス

//<0854> 日向markⅡ
<0854> 日向markⅡ

//<0855> 糞虫
<0855> 糞虫

//<0856> 量産型日向
<0856> 量産型日向

//<0857> ？？
<0857> ？？

//<0858> 「いいよ、言ってくれよ」
<0858> 「いいよ、言ってくれよ」

//<0859> そう促した。
<0859> そう促した。

//<0860> nothing
<0860> nothing

//<0861> nothing
<0861> nothing

//<0862> nothing
<0862> nothing

//<0863> nothing
<0863> nothing

//<0864> nothing
<0864> nothing

//<0865> 松下
<0865> 松下

//<0866> 「幹部のみんなは、お前より運動神経が良かった、ということだ」
<0866> 「幹部のみんなは、お前より運動神経が良かった、ということだ」

//<0867> 戦線全員の顔が走馬燈のように脳裏に走る。
<0867> 戦線全員の顔が走馬燈のように脳裏に走る。

//<0868> 音無
<0868> 音無

//<0869> クソ坊主
<0869> クソ坊主

//<0870> 代理人
<0870> 代理人

//<0871> 微妙すぎるイケメン
<0871> 微妙すぎるイケメン

//<0872> ロリコン
<0872> ロリコン

//<0873> メガネ仲間
<0873> メガネ仲間

//<0874> 暗算日本記録保持者
<0874> 暗算日本記録保持者

//<0875> 通り魔
<0875> 通り魔

//<0876> 記憶ナシ男
<0876> 記憶ナシ男

//<0877> 音速
<0877> 音速

//<0878> 無限
<0878> 無限

//<0879> エロ侍
<0879> エロ侍

//<0880> エロエロ団ナンバー１
<0880> エロエロ団ナンバー１

//<0881> ただのエロ少年
<0881> ただのエロ少年

//<0882> ユリブサイク
<0882> ユリブサイク

//<0883> ドピュッシー
<0883> ドピュッシー

//<0884> アメリカンエロドッグ
<0884> アメリカンエロドッグ

//<0885> ゼウス
<0885> ゼウス

//<0886> 日向markⅡ
<0886> 日向markⅡ

//<0887> 糞虫
<0887> 糞虫

//<0888> 量産型日向
<0888> 量産型日向

//<0889> ？？
<0889> ？？

//<0890> 「あの、大山もかよ！？」
<0890> 「あの、大山もかよ！？」

//<0891> nothing
<0891> nothing

//<0892> nothing
<0892> nothing

//<0893> nothing
<0893> nothing

//<0894> nothing
<0894> nothing

//<0895> nothing
<0895> nothing

//<0896> 松下
<0896> 松下

//<0897> 「ああ。地味に運動神経は良かった」
<0897> 「ああ。地味に運動神経は良かった」

//<0898> 音無
<0898> 音無

//<0899> クソ坊主
<0899> クソ坊主

//<0900> 代理人
<0900> 代理人

//<0901> 微妙すぎるイケメン
<0901> 微妙すぎるイケメン

//<0902> ロリコン
<0902> ロリコン

//<0903> メガネ仲間
<0903> メガネ仲間

//<0904> 暗算日本記録保持者
<0904> 暗算日本記録保持者

//<0905> 通り魔
<0905> 通り魔

//<0906> 記憶ナシ男
<0906> 記憶ナシ男

//<0907> 音速
<0907> 音速

//<0908> 無限
<0908> 無限

//<0909> エロ侍
<0909> エロ侍

//<0910> エロエロ団ナンバー１
<0910> エロエロ団ナンバー１

//<0911> ただのエロ少年
<0911> ただのエロ少年

//<0912> ユリブサイク
<0912> ユリブサイク

//<0913> ドピュッシー
<0913> ドピュッシー

//<0914> アメリカンエロドッグ
<0914> アメリカンエロドッグ

//<0915> ゼウス
<0915> ゼウス

//<0916> 日向markⅡ
<0916> 日向markⅡ

//<0917> 糞虫
<0917> 糞虫

//<0918> 量産型日向
<0918> 量産型日向

//<0919> ？？
<0919> ？？

//<0920> 「じゃあ、岩沢は！？」
<0920> 「じゃあ、岩沢は！？」

//<0921> nothing
<0921> nothing

//<0922> nothing
<0922> nothing

//<0923> nothing
<0923> nothing

//<0924> nothing
<0924> nothing

//<0925> nothing
<0925> nothing

//<0926> 松下
<0926> 松下

//<0927> 「岩沢は陽動部隊の一員として、守られる立場だから、教えていない」
<0927> 「岩沢は陽動部隊の一員として、守られる立場だから、教えていない」

//<0928> 音無
<0928> 音無

//<0929> クソ坊主
<0929> クソ坊主

//<0930> 代理人
<0930> 代理人

//<0931> 微妙すぎるイケメン
<0931> 微妙すぎるイケメン

//<0932> ロリコン
<0932> ロリコン

//<0933> メガネ仲間
<0933> メガネ仲間

//<0934> 暗算日本記録保持者
<0934> 暗算日本記録保持者

//<0935> 通り魔
<0935> 通り魔

//<0936> 記憶ナシ男
<0936> 記憶ナシ男

//<0937> 音速
<0937> 音速

//<0938> 無限
<0938> 無限

//<0939> エロ侍
<0939> エロ侍

//<0940> エロエロ団ナンバー１
<0940> エロエロ団ナンバー１

//<0941> ただのエロ少年
<0941> ただのエロ少年

//<0942> ユリブサイク
<0942> ユリブサイク

//<0943> ドピュッシー
<0943> ドピュッシー

//<0944> アメリカンエロドッグ
<0944> アメリカンエロドッグ

//<0945> ゼウス
<0945> ゼウス

//<0946> 日向markⅡ
<0946> 日向markⅡ

//<0947> 糞虫
<0947> 糞虫

//<0948> 量産型日向
<0948> 量産型日向

//<0949> ？？
<0949> ？？

//<0950> 「でも、あの大山より、運動神経がなかったって…俺の生前はどれだけ脆弱な体だったんだよ…」
<0950> 「でも、あの大山より、運動神経がなかったって…俺の生前はどれだけ脆弱な体だったんだよ…」

//<0951> nothing
<0951> nothing

//<0952> nothing
<0952> nothing

//<0953> nothing
<0953> nothing

//<0954> nothing
<0954> nothing

//<0955> nothing
<0955> nothing

//<0956> 松下
<0956> 松下

//<0957> 「それは俺にもわからない。とにかく、数をこなしていくことだな」
<0957> 「それは俺にもわからない。とにかく、数をこなしていくことだな」

//<0958> 音無
<0958> 音無

//<0959> クソ坊主
<0959> クソ坊主

//<0960> 代理人
<0960> 代理人

//<0961> 微妙すぎるイケメン
<0961> 微妙すぎるイケメン

//<0962> ロリコン
<0962> ロリコン

//<0963> メガネ仲間
<0963> メガネ仲間

//<0964> 暗算日本記録保持者
<0964> 暗算日本記録保持者

//<0965> 通り魔
<0965> 通り魔

//<0966> 記憶ナシ男
<0966> 記憶ナシ男

//<0967> 音速
<0967> 音速

//<0968> 無限
<0968> 無限

//<0969> エロ侍
<0969> エロ侍

//<0970> エロエロ団ナンバー１
<0970> エロエロ団ナンバー１

//<0971> ただのエロ少年
<0971> ただのエロ少年

//<0972> ユリブサイク
<0972> ユリブサイク

//<0973> ドピュッシー
<0973> ドピュッシー

//<0974> アメリカンエロドッグ
<0974> アメリカンエロドッグ

//<0975> ゼウス
<0975> ゼウス

//<0976> 日向markⅡ
<0976> 日向markⅡ

//<0977> 糞虫
<0977> 糞虫

//<0978> 量産型日向
<0978> 量産型日向

//<0979> ？？
<0979> ？？

//<0980> 「わかったよ…」
<0980> 「わかったよ…」

//<0981> 音無
<0981> 音無

//<0982> クソ坊主
<0982> クソ坊主

//<0983> 代理人
<0983> 代理人

//<0984> 微妙すぎるイケメン
<0984> 微妙すぎるイケメン

//<0985> ロリコン
<0985> ロリコン

//<0986> メガネ仲間
<0986> メガネ仲間

//<0987> 暗算日本記録保持者
<0987> 暗算日本記録保持者

//<0988> 通り魔
<0988> 通り魔

//<0989> 記憶ナシ男
<0989> 記憶ナシ男

//<0990> 音速
<0990> 音速

//<0991> 無限
<0991> 無限

//<0992> エロ侍
<0992> エロ侍

//<0993> エロエロ団ナンバー１
<0993> エロエロ団ナンバー１

//<0994> ただのエロ少年
<0994> ただのエロ少年

//<0995> ユリブサイク
<0995> ユリブサイク

//<0996> ドピュッシー
<0996> ドピュッシー

//<0997> アメリカンエロドッグ
<0997> アメリカンエロドッグ

//<0998> ゼウス
<0998> ゼウス

//<0999> 日向markⅡ
<0999> 日向markⅡ

//<1000> 糞虫
<1000> 糞虫

//<1001> 量産型日向
<1001> 量産型日向

//<1002> ？？
<1002> ？？

//<1003> 「あのさ、とりあえず、受け身を教えてくれないか？」
<1003> 「あのさ、とりあえず、受け身を教えてくれないか？」

//<1004> nothing
<1004> nothing

//<1005> nothing
<1005> nothing

//<1006> nothing
<1006> nothing

//<1007> nothing
<1007> nothing

//<1008> nothing
<1008> nothing

//<1009> 松下
<1009> 松下

//<1010> 「ふぅむ…」
<1010> 「ふぅむ…」

//<1011> 松下五段は目を閉じ、しばし思いを巡らす。それが、かっ！と見開く。
<1011> 松下五段は目を閉じ、しばし思いを巡らす。それが、かっ！と見開く。

//<1012> nothing
<1012> nothing

//<1013> nothing
<1013> nothing

//<1014> nothing
<1014> nothing

//<1015> nothing
<1015> nothing

//<1016> nothing
<1016> nothing

//<1017> 松下
<1017> 松下

//<1018> 「確かに、そうだ！」
<1018> 「確かに、そうだ！」

//<1019> nothing
<1019> nothing

//<1020> nothing
<1020> nothing

//<1021> nothing
<1021> nothing

//<1022> nothing
<1022> nothing

//<1023> nothing
<1023> nothing

//<1024> 松下
<1024> 松下

//<1025> 「この世界では翌朝には怪我は治ってしまうものだから、それに慣れてしまっていた…」
<1025> 「この世界では翌朝には怪我は治ってしまうものだから、それに慣れてしまっていた…」

//<1026> nothing
<1026> nothing

//<1027> nothing
<1027> nothing

//<1028> nothing
<1028> nothing

//<1029> nothing
<1029> nothing

//<1030> nothing
<1030> nothing

//<1031> 松下
<1031> 松下

//<1032> 「受け身は大事だ。乱取りより先に教えるべきだった…すまん」
<1032> 「受け身は大事だ。乱取りより先に教えるべきだった…すまん」

//<1033> 音無
<1033> 音無

//<1034> クソ坊主
<1034> クソ坊主

//<1035> 代理人
<1035> 代理人

//<1036> 微妙すぎるイケメン
<1036> 微妙すぎるイケメン

//<1037> ロリコン
<1037> ロリコン

//<1038> メガネ仲間
<1038> メガネ仲間

//<1039> 暗算日本記録保持者
<1039> 暗算日本記録保持者

//<1040> 通り魔
<1040> 通り魔

//<1041> 記憶ナシ男
<1041> 記憶ナシ男

//<1042> 音速
<1042> 音速

//<1043> 無限
<1043> 無限

//<1044> エロ侍
<1044> エロ侍

//<1045> エロエロ団ナンバー１
<1045> エロエロ団ナンバー１

//<1046> ただのエロ少年
<1046> ただのエロ少年

//<1047> ユリブサイク
<1047> ユリブサイク

//<1048> ドピュッシー
<1048> ドピュッシー

//<1049> アメリカンエロドッグ
<1049> アメリカンエロドッグ

//<1050> ゼウス
<1050> ゼウス

//<1051> 日向markⅡ
<1051> 日向markⅡ

//<1052> 糞虫
<1052> 糞虫

//<1053> 量産型日向
<1053> 量産型日向

//<1054> ？？
<1054> ？？

//<1055> 「いや、謝らなくてもいいけど…」
<1055> 「いや、謝らなくてもいいけど…」

//<1056> nothing
<1056> nothing

//<1057> nothing
<1057> nothing

//<1058> nothing
<1058> nothing

//<1059> nothing
<1059> nothing

//<1060> nothing
<1060> nothing

//<1061> 松下
<1061> 松下

//<1062> 「では、まず後ろ受け身から始めよう」
<1062> 「では、まず後ろ受け身から始めよう」

//<1063> 音無
<1063> 音無

//<1064> クソ坊主
<1064> クソ坊主

//<1065> 代理人
<1065> 代理人

//<1066> 微妙すぎるイケメン
<1066> 微妙すぎるイケメン

//<1067> ロリコン
<1067> ロリコン

//<1068> メガネ仲間
<1068> メガネ仲間

//<1069> 暗算日本記録保持者
<1069> 暗算日本記録保持者

