// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 素っ気なく本部を後にする岩沢を追う。
<0000> 素っ気なく本部を後にする岩沢を追う。
//<0540> 騒がしいが、ガルデモチームには加入できたようだ。
<0540> 騒がしいが、ガルデモチームには加入できたようだ。

//<0541> 音無
<0541> 音無

//<0542> クソ坊主
<0542> クソ坊主

//<0543> 代理人
<0543> 代理人

//<0544> 微妙すぎるイケメン
<0544> 微妙すぎるイケメン

//<0545> ロリコン
<0545> ロリコン

//<0546> メガネ仲間
<0546> メガネ仲間

//<0547> 暗算日本記録保持者
<0547> 暗算日本記録保持者

//<0548> 通り魔
<0548> 通り魔

//<0549> 記憶ナシ男
<0549> 記憶ナシ男

//<0550> 音速
<0550> 音速

//<0551> 無限
<0551> 無限

//<0552> エロ侍
<0552> エロ侍

//<0553> エロエロ団ナンバー１
<0553> エロエロ団ナンバー１

//<0554> ただのエロ少年
<0554> ただのエロ少年

//<0555> ユリブサイク
<0555> ユリブサイク

//<0556> ドピュッシー
<0556> ドピュッシー

//<0557> アメリカンエロドッグ
<0557> アメリカンエロドッグ

//<0558> ゼウス
<0558> ゼウス

//<0559> 日向markⅡ
<0559> 日向markⅡ

//<0560> 糞虫
<0560> 糞虫

//<0561> 量産型日向
<0561> 量産型日向

//<0562> ？？
<0562> ？？

//<0563> 「運動神経はそう悪くないはずだから、役に立つと思うぜ？」
<0563> 「運動神経はそう悪くないはずだから、役に立つと思うぜ？」

//<0564> nothing
<0564> nothing

//<0565> nothing
<0565> nothing

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> ひさ子
<0569> ひさ子

//<0570> 「ギルド降下作戦で、トラップ稼働中にも関わらず、ゆりと唯一最下層まで辿り着いたって話は聞いてるし、そうなのかもな」
<0570> 「ギルド降下作戦で、トラップ稼働中にも関わらず、ゆりと唯一最下層まで辿り着いたって話は聞いてるし、そうなのかもな」

//<0571> 岩沢
<0571> 岩沢

//<0572> 「だったら、ＯＫだな」
<0572> 「だったら、ＯＫだな」

//<0573> nothing
<0573> nothing

//<0574> nothing
<0574> nothing

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> nothing
<0577> nothing

//<0578> ひさ子
<0578> ひさ子

//<0579> 「ああ。頑張ってくれよな」
<0579> 「ああ。頑張ってくれよな」

//<0580> nothing
<0580> nothing

//<0581> nothing
<0581> nothing

//<0582> nothing
<0582> nothing

//<0583> nothing
<0583> nothing

//<0584> nothing
<0584> nothing

//<0585> nothing
<0585> nothing

//<0586> ガルデモチームに加入した。
<0586> ガルデモチームに加入した。

//<0587> nothing
<0587> nothing

//<0588> nothing
<0588> nothing

//<0589> nothing
<0589> nothing

//<0590> nothing
<0590> nothing

//<0591> nothing
<0591> nothing

//<0592> ひさ子
<0592> ひさ子
{14397} 33 // 0592

//<0593> 「すると、後四人か…。去年参加してくれたＮＰＣはまだこの世界に居るのか？」
<0593> 「すると、後四人か…。去年参加してくれたＮＰＣはまだこの世界に居るのか？」

//<0594> nothing
<0594> nothing

//<0595> nothing
<0595> nothing

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> 入江
<0599> 入江

//<0600> 「残る四人はまだ三年生なので、居るはずです」
<0600> 「残る四人はまだ三年生なので、居るはずです」

//<0601> nothing
<0601> nothing

//<0602> nothing
<0602> nothing

//<0603> nothing
<0603> nothing

//<0604> nothing
<0604> nothing

//<0605> 岩沢
<0605> 岩沢

//<0606> 「じゃあ音無が入ってくれたら、ちょうど九人だ。だったら、問題ないな」
<0606> 「じゃあ音無が入ってくれたら、ちょうど九人だ。だったら、問題ないな」

//<0607> 音無
<0607> 音無

//<0608> クソ坊主
<0608> クソ坊主

//<0609> 代理人
<0609> 代理人

//<0610> 微妙すぎるイケメン
<0610> 微妙すぎるイケメン

//<0611> ロリコン
<0611> ロリコン

//<0612> メガネ仲間
<0612> メガネ仲間

//<0613> 暗算日本記録保持者
<0613> 暗算日本記録保持者

//<0614> 通り魔
<0614> 通り魔

//<0615> 記憶ナシ男
<0615> 記憶ナシ男

//<0616> 音速
<0616> 音速

//<0617> 無限
<0617> 無限

//<0618> エロ侍
<0618> エロ侍

//<0619> エロエロ団ナンバー１
<0619> エロエロ団ナンバー１

//<0620> ただのエロ少年
<0620> ただのエロ少年

//<0621> ユリブサイク
<0621> ユリブサイク

//<0622> ドピュッシー
<0622> ドピュッシー

//<0623> アメリカンエロドッグ
<0623> アメリカンエロドッグ

//<0624> ゼウス
<0624> ゼウス

//<0625> 日向markⅡ
<0625> 日向markⅡ

//<0626> 糞虫
<0626> 糞虫

//<0627> 量産型日向
<0627> 量産型日向

//<0628> ？？
<0628> ？？

//<0629> 「それは、どんな連中なんだ？」
<0629> 「それは、どんな連中なんだ？」

//<0630> nothing
<0630> nothing

//<0631> nothing
<0631> nothing

//<0632> nothing
<0632> nothing

//<0633> nothing
<0633> nothing

//<0634> nothing
<0634> nothing

//<0635> ひさ子
<0635> ひさ子

//<0636> 「野球部には入ってないけど、野球経験者のうちらのファンだよ」
<0636> 「野球部には入ってないけど、野球経験者のうちらのファンだよ」

//<0637> 音無
<0637> 音無

//<0638> クソ坊主
<0638> クソ坊主

//<0639> 代理人
<0639> 代理人

//<0640> 微妙すぎるイケメン
<0640> 微妙すぎるイケメン

//<0641> ロリコン
<0641> ロリコン

//<0642> メガネ仲間
<0642> メガネ仲間

//<0643> 暗算日本記録保持者
<0643> 暗算日本記録保持者

//<0644> 通り魔
<0644> 通り魔

//<0645> 記憶ナシ男
<0645> 記憶ナシ男

//<0646> 音速
<0646> 音速

//<0647> 無限
<0647> 無限

//<0648> エロ侍
<0648> エロ侍

//<0649> エロエロ団ナンバー１
<0649> エロエロ団ナンバー１

//<0650> ただのエロ少年
<0650> ただのエロ少年

//<0651> ユリブサイク
<0651> ユリブサイク

//<0652> ドピュッシー
<0652> ドピュッシー

//<0653> アメリカンエロドッグ
<0653> アメリカンエロドッグ

//<0654> ゼウス
<0654> ゼウス

//<0655> 日向markⅡ
<0655> 日向markⅡ

//<0656> 糞虫
<0656> 糞虫

//<0657> 量産型日向
<0657> 量産型日向

//<0658> ？？
<0658> ？？

//<0659> 「そいつらは男なのか？」
<0659> 「そいつらは男なのか？」

//<0660> nothing
<0660> nothing

//<0661> nothing
<0661> nothing

//<0662> nothing
<0662> nothing

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> ひさ子
<0665> ひさ子

//<0666> 「ああ。全員男だ」
<0666> 「ああ。全員男だ」

//<0667> nothing
<0667> nothing

//<0668> nothing
<0668> nothing

//<0669> nothing
<0669> nothing

//<0670> nothing
<0670> nothing

//<0671> nothing
<0671> nothing

//<0672> nothing
<0672> nothing

//<0673> 音無
<0673> 音無

//<0674> クソ坊主
<0674> クソ坊主

//<0675> 代理人
<0675> 代理人

//<0676> 微妙すぎるイケメン
<0676> 微妙すぎるイケメン

//<0677> ロリコン
<0677> ロリコン

//<0678> メガネ仲間
<0678> メガネ仲間

//<0679> 暗算日本記録保持者
<0679> 暗算日本記録保持者

//<0680> 通り魔
<0680> 通り魔

//<0681> 記憶ナシ男
<0681> 記憶ナシ男

//<0682> 音速
<0682> 音速

//<0683> 無限
<0683> 無限

//<0684> エロ侍
<0684> エロ侍

//<0685> エロエロ団ナンバー１
<0685> エロエロ団ナンバー１

//<0686> ただのエロ少年
<0686> ただのエロ少年

//<0687> ユリブサイク
<0687> ユリブサイク

//<0688> ドピュッシー
<0688> ドピュッシー

//<0689> アメリカンエロドッグ
<0689> アメリカンエロドッグ

//<0690> ゼウス
<0690> ゼウス

//<0691> 日向markⅡ
<0691> 日向markⅡ

//<0692> 糞虫
<0692> 糞虫

//<0693> 量産型日向
<0693> 量産型日向

//<0694> ？？
<0694> ？？

//<0695> （なんだ、この気持ちは…）
<0695> （なんだ、この気持ちは…）

//<0696> 音無
<0696> 音無

//<0697> クソ坊主
<0697> クソ坊主

//<0698> 代理人
<0698> 代理人

//<0699> 微妙すぎるイケメン
<0699> 微妙すぎるイケメン

//<0700> ロリコン
<0700> ロリコン

//<0701> メガネ仲間
<0701> メガネ仲間

//<0702> 暗算日本記録保持者
<0702> 暗算日本記録保持者

//<0703> 通り魔
<0703> 通り魔

//<0704> 記憶ナシ男
<0704> 記憶ナシ男

//<0705> 音速
<0705> 音速

//<0706> 無限
<0706> 無限

//<0707> エロ侍
<0707> エロ侍

//<0708> エロエロ団ナンバー１
<0708> エロエロ団ナンバー１

//<0709> ただのエロ少年
<0709> ただのエロ少年

//<0710> ユリブサイク
<0710> ユリブサイク

//<0711> ドピュッシー
<0711> ドピュッシー

//<0712> アメリカンエロドッグ
<0712> アメリカンエロドッグ

//<0713> ゼウス
<0713> ゼウス

//<0714> 日向markⅡ
<0714> 日向markⅡ

//<0715> 糞虫
<0715> 糞虫

//<0716> 量産型日向
<0716> 量産型日向

//<0717> ？？
<0717> ？？

//<0718> （まさか、俺は嫉妬しているのか？　俺以外の男が岩沢に近づくことに…）
<0718> （まさか、俺は嫉妬しているのか？　俺以外の男が岩沢に近づくことに…）

//<0719> 音無
<0719> 音無

//<0720> クソ坊主
<0720> クソ坊主

//<0721> 代理人
<0721> 代理人

//<0722> 微妙すぎるイケメン
<0722> 微妙すぎるイケメン

//<0723> ロリコン
<0723> ロリコン

//<0724> メガネ仲間
<0724> メガネ仲間

//<0725> 暗算日本記録保持者
<0725> 暗算日本記録保持者

//<0726> 通り魔
<0726> 通り魔

//<0727> 記憶ナシ男
<0727> 記憶ナシ男

//<0728> 音速
<0728> 音速

//<0729> 無限
<0729> 無限

//<0730> エロ侍
<0730> エロ侍

//<0731> エロエロ団ナンバー１
<0731> エロエロ団ナンバー１

//<0732> ただのエロ少年
<0732> ただのエロ少年

//<0733> ユリブサイク
<0733> ユリブサイク

//<0734> ドピュッシー
<0734> ドピュッシー

//<0735> アメリカンエロドッグ
<0735> アメリカンエロドッグ

//<0736> ゼウス
<0736> ゼウス

//<0737> 日向markⅡ
<0737> 日向markⅡ

//<0738> 糞虫
<0738> 糞虫

//<0739> 量産型日向
<0739> 量産型日向

//<0740> ？？
<0740> ？？

//<0741> 「えっ…」
<0741> 「えっ…」

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> nothing
<0745> nothing

//<0746> nothing
<0746> nothing

//<0747> 岩沢
<0747> 岩沢

//<0748> 「どうした、音無？」
<0748> 「どうした、音無？」

//<0749> 野球以外ないのか
<0749> 野球以外ないのか

//<0750> 問題ない
<0750> 問題ない

//<0751> selbtn : 
<0751> selbtn : 

//<0752> 音無
<0752> 音無

//<0753> クソ坊主
<0753> クソ坊主

//<0754> 代理人
<0754> 代理人

//<0755> 微妙すぎるイケメン
<0755> 微妙すぎるイケメン

//<0756> ロリコン
<0756> ロリコン

//<0757> メガネ仲間
<0757> メガネ仲間

//<0758> 暗算日本記録保持者
<0758> 暗算日本記録保持者

//<0759> 通り魔
<0759> 通り魔

//<0760> 記憶ナシ男
<0760> 記憶ナシ男

//<0761> 音速
<0761> 音速

//<0762> 無限
<0762> 無限

//<0763> エロ侍
<0763> エロ侍

//<0764> エロエロ団ナンバー１
<0764> エロエロ団ナンバー１

//<0765> ただのエロ少年
<0765> ただのエロ少年

//<0766> ユリブサイク
<0766> ユリブサイク

//<0767> ドピュッシー
<0767> ドピュッシー

//<0768> アメリカンエロドッグ
<0768> アメリカンエロドッグ

//<0769> ゼウス
<0769> ゼウス

//<0770> 日向markⅡ
<0770> 日向markⅡ

//<0771> 糞虫
<0771> 糞虫

//<0772> 量産型日向
<0772> 量産型日向

//<0773> ？？
<0773> ？？

//<0774> 「ええと、球技大会ってのは、野球だけしかないのか？」
<0774> 「ええと、球技大会ってのは、野球だけしかないのか？」

//<0775> nothing
<0775> nothing

//<0776> nothing
<0776> nothing

//<0777> nothing
<0777> nothing

//<0778> nothing
<0778> nothing

//<0779> nothing
<0779> nothing

//<0780> ひさ子
<0780> ひさ子

//<0781> 「あるよ。バスケとバレーがな」
<0781> 「あるよ。バスケとバレーがな」

//<0782> 音無
<0782> 音無

//<0783> クソ坊主
<0783> クソ坊主

//<0784> 代理人
<0784> 代理人

//<0785> 微妙すぎるイケメン
<0785> 微妙すぎるイケメン

//<0786> ロリコン
<0786> ロリコン

//<0787> メガネ仲間
<0787> メガネ仲間

//<0788> 暗算日本記録保持者
<0788> 暗算日本記録保持者

//<0789> 通り魔
<0789> 通り魔

//<0790> 記憶ナシ男
<0790> 記憶ナシ男

//<0791> 音速
<0791> 音速

//<0792> 無限
<0792> 無限

//<0793> エロ侍
<0793> エロ侍

//<0794> エロエロ団ナンバー１
<0794> エロエロ団ナンバー１

//<0795> ただのエロ少年
<0795> ただのエロ少年

//<0796> ユリブサイク
<0796> ユリブサイク

//<0797> ドピュッシー
<0797> ドピュッシー

//<0798> アメリカンエロドッグ
<0798> アメリカンエロドッグ

//<0799> ゼウス
<0799> ゼウス

//<0800> 日向markⅡ
<0800> 日向markⅡ

//<0801> 糞虫
<0801> 糞虫

//<0802> 量産型日向
<0802> 量産型日向

//<0803> ？？
<0803> ？？

//<0804> 「バスケなら、ここに居る五人で足りるじゃないか」
<0804> 「バスケなら、ここに居る五人で足りるじゃないか」

//<0805> しかも、バスケだと運動量が多く、ゴール下で味方同士で密接することもよくある…。
<0805> しかも、バスケだと運動量が多く、ゴール下で味方同士で密接することもよくある…。

//<0806> 音無
<0806> 音無

//<0807> クソ坊主
<0807> クソ坊主

//<0808> 代理人
<0808> 代理人

//<0809> 微妙すぎるイケメン
<0809> 微妙すぎるイケメン

//<0810> ロリコン
<0810> ロリコン

//<0811> メガネ仲間
<0811> メガネ仲間

//<0812> 暗算日本記録保持者
<0812> 暗算日本記録保持者

//<0813> 通り魔
<0813> 通り魔

//<0814> 記憶ナシ男
<0814> 記憶ナシ男

//<0815> 音速
<0815> 音速

//<0816> 無限
<0816> 無限

//<0817> エロ侍
<0817> エロ侍

//<0818> エロエロ団ナンバー１
<0818> エロエロ団ナンバー１

//<0819> ただのエロ少年
<0819> ただのエロ少年

//<0820> ユリブサイク
<0820> ユリブサイク

//<0821> ドピュッシー
<0821> ドピュッシー

//<0822> アメリカンエロドッグ
<0822> アメリカンエロドッグ

//<0823> ゼウス
<0823> ゼウス

//<0824> 日向markⅡ
<0824> 日向markⅡ

//<0825> 糞虫
<0825> 糞虫

//<0826> 量産型日向
<0826> 量産型日向

//<0827> ？？
<0827> ？？

//<0828> （汗だらけの岩沢と密着したい…！）
<0828> （汗だらけの岩沢と密着したい…！）

//<0829> nothing
<0829> nothing

//<0830> nothing
<0830> nothing

//<0831> nothing
<0831> nothing

//<0832> nothing
<0832> nothing

//<0833> nothing
<0833> nothing

//<0834> ひさ子
<0834> ひさ子

//<0835> 「けど、ゆりいわく、一番派手な野球での参戦しか許されていない」
<0835> 「けど、ゆりいわく、一番派手な野球での参戦しか許されていない」

//<0836> 音無
<0836> 音無

//<0837> クソ坊主
<0837> クソ坊主

//<0838> 代理人
<0838> 代理人

//<0839> 微妙すぎるイケメン
<0839> 微妙すぎるイケメン

//<0840> ロリコン
<0840> ロリコン

//<0841> メガネ仲間
<0841> メガネ仲間

//<0842> 暗算日本記録保持者
<0842> 暗算日本記録保持者

//<0843> 通り魔
<0843> 通り魔

//<0844> 記憶ナシ男
<0844> 記憶ナシ男

//<0845> 音速
<0845> 音速

//<0846> 無限
<0846> 無限

//<0847> エロ侍
<0847> エロ侍

//<0848> エロエロ団ナンバー１
<0848> エロエロ団ナンバー１

//<0849> ただのエロ少年
<0849> ただのエロ少年

//<0850> ユリブサイク
<0850> ユリブサイク

//<0851> ドピュッシー
<0851> ドピュッシー

//<0852> アメリカンエロドッグ
<0852> アメリカンエロドッグ

//<0853> ゼウス
<0853> ゼウス

//<0854> 日向markⅡ
<0854> 日向markⅡ

//<0855> 糞虫
<0855> 糞虫

//<0856> 量産型日向
<0856> 量産型日向

//<0857> ？？
<0857> ？？

//<0858> 「ええええぇぇぇええぇぇぇええーーー！？」
<0858> 「ええええぇぇぇええぇぇぇええーーー！？」

//<0859> nothing
<0859> nothing

//<0860> nothing
<0860> nothing

//<0861> nothing
<0861> nothing

//<0862> nothing
<0862> nothing

//<0863> nothing
<0863> nothing

//<0864> ひさ子
<0864> ひさ子

//<0865> 「どれだけショックを受けてんだよ…」
<0865> 「どれだけショックを受けてんだよ…」

//<0866> 音無
<0866> 音無

//<0867> クソ坊主
<0867> クソ坊主

//<0868> 代理人
<0868> 代理人

//<0869> 微妙すぎるイケメン
<0869> 微妙すぎるイケメン

//<0870> ロリコン
<0870> ロリコン

//<0871> メガネ仲間
<0871> メガネ仲間

//<0872> 暗算日本記録保持者
<0872> 暗算日本記録保持者

//<0873> 通り魔
<0873> 通り魔

//<0874> 記憶ナシ男
<0874> 記憶ナシ男

//<0875> 音速
<0875> 音速

//<0876> 無限
<0876> 無限

//<0877> エロ侍
<0877> エロ侍

//<0878> エロエロ団ナンバー１
<0878> エロエロ団ナンバー１

//<0879> ただのエロ少年
<0879> ただのエロ少年

//<0880> ユリブサイク
<0880> ユリブサイク

//<0881> ドピュッシー
<0881> ドピュッシー

//<0882> アメリカンエロドッグ
<0882> アメリカンエロドッグ

//<0883> ゼウス
<0883> ゼウス

//<0884> 日向markⅡ
<0884> 日向markⅡ

//<0885> 糞虫
<0885> 糞虫

//<0886> 量産型日向
<0886> 量産型日向

//<0887> ？？
<0887> ？？

//<0888> 「それだけの理由でかよ…」
<0888> 「それだけの理由でかよ…」

//<0889> 岩沢
<0889> 岩沢

//<0890> 「バスケの経験もないしな」
<0890> 「バスケの経験もないしな」

//<0891> nothing
<0891> nothing

//<0892> nothing
<0892> nothing

//<0893> nothing
<0893> nothing

//<0894> nothing
<0894> nothing

//<0895> nothing
<0895> nothing

//<0896> ひさ子
<0896> ひさ子
{1a92a} 33 // 0896

//<0897> 「そういうこと。じゃ、早速メンバー集め、入江、関根、よろしくな」
<0897> 「そういうこと。じゃ、早速メンバー集め、入江、関根、よろしくな」

//<0898> nothing
<0898> nothing

//<0899> nothing
<0899> nothing

//<0900> nothing
<0900> nothing

//<0901> nothing
<0901> nothing

//<0902> nothing
<0902> nothing

//<0903> 音無
<0903> 音無

//<0904> クソ坊主
<0904> クソ坊主

//<0905> 代理人
<0905> 代理人

//<0906> 微妙すぎるイケメン
<0906> 微妙すぎるイケメン

//<0907> ロリコン
<0907> ロリコン

//<0908> メガネ仲間
<0908> メガネ仲間

//<0909> 暗算日本記録保持者
<0909> 暗算日本記録保持者

//<0910> 通り魔
<0910> 通り魔

//<0911> 記憶ナシ男
<0911> 記憶ナシ男

//<0912> 音速
<0912> 音速

//<0913> 無限
<0913> 無限

//<0914> エロ侍
<0914> エロ侍

//<0915> エロエロ団ナンバー１
<0915> エロエロ団ナンバー１

//<0916> ただのエロ少年
<0916> ただのエロ少年

//<0917> ユリブサイク
<0917> ユリブサイク

//<0918> ドピュッシー
<0918> ドピュッシー

//<0919> アメリカンエロドッグ
<0919> アメリカンエロドッグ

//<0920> ゼウス
<0920> ゼウス

//<0921> 日向markⅡ
<0921> 日向markⅡ

//<0922> 糞虫
<0922> 糞虫

//<0923> 量産型日向
<0923> 量産型日向

//<0924> ？？
<0924> ？？

//<0925> 「問題ない。むしろ女子が多すぎるから、そうすべきだ」
<0925> 「問題ない。むしろ女子が多すぎるから、そうすべきだ」

//<0926> nothing
<0926> nothing

//<0927> nothing
<0927> nothing

//<0928> nothing
<0928> nothing

//<0929> nothing
<0929> nothing

//<0930> nothing
<0930> nothing

//<0931> ひさ子
<0931> ひさ子

//<0932> 「だろ？」
<0932> 「だろ？」

//<0933> nothing
<0933> nothing

//<0934> nothing
<0934> nothing

//<0935> nothing
<0935> nothing

//<0936> nothing
<0936> nothing

//<0937> nothing
<0937> nothing

//<0938> ひさ子
<0938> ひさ子

//<0939> 「メンバーはそうすっか。それでいいよな、岩沢？」
<0939> 「メンバーはそうすっか。それでいいよな、岩沢？」

//<0940> 岩沢
<0940> 岩沢

//<0941> 「お前がそう言うなら、いいよ」
<0941> 「お前がそう言うなら、いいよ」

//<0942> nothing
<0942> nothing

//<0943> nothing
<0943> nothing

//<0944> nothing
<0944> nothing

//<0945> nothing
<0945> nothing

//<0946> nothing
<0946> nothing

//<0947> ひさ子
<0947> ひさ子

//<0948> 「じゃ、入江、関根、早速メンバー集めよろしくな」
<0948> 「じゃ、入江、関根、早速メンバー集めよろしくな」

//<0949> nothing
<0949> nothing

//<0950> nothing
<0950> nothing

//<0951> nothing
<0951> nothing

//<0952> nothing
<0952> nothing

//<0953> ２人
<0953> ２人

//<0954> 入江
<0954> 入江

//<0955> 「はいっ！」
<0955> 「はいっ！」
{1bf8a} 0f // 0955

//<0956> 関根
<0956> 関根

//<0957> 「らじゃーっ！」
<0957> 「らじゃーっ！」

//<0958> しばらく待っていると、関根と入江が、知らない男たち四人を連れてきた。すでにジャージ姿だ。
<0958> しばらく待っていると、関根と入江が、知らない男たち四人を連れてきた。すでにジャージ姿だ。

//<0959> ファンＡ
<0959> ファンＡ

//<0960> 「また一緒に戦えることになるとは…」
<0960> 「また一緒に戦えることになるとは…」

//<0961> ファンＢ
<0961> ファンＢ

//<0962> 「この上ない光栄です…」
<0962> 「この上ない光栄です…」

//<0963> ファンＣ
<0963> ファンＣ

//<0964> 「任してください」
<0964> 「任してください」

//<0965> ファンＤ
<0965> ファンＤ

//<0966> 「今度こそ、一勝を！」
<0966> 「今度こそ、一勝を！」

//<0967> nothing
<0967> nothing

//<0968> nothing
<0968> nothing

//<0969> nothing
<0969> nothing

//<0970> nothing
<0970> nothing

//<0971> nothing
<0971> nothing

//<0972> ひさ子
<0972> ひさ子

//<0973> 「ああ、ほどよく頑張ってくれ」
<0973> 「ああ、ほどよく頑張ってくれ」

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> nothing
<0977> nothing

//<0978> nothing
<0978> nothing

//<0979> ひさ子
<0979> ひさ子

//<0980> 「じゃあ、お前ら」
<0980> 「じゃあ、お前ら」

//<0981> ひさ子がファンの四人に向けて。
<0981> ひさ子がファンの四人に向けて。

//<0982> nothing
<0982> nothing

//<0983> nothing
<0983> nothing

//<0984> nothing
<0984> nothing

//<0985> nothing
<0985> nothing

//<0986> nothing
<0986> nothing

//<0987> ひさ子
<0987> ひさ子

//<0988> 「音無に野球のセンスがあるか、テストしてくれ。その後、打順と守備位置を決めてくれ」
<0988> 「音無に野球のセンスがあるか、テストしてくれ。その後、打順と守備位置を決めてくれ」

//<0989> ファン全員
<0989> ファン全員

//<0990> 「はいっ！」
<0990> 「はいっ！」

//<0991> nothing
<0991> nothing

//<0992> nothing
<0992> nothing

//<0993> nothing
<0993> nothing

//<0994> nothing
<0994> nothing

//<0995> nothing
<0995> nothing

//<0996> nothing
<0996> nothing

//<0997> 音無
<0997> 音無

//<0998> クソ坊主
<0998> クソ坊主

//<0999> 代理人
<0999> 代理人

//<1000> 微妙すぎるイケメン
<1000> 微妙すぎるイケメン

//<1001> ロリコン
<1001> ロリコン

//<1002> メガネ仲間
<1002> メガネ仲間

//<1003> 暗算日本記録保持者
<1003> 暗算日本記録保持者

//<1004> 通り魔
<1004> 通り魔

//<1005> 記憶ナシ男
<1005> 記憶ナシ男

//<1006> 音速
<1006> 音速

//<1007> 無限
<1007> 無限

//<1008> エロ侍
<1008> エロ侍

//<1009> エロエロ団ナンバー１
<1009> エロエロ団ナンバー１

//<1010> ただのエロ少年
<1010> ただのエロ少年

//<1011> ユリブサイク
<1011> ユリブサイク

//<1012> ドピュッシー
<1012> ドピュッシー

//<1013> アメリカンエロドッグ
<1013> アメリカンエロドッグ

//<1014> ゼウス
<1014> ゼウス

//<1015> 日向markⅡ
<1015> 日向markⅡ

//<1016> 糞虫
<1016> 糞虫

//<1017> 量産型日向
<1017> 量産型日向

//<1018> ？？
<1018> ？？

//<1019> （何か、入団テストみたいだな…）
<1019> （何か、入団テストみたいだな…）

//<1020> 試されているようで気乗りはしないが、自ら選んだ道だ。やるしかない。
<1020> 試されているようで気乗りはしないが、自ら選んだ道だ。やるしかない。

//<1021> se_hitting_bunt
<1021> se_hitting_bunt

//<1022> se_baserunning
<1022> se_baserunning

//<1023> se_catch
<1023> se_catch

//<1024> se_catch2
<1024> se_catch2

//<1025> 野球場で、すべての守備を試させられる。
<1025> 野球場で、すべての守備を試させられる。

//<1026> se_babox
<1026> se_babox

//<1027> se_swing
<1027> se_swing

//<1028> se_hitting_short
<1028> se_hitting_short

//<1029> その後、フリーバッティングも。
<1029> その後、フリーバッティングも。

//<1030> nothing
<1030> nothing

//<1031> nothing
<1031> nothing

//<1032> nothing
<1032> nothing

//<1033> nothing
<1033> nothing

//<1034> nothing
<1034> nothing

//<1035> ひさ子
<1035> ひさ子

//<1036> 「決まったかい？」
<1036> 「決まったかい？」

//<1037> ファンＡ
<1037> ファンＡ

//<1038> 「はい」
<1038> 「はい」

//<1039> nothing
<1039> nothing

//<1040> nothing
<1040> nothing

//<1041> nothing
<1041> nothing

//<1042> nothing
<1042> nothing

//<1043> nothing
<1043> nothing

//<1044> ひさ子
<1044> ひさ子

//<1045> 「じゃあ、教えてくれ」
<1045> 「じゃあ、教えてくれ」

//<1046> nothing
<1046> nothing

//<1047> nothing
<1047> nothing

//<1048> nothing
<1048> nothing

//<1049> nothing
<1049> nothing

//<1050> nothing
<1050> nothing

//<1051> nothing
<1051> nothing

//<1052> ファンＡ
<1052> ファンＡ

//<1053> 「一番は足の速い、鈴木。守備はセンター」
<1053> 「一番は足の速い、鈴木。守備はセンター」

//<1054> 鈴木
<1054> 鈴木

//<1055> 「ああ、任せてくれ」
<1055> 「ああ、任せてくれ」

//<1056> ファンＡ
<1056> ファンＡ

//<1057> 「二番は手堅く送りバンドが出来る、川相。守備はショート」
<1057> 「二番は手堅く送りバンドが出来る、川相。守備はショート」

//<1058> 川相
<1058> 川相

//<1059> 「よし、きた！」
<1059> 「よし、きた！」

//<1060> 山倉
<1060> 山倉

//<1061> 「そして、三番は山倉こと僕が行く。守備はキャッチャー」
<1061> 「そして、三番は山倉こと僕が行く。守備はキャッチャー」

//<1062> 山倉
<1062> 山倉

//<1063> 「四番は、ホームラン製造器の村田に任せます。守備はサードです」
<1063> 「四番は、ホームラン製造器の村田に任せます。守備はサードです」

//<1064> 村田
<1064> 村田

//<1065> 「よしきたー！！」
<1065> 「よしきたー！！」

//<1066> 山倉
<1066> 山倉

