// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 今日もユイは路上ライブをしているんだろうか。
<0000> 今日もユイは路上ライブをしているんだろうか。
//<0522> 「ああ」
<0522> 「ああ」

//<0523> 音無
<0523> 音無

//<0524> クソ坊主
<0524> クソ坊主

//<0525> 代理人
<0525> 代理人

//<0526> 微妙すぎるイケメン
<0526> 微妙すぎるイケメン

//<0527> ロリコン
<0527> ロリコン

//<0528> メガネ仲間
<0528> メガネ仲間

//<0529> 暗算日本記録保持者
<0529> 暗算日本記録保持者

//<0530> 通り魔
<0530> 通り魔

//<0531> 記憶ナシ男
<0531> 記憶ナシ男

//<0532> 音速
<0532> 音速

//<0533> 無限
<0533> 無限

//<0534> エロ侍
<0534> エロ侍

//<0535> エロエロ団ナンバー１
<0535> エロエロ団ナンバー１

//<0536> ただのエロ少年
<0536> ただのエロ少年

//<0537> ユリブサイク
<0537> ユリブサイク

//<0538> ドピュッシー
<0538> ドピュッシー

//<0539> アメリカンエロドッグ
<0539> アメリカンエロドッグ

//<0540> ゼウス
<0540> ゼウス

//<0541> 日向markⅡ
<0541> 日向markⅡ

//<0542> 糞虫
<0542> 糞虫

//<0543> 量産型日向
<0543> 量産型日向

//<0544> ？？
<0544> ？？

//<0545> 「何者なんだ、あいつは？」
<0545> 「何者なんだ、あいつは？」

//<0546> 岩沢
<0546> 岩沢

//<0547> 「ガルデモの活動をサポートしてくれるユイって奴」
<0547> 「ガルデモの活動をサポートしてくれるユイって奴」

//<0548> 音無
<0548> 音無

//<0549> クソ坊主
<0549> クソ坊主

//<0550> 代理人
<0550> 代理人

//<0551> 微妙すぎるイケメン
<0551> 微妙すぎるイケメン

//<0552> ロリコン
<0552> ロリコン

//<0553> メガネ仲間
<0553> メガネ仲間

//<0554> 暗算日本記録保持者
<0554> 暗算日本記録保持者

//<0555> 通り魔
<0555> 通り魔

//<0556> 記憶ナシ男
<0556> 記憶ナシ男

//<0557> 音速
<0557> 音速

//<0558> 無限
<0558> 無限

//<0559> エロ侍
<0559> エロ侍

//<0560> エロエロ団ナンバー１
<0560> エロエロ団ナンバー１

//<0561> ただのエロ少年
<0561> ただのエロ少年

//<0562> ユリブサイク
<0562> ユリブサイク

//<0563> ドピュッシー
<0563> ドピュッシー

//<0564> アメリカンエロドッグ
<0564> アメリカンエロドッグ

//<0565> ゼウス
<0565> ゼウス

//<0566> 日向markⅡ
<0566> 日向markⅡ

//<0567> 糞虫
<0567> 糞虫

//<0568> 量産型日向
<0568> 量産型日向

//<0569> ？？
<0569> ？？

//<0570> 「ユイ…」
<0570> 「ユイ…」

//<0571> 未だにそいつはギターを弾き、歌い続けている。
<0571> 未だにそいつはギターを弾き、歌い続けている。

//<0572> そう言って、ファンに囲まれているユイの方を見る。
<0572> そう言って、ファンに囲まれているユイの方を見る。

//<0573> 音無
<0573> 音無

//<0574> クソ坊主
<0574> クソ坊主

//<0575> 代理人
<0575> 代理人

//<0576> 微妙すぎるイケメン
<0576> 微妙すぎるイケメン

//<0577> ロリコン
<0577> ロリコン

//<0578> メガネ仲間
<0578> メガネ仲間

//<0579> 暗算日本記録保持者
<0579> 暗算日本記録保持者

//<0580> 通り魔
<0580> 通り魔

//<0581> 記憶ナシ男
<0581> 記憶ナシ男

//<0582> 音速
<0582> 音速

//<0583> 無限
<0583> 無限

//<0584> エロ侍
<0584> エロ侍

//<0585> エロエロ団ナンバー１
<0585> エロエロ団ナンバー１

//<0586> ただのエロ少年
<0586> ただのエロ少年

//<0587> ユリブサイク
<0587> ユリブサイク

//<0588> ドピュッシー
<0588> ドピュッシー

//<0589> アメリカンエロドッグ
<0589> アメリカンエロドッグ

//<0590> ゼウス
<0590> ゼウス

//<0591> 日向markⅡ
<0591> 日向markⅡ

//<0592> 糞虫
<0592> 糞虫

//<0593> 量産型日向
<0593> 量産型日向

//<0594> ？？
<0594> ？？

//<0595> 「あいつがここで路上ライブしてるの知ってたのか？」
<0595> 「あいつがここで路上ライブしてるの知ってたのか？」

//<0596> 岩沢
<0596> 岩沢

//<0597> 「たまに、風に乗って音が流れてきていたからね」
<0597> 「たまに、風に乗って音が流れてきていたからね」

//<0598> nothing
<0598> nothing

//<0599> nothing
<0599> nothing

//<0600> nothing
<0600> nothing

//<0601> nothing
<0601> nothing

//<0602> nothing
<0602> nothing

//<0603> 岩沢
<0603> 岩沢

//<0604> 「今はゆりを筆頭とした戦線のメンバーのサポートのおかげで、あたしは恵まれたバンド生活を送れている」
<0604> 「今はゆりを筆頭とした戦線のメンバーのサポートのおかげで、あたしは恵まれたバンド生活を送れている」

//<0605> nothing
<0605> nothing

//<0606> nothing
<0606> nothing

//<0607> nothing
<0607> nothing

//<0608> nothing
<0608> nothing

//<0609> nothing
<0609> nothing

//<0610> 岩沢
<0610> 岩沢

//<0611> 「それはそれでいいのかもしれないけど、どんどんと生前に抱いていた思いが薄らいでいく気がするんだ…」
<0611> 「それはそれでいいのかもしれないけど、どんどんと生前に抱いていた思いが薄らいでいく気がするんだ…」

//<0612> nothing
<0612> nothing

//<0613> nothing
<0613> nothing

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> nothing
<0616> nothing

//<0617> 岩沢
<0617> 岩沢

//<0618> 「それを取り戻すために、時折あいつの路上ライブを聴きに来るんだ」
<0618> 「それを取り戻すために、時折あいつの路上ライブを聴きに来るんだ」

//<0619> 音無
<0619> 音無

//<0620> クソ坊主
<0620> クソ坊主

//<0621> 代理人
<0621> 代理人

//<0622> 微妙すぎるイケメン
<0622> 微妙すぎるイケメン

//<0623> ロリコン
<0623> ロリコン

//<0624> メガネ仲間
<0624> メガネ仲間

//<0625> 暗算日本記録保持者
<0625> 暗算日本記録保持者

//<0626> 通り魔
<0626> 通り魔

//<0627> 記憶ナシ男
<0627> 記憶ナシ男

//<0628> 音速
<0628> 音速

//<0629> 無限
<0629> 無限

//<0630> エロ侍
<0630> エロ侍

//<0631> エロエロ団ナンバー１
<0631> エロエロ団ナンバー１

//<0632> ただのエロ少年
<0632> ただのエロ少年

//<0633> ユリブサイク
<0633> ユリブサイク

//<0634> ドピュッシー
<0634> ドピュッシー

//<0635> アメリカンエロドッグ
<0635> アメリカンエロドッグ

//<0636> ゼウス
<0636> ゼウス

//<0637> 日向markⅡ
<0637> 日向markⅡ

//<0638> 糞虫
<0638> 糞虫

//<0639> 量産型日向
<0639> 量産型日向

//<0640> ？？
<0640> ？？

//<0641> 「あんたの歌をコピーして歌ってるらしいぞ」
<0641> 「あんたの歌をコピーして歌ってるらしいぞ」

//<0642> nothing
<0642> nothing

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> nothing
<0646> nothing

//<0647> 岩沢
<0647> 岩沢

//<0648> 「だな」
<0648> 「だな」

//<0649> 音無
<0649> 音無

//<0650> クソ坊主
<0650> クソ坊主

//<0651> 代理人
<0651> 代理人

//<0652> 微妙すぎるイケメン
<0652> 微妙すぎるイケメン

//<0653> ロリコン
<0653> ロリコン

//<0654> メガネ仲間
<0654> メガネ仲間

//<0655> 暗算日本記録保持者
<0655> 暗算日本記録保持者

//<0656> 通り魔
<0656> 通り魔

//<0657> 記憶ナシ男
<0657> 記憶ナシ男

//<0658> 音速
<0658> 音速

//<0659> 無限
<0659> 無限

//<0660> エロ侍
<0660> エロ侍

//<0661> エロエロ団ナンバー１
<0661> エロエロ団ナンバー１

//<0662> ただのエロ少年
<0662> ただのエロ少年

//<0663> ユリブサイク
<0663> ユリブサイク

//<0664> ドピュッシー
<0664> ドピュッシー

//<0665> アメリカンエロドッグ
<0665> アメリカンエロドッグ

//<0666> ゼウス
<0666> ゼウス

//<0667> 日向markⅡ
<0667> 日向markⅡ

//<0668> 糞虫
<0668> 糞虫

//<0669> 量産型日向
<0669> 量産型日向

//<0670> ？？
<0670> ？？

//<0671> 「歌も上手いし、メロディーもいい。あれは、あいつのオリジナル曲なのか？」
<0671> 「歌も上手いし、メロディーもいい。あれは、あいつのオリジナル曲なのか？」

//<0672> nothing
<0672> nothing

//<0673> nothing
<0673> nothing

//<0674> nothing
<0674> nothing

//<0675> nothing
<0675> nothing

//<0676> nothing
<0676> nothing

//<0677> 岩沢
<0677> 岩沢

//<0678> 「違う。あたしの書いたガルデモ曲のカバーだよ」
<0678> 「違う。あたしの書いたガルデモ曲のカバーだよ」

//<0679> nothing
<0679> nothing

//<0680> nothing
<0680> nothing

//<0681> nothing
<0681> nothing

//<0682> nothing
<0682> nothing

//<0683> nothing
<0683> nothing

//<0684> 岩沢
<0684> 岩沢

//<0685> 「でも、ところどころで自分のアレンジを入れている。コード進行を変えたりしてさ」
<0685> 「でも、ところどころで自分のアレンジを入れている。コード進行を変えたりしてさ」

//<0686> しばし黙って聴き入る。俺も邪魔しないように何も言わずにいた。
<0686> しばし黙って聴き入る。俺も邪魔しないように何も言わずにいた。

//<0687> 途中でとちったりもした。
<0687> 途中でとちったりもした。

//<0688> 岩沢
<0688> 岩沢

//<0689> 「はっ、ほんっとあの頃のあたしだっ、落ち着くことも知らずにがっつきまくってるっ」
<0689> 「はっ、ほんっとあの頃のあたしだっ、落ち着くことも知らずにがっつきまくってるっ」

//<0690> nothing
<0690> nothing

//<0691> nothing
<0691> nothing

//<0692> nothing
<0692> nothing

//<0693> nothing
<0693> nothing

//<0694> nothing
<0694> nothing

//<0695> 岩沢が可愛らしく吹く。
<0695> 岩沢が可愛らしく吹く。

//<0696> 音無
<0696> 音無

//<0697> クソ坊主
<0697> クソ坊主

//<0698> 代理人
<0698> 代理人

//<0699> 微妙すぎるイケメン
<0699> 微妙すぎるイケメン

//<0700> ロリコン
<0700> ロリコン

//<0701> メガネ仲間
<0701> メガネ仲間

//<0702> 暗算日本記録保持者
<0702> 暗算日本記録保持者

//<0703> 通り魔
<0703> 通り魔

//<0704> 記憶ナシ男
<0704> 記憶ナシ男

//<0705> 音速
<0705> 音速

//<0706> 無限
<0706> 無限

//<0707> エロ侍
<0707> エロ侍

//<0708> エロエロ団ナンバー１
<0708> エロエロ団ナンバー１

//<0709> ただのエロ少年
<0709> ただのエロ少年

//<0710> ユリブサイク
<0710> ユリブサイク

//<0711> ドピュッシー
<0711> ドピュッシー

//<0712> アメリカンエロドッグ
<0712> アメリカンエロドッグ

//<0713> ゼウス
<0713> ゼウス

//<0714> 日向markⅡ
<0714> 日向markⅡ

//<0715> 糞虫
<0715> 糞虫

//<0716> 量産型日向
<0716> 量産型日向

//<0717> ？？
<0717> ？？

//<0718> 「それは、素質もあるって意味か？」
<0718> 「それは、素質もあるって意味か？」

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> nothing
<0721> nothing

//<0722> nothing
<0722> nothing

//<0723> nothing
<0723> nothing

//<0724> 岩沢
<0724> 岩沢

//<0725> 「ああ。リズムがちょいふらつきがちだが、悪くない」
<0725> 「ああ。リズムがちょいふらつきがちだが、悪くない」

//<0726> nothing
<0726> nothing

//<0727> nothing
<0727> nothing

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> nothing
<0730> nothing

//<0731> 岩沢
<0731> 岩沢

//<0732> 「後はハートだろうな。やっぱり生前のあたしの必死さとシンクロする」
<0732> 「後はハートだろうな。やっぱり生前のあたしの必死さとシンクロする」

//<0733> nothing
<0733> nothing

//<0734> nothing
<0734> nothing

//<0735> nothing
<0735> nothing

//<0736> nothing
<0736> nothing

//<0737> nothing
<0737> nothing

//<0738> 岩沢
<0738> 岩沢

//<0739> 「その強い思いが、あれだけＮＰＣを惹きつけてんだろ」
<0739> 「その強い思いが、あれだけＮＰＣを惹きつけてんだろ」

//<0740> nothing
<0740> nothing

//<0741> nothing
<0741> nothing

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> 普段、本部で物静かでいる岩沢がこんなに喋るとは意外だった。
<0745> 普段、本部で物静かでいる岩沢がこんなに喋るとは意外だった。

//<0746> nothing
<0746> nothing

//<0747> nothing
<0747> nothing

//<0748> nothing
<0748> nothing

//<0749> nothing
<0749> nothing

//<0750> nothing
<0750> nothing

//<0751> 岩沢
<0751> 岩沢

//<0752> 「さっき、あんたはコピーと言ったけどさ…違うよ」
<0752> 「さっき、あんたはコピーと言ったけどさ…違うよ」

//<0753> nothing
<0753> nothing

//<0754> nothing
<0754> nothing

//<0755> nothing
<0755> nothing

//<0756> nothing
<0756> nothing

//<0757> nothing
<0757> nothing

//<0758> 岩沢
<0758> 岩沢

//<0759> 「さっきも言ったように、あいつは単純なカバーをしていない。自分の曲として歌っている」
<0759> 「さっきも言ったように、あいつは単純なカバーをしていない。自分の曲として歌っている」

//<0760> nothing
<0760> nothing

//<0761> nothing
<0761> nothing

//<0762> nothing
<0762> nothing

//<0763> nothing
<0763> nothing

//<0764> nothing
<0764> nothing

//<0765> 岩沢
<0765> 岩沢

//<0766> 「あたしの歌う
<0766> 「あたしの歌う

//<0767> Crow Song
<0767> Crow Song

//<0768> は、あたしの
<0768> は、あたしの

//<0769> Crow Song
<0769> Crow Song

//<0770> 。あの子が歌えば、それはあの子の
<0770> 。あの子が歌えば、それはあの子の

//<0771> Crow Song
<0771> Crow Song

//<0772> なのさ」
<0772> なのさ」

//<0773> nothing
<0773> nothing

//<0774> nothing
<0774> nothing

//<0775> nothing
<0775> nothing

//<0776> nothing
<0776> nothing

//<0777> nothing
<0777> nothing

//<0778> 岩沢
<0778> 岩沢

//<0779> 「あの子の
<0779> 「あの子の

//<0780> うた
<0780> うた

//<0781> 自由
<0781> 自由
{15f3e} 3d // 0781

//<0782> を邪魔する権利なんて誰にもないんだよ」
<0782> を邪魔する権利なんて誰にもないんだよ」

//<0783> 音無
<0783> 音無

//<0784> クソ坊主
<0784> クソ坊主

//<0785> 代理人
<0785> 代理人

//<0786> 微妙すぎるイケメン
<0786> 微妙すぎるイケメン

//<0787> ロリコン
<0787> ロリコン

//<0788> メガネ仲間
<0788> メガネ仲間

//<0789> 暗算日本記録保持者
<0789> 暗算日本記録保持者

//<0790> 通り魔
<0790> 通り魔

//<0791> 記憶ナシ男
<0791> 記憶ナシ男

//<0792> 音速
<0792> 音速

//<0793> 無限
<0793> 無限

//<0794> エロ侍
<0794> エロ侍

//<0795> エロエロ団ナンバー１
<0795> エロエロ団ナンバー１

//<0796> ただのエロ少年
<0796> ただのエロ少年

//<0797> ユリブサイク
<0797> ユリブサイク

//<0798> ドピュッシー
<0798> ドピュッシー

//<0799> アメリカンエロドッグ
<0799> アメリカンエロドッグ

//<0800> ゼウス
<0800> ゼウス

//<0801> 日向markⅡ
<0801> 日向markⅡ

//<0802> 糞虫
<0802> 糞虫

//<0803> 量産型日向
<0803> 量産型日向

//<0804> ？？
<0804> ？？

//<0805> 「そういうもんか」
<0805> 「そういうもんか」

//<0806> nothing
<0806> nothing

//<0807> nothing
<0807> nothing

//<0808> nothing
<0808> nothing

//<0809> nothing
<0809> nothing

//<0810> nothing
<0810> nothing

//<0811> 岩沢
<0811> 岩沢

//<0812> 「ああ、そういうもんだと思うよ」
<0812> 「ああ、そういうもんだと思うよ」

//<0813> 音無
<0813> 音無

//<0814> クソ坊主
<0814> クソ坊主

//<0815> 代理人
<0815> 代理人

//<0816> 微妙すぎるイケメン
<0816> 微妙すぎるイケメン

//<0817> ロリコン
<0817> ロリコン

//<0818> メガネ仲間
<0818> メガネ仲間

//<0819> 暗算日本記録保持者
<0819> 暗算日本記録保持者

//<0820> 通り魔
<0820> 通り魔

//<0821> 記憶ナシ男
<0821> 記憶ナシ男

//<0822> 音速
<0822> 音速

//<0823> 無限
<0823> 無限

//<0824> エロ侍
<0824> エロ侍

//<0825> エロエロ団ナンバー１
<0825> エロエロ団ナンバー１

//<0826> ただのエロ少年
<0826> ただのエロ少年

//<0827> ユリブサイク
<0827> ユリブサイク

//<0828> ドピュッシー
<0828> ドピュッシー

//<0829> アメリカンエロドッグ
<0829> アメリカンエロドッグ

//<0830> ゼウス
<0830> ゼウス

//<0831> 日向markⅡ
<0831> 日向markⅡ

//<0832> 糞虫
<0832> 糞虫

//<0833> 量産型日向
<0833> 量産型日向

//<0834> ？？
<0834> ？？

//<0835> 「折角だからもっと近くで見てやったらどうだ？　声をかけてやったらあいつも喜ぶと思うぞ？」
<0835> 「折角だからもっと近くで見てやったらどうだ？　声をかけてやったらあいつも喜ぶと思うぞ？」

//<0836> 音無
<0836> 音無

//<0837> クソ坊主
<0837> クソ坊主

//<0838> 代理人
<0838> 代理人

//<0839> 微妙すぎるイケメン
<0839> 微妙すぎるイケメン

//<0840> ロリコン
<0840> ロリコン

//<0841> メガネ仲間
<0841> メガネ仲間

//<0842> 暗算日本記録保持者
<0842> 暗算日本記録保持者

//<0843> 通り魔
<0843> 通り魔

//<0844> 記憶ナシ男
<0844> 記憶ナシ男

//<0845> 音速
<0845> 音速

//<0846> 無限
<0846> 無限

//<0847> エロ侍
<0847> エロ侍

//<0848> エロエロ団ナンバー１
<0848> エロエロ団ナンバー１

//<0849> ただのエロ少年
<0849> ただのエロ少年

//<0850> ユリブサイク
<0850> ユリブサイク

//<0851> ドピュッシー
<0851> ドピュッシー

//<0852> アメリカンエロドッグ
<0852> アメリカンエロドッグ

//<0853> ゼウス
<0853> ゼウス

//<0854> 日向markⅡ
<0854> 日向markⅡ

//<0855> 糞虫
<0855> 糞虫

//<0856> 量産型日向
<0856> 量産型日向

//<0857> ？？
<0857> ？？

//<0858> 「折角だからもっと近くで見てやったらどうだ？　声をかけてやったらあいつも喜ぶんじゃないか？」
<0858> 「折角だからもっと近くで見てやったらどうだ？　声をかけてやったらあいつも喜ぶんじゃないか？」

//<0859> nothing
<0859> nothing

//<0860> nothing
<0860> nothing

//<0861> nothing
<0861> nothing

//<0862> nothing
<0862> nothing

//<0863> nothing
<0863> nothing

//<0864> 岩沢
<0864> 岩沢

//<0865> 「はっ、そんなことするかよ」
<0865> 「はっ、そんなことするかよ」

//<0866> 音無
<0866> 音無

//<0867> クソ坊主
<0867> クソ坊主

//<0868> 代理人
<0868> 代理人

//<0869> 微妙すぎるイケメン
<0869> 微妙すぎるイケメン

//<0870> ロリコン
<0870> ロリコン

//<0871> メガネ仲間
<0871> メガネ仲間

//<0872> 暗算日本記録保持者
<0872> 暗算日本記録保持者

//<0873> 通り魔
<0873> 通り魔

//<0874> 記憶ナシ男
<0874> 記憶ナシ男

//<0875> 音速
<0875> 音速

//<0876> 無限
<0876> 無限

//<0877> エロ侍
<0877> エロ侍

//<0878> エロエロ団ナンバー１
<0878> エロエロ団ナンバー１

//<0879> ただのエロ少年
<0879> ただのエロ少年

//<0880> ユリブサイク
<0880> ユリブサイク

//<0881> ドピュッシー
<0881> ドピュッシー

//<0882> アメリカンエロドッグ
<0882> アメリカンエロドッグ

//<0883> ゼウス
<0883> ゼウス

//<0884> 日向markⅡ
<0884> 日向markⅡ

//<0885> 糞虫
<0885> 糞虫

//<0886> 量産型日向
<0886> 量産型日向

//<0887> ？？
<0887> ？？

//<0888> 「え？　どうして？」
<0888> 「え？　どうして？」

//<0889> nothing
<0889> nothing

//<0890> nothing
<0890> nothing

//<0891> nothing
<0891> nothing

//<0892> nothing
<0892> nothing

//<0893> nothing
<0893> nothing

//<0894> 岩沢
<0894> 岩沢

//<0895> 「あたしに聴かれているとわかったら、そのことを意識してしまうだろ」
<0895> 「あたしに聴かれているとわかったら、そのことを意識してしまうだろ」

//<0896> nothing
<0896> nothing

//<0897> nothing
<0897> nothing

//<0898> nothing
<0898> nothing

//<0899> nothing
<0899> nothing

//<0900> nothing
<0900> nothing

//<0901> 岩沢
<0901> 岩沢

//<0902> 「そうしたら、正しく歌おうということばかりに集中してしまって、今の自由な歌が失われる」
<0902> 「そうしたら、正しく歌おうということばかりに集中してしまって、今の自由な歌が失われる」

//<0903> nothing
<0903> nothing

//<0904> nothing
<0904> nothing

//<0905> nothing
<0905> nothing

//<0906> nothing
<0906> nothing

//<0907> nothing
<0907> nothing

//<0908> 岩沢
<0908> 岩沢

//<0909> 「今は好きな歌を好きな形で歌う。それがいいんだよ」
<0909> 「今は好きな歌を好きな形で歌う。それがいいんだよ」

//<0910> nothing
<0910> nothing

//<0911> nothing
<0911> nothing

//<0912> nothing
<0912> nothing

//<0913> nothing
<0913> nothing

//<0914> nothing
<0914> nothing

//<0915> そう言いながら岩沢は、少し目を細めてユイの方を見つめていた。
<0915> そう言いながら岩沢は、少し目を細めてユイの方を見つめていた。

//<0916> se_congratulation
<0916> se_congratulation

//<0917> nothing
<0917> nothing

//<0918> nothing
<0918> nothing

//<0919> nothing
<0919> nothing

//<0920> nothing
<0920> nothing

//<0921> nothing
<0921> nothing

//<0922> nothing
<0922> nothing

//<0923> ちょうど一曲終わったらしく、ファン達から拍手があがった。
<0923> ちょうど一曲終わったらしく、ファン達から拍手があがった。

//<0924> nothing
<0924> nothing

//<0925> nothing
<0925> nothing

//<0926> nothing
<0926> nothing

//<0927> nothing
<0927> nothing

//<0928> nothing
<0928> nothing

//<0929> ユイ
<0929> ユイ

//<0930> 「次はリクエスト訊きますよー！　もちろんガルデモ曲限定でーす！」
<0930> 「次はリクエスト訊きますよー！　もちろんガルデモ曲限定でーす！」

//<0931> nothing
<0931> nothing

//<0932> nothing
<0932> nothing

//<0933> nothing
<0933> nothing

//<0934> nothing
<0934> nothing

//<0935> nothing
<0935> nothing

//<0936> ファンサービスもしっかりしている。
<0936> ファンサービスもしっかりしている。

//<0937> nothing
<0937> nothing

//<0938> nothing
<0938> nothing

//<0939> nothing
<0939> nothing

//<0940> nothing
<0940> nothing

//<0941> nothing
<0941> nothing

//<0942> nothing
<0942> nothing

//<0943> 岩沢
<0943> 岩沢

//<0944> 「じゃあ、あたしはそろそろ行くよ」
<0944> 「じゃあ、あたしはそろそろ行くよ」

//<0945> nothing
<0945> nothing

//<0946> nothing
<0946> nothing

//<0947> nothing
<0947> nothing

//<0948> nothing
<0948> nothing

//<0949> nothing
<0949> nothing

//<0950> 音無
<0950> 音無

//<0951> クソ坊主
<0951> クソ坊主

//<0952> 代理人
<0952> 代理人

//<0953> 微妙すぎるイケメン
<0953> 微妙すぎるイケメン

//<0954> ロリコン
<0954> ロリコン

//<0955> メガネ仲間
<0955> メガネ仲間

//<0956> 暗算日本記録保持者
<0956> 暗算日本記録保持者

//<0957> 通り魔
<0957> 通り魔

//<0958> 記憶ナシ男
<0958> 記憶ナシ男

//<0959> 音速
<0959> 音速

//<0960> 無限
<0960> 無限

//<0961> エロ侍
<0961> エロ侍

//<0962> エロエロ団ナンバー１
<0962> エロエロ団ナンバー１

//<0963> ただのエロ少年
<0963> ただのエロ少年

//<0964> ユリブサイク
<0964> ユリブサイク

//<0965> ドピュッシー
<0965> ドピュッシー

//<0966> アメリカンエロドッグ
<0966> アメリカンエロドッグ

//<0967> ゼウス
<0967> ゼウス

//<0968> 日向markⅡ
<0968> 日向markⅡ

//<0969> 糞虫
<0969> 糞虫

//<0970> 量産型日向
<0970> 量産型日向

//<0971> ？？
<0971> ？？

//<0972> 「そっか。じゃあ今夜のライブ頑張ってな」
<0972> 「そっか。じゃあ今夜のライブ頑張ってな」

//<0973> nothing
<0973> nothing

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> nothing
<0977> nothing

//<0978> 岩沢
<0978> 岩沢

//<0979> 「いつも通りやるだけさ。あんたは実行班だっけ？」
<0979> 「いつも通りやるだけさ。あんたは実行班だっけ？」

//<0980> 音無
<0980> 音無

//<0981> クソ坊主
<0981> クソ坊主

//<0982> 代理人
<0982> 代理人

//<0983> 微妙すぎるイケメン
<0983> 微妙すぎるイケメン

//<0984> ロリコン
<0984> ロリコン

//<0985> メガネ仲間
<0985> メガネ仲間

//<0986> 暗算日本記録保持者
<0986> 暗算日本記録保持者

//<0987> 通り魔
<0987> 通り魔

//<0988> 記憶ナシ男
<0988> 記憶ナシ男

//<0989> 音速
<0989> 音速

//<0990> 無限
<0990> 無限

//<0991> エロ侍
<0991> エロ侍

//<0992> エロエロ団ナンバー１
<0992> エロエロ団ナンバー１

//<0993> ただのエロ少年
<0993> ただのエロ少年

//<0994> ユリブサイク
<0994> ユリブサイク

//<0995> ドピュッシー
<0995> ドピュッシー

//<0996> アメリカンエロドッグ
<0996> アメリカンエロドッグ

//<0997> ゼウス
<0997> ゼウス

//<0998> 日向markⅡ
<0998> 日向markⅡ

//<0999> 糞虫
<0999> 糞虫

//<1000> 量産型日向
<1000> 量産型日向

//<1001> ？？
<1001> ？？

//<1002> 「ああ、天使エリアってとこに再侵入するらしい」
<1002> 「ああ、天使エリアってとこに再侵入するらしい」

//<1003> nothing
<1003> nothing

//<1004> nothing
<1004> nothing

//<1005> nothing
<1005> nothing

//<1006> nothing
<1006> nothing

//<1007> nothing
<1007> nothing

//<1008> 岩沢
<1008> 岩沢

//<1009> 「だったな。じゃ、あんたも頑張れよな」
<1009> 「だったな。じゃ、あんたも頑張れよな」

//<1010> 音無
<1010> 音無

//<1011> クソ坊主
<1011> クソ坊主

//<1012> 代理人
<1012> 代理人

//<1013> 微妙すぎるイケメン
<1013> 微妙すぎるイケメン

//<1014> ロリコン
<1014> ロリコン

//<1015> メガネ仲間
<1015> メガネ仲間

//<1016> 暗算日本記録保持者
<1016> 暗算日本記録保持者

//<1017> 通り魔
<1017> 通り魔

//<1018> 記憶ナシ男
<1018> 記憶ナシ男

//<1019> 音速
<1019> 音速

//<1020> 無限
<1020> 無限

//<1021> エロ侍
<1021> エロ侍

//<1022> エロエロ団ナンバー１
<1022> エロエロ団ナンバー１

//<1023> ただのエロ少年
<1023> ただのエロ少年

//<1024> ユリブサイク
<1024> ユリブサイク

//<1025> ドピュッシー
<1025> ドピュッシー

//<1026> アメリカンエロドッグ
<1026> アメリカンエロドッグ

//<1027> ゼウス
<1027> ゼウス

//<1028> 日向markⅡ
<1028> 日向markⅡ

//<1029> 糞虫
<1029> 糞虫

//<1030> 量産型日向
<1030> 量産型日向

//<1031> ？？
<1031> ？？

//<1032> 「ああ」
<1032> 「ああ」

//<1033> nothing
<1033> nothing

//<1034> nothing
<1034> nothing

//<1035> nothing
<1035> nothing

//<1036> nothing
<1036> nothing

//<1037> nothing
<1037> nothing

//<1038> nothing
<1038> nothing

//<1039> そこで別れた。
<1039> そこで別れた。

//<1040> nothing
<1040> nothing

//<1041> nothing
<1041> nothing

//<1042> nothing
<1042> nothing

//<1043> nothing
<1043> nothing

//<1044> nothing
<1044> nothing

//<1045> 俺も、ユイをもう一度見てから、邪魔しないように駐車場から去ることにした。
<1045> 俺も、ユイをもう一度見てから、邪魔しないように駐車場から去ることにした。

//<1046> dummy
<1046> dummy

