// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ジャージに着替えて野球場に向かう。
<0000> ジャージに着替えて野球場に向かう。
<0559> nothing

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> nothing
<0562> nothing

//<0563> 日向
<0563> 日向

//<0564> 男Ｂ
<0564> 男Ｂ

//<0565> エロエロ団総帥
<0565> エロエロ団総帥

//<0566> イケチン
<0566> イケチン

//<0567> ホモ太
<0567> ホモ太

//<0568> ひなチン
<0568> ひなチン

//<0569> 秀樹
<0569> 秀樹

//<0570> 男子生徒
<0570> 男子生徒

//<0571> ？？
<0571> ？？

//<0572> 「まあ、ダブる時もあるさ。ランダムだからな」
<0572> 「まあ、ダブる時もあるさ。ランダムだからな」

//<0573> 音無
<0573> 音無

//<0574> クソ坊主
<0574> クソ坊主

//<0575> 代理人
<0575> 代理人

//<0576> 微妙すぎるイケメン
<0576> 微妙すぎるイケメン

//<0577> ロリコン
<0577> ロリコン

//<0578> メガネ仲間
<0578> メガネ仲間

//<0579> 暗算日本記録保持者
<0579> 暗算日本記録保持者

//<0580> 通り魔
<0580> 通り魔

//<0581> 記憶ナシ男
<0581> 記憶ナシ男

//<0582> 音速
<0582> 音速

//<0583> 無限
<0583> 無限

//<0584> エロ侍
<0584> エロ侍

//<0585> エロエロ団ナンバー１
<0585> エロエロ団ナンバー１

//<0586> ただのエロ少年
<0586> ただのエロ少年

//<0587> ユリブサイク
<0587> ユリブサイク

//<0588> ドピュッシー
<0588> ドピュッシー

//<0589> アメリカンエロドッグ
<0589> アメリカンエロドッグ

//<0590> ゼウス
<0590> ゼウス

//<0591> 日向markⅡ
<0591> 日向markⅡ

//<0592> 糞虫
<0592> 糞虫

//<0593> 量産型日向
<0593> 量産型日向

//<0594> ？？
<0594> ？？

//<0595> 「だな…」
<0595> 「だな…」

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> nothing
<0599> nothing

//<0600> nothing
<0600> nothing

//<0601> nothing
<0601> nothing

//<0602> それを受け取る。
<0602> それを受け取る。

//<0603> nothing
<0603> nothing

//<0604> nothing
<0604> nothing

//<0605> nothing
<0605> nothing

//<0606> nothing
<0606> nothing

//<0607> nothing
<0607> nothing

//<0608> しかし、おろしチキン竜田定食を目の前に置かれると、否応なく取っ替えたくなる。
<0608> しかし、おろしチキン竜田定食を目の前に置かれると、否応なく取っ替えたくなる。

//<0609> ものすごく美味しそうだ…。
<0609> ものすごく美味しそうだ…。

//<0610> nothing
<0610> nothing

//<0611> nothing
<0611> nothing

//<0612> nothing
<0612> nothing

//<0613> nothing
<0613> nothing

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> でも、俺のメニューはあくまでもランダム。大人しく頂こう。
<0616> でも、俺のメニューはあくまでもランダム。大人しく頂こう。

//<0617> 交換を求める
<0617> 交換を求める

//<0618> トムヤムカレーを食べる
<0618> トムヤムカレーを食べる

//<0619> selbtn : 
<0619> selbtn : 

//<0620> 音無
<0620> 音無

//<0621> クソ坊主
<0621> クソ坊主

//<0622> 代理人
<0622> 代理人

//<0623> 微妙すぎるイケメン
<0623> 微妙すぎるイケメン

//<0624> ロリコン
<0624> ロリコン

//<0625> メガネ仲間
<0625> メガネ仲間

//<0626> 暗算日本記録保持者
<0626> 暗算日本記録保持者

//<0627> 通り魔
<0627> 通り魔

//<0628> 記憶ナシ男
<0628> 記憶ナシ男

//<0629> 音速
<0629> 音速

//<0630> 無限
<0630> 無限

//<0631> エロ侍
<0631> エロ侍

//<0632> エロエロ団ナンバー１
<0632> エロエロ団ナンバー１

//<0633> ただのエロ少年
<0633> ただのエロ少年

//<0634> ユリブサイク
<0634> ユリブサイク

//<0635> ドピュッシー
<0635> ドピュッシー

//<0636> アメリカンエロドッグ
<0636> アメリカンエロドッグ

//<0637> ゼウス
<0637> ゼウス

//<0638> 日向markⅡ
<0638> 日向markⅡ

//<0639> 糞虫
<0639> 糞虫

//<0640> 量産型日向
<0640> 量産型日向

//<0641> ？？
<0641> ？？

//<0642> 「その、さ…日向…」
<0642> 「その、さ…日向…」

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> nothing
<0645> nothing

//<0646> nothing
<0646> nothing

//<0647> nothing
<0647> nothing

//<0648> 日向
<0648> 日向

//<0649> 男Ｂ
<0649> 男Ｂ

//<0650> エロエロ団総帥
<0650> エロエロ団総帥

//<0651> イケチン
<0651> イケチン

//<0652> ホモ太
<0652> ホモ太

//<0653> ひなチン
<0653> ひなチン

//<0654> 秀樹
<0654> 秀樹

//<0655> 男子生徒
<0655> 男子生徒

//<0656> ？？
<0656> ？？

//<0657> 「ん？　なんだ？」
<0657> 「ん？　なんだ？」

//<0658> 音無
<0658> 音無

//<0659> クソ坊主
<0659> クソ坊主

//<0660> 代理人
<0660> 代理人

//<0661> 微妙すぎるイケメン
<0661> 微妙すぎるイケメン

//<0662> ロリコン
<0662> ロリコン

//<0663> メガネ仲間
<0663> メガネ仲間

//<0664> 暗算日本記録保持者
<0664> 暗算日本記録保持者

//<0665> 通り魔
<0665> 通り魔

//<0666> 記憶ナシ男
<0666> 記憶ナシ男

//<0667> 音速
<0667> 音速

//<0668> 無限
<0668> 無限

//<0669> エロ侍
<0669> エロ侍

//<0670> エロエロ団ナンバー１
<0670> エロエロ団ナンバー１

//<0671> ただのエロ少年
<0671> ただのエロ少年

//<0672> ユリブサイク
<0672> ユリブサイク

//<0673> ドピュッシー
<0673> ドピュッシー

//<0674> アメリカンエロドッグ
<0674> アメリカンエロドッグ

//<0675> ゼウス
<0675> ゼウス

//<0676> 日向markⅡ
<0676> 日向markⅡ

//<0677> 糞虫
<0677> 糞虫

//<0678> 量産型日向
<0678> 量産型日向

//<0679> ？？
<0679> ？？

//<0680> 「その、それとこれを交換してくれないかな…」
<0680> 「その、それとこれを交換してくれないかな…」

//<0681> nothing
<0681> nothing

//<0682> nothing
<0682> nothing

//<0683> nothing
<0683> nothing

//<0684> nothing
<0684> nothing

//<0685> nothing
<0685> nothing

//<0686> 日向
<0686> 日向

//<0687> 男Ｂ
<0687> 男Ｂ

//<0688> エロエロ団総帥
<0688> エロエロ団総帥

//<0689> イケチン
<0689> イケチン

//<0690> ホモ太
<0690> ホモ太

//<0691> ひなチン
<0691> ひなチン

//<0692> 秀樹
<0692> 秀樹

//<0693> 男子生徒
<0693> 男子生徒

//<0694> ？？
<0694> ？？

//<0695> 「どーして？」
<0695> 「どーして？」

//<0696> 音無
<0696> 音無

//<0697> クソ坊主
<0697> クソ坊主

//<0698> 代理人
<0698> 代理人

//<0699> 微妙すぎるイケメン
<0699> 微妙すぎるイケメン

//<0700> ロリコン
<0700> ロリコン

//<0701> メガネ仲間
<0701> メガネ仲間

//<0702> 暗算日本記録保持者
<0702> 暗算日本記録保持者

//<0703> 通り魔
<0703> 通り魔

//<0704> 記憶ナシ男
<0704> 記憶ナシ男

//<0705> 音速
<0705> 音速

//<0706> 無限
<0706> 無限

//<0707> エロ侍
<0707> エロ侍

//<0708> エロエロ団ナンバー１
<0708> エロエロ団ナンバー１

//<0709> ただのエロ少年
<0709> ただのエロ少年

//<0710> ユリブサイク
<0710> ユリブサイク

//<0711> ドピュッシー
<0711> ドピュッシー

//<0712> アメリカンエロドッグ
<0712> アメリカンエロドッグ

//<0713> ゼウス
<0713> ゼウス

//<0714> 日向markⅡ
<0714> 日向markⅡ

//<0715> 糞虫
<0715> 糞虫

//<0716> 量産型日向
<0716> 量産型日向

//<0717> ？？
<0717> ？？

//<0718> 「苦手だからさ…」
<0718> 「苦手だからさ…」

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> nothing
<0721> nothing

//<0722> nothing
<0722> nothing

//<0723> nothing
<0723> nothing

//<0724> 日向
<0724> 日向

//<0725> 男Ｂ
<0725> 男Ｂ

//<0726> エロエロ団総帥
<0726> エロエロ団総帥

//<0727> イケチン
<0727> イケチン

//<0728> ホモ太
<0728> ホモ太

//<0729> ひなチン
<0729> ひなチン

//<0730> 秀樹
<0730> 秀樹

//<0731> 男子生徒
<0731> 男子生徒

//<0732> ？？
<0732> ？？

//<0733> 「はぁ？　お前は子供か…？」
<0733> 「はぁ？　お前は子供か…？」

//<0734> 音無
<0734> 音無

//<0735> クソ坊主
<0735> クソ坊主

//<0736> 代理人
<0736> 代理人

//<0737> 微妙すぎるイケメン
<0737> 微妙すぎるイケメン

//<0738> ロリコン
<0738> ロリコン

//<0739> メガネ仲間
<0739> メガネ仲間

//<0740> 暗算日本記録保持者
<0740> 暗算日本記録保持者

//<0741> 通り魔
<0741> 通り魔

//<0742> 記憶ナシ男
<0742> 記憶ナシ男

//<0743> 音速
<0743> 音速

//<0744> 無限
<0744> 無限

//<0745> エロ侍
<0745> エロ侍

//<0746> エロエロ団ナンバー１
<0746> エロエロ団ナンバー１

//<0747> ただのエロ少年
<0747> ただのエロ少年

//<0748> ユリブサイク
<0748> ユリブサイク

//<0749> ドピュッシー
<0749> ドピュッシー

//<0750> アメリカンエロドッグ
<0750> アメリカンエロドッグ

//<0751> ゼウス
<0751> ゼウス

//<0752> 日向markⅡ
<0752> 日向markⅡ

//<0753> 糞虫
<0753> 糞虫

//<0754> 量産型日向
<0754> 量産型日向

//<0755> ？？
<0755> ？？

//<0756> 「普通の高校生だと思うが…？」
<0756> 「普通の高校生だと思うが…？」

//<0757> nothing
<0757> nothing

//<0758> nothing
<0758> nothing

//<0759> nothing
<0759> nothing

//<0760> nothing
<0760> nothing

//<0761> nothing
<0761> nothing

//<0762> 日向
<0762> 日向

//<0763> 男Ｂ
<0763> 男Ｂ

//<0764> エロエロ団総帥
<0764> エロエロ団総帥

//<0765> イケチン
<0765> イケチン

//<0766> ホモ太
<0766> ホモ太

//<0767> ひなチン
<0767> ひなチン

//<0768> 秀樹
<0768> 秀樹

//<0769> 男子生徒
<0769> 男子生徒

//<0770> ？？
<0770> ？？

//<0771> 「だったら好き嫌いなく、食べるんだな」
<0771> 「だったら好き嫌いなく、食べるんだな」

//<0772> ええ…と心の中で思う。
<0772> ええ…と心の中で思う。

//<0773> 音無
<0773> 音無

//<0774> クソ坊主
<0774> クソ坊主

//<0775> 代理人
<0775> 代理人

//<0776> 微妙すぎるイケメン
<0776> 微妙すぎるイケメン

//<0777> ロリコン
<0777> ロリコン

//<0778> メガネ仲間
<0778> メガネ仲間

//<0779> 暗算日本記録保持者
<0779> 暗算日本記録保持者

//<0780> 通り魔
<0780> 通り魔

//<0781> 記憶ナシ男
<0781> 記憶ナシ男

//<0782> 音速
<0782> 音速

//<0783> 無限
<0783> 無限

//<0784> エロ侍
<0784> エロ侍

//<0785> エロエロ団ナンバー１
<0785> エロエロ団ナンバー１

//<0786> ただのエロ少年
<0786> ただのエロ少年

//<0787> ユリブサイク
<0787> ユリブサイク

//<0788> ドピュッシー
<0788> ドピュッシー

//<0789> アメリカンエロドッグ
<0789> アメリカンエロドッグ

//<0790> ゼウス
<0790> ゼウス

//<0791> 日向markⅡ
<0791> 日向markⅡ

//<0792> 糞虫
<0792> 糞虫

//<0793> 量産型日向
<0793> 量産型日向

//<0794> ？？
<0794> ？？

//<0795> 「だな…」
<0795> 「だな…」

//<0796> nothing
<0796> nothing

//<0797> nothing
<0797> nothing

//<0798> nothing
<0798> nothing

//<0799> nothing
<0799> nothing

//<0800> nothing
<0800> nothing

//<0801> nothing
<0801> nothing

//<0802> 頷き、再び癖の強いトムヤムカレーを掻き込む。
<0802> 頷き、再び癖の強いトムヤムカレーを掻き込む。

//<0803> すぐセルフサービスのお茶で匂い消しに務める。
<0803> すぐセルフサービスのお茶で匂い消しに務める。

//<0804> nothing
<0804> nothing

//<0805> nothing
<0805> nothing

//<0806> nothing
<0806> nothing

//<0807> nothing
<0807> nothing

//<0808> nothing
<0808> nothing

//<0809> その間に日向が皿を空けていた。
<0809> その間に日向が皿を空けていた。

//<0810> nothing
<0810> nothing

//<0811> nothing
<0811> nothing

//<0812> nothing
<0812> nothing

//<0813> nothing
<0813> nothing

//<0814> nothing
<0814> nothing

//<0815> 日向
<0815> 日向

//<0816> 男Ｂ
<0816> 男Ｂ

//<0817> エロエロ団総帥
<0817> エロエロ団総帥

//<0818> イケチン
<0818> イケチン

//<0819> ホモ太
<0819> ホモ太

//<0820> ひなチン
<0820> ひなチン

//<0821> 秀樹
<0821> 秀樹

//<0822> 男子生徒
<0822> 男子生徒

//<0823> ？？
<0823> ？？

//<0824> 「ふぅ…やっぱ、チキン竜田にはおろしソースが最高だな…」
<0824> 「ふぅ…やっぱ、チキン竜田にはおろしソースが最高だな…」

//<0825> 俺だって、それを食いたいのに…！！
<0825> 俺だって、それを食いたいのに…！！

//<0826> 音無
<0826> 音無

//<0827> クソ坊主
<0827> クソ坊主

//<0828> 代理人
<0828> 代理人

//<0829> 微妙すぎるイケメン
<0829> 微妙すぎるイケメン

//<0830> ロリコン
<0830> ロリコン

//<0831> メガネ仲間
<0831> メガネ仲間

//<0832> 暗算日本記録保持者
<0832> 暗算日本記録保持者

//<0833> 通り魔
<0833> 通り魔

//<0834> 記憶ナシ男
<0834> 記憶ナシ男

//<0835> 音速
<0835> 音速

//<0836> 無限
<0836> 無限

//<0837> エロ侍
<0837> エロ侍

//<0838> エロエロ団ナンバー１
<0838> エロエロ団ナンバー１

//<0839> ただのエロ少年
<0839> ただのエロ少年

//<0840> ユリブサイク
<0840> ユリブサイク

//<0841> ドピュッシー
<0841> ドピュッシー

//<0842> アメリカンエロドッグ
<0842> アメリカンエロドッグ

//<0843> ゼウス
<0843> ゼウス

//<0844> 日向markⅡ
<0844> 日向markⅡ

//<0845> 糞虫
<0845> 糞虫

//<0846> 量産型日向
<0846> 量産型日向

//<0847> ？？
<0847> ？？

//<0848> （食の恨みは恐ろしいぞ、それでいいのか、日向ぁ…！！）
<0848> （食の恨みは恐ろしいぞ、それでいいのか、日向ぁ…！！）

//<0849> nothing
<0849> nothing

//<0850> nothing
<0850> nothing

//<0851> nothing
<0851> nothing

//<0852> nothing
<0852> nothing

//<0853> nothing
<0853> nothing

//<0854> nothing
<0854> nothing

//<0855> 癖の強いトムヤムカレーを一気に掻き込む。
<0855> 癖の強いトムヤムカレーを一気に掻き込む。

//<0856> お茶を数度飲み、口臭を封じる。
<0856> お茶を数度飲み、口臭を封じる。

//<0857> nothing
<0857> nothing

//<0858> nothing
<0858> nothing

//<0859> nothing
<0859> nothing

//<0860> nothing
<0860> nothing

//<0861> nothing
<0861> nothing

//<0862> 日向
<0862> 日向

//<0863> 男Ｂ
<0863> 男Ｂ

//<0864> エロエロ団総帥
<0864> エロエロ団総帥

//<0865> イケチン
<0865> イケチン

//<0866> ホモ太
<0866> ホモ太

//<0867> ひなチン
<0867> ひなチン

//<0868> 秀樹
<0868> 秀樹

//<0869> 男子生徒
<0869> 男子生徒

//<0870> ？？
<0870> ？？

//<0871> 「お前、食うの早いな」
<0871> 「お前、食うの早いな」

//<0872> 音無
<0872> 音無

//<0873> クソ坊主
<0873> クソ坊主

//<0874> 代理人
<0874> 代理人

//<0875> 微妙すぎるイケメン
<0875> 微妙すぎるイケメン

//<0876> ロリコン
<0876> ロリコン

//<0877> メガネ仲間
<0877> メガネ仲間

//<0878> 暗算日本記録保持者
<0878> 暗算日本記録保持者

//<0879> 通り魔
<0879> 通り魔

//<0880> 記憶ナシ男
<0880> 記憶ナシ男

//<0881> 音速
<0881> 音速

//<0882> 無限
<0882> 無限

//<0883> エロ侍
<0883> エロ侍

//<0884> エロエロ団ナンバー１
<0884> エロエロ団ナンバー１

//<0885> ただのエロ少年
<0885> ただのエロ少年

//<0886> ユリブサイク
<0886> ユリブサイク

//<0887> ドピュッシー
<0887> ドピュッシー

//<0888> アメリカンエロドッグ
<0888> アメリカンエロドッグ

//<0889> ゼウス
<0889> ゼウス

//<0890> 日向markⅡ
<0890> 日向markⅡ

//<0891> 糞虫
<0891> 糞虫

//<0892> 量産型日向
<0892> 量産型日向

//<0893> ？？
<0893> ？？

//<0894> 「ああ、このメニューに関してだけは早いぜっ」
<0894> 「ああ、このメニューに関してだけは早いぜっ」

//<0895> nothing
<0895> nothing

//<0896> nothing
<0896> nothing

//<0897> nothing
<0897> nothing

//<0898> nothing
<0898> nothing

//<0899> nothing
<0899> nothing

//<0900> 日向
<0900> 日向

//<0901> 男Ｂ
<0901> 男Ｂ

//<0902> エロエロ団総帥
<0902> エロエロ団総帥

//<0903> イケチン
<0903> イケチン

//<0904> ホモ太
<0904> ホモ太

//<0905> ひなチン
<0905> ひなチン

//<0906> 秀樹
<0906> 秀樹

//<0907> 男子生徒
<0907> 男子生徒

//<0908> ？？
<0908> ？？

//<0909> 「おっと、そこまで本場のテイストに魅了されちまったか」
<0909> 「おっと、そこまで本場のテイストに魅了されちまったか」

//<0910> その通りだ
<0910> その通りだ

//<0911> 逆だ
<0911> 逆だ

//<0912> selbtn : 
<0912> selbtn : 

//<0913> 音無
<0913> 音無

//<0914> クソ坊主
<0914> クソ坊主

//<0915> 代理人
<0915> 代理人

//<0916> 微妙すぎるイケメン
<0916> 微妙すぎるイケメン

//<0917> ロリコン
<0917> ロリコン

//<0918> メガネ仲間
<0918> メガネ仲間

//<0919> 暗算日本記録保持者
<0919> 暗算日本記録保持者

//<0920> 通り魔
<0920> 通り魔

//<0921> 記憶ナシ男
<0921> 記憶ナシ男

//<0922> 音速
<0922> 音速

//<0923> 無限
<0923> 無限

//<0924> エロ侍
<0924> エロ侍

//<0925> エロエロ団ナンバー１
<0925> エロエロ団ナンバー１

//<0926> ただのエロ少年
<0926> ただのエロ少年

//<0927> ユリブサイク
<0927> ユリブサイク

//<0928> ドピュッシー
<0928> ドピュッシー

//<0929> アメリカンエロドッグ
<0929> アメリカンエロドッグ

//<0930> ゼウス
<0930> ゼウス

//<0931> 日向markⅡ
<0931> 日向markⅡ

//<0932> 糞虫
<0932> 糞虫

//<0933> 量産型日向
<0933> 量産型日向

//<0934> ？？
<0934> ？？

//<0935> 「その通りだ」
<0935> 「その通りだ」

//<0936> nothing
<0936> nothing

//<0937> nothing
<0937> nothing

//<0938> nothing
<0938> nothing

//<0939> nothing
<0939> nothing

//<0940> nothing
<0940> nothing

//<0941> 日向
<0941> 日向

//<0942> 男Ｂ
<0942> 男Ｂ

//<0943> エロエロ団総帥
<0943> エロエロ団総帥

//<0944> イケチン
<0944> イケチン

//<0945> ホモ太
<0945> ホモ太

//<0946> ひなチン
<0946> ひなチン

//<0947> 秀樹
<0947> 秀樹

//<0948> 男子生徒
<0948> 男子生徒

//<0949> ？？
<0949> ？？

//<0950> 「なら、くじ引き制じゃなく、お前にこれからも食ってもらうな」
<0950> 「なら、くじ引き制じゃなく、お前にこれからも食ってもらうな」

//<0951> 音無
<0951> 音無

//<0952> クソ坊主
<0952> クソ坊主

//<0953> 代理人
<0953> 代理人

//<0954> 微妙すぎるイケメン
<0954> 微妙すぎるイケメン

//<0955> ロリコン
<0955> ロリコン

//<0956> メガネ仲間
<0956> メガネ仲間

//<0957> 暗算日本記録保持者
<0957> 暗算日本記録保持者

//<0958> 通り魔
<0958> 通り魔

//<0959> 記憶ナシ男
<0959> 記憶ナシ男

//<0960> 音速
<0960> 音速

//<0961> 無限
<0961> 無限

//<0962> エロ侍
<0962> エロ侍

//<0963> エロエロ団ナンバー１
<0963> エロエロ団ナンバー１

//<0964> ただのエロ少年
<0964> ただのエロ少年

//<0965> ユリブサイク
<0965> ユリブサイク

//<0966> ドピュッシー
<0966> ドピュッシー

//<0967> アメリカンエロドッグ
<0967> アメリカンエロドッグ

//<0968> ゼウス
<0968> ゼウス

//<0969> 日向markⅡ
<0969> 日向markⅡ

//<0970> 糞虫
<0970> 糞虫

//<0971> 量産型日向
<0971> 量産型日向

//<0972> ？？
<0972> ？？

//<0973> 「ノオォォォォォーーーーー！！」
<0973> 「ノオォォォォォーーーーー！！」

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> nothing
<0977> nothing

//<0978> nothing
<0978> nothing

//<0979> 日向
<0979> 日向

//<0980> 男Ｂ
<0980> 男Ｂ

//<0981> エロエロ団総帥
<0981> エロエロ団総帥

//<0982> イケチン
<0982> イケチン

//<0983> ホモ太
<0983> ホモ太

//<0984> ひなチン
<0984> ひなチン

//<0985> 秀樹
<0985> 秀樹

//<0986> 男子生徒
<0986> 男子生徒

//<0987> ？？
<0987> ？？

//<0988> 「どうした？」
<0988> 「どうした？」

//<0989> 音無
<0989> 音無

//<0990> クソ坊主
<0990> クソ坊主

//<0991> 代理人
<0991> 代理人

//<0992> 微妙すぎるイケメン
<0992> 微妙すぎるイケメン

//<0993> ロリコン
<0993> ロリコン

//<0994> メガネ仲間
<0994> メガネ仲間

//<0995> 暗算日本記録保持者
<0995> 暗算日本記録保持者

//<0996> 通り魔
<0996> 通り魔

//<0997> 記憶ナシ男
<0997> 記憶ナシ男

//<0998> 音速
<0998> 音速

//<0999> 無限
<0999> 無限

//<1000> エロ侍
<1000> エロ侍

//<1001> エロエロ団ナンバー１
<1001> エロエロ団ナンバー１

//<1002> ただのエロ少年
<1002> ただのエロ少年

//<1003> ユリブサイク
<1003> ユリブサイク

//<1004> ドピュッシー
<1004> ドピュッシー

//<1005> アメリカンエロドッグ
<1005> アメリカンエロドッグ

//<1006> ゼウス
<1006> ゼウス

//<1007> 日向markⅡ
<1007> 日向markⅡ

//<1008> 糞虫
<1008> 糞虫

//<1009> 量産型日向
<1009> 量産型日向

//<1010> ？？
<1010> ？？

//<1011> 「十秒前の俺を殴ってやりたい気分だ…」
<1011> 「十秒前の俺を殴ってやりたい気分だ…」

//<1012> nothing
<1012> nothing

//<1013> nothing
<1013> nothing

//<1014> nothing
<1014> nothing

//<1015> nothing
<1015> nothing

//<1016> nothing
<1016> nothing

//<1017> 日向
<1017> 日向

//<1018> 男Ｂ
<1018> 男Ｂ

//<1019> エロエロ団総帥
<1019> エロエロ団総帥

//<1020> イケチン
<1020> イケチン

//<1021> ホモ太
<1021> ホモ太

//<1022> ひなチン
<1022> ひなチン

//<1023> 秀樹
<1023> 秀樹

//<1024> 男子生徒
<1024> 男子生徒

//<1025> ？？
<1025> ？？

//<1026> 「よくわからないけど、トムヤムカレーは一定のＮＰＣから人気で余るほどあるから、これからはお前に回すよ」
<1026> 「よくわからないけど、トムヤムカレーは一定のＮＰＣから人気で余るほどあるから、これからはお前に回すよ」

//<1027> 音無
<1027> 音無

//<1028> クソ坊主
<1028> クソ坊主

//<1029> 代理人
<1029> 代理人

//<1030> 微妙すぎるイケメン
<1030> 微妙すぎるイケメン

//<1031> ロリコン
<1031> ロリコン

//<1032> メガネ仲間
<1032> メガネ仲間

//<1033> 暗算日本記録保持者
<1033> 暗算日本記録保持者

//<1034> 通り魔
<1034> 通り魔

//<1035> 記憶ナシ男
<1035> 記憶ナシ男

//<1036> 音速
<1036> 音速

//<1037> 無限
<1037> 無限

//<1038> エロ侍
<1038> エロ侍

//<1039> エロエロ団ナンバー１
<1039> エロエロ団ナンバー１

//<1040> ただのエロ少年
<1040> ただのエロ少年

//<1041> ユリブサイク
<1041> ユリブサイク

//<1042> ドピュッシー
<1042> ドピュッシー

//<1043> アメリカンエロドッグ
<1043> アメリカンエロドッグ

//<1044> ゼウス
<1044> ゼウス

//<1045> 日向markⅡ
<1045> 日向markⅡ

//<1046> 糞虫
<1046> 糞虫

//<1047> 量産型日向
<1047> 量産型日向

//<1048> ？？
<1048> ？？

//<1049> （なんてこったぁぁーー！！）
<1049> （なんてこったぁぁーー！！）

//<1050> 音無
<1050> 音無

//<1051> クソ坊主
<1051> クソ坊主

//<1052> 代理人
<1052> 代理人

//<1053> 微妙すぎるイケメン
<1053> 微妙すぎるイケメン

//<1054> ロリコン
<1054> ロリコン

//<1055> メガネ仲間
<1055> メガネ仲間

//<1056> 暗算日本記録保持者
<1056> 暗算日本記録保持者

//<1057> 通り魔
<1057> 通り魔

//<1058> 記憶ナシ男
<1058> 記憶ナシ男

//<1059> 音速
<1059> 音速

//<1060> 無限
<1060> 無限

//<1061> エロ侍
<1061> エロ侍

//<1062> エロエロ団ナンバー１
<1062> エロエロ団ナンバー１

//<1063> ただのエロ少年
<1063> ただのエロ少年

//<1064> ユリブサイク
<1064> ユリブサイク

//<1065> ドピュッシー
<1065> ドピュッシー

//<1066> アメリカンエロドッグ
<1066> アメリカンエロドッグ

//<1067> ゼウス
<1067> ゼウス

//<1068> 日向markⅡ
<1068> 日向markⅡ

//<1069> 糞虫
<1069> 糞虫

//<1070> 量産型日向
<1070> 量産型日向

//<1071> ？？
<1071> ？？

//<1072> 「逆だ」
<1072> 「逆だ」

//<1073> nothing
<1073> nothing

//<1074> nothing
<1074> nothing

//<1075> nothing
<1075> nothing

//<1076> nothing
<1076> nothing

//<1077> nothing
<1077> nothing

//<1078> 日向
<1078> 日向

//<1079> 男Ｂ
<1079> 男Ｂ

//<1080> エロエロ団総帥
<1080> エロエロ団総帥

//<1081> イケチン
<1081> イケチン

//<1082> ホモ太
<1082> ホモ太

//<1083> ひなチン
<1083> ひなチン

//<1084> 秀樹
<1084> 秀樹

//<1085> 男子生徒
<1085> 男子生徒

//<1086> ？？
<1086> ？？

//<1087> 「気に入らないってことか？」
<1087> 「気に入らないってことか？」

//<1088> 音無
<1088> 音無

//<1089> クソ坊主
<1089> クソ坊主

//<1090> 代理人
<1090> 代理人

//<1091> 微妙すぎるイケメン
<1091> 微妙すぎるイケメン

//<1092> ロリコン
<1092> ロリコン

//<1093> メガネ仲間
<1093> メガネ仲間

//<1094> 暗算日本記録保持者
<1094> 暗算日本記録保持者

//<1095> 通り魔
<1095> 通り魔

//<1096> 記憶ナシ男
<1096> 記憶ナシ男

//<1097> 音速
<1097> 音速

//<1098> 無限
<1098> 無限

//<1099> エロ侍
<1099> エロ侍

//<1100> エロエロ団ナンバー１
<1100> エロエロ団ナンバー１

//<1101> ただのエロ少年
<1101> ただのエロ少年

//<1102> ユリブサイク
<1102> ユリブサイク

//<1103> ドピュッシー
<1103> ドピュッシー

//<1104> アメリカンエロドッグ
<1104> アメリカンエロドッグ

//<1105> ゼウス
<1105> ゼウス

//<1106> 日向markⅡ
<1106> 日向markⅡ

//<1107> 糞虫
<1107> 糞虫

//<1108> 量産型日向
<1108> 量産型日向

//<1109> ？？
<1109> ？？

//<1110> 「もらっておきながら、その通りだ…」
<1110> 「もらっておきながら、その通りだ…」

//<1111> nothing
<1111> nothing

//<1112> nothing
<1112> nothing

//<1113> nothing
<1113> nothing

//<1114> nothing
<1114> nothing

//<1115> nothing
