// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 生活指導室で、ガルデモバンドメンバーと共に、みっちりと教師に絞られた。
<0000> 生活指導室で、ガルデモバンドメンバーと共に、みっちりと教師に絞られた。
//<0531> 量産型日向
<0531> 量産型日向

//<0532> ？？
<0532> ？？

//<0533> 「どうした、みんな黙って」
<0533> 「どうした、みんな黙って」

//<0534> nothing
<0534> nothing

//<0535> nothing
<0535> nothing

//<0536> nothing
<0536> nothing

//<0537> nothing
<0537> nothing

//<0538> nothing
<0538> nothing

//<0539> 関根
<0539> 関根

//<0540> 「…えー、音無さんは、露出狂ということでよろしいんですか？」
<0540> 「…えー、音無さんは、露出狂ということでよろしいんですか？」

//<0541> 音無
<0541> 音無

//<0542> クソ坊主
<0542> クソ坊主

//<0543> 代理人
<0543> 代理人

//<0544> 微妙すぎるイケメン
<0544> 微妙すぎるイケメン

//<0545> ロリコン
<0545> ロリコン

//<0546> メガネ仲間
<0546> メガネ仲間

//<0547> 暗算日本記録保持者
<0547> 暗算日本記録保持者

//<0548> 通り魔
<0548> 通り魔

//<0549> 記憶ナシ男
<0549> 記憶ナシ男

//<0550> 音速
<0550> 音速

//<0551> 無限
<0551> 無限

//<0552> エロ侍
<0552> エロ侍

//<0553> エロエロ団ナンバー１
<0553> エロエロ団ナンバー１

//<0554> ただのエロ少年
<0554> ただのエロ少年

//<0555> ユリブサイク
<0555> ユリブサイク

//<0556> ドピュッシー
<0556> ドピュッシー

//<0557> アメリカンエロドッグ
<0557> アメリカンエロドッグ

//<0558> ゼウス
<0558> ゼウス

//<0559> 日向markⅡ
<0559> 日向markⅡ

//<0560> 糞虫
<0560> 糞虫

//<0561> 量産型日向
<0561> 量産型日向

//<0562> ？？
<0562> ？？

//<0563> 「いやいや、露出狂って好きでする奴のことだろ？　ゆりから命令されてあくまでも陽動としてなら、俺は仕方がないと引き受けるよ」
<0563> 「いやいや、露出狂って好きでする奴のことだろ？　ゆりから命令されてあくまでも陽動としてなら、俺は仕方がないと引き受けるよ」

//<0564> 音無
<0564> 音無

//<0565> クソ坊主
<0565> クソ坊主

//<0566> 代理人
<0566> 代理人

//<0567> 微妙すぎるイケメン
<0567> 微妙すぎるイケメン

//<0568> ロリコン
<0568> ロリコン

//<0569> メガネ仲間
<0569> メガネ仲間

//<0570> 暗算日本記録保持者
<0570> 暗算日本記録保持者

//<0571> 通り魔
<0571> 通り魔

//<0572> 記憶ナシ男
<0572> 記憶ナシ男

//<0573> 音速
<0573> 音速

//<0574> 無限
<0574> 無限

//<0575> エロ侍
<0575> エロ侍

//<0576> エロエロ団ナンバー１
<0576> エロエロ団ナンバー１

//<0577> ただのエロ少年
<0577> ただのエロ少年

//<0578> ユリブサイク
<0578> ユリブサイク

//<0579> ドピュッシー
<0579> ドピュッシー

//<0580> アメリカンエロドッグ
<0580> アメリカンエロドッグ

//<0581> ゼウス
<0581> ゼウス

//<0582> 日向markⅡ
<0582> 日向markⅡ

//<0583> 糞虫
<0583> 糞虫

//<0584> 量産型日向
<0584> 量産型日向

//<0585> ？？
<0585> ？？

//<0586> 「ちなみに今の俺はエロ侍という名前だがな」
<0586> 「ちなみに今の俺はエロ侍という名前だがな」

//<0587> 音無
<0587> 音無

//<0588> クソ坊主
<0588> クソ坊主

//<0589> 代理人
<0589> 代理人

//<0590> 微妙すぎるイケメン
<0590> 微妙すぎるイケメン

//<0591> ロリコン
<0591> ロリコン

//<0592> メガネ仲間
<0592> メガネ仲間

//<0593> 暗算日本記録保持者
<0593> 暗算日本記録保持者

//<0594> 通り魔
<0594> 通り魔

//<0595> 記憶ナシ男
<0595> 記憶ナシ男

//<0596> 音速
<0596> 音速

//<0597> 無限
<0597> 無限

//<0598> エロ侍
<0598> エロ侍

//<0599> エロエロ団ナンバー１
<0599> エロエロ団ナンバー１

//<0600> ただのエロ少年
<0600> ただのエロ少年

//<0601> ユリブサイク
<0601> ユリブサイク

//<0602> ドピュッシー
<0602> ドピュッシー

//<0603> アメリカンエロドッグ
<0603> アメリカンエロドッグ

//<0604> ゼウス
<0604> ゼウス

//<0605> 日向markⅡ
<0605> 日向markⅡ

//<0606> 糞虫
<0606> 糞虫

//<0607> 量産型日向
<0607> 量産型日向

//<0608> ？？
<0608> ？？

//<0609> 「ちなみに今の俺はエロエロ団ナンバー１という名前だがな」
<0609> 「ちなみに今の俺はエロエロ団ナンバー１という名前だがな」

//<0610> 音無
<0610> 音無

//<0611> クソ坊主
<0611> クソ坊主

//<0612> 代理人
<0612> 代理人

//<0613> 微妙すぎるイケメン
<0613> 微妙すぎるイケメン

//<0614> ロリコン
<0614> ロリコン

//<0615> メガネ仲間
<0615> メガネ仲間

//<0616> 暗算日本記録保持者
<0616> 暗算日本記録保持者

//<0617> 通り魔
<0617> 通り魔

//<0618> 記憶ナシ男
<0618> 記憶ナシ男

//<0619> 音速
<0619> 音速

//<0620> 無限
<0620> 無限

//<0621> エロ侍
<0621> エロ侍

//<0622> エロエロ団ナンバー１
<0622> エロエロ団ナンバー１

//<0623> ただのエロ少年
<0623> ただのエロ少年

//<0624> ユリブサイク
<0624> ユリブサイク

//<0625> ドピュッシー
<0625> ドピュッシー

//<0626> アメリカンエロドッグ
<0626> アメリカンエロドッグ

//<0627> ゼウス
<0627> ゼウス

//<0628> 日向markⅡ
<0628> 日向markⅡ

//<0629> 糞虫
<0629> 糞虫

//<0630> 量産型日向
<0630> 量産型日向

//<0631> ？？
<0631> ？？

//<0632> 「ちなみに今の俺はただのエロ少年という名前だがな」
<0632> 「ちなみに今の俺はただのエロ少年という名前だがな」

//<0633> nothing
<0633> nothing

//<0634> nothing
<0634> nothing

//<0635> 全員
<0635> 全員

//<0636> 「………」
<0636> 「………」

//<0637> 再び全員が黙る。
<0637> 再び全員が黙る。

//<0638> しばらく経ってから、ひさ子が口を開く。
<0638> しばらく経ってから、ひさ子が口を開く。

//<0639> nothing
<0639> nothing

//<0640> nothing
<0640> nothing

//<0641> nothing
<0641> nothing

//<0642> nothing
<0642> nothing

//<0643> nothing
<0643> nothing

//<0644> ひさ子
<0644> ひさ子

//<0645> 「名前もそうだし、さすがに素っ裸でグラウンド走るとか…奇行すぎて、引くぜ…」
<0645> 「名前もそうだし、さすがに素っ裸でグラウンド走るとか…奇行すぎて、引くぜ…」

//<0646> nothing
<0646> nothing

//<0647> nothing
<0647> nothing

//<0648> nothing
<0648> nothing

//<0649> nothing
<0649> nothing

//<0650> nothing
<0650> nothing

//<0651> ひさ子
<0651> ひさ子

//<0652> 「仕方がなくても、さすがに素っ裸でグラウンド走るとか…奇行すぎて、引くぜ…」
<0652> 「仕方がなくても、さすがに素っ裸でグラウンド走るとか…奇行すぎて、引くぜ…」

//<0653> 音無
<0653> 音無

//<0654> クソ坊主
<0654> クソ坊主

//<0655> 代理人
<0655> 代理人

//<0656> 微妙すぎるイケメン
<0656> 微妙すぎるイケメン

//<0657> ロリコン
<0657> ロリコン

//<0658> メガネ仲間
<0658> メガネ仲間

//<0659> 暗算日本記録保持者
<0659> 暗算日本記録保持者

//<0660> 通り魔
<0660> 通り魔

//<0661> 記憶ナシ男
<0661> 記憶ナシ男

//<0662> 音速
<0662> 音速

//<0663> 無限
<0663> 無限

//<0664> エロ侍
<0664> エロ侍

//<0665> エロエロ団ナンバー１
<0665> エロエロ団ナンバー１

//<0666> ただのエロ少年
<0666> ただのエロ少年

//<0667> ユリブサイク
<0667> ユリブサイク

//<0668> ドピュッシー
<0668> ドピュッシー

//<0669> アメリカンエロドッグ
<0669> アメリカンエロドッグ

//<0670> ゼウス
<0670> ゼウス

//<0671> 日向markⅡ
<0671> 日向markⅡ

//<0672> 糞虫
<0672> 糞虫

//<0673> 量産型日向
<0673> 量産型日向

//<0674> ？？
<0674> ？？

//<0675> 「えっ！？　岩沢はっ！？」
<0675> 「えっ！？　岩沢はっ！？」

//<0676> nothing
<0676> nothing

//<0677> nothing
<0677> nothing

//<0678> nothing
<0678> nothing

//<0679> nothing
<0679> nothing

//<0680> nothing
<0680> nothing

//<0681> 岩沢
<0681> 岩沢

//<0682> 「だな。引く。やめてくれ」
<0682> 「だな。引く。やめてくれ」

//<0683> se_shock
<0683> se_shock

//<0684> 音無
<0684> 音無

//<0685> クソ坊主
<0685> クソ坊主

//<0686> 代理人
<0686> 代理人

//<0687> 微妙すぎるイケメン
<0687> 微妙すぎるイケメン

//<0688> ロリコン
<0688> ロリコン

//<0689> メガネ仲間
<0689> メガネ仲間

//<0690> 暗算日本記録保持者
<0690> 暗算日本記録保持者

//<0691> 通り魔
<0691> 通り魔

//<0692> 記憶ナシ男
<0692> 記憶ナシ男

//<0693> 音速
<0693> 音速

//<0694> 無限
<0694> 無限

//<0695> エロ侍
<0695> エロ侍

//<0696> エロエロ団ナンバー１
<0696> エロエロ団ナンバー１

//<0697> ただのエロ少年
<0697> ただのエロ少年

//<0698> ユリブサイク
<0698> ユリブサイク

//<0699> ドピュッシー
<0699> ドピュッシー

//<0700> アメリカンエロドッグ
<0700> アメリカンエロドッグ

//<0701> ゼウス
<0701> ゼウス

//<0702> 日向markⅡ
<0702> 日向markⅡ

//<0703> 糞虫
<0703> 糞虫

//<0704> 量産型日向
<0704> 量産型日向

//<0705> ？？
<0705> ？？

//<0706> （岩沢にも、引かれたぁーーー！！）
<0706> （岩沢にも、引かれたぁーーー！！）

//<0707> nothing
<0707> nothing

//<0708> nothing
<0708> nothing

//<0709> nothing
<0709> nothing

//<0710> nothing
<0710> nothing

//<0711> nothing
<0711> nothing

//<0712> nothing
<0712> nothing

//<0713> ショックのあまり、項垂れる。
<0713> ショックのあまり、項垂れる。

//<0714> それにしても…。
<0714> それにしても…。

//<0715> 白
<0715> 白

//<0716> nothing
<0716> nothing

//<0717> nothing
<0717> nothing

//<0718> nothing
<0718> nothing

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> ゆり
<0721> ゆり

//<0722> 女生徒
<0722> 女生徒

//<0723> ？？
<0723> ？？

//<0724> 「この世界から消える条件は天使のいいなりになって、正しい学生生活を送る…それだけじゃないの」
<0724> 「この世界から消える条件は天使のいいなりになって、正しい学生生活を送る…それだけじゃないの」

//<0725> nothing
<0725> nothing

//<0726> nothing
<0726> nothing

//<0727> nothing
<0727> nothing

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> ゆり
<0730> ゆり

//<0731> 女生徒
<0731> 女生徒

//<0732> ？？
<0732> ？？

//<0733> 「生前の悔いを晴らすほどの満足をこの世界で得られれば、次の人生のスタートを切れる」
<0733> 「生前の悔いを晴らすほどの満足をこの世界で得られれば、次の人生のスタートを切れる」

//<0734> nothing
<0734> nothing

//<0735> 
<0735> 

//<0736> 
<0736> 

//<0737> nothing
<0737> nothing

//<0738> 昨日のゆりの言葉が、頭の中に引っかかっている。
<0738> 昨日のゆりの言葉が、頭の中に引っかかっている。

//<0739> 果たして俺は…。
<0739> 果たして俺は…。

//<0740> 音無
<0740> 音無

//<0741> クソ坊主
<0741> クソ坊主

//<0742> 代理人
<0742> 代理人

//<0743> 微妙すぎるイケメン
<0743> 微妙すぎるイケメン

//<0744> ロリコン
<0744> ロリコン

//<0745> メガネ仲間
<0745> メガネ仲間

//<0746> 暗算日本記録保持者
<0746> 暗算日本記録保持者

//<0747> 通り魔
<0747> 通り魔

//<0748> 記憶ナシ男
<0748> 記憶ナシ男

//<0749> 音速
<0749> 音速

//<0750> 無限
<0750> 無限

//<0751> エロ侍
<0751> エロ侍

//<0752> エロエロ団ナンバー１
<0752> エロエロ団ナンバー１

//<0753> ただのエロ少年
<0753> ただのエロ少年

//<0754> ユリブサイク
<0754> ユリブサイク

//<0755> ドピュッシー
<0755> ドピュッシー

//<0756> アメリカンエロドッグ
<0756> アメリカンエロドッグ

//<0757> ゼウス
<0757> ゼウス

//<0758> 日向markⅡ
<0758> 日向markⅡ

//<0759> 糞虫
<0759> 糞虫

//<0760> 量産型日向
<0760> 量産型日向

//<0761> ？？
<0761> ？？

//<0762> （岩沢を助けたのか…？　邪魔をしたのか…？）
<0762> （岩沢を助けたのか…？　邪魔をしたのか…？）

//<0763> どちらが正しいのか、今の俺には判断がつかない…。
<0763> どちらが正しいのか、今の俺には判断がつかない…。

//<0764> 俺が邪魔をした形で、告知ライブは終わった。
<0764> 俺が邪魔をした形で、告知ライブは終わった。

//<0765> でもあの時感じた不安はもうない。
<0765> でもあの時感じた不安はもうない。

//<0766> 結果的に俺は、正しいことをしたんだろう。
<0766> 結果的に俺は、正しいことをしたんだろう。

//<0767> ガルデモのメンバーを見ながら、そう感じていた。
<0767> ガルデモのメンバーを見ながら、そう感じていた。

//<0768> dummy
<0768> dummy

//<0769> bg_kuro
<0769> bg_kuro

//<0770> ep03_bg010
<0770> ep03_bg010

//<0771> m103
<0771> m103

//<0772> sk0402_13
<0772> sk0402_13

//<0773> sk0416
<0773> sk0416

//<0774> sk
<0774> sk

//<0775> hs0105
<0775> hs0105

//<0776> ep03_bg013
<0776> ep03_bg013

//<0777> iw0108_09
<0777> iw0108_09

//<0778> ep03_bg010
<0778> ep03_bg010

//<0779> sk0101_06
<0779> sk0101_06

//<0780> hs0105
<0780> hs0105

//<0781> sk
<0781> sk

//<0782> hs
<0782> hs

//<0783> iw0306_08
<0783> iw0306_08

//<0784> hs0105_01
<0784> hs0105_01

//<0785> bs3_sk0505
<0785> bs3_sk0505

//<0786> sk0504
<0786> sk0504

//<0787> sk051406a0
<0787> sk051406a0

//<0788> sk050800g0
<0788> sk050800g0

//<0789> sys_bk_selline00
<0789> sys_bk_selline00

//<0790> sk
<0790> sk

//<0791> bs1_hs0104
<0791> bs1_hs0104

//<0792> sk0514060000g0
<0792> sk0514060000g0

//<0793> hs0106
<0793> hs0106

//<0794> sk0416
<0794> sk0416

//<0795> sk
<0795> sk

//<0796> hs
<0796> hs

//<0797> bs1_ir0104_05
<0797> bs1_ir0104_05

//<0798> sk0205
<0798> sk0205

//<0799> ir0106
<0799> ir0106

//<0800> sk
<0800> sk

//<0801> hs
<0801> hs

//<0802> ir
<0802> ir

//<0803> bs1_iw0309_08
<0803> bs1_iw0309_08

//<0804> sk0515
<0804> sk0515

//<0805> hs0103
<0805> hs0103

//<0806> iw0306
<0806> iw0306

//<0807> ir0104
<0807> ir0104

//<0808> hs0204_05
<0808> hs0204_05

//<0809> sk0512
<0809> sk0512

//<0810> iw0207
<0810> iw0207

//<0811> hs0101
<0811> hs0101

//<0812> iw0201
<0812> iw0201

//<0813> ir0303_01
<0813> ir0303_01

//<0814> sk0509_15
<0814> sk0509_15

//<0815> bs1_hs0104
<0815> bs1_hs0104

//<0816> sk0509
<0816> sk0509

//<0817> bs1_iw0307_09
<0817> bs1_iw0307_09

//<0818> bs1_ir0106
<0818> bs1_ir0106

//<0819> sk0406
<0819> sk0406

//<0820> sk0416_09
<0820> sk0416_09

//<0821> bs1_hs0106_04
<0821> bs1_hs0106_04

//<0822> bs1_ir0107_06
<0822> bs1_ir0107_06

//<0823> bs1_iw0309
<0823> bs1_iw0309

//<0824> hs0204_05
<0824> hs0204_05

//<0825> hs0204_05
<0825> hs0204_05

//<0826> iw0108
<0826> iw0108

//<0827> m203
<0827> m203
{112b8} 0a // 0827

//<0828> bg_siro
<0828> bg_siro
{113a5} 0a // 0828

//<0829> ep03_bg004
<0829> ep03_bg004

//<0830> yr0110
<0830> yr0110

//<0831> yr0109
<0831> yr0109

//<0832> bg_siro
<0832> bg_siro
{11da6} 0a // 0832

//<0833> bg_kuro
<0833> bg_kuro

