// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 窓越しに覗き込む。
<0000> 窓越しに覗き込む。
<0525> ドピュッシー

//<0526> アメリカンエロドッグ
<0526> アメリカンエロドッグ

//<0527> ゼウス
<0527> ゼウス

//<0528> 日向markⅡ
<0528> 日向markⅡ

//<0529> 糞虫
<0529> 糞虫

//<0530> 量産型日向
<0530> 量産型日向

//<0531> ？？
<0531> ？？

//<0532> 「いや、それだけはっ！」
<0532> 「いや、それだけはっ！」

//<0533> nothing
<0533> nothing

//<0534> nothing
<0534> nothing

//<0535> nothing
<0535> nothing

//<0536> nothing
<0536> nothing

//<0537> nothing
<0537> nothing

//<0538> 岩沢
<0538> 岩沢

//<0539> 「こちらこそ頼むよ」
<0539> 「こちらこそ頼むよ」

//<0540> 音無
<0540> 音無

//<0541> クソ坊主
<0541> クソ坊主

//<0542> 代理人
<0542> 代理人

//<0543> 微妙すぎるイケメン
<0543> 微妙すぎるイケメン

//<0544> ロリコン
<0544> ロリコン

//<0545> メガネ仲間
<0545> メガネ仲間

//<0546> 暗算日本記録保持者
<0546> 暗算日本記録保持者

//<0547> 通り魔
<0547> 通り魔

//<0548> 記憶ナシ男
<0548> 記憶ナシ男

//<0549> 音速
<0549> 音速

//<0550> 無限
<0550> 無限

//<0551> エロ侍
<0551> エロ侍

//<0552> エロエロ団ナンバー１
<0552> エロエロ団ナンバー１

//<0553> ただのエロ少年
<0553> ただのエロ少年

//<0554> ユリブサイク
<0554> ユリブサイク

//<0555> ドピュッシー
<0555> ドピュッシー

//<0556> アメリカンエロドッグ
<0556> アメリカンエロドッグ

//<0557> ゼウス
<0557> ゼウス

//<0558> 日向markⅡ
<0558> 日向markⅡ

//<0559> 糞虫
<0559> 糞虫

//<0560> 量産型日向
<0560> 量産型日向

//<0561> ？？
<0561> ？？

//<0562> 「そこをなにとぞよろしくお願いします！！」
<0562> 「そこをなにとぞよろしくお願いします！！」

//<0563> nothing
<0563> nothing

//<0564> nothing
<0564> nothing

//<0565> nothing
<0565> nothing

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> 岩沢
<0568> 岩沢

//<0569> 「なんなんだよ、そのノルマ達成に必死な営業マンのような粘り方は…」
<0569> 「なんなんだよ、そのノルマ達成に必死な営業マンのような粘り方は…」

//<0570> ゆりにも似たようなことを言われたが、これが俺の必殺技だ！
<0570> ゆりにも似たようなことを言われたが、これが俺の必殺技だ！

//<0571> 音無
<0571> 音無

//<0572> クソ坊主
<0572> クソ坊主

//<0573> 代理人
<0573> 代理人

//<0574> 微妙すぎるイケメン
<0574> 微妙すぎるイケメン

//<0575> ロリコン
<0575> ロリコン

//<0576> メガネ仲間
<0576> メガネ仲間

//<0577> 暗算日本記録保持者
<0577> 暗算日本記録保持者

//<0578> 通り魔
<0578> 通り魔

//<0579> 記憶ナシ男
<0579> 記憶ナシ男

//<0580> 音速
<0580> 音速

//<0581> 無限
<0581> 無限

//<0582> エロ侍
<0582> エロ侍

//<0583> エロエロ団ナンバー１
<0583> エロエロ団ナンバー１

//<0584> ただのエロ少年
<0584> ただのエロ少年

//<0585> ユリブサイク
<0585> ユリブサイク

//<0586> ドピュッシー
<0586> ドピュッシー

//<0587> アメリカンエロドッグ
<0587> アメリカンエロドッグ

//<0588> ゼウス
<0588> ゼウス

//<0589> 日向markⅡ
<0589> 日向markⅡ

//<0590> 糞虫
<0590> 糞虫

//<0591> 量産型日向
<0591> 量産型日向

//<0592> ？？
<0592> ？？

//<0593> 「頼みます！」
<0593> 「頼みます！」

//<0594> nothing
<0594> nothing

//<0595> nothing
<0595> nothing

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> 岩沢
<0599> 岩沢

//<0600> 「だから、こっちも頼むっての」
<0600> 「だから、こっちも頼むっての」

//<0601> 音無
<0601> 音無

//<0602> クソ坊主
<0602> クソ坊主

//<0603> 代理人
<0603> 代理人

//<0604> 微妙すぎるイケメン
<0604> 微妙すぎるイケメン

//<0605> ロリコン
<0605> ロリコン

//<0606> メガネ仲間
<0606> メガネ仲間

//<0607> 暗算日本記録保持者
<0607> 暗算日本記録保持者

//<0608> 通り魔
<0608> 通り魔

//<0609> 記憶ナシ男
<0609> 記憶ナシ男

//<0610> 音速
<0610> 音速

//<0611> 無限
<0611> 無限

//<0612> エロ侍
<0612> エロ侍

//<0613> エロエロ団ナンバー１
<0613> エロエロ団ナンバー１

//<0614> ただのエロ少年
<0614> ただのエロ少年

//<0615> ユリブサイク
<0615> ユリブサイク

//<0616> ドピュッシー
<0616> ドピュッシー

//<0617> アメリカンエロドッグ
<0617> アメリカンエロドッグ

//<0618> ゼウス
<0618> ゼウス

//<0619> 日向markⅡ
<0619> 日向markⅡ

//<0620> 糞虫
<0620> 糞虫

//<0621> 量産型日向
<0621> 量産型日向

//<0622> ？？
<0622> ？？

//<0623> 「くっ…」
<0623> 「くっ…」

//<0624> nothing
<0624> nothing

//<0625> nothing
<0625> nothing

//<0626> nothing
<0626> nothing

//<0627> nothing
<0627> nothing

//<0628> nothing
<0628> nothing

//<0629> ここまで押しても駄目なら、仕方がない…。
<0629> ここまで押しても駄目なら、仕方がない…。

//<0630> 岩沢
<0630> 岩沢

//<0631> 「二度と邪魔しに来るなよ」
<0631> 「二度と邪魔しに来るなよ」

//<0632> 音無
<0632> 音無

//<0633> クソ坊主
<0633> クソ坊主

//<0634> 代理人
<0634> 代理人

//<0635> 微妙すぎるイケメン
<0635> 微妙すぎるイケメン

//<0636> ロリコン
<0636> ロリコン

//<0637> メガネ仲間
<0637> メガネ仲間

//<0638> 暗算日本記録保持者
<0638> 暗算日本記録保持者

//<0639> 通り魔
<0639> 通り魔

//<0640> 記憶ナシ男
<0640> 記憶ナシ男

//<0641> 音速
<0641> 音速

//<0642> 無限
<0642> 無限

//<0643> エロ侍
<0643> エロ侍

//<0644> エロエロ団ナンバー１
<0644> エロエロ団ナンバー１

//<0645> ただのエロ少年
<0645> ただのエロ少年

//<0646> ユリブサイク
<0646> ユリブサイク

//<0647> ドピュッシー
<0647> ドピュッシー

//<0648> アメリカンエロドッグ
<0648> アメリカンエロドッグ

//<0649> ゼウス
<0649> ゼウス

//<0650> 日向markⅡ
<0650> 日向markⅡ

//<0651> 糞虫
<0651> 糞虫

//<0652> 量産型日向
<0652> 量産型日向

//<0653> ？？
<0653> ？？

//<0654> 「いや、バンドというより、岩沢、お前自身になんつーか、興味が湧いてきた」
<0654> 「いや、バンドというより、岩沢、お前自身になんつーか、興味が湧いてきた」

//<0655> nothing
<0655> nothing

//<0656> nothing
<0656> nothing

//<0657> nothing
<0657> nothing

//<0658> nothing
<0658> nothing

//<0659> nothing
<0659> nothing

//<0660> 岩沢
<0660> 岩沢
{ef5e} 33 // 0660

//<0661> 「こんな音楽キチに？　そりゃ奇特な奴だ。お気の毒に」
<0661> 「こんな音楽キチに？　そりゃ奇特な奴だ。お気の毒に」

//<0662> nothing
<0662> nothing

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> nothing
<0665> nothing

//<0666> nothing
<0666> nothing

//<0667> 音無
<0667> 音無

//<0668> クソ坊主
<0668> クソ坊主

//<0669> 代理人
<0669> 代理人

//<0670> 微妙すぎるイケメン
<0670> 微妙すぎるイケメン

//<0671> ロリコン
<0671> ロリコン

//<0672> メガネ仲間
<0672> メガネ仲間

//<0673> 暗算日本記録保持者
<0673> 暗算日本記録保持者

//<0674> 通り魔
<0674> 通り魔

//<0675> 記憶ナシ男
<0675> 記憶ナシ男

//<0676> 音速
<0676> 音速

//<0677> 無限
<0677> 無限

//<0678> エロ侍
<0678> エロ侍

//<0679> エロエロ団ナンバー１
<0679> エロエロ団ナンバー１

//<0680> ただのエロ少年
<0680> ただのエロ少年

//<0681> ユリブサイク
<0681> ユリブサイク

//<0682> ドピュッシー
<0682> ドピュッシー

//<0683> アメリカンエロドッグ
<0683> アメリカンエロドッグ

//<0684> ゼウス
<0684> ゼウス

//<0685> 日向markⅡ
<0685> 日向markⅡ

//<0686> 糞虫
<0686> 糞虫

//<0687> 量産型日向
<0687> 量産型日向

//<0688> ？？
<0688> ？？

//<0689> 「なんで、お気の毒なんだよ」
<0689> 「なんで、お気の毒なんだよ」

//<0690> nothing
<0690> nothing

//<0691> nothing
<0691> nothing

//<0692> nothing
<0692> nothing

//<0693> nothing
<0693> nothing

//<0694> nothing
<0694> nothing

//<0695> 岩沢
<0695> 岩沢
{fca4} 33 // 0695

//<0696> 「あたしは音楽にしか興味がないからな。以上。ふん～ふふ～ん」
<0696> 「あたしは音楽にしか興味がないからな。以上。ふん～ふふ～ん」

//<0697> nothing
<0697> nothing

//<0698> nothing
<0698> nothing

//<0699> nothing
<0699> nothing

//<0700> nothing
<0700> nothing

//<0701> nothing
<0701> nothing

//<0702> 音無
<0702> 音無

//<0703> クソ坊主
<0703> クソ坊主

//<0704> 代理人
<0704> 代理人

//<0705> 微妙すぎるイケメン
<0705> 微妙すぎるイケメン

//<0706> ロリコン
<0706> ロリコン

//<0707> メガネ仲間
<0707> メガネ仲間

//<0708> 暗算日本記録保持者
<0708> 暗算日本記録保持者

//<0709> 通り魔
<0709> 通り魔

//<0710> 記憶ナシ男
<0710> 記憶ナシ男

//<0711> 音速
<0711> 音速

//<0712> 無限
<0712> 無限

//<0713> エロ侍
<0713> エロ侍

//<0714> エロエロ団ナンバー１
<0714> エロエロ団ナンバー１

//<0715> ただのエロ少年
<0715> ただのエロ少年

//<0716> ユリブサイク
<0716> ユリブサイク

//<0717> ドピュッシー
<0717> ドピュッシー

//<0718> アメリカンエロドッグ
<0718> アメリカンエロドッグ

//<0719> ゼウス
<0719> ゼウス

//<0720> 日向markⅡ
<0720> 日向markⅡ

//<0721> 糞虫
<0721> 糞虫

//<0722> 量産型日向
<0722> 量産型日向

//<0723> ？？
<0723> ？？

//<0724> 「待て！　作業に戻るな！」
<0724> 「待て！　作業に戻るな！」

//<0725> nothing
<0725> nothing

//<0726> nothing
<0726> nothing

//<0727> nothing
<0727> nothing

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> 岩沢
<0730> 岩沢
{109ea} 33 // 0730

//<0731> 「うん、悪くない。Ｂメロはと…ふんふ～ん」
<0731> 「うん、悪くない。Ｂメロはと…ふんふ～ん」

//<0732> nothing
<0732> nothing

//<0733> nothing
<0733> nothing

//<0734> nothing
<0734> nothing

//<0735> nothing
<0735> nothing

//<0736> nothing
<0736> nothing

//<0737> 音無
<0737> 音無

//<0738> クソ坊主
<0738> クソ坊主

//<0739> 代理人
<0739> 代理人

//<0740> 微妙すぎるイケメン
<0740> 微妙すぎるイケメン

//<0741> ロリコン
<0741> ロリコン

//<0742> メガネ仲間
<0742> メガネ仲間

//<0743> 暗算日本記録保持者
<0743> 暗算日本記録保持者

//<0744> 通り魔
<0744> 通り魔

//<0745> 記憶ナシ男
<0745> 記憶ナシ男

//<0746> 音速
<0746> 音速

//<0747> 無限
<0747> 無限

//<0748> エロ侍
<0748> エロ侍

//<0749> エロエロ団ナンバー１
<0749> エロエロ団ナンバー１

//<0750> ただのエロ少年
<0750> ただのエロ少年

//<0751> ユリブサイク
<0751> ユリブサイク

//<0752> ドピュッシー
<0752> ドピュッシー

//<0753> アメリカンエロドッグ
<0753> アメリカンエロドッグ

//<0754> ゼウス
<0754> ゼウス

//<0755> 日向markⅡ
<0755> 日向markⅡ

//<0756> 糞虫
<0756> 糞虫

//<0757> 量産型日向
<0757> 量産型日向

//<0758> ？？
<0758> ？？

//<0759> 「ライブが始まるぞーー！！」
<0759> 「ライブが始まるぞーー！！」

//<0760> nothing
<0760> nothing

//<0761> nothing
<0761> nothing

//<0762> nothing
<0762> nothing

//<0763> nothing
<0763> nothing

//<0764> nothing
<0764> nothing

//<0765> 岩沢
<0765> 岩沢

//<0766> 「よおーし！　
<0766> 「よおーし！　

//<0767> Crow Song
<0767> Crow Song

//<0768> から飛ばしていくぜ！」
<0768> から飛ばしていくぜ！」

//<0769> nothing
<0769> nothing

//<0770> nothing
<0770> nothing

//<0771> nothing
<0771> nothing

//<0772> nothing
<0772> nothing

//<0773> nothing
<0773> nothing

//<0774> 岩沢
<0774> 岩沢

//<0775> 「って、なんだよ…またお前か…」
<0775> 「って、なんだよ…またお前か…」

//<0776> キチ具合が半端ない…。
<0776> キチ具合が半端ない…。

//<0777> 音無
<0777> 音無

//<0778> クソ坊主
<0778> クソ坊主

//<0779> 代理人
<0779> 代理人

//<0780> 微妙すぎるイケメン
<0780> 微妙すぎるイケメン

//<0781> ロリコン
<0781> ロリコン

//<0782> メガネ仲間
<0782> メガネ仲間

//<0783> 暗算日本記録保持者
<0783> 暗算日本記録保持者

//<0784> 通り魔
<0784> 通り魔

//<0785> 記憶ナシ男
<0785> 記憶ナシ男

//<0786> 音速
<0786> 音速

//<0787> 無限
<0787> 無限

//<0788> エロ侍
<0788> エロ侍

//<0789> エロエロ団ナンバー１
<0789> エロエロ団ナンバー１

//<0790> ただのエロ少年
<0790> ただのエロ少年

//<0791> ユリブサイク
<0791> ユリブサイク

//<0792> ドピュッシー
<0792> ドピュッシー

//<0793> アメリカンエロドッグ
<0793> アメリカンエロドッグ

//<0794> ゼウス
<0794> ゼウス

//<0795> 日向markⅡ
<0795> 日向markⅡ

//<0796> 糞虫
<0796> 糞虫

//<0797> 量産型日向
<0797> 量産型日向

//<0798> ？？
<0798> ？？

//<0799> 「悪い。でもちょっとぐらい話してもいいだろ？」
<0799> 「悪い。でもちょっとぐらい話してもいいだろ？」

//<0800> 音無
<0800> 音無

//<0801> クソ坊主
<0801> クソ坊主

//<0802> 代理人
<0802> 代理人

//<0803> 微妙すぎるイケメン
<0803> 微妙すぎるイケメン

//<0804> ロリコン
<0804> ロリコン

//<0805> メガネ仲間
<0805> メガネ仲間

//<0806> 暗算日本記録保持者
<0806> 暗算日本記録保持者

//<0807> 通り魔
<0807> 通り魔

//<0808> 記憶ナシ男
<0808> 記憶ナシ男

//<0809> 音速
<0809> 音速

//<0810> 無限
<0810> 無限

//<0811> エロ侍
<0811> エロ侍

//<0812> エロエロ団ナンバー１
<0812> エロエロ団ナンバー１

//<0813> ただのエロ少年
<0813> ただのエロ少年

//<0814> ユリブサイク
<0814> ユリブサイク

//<0815> ドピュッシー
<0815> ドピュッシー

//<0816> アメリカンエロドッグ
<0816> アメリカンエロドッグ

//<0817> ゼウス
<0817> ゼウス

//<0818> 日向markⅡ
<0818> 日向markⅡ

//<0819> 糞虫
<0819> 糞虫

//<0820> 量産型日向
<0820> 量産型日向

//<0821> ？？
<0821> ？？

//<0822> 「そこは関根に任せたほうがいい」
<0822> 「そこは関根に任せたほうがいい」

//<0823> nothing
<0823> nothing

//<0824> nothing
<0824> nothing

//<0825> nothing
<0825> nothing

//<0826> nothing
<0826> nothing

//<0827> nothing
<0827> nothing

//<0828> 岩沢
<0828> 岩沢

//<0829> 「え！？　マジかよっ」
<0829> 「え！？　マジかよっ」

//<0830> nothing
<0830> nothing

//<0831> nothing
<0831> nothing

//<0832> nothing
<0832> nothing

//<0833> nothing
<0833> nothing

//<0834> nothing
<0834> nothing

//<0835> 岩沢
<0835> 岩沢

//<0836> 「敢えて、Ｂメロを関根に任せる…いわば共作か…」
<0836> 「敢えて、Ｂメロを関根に任せる…いわば共作か…」

//<0837> nothing
<0837> nothing

//<0838> nothing
<0838> nothing

//<0839> nothing
<0839> nothing

//<0840> nothing
<0840> nothing

//<0841> nothing
<0841> nothing

//<0842> 岩沢
<0842> 岩沢
{12c8c} 33 // 0842

//<0843> 「ありか？　うーん…」
<0843> 「ありか？　うーん…」

//<0844> nothing
<0844> nothing

//<0845> nothing
<0845> nothing

//<0846> nothing
<0846> nothing

//<0847> nothing
<0847> nothing

//<0848> nothing
<0848> nothing

//<0849> 音無
<0849> 音無

//<0850> クソ坊主
<0850> クソ坊主

//<0851> 代理人
<0851> 代理人

//<0852> 微妙すぎるイケメン
<0852> 微妙すぎるイケメン

//<0853> ロリコン
<0853> ロリコン

//<0854> メガネ仲間
<0854> メガネ仲間

//<0855> 暗算日本記録保持者
<0855> 暗算日本記録保持者

//<0856> 通り魔
<0856> 通り魔

//<0857> 記憶ナシ男
<0857> 記憶ナシ男

//<0858> 音速
<0858> 音速

//<0859> 無限
<0859> 無限

//<0860> エロ侍
<0860> エロ侍

//<0861> エロエロ団ナンバー１
<0861> エロエロ団ナンバー１

//<0862> ただのエロ少年
<0862> ただのエロ少年

//<0863> ユリブサイク
<0863> ユリブサイク

//<0864> ドピュッシー
<0864> ドピュッシー

//<0865> アメリカンエロドッグ
<0865> アメリカンエロドッグ

//<0866> ゼウス
<0866> ゼウス

//<0867> 日向markⅡ
<0867> 日向markⅡ

//<0868> 糞虫
<0868> 糞虫

//<0869> 量産型日向
<0869> 量産型日向

//<0870> ？？
<0870> ？？

//<0871> 「いやいや、ジョークだから」
<0871> 「いやいや、ジョークだから」

//<0872> nothing
<0872> nothing

//<0873> nothing
<0873> nothing

//<0874> nothing
<0874> nothing

//<0875> nothing
<0875> nothing

//<0876> nothing
<0876> nothing

//<0877> 岩沢
<0877> 岩沢

//<0878> 「またかよ…余計なこと考えさせるなよ…」
<0878> 「またかよ…余計なこと考えさせるなよ…」

//<0879> 音無
<0879> 音無

//<0880> クソ坊主
<0880> クソ坊主

//<0881> 代理人
<0881> 代理人

//<0882> 微妙すぎるイケメン
<0882> 微妙すぎるイケメン

//<0883> ロリコン
<0883> ロリコン

//<0884> メガネ仲間
<0884> メガネ仲間

//<0885> 暗算日本記録保持者
<0885> 暗算日本記録保持者

//<0886> 通り魔
<0886> 通り魔

//<0887> 記憶ナシ男
<0887> 記憶ナシ男

//<0888> 音速
<0888> 音速

//<0889> 無限
<0889> 無限

//<0890> エロ侍
<0890> エロ侍

//<0891> エロエロ団ナンバー１
<0891> エロエロ団ナンバー１

//<0892> ただのエロ少年
<0892> ただのエロ少年

//<0893> ユリブサイク
<0893> ユリブサイク

//<0894> ドピュッシー
<0894> ドピュッシー

//<0895> アメリカンエロドッグ
<0895> アメリカンエロドッグ

//<0896> ゼウス
<0896> ゼウス

//<0897> 日向markⅡ
<0897> 日向markⅡ

//<0898> 糞虫
<0898> 糞虫

//<0899> 量産型日向
<0899> 量産型日向

//<0900> ？？
<0900> ？？

//<0901> 「ちょっとぐらい話してもいいだろ」
<0901> 「ちょっとぐらい話してもいいだろ」

//<0902> nothing
<0902> nothing

//<0903> nothing
<0903> nothing

//<0904> nothing
<0904> nothing

//<0905> nothing
<0905> nothing

//<0906> nothing
<0906> nothing

//<0907> 岩沢
<0907> 岩沢

//<0908> 「いいけど、あたしが興味を持つ話題でもあるのか？」
<0908> 「いいけど、あたしが興味を持つ話題でもあるのか？」

//<0909> う、と俺は絶句した。
<0909> う、と俺は絶句した。

//<0910> 音無
<0910> 音無

//<0911> クソ坊主
<0911> クソ坊主

//<0912> 代理人
<0912> 代理人

//<0913> 微妙すぎるイケメン
<0913> 微妙すぎるイケメン

//<0914> ロリコン
<0914> ロリコン

//<0915> メガネ仲間
<0915> メガネ仲間

//<0916> 暗算日本記録保持者
<0916> 暗算日本記録保持者

//<0917> 通り魔
<0917> 通り魔

//<0918> 記憶ナシ男
<0918> 記憶ナシ男

//<0919> 音速
<0919> 音速

//<0920> 無限
<0920> 無限

//<0921> エロ侍
<0921> エロ侍

//<0922> エロエロ団ナンバー１
<0922> エロエロ団ナンバー１

//<0923> ただのエロ少年
<0923> ただのエロ少年

//<0924> ユリブサイク
<0924> ユリブサイク

//<0925> ドピュッシー
<0925> ドピュッシー

//<0926> アメリカンエロドッグ
<0926> アメリカンエロドッグ

//<0927> ゼウス
<0927> ゼウス

//<0928> 日向markⅡ
<0928> 日向markⅡ

//<0929> 糞虫
<0929> 糞虫

//<0930> 量産型日向
<0930> 量産型日向

//<0931> ？？
<0931> ？？

//<0932> （音楽になんてそんなに興味はない…。そもそも記憶喪失なんだし…）
<0932> （音楽になんてそんなに興味はない…。そもそも記憶喪失なんだし…）

//<0933> nothing
<0933> nothing

//<0934> nothing
<0934> nothing

//<0935> nothing
<0935> nothing

//<0936> nothing
<0936> nothing

//<0937> nothing
<0937> nothing

//<0938> 岩沢
<0938> 岩沢
{14bab} 33 // 0938

//<0939> 「さあ、どんな面白い話をしてくれるのかなぁ。是非聞かせておくれよ」
<0939> 「さあ、どんな面白い話をしてくれるのかなぁ。是非聞かせておくれよ」

//<0940> nothing
<0940> nothing

//<0941> nothing
<0941> nothing

//<0942> nothing
<0942> nothing

//<0943> nothing
<0943> nothing

//<0944> nothing
<0944> nothing

//<0945> 音無
<0945> 音無

//<0946> クソ坊主
<0946> クソ坊主

//<0947> 代理人
<0947> 代理人

//<0948> 微妙すぎるイケメン
<0948> 微妙すぎるイケメン

//<0949> ロリコン
<0949> ロリコン

//<0950> メガネ仲間
<0950> メガネ仲間

//<0951> 暗算日本記録保持者
<0951> 暗算日本記録保持者

//<0952> 通り魔
<0952> 通り魔

//<0953> 記憶ナシ男
<0953> 記憶ナシ男

//<0954> 音速
<0954> 音速

//<0955> 無限
<0955> 無限

//<0956> エロ侍
<0956> エロ侍

//<0957> エロエロ団ナンバー１
<0957> エロエロ団ナンバー１

//<0958> ただのエロ少年
<0958> ただのエロ少年

//<0959> ユリブサイク
<0959> ユリブサイク

//<0960> ドピュッシー
<0960> ドピュッシー

//<0961> アメリカンエロドッグ
<0961> アメリカンエロドッグ

//<0962> ゼウス
<0962> ゼウス

//<0963> 日向markⅡ
<0963> 日向markⅡ

//<0964> 糞虫
<0964> 糞虫

//<0965> 量産型日向
<0965> 量産型日向

//<0966> ？？
<0966> ？？

//<0967> （なんてプレッシャーだ！！）
<0967> （なんてプレッシャーだ！！）

//<0968> 自称音楽キチに楽しんでもらえるような話題などあるのだろうか…。
<0968> 自称音楽キチに楽しんでもらえるような話題などあるのだろうか…。

//<0969> nothing
<0969> nothing

//<0970> nothing
<0970> nothing

//<0971> nothing
<0971> nothing

//<0972> nothing
<0972> nothing

//<0973> nothing
<0973> nothing

//<0974> 岩沢
<0974> 岩沢

//<0975> 「しかも手短にな」
<0975> 「しかも手短にな」

//<0976> 音無
<0976> 音無

//<0977> クソ坊主
<0977> クソ坊主

//<0978> 代理人
<0978> 代理人

//<0979> 微妙すぎるイケメン
<0979> 微妙すぎるイケメン

//<0980> ロリコン
<0980> ロリコン

//<0981> メガネ仲間
<0981> メガネ仲間

//<0982> 暗算日本記録保持者
<0982> 暗算日本記録保持者

//<0983> 通り魔
<0983> 通り魔

//<0984> 記憶ナシ男
<0984> 記憶ナシ男

//<0985> 音速
<0985> 音速

//<0986> 無限
<0986> 無限

//<0987> エロ侍
<0987> エロ侍

//<0988> エロエロ団ナンバー１
<0988> エロエロ団ナンバー１

//<0989> ただのエロ少年
<0989> ただのエロ少年

//<0990> ユリブサイク
<0990> ユリブサイク

//<0991> ドピュッシー
<0991> ドピュッシー

//<0992> アメリカンエロドッグ
<0992> アメリカンエロドッグ

//<0993> ゼウス
<0993> ゼウス

//<0994> 日向markⅡ
<0994> 日向markⅡ

//<0995> 糞虫
<0995> 糞虫

//<0996> 量産型日向
<0996> 量産型日向

//<0997> ？？
<0997> ？？

//<0998> 「ああ…」
<0998> 「ああ…」

//<0999> 04_岩沢の興味のある話題探し
<0999> 04_岩沢の興味のある話題探し

//<1000> dummy
<1000> dummy

//<1001> ep88_bg007
<1001> ep88_bg007

//<1002> ep03_bg015
<1002> ep03_bg015
{01a0} 0a // 1002

//<1003> bs2_iw0101_09
<1003> bs2_iw0101_09

//<1004> ep03_bg015
<1004> ep03_bg015
{0942} 0a // 1004

//<1005> bs2_iw0101_09
<1005> bs2_iw0101_09

//<1006> sys_bk_selline00
<1006> sys_bk_selline00

//<1007> bg_kuro
<1007> bg_kuro

//<1008> iw0101_09
<1008> iw0101_09

//<1009> iw0109_01
<1009> iw0109_01

//<1010> iw0108
<1010> iw0108

//<1011> iw0109_01
<1011> iw0109_01

//<1012> iw0109_02
<1012> iw0109_02

//<1013> iw0101_08
<1013> iw0101_08

//<1014> iw0205
<1014> iw0205

//<1015> iw0209
<1015> iw0209

//<1016> sys_bk_selline00
<1016> sys_bk_selline00

//<1017> iw0106
<1017> iw0106

//<1018> iw0107
<1018> iw0107

//<1019> iw0209_08
<1019> iw0209_08

//<1020> iw0108
<1020> iw0108

//<1021> iw0302
<1021> iw0302

//<1022> iw0106
<1022> iw0106

//<1023> iw0207
<1023> iw0207

//<1024> iw0201_09
<1024> iw0201_09

//<1025> iw0109_08
<1025> iw0109_08

//<1026> iw0104_09
<1026> iw0104_09

//<1027> iw0208
<1027> iw0208

//<1028> iw0302
<1028> iw0302

//<1029> sys_bk_selline00
<1029> sys_bk_selline00

//<1030> iw0109
<1030> iw0109

//<1031> sys_bk_selline00
<1031> sys_bk_selline00

//<1032> iw0101_08
<1032> iw0101_08

//<1033> bs1_iw0101_08
<1033> bs1_iw0101_08

//<1034> bs1_iw0104_09
<1034> bs1_iw0104_09

//<1035> bg_kuro
<1035> bg_kuro

//<1036> iw0108
<1036> iw0108

//<1037> iw0107
<1037> iw0107

//<1038> iw0104_08
<1038> iw0104_08

//<1039> iw0104_09
<1039> iw0104_09

//<1040> iw0107_01
<1040> iw0107_01

//<1041> iw0209_02
<1041> iw0209_02

//<1042> iw0204_01
<1042> iw0204_01

//<1043> iw0109_01
<1043> iw0109_01

//<1044> iw0115
<1044> iw0115

//<1045> iw0109_01
<1045> iw0109_01

//<1046> iw0104_02
<1046> iw0104_02

//<1047> iw0107
<1047> iw0107

//<1048> iw0106
<1048> iw0106

//<1049> iw0210
<1049> iw0210

//<1050> iw0208
<1050> iw0208

//<1051> iw0209_10
<1051> iw0209_10

//<1052> iw0207
<1052> iw0207

//<1053> iw0308
<1053> iw0308

//<1054> iw0210_08
<1054> iw0210_08

//<1055> iw0210_02
<1055> iw0210_02

//<1056> iw0208
<1056> iw0208

//<1057> bg_kuro
<1057> bg_kuro

