// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> まず、神の居る場所を突き止めなくてはいけない。
<0000> まず、神の居る場所を突き止めなくてはいけない。
//<0556> nothing
<0556> nothing

//<0557> nothing
<0557> nothing

//<0558> 天使
<0558> 天使

//<0559> かなで
<0559> かなで

//<0560> 女生徒
<0560> 女生徒

//<0561> ？？
<0561> ？？

//<0562> 「うるさい音楽は苦手だわ」
<0562> 「うるさい音楽は苦手だわ」

//<0563> nothing
<0563> nothing

//<0564> nothing
<0564> nothing

//<0565> nothing
<0565> nothing

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> 天使
<0568> 天使

//<0569> かなで
<0569> かなで

//<0570> 女生徒
<0570> 女生徒

//<0571> ？？
<0571> ？？

//<0572> 「でも、あの時聴いた曲は、初めていいと思ったわ」
<0572> 「でも、あの時聴いた曲は、初めていいと思ったわ」

//<0573> 音無
<0573> 音無

//<0574> クソ坊主
<0574> クソ坊主

//<0575> 代理人
<0575> 代理人

//<0576> 微妙すぎるイケメン
<0576> 微妙すぎるイケメン

//<0577> ロリコン
<0577> ロリコン

//<0578> メガネ仲間
<0578> メガネ仲間

//<0579> 暗算日本記録保持者
<0579> 暗算日本記録保持者

//<0580> 通り魔
<0580> 通り魔

//<0581> 記憶ナシ男
<0581> 記憶ナシ男

//<0582> 音速
<0582> 音速

//<0583> 無限
<0583> 無限

//<0584> エロ侍
<0584> エロ侍

//<0585> エロエロ団ナンバー１
<0585> エロエロ団ナンバー１

//<0586> ただのエロ少年
<0586> ただのエロ少年

//<0587> ユリブサイク
<0587> ユリブサイク

//<0588> ドピュッシー
<0588> ドピュッシー

//<0589> アメリカンエロドッグ
<0589> アメリカンエロドッグ

//<0590> ゼウス
<0590> ゼウス

//<0591> 日向markⅡ
<0591> 日向markⅡ

//<0592> 糞虫
<0592> 糞虫

//<0593> 量産型日向
<0593> 量産型日向

//<0594> ？？
<0594> ？？

//<0595> 「え？　いつ聴いた曲？」
<0595> 「え？　いつ聴いた曲？」

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> nothing
<0599> nothing

//<0600> nothing
<0600> nothing

//<0601> 天使
<0601> 天使

//<0602> かなで
<0602> かなで

//<0603> 女生徒
<0603> 女生徒

//<0604> ？？
<0604> ？？

//<0605> 「最近のことよ。いつかは忘れたけど」
<0605> 「最近のことよ。いつかは忘れたけど」

//<0606> nothing
<0606> nothing

//<0607> nothing
<0607> nothing

//<0608> nothing
<0608> nothing

//<0609> nothing
<0609> nothing

//<0610> nothing
<0610> nothing

//<0611> 天使
<0611> 天使

//<0612> かなで
<0612> かなで

//<0613> 女生徒
<0613> 女生徒

//<0614> ？？
<0614> ？？

//<0615> 「もう聴けないのは、残念だわ」
<0615> 「もう聴けないのは、残念だわ」

//<0616> 音無
<0616> 音無

//<0617> クソ坊主
<0617> クソ坊主

//<0618> 代理人
<0618> 代理人

//<0619> 微妙すぎるイケメン
<0619> 微妙すぎるイケメン

//<0620> ロリコン
<0620> ロリコン

//<0621> メガネ仲間
<0621> メガネ仲間

//<0622> 暗算日本記録保持者
<0622> 暗算日本記録保持者

//<0623> 通り魔
<0623> 通り魔

//<0624> 記憶ナシ男
<0624> 記憶ナシ男

//<0625> 音速
<0625> 音速

//<0626> 無限
<0626> 無限

//<0627> エロ侍
<0627> エロ侍

//<0628> エロエロ団ナンバー１
<0628> エロエロ団ナンバー１

//<0629> ただのエロ少年
<0629> ただのエロ少年

//<0630> ユリブサイク
<0630> ユリブサイク

//<0631> ドピュッシー
<0631> ドピュッシー

//<0632> アメリカンエロドッグ
<0632> アメリカンエロドッグ

//<0633> ゼウス
<0633> ゼウス

//<0634> 日向markⅡ
<0634> 日向markⅡ

//<0635> 糞虫
<0635> 糞虫

//<0636> 量産型日向
<0636> 量産型日向

//<0637> ？？
<0637> ？？

//<0638> （それは…岩沢の最後の歌ってことじゃないか…）
<0638> （それは…岩沢の最後の歌ってことじゃないか…）

//<0639> 音無
<0639> 音無

//<0640> クソ坊主
<0640> クソ坊主

//<0641> 代理人
<0641> 代理人

//<0642> 微妙すぎるイケメン
<0642> 微妙すぎるイケメン

//<0643> ロリコン
<0643> ロリコン

//<0644> メガネ仲間
<0644> メガネ仲間

//<0645> 暗算日本記録保持者
<0645> 暗算日本記録保持者

//<0646> 通り魔
<0646> 通り魔

//<0647> 記憶ナシ男
<0647> 記憶ナシ男

//<0648> 音速
<0648> 音速

//<0649> 無限
<0649> 無限

//<0650> エロ侍
<0650> エロ侍

//<0651> エロエロ団ナンバー１
<0651> エロエロ団ナンバー１

//<0652> ただのエロ少年
<0652> ただのエロ少年

//<0653> ユリブサイク
<0653> ユリブサイク

//<0654> ドピュッシー
<0654> ドピュッシー

//<0655> アメリカンエロドッグ
<0655> アメリカンエロドッグ

//<0656> ゼウス
<0656> ゼウス

//<0657> 日向markⅡ
<0657> 日向markⅡ

//<0658> 糞虫
<0658> 糞虫

//<0659> 量産型日向
<0659> 量産型日向

//<0660> ？？
<0660> ？？

//<0661> （岩沢との付き合いは短いものだったけど、そんな残念とか軽々しく言われると非情な奴としか思えない…）
<0661> （岩沢との付き合いは短いものだったけど、そんな残念とか軽々しく言われると非情な奴としか思えない…）

//<0662> 音無
<0662> 音無

//<0663> クソ坊主
<0663> クソ坊主

//<0664> 代理人
<0664> 代理人

//<0665> 微妙すぎるイケメン
<0665> 微妙すぎるイケメン

//<0666> ロリコン
<0666> ロリコン

//<0667> メガネ仲間
<0667> メガネ仲間

//<0668> 暗算日本記録保持者
<0668> 暗算日本記録保持者

//<0669> 通り魔
<0669> 通り魔

//<0670> 記憶ナシ男
<0670> 記憶ナシ男

//<0671> 音速
<0671> 音速

//<0672> 無限
<0672> 無限

//<0673> エロ侍
<0673> エロ侍

//<0674> エロエロ団ナンバー１
<0674> エロエロ団ナンバー１

//<0675> ただのエロ少年
<0675> ただのエロ少年

//<0676> ユリブサイク
<0676> ユリブサイク

//<0677> ドピュッシー
<0677> ドピュッシー

//<0678> アメリカンエロドッグ
<0678> アメリカンエロドッグ

//<0679> ゼウス
<0679> ゼウス

//<0680> 日向markⅡ
<0680> 日向markⅡ

//<0681> 糞虫
<0681> 糞虫

//<0682> 量産型日向
<0682> 量産型日向

//<0683> ？？
<0683> ？？

//<0684> 「確かに、あれはいい曲だったな…」
<0684> 「確かに、あれはいい曲だったな…」

//<0685> 音無
<0685> 音無

//<0686> クソ坊主
<0686> クソ坊主

//<0687> 代理人
<0687> 代理人

//<0688> 微妙すぎるイケメン
<0688> 微妙すぎるイケメン

//<0689> ロリコン
<0689> ロリコン

//<0690> メガネ仲間
<0690> メガネ仲間

//<0691> 暗算日本記録保持者
<0691> 暗算日本記録保持者

//<0692> 通り魔
<0692> 通り魔

//<0693> 記憶ナシ男
<0693> 記憶ナシ男

//<0694> 音速
<0694> 音速

//<0695> 無限
<0695> 無限

//<0696> エロ侍
<0696> エロ侍

//<0697> エロエロ団ナンバー１
<0697> エロエロ団ナンバー１

//<0698> ただのエロ少年
<0698> ただのエロ少年

//<0699> ユリブサイク
<0699> ユリブサイク

//<0700> ドピュッシー
<0700> ドピュッシー

//<0701> アメリカンエロドッグ
<0701> アメリカンエロドッグ

//<0702> ゼウス
<0702> ゼウス

//<0703> 日向markⅡ
<0703> 日向markⅡ

//<0704> 糞虫
<0704> 糞虫

//<0705> 量産型日向
<0705> 量産型日向

//<0706> ？？
<0706> ？？

//<0707> 「だったら、生徒会主催でガルデモのライブを叶えてやれよ。ファンは待ってるぜ？」
<0707> 「だったら、生徒会主催でガルデモのライブを叶えてやれよ。ファンは待ってるぜ？」

//<0708> nothing
<0708> nothing

//<0709> nothing
<0709> nothing

//<0710> nothing
<0710> nothing

//<0711> nothing
<0711> nothing

//<0712> nothing
<0712> nothing

//<0713> 天使
<0713> 天使

//<0714> かなで
<0714> かなで

//<0715> 女生徒
<0715> 女生徒

//<0716> ？？
<0716> ？？

//<0717> 「でもその曲以外は、うるさいだけで、みんなの精神が不安定にならないか心配だわ…」
<0717> 「でもその曲以外は、うるさいだけで、みんなの精神が不安定にならないか心配だわ…」

//<0718> 音無
<0718> 音無

//<0719> クソ坊主
<0719> クソ坊主

//<0720> 代理人
<0720> 代理人

//<0721> 微妙すぎるイケメン
<0721> 微妙すぎるイケメン

//<0722> ロリコン
<0722> ロリコン

//<0723> メガネ仲間
<0723> メガネ仲間

//<0724> 暗算日本記録保持者
<0724> 暗算日本記録保持者

//<0725> 通り魔
<0725> 通り魔

//<0726> 記憶ナシ男
<0726> 記憶ナシ男

//<0727> 音速
<0727> 音速

//<0728> 無限
<0728> 無限

//<0729> エロ侍
<0729> エロ侍

//<0730> エロエロ団ナンバー１
<0730> エロエロ団ナンバー１

//<0731> ただのエロ少年
<0731> ただのエロ少年

//<0732> ユリブサイク
<0732> ユリブサイク

//<0733> ドピュッシー
<0733> ドピュッシー

//<0734> アメリカンエロドッグ
<0734> アメリカンエロドッグ

//<0735> ゼウス
<0735> ゼウス

//<0736> 日向markⅡ
<0736> 日向markⅡ

//<0737> 糞虫
<0737> 糞虫

//<0738> 量産型日向
<0738> 量産型日向

//<0739> ？？
<0739> ？？

//<0740> 「１３０デシベル以内だから、身体にはなんの問題もない」
<0740> 「１３０デシベル以内だから、身体にはなんの問題もない」

//<0741> nothing
<0741> nothing

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> nothing
<0745> nothing

//<0746> 天使
<0746> 天使

//<0747> かなで
<0747> かなで

//<0748> 女生徒
<0748> 女生徒

//<0749> ？？
<0749> ？？

//<0750> 「でしべる？」
<0750> 「でしべる？」

//<0751> 岩沢にした説明をまんました。
<0751> 岩沢にした説明をまんました。

//<0752> 音無
<0752> 音無

//<0753> クソ坊主
<0753> クソ坊主

//<0754> 代理人
<0754> 代理人

//<0755> 微妙すぎるイケメン
<0755> 微妙すぎるイケメン

//<0756> ロリコン
<0756> ロリコン

//<0757> メガネ仲間
<0757> メガネ仲間

//<0758> 暗算日本記録保持者
<0758> 暗算日本記録保持者

//<0759> 通り魔
<0759> 通り魔

//<0760> 記憶ナシ男
<0760> 記憶ナシ男

//<0761> 音速
<0761> 音速

//<0762> 無限
<0762> 無限

//<0763> エロ侍
<0763> エロ侍

//<0764> エロエロ団ナンバー１
<0764> エロエロ団ナンバー１

//<0765> ただのエロ少年
<0765> ただのエロ少年

//<0766> ユリブサイク
<0766> ユリブサイク

//<0767> ドピュッシー
<0767> ドピュッシー

//<0768> アメリカンエロドッグ
<0768> アメリカンエロドッグ

//<0769> ゼウス
<0769> ゼウス

//<0770> 日向markⅡ
<0770> 日向markⅡ

//<0771> 糞虫
<0771> 糞虫

//<0772> 量産型日向
<0772> 量産型日向

//<0773> ？？
<0773> ？？

//<0774> 「例えばクラシックのコンサートも１３０デシベルを越えない」
<0774> 「例えばクラシックのコンサートも１３０デシベルを越えない」

//<0775> 音無
<0775> 音無

//<0776> クソ坊主
<0776> クソ坊主

//<0777> 代理人
<0777> 代理人

//<0778> 微妙すぎるイケメン
<0778> 微妙すぎるイケメン

//<0779> ロリコン
<0779> ロリコン

//<0780> メガネ仲間
<0780> メガネ仲間

//<0781> 暗算日本記録保持者
<0781> 暗算日本記録保持者

//<0782> 通り魔
<0782> 通り魔

//<0783> 記憶ナシ男
<0783> 記憶ナシ男

//<0784> 音速
<0784> 音速

//<0785> 無限
<0785> 無限

//<0786> エロ侍
<0786> エロ侍

//<0787> エロエロ団ナンバー１
<0787> エロエロ団ナンバー１

//<0788> ただのエロ少年
<0788> ただのエロ少年

//<0789> ユリブサイク
<0789> ユリブサイク

//<0790> ドピュッシー
<0790> ドピュッシー

//<0791> アメリカンエロドッグ
<0791> アメリカンエロドッグ

//<0792> ゼウス
<0792> ゼウス

//<0793> 日向markⅡ
<0793> 日向markⅡ

//<0794> 糞虫
<0794> 糞虫

//<0795> 量産型日向
<0795> 量産型日向

//<0796> ？？
<0796> ？？

//<0797> 「１３０デシベルを越えると、人は音を痛みとしか感じなくなる。耳に直撃したら、鼓膜が破ける」
<0797> 「１３０デシベルを越えると、人は音を痛みとしか感じなくなる。耳に直撃したら、鼓膜が破ける」

//<0798> nothing
<0798> nothing

//<0799> nothing
<0799> nothing

//<0800> nothing
<0800> nothing

//<0801> nothing
<0801> nothing

//<0802> nothing
<0802> nothing

//<0803> 天使
<0803> 天使

//<0804> かなで
<0804> かなで

//<0805> 女生徒
<0805> 女生徒

//<0806> ？？
<0806> ？？

//<0807> 「えぇーーーっ」
<0807> 「えぇーーーっ」

//<0808> nothing
<0808> nothing

//<0809> nothing
<0809> nothing

//<0810> nothing
<0810> nothing

//<0811> nothing
<0811> nothing

//<0812> nothing
<0812> nothing

//<0813> 天使
<0813> 天使

//<0814> かなで
<0814> かなで

//<0815> 女生徒
<0815> 女生徒

//<0816> ？？
<0816> ？？

//<0817> 「と驚いてみたものの、まったくピンと来ないわ…」
<0817> 「と驚いてみたものの、まったくピンと来ないわ…」

//<0818> やはりこの子は馬鹿なんだろうか。
<0818> やはりこの子は馬鹿なんだろうか。

//<0819> 何故一度驚いたようなリアクションを取ったんだ…。
<0819> 何故一度驚いたようなリアクションを取ったんだ…。

//<0820> 結局神への糸口は何も掴めずに会話を終えた。
<0820> 結局神への糸口は何も掴めずに会話を終えた。

//<0821> nothing
<0821> nothing

//<0822> nothing
<0822> nothing

//<0823> nothing
<0823> nothing

//<0824> nothing
<0824> nothing

//<0825> nothing
<0825> nothing

//<0826> 天使
<0826> 天使

//<0827> かなで
<0827> かなで

//<0828> 女生徒
<0828> 女生徒

//<0829> ？？
<0829> ？？

//<0830> 「忘れたわ…」
<0830> 「忘れたわ…」

//<0831> 音無
<0831> 音無

//<0832> クソ坊主
<0832> クソ坊主

//<0833> 代理人
<0833> 代理人

//<0834> 微妙すぎるイケメン
<0834> 微妙すぎるイケメン

//<0835> ロリコン
<0835> ロリコン

//<0836> メガネ仲間
<0836> メガネ仲間

//<0837> 暗算日本記録保持者
<0837> 暗算日本記録保持者

//<0838> 通り魔
<0838> 通り魔

//<0839> 記憶ナシ男
<0839> 記憶ナシ男

//<0840> 音速
<0840> 音速

//<0841> 無限
<0841> 無限

//<0842> エロ侍
<0842> エロ侍

//<0843> エロエロ団ナンバー１
<0843> エロエロ団ナンバー１

//<0844> ただのエロ少年
<0844> ただのエロ少年

//<0845> ユリブサイク
<0845> ユリブサイク

//<0846> ドピュッシー
<0846> ドピュッシー

//<0847> アメリカンエロドッグ
<0847> アメリカンエロドッグ

//<0848> ゼウス
<0848> ゼウス

//<0849> 日向markⅡ
<0849> 日向markⅡ

//<0850> 糞虫
<0850> 糞虫

//<0851> 量産型日向
<0851> 量産型日向

//<0852> ？？
<0852> ？？

//<0853> 「そっか…」
<0853> 「そっか…」

//<0854> 俺はまだまだ新米。俺の知らない過去のことなのだろう。
<0854> 俺はまだまだ新米。俺の知らない過去のことなのだろう。

//<0855> まったく成果を得ずに話し終えた。
<0855> まったく成果を得ずに話し終えた。

//<0856> 音無
<0856> 音無

//<0857> クソ坊主
<0857> クソ坊主

//<0858> 代理人
<0858> 代理人

//<0859> 微妙すぎるイケメン
<0859> 微妙すぎるイケメン

//<0860> ロリコン
<0860> ロリコン

//<0861> メガネ仲間
<0861> メガネ仲間

//<0862> 暗算日本記録保持者
<0862> 暗算日本記録保持者

//<0863> 通り魔
<0863> 通り魔

//<0864> 記憶ナシ男
<0864> 記憶ナシ男

//<0865> 音速
<0865> 音速

//<0866> 無限
<0866> 無限

//<0867> エロ侍
<0867> エロ侍

//<0868> エロエロ団ナンバー１
<0868> エロエロ団ナンバー１

//<0869> ただのエロ少年
<0869> ただのエロ少年

//<0870> ユリブサイク
<0870> ユリブサイク

//<0871> ドピュッシー
<0871> ドピュッシー

//<0872> アメリカンエロドッグ
<0872> アメリカンエロドッグ

//<0873> ゼウス
<0873> ゼウス

//<0874> 日向markⅡ
<0874> 日向markⅡ

//<0875> 糞虫
<0875> 糞虫

//<0876> 量産型日向
<0876> 量産型日向

//<0877> ？？
<0877> ？？

//<0878> 「そっか…」
<0878> 「そっか…」

//<0879> まったく成果を得ずに話し終えた。
<0879> まったく成果を得ずに話し終えた。

//<0880> dummy
<0880> dummy

//<0881> bg_kuro
<0881> bg_kuro

//<0882> m204
<0882> m204

//<0883> ep06_bg008
<0883> ep06_bg008

//<0884> kn0901
<0884> kn0901

//<0885> kn0101
<0885> kn0101

//<0886> kn0102_01
<0886> kn0102_01

//<0887> kn0101_08
<0887> kn0101_08

//<0888> kn0101
<0888> kn0101

//<0889> bg_siro
<0889> bg_siro
{6525} 0a // 0889

//<0890> ep88_bg002
<0890> ep88_bg002

//<0891> yr0109
<0891> yr0109

//<0892> bg_siro
<0892> bg_siro
{6ce3} 0a // 0892

//<0893> sys_bk_selline00
<0893> sys_bk_selline00

//<0894> kn0101_08
<0894> kn0101_08

//<0895> kn0109
<0895> kn0109

//<0896> kn0102_08
<0896> kn0102_08

//<0897> kn0101
<0897> kn0101

//<0898> kn0109_08
<0898> kn0109_08

//<0899> kn0101
<0899> kn0101

//<0900> kn0109
<0900> kn0109

//<0901> kn0101_05
<0901> kn0101_05

//<0902> kn0102_01
<0902> kn0102_01

//<0903> kn0109
<0903> kn0109

//<0904> kn0102
<0904> kn0102

//<0905> kn0101
<0905> kn0101

//<0906> kn0109
<0906> kn0109

//<0907> kn0101
<0907> kn0101

//<0908> kn0102_08
<0908> kn0102_08

//<0909> kn0905_06
<0909> kn0905_06

//<0910> kn0907
<0910> kn0907

//<0911> kn0901
<0911> kn0901

//<0912> bg_kuro
<0912> bg_kuro

