// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_kazekiri3
<0000> se_kazekiri3
<0547> 無限

//<0548> エロ侍
<0548> エロ侍

//<0549> エロエロ団ナンバー１
<0549> エロエロ団ナンバー１

//<0550> ただのエロ少年
<0550> ただのエロ少年

//<0551> ユリブサイク
<0551> ユリブサイク

//<0552> ドピュッシー
<0552> ドピュッシー

//<0553> アメリカンエロドッグ
<0553> アメリカンエロドッグ

//<0554> ゼウス
<0554> ゼウス

//<0555> 日向markⅡ
<0555> 日向markⅡ

//<0556> 糞虫
<0556> 糞虫

//<0557> 量産型日向
<0557> 量産型日向

//<0558> ？？
<0558> ？？

//<0559> 「の…臨むところだ」
<0559> 「の…臨むところだ」

//<0560> 足腰がフラフラになりながら、俺は階段を往復する。
<0560> 足腰がフラフラになりながら、俺は階段を往復する。

//<0561> 膝の負担が半端ではないが、多少無茶をしたって治る世界だ。根性出してやる。
<0561> 膝の負担が半端ではないが、多少無茶をしたって治る世界だ。根性出してやる。

//<0562> 音無
<0562> 音無

//<0563> クソ坊主
<0563> クソ坊主

//<0564> 代理人
<0564> 代理人

//<0565> 微妙すぎるイケメン
<0565> 微妙すぎるイケメン

//<0566> ロリコン
<0566> ロリコン

//<0567> メガネ仲間
<0567> メガネ仲間

//<0568> 暗算日本記録保持者
<0568> 暗算日本記録保持者

//<0569> 通り魔
<0569> 通り魔

//<0570> 記憶ナシ男
<0570> 記憶ナシ男

//<0571> 音速
<0571> 音速

//<0572> 無限
<0572> 無限

//<0573> エロ侍
<0573> エロ侍

//<0574> エロエロ団ナンバー１
<0574> エロエロ団ナンバー１

//<0575> ただのエロ少年
<0575> ただのエロ少年

//<0576> ユリブサイク
<0576> ユリブサイク

//<0577> ドピュッシー
<0577> ドピュッシー

//<0578> アメリカンエロドッグ
<0578> アメリカンエロドッグ

//<0579> ゼウス
<0579> ゼウス

//<0580> 日向markⅡ
<0580> 日向markⅡ

//<0581> 糞虫
<0581> 糞虫

//<0582> 量産型日向
<0582> 量産型日向

//<0583> ？？
<0583> ？？

//<0584> 「もう、一歩も動けん…」
<0584> 「もう、一歩も動けん…」

//<0585> nothing
<0585> nothing

//<0586> nothing
<0586> nothing

//<0587> nothing
<0587> nothing

//<0588> nothing
<0588> nothing

//<0589> nothing
<0589> nothing

//<0590> 野田
<0590> 野田

//<0591> 男Ｆ
<0591> 男Ｆ

//<0592> イケパイ
<0592> イケパイ

//<0593> 男
<0593> 男

//<0594> ？？
<0594> ？？

//<0595> 「なんだ、やっぱり、まだまだだな」
<0595> 「なんだ、やっぱり、まだまだだな」

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> nothing
<0599> nothing

//<0600> nothing
<0600> nothing

//<0601> 野田
<0601> 野田

//<0602> 男Ｆ
<0602> 男Ｆ

//<0603> イケパイ
<0603> イケパイ

//<0604> 男
<0604> 男

//<0605> ？？
<0605> ？？

//<0606> 「俺を見ろ。まだ、これだけ動けるぞ」
<0606> 「俺を見ろ。まだ、これだけ動けるぞ」

//<0607> se_kazekiri3
<0607> se_kazekiri3

//<0608> nothing
<0608> nothing

//<0609> nothing
<0609> nothing

//<0610> nothing
<0610> nothing

//<0611> nothing
<0611> nothing

//<0612> nothing
<0612> nothing

//<0613> そう言って、野田はハルバートを振るう。
<0613> そう言って、野田はハルバートを振るう。

//<0614> 音無
<0614> 音無

//<0615> クソ坊主
<0615> クソ坊主

//<0616> 代理人
<0616> 代理人

//<0617> 微妙すぎるイケメン
<0617> 微妙すぎるイケメン

//<0618> ロリコン
<0618> ロリコン

//<0619> メガネ仲間
<0619> メガネ仲間

//<0620> 暗算日本記録保持者
<0620> 暗算日本記録保持者

//<0621> 通り魔
<0621> 通り魔

//<0622> 記憶ナシ男
<0622> 記憶ナシ男

//<0623> 音速
<0623> 音速

//<0624> 無限
<0624> 無限

//<0625> エロ侍
<0625> エロ侍

//<0626> エロエロ団ナンバー１
<0626> エロエロ団ナンバー１

//<0627> ただのエロ少年
<0627> ただのエロ少年

//<0628> ユリブサイク
<0628> ユリブサイク

//<0629> ドピュッシー
<0629> ドピュッシー

//<0630> アメリカンエロドッグ
<0630> アメリカンエロドッグ

//<0631> ゼウス
<0631> ゼウス

//<0632> 日向markⅡ
<0632> 日向markⅡ

//<0633> 糞虫
<0633> 糞虫

//<0634> 量産型日向
<0634> 量産型日向

//<0635> ？？
<0635> ？？

//<0636> 「…お前は俺に乗ってただけだからな」
<0636> 「…お前は俺に乗ってただけだからな」

//<0637> nothing
<0637> nothing

//<0638> nothing
<0638> nothing

//<0639> nothing
<0639> nothing

//<0640> nothing
<0640> nothing

//<0641> nothing
<0641> nothing

//<0642> 野田
<0642> 野田

//<0643> 男Ｆ
<0643> 男Ｆ

//<0644> イケパイ
<0644> イケパイ

//<0645> 男
<0645> 男

//<0646> ？？
<0646> ？？

//<0647> 「よし、次は実戦形式で訓練だ」
<0647> 「よし、次は実戦形式で訓練だ」

//<0648> 音無
<0648> 音無

//<0649> クソ坊主
<0649> クソ坊主

//<0650> 代理人
<0650> 代理人

//<0651> 微妙すぎるイケメン
<0651> 微妙すぎるイケメン

//<0652> ロリコン
<0652> ロリコン

//<0653> メガネ仲間
<0653> メガネ仲間

//<0654> 暗算日本記録保持者
<0654> 暗算日本記録保持者

//<0655> 通り魔
<0655> 通り魔

//<0656> 記憶ナシ男
<0656> 記憶ナシ男

//<0657> 音速
<0657> 音速

//<0658> 無限
<0658> 無限

//<0659> エロ侍
<0659> エロ侍

//<0660> エロエロ団ナンバー１
<0660> エロエロ団ナンバー１

//<0661> ただのエロ少年
<0661> ただのエロ少年

//<0662> ユリブサイク
<0662> ユリブサイク

//<0663> ドピュッシー
<0663> ドピュッシー

//<0664> アメリカンエロドッグ
<0664> アメリカンエロドッグ

//<0665> ゼウス
<0665> ゼウス

//<0666> 日向markⅡ
<0666> 日向markⅡ

//<0667> 糞虫
<0667> 糞虫

//<0668> 量産型日向
<0668> 量産型日向

//<0669> ？？
<0669> ？？

//<0670> 「わかった」
<0670> 「わかった」

//<0671> nothing
<0671> nothing

//<0672> nothing
<0672> nothing

//<0673> nothing
<0673> nothing

//<0674> nothing
<0674> nothing

//<0675> nothing
<0675> nothing

//<0676> 野田
<0676> 野田

//<0677> 男Ｆ
<0677> 男Ｆ

//<0678> イケパイ
<0678> イケパイ

//<0679> 男
<0679> 男

//<0680> ？？
<0680> ？？

//<0681> 「いくら武器を持てるだけの筋力が身についたところで、扱えなきゃ意味はない」
<0681> 「いくら武器を持てるだけの筋力が身についたところで、扱えなきゃ意味はない」

//<0682> nothing
<0682> nothing

//<0683> nothing
<0683> nothing

//<0684> nothing
<0684> nothing

//<0685> nothing
<0685> nothing

//<0686> nothing
<0686> nothing

//<0687> 野田
<0687> 野田

//<0688> 男Ｆ
<0688> 男Ｆ

//<0689> イケパイ
<0689> イケパイ

//<0690> 男
<0690> 男

//<0691> ？？
<0691> ？？

//<0692> 「俺も、こいつを手足のように使えるようになるまで、どれだけ苦労したことか」
<0692> 「俺も、こいつを手足のように使えるようになるまで、どれだけ苦労したことか」

//<0693> bs3_
<0693> bs3_

//<0694> nothing
<0694> nothing

//<0695> nothing
<0695> nothing

//<0696> nothing
<0696> nothing

//<0697> nothing
<0697> nothing

//<0698> nothing
<0698> nothing

//<0699> 野田
<0699> 野田

//<0700> 男Ｆ
<0700> 男Ｆ

//<0701> イケパイ
<0701> イケパイ

//<0702> 男
<0702> 男

//<0703> ？？
<0703> ？？

//<0704> 「そう、あれは…」
<0704> 「そう、あれは…」

//<0705> none
<0705> none

//<0706> nothing
<0706> nothing

//<0707> 
<0707> 

//<0708> 
<0708> 

//<0709> nothing
<0709> nothing

//<0710> bs
<0710> bs

//<0711> _
<0711> _

//<0712> nothing
<0712> nothing

//<0713> nothing
<0713> nothing

//<0714> nothing
<0714> nothing

//<0715> nothing
<0715> nothing

//<0716> nothing
<0716> nothing

//<0717> 音無
<0717> 音無

//<0718> クソ坊主
<0718> クソ坊主

//<0719> 代理人
<0719> 代理人

//<0720> 微妙すぎるイケメン
<0720> 微妙すぎるイケメン

//<0721> ロリコン
<0721> ロリコン

//<0722> メガネ仲間
<0722> メガネ仲間

//<0723> 暗算日本記録保持者
<0723> 暗算日本記録保持者

//<0724> 通り魔
<0724> 通り魔

//<0725> 記憶ナシ男
<0725> 記憶ナシ男

//<0726> 音速
<0726> 音速

//<0727> 無限
<0727> 無限

//<0728> エロ侍
<0728> エロ侍

//<0729> エロエロ団ナンバー１
<0729> エロエロ団ナンバー１

//<0730> ただのエロ少年
<0730> ただのエロ少年

//<0731> ユリブサイク
<0731> ユリブサイク

//<0732> ドピュッシー
<0732> ドピュッシー

//<0733> アメリカンエロドッグ
<0733> アメリカンエロドッグ

//<0734> ゼウス
<0734> ゼウス

//<0735> 日向markⅡ
<0735> 日向markⅡ

//<0736> 糞虫
<0736> 糞虫

//<0737> 量産型日向
<0737> 量産型日向

//<0738> ？？
<0738> ？？

//<0739> 「いや、そういうのはいいから」
<0739> 「いや、そういうのはいいから」

//<0740> nothing
<0740> nothing

//<0741> nothing
<0741> nothing

//<0742> nothing
<0742> nothing

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> 長い話が始まりそうだったので、慌てて止める。
<0745> 長い話が始まりそうだったので、慌てて止める。

//<0746> 
<0746> 

//<0747> 野田はちょっと不服そうだった。
<0747> 野田はちょっと不服そうだった。

//<0748> nothing
<0748> nothing

//<0749> nothing
<0749> nothing

//<0750> nothing
<0750> nothing

//<0751> nothing
<0751> nothing

//<0752> nothing
<0752> nothing

//<0753> 野田
<0753> 野田

//<0754> 男Ｆ
<0754> 男Ｆ

//<0755> イケパイ
<0755> イケパイ

//<0756> 男
<0756> 男

//<0757> ？？
<0757> ？？

//<0758> 「俺の得物はもちろん、こいつだ」
<0758> 「俺の得物はもちろん、こいつだ」

//<0759> se_kazekiri3
<0759> se_kazekiri3

//<0760> nothing
<0760> nothing

//<0761> nothing
<0761> nothing

//<0762> nothing
<0762> nothing

//<0763> nothing
<0763> nothing

//<0764> nothing
<0764> nothing

//<0765> そう言って、ハルバートを軽々と振り回す。
<0765> そう言って、ハルバートを軽々と振り回す。

//<0766> 自慢するだけあって、何度見ても、惚れ惚れする。
<0766> 自慢するだけあって、何度見ても、惚れ惚れする。

//<0767> nothing
<0767> nothing

//<0768> nothing
<0768> nothing

//<0769> nothing
<0769> nothing

//<0770> nothing
<0770> nothing

//<0771> nothing
<0771> nothing

//<0772> nothing
<0772> nothing

//<0773> 音無
<0773> 音無

//<0774> クソ坊主
<0774> クソ坊主

//<0775> 代理人
<0775> 代理人

//<0776> 微妙すぎるイケメン
<0776> 微妙すぎるイケメン

//<0777> ロリコン
<0777> ロリコン

//<0778> メガネ仲間
<0778> メガネ仲間

//<0779> 暗算日本記録保持者
<0779> 暗算日本記録保持者

//<0780> 通り魔
<0780> 通り魔

//<0781> 記憶ナシ男
<0781> 記憶ナシ男

//<0782> 音速
<0782> 音速

//<0783> 無限
<0783> 無限

//<0784> エロ侍
<0784> エロ侍

//<0785> エロエロ団ナンバー１
<0785> エロエロ団ナンバー１

//<0786> ただのエロ少年
<0786> ただのエロ少年

//<0787> ユリブサイク
<0787> ユリブサイク

//<0788> ドピュッシー
<0788> ドピュッシー

//<0789> アメリカンエロドッグ
<0789> アメリカンエロドッグ

//<0790> ゼウス
<0790> ゼウス

//<0791> 日向markⅡ
<0791> 日向markⅡ

//<0792> 糞虫
<0792> 糞虫

//<0793> 量産型日向
<0793> 量産型日向

//<0794> ？？
<0794> ？？

//<0795> 「じゃあ、俺は今日もこいつだ」
<0795> 「じゃあ、俺は今日もこいつだ」

//<0796> se_threaten
<0796> se_threaten

//<0797> 日本刀を手にする。
<0797> 日本刀を手にする。

//<0798> nothing
<0798> nothing

//<0799> nothing
<0799> nothing

//<0800> nothing
<0800> nothing

//<0801> nothing
<0801> nothing

//<0802> nothing
<0802> nothing

//<0803> 野田
<0803> 野田

//<0804> 男Ｆ
<0804> 男Ｆ

//<0805> イケパイ
<0805> イケパイ

//<0806> 男
<0806> 男

//<0807> ？？
<0807> ？？

//<0808> 「よし、打ち込んでこい」
<0808> 「よし、打ち込んでこい」

//<0809> 音無
<0809> 音無

//<0810> クソ坊主
<0810> クソ坊主

//<0811> 代理人
<0811> 代理人

//<0812> 微妙すぎるイケメン
<0812> 微妙すぎるイケメン

//<0813> ロリコン
<0813> ロリコン

//<0814> メガネ仲間
<0814> メガネ仲間

//<0815> 暗算日本記録保持者
<0815> 暗算日本記録保持者

//<0816> 通り魔
<0816> 通り魔

//<0817> 記憶ナシ男
<0817> 記憶ナシ男

//<0818> 音速
<0818> 音速

//<0819> 無限
<0819> 無限

//<0820> エロ侍
<0820> エロ侍

//<0821> エロエロ団ナンバー１
<0821> エロエロ団ナンバー１

//<0822> ただのエロ少年
<0822> ただのエロ少年

//<0823> ユリブサイク
<0823> ユリブサイク

//<0824> ドピュッシー
<0824> ドピュッシー

//<0825> アメリカンエロドッグ
<0825> アメリカンエロドッグ

//<0826> ゼウス
<0826> ゼウス

//<0827> 日向markⅡ
<0827> 日向markⅡ

//<0828> 糞虫
<0828> 糞虫

//<0829> 量産型日向
<0829> 量産型日向

//<0830> ？？
<0830> ？？

//<0831> 「言われなくても！」
<0831> 「言われなくても！」

//<0832> nothing
<0832> nothing

//<0833> nothing
<0833> nothing

//<0834> nothing
<0834> nothing

//<0835> nothing
<0835> nothing

//<0836> nothing
<0836> nothing

//<0837> 手加減は一切なしだ。
<0837> 手加減は一切なしだ。

//<0838> 相手が怪我をしても構わない。
<0838> 相手が怪我をしても構わない。

//<0839> se_kazekiri4
<0839> se_kazekiri4
{17c4a} 0a // 0839

//<0840> bs3_
<0840> bs3_

//<0841> nothing
<0841> nothing

//<0842> nothing
<0842> nothing

//<0843> nothing
<0843> nothing

//<0844> nothing
<0844> nothing

//<0845> nothing
<0845> nothing

//<0846> 刀を振りかぶって、斬りかかる。
<0846> 刀を振りかぶって、斬りかかる。

//<0847> se_kazekiri5
<0847> se_kazekiri5

//<0848> nothing
<0848> nothing

//<0849> nothing
<0849> nothing

//<0850> nothing
<0850> nothing

//<0851> nothing
<0851> nothing

//<0852> nothing
<0852> nothing

//<0853> 野田
<0853> 野田

//<0854> 男Ｆ
<0854> 男Ｆ

//<0855> イケパイ
<0855> イケパイ

//<0856> 男
<0856> 男

//<0857> ？？
<0857> ？？

//<0858> 「ふんっ」
<0858> 「ふんっ」

//<0859> se_kengeki
<0859> se_kengeki
{187b1} 0a // 0859

//<0860> none
<0860> none

//<0861> nothing
<0861> nothing

//<0862> 
<0862> 

//<0863> 
<0863> 

//<0864> nothing
<0864> nothing

//<0865> bs
<0865> bs

//<0866> _
<0866> _

//<0867> nothing
<0867> nothing

//<0868> nothing
<0868> nothing

//<0869> nothing
<0869> nothing

//<0870> nothing
<0870> nothing

//<0871> nothing
<0871> nothing

//<0872> だが、軽くあしらわれる。
<0872> だが、軽くあしらわれる。

//<0873> 音無
<0873> 音無

//<0874> クソ坊主
<0874> クソ坊主

//<0875> 代理人
<0875> 代理人

//<0876> 微妙すぎるイケメン
<0876> 微妙すぎるイケメン

//<0877> ロリコン
<0877> ロリコン

//<0878> メガネ仲間
<0878> メガネ仲間

//<0879> 暗算日本記録保持者
<0879> 暗算日本記録保持者

//<0880> 通り魔
<0880> 通り魔

//<0881> 記憶ナシ男
<0881> 記憶ナシ男

//<0882> 音速
<0882> 音速

//<0883> 無限
<0883> 無限

//<0884> エロ侍
<0884> エロ侍

//<0885> エロエロ団ナンバー１
<0885> エロエロ団ナンバー１

//<0886> ただのエロ少年
<0886> ただのエロ少年

//<0887> ユリブサイク
<0887> ユリブサイク

//<0888> ドピュッシー
<0888> ドピュッシー

//<0889> アメリカンエロドッグ
<0889> アメリカンエロドッグ

//<0890> ゼウス
<0890> ゼウス

//<0891> 日向markⅡ
<0891> 日向markⅡ

//<0892> 糞虫
<0892> 糞虫

//<0893> 量産型日向
<0893> 量産型日向

//<0894> ？？
<0894> ？？

//<0895> 「まだまだ」
<0895> 「まだまだ」

//<0896> se_kazekiri4
<0896> se_kazekiri4
{19ed6} 0a // 0896

//<0897> bs3_
<0897> bs3_

//<0898> nothing
<0898> nothing

//<0899> nothing
<0899> nothing

//<0900> nothing
<0900> nothing

//<0901> nothing
<0901> nothing

//<0902> nothing
<0902> nothing

//<0903> 何度も、向かっていく。
<0903> 何度も、向かっていく。

//<0904> nothing
<0904> nothing

//<0905> nothing
<0905> nothing

//<0906> nothing
<0906> nothing

//<0907> nothing
<0907> nothing

//<0908> nothing
<0908> nothing

//<0909> 野田
<0909> 野田

//<0910> 男Ｆ
<0910> 男Ｆ

//<0911> イケパイ
<0911> イケパイ

//<0912> 男
<0912> 男

//<0913> ？？
<0913> ？？

//<0914> 「ダメだ、ダメだ」
<0914> 「ダメだ、ダメだ」

//<0915> nothing
<0915> nothing

//<0916> nothing
<0916> nothing

//<0917> nothing
<0917> nothing

//<0918> nothing
<0918> nothing

//<0919> nothing
<0919> nothing

//<0920> se_punch
<0920> se_punch

//<0921> 今度は野田の渾身の一撃を喰らう。
<0921> 今度は野田の渾身の一撃を喰らう。

//<0922> 振るう刀の隙をまるで縫うようにして、巨大な斧が俺の体を直撃する。
<0922> 振るう刀の隙をまるで縫うようにして、巨大な斧が俺の体を直撃する。

//<0923> none
<0923> none

//<0924> nothing
<0924> nothing

//<0925> 
<0925> 

//<0926> 
<0926> 

//<0927> nothing
<0927> nothing

//<0928> bs
<0928> bs

//<0929> _
<0929> _

//<0930> nothing
<0930> nothing

//<0931> nothing
<0931> nothing

//<0932> nothing
<0932> nothing

//<0933> nothing
<0933> nothing

//<0934> nothing
<0934> nothing

//<0935> se_fall2_human
<0935> se_fall2_human

//<0936> 音無
<0936> 音無

//<0937> クソ坊主
<0937> クソ坊主

//<0938> 代理人
<0938> 代理人

//<0939> 微妙すぎるイケメン
<0939> 微妙すぎるイケメン

//<0940> ロリコン
<0940> ロリコン

//<0941> メガネ仲間
<0941> メガネ仲間

//<0942> 暗算日本記録保持者
<0942> 暗算日本記録保持者

//<0943> 通り魔
<0943> 通り魔

//<0944> 記憶ナシ男
<0944> 記憶ナシ男

//<0945> 音速
<0945> 音速

//<0946> 無限
<0946> 無限

//<0947> エロ侍
<0947> エロ侍

//<0948> エロエロ団ナンバー１
<0948> エロエロ団ナンバー１

//<0949> ただのエロ少年
<0949> ただのエロ少年

//<0950> ユリブサイク
<0950> ユリブサイク

//<0951> ドピュッシー
<0951> ドピュッシー

//<0952> アメリカンエロドッグ
<0952> アメリカンエロドッグ

//<0953> ゼウス
<0953> ゼウス

//<0954> 日向markⅡ
<0954> 日向markⅡ

//<0955> 糞虫
<0955> 糞虫

//<0956> 量産型日向
<0956> 量産型日向

//<0957> ？？
<0957> ？？

//<0958> 「ぐっ」
<0958> 「ぐっ」

//<0959> 吹き飛ばされ、地面に倒される。
<0959> 吹き飛ばされ、地面に倒される。

//<0960> 刃のない側面の部分で打たれたようで外傷は少ないが、内臓がやられたようだ。
<0960> 刃のない側面の部分で打たれたようで外傷は少ないが、内臓がやられたようだ。

//<0961> しばらく起き上がれない。
<0961> しばらく起き上がれない。

//<0962> nothing
<0962> nothing

//<0963> nothing
<0963> nothing

//<0964> nothing
<0964> nothing

//<0965> nothing
<0965> nothing

//<0966> nothing
<0966> nothing

//<0967> 野田
<0967> 野田

//<0968> 男Ｆ
<0968> 男Ｆ

//<0969> イケパイ
<0969> イケパイ

//<0970> 男
<0970> 男

//<0971> ？？
<0971> ？？

//<0972> 「どうした？　すぐに治るだろう？」
<0972> 「どうした？　すぐに治るだろう？」

//<0973> nothing
<0973> nothing

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> nothing
<0977> nothing

//<0978> まるで鬼教官だ。
<0978> まるで鬼教官だ。

//<0979> 痛みはじきに引き、なんとか立ち上がる。
<0979> 痛みはじきに引き、なんとか立ち上がる。

//<0980> 音無
<0980> 音無

//<0981> クソ坊主
<0981> クソ坊主

//<0982> 代理人
<0982> 代理人

//<0983> 微妙すぎるイケメン
<0983> 微妙すぎるイケメン

//<0984> ロリコン
<0984> ロリコン

//<0985> メガネ仲間
<0985> メガネ仲間

//<0986> 暗算日本記録保持者
<0986> 暗算日本記録保持者

//<0987> 通り魔
<0987> 通り魔

//<0988> 記憶ナシ男
<0988> 記憶ナシ男

//<0989> 音速
<0989> 音速

//<0990> 無限
<0990> 無限

//<0991> エロ侍
<0991> エロ侍

//<0992> エロエロ団ナンバー１
<0992> エロエロ団ナンバー１

//<0993> ただのエロ少年
<0993> ただのエロ少年

//<0994> ユリブサイク
<0994> ユリブサイク

//<0995> ドピュッシー
<0995> ドピュッシー

//<0996> アメリカンエロドッグ
<0996> アメリカンエロドッグ

//<0997> ゼウス
<0997> ゼウス

//<0998> 日向markⅡ
<0998> 日向markⅡ

//<0999> 糞虫
<0999> 糞虫

//<1000> 量産型日向
<1000> 量産型日向

//<1001> ？？
<1001> ？？

//<1002> 「…くっ」
<1002> 「…くっ」

//<1003> だが、手にした刀が重い。疲労が限界に来ている。
<1003> だが、手にした刀が重い。疲労が限界に来ている。

//<1004> 音無
<1004> 音無

//<1005> クソ坊主
<1005> クソ坊主

//<1006> 代理人
<1006> 代理人

//<1007> 微妙すぎるイケメン
<1007> 微妙すぎるイケメン

//<1008> ロリコン
<1008> ロリコン

//<1009> メガネ仲間
<1009> メガネ仲間

//<1010> 暗算日本記録保持者
<1010> 暗算日本記録保持者

//<1011> 通り魔
<1011> 通り魔

//<1012> 記憶ナシ男
<1012> 記憶ナシ男

//<1013> 音速
<1013> 音速

//<1014> 無限
<1014> 無限

//<1015> エロ侍
<1015> エロ侍

//<1016> エロエロ団ナンバー１
<1016> エロエロ団ナンバー１

//<1017> ただのエロ少年
<1017> ただのエロ少年

//<1018> ユリブサイク
<1018> ユリブサイク

//<1019> ドピュッシー
<1019> ドピュッシー

//<1020> アメリカンエロドッグ
<1020> アメリカンエロドッグ

//<1021> ゼウス
<1021> ゼウス

//<1022> 日向markⅡ
<1022> 日向markⅡ

//<1023> 糞虫
<1023> 糞虫

//<1024> 量産型日向
<1024> 量産型日向

//<1025> ？？
<1025> ？？

//<1026> 「くそっ」
<1026> 「くそっ」

//<1027> 野田に立ち向かうが、ふらふらと足下がよろめくのがわかる。
<1027> 野田に立ち向かうが、ふらふらと足下がよろめくのがわかる。

//<1028> nothing
<1028> nothing

//<1029> nothing
<1029> nothing

//<1030> nothing
<1030> nothing

//<1031> nothing
<1031> nothing

//<1032> nothing
<1032> nothing

//<1033> nothing
<1033> nothing

//<1034> se_threaten
<1034> se_threaten

//<1035> ついには、その場にへたり込む。
<1035> ついには、その場にへたり込む。

//<1036> 野田
<1036> 野田

//<1037> 男Ｆ
<1037> 男Ｆ

//<1038> イケパイ
<1038> イケパイ

//<1039> 男
<1039> 男

//<1040> ？？
<1040> ？？

//<1041> 「どうした、そんなものか」
<1041> 「どうした、そんなものか」

//<1042> nothing
<1042> nothing

//<1043> nothing
<1043> nothing

//<1044> nothing
<1044> nothing

//<1045> nothing
<1045> nothing

//<1046> nothing
<1046> nothing

//<1047> 悔しいが、野田は強い。
<1047> 悔しいが、野田は強い。

//<1048> 腕力も技術も、俺とは桁違いだ。
<1048> 腕力も技術も、俺とは桁違いだ。

//<1049> se_kengeki_3
<1049> se_kengeki_3

//<1050> それでも、気力を振り絞って特訓を続ける。
<1050> それでも、気力を振り絞って特訓を続ける。

//<1051> se_kengeki
<1051> se_kengeki

//<1052> 音無
<1052> 音無

//<1053> クソ坊主
<1053> クソ坊主

//<1054> 代理人
<1054> 代理人

//<1055> 微妙すぎるイケメン
<1055> 微妙すぎるイケメン

//<1056> ロリコン
<1056> ロリコン

//<1057> メガネ仲間
<1057> メガネ仲間

//<1058> 暗算日本記録保持者
<1058> 暗算日本記録保持者

//<1059> 通り魔
<1059> 通り魔

//<1060> 記憶ナシ男
<1060> 記憶ナシ男

//<1061> 音速
<1061> 音速

//<1062> 無限
<1062> 無限

//<1063> エロ侍
<1063> エロ侍

//<1064> エロエロ団ナンバー１
<1064> エロエロ団ナンバー１

//<1065> ただのエロ少年
<1065> ただのエロ少年

//<1066> ユリブサイク
<1066> ユリブサイク

//<1067> ドピュッシー
<1067> ドピュッシー

//<1068> アメリカンエロドッグ
<1068> アメリカンエロドッグ

//<1069> ゼウス
<1069> ゼウス

//<1070> 日向markⅡ
<1070> 日向markⅡ

//<1071> 糞虫
<1071> 糞虫

//<1072> 量産型日向
<1072> 量産型日向

//<1073> ？？
<1073> ？？

//<1074> 「ぐぅっ…！」
<1074> 「ぐぅっ…！」

//<1075> nothing
<1075> nothing

//<1076> nothing
<1076> nothing

//<1077> nothing
<1077> nothing

//<1078> nothing
<1078> nothing

//<1079> nothing
<1079> nothing

//<1080> se_punch
<1080> se_punch

//<1081> 武器を弾かれ、無防備にされた隙をつかれて。
<1081> 武器を弾かれ、無防備にされた隙をつかれて。

//<1082> 野田のハルバートが俺の体を貫いていた。
<1082> 野田のハルバートが俺の体を貫いていた。

//<1083> nothing
<1083> nothing

//<1084> nothing
<1084> nothing

//<1085> nothing
<1085> nothing

//<1086> nothing
<1086> nothing

//<1087> nothing
<1087> nothing

//<1088> nothing
<1088> nothing

//<1089> se_fall2_human
<1089> se_fall2_human

//<1090> nothing
<1090> nothing

//<1091> nothing
<1091> nothing

//<1092> nothing
<1092> nothing

//<1093> nothing
<1093> nothing

//<1094> nothing
<1094> nothing

//<1095> 野田
<1095> 野田

//<1096> 男Ｆ
<1096> 男Ｆ

//<1097> イケパイ
<1097> イケパイ

//<1098> 男
<1098> 男

//<1099> ？？
<1099> ？？

//<1100> 「すまん、また刺してしまった！！」
<1100> 「すまん、また刺してしまった！！」

//<1101> 音無
<1101> 音無

//<1102> クソ坊主
<1102> クソ坊主

//<1103> 代理人
<1103> 代理人

//<1104> 微妙すぎるイケメン
<1104> 微妙すぎるイケメン

//<1105> ロリコン
<1105> ロリコン

//<1106> メガネ仲間
<1106> メガネ仲間

//<1107> 暗算日本記録保持者
<1107> 暗算日本記録保持者

//<1108> 通り魔
<1108> 通り魔

//<1109> 記憶ナシ男
<1109> 記憶ナシ男

//<1110> 音速
<1110> 音速

//<1111> 無限
<1111> 無限

//<1112> エロ侍
<1112> エロ侍

//<1113> エロエロ団ナンバー１
<1113> エロエロ団ナンバー１

//<1114> ただのエロ少年
<1114> ただのエロ少年

