// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ここは…。
<0000> ここは…。

//<0999> ロリコン
<0999> ロリコン

//<1000> メガネ仲間
<1000> メガネ仲間

//<1001> 暗算日本記録保持者
<1001> 暗算日本記録保持者

//<1002> 通り魔
<1002> 通り魔

//<1003> 記憶ナシ男
<1003> 記憶ナシ男

//<1004> 音速
<1004> 音速

//<1005> 無限
<1005> 無限

//<1006> エロ侍
<1006> エロ侍

//<1007> エロエロ団ナンバー１
<1007> エロエロ団ナンバー１

//<1008> ただのエロ少年
<1008> ただのエロ少年

//<1009> ユリブサイク
<1009> ユリブサイク

//<1010> ドピュッシー
<1010> ドピュッシー

//<1011> アメリカンエロドッグ
<1011> アメリカンエロドッグ

//<1012> ゼウス
<1012> ゼウス

//<1013> 日向markⅡ
<1013> 日向markⅡ

//<1014> 糞虫
<1014> 糞虫

//<1015> 量産型日向
<1015> 量産型日向

//<1016> ？？
<1016> ？？

//<1017> 「くっそ…」
<1017> 「くっそ…」

//<1018> 音無
<1018> 音無

//<1019> クソ坊主
<1019> クソ坊主

//<1020> 代理人
<1020> 代理人

//<1021> 微妙すぎるイケメン
<1021> 微妙すぎるイケメン

//<1022> ロリコン
<1022> ロリコン

//<1023> メガネ仲間
<1023> メガネ仲間

//<1024> 暗算日本記録保持者
<1024> 暗算日本記録保持者

//<1025> 通り魔
<1025> 通り魔

//<1026> 記憶ナシ男
<1026> 記憶ナシ男

//<1027> 音速
<1027> 音速

//<1028> 無限
<1028> 無限

//<1029> エロ侍
<1029> エロ侍

//<1030> エロエロ団ナンバー１
<1030> エロエロ団ナンバー１

//<1031> ただのエロ少年
<1031> ただのエロ少年

//<1032> ユリブサイク
<1032> ユリブサイク

//<1033> ドピュッシー
<1033> ドピュッシー

//<1034> アメリカンエロドッグ
<1034> アメリカンエロドッグ

//<1035> ゼウス
<1035> ゼウス

//<1036> 日向markⅡ
<1036> 日向markⅡ

//<1037> 糞虫
<1037> 糞虫

//<1038> 量産型日向
<1038> 量産型日向

//<1039> ？？
<1039> ？？

//<1040> 「って、また立場が変わってるぅー！！」
<1040> 「って、また立場が変わってるぅー！！」

//<1041> nothing
<1041> nothing

//<1042> nothing
<1042> nothing

//<1043> nothing
<1043> nothing

//<1044> nothing
<1044> nothing

//<1045> nothing
<1045> nothing

//<1046> 日向
<1046> 日向

//<1047> 男Ｂ
<1047> 男Ｂ

//<1048> エロエロ団総帥
<1048> エロエロ団総帥

//<1049> イケチン
<1049> イケチン

//<1050> ホモ太
<1050> ホモ太

//<1051> ひなチン
<1051> ひなチン

//<1052> 秀樹
<1052> 秀樹

//<1053> 男子生徒
<1053> 男子生徒

//<1054> ？？
<1054> ？？

//<1055> 「なら言うなよ、ＮＧワードを」
<1055> 「なら言うなよ、ＮＧワードを」

//<1056> 音無
<1056> 音無

//<1057> クソ坊主
<1057> クソ坊主

//<1058> 代理人
<1058> 代理人

//<1059> 微妙すぎるイケメン
<1059> 微妙すぎるイケメン

//<1060> ロリコン
<1060> ロリコン

//<1061> メガネ仲間
<1061> メガネ仲間

//<1062> 暗算日本記録保持者
<1062> 暗算日本記録保持者

//<1063> 通り魔
<1063> 通り魔

//<1064> 記憶ナシ男
<1064> 記憶ナシ男

//<1065> 音速
<1065> 音速

//<1066> 無限
<1066> 無限

//<1067> エロ侍
<1067> エロ侍

//<1068> エロエロ団ナンバー１
<1068> エロエロ団ナンバー１

//<1069> ただのエロ少年
<1069> ただのエロ少年

//<1070> ユリブサイク
<1070> ユリブサイク

//<1071> ドピュッシー
<1071> ドピュッシー

//<1072> アメリカンエロドッグ
<1072> アメリカンエロドッグ

//<1073> ゼウス
<1073> ゼウス

//<1074> 日向markⅡ
<1074> 日向markⅡ

//<1075> 糞虫
<1075> 糞虫

//<1076> 量産型日向
<1076> 量産型日向

//<1077> ？？
<1077> ？？

//<1078> 「わかった」
<1078> 「わかった」

//<1079> 音無
<1079> 音無

//<1080> クソ坊主
<1080> クソ坊主

//<1081> 代理人
<1081> 代理人

//<1082> 微妙すぎるイケメン
<1082> 微妙すぎるイケメン

//<1083> ロリコン
<1083> ロリコン

//<1084> メガネ仲間
<1084> メガネ仲間

//<1085> 暗算日本記録保持者
<1085> 暗算日本記録保持者

//<1086> 通り魔
<1086> 通り魔

//<1087> 記憶ナシ男
<1087> 記憶ナシ男

//<1088> 音速
<1088> 音速

//<1089> 無限
<1089> 無限

//<1090> エロ侍
<1090> エロ侍

//<1091> エロエロ団ナンバー１
<1091> エロエロ団ナンバー１

//<1092> ただのエロ少年
<1092> ただのエロ少年

//<1093> ユリブサイク
<1093> ユリブサイク

//<1094> ドピュッシー
<1094> ドピュッシー

//<1095> アメリカンエロドッグ
<1095> アメリカンエロドッグ

//<1096> ゼウス
<1096> ゼウス

//<1097> 日向markⅡ
<1097> 日向markⅡ

//<1098> 糞虫
<1098> 糞虫

//<1099> 量産型日向
<1099> 量産型日向

//<1100> ？？
<1100> ？？

//<1101> 「ちょっと、やりなおそう、え、どうして！？から頼む」
<1101> 「ちょっと、やりなおそう、え、どうして！？から頼む」

//<1102> nothing
<1102> nothing

//<1103> nothing
<1103> nothing

//<1104> nothing
<1104> nothing

//<1105> nothing
<1105> nothing

//<1106> nothing
<1106> nothing

//<1107> 日向
<1107> 日向

//<1108> 男Ｂ
<1108> 男Ｂ

//<1109> エロエロ団総帥
<1109> エロエロ団総帥

//<1110> イケチン
<1110> イケチン

//<1111> ホモ太
<1111> ホモ太

//<1112> ひなチン
<1112> ひなチン

//<1113> 秀樹
<1113> 秀樹

//<1114> 男子生徒
<1114> 男子生徒

//<1115> ？？
<1115> ？？

//<1116> 「ああ」
<1116> 「ああ」

//<1117> nothing
<1117> nothing

//<1118> nothing
<1118> nothing

//<1119> nothing
<1119> nothing

//<1120> nothing
<1120> nothing

//<1121> nothing
<1121> nothing

//<1122> 日向
<1122> 日向

//<1123> 男Ｂ
<1123> 男Ｂ

//<1124> エロエロ団総帥
<1124> エロエロ団総帥

//<1125> イケチン
<1125> イケチン

//<1126> ホモ太
<1126> ホモ太

//<1127> ひなチン
<1127> ひなチン

//<1128> 秀樹
<1128> 秀樹

//<1129> 男子生徒
<1129> 男子生徒

//<1130> ？？
<1130> ？？

//<1131> 「え、どうして！？　俺には殴られてるのに！？」
<1131> 「え、どうして！？　俺には殴られてるのに！？」

//<1132> 音無
<1132> 音無

//<1133> クソ坊主
<1133> クソ坊主

//<1134> 代理人
<1134> 代理人

//<1135> 微妙すぎるイケメン
<1135> 微妙すぎるイケメン

//<1136> ロリコン
<1136> ロリコン

//<1137> メガネ仲間
<1137> メガネ仲間

//<1138> 暗算日本記録保持者
<1138> 暗算日本記録保持者

//<1139> 通り魔
<1139> 通り魔

//<1140> 記憶ナシ男
<1140> 記憶ナシ男

//<1141> 音速
<1141> 音速

//<1142> 無限
<1142> 無限

//<1143> エロ侍
<1143> エロ侍

//<1144> エロエロ団ナンバー１
<1144> エロエロ団ナンバー１

//<1145> ただのエロ少年
<1145> ただのエロ少年

//<1146> ユリブサイク
<1146> ユリブサイク

//<1147> ドピュッシー
<1147> ドピュッシー

//<1148> アメリカンエロドッグ
<1148> アメリカンエロドッグ

//<1149> ゼウス
<1149> ゼウス

//<1150> 日向markⅡ
<1150> 日向markⅡ

//<1151> 糞虫
<1151> 糞虫

//<1152> 量産型日向
<1152> 量産型日向

//<1153> ？？
<1153> ？？

//<1154> 「それは、イケチン、お前だからだ…」
<1154> 「それは、イケチン、お前だからだ…」

//<1155> nothing
<1155> nothing

//<1156> nothing
<1156> nothing

//<1157> nothing
<1157> nothing

//<1158> nothing
<1158> nothing

//<1159> nothing
<1159> nothing

//<1160> se_punch
<1160> se_punch

//<1161> また拳が飛んできて、ばきぃ！と殴られた。
<1161> また拳が飛んできて、ばきぃ！と殴られた。

//<1162> nothing
<1162> nothing

//<1163> nothing
<1163> nothing

//<1164> nothing
<1164> nothing

//<1165> nothing
<1165> nothing

//<1166> nothing
<1166> nothing

//<1167> 音無
<1167> 音無

//<1168> クソ坊主
<1168> クソ坊主

//<1169> 代理人
<1169> 代理人

//<1170> 微妙すぎるイケメン
<1170> 微妙すぎるイケメン

//<1171> ロリコン
<1171> ロリコン

//<1172> メガネ仲間
<1172> メガネ仲間

//<1173> 暗算日本記録保持者
<1173> 暗算日本記録保持者

//<1174> 通り魔
<1174> 通り魔

//<1175> 記憶ナシ男
<1175> 記憶ナシ男

//<1176> 音速
<1176> 音速

//<1177> 無限
<1177> 無限

//<1178> エロ侍
<1178> エロ侍

//<1179> エロエロ団ナンバー１
<1179> エロエロ団ナンバー１

//<1180> ただのエロ少年
<1180> ただのエロ少年

//<1181> ユリブサイク
<1181> ユリブサイク

//<1182> ドピュッシー
<1182> ドピュッシー

//<1183> アメリカンエロドッグ
<1183> アメリカンエロドッグ

//<1184> ゼウス
<1184> ゼウス

//<1185> 日向markⅡ
<1185> 日向markⅡ

//<1186> 糞虫
<1186> 糞虫

//<1187> 量産型日向
<1187> 量産型日向

//<1188> ？？
<1188> ？？

//<1189> 「ごふっ…それは日向、お前だからだ…」
<1189> 「ごふっ…それは日向、お前だからだ…」

//<1190> またもや説得力のない言い方になってしまった。
<1190> またもや説得力のない言い方になってしまった。

//<1191> nothing
<1191> nothing

//<1192> nothing
<1192> nothing

//<1193> nothing
<1193> nothing

//<1194> nothing
<1194> nothing

//<1195> nothing
<1195> nothing

//<1196> 日向
<1196> 日向

//<1197> 男Ｂ
<1197> 男Ｂ

//<1198> エロエロ団総帥
<1198> エロエロ団総帥

//<1199> イケチン
<1199> イケチン

//<1200> ホモ太
<1200> ホモ太

//<1201> ひなチン
<1201> ひなチン

//<1202> 秀樹
<1202> 秀樹

//<1203> 男子生徒
<1203> 男子生徒

//<1204> ？？
<1204> ？？

//<1205> 「え、どうして！？」
<1205> 「え、どうして！？」

//<1206> 音無
<1206> 音無

//<1207> クソ坊主
<1207> クソ坊主

//<1208> 代理人
<1208> 代理人

//<1209> 微妙すぎるイケメン
<1209> 微妙すぎるイケメン

//<1210> ロリコン
<1210> ロリコン

//<1211> メガネ仲間
<1211> メガネ仲間

//<1212> 暗算日本記録保持者
<1212> 暗算日本記録保持者

//<1213> 通り魔
<1213> 通り魔

//<1214> 記憶ナシ男
<1214> 記憶ナシ男

//<1215> 音速
<1215> 音速

//<1216> 無限
<1216> 無限

//<1217> エロ侍
<1217> エロ侍

//<1218> エロエロ団ナンバー１
<1218> エロエロ団ナンバー１

//<1219> ただのエロ少年
<1219> ただのエロ少年

//<1220> ユリブサイク
<1220> ユリブサイク

//<1221> ドピュッシー
<1221> ドピュッシー

//<1222> アメリカンエロドッグ
<1222> アメリカンエロドッグ

//<1223> ゼウス
<1223> ゼウス

//<1224> 日向markⅡ
<1224> 日向markⅡ

//<1225> 糞虫
<1225> 糞虫

//<1226> 量産型日向
<1226> 量産型日向

//<1227> ？？
<1227> ？？

//<1228> 「それは、日向、お前だからだ…」
<1228> 「それは、日向、お前だからだ…」

//<1229> nothing
<1229> nothing

//<1230> nothing
<1230> nothing

//<1231> nothing
<1231> nothing

//<1232> nothing
<1232> nothing

//<1233> nothing
<1233> nothing

//<1234> 日向
<1234> 日向

//<1235> 男Ｂ
<1235> 男Ｂ

//<1236> エロエロ団総帥
<1236> エロエロ団総帥

//<1237> イケチン
<1237> イケチン

//<1238> ホモ太
<1238> ホモ太

//<1239> ひなチン
<1239> ひなチン

//<1240> 秀樹
<1240> 秀樹

//<1241> 男子生徒
<1241> 男子生徒

//<1242> ？？
<1242> ？？

//<1243> 「俺がやったのは、とんだ裏切り行為だぜ！？」
<1243> 「俺がやったのは、とんだ裏切り行為だぜ！？」

//<1244> 音無
<1244> 音無

//<1245> クソ坊主
<1245> クソ坊主

//<1246> 代理人
<1246> 代理人

//<1247> 微妙すぎるイケメン
<1247> 微妙すぎるイケメン

//<1248> ロリコン
<1248> ロリコン

//<1249> メガネ仲間
<1249> メガネ仲間

//<1250> 暗算日本記録保持者
<1250> 暗算日本記録保持者

//<1251> 通り魔
<1251> 通り魔

//<1252> 記憶ナシ男
<1252> 記憶ナシ男

//<1253> 音速
<1253> 音速

//<1254> 無限
<1254> 無限

//<1255> エロ侍
<1255> エロ侍

//<1256> エロエロ団ナンバー１
<1256> エロエロ団ナンバー１

//<1257> ただのエロ少年
<1257> ただのエロ少年

//<1258> ユリブサイク
<1258> ユリブサイク

//<1259> ドピュッシー
<1259> ドピュッシー

//<1260> アメリカンエロドッグ
<1260> アメリカンエロドッグ

//<1261> ゼウス
<1261> ゼウス

//<1262> 日向markⅡ
<1262> 日向markⅡ

//<1263> 糞虫
<1263> 糞虫

//<1264> 量産型日向
<1264> 量産型日向

//<1265> ？？
<1265> ？？

//<1266> 「じゃあ、二度と裏切らない、それだけを約束してくれ…」
<1266> 「じゃあ、二度と裏切らない、それだけを約束してくれ…」

//<1267> nothing
<1267> nothing

//<1268> nothing
<1268> nothing

//<1269> nothing
<1269> nothing

//<1270> nothing
<1270> nothing

//<1271> nothing
<1271> nothing

//<1272> 日向
<1272> 日向

//<1273> 男Ｂ
<1273> 男Ｂ

//<1274> エロエロ団総帥
<1274> エロエロ団総帥

//<1275> イケチン
<1275> イケチン

//<1276> ホモ太
<1276> ホモ太

//<1277> ひなチン
<1277> ひなチン

//<1278> 秀樹
<1278> 秀樹

//<1279> 男子生徒
<1279> 男子生徒

//<1280> ？？
<1280> ？？

//<1281> 「わかった…約束する！」
<1281> 「わかった…約束する！」

//<1282> 音無
<1282> 音無

//<1283> クソ坊主
<1283> クソ坊主

//<1284> 代理人
<1284> 代理人

//<1285> 微妙すぎるイケメン
<1285> 微妙すぎるイケメン

//<1286> ロリコン
<1286> ロリコン

//<1287> メガネ仲間
<1287> メガネ仲間

//<1288> 暗算日本記録保持者
<1288> 暗算日本記録保持者

//<1289> 通り魔
<1289> 通り魔

//<1290> 記憶ナシ男
<1290> 記憶ナシ男

//<1291> 音速
<1291> 音速

//<1292> 無限
<1292> 無限

//<1293> エロ侍
<1293> エロ侍

//<1294> エロエロ団ナンバー１
<1294> エロエロ団ナンバー１

//<1295> ただのエロ少年
<1295> ただのエロ少年

//<1296> ユリブサイク
<1296> ユリブサイク

//<1297> ドピュッシー
<1297> ドピュッシー

//<1298> アメリカンエロドッグ
<1298> アメリカンエロドッグ

//<1299> ゼウス
<1299> ゼウス

//<1300> 日向markⅡ
<1300> 日向markⅡ

//<1301> 糞虫
<1301> 糞虫

//<1302> 量産型日向
<1302> 量産型日向

//<1303> ？？
<1303> ？？

//<1304> 「じゃあ、指切りげんまんだ！」
<1304> 「じゃあ、指切りげんまんだ！」

//<1305> nothing
<1305> nothing

//<1306> nothing
<1306> nothing

//<1307> nothing
<1307> nothing

//<1308> nothing
<1308> nothing

//<1309> nothing
<1309> nothing

//<1310> 日向
<1310> 日向

//<1311> 男Ｂ
<1311> 男Ｂ

//<1312> エロエロ団総帥
<1312> エロエロ団総帥

//<1313> イケチン
<1313> イケチン

//<1314> ホモ太
<1314> ホモ太

//<1315> ひなチン
<1315> ひなチン

//<1316> 秀樹
<1316> 秀樹

//<1317> 男子生徒
<1317> 男子生徒

//<1318> ？？
<1318> ？？

//<1319> 「ああ！」
<1319> 「ああ！」

//<1320> ふたり小指を結び合う。
<1320> ふたり小指を結び合う。

//<1321> 音無
<1321> 音無

//<1322> クソ坊主
<1322> クソ坊主

//<1323> 代理人
<1323> 代理人

//<1324> 微妙すぎるイケメン
<1324> 微妙すぎるイケメン

//<1325> ロリコン
<1325> ロリコン

//<1326> メガネ仲間
<1326> メガネ仲間

//<1327> 暗算日本記録保持者
<1327> 暗算日本記録保持者

//<1328> 通り魔
<1328> 通り魔

//<1329> 記憶ナシ男
<1329> 記憶ナシ男

//<1330> 音速
<1330> 音速

//<1331> 無限
<1331> 無限

//<1332> エロ侍
<1332> エロ侍

//<1333> エロエロ団ナンバー１
<1333> エロエロ団ナンバー１

//<1334> ただのエロ少年
<1334> ただのエロ少年

//<1335> ユリブサイク
<1335> ユリブサイク

//<1336> ドピュッシー
<1336> ドピュッシー

//<1337> アメリカンエロドッグ
<1337> アメリカンエロドッグ

//<1338> ゼウス
<1338> ゼウス

//<1339> 日向markⅡ
<1339> 日向markⅡ

//<1340> 糞虫
<1340> 糞虫

//<1341> 量産型日向
<1341> 量産型日向

//<1342> ？？
<1342> ？？

//<1343> 「ゆーびきーりげーんまん、うーそついたら、拷問のひーびっ！　ゆーびきった！」
<1343> 「ゆーびきーりげーんまん、うーそついたら、拷問のひーびっ！　ゆーびきった！」

//<1344> そう言って指を切る。
<1344> そう言って指を切る。

//<1345> nothing
<1345> nothing

//<1346> nothing
<1346> nothing

//<1347> nothing
<1347> nothing

//<1348> nothing
<1348> nothing

//<1349> nothing
<1349> nothing

//<1350> 日向
<1350> 日向

//<1351> 男Ｂ
<1351> 男Ｂ

//<1352> エロエロ団総帥
<1352> エロエロ団総帥

//<1353> イケチン
<1353> イケチン

//<1354> ホモ太
<1354> ホモ太

//<1355> ひなチン
<1355> ひなチン

//<1356> 秀樹
<1356> 秀樹

//<1357> 男子生徒
<1357> 男子生徒

//<1358> ？？
<1358> ？？

//<1359> 「死ねない世界だけにそれは恐ろしい…この約束は守るしかねーぜ…！」
<1359> 「死ねない世界だけにそれは恐ろしい…この約束は守るしかねーぜ…！」

//<1360> 音無
<1360> 音無

//<1361> クソ坊主
<1361> クソ坊主

//<1362> 代理人
<1362> 代理人

//<1363> 微妙すぎるイケメン
<1363> 微妙すぎるイケメン

//<1364> ロリコン
<1364> ロリコン

//<1365> メガネ仲間
<1365> メガネ仲間

//<1366> 暗算日本記録保持者
<1366> 暗算日本記録保持者

//<1367> 通り魔
<1367> 通り魔

//<1368> 記憶ナシ男
<1368> 記憶ナシ男

//<1369> 音速
<1369> 音速

//<1370> 無限
<1370> 無限

//<1371> エロ侍
<1371> エロ侍

//<1372> エロエロ団ナンバー１
<1372> エロエロ団ナンバー１

//<1373> ただのエロ少年
<1373> ただのエロ少年

//<1374> ユリブサイク
<1374> ユリブサイク

//<1375> ドピュッシー
<1375> ドピュッシー

//<1376> アメリカンエロドッグ
<1376> アメリカンエロドッグ

//<1377> ゼウス
<1377> ゼウス

//<1378> 日向markⅡ
<1378> 日向markⅡ

//<1379> 糞虫
<1379> 糞虫

//<1380> 量産型日向
<1380> 量産型日向

//<1381> ？？
<1381> ？？

//<1382> （まさか…日向をここまで追い込んでしまうなんて…）
<1382> （まさか…日向をここまで追い込んでしまうなんて…）

//<1383> 音無
<1383> 音無

//<1384> クソ坊主
<1384> クソ坊主

//<1385> 代理人
<1385> 代理人

//<1386> 微妙すぎるイケメン
<1386> 微妙すぎるイケメン

//<1387> ロリコン
<1387> ロリコン

//<1388> メガネ仲間
<1388> メガネ仲間

//<1389> 暗算日本記録保持者
<1389> 暗算日本記録保持者

//<1390> 通り魔
<1390> 通り魔

//<1391> 記憶ナシ男
<1391> 記憶ナシ男

//<1392> 音速
<1392> 音速

//<1393> 無限
<1393> 無限

//<1394> エロ侍
<1394> エロ侍

//<1395> エロエロ団ナンバー１
<1395> エロエロ団ナンバー１

//<1396> ただのエロ少年
<1396> ただのエロ少年

//<1397> ユリブサイク
<1397> ユリブサイク

//<1398> ドピュッシー
<1398> ドピュッシー

//<1399> アメリカンエロドッグ
<1399> アメリカンエロドッグ

//<1400> ゼウス
<1400> ゼウス

//<1401> 日向markⅡ
<1401> 日向markⅡ

//<1402> 糞虫
<1402> 糞虫

//<1403> 量産型日向
<1403> 量産型日向

//<1404> ？？
<1404> ？？

//<1405> 「いいんだ、日向、もう気にしていないから顔を上げてくれ」
<1405> 「いいんだ、日向、もう気にしていないから顔を上げてくれ」

//<1406> 日向
<1406> 日向

//<1407> 男Ｂ
<1407> 男Ｂ

//<1408> エロエロ団総帥
<1408> エロエロ団総帥

//<1409> イケチン
<1409> イケチン

//<1410> ホモ太
<1410> ホモ太

//<1411> ひなチン
<1411> ひなチン

//<1412> 秀樹
<1412> 秀樹

//<1413> 男子生徒
<1413> 男子生徒

//<1414> ？？
<1414> ？？

//<1415> 「いやいやいや、俺はなんてことをしちまったんだぁぁーー！！」
<1415> 「いやいやいや、俺はなんてことをしちまったんだぁぁーー！！」

//<1416> まったく顔を上げてくれない。
<1416> まったく顔を上げてくれない。

//<1417> だから、俺は日向の前でしゃがみ、その顎を手で持ち上げる。
<1417> だから、俺は日向の前でしゃがみ、その顎を手で持ち上げる。

//<1418> nothing
<1418> nothing

//<1419> nothing
<1419> nothing

//<1420> nothing
<1420> nothing

//<1421> nothing
<1421> nothing

//<1422> nothing
<1422> nothing

//<1423> 日向は、涙ぐんでいた。
<1423> 日向は、涙ぐんでいた。

//<1424> 音無
<1424> 音無

//<1425> クソ坊主
<1425> クソ坊主

//<1426> 代理人
<1426> 代理人

//<1427> 微妙すぎるイケメン
<1427> 微妙すぎるイケメン

//<1428> ロリコン
<1428> ロリコン

//<1429> メガネ仲間
<1429> メガネ仲間

//<1430> 暗算日本記録保持者
<1430> 暗算日本記録保持者

//<1431> 通り魔
<1431> 通り魔

//<1432> 記憶ナシ男
<1432> 記憶ナシ男

//<1433> 音速
<1433> 音速

//<1434> 無限
<1434> 無限

//<1435> エロ侍
<1435> エロ侍

//<1436> エロエロ団ナンバー１
<1436> エロエロ団ナンバー１

//<1437> ただのエロ少年
<1437> ただのエロ少年

//<1438> ユリブサイク
<1438> ユリブサイク

//<1439> ドピュッシー
<1439> ドピュッシー

//<1440> アメリカンエロドッグ
<1440> アメリカンエロドッグ

//<1441> ゼウス
<1441> ゼウス

//<1442> 日向markⅡ
<1442> 日向markⅡ

//<1443> 糞虫
<1443> 糞虫

//<1444> 量産型日向
<1444> 量産型日向

//<1445> ？？
<1445> ？？

//<1446> 「はっ、なんて顔してんだよ。日向は笑っていてくれよ」
<1446> 「はっ、なんて顔してんだよ。日向は笑っていてくれよ」

//<1447> 音無
<1447> 音無

//<1448> クソ坊主
<1448> クソ坊主

//<1449> 代理人
<1449> 代理人

//<1450> 微妙すぎるイケメン
<1450> 微妙すぎるイケメン

//<1451> ロリコン
<1451> ロリコン

//<1452> メガネ仲間
<1452> メガネ仲間

//<1453> 暗算日本記録保持者
<1453> 暗算日本記録保持者

//<1454> 通り魔
<1454> 通り魔

//<1455> 記憶ナシ男
<1455> 記憶ナシ男

//<1456> 音速
<1456> 音速

//<1457> 無限
<1457> 無限

//<1458> エロ侍
<1458> エロ侍

//<1459> エロエロ団ナンバー１
<1459> エロエロ団ナンバー１

//<1460> ただのエロ少年
<1460> ただのエロ少年

//<1461> ユリブサイク
<1461> ユリブサイク

//<1462> ドピュッシー
<1462> ドピュッシー

//<1463> アメリカンエロドッグ
<1463> アメリカンエロドッグ

//<1464> ゼウス
<1464> ゼウス

//<1465> 日向markⅡ
<1465> 日向markⅡ

//<1466> 糞虫
<1466> 糞虫

//<1467> 量産型日向
<1467> 量産型日向

//<1468> ？？
<1468> ？？

//<1469> 「じゃなきゃ、死んだ世界戦線は泣きじゃくる戦線になっちまうぜ？」
<1469> 「じゃなきゃ、死んだ世界戦線は泣きじゃくる戦線になっちまうぜ？」

//<1470> nothing
<1470> nothing

//<1471> nothing
<1471> nothing

//<1472> nothing
<1472> nothing

//<1473> nothing
<1473> nothing

//<1474> nothing
<1474> nothing

//<1475> 日向
<1475> 日向

//<1476> 男Ｂ
<1476> 男Ｂ

//<1477> エロエロ団総帥
<1477> エロエロ団総帥

//<1478> イケチン
<1478> イケチン

//<1479> ホモ太
<1479> ホモ太

//<1480> ひなチン
<1480> ひなチン

//<1481> 秀樹
<1481> 秀樹

//<1482> 男子生徒
<1482> 男子生徒

//<1483> ？？
<1483> ？？

//<1484> 「音無…そんな優しくされたら、感動で、涙が零れそうになるじゃないか…」
<1484> 「音無…そんな優しくされたら、感動で、涙が零れそうになるじゃないか…」

//<1485> nothing
<1485> nothing

//<1486> nothing
<1486> nothing

//<1487> nothing
<1487> nothing

//<1488> nothing
<1488> nothing

//<1489> nothing
<1489> nothing

//<1490> 日向
<1490> 日向

//<1491> 男Ｂ
<1491> 男Ｂ

//<1492> エロエロ団総帥
<1492> エロエロ団総帥

//<1493> イケチン
<1493> イケチン

//<1494> ホモ太
<1494> ホモ太

//<1495> ひなチン
<1495> ひなチン

//<1496> 秀樹
<1496> 秀樹

//<1497> 男子生徒
<1497> 男子生徒

//<1498> ？？
<1498> ？？

//<1499> 「俺に失望したろ…。別の戦線メンバーの部屋に引っ越せよ…」
<1499> 「俺に失望したろ…。別の戦線メンバーの部屋に引っ越せよ…」

//<1500> 音無
<1500> 音無

//<1501> クソ坊主
<1501> クソ坊主

//<1502> 代理人
<1502> 代理人

//<1503> 微妙すぎるイケメン
<1503> 微妙すぎるイケメン

//<1504> ロリコン
<1504> ロリコン

//<1505> メガネ仲間
<1505> メガネ仲間

//<1506> 暗算日本記録保持者
<1506> 暗算日本記録保持者

//<1507> 通り魔
<1507> 通り魔

//<1508> 記憶ナシ男
<1508> 記憶ナシ男

//<1509> 音速
<1509> 音速

//<1510> 無限
<1510> 無限

//<1511> エロ侍
<1511> エロ侍

//<1512> エロエロ団ナンバー１
<1512> エロエロ団ナンバー１

//<1513> ただのエロ少年
<1513> ただのエロ少年

//<1514> ユリブサイク
<1514> ユリブサイク

//<1515> ドピュッシー
<1515> ドピュッシー

//<1516> アメリカンエロドッグ
<1516> アメリカンエロドッグ

//<1517> ゼウス
<1517> ゼウス

//<1518> 日向markⅡ
<1518> 日向markⅡ

//<1519> 糞虫
<1519> 糞虫

//<1520> 量産型日向
<1520> 量産型日向

//<1521> ？？
<1521> ？？

//<1522> 「だから、もう気にしなくていいって」
<1522> 「だから、もう気にしなくていいって」

//<1523> nothing
<1523> nothing

//<1524> nothing
<1524> nothing

//<1525> nothing
<1525> nothing

//<1526> nothing
<1526> nothing

//<1527> nothing
<1527> nothing

//<1528> 日向
<1528> 日向

//<1529> 男Ｂ
<1529> 男Ｂ

//<1530> エロエロ団総帥
<1530> エロエロ団総帥

//<1531> イケチン
<1531> イケチン

//<1532> ホモ太
<1532> ホモ太

//<1533> ひなチン
<1533> ひなチン

//<1534> 秀樹
<1534> 秀樹

//<1535> 男子生徒
<1535> 男子生徒

//<1536> ？？
<1536> ？？

//<1537> 「じゃあ、俺はどうすればいい…」
<1537> 「じゃあ、俺はどうすればいい…」

//<1538> 何もしなくていい
<1538> 何もしなくていい

//<1539> 日向markⅡと呼んでくれ
<1539> 日向markⅡと呼んでくれ

//<1540> ゼウスと呼んでくれ
<1540> ゼウスと呼んでくれ

//<1541> selbtn : 
<1541> selbtn : 

//<1542> 音無
<1542> 音無

