// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> とりあえず授業を１時間だけ受けてみた。
<0000> For now I'll take class, but just for an hour.

//<0001> ＳＳＳに所属しているので、Tenshiの監視付きということで、本来の自分の教室とは違う教室でだが。
<0001> The class was in a different classroom from my official one, since I'm part of the SSS, under Tenshi's observation

//<0002> Otonashi
//<0547> ドピュッシー
<0547> ドピュッシー

//<0548> アメリカンエロドッグ
<0548> アメリカンエロドッグ

//<0549> ゼウス
<0549> ゼウス

//<0550> 日向markⅡ
<0550> 日向markⅡ

//<0551> 糞虫
<0551> 糞虫

//<0552> 量産型日向
<0552> 量産型日向

//<0553> ??
<0553> ??

//<0554> 「違いがよくわからないな…」
<0554> "I don't understand the difference"

//<0555> nothing
<0555> nothing

//<0556> nothing
<0556> nothing

//<0557> nothing
<0557> nothing

//<0558> nothing
<0558> nothing

//<0559> nothing
<0559> nothing

//<0560> Tenshi
<0560> Tenshi

//<0561> Kanade
<0561> Kanade

//<0562> Schoolgirl
<0562> Schoolgirl

//<0563> ??
<0563> ??

//<0564> 「じゃあ、こう考えて」
<0564> "Then, think of it like this."

//<0565> nothing
<0565> nothing

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> nothing
<0569> nothing

//<0570> Tenshi
<0570> Tenshi

//<0571> Kanade
<0571> Kanade

//<0572> Schoolgirl
<0572> Schoolgirl

//<0573> ??
<0573> ??

//<0574> 「テントウムシには、テントウムシの死後の世界がある」
<0574> "The ladybugs have an afterlife for ladybugs."

//<0575> Otonashi
<0575> Otonashi

//<0576> Punk
<0576> Punk

//<0577> Substitute
<0577> Substitute

//<0578> Uncanny Hunk
<0578> Uncanny Hunk

//<0579> Lolicon
<0579> Lolicon

//<0580> Glasses Comrade
<0580> Glasses Comrade

//<0581> 暗算日本記録保持者
<0581> 暗算日本記録保持者

//<0582> Phantom Slasher
<0582> Phantom Slasher

//<0583> Amnesiac
<0583> Amnesiac

//<0584> 音速
<0584> 音速

//<0585> 無限
<0585> 無限

//<0586> エロ侍
<0586> エロ侍

//<0587> エロエロ団ナンバー１
<0587> エロエロ団ナンバー１

//<0588> ただのエロ少年
<0588> ただのエロ少年

//<0589> ユリブサイク
<0589> ユリブサイク

//<0590> ドピュッシー
<0590> ドピュッシー

//<0591> アメリカンエロドッグ
<0591> アメリカンエロドッグ

//<0592> ゼウス
<0592> ゼウス

//<0593> 日向markⅡ
<0593> 日向markⅡ

//<0594> 糞虫
<0594> 糞虫

//<0595> 量産型日向
<0595> 量産型日向

//<0596> ??
<0596> ??

//<0597> 「あるのか！？」
<0597> "They do?"

//<0598> nothing
<0598> nothing

//<0599> nothing
<0599> nothing

//<0600> nothing
<0600> nothing

//<0601> nothing
<0601> nothing

//<0602> nothing
<0602> nothing

//<0603> Tenshi
<0603> Tenshi

//<0604> Kanade
<0604> Kanade

//<0605> Schoolgirl
<0605> Schoolgirl

//<0606> ??
<0606> ??

//<0607> 「知らない」
<0607> "I don't know."

//<0608> Otonashi
<0608> Otonashi

//<0609> Punk
<0609> Punk

//<0610> Substitute
<0610> Substitute

//<0611> Uncanny Hunk
<0611> Uncanny Hunk

//<0612> Lolicon
<0612> Lolicon

//<0613> Glasses Comrade
<0613> Glasses Comrade

//<0614> 暗算日本記録保持者
<0614> 暗算日本記録保持者

//<0615> Phantom Slasher
<0615> Phantom Slasher

//<0616> Amnesiac
<0616> Amnesiac

//<0617> 音速
<0617> 音速

//<0618> 無限
<0618> 無限

//<0619> エロ侍
<0619> エロ侍

//<0620> エロエロ団ナンバー１
<0620> エロエロ団ナンバー１

//<0621> ただのエロ少年
<0621> ただのエロ少年

//<0622> ユリブサイク
<0622> ユリブサイク

//<0623> ドピュッシー
<0623> ドピュッシー

//<0624> アメリカンエロドッグ
<0624> アメリカンエロドッグ

//<0625> ゼウス
<0625> ゼウス

//<0626> 日向markⅡ
<0626> 日向markⅡ

//<0627> 糞虫
<0627> 糞虫

//<0628> 量産型日向
<0628> 量産型日向

//<0629> ??
<0629> ??

//<0630> 「んだよっ！」
<0630> "The hell!"

//<0631> nothing
<0631> nothing

//<0632> nothing
<0632> nothing

//<0633> nothing
<0633> nothing

//<0634> nothing
<0634> nothing

//<0635> nothing
<0635> nothing

//<0636> でも、言いたいことはなんとなくわかってきた。
<0636> I kind of understand what she's saying

//<0637> ようするに、ここで青春を謳歌しても、テントウムシに生まれ変わったら意味がない。
<0637> Basically, if we celebrated youth here and where then reborn as ladybugs; there wouldn't be any point.

//<0638> なぜなら、テントウムシの一生にはそれが活かされないからだ。
<0638> Because such experiences don't exist for a ladybug.

//<0639> というようなことをまとめて伝えた。
<0639> That's what she's trying to say.

//<0640> nothing
<0640> nothing

//<0641> nothing
<0641> nothing

//<0642> nothing
<0642> nothing

//<0643> nothing
<0643> nothing

//<0644> nothing
<0644> nothing

//<0645> Tenshi
<0645> Tenshi

//<0646> Kanade
<0646> Kanade

//<0647> Schoolgirl
<0647> Schoolgirl

//<0648> ??
<0648> ??

//<0649> 「初めて伝わったわ…！」
<0649> "This is the first time someone understands!"

//<0650> おいおい。
<0650> Wait what?

//<0651> Tenshiだったら、それを伝えるのも使命だろ。
<0651> If you're an angel, then telling people about this is also part of your duty.

//<0652> nothing
<0652> nothing

//<0653> nothing
<0653> nothing

//<0654> nothing
<0654> nothing

//<0655> nothing
<0655> nothing

//<0656> nothing
<0656> nothing

//<0657> nothing
<0657> nothing

//<0658> 確かに、と考え始めていた。
<0658> I'm starting to think she's right

//<0659> nothing
<0659> nothing

//<0660> 
<0660> 

//<0661> 
<0661> 

//<0662> nothing
<0662> nothing

//<0663> ここは人間専用の死後の世界だ。それは間違いない。
<0663> "This is definitely a human-exclusive afterlife"

//<0664> 生まれ変わる対象が地球上すべての生命だとしたら、次また人間になるまでにどれだけそれを繰り返すことになるだろう。
<0664> If you could become any living thing on Earth in the next life, how many tries would it take to become a human again?

//<0665> それは天文学的確率であるはずだ。
<0665> The odds are astronomically low.

//<0666> つまりこの世界の意味が果たせるのも、稀ということになる。
<0666> Then, this worlds purpose would only be fulfilled a small fraction of the time.

//<0667> そんな奇跡のために神もこんな場所を用意しないだろう。
<0667> God wouldn't create this place for such a miraculous chance right?

//<0668> この世界に来てすぐに植え付けられたフジツボに生まれ変わる恐怖が、徐々に薄れていく。
<0668> The fear of the idea of being reborn into a barnacle, which was planted in my mind just after coming to this world, is gradually fading.

//<0669> この世界に来てすぐに植え付けられたアブラゼミに生まれ変わる恐怖が、徐々に薄れていく。
<0669> The fear of the idea of being reborn into a cicada, which was planted in my mind just after coming to this world, is gradually fading.

//<0670> この世界に来てすぐに植え付けられたサナダムシに生まれ変わる恐怖が、徐々に薄れていく。
<0670> The fear of the idea of being reborn into a tapeworm, which was planted in my mind just after coming to this world, is gradually fading.
//TL remember to match the animals to day1

//<0671> nothing
<0671> nothing

//<0672> nothing
<0672> nothing

//<0673> nothing
<0673> nothing

//<0674> nothing
<0674> nothing

//<0675> nothing
<0675> nothing

//<0676> もし、ここから消えても、次も人間なんだ。
<0676> If you disappear from here, then you are reborn as a human next.

//<0677> なんたって、神の使いであるTenshiがそう言うんだから、間違いない。
<0677> That's what God's angel said, so it has to be true.

//<0678> 気楽になれた気がした。
<0678> That feels like a load of my shoulders.

//<0679> dummy
<0679> dummy

//<0680> bg_kuro
<0680> bg_kuro

//<0681> ep06_bg011
<0681> ep06_bg011

//<0682> m204
<0682> m204

//<0683> ep10_bg024
<0683> ep10_bg024

//<0684> bg_kuro
<0684> bg_kuro

//<0685> ep06_bg008
<0685> ep06_bg008

//<0686> kn0101
<0686> kn0101

//<0687> kn0101_08
<0687> kn0101_08

//<0688> kn0101_09
<0688> kn0101_09

//<0689> kn0109
<0689> kn0109

//<0690> kn0101_08
<0690> kn0101_08

//<0691> kn0101
<0691> kn0101

//<0692> kn0901_05
<0692> kn0901_05

//<0693> kn0901
<0693> kn0901

//<0694> kn0909
<0694> kn0909

//<0695> kn0901
<0695> kn0901

//<0696> kn0101
<0696> kn0101

//<0697> kn0109
<0697> kn0109

//<0698> kn0101
<0698> kn0101

//<0699> kn0101_05
<0699> kn0101_05

//<0700> kn0101_08
<0700> kn0101_08

//<0701> kn0909
<0701> kn0909

//<0702> kn0901
<0702> kn0901

//<0703> kn0902
<0703> kn0902

//<0704> ep07_bg001
<0704> ep07_bg001

//<0705> ep06_bg008
<0705> ep06_bg008

//<0706> kn0902
<0706> kn0902

