// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<1759> ひなチン

//<1760> 秀樹
<1760> 秀樹

//<1761> 男子生徒
<1761> 男子生徒

//<1762> ？？
<1762> ？？

//<1763> 「キリモミした！？」
<1763> 「キリモミした！？」

//<1764> se_wood_bloken
<1764> se_wood_bloken

//<1765> ずがんっ！と天井にぶつかり、床に落ちてくる。
<1765> ずがんっ！と天井にぶつかり、床に落ちてくる。

//<1766> se_fall2_human
<1766> se_fall2_human

//<1767> 上半身裸のまま失神している姿はインパクトありすぎる…。
<1767> 上半身裸のまま失神している姿はインパクトありすぎる…。

//<1768> その隙に竹山がまたも答案用紙のすり替えを行っていた。
<1768> その隙に竹山がまたも答案用紙のすり替えを行っていた。

//<1769> 休み時間。ゆりの元に集まり、また密談。
<1769> 休み時間。ゆりの元に集まり、また密談。

//<1770> nothing
<1770> nothing

//<1771> nothing
<1771> nothing

//<1772> nothing
<1772> nothing

//<1773> nothing
<1773> nothing

//<1774> nothing
<1774> nothing

//<1775> ゆり
<1775> ゆり

//<1776> 女生徒
<1776> 女生徒

//<1777> ？？
<1777> ？？

//<1778> 「ったく、よくもまあ、あんなあさはかな案を自信を持って遂行できたものね」
<1778> 「ったく、よくもまあ、あんなあさはかな案を自信を持って遂行できたものね」

//<1779> 高松
<1779> 高松

//<1780> 「自信あったんですが…意外性があるといいますか…見かけによらないといいますか…陰で鍛え続けてきたので…」
<1780> 「自信あったんですが…意外性があるといいますか…見かけによらないといいますか…陰で鍛え続けてきたので…」

//<1781> nothing
<1781> nothing

//<1782> nothing
<1782> nothing

//<1783> nothing
<1783> nothing

//<1784> nothing
<1784> nothing

//<1785> 日向
<1785> 日向

//<1786> 男Ｂ
<1786> 男Ｂ

//<1787> エロエロ団総帥
<1787> エロエロ団総帥

//<1788> イケチン
<1788> イケチン

//<1789> ホモ太
<1789> ホモ太

//<1790> ひなチン
<1790> ひなチン

//<1791> 秀樹
<1791> 秀樹

//<1792> 男子生徒
<1792> 男子生徒

//<1793> ？？
<1793> ？？

//<1794> 「いいから上、着ろよ」
<1794> 「いいから上、着ろよ」

//<1795> nothing
<1795> nothing

//<1796> nothing
<1796> nothing

//<1797> nothing
<1797> nothing

//<1798> nothing
<1798> nothing

//<1799> nothing
<1799> nothing

//<1800> 高松
<1800> 高松

//<1801> 「にしても、キリモミする必要まではなかったかと…」
<1801> 「にしても、キリモミする必要まではなかったかと…」

//<1802> nothing
<1802> nothing

//<1803> nothing
<1803> nothing

//<1804> nothing
<1804> nothing

//<1805> nothing
<1805> nothing

//<1806> ゆり
<1806> ゆり

//<1807> 女生徒
<1807> 女生徒

//<1808> ？？
<1808> ？？

//<1809> 「目立つほどいいんだからあるに決まってるじゃない。フォローしてあげたんだから、感謝なさいよ」
<1809> 「目立つほどいいんだからあるに決まってるじゃない。フォローしてあげたんだから、感謝なさいよ」

//<1810> nothing
<1810> nothing

//<1811> nothing
<1811> nothing

//<1812> nothing
<1812> nothing

//<1813> nothing
<1813> nothing

//<1814> nothing
<1814> nothing

//<1815> ゆり
<1815> ゆり

//<1816> 女生徒
<1816> 女生徒

//<1817> ？？
<1817> ？？

//<1818> 「今回も首尾はばっちしね？　竹山くん」
<1818> 「今回も首尾はばっちしね？　竹山くん」

//<1819> 竹山
<1819> 竹山
{33d7e} 33 // 1819

//<1820> 「抜かりありません。そろそろ、ク…」
<1820> 「抜かりありません。そろそろ、ク…」

//<1821> nothing
<1821> nothing

//<1822> nothing
<1822> nothing

//<1823> nothing
<1823> nothing

//<1824> nothing
<1824> nothing

//<1825> nothing
<1825> nothing

//<1826> nothing
<1826> nothing

//<1827> nothing
<1827> nothing

//<1828> nothing
<1828> nothing

//<1829> nothing
<1829> nothing

//<1830> nothing
<1830> nothing

//<1831> ゆり
<1831> ゆり

//<1832> 女生徒
<1832> 女生徒

//<1833> ？？
<1833> ？？

//<1834> 「じゃ、次は入江さん」
<1834> 「じゃ、次は入江さん」

//<1835> nothing
<1835> nothing

//<1836> nothing
<1836> nothing

//<1837> nothing
<1837> nothing

//<1838> nothing
<1838> nothing

//<1839> 入江
<1839> 入江

//<1840> 「えぇ！？　あたしに持ちネタなんてありませんーっ！」
<1840> 「えぇ！？　あたしに持ちネタなんてありませんーっ！」

//<1841> nothing
<1841> nothing

//<1842> nothing
<1842> nothing

//<1843> nothing
<1843> nothing

//<1844> nothing
<1844> nothing

//<1845> 高松
<1845> 高松

//<1846> 「別に私たちはネタ見せをしてるわけではありませんが…」
<1846> 「別に私たちはネタ見せをしてるわけではありませんが…」

//<1847> その姿は十分ネタじゃないか…。
<1847> その姿は十分ネタじゃないか…。

//<1848> nothing
<1848> nothing

//<1849> nothing
<1849> nothing

//<1850> nothing
<1850> nothing

//<1851> nothing
<1851> nothing

//<1852> ゆり
<1852> ゆり

//<1853> 女生徒
<1853> 女生徒

//<1854> ？？
<1854> ？？

//<1855> 「あっ、そーだ。入江さんの席はすぐ斜め後ろで、近いじゃない」
<1855> 「あっ、そーだ。入江さんの席はすぐ斜め後ろで、近いじゃない」

//<1856> nothing
<1856> nothing

//<1857> nothing
<1857> nothing

//<1858> nothing
<1858> nothing

//<1859> nothing
<1859> nothing

//<1860> nothing
<1860> nothing

//<1861> 入江
<1861> 入江

//<1862> 「はい…そうですが…あたしも飛ぶんでしょうか…？」
<1862> 「はい…そうですが…あたしも飛ぶんでしょうか…？」

//<1863> nothing
<1863> nothing

//<1864> nothing
<1864> nothing

//<1865> nothing
<1865> nothing

//<1866> nothing
<1866> nothing

//<1867> nothing
<1867> nothing

//<1868> ゆり
<1868> ゆり

//<1869> 女生徒
<1869> 女生徒

//<1870> ？？
<1870> ？？

//<1871> 「大丈夫よ。天使に告白してくれたら」
<1871> 「大丈夫よ。天使に告白してくれたら」

//<1872> nothing
<1872> nothing

//<1873> nothing
<1873> nothing

//<1874> nothing
<1874> nothing

//<1875> nothing
<1875> nothing

//<1876> nothing
<1876> nothing

//<1877> 入江
<1877> 入江

//<1878> 「はい」
<1878> 「はい」

//<1879> nothing
<1879> nothing

//<1880> nothing
<1880> nothing

//<1881> nothing
<1881> nothing

//<1882> nothing
<1882> nothing

//<1883> nothing
<1883> nothing

//<1884> 入江
<1884> 入江

//<1885> 「…はい？　今…なんて言いました？」
<1885> 「…はい？　今…なんて言いました？」

//<1886> ゆり
<1886> ゆり

//<1887> 女生徒
<1887> 女生徒

//<1888> ？？
<1888> ？？

//<1889> 「天使に告白するのよ。こんな時に場所も選ばず、ごめんなさい。あなたのことがずっと好きでした、付き合ってください、って」
<1889> 「天使に告白するのよ。こんな時に場所も選ばず、ごめんなさい。あなたのことがずっと好きでした、付き合ってください、って」

//<1890> se_shock
<1890> se_shock

//<1891> nothing
<1891> nothing

//<1892> nothing
<1892> nothing

//<1893> nothing
<1893> nothing

//<1894> nothing
<1894> nothing

//<1895> nothing
<1895> nothing

//<1896> 入江
<1896> 入江

//<1897> 「ええぇぇえぇぇぇーーっ！」
<1897> 「ええぇぇえぇぇぇーーっ！」

//<1898> nothing
<1898> nothing

//<1899> nothing
<1899> nothing

//<1900> nothing
<1900> nothing

//<1901> nothing
<1901> nothing

//<1902> nothing
<1902> nothing

//<1903> 日向
<1903> 日向

//<1904> 男Ｂ
<1904> 男Ｂ

//<1905> エロエロ団総帥
<1905> エロエロ団総帥

//<1906> イケチン
<1906> イケチン

//<1907> ホモ太
<1907> ホモ太

//<1908> ひなチン
<1908> ひなチン

//<1909> 秀樹
<1909> 秀樹

//<1910> 男子生徒
<1910> 男子生徒

//<1911> ？？
<1911> ？？

//<1912> 「そいつはさすがに、ハードルが高すぎねーか？」
<1912> 「そいつはさすがに、ハードルが高すぎねーか？」

//<1913> 高松
<1913> 高松

//<1914> 「ですね…」
<1914> 「ですね…」

//<1915> 大山
<1915> 大山

//<1916> 「しかも、女性同士…禁断の恋だよっ！？」
<1916> 「しかも、女性同士…禁断の恋だよっ！？」

//<1917> ゆり
<1917> ゆり

//<1918> 女生徒
<1918> 女生徒

//<1919> ？？
<1919> ？？

//<1920> 「その禁断な感じがいいんじゃない。間違いなく、注目の的になるわよ」
<1920> 「その禁断な感じがいいんじゃない。間違いなく、注目の的になるわよ」

//<1921> 俺も見てみたい
<1921> 俺も見てみたい

//<1922> 大山にすべきだ
<1922> 大山にすべきだ

//<1923> 確かに荷が重すぎる
<1923> 確かに荷が重すぎる

//<1924> selbtn : 
<1924> selbtn : 

//<1925> 音無
<1925> 音無

//<1926> クソ坊主
<1926> クソ坊主

//<1927> 代理人
<1927> 代理人

//<1928> 微妙すぎるイケメン
<1928> 微妙すぎるイケメン

//<1929> ロリコン
<1929> ロリコン

//<1930> メガネ仲間
<1930> メガネ仲間

//<1931> 暗算日本記録保持者
<1931> 暗算日本記録保持者

//<1932> 通り魔
<1932> 通り魔

//<1933> 記憶ナシ男
<1933> 記憶ナシ男

//<1934> 音速
<1934> 音速

//<1935> 無限
<1935> 無限

//<1936> エロ侍
<1936> エロ侍

//<1937> エロエロ団ナンバー１
<1937> エロエロ団ナンバー１

//<1938> ただのエロ少年
<1938> ただのエロ少年

//<1939> ユリブサイク
<1939> ユリブサイク

//<1940> ドピュッシー
<1940> ドピュッシー

//<1941> アメリカンエロドッグ
<1941> アメリカンエロドッグ

//<1942> ゼウス
<1942> ゼウス

//<1943> 日向markⅡ
<1943> 日向markⅡ

//<1944> 糞虫
<1944> 糞虫

//<1945> 量産型日向
<1945> 量産型日向

//<1946> ？？
<1946> ？？

//<1947> 「俺も見てみたい。もしかしたら、上手くいくかもしれないし」
<1947> 「俺も見てみたい。もしかしたら、上手くいくかもしれないし」

//<1948> nothing
<1948> nothing

//<1949> nothing
<1949> nothing

//<1950> nothing
<1950> nothing

//<1951> nothing
<1951> nothing

//<1952> nothing
<1952> nothing

//<1953> 日向
<1953> 日向

//<1954> 男Ｂ
<1954> 男Ｂ

//<1955> エロエロ団総帥
<1955> エロエロ団総帥

//<1956> イケチン
<1956> イケチン

//<1957> ホモ太
<1957> ホモ太

//<1958> ひなチン
<1958> ひなチン

//<1959> 秀樹
<1959> 秀樹

//<1960> 男子生徒
<1960> 男子生徒

//<1961> ？？
<1961> ？？

//<1962> 「は！？　正気か、量産型日向！？　そんな趣味があったのかよっ！？」
<1962> 「は！？　正気か、量産型日向！？　そんな趣味があったのかよっ！？」

//<1963> nothing
<1963> nothing

//<1964> nothing
<1964> nothing

//<1965> nothing
<1965> nothing

//<1966> nothing
<1966> nothing

//<1967> nothing
<1967> nothing

//<1968> 日向
<1968> 日向

//<1969> 男Ｂ
<1969> 男Ｂ

//<1970> エロエロ団総帥
<1970> エロエロ団総帥

//<1971> イケチン
<1971> イケチン

//<1972> ホモ太
<1972> ホモ太

//<1973> ひなチン
<1973> ひなチン

//<1974> 秀樹
<1974> 秀樹

//<1975> 男子生徒
<1975> 男子生徒

//<1976> ？？
<1976> ？？

//<1977> 「は！？　正気か、音無！？　てめー、そんな趣味があったのかよっ！？」
<1977> 「は！？　正気か、音無！？　てめー、そんな趣味があったのかよっ！？」

//<1978> ある
<1978> ある

//<1979> ない
<1979> ない

//<1980> selbtn : 
<1980> selbtn : 

//<1981> 音無
<1981> 音無

//<1982> クソ坊主
<1982> クソ坊主

//<1983> 代理人
<1983> 代理人

//<1984> 微妙すぎるイケメン
<1984> 微妙すぎるイケメン

//<1985> ロリコン
<1985> ロリコン

//<1986> メガネ仲間
<1986> メガネ仲間

//<1987> 暗算日本記録保持者
<1987> 暗算日本記録保持者

//<1988> 通り魔
<1988> 通り魔

//<1989> 記憶ナシ男
<1989> 記憶ナシ男

//<1990> 音速
<1990> 音速

//<1991> 無限
<1991> 無限

//<1992> エロ侍
<1992> エロ侍

//<1993> エロエロ団ナンバー１
<1993> エロエロ団ナンバー１

//<1994> ただのエロ少年
<1994> ただのエロ少年

//<1995> ユリブサイク
<1995> ユリブサイク

//<1996> ドピュッシー
<1996> ドピュッシー

//<1997> アメリカンエロドッグ
<1997> アメリカンエロドッグ

//<1998> ゼウス
<1998> ゼウス

//<1999> 日向markⅡ
<1999> 日向markⅡ

//<2000> 糞虫
<2000> 糞虫

//<2001> 量産型日向
<2001> 量産型日向

//<2002> ？？
<2002> ？？

//<2003> 「ある」
<2003> 「ある」

//<2004> nothing
<2004> nothing

//<2005> nothing
<2005> nothing

//<2006> nothing
<2006> nothing

//<2007> nothing
<2007> nothing

//<2008> nothing
<2008> nothing

//<2009> 日向
<2009> 日向

//<2010> 男Ｂ
<2010> 男Ｂ

//<2011> エロエロ団総帥
<2011> エロエロ団総帥

//<2012> イケチン
<2012> イケチン

//<2013> ホモ太
<2013> ホモ太

//<2014> ひなチン
<2014> ひなチン

//<2015> 秀樹
<2015> 秀樹

//<2016> 男子生徒
<2016> 男子生徒

//<2017> ？？
<2017> ？？

//<2018> 「マジかよ…。確かに男なら、そういうのも好きって奴、居るもんな…」
<2018> 「マジかよ…。確かに男なら、そういうのも好きって奴、居るもんな…」

//<2019> 音無
<2019> 音無

//<2020> クソ坊主
<2020> クソ坊主

//<2021> 代理人
<2021> 代理人

//<2022> 微妙すぎるイケメン
<2022> 微妙すぎるイケメン

//<2023> ロリコン
<2023> ロリコン

//<2024> メガネ仲間
<2024> メガネ仲間

//<2025> 暗算日本記録保持者
<2025> 暗算日本記録保持者

//<2026> 通り魔
<2026> 通り魔

//<2027> 記憶ナシ男
<2027> 記憶ナシ男

//<2028> 音速
<2028> 音速

//<2029> 無限
<2029> 無限

//<2030> エロ侍
<2030> エロ侍

//<2031> エロエロ団ナンバー１
<2031> エロエロ団ナンバー１

//<2032> ただのエロ少年
<2032> ただのエロ少年

//<2033> ユリブサイク
<2033> ユリブサイク

//<2034> ドピュッシー
<2034> ドピュッシー

//<2035> アメリカンエロドッグ
<2035> アメリカンエロドッグ

//<2036> ゼウス
<2036> ゼウス

//<2037> 日向markⅡ
<2037> 日向markⅡ

//<2038> 糞虫
<2038> 糞虫

//<2039> 量産型日向
<2039> 量産型日向

//<2040> ？？
<2040> ？？

//<2041> 「でも安心してくれ。その逆バージョンも大いにアリだ」
<2041> 「でも安心してくれ。その逆バージョンも大いにアリだ」

//<2042> nothing
<2042> nothing

//<2043> nothing
<2043> nothing

//<2044> nothing
<2044> nothing

//<2045> nothing
<2045> nothing

//<2046> nothing
<2046> nothing

//<2047> 日向
<2047> 日向

//<2048> 男Ｂ
<2048> 男Ｂ

//<2049> エロエロ団総帥
<2049> エロエロ団総帥

//<2050> イケチン
<2050> イケチン

//<2051> ホモ太
<2051> ホモ太

//<2052> ひなチン
<2052> ひなチン

//<2053> 秀樹
<2053> 秀樹

//<2054> 男子生徒
<2054> 男子生徒

//<2055> ？？
<2055> ？？

//<2056> 「それも、こえぇぇーーよっ！！」
<2056> 「それも、こえぇぇーーよっ！！」

//<2057> 音無
<2057> 音無

//<2058> クソ坊主
<2058> クソ坊主

//<2059> 代理人
<2059> 代理人

//<2060> 微妙すぎるイケメン
<2060> 微妙すぎるイケメン

//<2061> ロリコン
<2061> ロリコン

//<2062> メガネ仲間
<2062> メガネ仲間

//<2063> 暗算日本記録保持者
<2063> 暗算日本記録保持者

//<2064> 通り魔
<2064> 通り魔

//<2065> 記憶ナシ男
<2065> 記憶ナシ男

//<2066> 音速
<2066> 音速

//<2067> 無限
<2067> 無限

//<2068> エロ侍
<2068> エロ侍

//<2069> エロエロ団ナンバー１
<2069> エロエロ団ナンバー１

//<2070> ただのエロ少年
<2070> ただのエロ少年

//<2071> ユリブサイク
<2071> ユリブサイク

//<2072> ドピュッシー
<2072> ドピュッシー

//<2073> アメリカンエロドッグ
<2073> アメリカンエロドッグ

//<2074> ゼウス
<2074> ゼウス

//<2075> 日向markⅡ
<2075> 日向markⅡ

//<2076> 糞虫
<2076> 糞虫

//<2077> 量産型日向
<2077> 量産型日向

//<2078> ？？
<2078> ？？

//<2079> 「ない」
<2079> 「ない」

//<2080> nothing
<2080> nothing

//<2081> nothing
<2081> nothing

//<2082> nothing
<2082> nothing

//<2083> nothing
<2083> nothing

//<2084> nothing
<2084> nothing

//<2085> 日向
<2085> 日向

//<2086> 男Ｂ
<2086> 男Ｂ

//<2087> エロエロ団総帥
<2087> エロエロ団総帥

//<2088> イケチン
<2088> イケチン

//<2089> ホモ太
<2089> ホモ太

//<2090> ひなチン
<2090> ひなチン

//<2091> 秀樹
<2091> 秀樹

//<2092> 男子生徒
<2092> 男子生徒

//<2093> ？？
<2093> ？？

//<2094> 「ないのに、見てみたいのか！？」
<2094> 「ないのに、見てみたいのか！？」

//<2095> 音無
<2095> 音無

//<2096> クソ坊主
<2096> クソ坊主

//<2097> 代理人
<2097> 代理人

//<2098> 微妙すぎるイケメン
<2098> 微妙すぎるイケメン

//<2099> ロリコン
<2099> ロリコン

//<2100> メガネ仲間
<2100> メガネ仲間

//<2101> 暗算日本記録保持者
<2101> 暗算日本記録保持者

//<2102> 通り魔
<2102> 通り魔

//<2103> 記憶ナシ男
<2103> 記憶ナシ男

//<2104> 音速
<2104> 音速

//<2105> 無限
<2105> 無限

//<2106> エロ侍
<2106> エロ侍

//<2107> エロエロ団ナンバー１
<2107> エロエロ団ナンバー１

//<2108> ただのエロ少年
<2108> ただのエロ少年

//<2109> ユリブサイク
<2109> ユリブサイク

//<2110> ドピュッシー
<2110> ドピュッシー

//<2111> アメリカンエロドッグ
<2111> アメリカンエロドッグ

//<2112> ゼウス
<2112> ゼウス

//<2113> 日向markⅡ
<2113> 日向markⅡ

//<2114> 糞虫
<2114> 糞虫

//<2115> 量産型日向
<2115> 量産型日向

//<2116> ？？
<2116> ？？

//<2117> 「なんていうんだろ…新しい扉が開く気がするんだ…」
<2117> 「なんていうんだろ…新しい扉が開く気がするんだ…」

//<2118> nothing
<2118> nothing

//<2119> nothing
<2119> nothing

//<2120> nothing
<2120> nothing

//<2121> nothing
<2121> nothing

//<2122> nothing
<2122> nothing

//<2123> 日向
<2123> 日向

//<2124> 男Ｂ
<2124> 男Ｂ

//<2125> エロエロ団総帥
<2125> エロエロ団総帥

//<2126> イケチン
<2126> イケチン

//<2127> ホモ太
<2127> ホモ太

//<2128> ひなチン
<2128> ひなチン

//<2129> 秀樹
<2129> 秀樹

//<2130> 男子生徒
<2130> 男子生徒

//<2131> ？？
<2131> ？？

//<2132> 「はあ！？」
<2132> 「はあ！？」

//<2133> 音無
<2133> 音無

//<2134> クソ坊主
<2134> クソ坊主

//<2135> 代理人
<2135> 代理人

//<2136> 微妙すぎるイケメン
<2136> 微妙すぎるイケメン

//<2137> ロリコン
<2137> ロリコン

//<2138> メガネ仲間
<2138> メガネ仲間

//<2139> 暗算日本記録保持者
<2139> 暗算日本記録保持者

//<2140> 通り魔
<2140> 通り魔

//<2141> 記憶ナシ男
<2141> 記憶ナシ男

//<2142> 音速
<2142> 音速

//<2143> 無限
<2143> 無限

//<2144> エロ侍
<2144> エロ侍

//<2145> エロエロ団ナンバー１
<2145> エロエロ団ナンバー１

//<2146> ただのエロ少年
<2146> ただのエロ少年

//<2147> ユリブサイク
<2147> ユリブサイク

//<2148> ドピュッシー
<2148> ドピュッシー

//<2149> アメリカンエロドッグ
<2149> アメリカンエロドッグ

//<2150> ゼウス
<2150> ゼウス

//<2151> 日向markⅡ
<2151> 日向markⅡ

//<2152> 糞虫
<2152> 糞虫

//<2153> 量産型日向
<2153> 量産型日向

//<2154> ？？
<2154> ？？

//<2155> 「俺はいまんとこ、お前一筋だから」
<2155> 「俺はいまんとこ、お前一筋だから」

//<2156> 大山
<2156> 大山

//<2157> 「いきなり、すごいカミングアウトだぁぁーー！！」
<2157> 「いきなり、すごいカミングアウトだぁぁーー！！」

//<2158> nothing
<2158> nothing

//<2159> nothing
<2159> nothing

//<2160> nothing
<2160> nothing

//<2161> nothing
<2161> nothing

//<2162> nothing
<2162> nothing

//<2163> 日向
<2163> 日向

//<2164> 男Ｂ
<2164> 男Ｂ

//<2165> エロエロ団総帥
<2165> エロエロ団総帥

//<2166> イケチン
<2166> イケチン

//<2167> ホモ太
<2167> ホモ太

//<2168> ひなチン
<2168> ひなチン

//<2169> 秀樹
<2169> 秀樹

//<2170> 男子生徒
<2170> 男子生徒

//<2171> ？？
<2171> ？？

//<2172> 「ルームメイトとして、すげぇーこえーーーよ！！」
<2172> 「ルームメイトとして、すげぇーこえーーーよ！！」

//<2173> nothing
<2173> nothing

//<2174> nothing
<2174> nothing

//<2175> nothing
<2175> nothing

//<2176> nothing
<2176> nothing

//<2177> ゆり
<2177> ゆり

//<2178> 女生徒
<2178> 女生徒

//<2179> ？？
<2179> ？？

//<2180> 「で、どうなの、入江さん？」
<2180> 「で、どうなの、入江さん？」

//<2181> nothing
<2181> nothing

//<2182> nothing
<2182> nothing

//<2183> nothing
<2183> nothing

//<2184> nothing
<2184> nothing

//<2185> nothing
<2185> nothing

//<2186> 入江
<2186> 入江

//<2187> 「それはええと…」
<2187> 「それはええと…」

//<2188> nothing
<2188> nothing

//<2189> nothing
<2189> nothing

//<2190> nothing
<2190> nothing

//<2191> nothing
<2191> nothing

//<2192> nothing
<2192> nothing

//<2193> 入江
<2193> 入江

//<2194> 「…わかりました。やってみますっ」
<2194> 「…わかりました。やってみますっ」

//<2195> 最後は勇気を振り絞った表情で言った。
<2195> 最後は勇気を振り絞った表情で言った。

//<2196> 音無
<2196> 音無

//<2197> クソ坊主
<2197> クソ坊主

//<2198> 代理人
<2198> 代理人

//<2199> 微妙すぎるイケメン
<2199> 微妙すぎるイケメン

//<2200> ロリコン
<2200> ロリコン

//<2201> メガネ仲間
<2201> メガネ仲間

//<2202> 暗算日本記録保持者
<2202> 暗算日本記録保持者

//<2203> 通り魔
<2203> 通り魔

//<2204> 記憶ナシ男
<2204> 記憶ナシ男

//<2205> 音速
<2205> 音速

//<2206> 無限
<2206> 無限

//<2207> エロ侍
<2207> エロ侍

//<2208> エロエロ団ナンバー１
<2208> エロエロ団ナンバー１

//<2209> ただのエロ少年
<2209> ただのエロ少年

//<2210> ユリブサイク
<2210> ユリブサイク

//<2211> ドピュッシー
<2211> ドピュッシー

//<2212> アメリカンエロドッグ
<2212> アメリカンエロドッグ

//<2213> ゼウス
<2213> ゼウス

//<2214> 日向markⅡ
<2214> 日向markⅡ

//<2215> 糞虫
<2215> 糞虫

//<2216> 量産型日向
<2216> 量産型日向

//<2217> ？？
<2217> ？？

//<2218> 「俺は大山が適任だと思う」
<2218> 「俺は大山が適任だと思う」

//<2219> nothing
<2219> nothing

//<2220> nothing
<2220> nothing

//<2221> nothing
<2221> nothing

//<2222> nothing
<2222> nothing

//<2223> nothing
<2223> nothing

//<2224> 大山
<2224> 大山

//<2225> 「えぇぇぇーーー！？　僕っ！？」
<2225> 「えぇぇぇーーー！？　僕っ！？」

//<2226> 日向
<2226> 日向

//<2227> 男Ｂ
<2227> 男Ｂ

//<2228> エロエロ団総帥
<2228> エロエロ団総帥

//<2229> イケチン
<2229> イケチン

//<2230> ホモ太
<2230> ホモ太

//<2231> ひなチン
<2231> ひなチン

//<2232> 秀樹
<2232> 秀樹

//<2233> 男子生徒
<2233> 男子生徒

//<2234> ？？
<2234> ？？

//<2235> 「はっ、ここに居る男子メンバーはことごとく飛ぶことになってんだよ…諦めろ」
<2235> 「はっ、ここに居る男子メンバーはことごとく飛ぶことになってんだよ…諦めろ」

//<2236> 音無
<2236> 音無

//<2237> クソ坊主
<2237> クソ坊主

//<2238> 代理人
<2238> 代理人

//<2239> 微妙すぎるイケメン
<2239> 微妙すぎるイケメン

//<2240> ロリコン
<2240> ロリコン

//<2241> メガネ仲間
<2241> メガネ仲間

//<2242> 暗算日本記録保持者
<2242> 暗算日本記録保持者

//<2243> 通り魔
<2243> 通り魔

//<2244> 記憶ナシ男
<2244> 記憶ナシ男

//<2245> 音速
<2245> 音速

//<2246> 無限
<2246> 無限

//<2247> エロ侍
<2247> エロ侍

//<2248> エロエロ団ナンバー１
<2248> エロエロ団ナンバー１

//<2249> ただのエロ少年
<2249> ただのエロ少年

//<2250> ユリブサイク
<2250> ユリブサイク

//<2251> ドピュッシー
<2251> ドピュッシー

//<2252> アメリカンエロドッグ
<2252> アメリカンエロドッグ

//<2253> ゼウス
<2253> ゼウス

//<2254> 日向markⅡ
<2254> 日向markⅡ

//<2255> 糞虫
<2255> 糞虫

//<2256> 量産型日向
<2256> 量産型日向

//<2257> ？？
<2257> ？？

//<2258> 「確かに、入江には荷が重い」
<2258> 「確かに、入江には荷が重い」

//<2259> nothing
<2259> nothing

//<2260> nothing
<2260> nothing

//<2261> nothing
<2261> nothing

//<2262> nothing
<2262> nothing

//<2263> nothing
<2263> nothing

//<2264> ゆり
<2264> ゆり

//<2265> 女生徒
<2265> 女生徒

//<2266> ？？
<2266> ？？

//<2267> 「じゃあ、音無くん、あなたがやる？」
<2267> 「じゃあ、音無くん、あなたがやる？」

//<2268> やる
<2268> やる

//<2269> 断る
<2269> 断る

//<2270> selbtn : 
<2270> selbtn : 

//<2271> 音無
<2271> 音無

//<2272> クソ坊主
<2272> クソ坊主

//<2273> 代理人
<2273> 代理人

//<2274> 微妙すぎるイケメン
<2274> 微妙すぎるイケメン

//<2275> ロリコン
<2275> ロリコン

//<2276> メガネ仲間
<2276> メガネ仲間

//<2277> 暗算日本記録保持者
<2277> 暗算日本記録保持者

//<2278> 通り魔
<2278> 通り魔

//<2279> 記憶ナシ男
<2279> 記憶ナシ男

//<2280> 音速
<2280> 音速

//<2281> 無限
<2281> 無限

//<2282> エロ侍
<2282> エロ侍

//<2283> エロエロ団ナンバー１
<2283> エロエロ団ナンバー１

//<2284> ただのエロ少年
<2284> ただのエロ少年

//<2285> ユリブサイク
<2285> ユリブサイク

//<2286> ドピュッシー
<2286> ドピュッシー

//<2287> アメリカンエロドッグ
<2287> アメリカンエロドッグ

//<2288> ゼウス
<2288> ゼウス

//<2289> 日向markⅡ
<2289> 日向markⅡ

//<2290> 糞虫
<2290> 糞虫

//<2291> 量産型日向
<2291> 量産型日向

//<2292> ？？
<2292> ？？

//<2293> 「やる」
<2293> 「やる」

//<2294> nothing
<2294> nothing

//<2295> nothing
<2295> nothing

//<2296> nothing
<2296> nothing

//<2297> nothing
<2297> nothing

//<2298> 日向
<2298> 日向

//<2299> 男Ｂ
<2299> 男Ｂ

//<2300> エロエロ団総帥
<2300> エロエロ団総帥

//<2301> イケチン
<2301> イケチン

//<2302> ホモ太
<2302> ホモ太

//<2303> ひなチン
<2303> ひなチン

//<2304> 秀樹
<2304> 秀樹

//<2305> 男子生徒
<2305> 男子生徒

//<2306> ？？
