// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
//<0538> nothing
<0538> nothing

//<0539> nothing
<0539> nothing

//<0540> nothing
<0540> nothing

//<0541> その手に光の刃が生まれる。
<0541> その手に光の刃が生まれる。

//<0542> この至近距離なら、当たるだろ！
<0542> この至近距離なら、当たるだろ！

//<0543> 引き金を引く。
<0543> 引き金を引く。

//<0544> 今度こそ、一矢報いてやる…。
<0544> 今度こそ、一矢報いてやる…。

//<0545> se_handgun_setup
<0545> se_handgun_setup

//<0546> 俺は銃を抜いた。
<0546> 俺は銃を抜いた。

//<0547> nothing
<0547> nothing

//<0548> nothing
<0548> nothing

//<0549> nothing
<0549> nothing

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> 天使
<0552> 天使

//<0553> かなで
<0553> かなで

//<0554> 女生徒
<0554> 女生徒

//<0555> ？？
<0555> ？？

//<0556> 「蛮勇ね。先に言っておくけど、あなたに勝ち目はないわ」
<0556> 「蛮勇ね。先に言っておくけど、あなたに勝ち目はないわ」

//<0557> nothing
<0557> nothing

//<0558> nothing
<0558> nothing

//<0559> nothing
<0559> nothing

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> 天使
<0562> 天使

//<0563> かなで
<0563> かなで

//<0564> 女生徒
<0564> 女生徒

//<0565> ？？
<0565> ？？

//<0566> 『ガードスキル・ハンドソニック』
<0566> 『ガードスキル・ハンドソニック』

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> nothing
<0569> nothing

//<0570> nothing
<0570> nothing

//<0571> nothing
<0571> nothing

//<0572> se_handsonic
<0572> se_handsonic

//<0573> nothing
<0573> nothing

//<0574> nothing
<0574> nothing

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> nothing
<0577> nothing

//<0578> 音無
<0578> 音無

//<0579> クソ坊主
<0579> クソ坊主

//<0580> 代理人
<0580> 代理人

//<0581> 微妙すぎるイケメン
<0581> 微妙すぎるイケメン

//<0582> ロリコン
<0582> ロリコン

//<0583> メガネ仲間
<0583> メガネ仲間

//<0584> 暗算日本記録保持者
<0584> 暗算日本記録保持者

//<0585> 通り魔
<0585> 通り魔

//<0586> 記憶ナシ男
<0586> 記憶ナシ男

//<0587> 音速
<0587> 音速

//<0588> 無限
<0588> 無限

//<0589> エロ侍
<0589> エロ侍

//<0590> エロエロ団ナンバー１
<0590> エロエロ団ナンバー１

//<0591> ただのエロ少年
<0591> ただのエロ少年

//<0592> ユリブサイク
<0592> ユリブサイク

//<0593> ドピュッシー
<0593> ドピュッシー

//<0594> アメリカンエロドッグ
<0594> アメリカンエロドッグ

//<0595> ゼウス
<0595> ゼウス

//<0596> 日向markⅡ
<0596> 日向markⅡ

//<0597> 糞虫
<0597> 糞虫

//<0598> 量産型日向
<0598> 量産型日向

//<0599> ？？
<0599> ？？

//<0600> 「上等だ！！」
<0600> 「上等だ！！」

//<0601> スピード勝負だ！
<0601> スピード勝負だ！

//<0602> se_handgun_setup
<0602> se_handgun_setup

//<0603> 俺は銃を抜いた。
<0603> 俺は銃を抜いた。

//<0604> nothing
<0604> nothing

//<0605> nothing
<0605> nothing

//<0606> nothing
<0606> nothing

//<0607> nothing
<0607> nothing

//<0608> nothing
<0608> nothing

//<0609> 天使
<0609> 天使

//<0610> かなで
<0610> かなで

//<0611> 女生徒
<0611> 女生徒

//<0612> ？？
<0612> ？？

//<0613> 『ガードスキル・ハンドソニック』
<0613> 『ガードスキル・ハンドソニック』

//<0614> nothing
<0614> nothing

//<0615> nothing
<0615> nothing

//<0616> nothing
<0616> nothing

//<0617> nothing
<0617> nothing

//<0618> nothing
<0618> nothing

//<0619> se_handsonic
<0619> se_handsonic

//<0620> nothing
<0620> nothing

//<0621> nothing
<0621> nothing

//<0622> nothing
<0622> nothing

//<0623> nothing
<0623> nothing

//<0624> nothing
<0624> nothing

//<0625> 音無
<0625> 音無

//<0626> クソ坊主
<0626> クソ坊主

//<0627> 代理人
<0627> 代理人

//<0628> 微妙すぎるイケメン
<0628> 微妙すぎるイケメン

//<0629> ロリコン
<0629> ロリコン

//<0630> メガネ仲間
<0630> メガネ仲間

//<0631> 暗算日本記録保持者
<0631> 暗算日本記録保持者

//<0632> 通り魔
<0632> 通り魔

//<0633> 記憶ナシ男
<0633> 記憶ナシ男

//<0634> 音速
<0634> 音速

//<0635> 無限
<0635> 無限

//<0636> エロ侍
<0636> エロ侍

//<0637> エロエロ団ナンバー１
<0637> エロエロ団ナンバー１

//<0638> ただのエロ少年
<0638> ただのエロ少年

//<0639> ユリブサイク
<0639> ユリブサイク

//<0640> ドピュッシー
<0640> ドピュッシー

//<0641> アメリカンエロドッグ
<0641> アメリカンエロドッグ

//<0642> ゼウス
<0642> ゼウス

//<0643> 日向markⅡ
<0643> 日向markⅡ

//<0644> 糞虫
<0644> 糞虫

//<0645> 量産型日向
<0645> 量産型日向

//<0646> ？？
<0646> ？？

//<0647> （くそっ、遅れたか…！　間に合え！）
<0647> （くそっ、遅れたか…！　間に合え！）

//<0648> nothing
<0648> nothing

//<0649> nothing
<0649> nothing

//<0650> nothing
<0650> nothing

//<0651> nothing
<0651> nothing

//<0652> nothing
<0652> nothing

//<0653> nothing
<0653> nothing

//<0654> se_handgun2
<0654> se_handgun2

//<0655> None
<0655> None

//<0656> なんて反動だ！　銃弾は明後日の方向に飛んでいった。
<0656> なんて反動だ！　銃弾は明後日の方向に飛んでいった。

//<0657> nothing
<0657> nothing

//<0658> nothing
<0658> nothing

//<0659> nothing
<0659> nothing

//<0660> nothing
<0660> nothing

//<0661> nothing
<0661> nothing

//<0662> nothing
<0662> nothing

//<0663> se_handgun2
<0663> se_handgun2

//<0664> None
<0664> None

//<0665> 惜しい！　肩の髪の毛にかすった！
<0665> 惜しい！　肩の髪の毛にかすった！

//<0666> se_handgun2
<0666> se_handgun2

//<0667> se_kengeki
<0667> se_kengeki

//<0668> nothing
<0668> nothing

//<0669> nothing
<0669> nothing

//<0670> nothing
<0670> nothing

//<0671> nothing
<0671> nothing

//<0672> nothing
<0672> nothing

//<0673> カーーーン！と音がして、弾かれていた。
<0673> カーーーン！と音がして、弾かれていた。

//<0674> 音無
<0674> 音無

//<0675> クソ坊主
<0675> クソ坊主

//<0676> 代理人
<0676> 代理人

//<0677> 微妙すぎるイケメン
<0677> 微妙すぎるイケメン

//<0678> ロリコン
<0678> ロリコン

//<0679> メガネ仲間
<0679> メガネ仲間

//<0680> 暗算日本記録保持者
<0680> 暗算日本記録保持者

//<0681> 通り魔
<0681> 通り魔

//<0682> 記憶ナシ男
<0682> 記憶ナシ男

//<0683> 音速
<0683> 音速

//<0684> 無限
<0684> 無限

//<0685> エロ侍
<0685> エロ侍

//<0686> エロエロ団ナンバー１
<0686> エロエロ団ナンバー１

//<0687> ただのエロ少年
<0687> ただのエロ少年

//<0688> ユリブサイク
<0688> ユリブサイク

//<0689> ドピュッシー
<0689> ドピュッシー

//<0690> アメリカンエロドッグ
<0690> アメリカンエロドッグ

//<0691> ゼウス
<0691> ゼウス

//<0692> 日向markⅡ
<0692> 日向markⅡ

//<0693> 糞虫
<0693> 糞虫

//<0694> 量産型日向
<0694> 量産型日向

//<0695> ？？
<0695> ？？

//<0696> 「嘘だろ…この近距離でも弾けるなんて…」
<0696> 「嘘だろ…この近距離でも弾けるなんて…」

//<0697> ものすごい反射神経だ…。
<0697> ものすごい反射神経だ…。

//<0698> いや、天使には何もかもがゆっくり見えている。それぐらい人間とはかけ離れた身体能力の持ち主なのだろう。
<0698> いや、天使には何もかもがゆっくり見えている。それぐらい人間とはかけ離れた身体能力の持ち主なのだろう。

//<0699> 天使が不思議そうな顔をして俺を見つめていた。
<0699> 天使が不思議そうな顔をして俺を見つめていた。

//<0700> 音無
<0700> 音無

//<0701> クソ坊主
<0701> クソ坊主

//<0702> 代理人
<0702> 代理人

//<0703> 微妙すぎるイケメン
<0703> 微妙すぎるイケメン

//<0704> ロリコン
<0704> ロリコン

//<0705> メガネ仲間
<0705> メガネ仲間

//<0706> 暗算日本記録保持者
<0706> 暗算日本記録保持者

//<0707> 通り魔
<0707> 通り魔

//<0708> 記憶ナシ男
<0708> 記憶ナシ男

//<0709> 音速
<0709> 音速

//<0710> 無限
<0710> 無限

//<0711> エロ侍
<0711> エロ侍

//<0712> エロエロ団ナンバー１
<0712> エロエロ団ナンバー１

//<0713> ただのエロ少年
<0713> ただのエロ少年

//<0714> ユリブサイク
<0714> ユリブサイク

//<0715> ドピュッシー
<0715> ドピュッシー

//<0716> アメリカンエロドッグ
<0716> アメリカンエロドッグ

//<0717> ゼウス
<0717> ゼウス

//<0718> 日向markⅡ
<0718> 日向markⅡ

//<0719> 糞虫
<0719> 糞虫

//<0720> 量産型日向
<0720> 量産型日向

//<0721> ？？
<0721> ？？

//<0722> 「んだよ…」
<0722> 「んだよ…」

//<0723> nothing
<0723> nothing

//<0724> nothing
<0724> nothing

//<0725> nothing
<0725> nothing

//<0726> nothing
<0726> nothing

//<0727> nothing
<0727> nothing

//<0728> 天使
<0728> 天使

//<0729> かなで
<0729> かなで

//<0730> 女生徒
<0730> 女生徒

//<0731> ？？
<0731> ？？

//<0732> 「…あなた、筋がいいわ」
<0732> 「…あなた、筋がいいわ」

//<0733> 音無
<0733> 音無

//<0734> クソ坊主
<0734> クソ坊主

//<0735> 代理人
<0735> 代理人

//<0736> 微妙すぎるイケメン
<0736> 微妙すぎるイケメン

//<0737> ロリコン
<0737> ロリコン

//<0738> メガネ仲間
<0738> メガネ仲間

//<0739> 暗算日本記録保持者
<0739> 暗算日本記録保持者

//<0740> 通り魔
<0740> 通り魔

//<0741> 記憶ナシ男
<0741> 記憶ナシ男

//<0742> 音速
<0742> 音速

//<0743> 無限
<0743> 無限

//<0744> エロ侍
<0744> エロ侍

//<0745> エロエロ団ナンバー１
<0745> エロエロ団ナンバー１

//<0746> ただのエロ少年
<0746> ただのエロ少年

//<0747> ユリブサイク
<0747> ユリブサイク

//<0748> ドピュッシー
<0748> ドピュッシー

//<0749> アメリカンエロドッグ
<0749> アメリカンエロドッグ

//<0750> ゼウス
<0750> ゼウス

//<0751> 日向markⅡ
<0751> 日向markⅡ

//<0752> 糞虫
<0752> 糞虫

//<0753> 量産型日向
<0753> 量産型日向

//<0754> ？？
<0754> ？？

//<0755> 「なんの話だ？」
<0755> 「なんの話だ？」

//<0756> nothing
<0756> nothing

//<0757> nothing
<0757> nothing

//<0758> nothing
<0758> nothing

//<0759> nothing
<0759> nothing

//<0760> nothing
<0760> nothing

//<0761> 天使
<0761> 天使

//<0762> かなで
<0762> かなで

//<0763> 女生徒
<0763> 女生徒

//<0764> ？？
<0764> ？？

//<0765> 「…いい。忘れて」
<0765> 「…いい。忘れて」

//<0766> 音無
<0766> 音無

//<0767> クソ坊主
<0767> クソ坊主

//<0768> 代理人
<0768> 代理人

//<0769> 微妙すぎるイケメン
<0769> 微妙すぎるイケメン

//<0770> ロリコン
<0770> ロリコン

//<0771> メガネ仲間
<0771> メガネ仲間

//<0772> 暗算日本記録保持者
<0772> 暗算日本記録保持者

//<0773> 通り魔
<0773> 通り魔

//<0774> 記憶ナシ男
<0774> 記憶ナシ男

//<0775> 音速
<0775> 音速

//<0776> 無限
<0776> 無限

//<0777> エロ侍
<0777> エロ侍

//<0778> エロエロ団ナンバー１
<0778> エロエロ団ナンバー１

//<0779> ただのエロ少年
<0779> ただのエロ少年

//<0780> ユリブサイク
<0780> ユリブサイク

//<0781> ドピュッシー
<0781> ドピュッシー

//<0782> アメリカンエロドッグ
<0782> アメリカンエロドッグ

//<0783> ゼウス
<0783> ゼウス

//<0784> 日向markⅡ
<0784> 日向markⅡ

//<0785> 糞虫
<0785> 糞虫

//<0786> 量産型日向
<0786> 量産型日向

//<0787> ？？
<0787> ？？

//<0788> 「そ。じゃあな」
<0788> 「そ。じゃあな」

//<0789> nothing
<0789> nothing

//<0790> nothing
<0790> nothing

//<0791> nothing
<0791> nothing

//<0792> nothing
<0792> nothing

//<0793> nothing
<0793> nothing

//<0794> 天使
<0794> 天使

//<0795> かなで
<0795> かなで

//<0796> 女生徒
<0796> 女生徒

//<0797> ？？
<0797> ？？

//<0798> 「これから授業を受けるのよ」
<0798> 「これから授業を受けるのよ」

//<0799> 話が逸れていたようなので、しれっと立ち去るつもりが、失敗に終わる。
<0799> 話が逸れていたようなので、しれっと立ち去るつもりが、失敗に終わる。

//<0800> nothing
<0800> nothing

//<0801> nothing
<0801> nothing

//<0802> nothing
<0802> nothing

//<0803> nothing
<0803> nothing

//<0804> nothing
<0804> nothing

//<0805> se_handgun2
<0805> se_handgun2

//<0806> nothing
<0806> nothing

//<0807> nothing
<0807> nothing

//<0808> nothing
<0808> nothing

//<0809> nothing
<0809> nothing

//<0810> nothing
<0810> nothing

//<0811> 放たれた銃弾が天使の肩をかすめた。
<0811> 放たれた銃弾が天使の肩をかすめた。

//<0812> 制服の生地からうっすらと血が滲み出す。
<0812> 制服の生地からうっすらと血が滲み出す。

//<0813> 当たった…。
<0813> 当たった…。

//<0814> nothing
<0814> nothing

//<0815> nothing
<0815> nothing

//<0816> nothing
<0816> nothing

//<0817> nothing
<0817> nothing

//<0818> nothing
<0818> nothing

//<0819> 天使
<0819> 天使

//<0820> かなで
<0820> かなで

//<0821> 女生徒
<0821> 女生徒

//<0822> ？？
<0822> ？？

//<0823> 「くっ…」
<0823> 「くっ…」

//<0824> nothing
<0824> nothing

//<0825> nothing
<0825> nothing

//<0826> nothing
<0826> nothing

//<0827> nothing
<0827> nothing

//<0828> nothing
<0828> nothing

//<0829> 天使
<0829> 天使

//<0830> かなで
<0830> かなで

//<0831> 女生徒
<0831> 女生徒

//<0832> ？？
<0832> ？？

//<0833> 「よくここまできたな…」
<0833> 「よくここまできたな…」

//<0834> nothing
<0834> nothing

//<0835> nothing
<0835> nothing

//<0836> nothing
<0836> nothing

//<0837> nothing
<0837> nothing

//<0838> nothing
<0838> nothing

//<0839> 天使
<0839> 天使

//<0840> かなで
<0840> かなで

//<0841> 女生徒
<0841> 女生徒

//<0842> ？？
<0842> ？？

//<0843> 「もうお前に教えることはない…」
<0843> 「もうお前に教えることはない…」

//<0844> nothing
<0844> nothing

//<0845> nothing
<0845> nothing

//<0846> nothing
<0846> nothing

//<0847> nothing
<0847> nothing

//<0848> nothing
<0848> nothing

//<0849> 天使
<0849> 天使

//<0850> かなで
<0850> かなで

//<0851> 女生徒
<0851> 女生徒

//<0852> ？？
<0852> ？？

//<0853> 「さあ、どことでもいくがいい」
<0853> 「さあ、どことでもいくがいい」

//<0854> nothing
<0854> nothing

//<0855> nothing
<0855> nothing

//<0856> nothing
<0856> nothing

//<0857> nothing
<0857> nothing

//<0858> nothing
<0858> nothing

//<0859> 天使
<0859> 天使

//<0860> かなで
<0860> かなで

//<0861> 女生徒
<0861> 女生徒

//<0862> ？？
<0862> ？？

//<0863> 「…って、行くのは教室よ」
<0863> 「…って、行くのは教室よ」

//<0864> 天使がボケて自らつっこんだ！
<0864> 天使がボケて自らつっこんだ！

//<0865> nothing
<0865> nothing

//<0866> nothing
<0866> nothing

//<0867> nothing
<0867> nothing

//<0868> nothing
<0868> nothing

//<0869> nothing
<0869> nothing

//<0870> se_handsonic
<0870> se_handsonic

//<0871> nothing
<0871> nothing

//<0872> nothing
<0872> nothing

//<0873> nothing
<0873> nothing

//<0874> nothing
<0874> nothing

//<0875> nothing
<0875> nothing

//<0876> nothing
<0876> nothing

//<0877> nothing
<0877> nothing

//<0878> nothing
<0878> nothing

//<0879> nothing
<0879> nothing

//<0880> nothing
<0880> nothing

//<0881> nothing
<0881> nothing

//<0882> nothing
<0882> nothing

//<0883> nothing
<0883> nothing

//<0884> nothing
<0884> nothing

//<0885> nothing
<0885> nothing

//<0886> 天使
<0886> 天使

//<0887> かなで
<0887> かなで

//<0888> 女生徒
<0888> 女生徒

//<0889> ？？
<0889> ？？

//<0890> 「授業、受ける？」
<0890> 「授業、受ける？」

//<0891> そう言って、俺の喉に光の刃を向ける。
<0891> そう言って、俺の喉に光の刃を向ける。

//<0892> f[1062]がありえない値になっています。鈴木までご報告お願い致します
<0892> f[1062]がありえない値になっています。鈴木までご報告お願い致します

//<0893> f[1062]...
<0893> f[1062]...

//<0894> nothing
<0894> nothing

//<0895> nothing
<0895> nothing

//<0896> nothing
<0896> nothing

//<0897> nothing
<0897> nothing

//<0898> nothing
<0898> nothing

//<0899> 天使は一気に距離を詰めてきて、俺は戦慄を覚える。
<0899> 天使は一気に距離を詰めてきて、俺は戦慄を覚える。

//<0900> nothing
<0900> nothing

//<0901> nothing
<0901> nothing

//<0902> nothing
<0902> nothing

//<0903> nothing
<0903> nothing

//<0904> nothing
<0904> nothing

//<0905> se_threaten
<0905> se_threaten

//<0906> 刃を喉元に当てられて、そこで止まった。
<0906> 刃を喉元に当てられて、そこで止まった。

//<0907> nothing
<0907> nothing

//<0908> nothing
<0908> nothing

//<0909> nothing
<0909> nothing

//<0910> nothing
<0910> nothing

//<0911> nothing
<0911> nothing

//<0912> 天使
<0912> 天使

//<0913> かなで
<0913> かなで

//<0914> 女生徒
<0914> 女生徒

//<0915> ？？
<0915> ？？

//<0916> 「授業を受けて」
<0916> 「授業を受けて」

//<0917> また死ぬ痛みを覚えるのは嫌だ…。
<0917> また死ぬ痛みを覚えるのは嫌だ…。

//<0918> 音無
<0918> 音無

//<0919> クソ坊主
<0919> クソ坊主

//<0920> 代理人
<0920> 代理人

//<0921> 微妙すぎるイケメン
<0921> 微妙すぎるイケメン

//<0922> ロリコン
<0922> ロリコン

//<0923> メガネ仲間
<0923> メガネ仲間

//<0924> 暗算日本記録保持者
<0924> 暗算日本記録保持者

//<0925> 通り魔
<0925> 通り魔

//<0926> 記憶ナシ男
<0926> 記憶ナシ男

//<0927> 音速
<0927> 音速

//<0928> 無限
<0928> 無限

//<0929> エロ侍
<0929> エロ侍

//<0930> エロエロ団ナンバー１
<0930> エロエロ団ナンバー１

//<0931> ただのエロ少年
<0931> ただのエロ少年

//<0932> ユリブサイク
<0932> ユリブサイク

//<0933> ドピュッシー
<0933> ドピュッシー

//<0934> アメリカンエロドッグ
<0934> アメリカンエロドッグ

//<0935> ゼウス
<0935> ゼウス

//<0936> 日向markⅡ
<0936> 日向markⅡ

//<0937> 糞虫
<0937> 糞虫

//<0938> 量産型日向
<0938> 量産型日向

//<0939> ？？
<0939> ？？

//<0940> 「わかった…」
<0940> 「わかった…」

//<0941> nothing
<0941> nothing

//<0942> nothing
<0942> nothing

//<0943> nothing
<0943> nothing

//<0944> nothing
<0944> nothing

//<0945> nothing
<0945> nothing

//<0946> nothing
<0946> nothing

//<0947> 俺がそう答えると、天使は喉元から刃を放してくれた。
<0947> 俺がそう答えると、天使は喉元から刃を放してくれた。

//<0948> 音無
<0948> 音無

//<0949> クソ坊主
<0949> クソ坊主

//<0950> 代理人
<0950> 代理人

//<0951> 微妙すぎるイケメン
<0951> 微妙すぎるイケメン

//<0952> ロリコン
<0952> ロリコン

//<0953> メガネ仲間
<0953> メガネ仲間

//<0954> 暗算日本記録保持者
<0954> 暗算日本記録保持者

//<0955> 通り魔
<0955> 通り魔

//<0956> 記憶ナシ男
<0956> 記憶ナシ男

//<0957> 音速
<0957> 音速

//<0958> 無限
<0958> 無限

//<0959> エロ侍
<0959> エロ侍

//<0960> エロエロ団ナンバー１
<0960> エロエロ団ナンバー１

//<0961> ただのエロ少年
<0961> ただのエロ少年

//<0962> ユリブサイク
<0962> ユリブサイク

//<0963> ドピュッシー
<0963> ドピュッシー

//<0964> アメリカンエロドッグ
<0964> アメリカンエロドッグ

//<0965> ゼウス
<0965> ゼウス

//<0966> 日向markⅡ
<0966> 日向markⅡ

//<0967> 糞虫
<0967> 糞虫

//<0968> 量産型日向
<0968> 量産型日向

//<0969> ？？
<0969> ？？

//<0970> （今だ！）
<0970> （今だ！）

//<0971> 俺は何も言わず、体を反転させ、全力で走り天使から逃げた。
<0971> 俺は何も言わず、体を反転させ、全力で走り天使から逃げた。

//<0972> nothing
<0972> nothing

//<0973> nothing
<0973> nothing

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> se_threaten
<0977> se_threaten

//<0978> またも刃を喉元に向けられる。
<0978> またも刃を喉元に向けられる。

//<0979> nothing
<0979> nothing

//<0980> nothing
<0980> nothing

//<0981> nothing
<0981> nothing

//<0982> nothing
<0982> nothing

//<0983> nothing
<0983> nothing

//<0984> 天使
<0984> 天使

//<0985> かなで
<0985> かなで

//<0986> 女生徒
<0986> 女生徒

//<0987> ？？
<0987> ？？

//<0988> 「授業を受けて」
<0988> 「授業を受けて」

//<0989> 音無
<0989> 音無

//<0990> クソ坊主
<0990> クソ坊主

//<0991> 代理人
<0991> 代理人

//<0992> 微妙すぎるイケメン
<0992> 微妙すぎるイケメン

//<0993> ロリコン
<0993> ロリコン

//<0994> メガネ仲間
<0994> メガネ仲間

//<0995> 暗算日本記録保持者
<0995> 暗算日本記録保持者

//<0996> 通り魔
<0996> 通り魔

//<0997> 記憶ナシ男
<0997> 記憶ナシ男

//<0998> 音速
<0998> 音速

//<0999> 無限
<0999> 無限

//<1000> エロ侍
<1000> エロ侍

//<1001> エロエロ団ナンバー１
<1001> エロエロ団ナンバー１

//<1002> ただのエロ少年
<1002> ただのエロ少年

//<1003> ユリブサイク
<1003> ユリブサイク

//<1004> ドピュッシー
<1004> ドピュッシー

//<1005> アメリカンエロドッグ
<1005> アメリカンエロドッグ

//<1006> ゼウス
<1006> ゼウス

//<1007> 日向markⅡ
<1007> 日向markⅡ

//<1008> 糞虫
<1008> 糞虫

//<1009> 量産型日向
<1009> 量産型日向

//<1010> ？？
<1010> ？？

//<1011> 「わかった…」
<1011> 「わかった…」

//<1012> nothing
<1012> nothing

//<1013> nothing
<1013> nothing

//<1014> nothing
<1014> nothing

//<1015> nothing
<1015> nothing

//<1016> nothing
<1016> nothing

//<1017> nothing
<1017> nothing

//<1018> 俺がそう答えると、天使は喉元から刃を放してくれた。
<1018> 俺がそう答えると、天使は喉元から刃を放してくれた。

//<1019> 音無
<1019> 音無

//<1020> クソ坊主
<1020> クソ坊主

//<1021> 代理人
<1021> 代理人

//<1022> 微妙すぎるイケメン
<1022> 微妙すぎるイケメン

//<1023> ロリコン
<1023> ロリコン

//<1024> メガネ仲間
<1024> メガネ仲間

//<1025> 暗算日本記録保持者
<1025> 暗算日本記録保持者

//<1026> 通り魔
<1026> 通り魔

//<1027> 記憶ナシ男
<1027> 記憶ナシ男

//<1028> 音速
<1028> 音速

//<1029> 無限
<1029> 無限

//<1030> エロ侍
<1030> エロ侍

//<1031> エロエロ団ナンバー１
<1031> エロエロ団ナンバー１

//<1032> ただのエロ少年
<1032> ただのエロ少年

//<1033> ユリブサイク
<1033> ユリブサイク

//<1034> ドピュッシー
<1034> ドピュッシー

//<1035> アメリカンエロドッグ
<1035> アメリカンエロドッグ

//<1036> ゼウス
<1036> ゼウス

//<1037> 日向markⅡ
<1037> 日向markⅡ

//<1038> 糞虫
<1038> 糞虫

//<1039> 量産型日向
<1039> 量産型日向

//<1040> ？？
<1040> ？？

//<1041> （今だ！）
<1041> （今だ！）

//<1042> 俺は何も言わず、体を反転させ、全力で走り天使から逃げた。
<1042> 俺は何も言わず、体を反転させ、全力で走り天使から逃げた。

//<1043> nothing
<1043> nothing

//<1044> nothing
<1044> nothing

//<1045> nothing
<1045> nothing

//<1046> nothing
<1046> nothing

//<1047> nothing
<1047> nothing

//<1048> 天使は静かに俺の目を見つめてくる。
<1048> 天使は静かに俺の目を見つめてくる。

//<1049> 音無
<1049> 音無

//<1050> クソ坊主
<1050> クソ坊主

//<1051> 代理人
<1051> 代理人

//<1052> 微妙すぎるイケメン
<1052> 微妙すぎるイケメン

//<1053> ロリコン
<1053> ロリコン

//<1054> メガネ仲間
<1054> メガネ仲間

//<1055> 暗算日本記録保持者
<1055> 暗算日本記録保持者

//<1056> 通り魔
<1056> 通り魔

//<1057> 記憶ナシ男
<1057> 記憶ナシ男

//<1058> 音速
<1058> 音速

//<1059> 無限
<1059> 無限

//<1060> エロ侍
<1060> エロ侍

//<1061> エロエロ団ナンバー１
<1061> エロエロ団ナンバー１

//<1062> ただのエロ少年
<1062> ただのエロ少年

//<1063> ユリブサイク
<1063> ユリブサイク

//<1064> ドピュッシー
<1064> ドピュッシー

//<1065> アメリカンエロドッグ
<1065> アメリカンエロドッグ

//<1066> ゼウス
<1066> ゼウス

//<1067> 日向markⅡ
<1067> 日向markⅡ

//<1068> 糞虫
<1068> 糞虫

//<1069> 量産型日向
<1069> 量産型日向

//<1070> ？？
<1070> ？？

//<1071> 「わかったよ…授業を受ければいいんだろ」
<1071> 「わかったよ…授業を受ければいいんだろ」

//<1072> nothing
<1072> nothing

//<1073> nothing
<1073> nothing

//<1074> nothing
<1074> nothing

//<1075> nothing
<1075> nothing

//<1076> nothing
<1076> nothing

//<1077> 天使
<1077> 天使

//<1078> かなで
<1078> かなで

//<1079> 女生徒
<1079> 女生徒

//<1080> ？？
<1080> ？？

//<1081> 「その通りよ」
<1081> 「その通りよ」

//<1082> nothing
<1082> nothing

//<1083> nothing
<1083> nothing

//<1084> nothing
<1084> nothing

//<1085> nothing
<1085> nothing

//<1086> nothing
<1086> nothing

//<1087> nothing
<1087> nothing

//<1088> 天使に従うように、教室に向かって歩き始める。
<1088> 天使に従うように、教室に向かって歩き始める。

//<1089> 音無
<1089> 音無

//<1090> クソ坊主
<1090> クソ坊主

//<1091> 代理人
<1091> 代理人

//<1092> 微妙すぎるイケメン
<1092> 微妙すぎるイケメン

//<1093> ロリコン
<1093> ロリコン

//<1094> メガネ仲間
<1094> メガネ仲間

//<1095> 暗算日本記録保持者
<1095> 暗算日本記録保持者

//<1096> 通り魔
<1096> 通り魔

//<1097> 記憶ナシ男
<1097> 記憶ナシ男

//<1098> 音速
<1098> 音速

//<1099> 無限
<1099> 無限

//<1100> エロ侍
<1100> エロ侍

//<1101> エロエロ団ナンバー１
<1101> エロエロ団ナンバー１

//<1102> ただのエロ少年
<1102> ただのエロ少年

//<1103> ユリブサイク
<1103> ユリブサイク

//<1104> ドピュッシー
<1104> ドピュッシー

//<1105> アメリカンエロドッグ
<1105> アメリカンエロドッグ

//<1106> ゼウス
<1106> ゼウス

//<1107> 日向markⅡ
<1107> 日向markⅡ

//<1108> 糞虫
<1108> 糞虫

//<1109> 量産型日向
<1109> 量産型日向

//<1110> ？？
<1110> ？？

//<1111> （今だ！）
<1111> （今だ！）

