// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場に行くと、腕立て伏せをしているユイがいた。
<0000> 駐車場に行くと、腕立て伏せをしているユイがいた。
//<0553> ただのエロ少年
<0553> ただのエロ少年

//<0554> ユリブサイク
<0554> ユリブサイク

//<0555> ドピュッシー
<0555> ドピュッシー

//<0556> アメリカンエロドッグ
<0556> アメリカンエロドッグ

//<0557> ゼウス
<0557> ゼウス

//<0558> 日向markⅡ
<0558> 日向markⅡ

//<0559> 糞虫
<0559> 糞虫

//<0560> 量産型日向
<0560> 量産型日向

//<0561> ？？
<0561> ？？

//<0562> 「ユイの筋トレに付き合ってたのか？」
<0562> 「ユイの筋トレに付き合ってたのか？」

//<0563> nothing
<0563> nothing

//<0564> nothing
<0564> nothing

//<0565> nothing
<0565> nothing

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> 日向
<0568> 日向

//<0569> 男Ｂ
<0569> 男Ｂ

//<0570> エロエロ団総帥
<0570> エロエロ団総帥

//<0571> イケチン
<0571> イケチン

//<0572> ホモ太
<0572> ホモ太

//<0573> ひなチン
<0573> ひなチン

//<0574> 秀樹
<0574> 秀樹

//<0575> 男子生徒
<0575> 男子生徒

//<0576> ？？
<0576> ？？

//<0577> 「ん？　あー、まぁ暇だったからな、軽く戦線流ってのをレクチャーしてやってたんだ」
<0577> 「ん？　あー、まぁ暇だったからな、軽く戦線流ってのをレクチャーしてやってたんだ」

//<0578> 音無
<0578> 音無

//<0579> クソ坊主
<0579> クソ坊主

//<0580> 代理人
<0580> 代理人

//<0581> 微妙すぎるイケメン
<0581> 微妙すぎるイケメン

//<0582> ロリコン
<0582> ロリコン

//<0583> メガネ仲間
<0583> メガネ仲間

//<0584> 暗算日本記録保持者
<0584> 暗算日本記録保持者

//<0585> 通り魔
<0585> 通り魔

//<0586> 記憶ナシ男
<0586> 記憶ナシ男

//<0587> 音速
<0587> 音速

//<0588> 無限
<0588> 無限

//<0589> エロ侍
<0589> エロ侍

//<0590> エロエロ団ナンバー１
<0590> エロエロ団ナンバー１

//<0591> ただのエロ少年
<0591> ただのエロ少年

//<0592> ユリブサイク
<0592> ユリブサイク

//<0593> ドピュッシー
<0593> ドピュッシー

//<0594> アメリカンエロドッグ
<0594> アメリカンエロドッグ

//<0595> ゼウス
<0595> ゼウス

//<0596> 日向markⅡ
<0596> 日向markⅡ

//<0597> 糞虫
<0597> 糞虫

//<0598> 量産型日向
<0598> 量産型日向

//<0599> ？？
<0599> ？？

//<0600> 「戦線流ってあの罵声みたいなかけ声のことか？」
<0600> 「戦線流ってあの罵声みたいなかけ声のことか？」

//<0601> 音無
<0601> 音無

//<0602> クソ坊主
<0602> クソ坊主

//<0603> 代理人
<0603> 代理人

//<0604> 微妙すぎるイケメン
<0604> 微妙すぎるイケメン

//<0605> ロリコン
<0605> ロリコン

//<0606> メガネ仲間
<0606> メガネ仲間

//<0607> 暗算日本記録保持者
<0607> 暗算日本記録保持者

//<0608> 通り魔
<0608> 通り魔

//<0609> 記憶ナシ男
<0609> 記憶ナシ男

//<0610> 音速
<0610> 音速

//<0611> 無限
<0611> 無限

//<0612> エロ侍
<0612> エロ侍

//<0613> エロエロ団ナンバー１
<0613> エロエロ団ナンバー１

//<0614> ただのエロ少年
<0614> ただのエロ少年

//<0615> ユリブサイク
<0615> ユリブサイク

//<0616> ドピュッシー
<0616> ドピュッシー

//<0617> アメリカンエロドッグ
<0617> アメリカンエロドッグ

//<0618> ゼウス
<0618> ゼウス

//<0619> 日向markⅡ
<0619> 日向markⅡ

//<0620> 糞虫
<0620> 糞虫

//<0621> 量産型日向
<0621> 量産型日向

//<0622> ？？
<0622> ？？

//<0623> 「何してたんだ？　漫才の練習か？」
<0623> 「何してたんだ？　漫才の練習か？」

//<0624> 音無
<0624> 音無

//<0625> クソ坊主
<0625> クソ坊主

//<0626> 代理人
<0626> 代理人

//<0627> 微妙すぎるイケメン
<0627> 微妙すぎるイケメン

//<0628> ロリコン
<0628> ロリコン

//<0629> メガネ仲間
<0629> メガネ仲間

//<0630> 暗算日本記録保持者
<0630> 暗算日本記録保持者

//<0631> 通り魔
<0631> 通り魔

//<0632> 記憶ナシ男
<0632> 記憶ナシ男

//<0633> 音速
<0633> 音速

//<0634> 無限
<0634> 無限

//<0635> エロ侍
<0635> エロ侍

//<0636> エロエロ団ナンバー１
<0636> エロエロ団ナンバー１

//<0637> ただのエロ少年
<0637> ただのエロ少年

//<0638> ユリブサイク
<0638> ユリブサイク

//<0639> ドピュッシー
<0639> ドピュッシー

//<0640> アメリカンエロドッグ
<0640> アメリカンエロドッグ

//<0641> ゼウス
<0641> ゼウス

//<0642> 日向markⅡ
<0642> 日向markⅡ

//<0643> 糞虫
<0643> 糞虫

//<0644> 量産型日向
<0644> 量産型日向

//<0645> ？？
<0645> ？？

//<0646> 「何してたんだ？　夫婦漫才の練習か？」
<0646> 「何してたんだ？　夫婦漫才の練習か？」

//<0647> nothing
<0647> nothing

//<0648> nothing
<0648> nothing

//<0649> nothing
<0649> nothing

//<0650> nothing
<0650> nothing

//<0651> ユイ
<0651> ユイ
{12bb2} 33 // 0651

//<0652> 「ふえ？！　だ、誰と誰が夫婦なんですか？」
<0652> 「ふえ？！　だ、誰と誰が夫婦なんですか？」

//<0653> nothing
<0653> nothing

//<0654> nothing
<0654> nothing

//<0655> nothing
<0655> nothing

//<0656> nothing
<0656> nothing

//<0657> nothing
<0657> nothing

//<0658> 音無
<0658> 音無

//<0659> クソ坊主
<0659> クソ坊主

//<0660> 代理人
<0660> 代理人

//<0661> 微妙すぎるイケメン
<0661> 微妙すぎるイケメン

//<0662> ロリコン
<0662> ロリコン

//<0663> メガネ仲間
<0663> メガネ仲間

//<0664> 暗算日本記録保持者
<0664> 暗算日本記録保持者

//<0665> 通り魔
<0665> 通り魔

//<0666> 記憶ナシ男
<0666> 記憶ナシ男

//<0667> 音速
<0667> 音速

//<0668> 無限
<0668> 無限

//<0669> エロ侍
<0669> エロ侍

//<0670> エロエロ団ナンバー１
<0670> エロエロ団ナンバー１

//<0671> ただのエロ少年
<0671> ただのエロ少年

//<0672> ユリブサイク
<0672> ユリブサイク

//<0673> ドピュッシー
<0673> ドピュッシー

//<0674> アメリカンエロドッグ
<0674> アメリカンエロドッグ

//<0675> ゼウス
<0675> ゼウス

//<0676> 日向markⅡ
<0676> 日向markⅡ

//<0677> 糞虫
<0677> 糞虫

//<0678> 量産型日向
<0678> 量産型日向

//<0679> ？？
<0679> ？？

//<0680> 「お前ら」
<0680> 「お前ら」

//<0681> nothing
<0681> nothing

//<0682> nothing
<0682> nothing

//<0683> nothing
<0683> nothing

//<0684> nothing
<0684> nothing

//<0685> nothing
<0685> nothing

//<0686> ユイ
<0686> ユイ
{138f8} 33 // 0686

//<0687> 「な、な、んな、んな…んなわけあるかーーー！　ねぇ、ひなっち先輩、違いますよね？」
<0687> 「な、な、んな、んな…んなわけあるかーーー！　ねぇ、ひなっち先輩、違いますよね？」

//<0688> nothing
<0688> nothing

//<0689> nothing
<0689> nothing

//<0690> nothing
<0690> nothing

//<0691> nothing
<0691> nothing

//<0692> nothing
<0692> nothing

//<0693> nothing
<0693> nothing

//<0694> nothing
<0694> nothing

//<0695> nothing
<0695> nothing

//<0696> nothing
<0696> nothing

//<0697> nothing
<0697> nothing

//<0698> nothing
<0698> nothing

//<0699> nothing
<0699> nothing

//<0700> nothing
<0700> nothing

//<0701> nothing
<0701> nothing

//<0702> 日向
<0702> 日向

//<0703> 男Ｂ
<0703> 男Ｂ

//<0704> エロエロ団総帥
<0704> エロエロ団総帥

//<0705> イケチン
<0705> イケチン

//<0706> ホモ太
<0706> ホモ太

//<0707> ひなチン
<0707> ひなチン

//<0708> 秀樹
<0708> 秀樹

//<0709> 男子生徒
<0709> 男子生徒

//<0710> ？？
<0710> ？？
{142f9} 33 // 0710

//<0711> 「そんな風に見えたのか…？　やべぇ…死にてぇ…」
<0711> 「そんな風に見えたのか…？　やべぇ…死にてぇ…」

//<0712> nothing
<0712> nothing

//<0713> nothing
<0713> nothing

//<0714> nothing
<0714> nothing

//<0715> nothing
<0715> nothing

//<0716> nothing
<0716> nothing

//<0717> nothing
<0717> nothing

//<0718> nothing
<0718> nothing

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> ユイ
<0721> ユイ

//<0722> 「そこまでショックかこらあぁぁ！」
<0722> 「そこまでショックかこらあぁぁ！」

//<0723> se_kneekick
<0723> se_kneekick

//<0724> nothing
<0724> nothing

//<0725> nothing
<0725> nothing

//<0726> nothing
<0726> nothing

//<0727> nothing
<0727> nothing

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> nothing
<0730> nothing

//<0731> nothing
<0731> nothing

//<0732> nothing
<0732> nothing

//<0733> nothing
<0733> nothing

//<0734> 日向
<0734> 日向

//<0735> 男Ｂ
<0735> 男Ｂ

//<0736> エロエロ団総帥
<0736> エロエロ団総帥

//<0737> イケチン
<0737> イケチン

//<0738> ホモ太
<0738> ホモ太

//<0739> ひなチン
<0739> ひなチン

//<0740> 秀樹
<0740> 秀樹

//<0741> 男子生徒
<0741> 男子生徒

//<0742> ？？
<0742> ？？

//<0743> 「んごっ！」
<0743> 「んごっ！」

//<0744> ゴッ！と延髄蹴りが決まって、日向がもんどり打つ。
<0744> ゴッ！と延髄蹴りが決まって、日向がもんどり打つ。

//<0745> 音無
<0745> 音無

//<0746> クソ坊主
<0746> クソ坊主

//<0747> 代理人
<0747> 代理人

//<0748> 微妙すぎるイケメン
<0748> 微妙すぎるイケメン

//<0749> ロリコン
<0749> ロリコン

//<0750> メガネ仲間
<0750> メガネ仲間

//<0751> 暗算日本記録保持者
<0751> 暗算日本記録保持者

//<0752> 通り魔
<0752> 通り魔

//<0753> 記憶ナシ男
<0753> 記憶ナシ男

//<0754> 音速
<0754> 音速

//<0755> 無限
<0755> 無限

//<0756> エロ侍
<0756> エロ侍

//<0757> エロエロ団ナンバー１
<0757> エロエロ団ナンバー１

//<0758> ただのエロ少年
<0758> ただのエロ少年

//<0759> ユリブサイク
<0759> ユリブサイク

//<0760> ドピュッシー
<0760> ドピュッシー

//<0761> アメリカンエロドッグ
<0761> アメリカンエロドッグ

//<0762> ゼウス
<0762> ゼウス

//<0763> 日向markⅡ
<0763> 日向markⅡ

//<0764> 糞虫
<0764> 糞虫

//<0765> 量産型日向
<0765> 量産型日向

//<0766> ？？
<0766> ？？

//<0767> 「やっぱり漫才じゃないか」
<0767> 「やっぱり漫才じゃないか」

//<0768> nothing
<0768> nothing

//<0769> nothing
<0769> nothing

//<0770> nothing
<0770> nothing

//<0771> nothing
<0771> nothing

//<0772> nothing
<0772> nothing

//<0773> ユイ
<0773> ユイ

//<0774> 「筋トレしてただけだーー！　見れば普通わかるだろ！」
<0774> 「筋トレしてただけだーー！　見れば普通わかるだろ！」

//<0775> nothing
<0775> nothing

//<0776> nothing
<0776> nothing

//<0777> nothing
<0777> nothing

//<0778> nothing
<0778> nothing

//<0779> nothing
<0779> nothing

//<0780> 音無
<0780> 音無

//<0781> クソ坊主
<0781> クソ坊主

//<0782> 代理人
<0782> 代理人

//<0783> 微妙すぎるイケメン
<0783> 微妙すぎるイケメン

//<0784> ロリコン
<0784> ロリコン

//<0785> メガネ仲間
<0785> メガネ仲間

//<0786> 暗算日本記録保持者
<0786> 暗算日本記録保持者

//<0787> 通り魔
<0787> 通り魔

//<0788> 記憶ナシ男
<0788> 記憶ナシ男

//<0789> 音速
<0789> 音速

//<0790> 無限
<0790> 無限

//<0791> エロ侍
<0791> エロ侍

//<0792> エロエロ団ナンバー１
<0792> エロエロ団ナンバー１

//<0793> ただのエロ少年
<0793> ただのエロ少年

//<0794> ユリブサイク
<0794> ユリブサイク

//<0795> ドピュッシー
<0795> ドピュッシー

//<0796> アメリカンエロドッグ
<0796> アメリカンエロドッグ

//<0797> ゼウス
<0797> ゼウス

//<0798> 日向markⅡ
<0798> 日向markⅡ

//<0799> 糞虫
<0799> 糞虫

//<0800> 量産型日向
<0800> 量産型日向

//<0801> ？？
<0801> ？？

//<0802> 「いやー…あんな罵声みたいなのを浴びせる筋トレなんて知らねーよ？」
<0802> 「いやー…あんな罵声みたいなのを浴びせる筋トレなんて知らねーよ？」

//<0803> nothing
<0803> nothing

//<0804> nothing
<0804> nothing

//<0805> nothing
<0805> nothing

//<0806> nothing
<0806> nothing

//<0807> nothing
<0807> nothing

//<0808> 日向
<0808> 日向

//<0809> 男Ｂ
<0809> 男Ｂ

//<0810> エロエロ団総帥
<0810> エロエロ団総帥

//<0811> イケチン
<0811> イケチン

//<0812> ホモ太
<0812> ホモ太

//<0813> ひなチン
<0813> ひなチン

//<0814> 秀樹
<0814> 秀樹

//<0815> 男子生徒
<0815> 男子生徒

//<0816> ？？
<0816> ？？

//<0817> 「こんなの序の口だって」
<0817> 「こんなの序の口だって」

//<0818> nothing
<0818> nothing

//<0819> nothing
<0819> nothing

//<0820> nothing
<0820> nothing

//<0821> nothing
<0821> nothing

//<0822> nothing
<0822> nothing

//<0823> 日向
<0823> 日向

//<0824> 男Ｂ
<0824> 男Ｂ

//<0825> エロエロ団総帥
<0825> エロエロ団総帥

//<0826> イケチン
<0826> イケチン

//<0827> ホモ太
<0827> ホモ太

//<0828> ひなチン
<0828> ひなチン

//<0829> 秀樹
<0829> 秀樹

//<0830> 男子生徒
<0830> 男子生徒

//<0831> ？？
<0831> ？？

//<0832> 「戦線を立ち上げた初期の頃はもっとひどかったぜ？」
<0832> 「戦線を立ち上げた初期の頃はもっとひどかったぜ？」

//<0833> nothing
<0833> nothing

//<0834> nothing
<0834> nothing

//<0835> nothing
<0835> nothing

//<0836> nothing
<0836> nothing

//<0837> nothing
<0837> nothing

//<0838> 日向
<0838> 日向

//<0839> 男Ｂ
<0839> 男Ｂ

//<0840> エロエロ団総帥
<0840> エロエロ団総帥

//<0841> イケチン
<0841> イケチン

//<0842> ホモ太
<0842> ホモ太

//<0843> ひなチン
<0843> ひなチン

//<0844> 秀樹
<0844> 秀樹

//<0845> 男子生徒
<0845> 男子生徒

//<0846> ？？
<0846> ？？

//<0847> 「思い出すなぁ…ゆりっぺとチャーにふたりがかりで特訓されて…」
<0847> 「思い出すなぁ…ゆりっぺとチャーにふたりがかりで特訓されて…」

//<0848> nothing
<0848> nothing

//<0849> nothing
<0849> nothing

//<0850> nothing
<0850> nothing

//<0851> nothing
<0851> nothing

//<0852> nothing
<0852> nothing

//<0853> 日向
<0853> 日向

//<0854> 男Ｂ
<0854> 男Ｂ

//<0855> エロエロ団総帥
<0855> エロエロ団総帥

//<0856> イケチン
<0856> イケチン

//<0857> ホモ太
<0857> ホモ太

//<0858> ひなチン
<0858> ひなチン

//<0859> 秀樹
<0859> 秀樹

//<0860> 男子生徒
<0860> 男子生徒

//<0861> ？？
<0861> ？？

//<0862> 「………」
<0862> 「………」

//<0863> nothing
<0863> nothing

//<0864> nothing
<0864> nothing

//<0865> nothing
<0865> nothing

//<0866> nothing
<0866> nothing

//<0867> nothing
<0867> nothing

//<0868> 日向
<0868> 日向

//<0869> 男Ｂ
<0869> 男Ｂ

//<0870> エロエロ団総帥
<0870> エロエロ団総帥

//<0871> イケチン
<0871> イケチン

//<0872> ホモ太
<0872> ホモ太

//<0873> ひなチン
<0873> ひなチン

//<0874> 秀樹
<0874> 秀樹

//<0875> 男子生徒
<0875> 男子生徒

//<0876> ？？
<0876> ？？

//<0877> 「…！　…！！　………！！」
<0877> 「…！　…！！　………！！」

//<0878> ユイ
<0878> ユイ

//<0879> 「こわっ！　こいつ笑いながら震えてる！」
<0879> 「こわっ！　こいつ笑いながら震えてる！」

//<0880> bs3_
<0880> bs3_

//<0881> nothing
<0881> nothing

//<0882> nothing
<0882> nothing

//<0883> nothing
<0883> nothing

//<0884> nothing
<0884> nothing

//<0885> nothing
<0885> nothing

//<0886> 音無
<0886> 音無

//<0887> クソ坊主
<0887> クソ坊主

//<0888> 代理人
<0888> 代理人

//<0889> 微妙すぎるイケメン
<0889> 微妙すぎるイケメン

//<0890> ロリコン
<0890> ロリコン

//<0891> メガネ仲間
<0891> メガネ仲間

//<0892> 暗算日本記録保持者
<0892> 暗算日本記録保持者

//<0893> 通り魔
<0893> 通り魔

//<0894> 記憶ナシ男
<0894> 記憶ナシ男

//<0895> 音速
<0895> 音速

//<0896> 無限
<0896> 無限

//<0897> エロ侍
<0897> エロ侍

//<0898> エロエロ団ナンバー１
<0898> エロエロ団ナンバー１

//<0899> ただのエロ少年
<0899> ただのエロ少年

//<0900> ユリブサイク
<0900> ユリブサイク

//<0901> ドピュッシー
<0901> ドピュッシー

//<0902> アメリカンエロドッグ
<0902> アメリカンエロドッグ

//<0903> ゼウス
<0903> ゼウス

//<0904> 日向markⅡ
<0904> 日向markⅡ

//<0905> 糞虫
<0905> 糞虫

//<0906> 量産型日向
<0906> 量産型日向

//<0907> ？？
<0907> ？？

//<0908> 「日向！　戻って来い！」
<0908> 「日向！　戻って来い！」

//<0909> none
<0909> none

//<0910> nothing
<0910> nothing

//<0911> 
<0911> 

//<0912> 
<0912> 

//<0913> nothing
<0913> nothing

//<0914> bs
<0914> bs

//<0915> _
<0915> _

//<0916> nothing
<0916> nothing

//<0917> nothing
<0917> nothing

//<0918> nothing
<0918> nothing

//<0919> nothing
<0919> nothing

//<0920> nothing
<0920> nothing

//<0921> 日向
<0921> 日向

//<0922> 男Ｂ
<0922> 男Ｂ

//<0923> エロエロ団総帥
<0923> エロエロ団総帥

//<0924> イケチン
<0924> イケチン

//<0925> ホモ太
<0925> ホモ太

//<0926> ひなチン
<0926> ひなチン

//<0927> 秀樹
<0927> 秀樹

//<0928> 男子生徒
<0928> 男子生徒

//<0929> ？？
<0929> ？？

//<0930> 「っは！　はぁ、はぁ、やべぇ…思い出すだけで膝震えてきた…」
<0930> 「っは！　はぁ、はぁ、やべぇ…思い出すだけで膝震えてきた…」

//<0931> nothing
<0931> nothing

//<0932> nothing
<0932> nothing

//<0933> nothing
<0933> nothing

//<0934> nothing
<0934> nothing

//<0935> nothing
<0935> nothing

//<0936> 日向
<0936> 日向

//<0937> 男Ｂ
<0937> 男Ｂ

//<0938> エロエロ団総帥
<0938> エロエロ団総帥

//<0939> イケチン
<0939> イケチン

//<0940> ホモ太
<0940> ホモ太

//<0941> ひなチン
<0941> ひなチン

//<0942> 秀樹
<0942> 秀樹

//<0943> 男子生徒
<0943> 男子生徒

//<0944> ？？
<0944> ？？

//<0945> 「大山なんてずっと虚ろな笑顔だったし、野田は途中から気持ちよさそうな顔してたし…」
<0945> 「大山なんてずっと虚ろな笑顔だったし、野田は途中から気持ちよさそうな顔してたし…」

//<0946> 音無
<0946> 音無

//<0947> クソ坊主
<0947> クソ坊主

//<0948> 代理人
<0948> 代理人

//<0949> 微妙すぎるイケメン
<0949> 微妙すぎるイケメン

//<0950> ロリコン
<0950> ロリコン

//<0951> メガネ仲間
<0951> メガネ仲間

//<0952> 暗算日本記録保持者
<0952> 暗算日本記録保持者

//<0953> 通り魔
<0953> 通り魔

//<0954> 記憶ナシ男
<0954> 記憶ナシ男

//<0955> 音速
<0955> 音速

//<0956> 無限
<0956> 無限

//<0957> エロ侍
<0957> エロ侍

//<0958> エロエロ団ナンバー１
<0958> エロエロ団ナンバー１

//<0959> ただのエロ少年
<0959> ただのエロ少年

//<0960> ユリブサイク
<0960> ユリブサイク

//<0961> ドピュッシー
<0961> ドピュッシー

//<0962> アメリカンエロドッグ
<0962> アメリカンエロドッグ

//<0963> ゼウス
<0963> ゼウス

//<0964> 日向markⅡ
<0964> 日向markⅡ

//<0965> 糞虫
<0965> 糞虫

//<0966> 量産型日向
<0966> 量産型日向

//<0967> ？？
<0967> ？？

//<0968> （戦線の闇が深い…）
<0968> （戦線の闇が深い…）

//<0969> nothing
<0969> nothing

//<0970> nothing
<0970> nothing

//<0971> nothing
<0971> nothing

//<0972> nothing
<0972> nothing

//<0973> ユイ
<0973> ユイ

//<0974> 「あたし、その時いなくてよかったです」
<0974> 「あたし、その時いなくてよかったです」

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> nothing
<0977> nothing

//<0978> nothing
<0978> nothing

//<0979> nothing
<0979> nothing

//<0980> 日向
<0980> 日向

//<0981> 男Ｂ
<0981> 男Ｂ

//<0982> エロエロ団総帥
<0982> エロエロ団総帥

//<0983> イケチン
<0983> イケチン

//<0984> ホモ太
<0984> ホモ太

//<0985> ひなチン
<0985> ひなチン

//<0986> 秀樹
<0986> 秀樹

//<0987> 男子生徒
<0987> 男子生徒

//<0988> ？？
<0988> ？？

//<0989> 「はぁー、なんか気が滅入ったし、俺行くわ…」
<0989> 「はぁー、なんか気が滅入ったし、俺行くわ…」

//<0990> nothing
<0990> nothing

//<0991> nothing
<0991> nothing

//<0992> nothing
<0992> nothing

//<0993> nothing
<0993> nothing

//<0994> nothing
<0994> nothing

//<0995> ユイ
<0995> ユイ

//<0996> 「えー、まだ目標の数こなしてないですよー」
<0996> 「えー、まだ目標の数こなしてないですよー」

//<0997> nothing
<0997> nothing

//<0998> nothing
<0998> nothing

//<0999> nothing
<0999> nothing

//<1000> nothing
<1000> nothing

//<1001> nothing
<1001> nothing

//<1002> 日向
<1002> 日向

//<1003> 男Ｂ
<1003> 男Ｂ

//<1004> エロエロ団総帥
<1004> エロエロ団総帥

//<1005> イケチン
<1005> イケチン

//<1006> ホモ太
<1006> ホモ太

//<1007> ひなチン
<1007> ひなチン

//<1008> 秀樹
<1008> 秀樹

//<1009> 男子生徒
<1009> 男子生徒

//<1010> ？？
<1010> ？？

//<1011> 「甘えんな。筋トレなんてひとりでも出来るだろ」
<1011> 「甘えんな。筋トレなんてひとりでも出来るだろ」

//<1012> nothing
<1012> nothing

//<1013> nothing
<1013> nothing

//<1014> nothing
<1014> nothing

//<1015> nothing
<1015> nothing

//<1016> nothing
<1016> nothing

//<1017> ユイ
<1017> ユイ

//<1018> 「ちぇー…」
<1018> 「ちぇー…」

//<1019> さて、俺は…。
<1019> さて、俺は…。

//<1020> ユイの筋トレを手伝う
<1020> ユイの筋トレを手伝う

//<1021> 日向と一緒に立ち去る
<1021> 日向と一緒に立ち去る

//<1022> selbtn : 
<1022> selbtn : 

//<1023> 音無
<1023> 音無

//<1024> クソ坊主
<1024> クソ坊主

//<1025> 代理人
<1025> 代理人

//<1026> 微妙すぎるイケメン
<1026> 微妙すぎるイケメン

//<1027> ロリコン
<1027> ロリコン

//<1028> メガネ仲間
<1028> メガネ仲間

//<1029> 暗算日本記録保持者
<1029> 暗算日本記録保持者

//<1030> 通り魔
<1030> 通り魔

//<1031> 記憶ナシ男
<1031> 記憶ナシ男

//<1032> 音速
<1032> 音速

//<1033> 無限
<1033> 無限

//<1034> エロ侍
<1034> エロ侍

//<1035> エロエロ団ナンバー１
<1035> エロエロ団ナンバー１

//<1036> ただのエロ少年
<1036> ただのエロ少年

//<1037> ユリブサイク
<1037> ユリブサイク

//<1038> ドピュッシー
<1038> ドピュッシー

//<1039> アメリカンエロドッグ
<1039> アメリカンエロドッグ

//<1040> ゼウス
<1040> ゼウス

//<1041> 日向markⅡ
<1041> 日向markⅡ

//<1042> 糞虫
<1042> 糞虫

//<1043> 量産型日向
<1043> 量産型日向

//<1044> ？？
<1044> ？？

//<1045> 「じゃあ俺が手伝ってやるよ」
<1045> 「じゃあ俺が手伝ってやるよ」

//<1046> nothing
<1046> nothing

//<1047> nothing
<1047> nothing

//<1048> nothing
<1048> nothing

//<1049> nothing
<1049> nothing

//<1050> nothing
<1050> nothing

//<1051> ユイ
<1051> ユイ

//<1052> 「本当ですか！」
<1052> 「本当ですか！」

//<1053> 日向
<1053> 日向

//<1054> 男Ｂ
<1054> 男Ｂ

//<1055> エロエロ団総帥
<1055> エロエロ団総帥

//<1056> イケチン
<1056> イケチン

//<1057> ホモ太
<1057> ホモ太

//<1058> ひなチン
<1058> ひなチン

//<1059> 秀樹
<1059> 秀樹

//<1060> 男子生徒
<1060> 男子生徒

//<1061> ？？
<1061> ？？

//<1062> 「お前も物好きだなぁ」
<1062> 「お前も物好きだなぁ」

//<1063> nothing
<1063> nothing

//<1064> nothing
<1064> nothing

//<1065> nothing
<1065> nothing

//<1066> nothing
<1066> nothing

//<1067> nothing
<1067> nothing

//<1068> 音無
<1068> 音無

//<1069> クソ坊主
<1069> クソ坊主

//<1070> 代理人
<1070> 代理人

//<1071> 微妙すぎるイケメン
<1071> 微妙すぎるイケメン

//<1072> ロリコン
<1072> ロリコン

//<1073> メガネ仲間
<1073> メガネ仲間

//<1074> 暗算日本記録保持者
<1074> 暗算日本記録保持者

//<1075> 通り魔
<1075> 通り魔

//<1076> 記憶ナシ男
<1076> 記憶ナシ男

//<1077> 音速
<1077> 音速

//<1078> 無限
<1078> 無限

//<1079> エロ侍
<1079> エロ侍

//<1080> エロエロ団ナンバー１
<1080> エロエロ団ナンバー１

//<1081> ただのエロ少年
<1081> ただのエロ少年

//<1082> ユリブサイク
<1082> ユリブサイク

//<1083> ドピュッシー
<1083> ドピュッシー

//<1084> アメリカンエロドッグ
<1084> アメリカンエロドッグ

//<1085> ゼウス
<1085> ゼウス

//<1086> 日向markⅡ
<1086> 日向markⅡ

//<1087> 糞虫
<1087> 糞虫

//<1088> 量産型日向
<1088> 量産型日向

//<1089> ？？
<1089> ？？

//<1090> 「そういうお前だって、さっきまで手伝ってただろ？」
<1090> 「そういうお前だって、さっきまで手伝ってただろ？」

//<1091> nothing
<1091> nothing

//<1092> nothing
<1092> nothing

//<1093> nothing
<1093> nothing

//<1094> nothing
<1094> nothing

//<1095> nothing
<1095> nothing

//<1096> 日向
<1096> 日向

//<1097> 男Ｂ
<1097> 男Ｂ

//<1098> エロエロ団総帥
<1098> エロエロ団総帥

//<1099> イケチン
<1099> イケチン

//<1100> ホモ太
<1100> ホモ太

//<1101> ひなチン
<1101> ひなチン

//<1102> 秀樹
<1102> 秀樹

//<1103> 男子生徒
<1103> 男子生徒

//<1104> ？？
<1104> ？？

//<1105> 「言ったろ、暇つぶしだって」
<1105> 「言ったろ、暇つぶしだって」

//<1106> nothing
<1106> nothing

//<1107> nothing
<1107> nothing

//<1108> nothing
<1108> nothing

//<1109> nothing
<1109> nothing

//<1110> nothing
<1110> nothing

//<1111> 日向は背中を向けながら手を振り、駐車場から離れていった。
<1111> 日向は背中を向けながら手を振り、駐車場から離れていった。

//<1112> nothing
<1112> nothing

//<1113> nothing
<1113> nothing

//<1114> nothing
<1114> nothing

//<1115> nothing
<1115> nothing

//<1116> nothing
<1116> nothing

