// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場のようだった。
<0000> 駐車場のようだった。
//<0481> 相変わらずあぐらをかいての弾き語り。
<0481> 相変わらずあぐらをかいての弾き語り。

//<0482> スカートでするには男らしすぎる。
<0482> スカートでするには男らしすぎる。

//<0483> 人垣の隙間から、歌っているユイと一瞬だけ目が合った。
<0483> 人垣の隙間から、歌っているユイと一瞬だけ目が合った。

//<0484> 特に気にすることなく歌い続けていた。
<0484> 特に気にすることなく歌い続けていた。

//<0485> 邪魔をするつもりもないし、しばらく眺めている。
<0485> 邪魔をするつもりもないし、しばらく眺めている。

//<0486> 音楽のことは詳しいわけじゃないけど、岩沢の歌に比べるとリズムにムラがある。
<0486> 音楽のことは詳しいわけじゃないけど、岩沢の歌に比べるとリズムにムラがある。

//<0487> でも、それを補う熱もあった。
<0487> でも、それを補う熱もあった。

//<0488> 周囲のファン達の表情に合わせて、笑顔を、声を、歌を送っているようにも見えた。
<0488> 周囲のファン達の表情に合わせて、笑顔を、声を、歌を送っているようにも見えた。

//<0489> 場の空気とひとつになる、そんな音楽だ。
<0489> 場の空気とひとつになる、そんな音楽だ。

//<0490> そんなことを考えていたら、弾き語りが終わった。
<0490> そんなことを考えていたら、弾き語りが終わった。

//<0491> nothing
<0491> nothing

//<0492> nothing
<0492> nothing

//<0493> nothing
<0493> nothing

//<0494> nothing
<0494> nothing

//<0495> nothing
<0495> nothing

//<0496> ユイ
<0496> ユイ

//<0497> 「今日は以上です！　ありがとうございましたー！」
<0497> 「今日は以上です！　ありがとうございましたー！」

//<0498> nothing
<0498> nothing

//<0499> nothing
<0499> nothing

//<0500> nothing
<0500> nothing

//<0501> nothing
<0501> nothing

//<0502> nothing
<0502> nothing

//<0503> nothing
<0503> nothing

//<0504> ユイの挨拶に、また食券が舞い散る。
<0504> ユイの挨拶に、また食券が舞い散る。

//<0505> 音無
<0505> 音無

//<0506> クソ坊主
<0506> クソ坊主

//<0507> 代理人
<0507> 代理人

//<0508> 微妙すぎるイケメン
<0508> 微妙すぎるイケメン

//<0509> ロリコン
<0509> ロリコン

//<0510> メガネ仲間
<0510> メガネ仲間

//<0511> 暗算日本記録保持者
<0511> 暗算日本記録保持者

//<0512> 通り魔
<0512> 通り魔

//<0513> 記憶ナシ男
<0513> 記憶ナシ男

//<0514> 音速
<0514> 音速

//<0515> 無限
<0515> 無限

//<0516> エロ侍
<0516> エロ侍

//<0517> エロエロ団ナンバー１
<0517> エロエロ団ナンバー１

//<0518> ただのエロ少年
<0518> ただのエロ少年

//<0519> ユリブサイク
<0519> ユリブサイク

//<0520> ドピュッシー
<0520> ドピュッシー

//<0521> アメリカンエロドッグ
<0521> アメリカンエロドッグ

//<0522> ゼウス
<0522> ゼウス

//<0523> 日向markⅡ
<0523> 日向markⅡ

//<0524> 糞虫
<0524> 糞虫

//<0525> 量産型日向
<0525> 量産型日向

//<0526> ？？
<0526> ？？

//<0527> 「お疲れさん」
<0527> 「お疲れさん」

//<0528> nothing
<0528> nothing

//<0529> nothing
<0529> nothing

//<0530> nothing
<0530> nothing

//<0531> nothing
<0531> nothing

//<0532> nothing
<0532> nothing

//<0533> ユイ
<0533> ユイ

//<0534> 「またあなたですか！　近寄るな変態！」
<0534> 「またあなたですか！　近寄るな変態！」

//<0535> nothing
<0535> nothing

//<0536> nothing
<0536> nothing

//<0537> nothing
<0537> nothing

//<0538> nothing
<0538> nothing

//<0539> nothing
<0539> nothing

//<0540> そう言ってお尻を俺から遠ざけるように座り直す。
<0540> そう言ってお尻を俺から遠ざけるように座り直す。

//<0541> 音無
<0541> 音無

//<0542> クソ坊主
<0542> クソ坊主

//<0543> 代理人
<0543> 代理人

//<0544> 微妙すぎるイケメン
<0544> 微妙すぎるイケメン

//<0545> ロリコン
<0545> ロリコン

//<0546> メガネ仲間
<0546> メガネ仲間

//<0547> 暗算日本記録保持者
<0547> 暗算日本記録保持者

//<0548> 通り魔
<0548> 通り魔

//<0549> 記憶ナシ男
<0549> 記憶ナシ男

//<0550> 音速
<0550> 音速

//<0551> 無限
<0551> 無限

//<0552> エロ侍
<0552> エロ侍

//<0553> エロエロ団ナンバー１
<0553> エロエロ団ナンバー１

//<0554> ただのエロ少年
<0554> ただのエロ少年

//<0555> ユリブサイク
<0555> ユリブサイク

//<0556> ドピュッシー
<0556> ドピュッシー

//<0557> アメリカンエロドッグ
<0557> アメリカンエロドッグ

//<0558> ゼウス
<0558> ゼウス

//<0559> 日向markⅡ
<0559> 日向markⅡ

//<0560> 糞虫
<0560> 糞虫

//<0561> 量産型日向
<0561> 量産型日向

//<0562> ？？
<0562> ？？

//<0563> 「もう尻尾は触らないからそんなに警戒するな。傷つくだろ」
<0563> 「もう尻尾は触らないからそんなに警戒するな。傷つくだろ」

//<0564> nothing
<0564> nothing

//<0565> nothing
<0565> nothing

//<0566> nothing
<0566> nothing

//<0567> nothing
<0567> nothing

//<0568> nothing
<0568> nothing

//<0569> ユイ
<0569> ユイ

//<0570> 「ファンなら節度ある距離を保ってください」
<0570> 「ファンなら節度ある距離を保ってください」

//<0571> bs3_
<0571> bs3_

//<0572> nothing
<0572> nothing

//<0573> nothing
<0573> nothing

//<0574> nothing
<0574> nothing

//<0575> nothing
<0575> nothing

//<0576> nothing
<0576> nothing

//<0577> 音無
<0577> 音無

//<0578> クソ坊主
<0578> クソ坊主

//<0579> 代理人
<0579> 代理人

//<0580> 微妙すぎるイケメン
<0580> 微妙すぎるイケメン

//<0581> ロリコン
<0581> ロリコン

//<0582> メガネ仲間
<0582> メガネ仲間

//<0583> 暗算日本記録保持者
<0583> 暗算日本記録保持者

//<0584> 通り魔
<0584> 通り魔

//<0585> 記憶ナシ男
<0585> 記憶ナシ男

//<0586> 音速
<0586> 音速

//<0587> 無限
<0587> 無限

//<0588> エロ侍
<0588> エロ侍

//<0589> エロエロ団ナンバー１
<0589> エロエロ団ナンバー１

//<0590> ただのエロ少年
<0590> ただのエロ少年

//<0591> ユリブサイク
<0591> ユリブサイク

//<0592> ドピュッシー
<0592> ドピュッシー

//<0593> アメリカンエロドッグ
<0593> アメリカンエロドッグ

//<0594> ゼウス
<0594> ゼウス

//<0595> 日向markⅡ
<0595> 日向markⅡ

//<0596> 糞虫
<0596> 糞虫

//<0597> 量産型日向
<0597> 量産型日向

//<0598> ？？
<0598> ？？

//<0599> 「ところで、その太股のベルトってどうやってくっついてるんだ？」
<0599> 「ところで、その太股のベルトってどうやってくっついてるんだ？」

//<0600> se_munyu
<0600> se_munyu

//<0601> nothing
<0601> nothing

//<0602> nothing
<0602> nothing

//<0603> nothing
<0603> nothing

//<0604> nothing
<0604> nothing

//<0605> nothing
<0605> nothing

//<0606> ユイ
<0606> ユイ

//<0607> 「きゃああぁぁーー！　やっぱり変態ぃぃぃーー！！」
<0607> 「きゃああぁぁーー！　やっぱり変態ぃぃぃーー！！」

//<0608> 音無
<0608> 音無

//<0609> クソ坊主
<0609> クソ坊主

//<0610> 代理人
<0610> 代理人

//<0611> 微妙すぎるイケメン
<0611> 微妙すぎるイケメン

//<0612> ロリコン
<0612> ロリコン

//<0613> メガネ仲間
<0613> メガネ仲間

//<0614> 暗算日本記録保持者
<0614> 暗算日本記録保持者

//<0615> 通り魔
<0615> 通り魔

//<0616> 記憶ナシ男
<0616> 記憶ナシ男

//<0617> 音速
<0617> 音速

//<0618> 無限
<0618> 無限

//<0619> エロ侍
<0619> エロ侍

//<0620> エロエロ団ナンバー１
<0620> エロエロ団ナンバー１

//<0621> ただのエロ少年
<0621> ただのエロ少年

//<0622> ユリブサイク
<0622> ユリブサイク

//<0623> ドピュッシー
<0623> ドピュッシー

//<0624> アメリカンエロドッグ
<0624> アメリカンエロドッグ

//<0625> ゼウス
<0625> ゼウス

//<0626> 日向markⅡ
<0626> 日向markⅡ

//<0627> 糞虫
<0627> 糞虫

//<0628> 量産型日向
<0628> 量産型日向

//<0629> ？？
<0629> ？？

//<0630> 「うわ、食い込んでんじゃん。痛くねーの？」
<0630> 「うわ、食い込んでんじゃん。痛くねーの？」

//<0631> se_munyu
<0631> se_munyu

//<0632> nothing
<0632> nothing

//<0633> nothing
<0633> nothing

//<0634> nothing
<0634> nothing

//<0635> nothing
<0635> nothing

//<0636> nothing
<0636> nothing

//<0637> ユイ
<0637> ユイ

//<0638> 「ぎゃああぁぁーー！　触るなぁーー！」
<0638> 「ぎゃああぁぁーー！　触るなぁーー！」

//<0639> 音無
<0639> 音無

//<0640> クソ坊主
<0640> クソ坊主

//<0641> 代理人
<0641> 代理人

//<0642> 微妙すぎるイケメン
<0642> 微妙すぎるイケメン

//<0643> ロリコン
<0643> ロリコン

//<0644> メガネ仲間
<0644> メガネ仲間

//<0645> 暗算日本記録保持者
<0645> 暗算日本記録保持者

//<0646> 通り魔
<0646> 通り魔

//<0647> 記憶ナシ男
<0647> 記憶ナシ男

//<0648> 音速
<0648> 音速

//<0649> 無限
<0649> 無限

//<0650> エロ侍
<0650> エロ侍

//<0651> エロエロ団ナンバー１
<0651> エロエロ団ナンバー１

//<0652> ただのエロ少年
<0652> ただのエロ少年

//<0653> ユリブサイク
<0653> ユリブサイク

//<0654> ドピュッシー
<0654> ドピュッシー

//<0655> アメリカンエロドッグ
<0655> アメリカンエロドッグ

//<0656> ゼウス
<0656> ゼウス

//<0657> 日向markⅡ
<0657> 日向markⅡ

//<0658> 糞虫
<0658> 糞虫

//<0659> 量産型日向
<0659> 量産型日向

//<0660> ？？
<0660> ？？

//<0661> 「すべすべだな」
<0661> 「すべすべだな」

//<0662> se_munyu
<0662> se_munyu

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> nothing
<0665> nothing

//<0666> nothing
<0666> nothing

//<0667> nothing
<0667> nothing

//<0668> ユイ
<0668> ユイ

//<0669> 「撫でんなや！　ごらあああああぁぁーーーー！！！」
<0669> 「撫でんなや！　ごらあああああぁぁーーーー！！！」

//<0670> キレた。
<0670> キレた。

//<0671> nothing
<0671> nothing

//<0672> nothing
<0672> nothing

//<0673> nothing
<0673> nothing

//<0674> nothing
<0674> nothing

//<0675> nothing
<0675> nothing

//<0676> se_binta
<0676> se_binta
{140e9} 0a // 0676

//<0677> none
<0677> none

//<0678> nothing
<0678> nothing

//<0679> 
<0679> 

//<0680> 
<0680> 

//<0681> nothing
<0681> nothing

//<0682> bs
<0682> bs

//<0683> _
<0683> _

//<0684> nothing
<0684> nothing

//<0685> nothing
<0685> nothing

//<0686> nothing
<0686> nothing

//<0687> nothing
<0687> nothing

//<0688> nothing
<0688> nothing

//<0689> 回転しながら距離をとると、ギターを逆さにしてネックを両手で握り締める。
<0689> 回転しながら距離をとると、ギターを逆さにしてネックを両手で握り締める。

//<0690> 音無
<0690> 音無

//<0691> クソ坊主
<0691> クソ坊主

//<0692> 代理人
<0692> 代理人

//<0693> 微妙すぎるイケメン
<0693> 微妙すぎるイケメン

//<0694> ロリコン
<0694> ロリコン

//<0695> メガネ仲間
<0695> メガネ仲間

//<0696> 暗算日本記録保持者
<0696> 暗算日本記録保持者

//<0697> 通り魔
<0697> 通り魔

//<0698> 記憶ナシ男
<0698> 記憶ナシ男

//<0699> 音速
<0699> 音速

//<0700> 無限
<0700> 無限

//<0701> エロ侍
<0701> エロ侍

//<0702> エロエロ団ナンバー１
<0702> エロエロ団ナンバー１

//<0703> ただのエロ少年
<0703> ただのエロ少年

//<0704> ユリブサイク
<0704> ユリブサイク

//<0705> ドピュッシー
<0705> ドピュッシー

//<0706> アメリカンエロドッグ
<0706> アメリカンエロドッグ

//<0707> ゼウス
<0707> ゼウス

//<0708> 日向markⅡ
<0708> 日向markⅡ

//<0709> 糞虫
<0709> 糞虫

//<0710> 量産型日向
<0710> 量産型日向

//<0711> ？？
<0711> ？？

//<0712> 「どーどー、それは武器じゃなくて楽器だぞ」
<0712> 「どーどー、それは武器じゃなくて楽器だぞ」

//<0713> nothing
<0713> nothing

//<0714> nothing
<0714> nothing

//<0715> nothing
<0715> nothing

//<0716> nothing
<0716> nothing

//<0717> nothing
<0717> nothing

//<0718> ユイ
<0718> ユイ

//<0719> 「ロックは表現という名の武器じゃあぁーーー！」
<0719> 「ロックは表現という名の武器じゃあぁーーー！」

//<0720> 音無
<0720> 音無

//<0721> クソ坊主
<0721> クソ坊主

//<0722> 代理人
<0722> 代理人

//<0723> 微妙すぎるイケメン
<0723> 微妙すぎるイケメン

//<0724> ロリコン
<0724> ロリコン

//<0725> メガネ仲間
<0725> メガネ仲間

//<0726> 暗算日本記録保持者
<0726> 暗算日本記録保持者

//<0727> 通り魔
<0727> 通り魔

//<0728> 記憶ナシ男
<0728> 記憶ナシ男

//<0729> 音速
<0729> 音速

//<0730> 無限
<0730> 無限

//<0731> エロ侍
<0731> エロ侍

//<0732> エロエロ団ナンバー１
<0732> エロエロ団ナンバー１

//<0733> ただのエロ少年
<0733> ただのエロ少年

//<0734> ユリブサイク
<0734> ユリブサイク

//<0735> ドピュッシー
<0735> ドピュッシー

//<0736> アメリカンエロドッグ
<0736> アメリカンエロドッグ

//<0737> ゼウス
<0737> ゼウス

//<0738> 日向markⅡ
<0738> 日向markⅡ

//<0739> 糞虫
<0739> 糞虫

//<0740> 量産型日向
<0740> 量産型日向

//<0741> ？？
<0741> ？？

//<0742> 「どちらかと言えばそれはパンク…って、パンクもロックか」
<0742> 「どちらかと言えばそれはパンク…って、パンクもロックか」

//<0743> nothing
<0743> nothing

//<0744> nothing
<0744> nothing

//<0745> nothing
<0745> nothing

//<0746> nothing
<0746> nothing

//<0747> nothing
<0747> nothing

//<0748> ユイ
<0748> ユイ

//<0749> 「あっ、あなたですか。どうやら一回であたしの演奏の虜になってしまったみたいですね」
<0749> 「あっ、あなたですか。どうやら一回であたしの演奏の虜になってしまったみたいですね」

//<0750> 音無
<0750> 音無

//<0751> クソ坊主
<0751> クソ坊主

//<0752> 代理人
<0752> 代理人

//<0753> 微妙すぎるイケメン
<0753> 微妙すぎるイケメン

//<0754> ロリコン
<0754> ロリコン

//<0755> メガネ仲間
<0755> メガネ仲間

//<0756> 暗算日本記録保持者
<0756> 暗算日本記録保持者

//<0757> 通り魔
<0757> 通り魔

//<0758> 記憶ナシ男
<0758> 記憶ナシ男

//<0759> 音速
<0759> 音速

//<0760> 無限
<0760> 無限

//<0761> エロ侍
<0761> エロ侍

//<0762> エロエロ団ナンバー１
<0762> エロエロ団ナンバー１

//<0763> ただのエロ少年
<0763> ただのエロ少年

//<0764> ユリブサイク
<0764> ユリブサイク

//<0765> ドピュッシー
<0765> ドピュッシー

//<0766> アメリカンエロドッグ
<0766> アメリカンエロドッグ

//<0767> ゼウス
<0767> ゼウス

//<0768> 日向markⅡ
<0768> 日向markⅡ

//<0769> 糞虫
<0769> 糞虫

//<0770> 量産型日向
<0770> 量産型日向

//<0771> ？？
<0771> ？？

//<0772> 「そうだな、また聴きたくなってここに来たのかもな」
<0772> 「そうだな、また聴きたくなってここに来たのかもな」

//<0773> nothing
<0773> nothing

//<0774> nothing
<0774> nothing

//<0775> nothing
<0775> nothing

//<0776> nothing
<0776> nothing

//<0777> nothing
<0777> nothing

//<0778> ユイ
<0778> ユイ

//<0779> 「あなたでも、ファンになってくれたら、大切にしますよ」
<0779> 「あなたでも、ファンになってくれたら、大切にしますよ」

//<0780> 音無
<0780> 音無

//<0781> クソ坊主
<0781> クソ坊主

//<0782> 代理人
<0782> 代理人

//<0783> 微妙すぎるイケメン
<0783> 微妙すぎるイケメン

//<0784> ロリコン
<0784> ロリコン

//<0785> メガネ仲間
<0785> メガネ仲間

//<0786> 暗算日本記録保持者
<0786> 暗算日本記録保持者

//<0787> 通り魔
<0787> 通り魔

//<0788> 記憶ナシ男
<0788> 記憶ナシ男

//<0789> 音速
<0789> 音速

//<0790> 無限
<0790> 無限

//<0791> エロ侍
<0791> エロ侍

//<0792> エロエロ団ナンバー１
<0792> エロエロ団ナンバー１

//<0793> ただのエロ少年
<0793> ただのエロ少年

//<0794> ユリブサイク
<0794> ユリブサイク

//<0795> ドピュッシー
<0795> ドピュッシー

//<0796> アメリカンエロドッグ
<0796> アメリカンエロドッグ

//<0797> ゼウス
<0797> ゼウス

//<0798> 日向markⅡ
<0798> 日向markⅡ

//<0799> 糞虫
<0799> 糞虫

//<0800> 量産型日向
<0800> 量産型日向

//<0801> ？？
<0801> ？？

//<0802> 「じゃあ、俺のために一曲歌ってくれないか」
<0802> 「じゃあ、俺のために一曲歌ってくれないか」

//<0803> nothing
<0803> nothing

//<0804> nothing
<0804> nothing

//<0805> nothing
<0805> nothing

//<0806> nothing
<0806> nothing

//<0807> nothing
<0807> nothing

//<0808> ユイ
<0808> ユイ
{18103} 33 // 0808

//<0809> 「リクエストですか？　今日は終了のつもりだったんですけど、ファンの要望なので特別にＯＫです」
<0809> 「リクエストですか？　今日は終了のつもりだったんですけど、ファンの要望なので特別にＯＫです」

//<0810> nothing
<0810> nothing

//<0811> nothing
<0811> nothing

//<0812> nothing
<0812> nothing

//<0813> nothing
<0813> nothing

//<0814> nothing
<0814> nothing

//<0815> 音無
<0815> 音無

//<0816> クソ坊主
<0816> クソ坊主

//<0817> 代理人
<0817> 代理人

//<0818> 微妙すぎるイケメン
<0818> 微妙すぎるイケメン

//<0819> ロリコン
<0819> ロリコン

//<0820> メガネ仲間
<0820> メガネ仲間

//<0821> 暗算日本記録保持者
<0821> 暗算日本記録保持者

//<0822> 通り魔
<0822> 通り魔

//<0823> 記憶ナシ男
<0823> 記憶ナシ男

//<0824> 音速
<0824> 音速

//<0825> 無限
<0825> 無限

//<0826> エロ侍
<0826> エロ侍

//<0827> エロエロ団ナンバー１
<0827> エロエロ団ナンバー１

//<0828> ただのエロ少年
<0828> ただのエロ少年

//<0829> ユリブサイク
<0829> ユリブサイク

//<0830> ドピュッシー
<0830> ドピュッシー

//<0831> アメリカンエロドッグ
<0831> アメリカンエロドッグ

//<0832> ゼウス
<0832> ゼウス

//<0833> 日向markⅡ
<0833> 日向markⅡ

//<0834> 糞虫
<0834> 糞虫

//<0835> 量産型日向
<0835> 量産型日向

//<0836> ？？
<0836> ？？

//<0837> 「ラッキー。じゃあ…」
<0837> 「ラッキー。じゃあ…」

//<0838> BITTERSWEET SAMBA
<0838> BITTERSWEET SAMBA

//<0839> TRUTH
<0839> TRUTH

//<0840> 青雲
<0840> 青雲

//<0841> selbtn : 
<0841> selbtn : 

//<0842> nothing
<0842> nothing

//<0843> nothing
<0843> nothing

//<0844> nothing
<0844> nothing

//<0845> nothing
<0845> nothing

//<0846> nothing
<0846> nothing

//<0847> ユイ
<0847> ユイ

//<0848> 「あー、
<0848> 「あー、

//<0849> Herb Alpert & The Tijuana Brass
<0849> Herb Alpert & The Tijuana Brass

//<0850> ですねーっ！」
<0850> ですねーっ！」

//<0851> nothing
<0851> nothing

//<0852> nothing
<0852> nothing

//<0853> nothing
<0853> nothing

//<0854> nothing
<0854> nothing

//<0855> nothing
<0855> nothing

//<0856> ユイ
<0856> ユイ

//<0857> 「って、オールナイトニッポンのオープニングテーマぁーー！！　しかもインストォーーー！！」
<0857> 「って、オールナイトニッポンのオープニングテーマぁーー！！　しかもインストォーーー！！」

//<0858> nothing
<0858> nothing

//<0859> nothing
<0859> nothing

//<0860> nothing
<0860> nothing

//<0861> nothing
<0861> nothing

//<0862> nothing
<0862> nothing

//<0863> ユイ
<0863> ユイ

//<0864> 「あー、
<0864> 「あー、

//<0865> T-SQUARE
<0865> T-SQUARE

//<0866> の
<0866> の

//<0867> TRUTH
<0867> TRUTH

//<0868> ですねーっ！」
<0868> ですねーっ！」

//<0869> nothing
<0869> nothing

//<0870> nothing
<0870> nothing

//<0871> nothing
<0871> nothing

//<0872> nothing
<0872> nothing

//<0873> nothing
<0873> nothing

//<0874> ユイ
<0874> ユイ

//<0875> 「って、
<0875> 「って、

//<0876> Ｆ１
<0876> Ｆ１

//<0877> グランプリのテーマぁーー！！　しかもインストォーーー！！」
<0877> グランプリのテーマぁーー！！　しかもインストォーーー！！」

//<0878> nothing
<0878> nothing

//<0879> nothing
<0879> nothing

//<0880> nothing
<0880> nothing

//<0881> nothing
<0881> nothing

//<0882> nothing
<0882> nothing

//<0883> ユイ
<0883> ユイ

//<0884> 「あー、線香の青雲ですねーっ！」
<0884> 「あー、線香の青雲ですねーっ！」

//<0885> nothing
<0885> nothing

//<0886> nothing
<0886> nothing

//<0887> nothing
<0887> nothing

//<0888> nothing
<0888> nothing

//<0889> nothing
<0889> nothing

//<0890> ユイ
<0890> ユイ

//<0891> 「って、ＣＭ曲ぅーー！！　たった五行で終わるぅーーーー！！」
<0891> 「って、ＣＭ曲ぅーー！！　たった五行で終わるぅーーーー！！」

//<0892> nothing
<0892> nothing

//<0893> nothing
<0893> nothing

//<0894> nothing
<0894> nothing

//<0895> nothing
<0895> nothing

//<0896> nothing
<0896> nothing

//<0897> 音無
<0897> 音無

//<0898> クソ坊主
<0898> クソ坊主

//<0899> 代理人
<0899> 代理人

//<0900> 微妙すぎるイケメン
<0900> 微妙すぎるイケメン

//<0901> ロリコン
<0901> ロリコン

//<0902> メガネ仲間
<0902> メガネ仲間

//<0903> 暗算日本記録保持者
<0903> 暗算日本記録保持者

//<0904> 通り魔
<0904> 通り魔

//<0905> 記憶ナシ男
<0905> 記憶ナシ男

//<0906> 音速
<0906> 音速

//<0907> 無限
<0907> 無限

//<0908> エロ侍
<0908> エロ侍

//<0909> エロエロ団ナンバー１
<0909> エロエロ団ナンバー１

//<0910> ただのエロ少年
<0910> ただのエロ少年

//<0911> ユリブサイク
<0911> ユリブサイク

//<0912> ドピュッシー
<0912> ドピュッシー

//<0913> アメリカンエロドッグ
<0913> アメリカンエロドッグ

//<0914> ゼウス
<0914> ゼウス

//<0915> 日向markⅡ
<0915> 日向markⅡ

//<0916> 糞虫
<0916> 糞虫

//<0917> 量産型日向
<0917> 量産型日向

//<0918> ？？
<0918> ？？

//<0919> 「あ、ハードル高すぎたか…」
<0919> 「あ、ハードル高すぎたか…」

//<0920> nothing
<0920> nothing

//<0921> nothing
<0921> nothing

//<0922> nothing
<0922> nothing

//<0923> nothing
<0923> nothing

//<0924> nothing
<0924> nothing

//<0925> ユイ
<0925> ユイ

//<0926> 「ちっがーーーう！！　せいはんたーーーーい！！　あたしの音楽性と、完全にせいはんたぁぁーーーい！！」
<0926> 「ちっがーーーう！！　せいはんたーーーーい！！　あたしの音楽性と、完全にせいはんたぁぁーーーい！！」

//<0927> nothing
<0927> nothing

//<0928> nothing
<0928> nothing

//<0929> nothing
<0929> nothing

//<0930> nothing
<0930> nothing

//<0931> nothing
<0931> nothing

//<0932> ユイ
<0932> ユイ

//<0933> 「あなたは、一体何を根拠にあたしのファンになったって言うんですかぁー！！」
<0933> 「あなたは、一体何を根拠にあたしのファンになったって言うんですかぁー！！」

//<0934> 音無
<0934> 音無

//<0935> クソ坊主
<0935> クソ坊主

//<0936> 代理人
<0936> 代理人

//<0937> 微妙すぎるイケメン
<0937> 微妙すぎるイケメン

//<0938> ロリコン
<0938> ロリコン

//<0939> メガネ仲間
<0939> メガネ仲間

//<0940> 暗算日本記録保持者
<0940> 暗算日本記録保持者

//<0941> 通り魔
<0941> 通り魔

//<0942> 記憶ナシ男
<0942> 記憶ナシ男

//<0943> 音速
<0943> 音速

//<0944> 無限
<0944> 無限

//<0945> エロ侍
<0945> エロ侍

//<0946> エロエロ団ナンバー１
<0946> エロエロ団ナンバー１

//<0947> ただのエロ少年
<0947> ただのエロ少年

//<0948> ユリブサイク
<0948> ユリブサイク

//<0949> ドピュッシー
<0949> ドピュッシー

//<0950> アメリカンエロドッグ
<0950> アメリカンエロドッグ

//<0951> ゼウス
<0951> ゼウス

//<0952> 日向markⅡ
<0952> 日向markⅡ

//<0953> 糞虫
<0953> 糞虫

//<0954> 量産型日向
<0954> 量産型日向

//<0955> ？？
<0955> ？？

//<0956> 「そう言われるとなんだろぅ…何かあったけか…」
<0956> 「そう言われるとなんだろぅ…何かあったけか…」

//<0957> nothing
<0957> nothing

//<0958> nothing
<0958> nothing

//<0959> nothing
<0959> nothing

//<0960> nothing
<0960> nothing

//<0961> nothing
<0961> nothing

//<0962> ユイ
<0962> ユイ

//<0963> 「おーまーえーはーあーほーかぁぁーーー！！」
<0963> 「おーまーえーはーあーほーかぁぁーーー！！」

//<0964> nothing
<0964> nothing

//<0965> nothing
<0965> nothing

//<0966> nothing
<0966> nothing

//<0967> nothing
<0967> nothing

//<0968> nothing
<0968> nothing

//<0969> nothing
<0969> nothing

//<0970> se_kneekick
<0970> se_kneekick

//<0971> 鋭いキックが俺の顔面を捉え、一瞬意識が飛んだ。
<0971> 鋭いキックが俺の顔面を捉え、一瞬意識が飛んだ。

//<0972> 起き上がるが、鼻血がぼたぼた垂れていた。
<0972> 起き上がるが、鼻血がぼたぼた垂れていた。

//<0973> nothing
<0973> nothing

//<0974> nothing
<0974> nothing

//<0975> nothing
<0975> nothing

//<0976> nothing
<0976> nothing

//<0977> nothing
<0977> nothing

//<0978> ユイ
<0978> ユイ

//<0979> 「ティッシュをどうぞ」
<0979> 「ティッシュをどうぞ」

//<0980> 音無
<0980> 音無

//<0981> クソ坊主
<0981> クソ坊主

//<0982> 代理人
<0982> 代理人

//<0983> 微妙すぎるイケメン
<0983> 微妙すぎるイケメン

//<0984> ロリコン
<0984> ロリコン

//<0985> メガネ仲間
<0985> メガネ仲間

//<0986> 暗算日本記録保持者
<0986> 暗算日本記録保持者

//<0987> 通り魔
<0987> 通り魔

//<0988> 記憶ナシ男
<0988> 記憶ナシ男

//<0989> 音速
<0989> 音速

//<0990> 無限
<0990> 無限

//<0991> エロ侍
<0991> エロ侍

//<0992> エロエロ団ナンバー１
<0992> エロエロ団ナンバー１

//<0993> ただのエロ少年
<0993> ただのエロ少年

//<0994> ユリブサイク
<0994> ユリブサイク

//<0995> ドピュッシー
<0995> ドピュッシー

//<0996> アメリカンエロドッグ
<0996> アメリカンエロドッグ

//<0997> ゼウス
<0997> ゼウス

//<0998> 日向markⅡ
<0998> 日向markⅡ

//<0999> 糞虫
<0999> 糞虫

//<1000> 量産型日向
<1000> 量産型日向

//<1001> ？？
<1001> ？？

//<1002> 「その前に蹴り返していいか」
<1002> 「その前に蹴り返していいか」

//<1003> 蹴る
<1003> 蹴る

//<1004> 自重する
<1004> 自重する

//<1005> selbtn : 
<1005> selbtn : 

//<1006> 問答無用。その頭を蹴り返してやった。
<1006> 問答無用。その頭を蹴り返してやった。

//<1007> se_kneekick
<1007> se_kneekick

//<1008> nothing
<1008> nothing

//<1009> nothing
<1009> nothing

//<1010> nothing
<1010> nothing

//<1011> nothing
<1011> nothing

//<1012> nothing
<1012> nothing

